A CHRISTMAS CAROL	クリスマス・カロル
pursued the Phantom.	と、幽霊は言葉を続けた。
`I don't think I have,'	「そんな事があったようには覚えませんが」
said Scrooge.	と、スクルージは云った。
`I am afraid I have not.	「どうも残念ながら一緒に歩いたことはなかったようで御座います。
Have you had many brothers, Spirit?'	御兄弟が沢山おありですか、精霊殿？」
`More than eighteen hundred,'	「千八百人からあるね」
said the Ghost.	と、幽霊は云った。
`A tremendous family to provide for,'	「恐ろしく沢山の御家族ですね、喰わせて行くにも」
muttered Scrooge.	とスクルージは口の中で呟いた。
The Ghost of Christmas Present rose.	現在の聖降誕祭の幽霊は立ち上がった。
`Spirit,'	「精霊殿！」
said Scrooge submissively,	と、スクルージは素直に云った、
`conduct me where you will.	「どこへなりともお気の向いた所へ連れて行って下さいませ。
I went forth last night on compulsion, and I learnt a lesson which is working now.	昨晩は仕様事なしに随いて行きましたが、現に今私の心にしみじみ感じている教訓を学びました。
To-night, if you have aught to teach me, let me profit by it.'	今晩も、何か私に教えて下さりますのなら、どうかそれに依って利するところのあるようにして下さいませ。」
`Touch my robe.'	「俺（わし）の上衣に触って御覧！」
Scrooge did as he was told,	スクルージは云われた通りにした。
and held it fast.	そして、しっかりそれを握った。
Holly, mistletoe, red berries, ivy, turkeys, geese, game, poultry, brawn, meat, pigs, sausages, oysters, pies, puddings, fruit, and punch, all vanished instantly.	柊も、寄生樹も、赤い果実も、蔦も、七面鳥も、鵞鳥も、猟禽も、家禽も、野猪肉も、獣肉も、豚も、腸詰も、牡蠣も、パイも、プッディングも、果物も、ポンス酒も、瞬く間にことごとく消え失せてしまった。
So did the room, the fire, the ruddy glow, the hour of night,	同様に部屋も煖炉も、赤々と燃え立つ焔も、夜の時間も消えてしまって、二人は聖降誕祭の朝を都の往来に立っていた。
and they stood in the city streets on Christmas morning, where (for the weather was severe) the people made a rough, but brisk and not unpleasant kind of music, in scraping the snow from the pavement in front of their dwellings,	街上では（寒気が厳しかったので）人々は各自の住家（すまい）の前の舗石の上や、屋根の上から雪をこそげ落しながら、暴々しい、しかし快活な、気持ちの悪くない一種の音楽を奏していた。
and from the tops of their houses, whence it was mad delight to the boys to see it come plumping down into the road below, and splitting into artificial little snow-storms.	屋根の上から下の往来へばたばたと雪が落ちて来て、人工の小さな吹雪となって散乱するのを見るのは、男の子に取っては物狂おしい喜びであった。
The house fronts looked black enough, and the windows blacker, contrasting with the smooth white sheet of snow upon the roofs, and with the dirtier snow upon the ground;	屋根の上の滑（なめら）かな白い雪の蒲団と、地面の上のやや汚（よご）れた雪とに対照して、家の正面は可なり黒く、窓は一層黒く見えた。
which last deposit had been ploughed up in deep furrows by the heavy wheels of carts and waggons;	地上の雪の降り積った表皮（うわかわ）は、荷馬車や荷車の重たい車輪に鋤き返されて、深い皺を作っていた。
furrows that crossed and recrossed each other hundreds of times where the great streets branched off;	その皺は、幾筋にも大通りの岐かれている辻では、幾百度となく喰い違った上をまた喰い違って、
and made intricate channels, hard to trace in the thick yellow mud and icy water.	厚い黄色の泥濘や凍り附いた水の中に、どれがどうと見分けの附かない、縺れ合った深い溝になっていた。
The sky was gloomy, and the shortest streets were choked up with a dingy mist, half thawed, half frozen,	空はどんよりして、極く短い街々ですら、半ばは溶け、半ばは凍った薄汚い霧で先が見えなくなっていた。
whose heavier particles descended in a shower of sooty atoms, as if all the chimneys in Great Britain had, by one consent, caught fire, and were blazing away to their dear hearts' content.	そして、その霧の中の重い方の分子は煤けた原子の驟雨となって、あたかも大英国中の煙突がことごとく一致して火を点けて、思う存分心の行くままに烟を吐き出してでもいるように降って来た。
There was nothing very cheerful in the climate or the town,	この時候にも、またこの都の中にも、大して陽気なものは一つとしてなかった。
and yet was there an air of cheerfulness abroad that the clearest summer air and brightest summer sun might have endeavoured to diffuse in vain.	それでいて、真夏の澄み渡った空気だの照り輝く太陽だのがいくら骨を折って発散しようとしてもとても覚束ないような陽気な空気が戸外に棚引いていた。
For, the people who were shovelling away on the housetops were jovial and full of glee;	と云うのは、屋根の上でどしどし雪を掻き落していた人々が、
calling out to one another from the parapets, and now and then exchanging a facetious snowball	屋根上の欄干から互いに呼び合ったり、時々は道化た雪玉
--better-natured missile far than many a wordy jest	――これは幾多の戯談口よりも遥に性質（たち）の好い飛道具である
-- laughing heartily if it went right and not less heartily if it went wrong.	――を投げ合ったり、それが旨く中ったと云って、からからと笑ったり、また中らなかったと云って、同じようにからからと笑ったりしながら、陽気に浮かれ切っていたからである。
The poulterers' shops were still half open, and the fruiterers' were radiant in their glory.	鳥屋の店はまだ半分開いていた、果実屋の店は今日を晴れと華美を競って照り輝いていた。
There were great, round, round, pot-bellied baskets of chestnuts, shaped like the waistcoats of jolly old gentlemen, lolling at the doors, and tumbling out into the street in their apoplectic opulence.	そこには大きな、円い、布袋腹の栗籠が幾つもあって、陽気な老紳士の胴衣のような恰好をしながら、戸口の所にぐったりと凭れているのもあれば、中気に罹ったように膨れ過ぎて往来へごろごろ転がり出しているのもあった。
There were ruddy, brown-faced, broad-girthed Spanish onions, shining in the fatness of their growth like Spanish Friars, and winking from their shelves in wanton slyness at the girls as they went by, and glanced demurely at the hung-up mistletoe.	そこにはまた赤々と褐色の顔をして、広い帯を締めた西班牙（スペイン）種の玉葱があって、西班牙の坊さんのように勢いよく肥え太ってぴかつきながら、娘っ子が通りかかる度に、淫奔で狡猾そうな眼附きで棚の上からそっと目配せしたり、吊り上げてある寄生樹を真面目腐った顔で見遣ったりしていた。
There were pears and apples, clustered high in blooming pyramids;	そこにはまた梨子だの、林檎だのが色盛りの三色塔のように高く盛り上げられていた。
there were bunches of grapes, made, in the shopkeepers' benevolence, to dangle from conspicuous hooks, that people's mouths might water gratis as they passed;	そこにはまた葡萄の房が、店主の仁慈（なさけ）で、通りすがりの人が無料で口に露気を催すようにと、人目に立つ鉤にぶら下げられていた。
there were piles of filberts, mossy and brown,	そこにはまた榛（はしばみ）の実が苔が附いて褐色をして、山と積み上げられていた。
recalling, in their fragrance, ancient walks among the woods, and pleasant shufflings ankle deep through withered leaves;	そして、その香気で、森の中の古い小径や、枯れた落葉の中を踝まで没しながら足を引き摺り引き摺り愉快に歩き廻ったことを想い出させていた。
there were Norfolk Biffins, squat and swarthy, setting off the yellow of the oranges and lemons, and, in the great compactness of their juicy persons, urgently entreating and beseeching to be carried home in paper bags and eaten after dinner.	そこにはまた肉が厚く色の黒ずんだノーフオーク産の林檎があって、蜜柑や檸檬の黄色を引き立たせたり、その露気の多い肉の締った所で、早く紙袋に包んでお持ち帰りになって、食後に召上れと切に懇願したり嘆願したりしていた。
The very gold and silver fish, set forth among these choice fruits in a bowl, though members of a dull and stagnant-blooded race, appeared to know that there was something going on;	これ等の精選した果物の間には、金魚銀魚が鉢に入れて出してあったが、そんな無神経な血の運りの悪い動物でも、世の中には何事か起っていると云うことを感知しているように見えた。
and, to a fish, went gasping round and round their little world in slow and passionless excitement.	そして、一尾残らずゆっくりした情熱のない昂奮の下に彼等の小さな世界をぐるぐると喘ぎながら廻っていた。
The Grocers'!	食料品屋！
oh, the Grocers'!	おお食料品屋！
nearly closed, with perhaps two shutters down, or one;	恐らくは一二枚の雨戸を外して、自余（あと）は大概締めてあった。
but through those gaps such glimpses!	だが、その隙間からだけでも、こんな光景がずらりと見えるんだ！
It was not alone that the scales descending on the counter made a merry sound,	それは単に秤皿が帳場の上まで降りて来て愉快な音を立てているばかりではなかった。
or that the twine and roller parted company so briskly,	また撚糸がそれを捲いてある軸からぐるぐると活発に離れて来るばかりではなかった。
or that the canisters were rattled up and down like juggling tricks,	また缶が手品を使っているようにからからと音を立ててあちこち転がっているばかりではなかった。
or even that the blended scents of tea and coffee were so grateful to the nose, or even that the raisins were so plentiful and rare, the almonds so extremely white, the sticks of cinnamon so long and straight, the other spices so delicious, the candied fruits so caked and spotted with molten sugar as to make the coldest lookers-on feel faint and subsequently bilious.	また茶と珈琲の交じった香気が鼻に取って誠に有難かったり、乾葡萄が沢山あって而も極上等に、巴旦杏が素敵に真白で、肉桂の棒が長くかつ真直で、その他の香料も非常に香ばしく、砂糖漬けの果物が、極めて冷淡な傍観者でも気が遠くなって、続いて苛々して来るほどに、溶かした砂糖で固めたり塗（まぶ）したりされているばかりでもなかった。
Nor was it that the figs were moist and pulpy, or that the French plums blushed in modest tartness from their highly-decorated boxes, or that everything was good to eat and in its Christmas dress;	またそれは無花果がじくじくとして和らかであったばかりでも、また仏蘭西梅が盛に飾り立てた箱の中からほどの好い酸味を持って顔を赧めながら覗いているばかりでも、または何でも彼でも喰べるに好く、また聖降誕祭の装いを凝らしているばかりでもなかった。
but the customers were all so hurried and so eager in the hopeful promise of the day, that they tumbled up against each other at the door, crashing their wicker baskets wildly, and left their purchases upon the counter, and came running back to fetch them, and committed hundreds of the like mistakes, in the best humour possible;	それよりもむしろお客が皆この日の嬉しい期待に気が急いで夢中になっているのであった、そのために入口で互いに突き当って転がったり、柳の枝製の籠を乱暴に押し潰したり、帳場の上に買物を忘れて帰ったり、またそれを取りに駆け戻って来たりして、同じ様な間違いを幾度となく極上の機嫌で繰返しているのであった。
while the Grocer and his people were so frank and fresh that the polished hearts with which they fastened their aprons behind might have been their own, worn outside for general inspection, and for Christmas daws to peck at if they chose.	同時に食料品屋の主人も店の者も、前垂を背中で締め着けている磨き上げた心臓型の留め金は、一般の方々に見て頂くために、またお望みなら聖降誕祭の鴉どもに啄いて貰うために、表側に懸けた彼等自身の心臓で御座いと云わぬばかりに開放的にかつ生々と働いていた。
But soon the steeples called good people all, to church and chapel,	が、間もなく方々の尖塔（の鐘）は教会や礼拝堂に善男善女を呼び集めた。
and away they came, flocking through the streets in their best clothes, and with their gayest faces.	彼等は、晴れ着を着飾って街一杯に群がりながら、さもさも愉快そうな顔を揃えて、ぞろぞろと出掛けて来た。
And at the same time there emerged from scores of bye-streets, lanes, and nameless turnings, innumerable people, carrying their dinners to the baker' shops.	すると、同時に数多の横町、小径、名もない角々から、無数の人々が自分達の御馳走を麺麭屋の店へ搬びながら出て来た。
The sight of these poor revellers appeared to interest the Spirit very much, for he stood with Scrooge beside him in a baker's doorway,	これ等の貧しい人々の楽しそうな光景は、痛く精霊の御意に適ったと見えて、彼は麺麭屋の入口に、スクルージを自分の傍に惹き附けながら立っていた。
and taking off the covers as their bearers passed, sprinkled incense on their dinners from his torch.	そして、彼等が御馳走を持って通る毎に蓋を取って、松明からその御馳走の上に香料を振りかけてやった。
And it was a very uncommon kind of torch, for once or twice when there were angry words between some dinner-carriers who had jostled each other, he shed a few drops of water on them from it,	その松明がまた普通の松明ではなかった、と云うのは、一度か二度御馳走を搬んで来た人達が互に押し合いへし合いして喧嘩を始めた時、彼はその松明から彼等の上に二三滴の水を振りかけてやった。
and their good humour was restored directly.	すると、彼等はたちまち元通りの好い機嫌になったものだ。
For they said, it was a shame to quarrel upon Christmas Day.	彼等はまた、何しろ聖降誕祭の日に喧嘩するなんて恥かしいこったと云ったものだ。
And so it was.	その通りだとも！
God love it, so it was.	まったく、その通りだとも！
In time the bells ceased,	その内に鐘の音は止んだ。
and the bakers were shut up;	そして、麺麭屋の店も閉じられた。
and yet there was a genial shadowing forth of all these dinners and the progress of their cooking, in the thawed blotch of wet above each baker's oven;	しかしどこの麺麭屋でもその竈の上の雪溶けの濡れた所には、それ等の御馳走やその料理の進行に伴うのどかな影がほんのりと表われていた。
where the pavement smoked as if its stones were cooking too.	つまりそこでは、どうやらその石まで料理されているように、舗道が湯気を立てていたのである。
`Is there a peculiar flavour in what you sprinkle from your torch?'	「貴方が松明から振り掛けなさいますものには、何か特別の香味でも附いていますのですか」
asked Scrooge.	と、スクルージは訊ねた。
`There is.	「あるね。
My own.'	俺自身の香味だよ。」
`Would it apply to any kind of dinner on this day?'	「それが今日のどんな御馳走にでもよく適（あ）うので御座いますか」
asked Scrooge.	と、スクルージは訊ねた。
`To any kindly given.	「親切に出される御馳走なら、どんな御馳走にも適うのじゃ、
To a poor one most.'	貧しい御馳走には特に適うんだね。」
`Why to a poor one most?' asked Scrooge.	「何故貧しい御馳走に特に適うので御座いますか。」
`Because it needs it most.'	「そう云う御馳走は別けてもそれが入用じゃからね。」
`Spirit,'	「精霊殿！」
said Scrooge, after a moment's thought,	と、スクルージは一寸考えた後で云った、
`I wonder you, of all the beings in the many worlds about us, should desire to cramp these people's opportunities of innocent enjoyment.'	「私どもの周囲のいろいろな世界のありとあらゆる存在の中で、（他の物ならとにかく）貴方がこれ等の人々の無邪気な享楽の機会を奪おうとしていられると云うことは、私はどうも不思議でなりませんよ。」
`I?'	「俺（わし）が？」
cried the Spirit.	と、精霊は叫んだ。
`You would deprive them of their means of dining every seventh day,	「七日目毎に貴方は彼等が御馳走を喫べる便宜を奪っておしまいになるんですよ。
often the only day on which they can be said to dine at all,'	彼等がとにかく御馳走を喰べられるのはこの日位なものだと云われているその日にですね」
said Scrooge.	と、スクルージは云った。
`Wouldn't you?'	「そうじゃありませんかい。」
`I?'	「俺（わし）がだ！」
cried the Spirit.	と、精霊は叫んだ。
`You seek to close these places on the Seventh Day,'	「貴方は七日目毎にこう云う場所を閉めさせようとしておいでになるのでしょう？」
said Scrooge.	と、スクルージは云った。
`And it comes to the same thing!'	「だから、同じ事になるんですよ。」
`I seek?'	「俺（わし）がそうしようと思ってるんだって？」
exclaimed the Spirit.	と、精霊は大きな声で云った。
`Forgive me if I am wrong.	「間違っていたら御免下さい。
It has been done in your name, or at least in that of your family,'	ですが、貴方のお名前で、少なくとも貴方のお身内のお名前で、そう云う事をして居りますのです」
said Scrooge.	と、スクルージは云った。
`There are some upon this earth of yours,'	「お前方のこの世の中にはね」
returned the Spirit,	と、精霊は答えた、
`who lay claim to know us, and who do their deeds of passion, pride, ill-will, hatred, envy, bigotry, and selfishness in our name,	「俺（わし）達を知っているような顔をしながら、情欲、驕慢、悪意、憎悪、嫉妬、頑迷、我利の行いを俺達の名でやっている者があるんだよ。
who are as strange to us and all our kith and kin, as if they had never lived.	しかもそいつ等は、かつて生きていたことがないように、俺達や、俺達の朋友親戚には一面識もない奴等なんだよ。
Remember that, and charge their doings on themselves, not us.'	これはよく記憶（おぼ）えて置いて、彼奴等のしたことについては、彼奴等を責めるようにして、俺達を咎めてもらいたくないものだね。」
Scrooge promised that he would;	スクルージはそうすると約束した。
and they went on, invisible, as they had been before, into the suburbs of the town.	それから彼等は前と同じように姿を現わさないで、町の郊外へ入り込んで行った。
It was a remarkable quality of the Ghost (which Scrooge had observed at the baker's), that notwithstanding his gigantic size, he could accommodate himself to any place with ease;	精霊が、その巨大な体躯にも係らず、どんな場所にもらくらくとその身を適応させることが出来たと云うことは、
and that he stood beneath a low roof quite as gracefully and like a supernatural creature, as it was possible he could have done in any lofty hall.	また彼が低い屋根の下でも、どんな高荘な広間ででも振舞うことが可能であったと同じように優雅（しとやか）に、その上いかにも神変不思議の生物らしく立っていたと云うことは、彼の顕著な特質であった。
And perhaps it was the pleasure the good Spirit had in showing off this power of his, or else it was his own kind, generous, hearty nature, and his sympathy with all poor men, that led him straight to Scrooge's clerk's;	精霊が真直にスクルージの書記の家へ出掛けて行ったのは、恐らくこの精霊が彼のこの力を見せびらかすことにおいて感ずる快楽のためか、それでなくば彼の持って生れた親切にして慈悲深い、誠実なる性質と、総ての貧しき者に対する同情のためかであった。
for there he went, and took Scrooge with him, holding to his robe;	何となれば、彼は実際出懸けて行った、そして自分の着物に捕（つか）まっているスクルージを一緒に連れて行った。
and on the threshold of the door the Spirit smiled, and stopped to bless Bob Cratchit's dwelling with the sprinkling of his torch.	それから戸口の敷居の上でにっこり笑って、彼の松明から例の雫を振り掛けながら、ボブ・クラチット（註、ボブはロバートの愛称である。）の住居を祝福してやろうと立ち止まった。
Think of that.	考えても見よ！
Bob had but fifteen bob a-week himself;	ボブは一週間に彼自身僅かに十五ボブ（註、一ボブは一シリングの俗称である。）を得るばかりであった。
he pocketed on Saturdays but fifteen copies of his Christian name;	――彼は土曜日毎に自分の名前の僅かに十五枚を手に入れるばかりであった。
and yet the Ghost of Christmas Present blessed his four-roomed house.	――而も現在の基督降誕祭の精霊は彼の四間（よま）の家を祝福してくれたのであった。
Then up rose Mrs Cratchit, Cratchit's wife, dressed out but poorly in a twice-turned gown, but brave in ribbons, which are cheap and make a goodly show for sixpence;	その時クラチット夫人すなわちクラチットの細君は二度も裏返しをした着物で、粗末ながらにすっかり身繕いをして、しかし廉（やす）くて、六ペンスにしては好く見えるリボンで華やかに飾り立てて出て来た。
and she laid the cloth, assisted by Belinda Cratchit, second of her daughters, also brave in ribbons;	そして彼女は、これもまたリボンで飾り立てている二番目娘のベリンダ・クラチットに手伝わせて、食卓布をひろげた。
while Master Peter Cratchit plunged a fork into the saucepan of potatoes,	一方では、子息のピータア・クラチットが馬鈴薯の鍋の中に肉叉を突込んだ。
and getting the corners of his monstrous shirt collar (Bob's private property, conferred upon his son and heir in honour of the day) into his mouth, rejoiced to find himself so gallantly attired, and yearned to show his linen in the fashionable Parks.	そして、恐ろしく大きな襯衣（シャツ）（この日の祝儀として、ボブが彼の子息にして嗣子なるピーターに授与したる私有財産）の襟の両端を自分の口中に啣えながら、我ながらいかにも華々しくめかし込んだのに嬉しくなって、流行児の集まる公園に出懸けて自分の下着を見せたくて堪らなかった。
And now two smaller Cratchits, boy and girl, came tearing in, screaming that outside the baker's they had smelt the goose, and known it for their own;	さて、二人の一層小さいクラチット達、すなわち男の児と女の児とは、麺麭屋の戸外で鵞鳥の匂いを嗅いだが、それが自分達のだと分ったと云って、きゃあきゃあ叫びながら躍り込んで来た。
and basking in luxurious thoughts of sage and onion, these young Cratchits danced about the table, and exalted Master Peter Cratchit to the skies,	そして、これ等の小クラチット達はサルビヤだの葱だのと贅沢な考えに耽りながら、食卓の周囲を躍り廻って、ピータア・クラチット君を口を極めて褒めそやした。
while he (not proud, although his collars nearly choked him) blew the fire, until the slow potatoes bubbling up, knocked loudly at the saucepan-lid to be let out and peeled.	その間に彼は（襯衣の襟が咽喉を締めそうになっていたが、別段自慢もしないで）のろのろした馬鈴薯が漸く煮えくり返りながら、取り出して皮を剥いてくれと、大きな音を立てて鍋の蓋を叩き出すまで、火を吹き熾していた。
`What has ever got your precious father then?'	「それはそうと、お前達の大切（だいじ）の阿父さんはどうしたんだろうね？」
said Mrs Cratchit.	と、クラチット夫人は云った。
`And your brother, Tiny Tim.	「それからお前達の弟のちびのティムもだよ！
And Martha warn't as late last Christmas Day by half-an-hour.'	それからマーサも去年の基督降誕祭には約三十分も前に帰って来ていたのにねえ。」
`Here's Martha, mother,'	「マーサが来ましたよ、阿母さん！」
said a girl, appearing as she spoke.	と云いながら、一人の娘がそこに現われた。
`Here's Martha, mother!'	「マーサが来ましたよ、阿母さん！」
cried the two young Cratchits.	と、二人の小クラチットどもは叫んだ。
`Hurrah!	「万歳！
There's such a goose, Martha!'	こんな鵞鳥があるよ、マーサ！」
`Why, bless your heart alive, my dear, how late you are!'	「まあ、どうしたと云うんだね、マーサや、随分遅かったねえ！」
said Mrs Cratchit, kissing her a dozen times, and taking off her shawl and bonnet for her with officious zeal.	と云いながら、クラチット夫人は幾度も彼女に接吻したり、彼是と世話を焼きたがって、相手のシォールだの帽子だのを代って取って遣ったりした。
`We'd a deal of work to finish up last night,'	「昨夜（ゆうべ）のうちに仕上げなければならない仕事が沢山あったのよ」
replied the girl,	と、娘は答えた、
`and had to clear away this morning, mother.'	「そして、今朝はまたお掃除をしなければならなかったのでねえ、阿母さん！」
`Well!	「ああああ、
Never mind so long as you are come,'	来たからにはもう何も云うことはないんだよ」
said Mrs Cratchit.	と、クラチット夫人は云った。
`Sit ye down before the fire, my dear,	「煖炉の前に腰をお掛けよ。
and have a warm,	そして、先ずお煖まりな。
Lord bless ye.'	本当に好かったねえ。」
`No, no.	「いけない、いけない、
There's father coming,'	阿父さんが帰っていらっしゃるところだ」
cried the two young Cratchits, who were everywhere at once.	と、どこへでもでしゃばりたがる二人の小さいクラチットどもは呶鳴った。
`Hide, Martha, hide!'	「お隠れよ、マーサ、お隠れよ。」
So Martha hid herself,	マーサは云われるままに隠れた。
and in came little Bob, the father, with at least three feet of comforter exclusive of the fringe, hanging down before him;	阿父さんの小ボブは襟巻を、総（ふさ）を除いて少くとも三尺はだらりと下げて、
and his threadbare clothes darned up and brushed, to look seasonable;	時節柄見好いように継ぎを当てたり、ブラシを掛けたりした、擦り切れた服を身に着けていた。
and Tiny Tim upon his shoulder.	そして、ちびのティムを肩車に載せて這入って来た。
Alas for Tiny Tim, he bore a little crutch, and had his limbs supported by an iron frame.	可哀そうなちびのティムよ、彼は小さな撞木杖を突いて、鉄の枠で両脚を支えていた。
`Why, where's our Martha?'	「ええ、マーサはどこに居るのか」
cried Bob Cratchit, looking round.	と、ボブ・クラチットは四辺（あたり）を見廻しながら叫んだ。
`Not coming,'	「まだ来ませんよ」
said Mrs Cratchit.	と、クラチット夫人は云った。
`Not coming!'	「まだ来ない！」
said Bob, with a sudden declension in his high spirits;	と、ボブは今まで元気であったのが急に落胆（がっかり）して云った。
for he had been Tim's blood horse all the way from church, and had come home rampant.	実際、彼は教会から帰る途すがら、ずっとティムの種馬になって、ぴょんぴょん跳ねながら帰って来たのであった。
`Not coming upon Christmas Day?'	「基督降誕祭だと云うのにまだ来ないって！」
Martha didn't like to see him disappointed, if it were only in joke;	マーサは、たとい冗談にもせよ、父親が失望しているのを見たくなかった。
so she came out prematurely from behind the closet door,	で、まだ早いのに押入れの戸の蔭から出て来た。
and ran into his arms,	そして、彼の両腕の中に走り寄った。
while the two young Cratchits hustled Tiny Tim, and bore him off into the wash-house, that he might hear the pudding singing in the copper.	その間二人の小クラチットどもはちびのティムをぐいぐい引っ張って、鍋の中でぐつぐつ煮えている肉饅頭の歌を聞かせてやろうと台所へ連れて行った。
`And how did little Tim behave?'	「で、ティムはどんな風でした？」
asked Mrs Cratchit, when she had rallied Bob on his credulity, and Bob had hugged his daughter to his heart's content.	と、クラチット夫人は、先ずボブが軽々しく人の云うことを本気にするのを冷かし、ボブはまた思う存分娘を抱き締めた後で、こう訊ねた。
`As good as gold,'	「黄金のように上等だった」
said Bob,	と、ボブは云った。
`and better.	「もっと善かったよ。
Somehow he gets thoughtful, sitting by himself so much,	あんなに永く一人で腰掛けていたもので、どうやらこう考え込んでしまったんだね。
and thinks the strangest things you ever heard.	そして、誰も今まで聞いたこともないような不思議な事を考えているんだよ。
He told me, coming home, that he hoped the people saw him in the church,	帰り途で、私にこう云うんだ、教会の中で衆皆（みんな）が自分を見てくれれば可いと思った。
because he was a cripple, and it might be pleasant to them to remember upon Christmas Day, who made lame beggars walk, and blind men see.'	何故なら自分は跛者だし、聖降誕祭の日に、誰が跛者の乞食を歩かせたり、盲人を見えるようにして下さったかと云うことを想い出したら、あの人達も好い気持だろうからとこう云うんだよ。」
Bob's voice was tremulous when he told them this,	皆にこの話をした時、ボブの声は顫えていた。
and trembled more when he said that Tiny Tim was growing strong and hearty.	そして、ちびのティムも段々しっかりして達者になって来たと云った時には、一層それが顫えていた。
His active little crutch was heard upon the floor,	せわしない、小さな撞木杖の音が床の上に聞えた。
and back came Tiny Tim before another word was spoken, escorted by his brother and sister to his stool before the fire;	そして、次の言葉がまだ云い出されないうちに、ちびのティムは彼の兄や姉に護られて、もう煖炉の傍の自分の床几に戻って来た。
and while Bob, turning up his cuffs	その間ボブは袖口をまくり上げて
--as if, poor fellow, they were capable of being made more shabby	――気の毒な者よ、あんな袖口がこの上まで汚（よご）れようがあるか何ぞのように
--compounded some hot mixture in a jug with gin and lemons,	――ジン酒と檸檬で鉢の中に一種の熱い混合物（まぜもの）を拵えた。
and stirred it round and round and put it on the hob to simmer;	そして、それをぐるぐる掻き廻してから、とろ火で煮るために炉側の棚の上に載せた。
Master Peter, and the two ubiquitous young Cratchits went to fetch the goose, with which they soon returned in high procession.	ピーター君と二人のちょこまかした小クラチットどもは鵞鳥を取りに出掛けたが、間もなくそれを持って仰々しい行列を作って帰って来た。
Such a bustle ensued that you might have thought a goose the rarest of all birds;	あらゆる鳥の中で鵞鳥を最も稀有なものと、諸君が思われたかも知れないような騒ぎが続いて起った。
a feathered phenomenon, to which a black swan was a matter of course	羽の生えた怪物、それに比べては、黒い白鳥も異とするに足りない
-- and in truth it was something very like it in that house.	――で、実際この家では鵞鳥がまずそれと同じようなものであった。
Mrs Cratchit made the gravy (ready beforehand in a little saucepan) hissing hot;	クラチット夫人は肉汁（前以て小さな鍋に用意して置いた）をシューシュー煮立たせた。
Master Peter mashed the potatoes with incredible vigour;	ピータア君はほとんど信じられないような力で馬鈴薯を突き潰した。
Miss Belinda sweetened up the apple-sauce;	ベリンダ嬢はアップル・ソースに甘味をつけた。
Martha dusted the hot plates;	マーサは（湯から出し立ての）熱い皿を拭いた。
Bob took Tiny Tim beside him in a tiny corner at the table;	ボブはちびのティムを食卓の小さな片隅へ連れて行って、自分の傍に腰掛けさした。
the two young Cratchits set chairs for everybody,	二人の小クラチットどもは衆皆（みんな）のために椅子を並べた。
not forgetting themselves,	衆皆（みんな）と云う中にはもちろん自分達の事も忘れはしなかった。
and mounting guard upon their posts, crammed spoons into their mouths, lest they should shriek for goose before their turn came to be helped.	そして、自分の席について見張りをしながら、自分達の盛（よそ）って貰う順番が来ないうちに早く鵞鳥が欲しいなぞと我鳴り立ててはならないと思って、口の中一杯に匙を押込んでいた。
At last the dishes were set on,	到頭お皿が並べられた。
and grace was said.	食前のお祈りも済んだ。
It was succeeded by a breathless pause, as Mrs Cratchit, looking slowly all along the carving-knife, prepared to plunge it in the breast;	それからクラチット夫人が大庖丁を手に取って、ゆるゆるとそれを一遍並み見渡しながら、鵞鳥の胸に突き刺そうと身構えた時、一座は息を殺してぱたりと静かになった。
but when she did, and when the long expected gush of stuffing issued forth, one murmur of delight arose all round the board,	が、それを突き刺した時には、そして、永い間待ち焦れていた詰め物がどっと迸り出た時には、食卓の周囲から喜悦の呟き声が一斉に挙がった。
and even Tiny Tim, excited by the two young Cratchits, beat on the table with the handle of his knife, and feebly cried Hurrah!	そして、ちびのティムでさえ二人の小クラチットどもに励まされて、自分の小刀の柄で食卓を叩いたり、弱々しい声で万歳！　と叫んだりした。
There never was such a goose.	こんな鵞鳥は決して有りっこがなかった。
Bob said he didn't believe there ever was such a goose cooked.	ボブはこんな鵞鳥がこれまで料理されたとは思われないなぞと云った。
Its tenderness and flavour, size and cheapness, were the themes of universal admiration.	その軟かさと云い、香気と云い、大きさと云い、廉価なことと云い、皆一同の嘆称の題目であった。
Eked out by apple-sauce and mashed potatoes, it was a sufficient dinner for the whole family;	アップル・ソースと潰した馬鈴薯とで補えば、家中残らずで喰べるに十分の御馳走であった。
indeed, as Mrs Cratchit said with great delight (surveying one small atom of a bone upon the dish), they hadn't ate it all at last.	まったくクラチット夫人が、（皿の上に残った小さな骨の破片をつくづく見遣りながら、）さも嬉しそうに云った通り、彼等はとうとうそれを喰べ切れなかったのだ！
Yet every one had had enough, and the youngest Cratchits in particular, were steeped in sage and onion to the eyebrows.	それでも各自は満腹した、別けても小さい者達は眼の上までサルビヤや葱に漬かっていた。
But now, the plates being changed by Miss Belinda, Mrs Cratchit left the room alone	ところが、今度はベリンダ嬢が皿を取り換えたので、クラチット夫人は肉饅頭を取り上げて持って来ようと、独りでその部屋を出て行った
--too nervous to bear witnesses--to take the pudding up and bring it in.	――肉饅頭を取り出すところを他の者に見られることなぞとても我慢が出来なかったほど、彼女は神経質になっていたのである。
Suppose it should not be done enough?	仮りにそれが十分火が通っていなかったとしたら！
Suppose it should break in turning out?	取り出す際に、それが壊れでもしたら！
