THE MERMAID DEN LILLE HAVFRUE	人魚のひいさま
'There it is,'	「さあ、できましたよ。」
said the witch,	と、魔女はいいました。
said the witch, and thereupon she cut off the tongue of the little mermaid,	そこで、のみぐすりをわたして、代りにひいさまの舌を切りました。
who was dumb now and could neither sing nor speak.	もうこれで、ものもいえず、歌もうたえない、おしになったのです。
'If the polyps should seize you, when you go back through my wood,'	「もしか、かえりみちに、森のなかをとおって、さんご虫どもにつかまりそうになったらね。」
said the witch,	と、魔女はいいました。
'just drop a single drop of this liquid on them, and their arms and fingers will burst into a thousand pieces.'	「このくすりをたった一てきでいい、たらしておやり、そうすると、やつら、腕も指もばらばらになってとんでしまう。」
But the little mermaid had no need to do this,	けれど人魚のひいさまは、そんなことをしないでもすみました。
for at the mere sight of the bright liquid, which sparkled in her hand like a shining star, they drew back in terror.	さんご虫は、ひいさんの手のなかで、星のようにきらきらするのみぐすりをみただけで、おじけて引っこみました、
So she soon got past the wood, the bog, and the eddying whirlpools.	それで、苦もなく、森もぬけ、すくも田もとおって、うずまきの流れもくぐってかえりました。
She saw her father's palace;	そこに、おとうさまの御殿がみえました。
the lights were all out in the great ballroom,	大きな舞踏（ぶとう）の間（ま）も、もうあかりが消えていました。
and no doubt all the household was asleep,	きっともう、みんな寝たのでしょう。
but she did not dare to go in now that she was dumb and about to leave her home for ever.	けれど、ひいさまも、いまはもうおしでしたし、このまま、ながいおわかれをしようというところでしたから、おねえさまたちを、さがしにはいっていこうとはしませんでした。
She felt as if her heart would break with grief.	もう、せつなくて、胸がはりさけるようでした。
She stole into the garden and plucked a flower from each of her sisters' plots, wafted with her hand countless kisses towards the palace, and then rose up through the dark blue water.	そっと、花園にはいって、おねえさまたちの花壇から、めいあいに、ひとつずつ花をつみとって、御殿のほうへ、指で、もうなんべんとしれないほど、おわかれのキッスをなげたのち、くらいあい色の海をぬけて、上へ上がっていきました。
The sun had not risen when she came in sight of the prince's palace and landed at the beautiful marble steps.	ひいさまが、王子のお城をみつけて、そこのりっぱな階段を上がっていったとき、お日さまはまだのぼっていませんでした。
The moon was shining bright and clear.	お月さまだけが、うつくしくさえていました。
The little mermaid drank the burning, stinging draught,	人魚のひいさまは、やきつくように、つんとつよいくすりをのみました。
and it was like a sharp, two-edged sword running through her tender frame; she fainted away and lay as if she were dead.	すると、きゃしゃなふしぶしに、するどいもろ刄のつるぎを、きりきり突きとおされたようにかんじて、それなり気がとおくなり、死んだようになってたおれました。
When the sun rose on the sea she woke up	やがて、お日さまの光が、海の上にかがやきだしたとき、ひいさまは目がさめました。
and became conscious of a sharp pang,	とたんに、切りさかれるような痛みをかんじました。
but just in front of her stood the handsome young prince,	けれど、もうそのとき、すぐ目のまえには、うつくしいわかい王子が立っていました。
fixing his coal black eyes on her;	王子は、うるしのような黒い目でじっとひいさまをみつめていました。
she cast hers down	はっとして、ひいさまは目を伏せました。
and saw that her fish's tail was gone, and that she had the prettiest little white legs any maiden could desire;	すると、あのおさかなのしっぽは、きれいになくなっていて、わかいむすめだけしかないような、それはそれはかわいらしい、まっ白な二本の足とかわっているのが、目にはいりました。
but she was quite naked, so she wrapped her long thick hair around her.	でも、まるっきり、からだをおおうものがないので、ひいさまは、ふっさりとこくながい髪の毛で、それをかくしました。
The prince asked who she was and how she came there.	王子はそのとき、いったい、あなたはたれかどこから来たのかといって、たずねました。
She looked at him tenderly and with a sad expression in her dark blue eyes,	ひいさまは、王子の顔を、やさしく、でも、あくまでかなしそうに、そのこいあい色の目でみあげました。
but could not speak.	もう、口をききたくもきけないのです。
Then he took her by the hand and led her into the palace.	そこで、王子はひいさまの手をとって、お城のなかへつれていきました。
Every step she took was, as the witch had warned her beforehand, as if she were treading on sharp knives and spikes, but she bore it gladly;	なるほど、魔女があらかじめいいきかせていたように、ひいさまは、ひと足ごとに、とがった針か、するどい刄ものの上をふんであるくようでしたが、いさんで、それをこらえました。
led by the prince, she moved as lightly as a bubble,	王子の手にすがって、ひいさまは、それこそシャボン玉のようにかるく上がっていきました。
and he and every one else marvelled at her graceful gliding gait.	すると、王子もおつきの人たちもみんな、ひいさまのしなやかな、かるい足どりをふしぎそうに見ました。
Clothed in the costliest silks and muslins	さて、ひいさまは、絹とモスリンの高価な着物をいただいて着ました。
she was the greatest beauty in the palace,	お城のなかでは、たれひとりおよぶもののないうつくしさでした。
but she was dumb, and could neither sing nor speak.	けれど、おしで、歌をうたうことも、ものをいうこともできません。
Beautiful slaves clad in silks and gold came forward and sang to the prince and his royal parents;	絹に金のぬいとりした着物を着かざったうつくしい女のどれいたちがでて来て、王子と、王子のご両親の王さま、お妃（きさき）さまのご前で歌をうたいました。
one of them sang better than all the others, and the prince clapped his hands and smiled at her;	そのなかでひとり、たれよりもひときわじょうずによくうたう女があったので、王子は手をたたいてやって、そのほうへにっこりわらいかけました。
that made the little mermaid very sad, for she knew that she used to sing far better herself.	でも、人魚のひいさまは、じぶんなら、はるかずっといい声でうたえるのにとおもって、かなしくなりました。
She thought,	そこで、
'Oh! if he only knew that for the sake of being with him I had given up my voice for ever!'	「ああ、王子さまのおそばに来たいばかりに、あたしは、みらいえいごう、声をひとにやってしまったのです。
Now the slaves began to dance, graceful undulating dances to enchanting music;	こんどは、女のどれいたちが、それはけっこうな音楽にあわせて、しとやかに、かるい足どりで、おどりました。
thereupon the little mermaid, lifting her beautiful white arms and raising herself on tiptoe, glided on the floor with a grace which none of the other dancers had yet attained.	すると、人魚のひいさまも、うつくしい白い腕をあげて、つま先立ちして、たれにもまねのならないかるい身のこなしで、ゆかの上をすべるようにおどりあるきました。
With every motion her grace and beauty became more apparent,	ひとつひとつ、しぐさをかさねるにしたがって、この人魚のひいさまの世にないうつくしさが、いよいよ目に立ちました。
and her eyes appealed more deeply to the heart than the songs of the slaves.	その目のはたらきは、どれいたちの女の歌とくらべものにならない、ふかいいみを、見る人びとのこころに語っていました。
Every one was delighted with it,	そこにいた人たちは、たれも、酔ったようになっていました。
especially the prince, who called her his little foundling;	とりわけ、王子は、ひいさまの名を「かわいいひろいむすめさん」とつけてよろこんでいました。
and she danced on and on,	ひいさまは、いくらでもおどりつづけました。
notwithstanding that every time her foot touched the ground it was like treading on sharp knives.	そのくせ地に足がふれるたんびに、するどい刄ものの上をふむようでした。
The prince said that she should always be near him, and she was allowed to sleep outside his door on a velvet cushion.	王子は、いつまでもじぶんの所にいるようにといって、すぐじぶんのへやのまえの、びろうどのしとねにねることをゆるしました。
He had a man's dress made for her, so that she could ride about with him.	王子は、ひいさまを馬にのせてつれてあるけるように、男のお小姓（こしょう）の着る服をこしらえてやりました。
They used to ride through scented woods,	ふたりは、いいにおいのする森のなかを、馬であるきました。
where the green branches brushed her shoulders, and little birds sang among the fresh leaves.	すると、みどりのこい木の枝が、ふたりの肩にさわったり、小鳥たちが、みすみずしい葉かげで歌をうたいました。
She climbed up the highest mountains with the prince,	ひいさまは、王子について、たかい山にものぼりました。
and although her delicate feet bled so that others saw it, she only laughed	そんなとき、きゃしゃな［＃「きゃしゃな」は底本では「きゃしな」］足から血がながれて、ほかのひとたちの目につくほどになっても、ひいさまはわらっていました。
and followed him until they saw the clouds sailing below them like a flock of birds, taking flight to distant lands.	そうして、どこまでも王子にくっついていって、雲が、よその国へわたっていく鳥のむれのように、とんでいるところを、はるか目のしたにながめました。
At home in the prince's palace, when at night the others were asleep, she used to go out on to the marble steps;	うちで、王子のお城のなかにいるとき、夜な夜な、ほかのひとたちのねむっているあいだに、ひいさまは、大理石の階段のうえに出ました。
it cooled her burning feet to stand in the cold sea-water,	そうして、もえるような足を、つめたい海の水にひたしました。
and at such times she used to think of those she had left in the deep.	そうしているうち、はるか下の海のそこの、わかれて来たひとたちのことが、こころにうかんで来ました。
One night her sisters came arm in arm;	そういう夜のつづいているとき、ある晩、夜ぶかく、人魚のおねえさまたちが、手をつなぎあってでて来ました。
they sang so sorrowfully as they swam on the water	波のうえにうきながら、おねえさまたちは、かなしそうにうたいました。
that she beckoned to them, and they recognised her, and told her how she had grieved them all.	ひいさまが手まねきして知らせると、むこうでもみつけて、あちらでは、みんな、どんなにさびしがっているか話してきかせました。
After that they visited her every night,	それからは、毎晩のように、このおねえさまたちはでて来ました。
and one night she saw, a long way out, her old grandmother (who for many years had not been above the water),	いちどなどは、もう何年とないひさしい前から、海の上にでておいでにならなかつたおばあさまの姿を、とおくでみつけました。
and the Merman King with his crown on his head;	かんむりをおつむりにのせたおとうさまの人魚の王さまも、ごいっしょのようでした。
they stretched out their hands towards her, but did not venture so close to land as her sisters.	おばあさまも、おとうさまも、ひいさまのほうへ手をさしのべましたが、おねえさまたちのようには、おもいきっておか近くへ寄りませんでした。
Day by day she became dearer to the prince;	日がたつにつれて、王子はだんだん人魚のひいさまが好きになりました。
he loved her as one loves a good sweet child,	王子は、心のすなおな、かわいいこどもをかわいがるように、ひいさまをかわいがりました。
but it never entered his head to make her his queen;	けれど、このひいさまを、お妃（きさき）がしようなんということは、まるっきりこころにうかんだことがありません。
yet unless she became his wife she would never win an everlasting soul,	でも、ひいさまとしては、どうしても王子のおよめにしていただかなければ［＃「いただかなければ」は底本では「いただなければ」］、もう死なないたましいのさずかるみちはありません。
but on his wedding morning would turn to sea-foam.	そうして、王子がほかのお妃をむかえた次の朝、海のあわになってきえなければなりませんでした。
'Am I not dearer to you than any of them?'	「わたくしを、だれよりもいちばんかわいいとはおおもいにならなくて。」
the little mermaid's eyes seemed to say when he took her in his arms and kissed her beautiful brow.	と、王子が人魚のひいさまを腕にかかえて、そのうつくしいひたえにほおをよせるとき、ひいさまの目は、そうたずねているようにみえました。
'Yes, you are the dearest one to me,'	「そうとも、いちばんかわいいとも。」
said the prince,	と、王子はいいました。
'for you have the best heart of them all, and you are fondest of me;	「だって、おまえはだれよりもいちばんやさしい心をもっているし、いちばん、ぼくをだいじにしてつかえてくれる。
you are also like a young girl I once saw, but whom I never expect to see again.	それに、ぼくがいつかあったことがあって、それなりもう二どとはあえまいとおもうむすめによく似ているのだよ。
I was on board a ship which was wrecked; I was driven on shore by the waves close to a holy Temple	ぼくはあるとき、船にのって、難破（なんぱ）したことがあった、波がぼくを、あるとうといお寺のちかくの浜にうち上げてくれた。
where several young girls were ministering at a service;	そのお寺にはおおぜい、わかいむすめたちが、おつとめしていた。
the youngest of them found me on the beach and saved my life;	そのなかでいちばんわかい子が、ぼくを浜でみつけて、いのちをたすけてくれた。
I saw her but twice.	ぼくは、その子を二どみただけだった。
She was the only person I could love in this world,	その子だけが、ぼくのこの世の中で好きだとおもったただひとりのむすめだった。
but you are like her,	ところで、おまえがそのむすめに生きうつしなのだ。
you almost drive her image out of my heart.	あまり似ているので、ぼくの心にのこっていたせんのむすめのすがたが、いまではどうやらとおくにおしのけられそうだ。
She belongs to the holy Temple, and therefore by good fortune you have been sent to me;	そのむすめは、とうといお寺につかえているむすめだから、ぼくの幸運の神さまが、その子のかわりに、おまえをぼくのところへよこしてくれたのだ。
we will never part!'	いつまでもいっしょにいようね。」――
'Alas! he does not know that it was I who saved his life,'	「ああ、あの方は、あの方のおいのちをたすけてあげたのは、このあたしだということをお知りにならないのね。」
thought the little mermaid.	と、人魚のひいさまはおもいました。
'I bore him over the sea to the wood where the Temple stands.	「あたし、あの方をかかえて海の上を、お寺のある森の所まではこんであげたのだわ。
I sat behind the foam and watched to see if any one would come.	あたし、そのとき、あわのかげにかくれて、たれかひとは来ないかみていたのだわ。
I saw the pretty girl he loves better than me.'	あの方が、あたしよりもっと好きだとおっしゃるそのうつくしいむすめも、みて知っている。」
And the mermaid heaved a bitter sigh,	と、ここまでかんがえて、人魚のひいさまは、ふかいため息をしました。
for she could not weep.	人魚は泣きたくも泣けないのです。
'The girl belongs to the holy Temple, he has said; she will never return to the world,	「でも、そのむすめさんは、とうといお寺につかえている身だから、世の中へでてくることはないと、あの方はおっしゃった。
they will never meet again.	おふたりのあうことはきっともうないのね。
I am here with him;	あたしはこうしてあの方のおそばにいる。
I see him every day.	まいにち、あの方のお顔をみている。
Yes! I will tend him,	あたし、あの方をよくいたわってあげよう。
love him, and give up my life to him.'	あの方にやさしくしよう、あたしのいのちを、あの方にささげよう。」
But now the rumour ran that the prince was to be married to the beautiful daughter of a neighbouring king,	ところが、そのうちに、王子がいよいよ結婚することになった、おとなりの王国のきれいなお姫さまをお妃（きさき）にむかえることになった、といううわさが立ちました。
and for that reason was fitting out a splendid ship.	そのために、王子さまは、りっぱな船を一そう、おしたてさせになったともいいました。
It was given out that the prince was going on a voyage to see the adjoining countries, but it was without doubt to see the king's daughter;	こんどの王子の旅行は、おもてむき、おとなりの王国を見学（けんがく）にいかれるということになっているけれど、じつは王さまのお姫さまにあいにいくのだということでした。
he was to have a great suite with him.	たくさんのおともの人数（にんず）もきまっていました。
But the little mermaid shook her head and laughed; 	でも、人魚のひいさまは、つむりをふって、にっこりしていました。
she knew the prince's intentions much better than any of the others.	王子の心は、たれよりもよく、このひいさまに分かっているはずでした。
'I must take this voyage,'	「ぼくは旅をしなければならないよ。」
he had said to her;	と、王子は人魚のひいさまにいいました。
'I must go and see the beautiful princess;	「きれいな王女のお姫さまにあいにいくのさ。
my parents demand that,	おとうさまとおかあさまのおのぞみでね。
but they will never force me to bring her home as my bride;	だが、ぜひともそのお姫さまをぼくのおよめにもらって来いというのではないよ。
I can never love her!	だが、ぼくはそのお姫さまが好きにはなれまいよ。
She will not be like the lovely girl in the Temple whom you resemble.	おまえがそれにそっくりだといった、あのお寺のきれいなむすめには似ていないだろうからね。
If ever I had to choose a bride it would sooner be you	そのうち、どうしてもおよめえらびをしなければならなくなったら、ぼくはいっそおまえをえらぶよ。
with your speaking eyes, my sweet, dumb foundling!'	口はきけないかわり、ものをいう目をもっている、ひろいむすめのおまえをね。」
And he kissed her rosy mouth,	こういって、王子は、ひいさまのあかいくちびるにくちをつけました。
played with her long hair, and laid his head upon her heart,	それからながい髪の毛をいじって、その胸に顔をおしつけました。
which already dreamt of human joys and an immortal soul.	それだけでもうひいさまのこころには、人間にうまれた幸福と、死なないたましいのことが、夢のようにうかびました。
'You are not frightened of the sea, I suppose, my dumb child?'	「でも、おしのひろいむすめさんは、海をこわがりはしないだろうね。」
he said,	と、王子はいいました。
as they stood on the proud ship which was to carry them to the country of the neighbouring king;	そのとき、ふたりは、おとなりの王さまの国へ行くはずのりっぱな船の上にいました。
and he told her about storms and calms, about curious fish in the deep, and the marvels seen by divers;	それから王子に、海のしけとなぎのこと、海のそこのふしぎな魚のこと、そこで潜水夫（せんすいふ）のみて来ていることなどを、なにくれと話しました。
and she smiled at his tales,	でも、話のなかで、ひいさまはついほほえみかけました。
for she knew all about the bottom of the sea much better than any one else.	そうでしょう、海のそこのことなら、たれがなんといったって、このひいさまにかなうものはないでしょうから。
At night, in the moonlight, when all were asleep, except the steersman who stood at the helm,	月のいい晩で、舵（かじ）の所に立っている舵とりひとりのこして、船のなかの人たちはみんな寝しずまっていました。
she sat at the side of the ship trying to pierce the clear water with her eyes,	人魚のひいさまは、船のへりに腰をかけて、澄んだ水のなかを、じっとながめていました。
and fancied she saw her father's palace,	おとうさまの御殿が、そこにみえているようにおもわれました。
and above it her old grandmother with her silver crown on her head, looking up through the cross currents towards the keel of the ship.	御殿のいちばんの高殿（たかどの）には、おつむりに銀のかんむりをのせたおばあさまが立っていらしって、はやいうしおの流れをすかして、じいっとこちらの船の竜骨（りゅうこつ）をみ上げておいでになるようです。
Then her sisters rose above the water;	するうち、おねえさまたちが、波の上に出て来ました。
they gazed sadly at her, wringing their white hands.	そうして、かなしそうな顔で、こちらをみて、その白い手を、せつなそうにこすりました。
She beckoned to them, smiled, and was about to tell them that all was going well and happily with her, when the cabin-boy approached, and the sisters dived down,	ひいさまは、おねえさまたちにあいずして、にっこりわらいかけて、こちらは不足なくしあわせにしている話をしようとすると、そこへ、船のボーイがふしんらしく寄って来たので、おねえさまたちは水にもぐりました。
but he supposed that the white objects he had seen were nothing but flakes of foam.	それで、ボーイも、いま、ちらと白いものがみえたのは、海のあわであったかとおもって、それなりにしてしまいました。
The next morning the ship entered the harbour of the neighbouring king's magnificent city.	そのあくる朝、船はおとなりの王さまの国の、きらびやかな都の港にはいっていきました。
The church bells rang	町のお寺の鐘が、いっせいに鳴りだしました。
and trumpets were sounded from every lofty tower,	そこここのたかい塔で、大らっぱを吹きたてました。
while the soldiers paraded with flags flying and glittering bayonets.	そのなかで兵隊が、旗を立てて、銃剣をひからせて行列しました。
there was a succession of balls, and receptions followed one after the other,	舞踏会（ぶとうかい）だの、宴会だの、それからそれとつづきました。
but the princess was not yet present;	でも王さまのお姫さまは、まだすがたをみせません。
she was being brought up a long way off, in a holy Temple they said, and was learning all the royal virtues.	うわさでは、どこかとおい所の、あるとうといお寺にあずけられていて、そこで王妃たるべき人のいっさいの道を、修めておいでになるということでした。
At last she came.	するうち、そのお姫さまもやっとおかえりになりました。
The little mermaid stood eager to see her beauty, and she was obliged to confess that a lovelier creature she had never beheld.	人魚のひいさまも、いったいどんなにうつくしいのか、はやくそのひとをみたいものだと、気にかかっていましたが、いまみて、いかにも人がらの優美（ゆうび）なのに、かんしんしずにはいられませんでした。
Her complexion was exquisitely pure and delicate, and her trustful eyes of the deepest blue shone through their dark lashes.	はだはうつくしく透（す）きとおるようですし、ながいまっ黒なまつ毛の奥には、ふかい青みをもった、貞実（ていじつ）な目がやさしく笑（え）みかけていました。
'It is you,'	「あなたでしたよ。」
said the prince,	と、王子はいいました。
'you	「［＃「「」は底本では欠落］そう、あなたでした。
who saved me when I lay almost lifeless on the beach?'	ぼくが死がいも同様で海岸にうち上げられていたとき、すくってくださったのは。」
and he clasped his blushing bride to his heart.	こう、王子はいつて、顔をあからめている花よめを、しっかり胸にかかえました。
'Oh!	「ああ、
I am too happy!'	ぼくはあんまり幸福すぎるよ。」
he exclaimed to the little mermaid.	と、王子は、人魚のひいさまにいいました。
'A greater joy than I had dared to hope for has come to pass.	「最上の望みが、しょせん望んでもむだだと［＃「むだだと」は底本では「むただと」］あきらめていたそれが、みごとかなったのだもの、
You will rejoice at my joy, for you love me better than any one.'	おまえ、ぼくの幸福をよろこんでくれるだろう、だっておまえは、どのだれにもまさって、ぼくのことをしんみにおもっていてくれたのだもの。」
Then the little mermaid kissed his hand, and felt as if her heart were broken already.	こういわれて、人魚のひいさまは、王子の手にくちびるをあてましたが、心臓（しんぞう）はいまにもやぶれるかとおもいました。
His wedding morn would bring death to her and change her to foam.	ふたりのご婚礼のあるあくる朝は、このひいさまが死んで、あわになって、海の上にうく日でしたものね。
All the church bells pealed	［＃空白は底本では欠落］のこらずのお寺の鐘が、かんかん鳴りわたりました。
and heralds rode through the town proclaiming the nuptials.	先ぶれは町じゅう馬をはしらせて、ご婚約（こんやく）のことを知らせました。
Upon every altar throughout the land fragrant oil was burnt in costly silver lamps.	あるかぎりの祭壇（さいだん）には香油（こうゆ）が、もったないような銀のランプのなかでもえていました。
Amidst the swinging of censers by the priests the bride and bridegroom joined hands and received the bishop's blessing.	坊さんたちが香炉（こうろ）をゆすっているなかで、花よめ花むこは手をとりかわして、大僧正（だいそうじょう）の祝福をうけました。
The little mermaid dressed in silk and gold stood holding the bride's train,	人魚のひいさまは、絹に金糸の晴れの衣裳（いしょう）で、花よめのながいすそをささげてもちました。
but her ears were deaf to the festal strains,	でも、お祝の音楽もきこえません。
her eyes saw nothing of the sacred ceremony;	儀式も目にうつりません。
she was thinking of her coming death	ひいさまは、うわの空で、いちずに、くらい死の影を追いました。
and of all that she had lost in this world.	いっさいこの世でなくしてしまったもののことをおもいました。
That same evening the bride and bridegroom embarked,	もうその夕方、花よめ花むこは、船にのって海へ出ました。
amidst the roar of cannon and the waving of banners.	大砲がなりとどろいて、あるだけの旗がひるがえりました。
A royal tent of purple and gold softly cushioned was raised amidships	船のまん中には、王家ご用の金とむらさきの天幕（てんまく）が張れて、うつくしいしとねがしけていました。
where the bridal pair were to repose during the calm cool night.	花よめ花むこが、そこですずしい、しずかなひと夜をおすごしになるはずでした。
The sails swelled in the wind and the ship skimmed lightly and almost without motion over the transparent sea.	帆は風でふくれて、船は、鏡のように平らな海の上を、かるく、なめらかにすべって行きました。
At dusk lanterns of many colours were lighted and the sailors danced merrily on deck.	くらくなると、さまざまな色ランプがともされて、水夫たちは、甲板にでて、おどけた踊をおどりました。
The little mermaid could not help thinking of the first time she came up from the sea and saw the same splendour and gaiety;	人魚のひいさまも、はじめて海からでて来て、この晩のような華（はな）やかな、たのしいありさまを目にみたときのことを、おもいうかべずにはいられませんでした。
and she now threw herself among the dancers,	それで、ひいさまもついなかまにまじって、おどりくるいたくなりました。
whirling, as a swallow skims through the air when pursued.	ひいさまは、それはまるで、つばめが追われて、身をひるがえして逃げるときのような身がるさでおどりまわりました。
The onlookers cheered her in amazement,	そのみごとな踊りぶりを、みんなやんやとさわいでほめました。
never had she danced so divinely;	姫にしてもこれほどみごとに踊ったのははじめてです。
her delicate feet pained her as if they were cut with knives,	おどりながら、きゃしゃな足は、するどい刄もので切りさかれるようにかんじました。
but she did not feel it,	けれどそれを痛いともおもいません。
for the pain at her heart was much sharper.	それよりか、胸を切りさかれる痛みをせつなくおもいました。
She knew that it was the last night that she would breathe the same air as he, and would look upon the mighty deep, and the blue starry heavens;	ほんとうに、そのひととおなじ空気を吸っていて、ふかい海と星月夜の空をながめるのも、これがさいごの夜になりました。
an endless night without thought and without dreams awaited her, who neither had a soul, nor could win one.	この一夜すぎれば、ものをおもうことも、夢をみることもない、ながいながいやみが、たましいをもたず、ついもつことのできなかった、このひいさまを待っていました。
The joy and revelry on board lasted till long past midnight;	船の上では、でも、たれも陽気にたのしくうかれて、真夜中（まよなか）すぎまでもすごしました。
she went on laughing and dancing with the thought of death all the time in her heart.	そのなかで、ひいさまは、こころでは、死ぬことをおもいながら、いっしょにわらっておどりました。
The prince caressed his lovely bride and she played with his raven locks,	王子がうつくしい花よめにくちびるをつけると、王女は王子の黒い髪をいじっていました。
and with their arms entwined they retired to the gorgeous tent.	そうして、手をとりあって、きらびやかな天幕（てんまく）のなかへはいりました。
All became hushed and still on board the ship, only the steersman stood at the helm;	船の上は、ひっそり人音もなくなりました、ただ、舵（かじ）とりだけが、あいかわらず、舵をひかえて立っていました。
the little mermaid laid her white arms on the gunwale and looked eastwards for the pink-tinted dawn;	人魚のひいさまは、船のへりにその白い腕をのせて、赤らんでくる東の空をじっとながめていました。
the first sunbeam, she knew, would be her death.	そのはじめてのお日さまの光が、じぶんをころすのだ、とひいさまはおもいました。
Then she saw her sisters rise from the water; they were as pale as she was;	そのときふと、おねえさまたちが、波のなかから出てくるのがみえましたが、たれもひいさまとおなじように、青い顔をしていました。
their beautiful long hair no longer floated on the breeze,	しかも、そのうつくしい髪の毛も、風になびかしてはいませんでした。
for it had been cut off.	それはきれいに切りとられていました。
'We have given it to the witch to obtain her help,	「あたしたち、髪を魔女にやってしまったのよ、あなたをたすけてもらおうとおもってね。
so that you may not die to-night!	なんでもあなたを今夜かぎり死なせたくないのだもの。
She has given us a knife;	すると魔女が、ほらこのとおり、短刀をくれましたの。
here it is, look how sharp it is!	ごらん、ずいぶんよく切れそうでしょう。
Before the sun rises, you must plunge it into the prince's heart, and when his warm blood sprinkles your feet they will join together and grow into a tail,	お日さまののぼらないうち、これで王子の胸をぐさりとやれば、そのあたたかい血が足にかかって、それがひとつになって、おさかなの尾になるの。
and you will once more be a mermaid; you will be able to come down into the water to us, and to live out your three hundred years before you are turned into dead, salt sea-foam.	するち、あんたはまたもとの人魚のむすめになって、海のそこのあたしたちの所にかえれて、このまま死んで塩からい海のあわになるかわりに、このさき三百年生きられるでしょう。
Make haste!	さあ、はやくしてね。
you or he must die before sunrise!	王子が死ぬかあんたが死ぬか、お日さまののぼるまでに、どちらかにきめなくてはならないのよ。
Our old grandmother is so full of grief that her white hair has fallen off	おばあさまは、あまりおなげきになったので、白いお髪（ぐし）がぬけおちておしまいになったわ。
as ours fell under the witch's scissors.	あたしたちの髪の毛が魔女のはさみで切りとられてしまったようにね。
Slay the prince and come back to us!	王子をころして、かえっておいでなさい。
Quick! Quick!	早くしてね。
do you not see the rosy streak in the sky?	ほらもう、あのとおり空に赤みがさして来たわ。
In a few minutes the sun will rise	もうすぐ、お日さまがおあがりになるわ。
and then you must die!'	すると、いやでも死ななくてはならないのよ。」
saying this they heaved a wondrous deep sigh and sank among the waves.	こういって、おねえさまたちは、いかにもせつなそうにため息をつくと、波のなかにすがたをかくしました。
The little mermaid drew aside the purple curtain from the tent	人魚のひいさまは、天幕（てんまく）にたれたむらさきのとばりをあけました。
and looked at the beautiful bride asleep with her head on the prince's breast.	うつくしい花よめは、王子の胸にあたまをのせて、休んでいました。
She bent over him and kissed his fair brow,	ひいさまは、腰をかがめて、王子のうつくしいひたいに、そっとくちびるをつけました。
looked at the sky where the dawn was spreading fast,	東の空をみると、もうあけ方のあかね色がだんだんはっきりして来ました。
looked at the sharp knife, and again fixed her eyes on the prince,	ひいさまは、そのとき、するどい短刀のきっさきをじっとみて、その目をふたたび王子の上にうつしました。
who, in his dream called his bride by name.	王子は夢をみながら、花よめの名をよびました。
Yes! she alone was in his thoughts!	王子のこころのなかには、花よめのことだけしかありません。
For a moment the knife quivered in her grasp,	短刀は、人魚のひいさまの手のなかでふるえました。
then she threw it far out among the waves,	――でも、そのとき、ひいさまは短刀を波間（なみま）とおく投げ入れました。
now rosy in the morning light, and where it fell the water bubbled up like drops of blood.	投げた所に赤い光がして、そこから血のしずくがふきだしたようにおもわれました。
Once more she looked at the prince, with her eyes already dimmed by death, then dashed overboard and fell,	もういちど、ひいさまは、もう半分うつろな目で、王子をみました、そのせつな、身をおどらせて、海のなかへとび込みました。
her body dissolving into foam.	そうしてみるみる、からだがあわになってとけていくようにおもいました。
Now the sun rose from the sea	いま、お日さまは、海の上にのぼりました。
and with its kindly beams warmed the deadly cold foam,	その光は、やわらかに、あたたかに、死のようにつめたいあわの上にさしました。
so that the little mermaid did not feel the chill of death.	人魚のひいさまは、まるで死んで行くような気がしませんでした。
She saw the bright sun,	あかるいお日さまの方を仰ぎました。
and above her floated hundreds of beauteous ethereal beings,	すると、空の上に、なん百となく、すきとおるような神神（こうごう）しいもののかたちがみえました。
through which she could see the white ship and the rosy heavens;	そのすきとおるもののむこうに、船の白い帆や、空のあかい雲をみました。
their voices were melodious, but so spirit-like that no human ear could hear them,	空のその声はそのままに歌のふしでしたが、でもそれはたましいの声で、人間の耳にはきこえません。
any more than earthly eye could see their forms.	そのすがたもやはり人間の目ではみえません。
Light as bubbles they floated through the air without the aid of wings.	それは、つばさがなくても、しぜんとかるいからだで、ふうわり空をただよいながら上がって行くのです。
The little mermaid perceived that she had a form like theirs; it gradually took shape out of the foam.	人魚のひいさまも、やはりそれとおなじものになって目にはみえないながら、ただよう気息（いき）のようなものが、あわのなかから出て、だんだん空の上へあがって行くのがわかりました。
'To whom am I coming?'	「どこへ、あたし、いくのでしょうね。」
said she,	と、人魚のひいさまは、そのときたずねました。
and her voice sounded like that of the other beings, so unearthly in its beauty that no music of ours could reproduce it.	その声は、もうそこらにうきただよう気息（いき）のなかまらしく、人間の音楽にうつしようのない、たましいのひびきのようになっていました。
'To the daughters of the air!'	すると、
answered the others;	「大空のむすめたちのところへね。」
'a mermaid has no undying soul,	「人魚のむすめに死なないたましいはありません。
and can never gain one without winning the love of a human being.	人間の愛情をうけないかぎり、それをじぶんのものにすることはできません。
Her eternal life must depend upon an unknown power.	かぎりないいのちをうけるには、ほかの力にたよるほかありません。
Nor have the daughters of the air an everlasting soul, but by their own good deeds they may create one for themselves.	大空のむすめたちもながく生きるたましいをもたないかわり、よい行いによって、じぶんでそれをもつこともできるのです。
