THE ADVENTURE OF THE EMPTY HOUSE	空家の冒険
He was up again in a moment, and with convulsive strength he seized Holmes by the throat,	しかし投げられた彼は直（ただち）に起き上って、ホームズの咽喉を、死に物狂いで締めて来た。
but I struck him on the head with the butt of my revolver, and he dropped again upon the floor.	しかし私は彼の頭を、ピストルの尻で打ちつけたので、彼はまた床の上に倒れた。
I fell upon him, and as I held him my comrade blew a shrill call upon a whistle.	私は彼を押さえつけると、私の友人は合図の甲走った声を発すると、
There was the clatter of running feet upon the pavement, and two policemen in uniform, with one plain-clothes detective, rushed through the front entrance and into the room.	外の舗道の上には、靴音の急ぐのがきこえ、やがて正面の入口から、二人の制服巡査と、一人の私服の刑事巡査とが上って来た。
"That you, Lestrade?"	「君は、レストレード君！」
said Holmes.	ホームズは云った。
"Yes,	「そうです。
Mr. Holmes.	ホームズさん、
I took the job myself.	職業柄、自分でやって来ました。
It's good to see you back in London, sir."	しかしロンドンにお帰りになったのは、全く御同慶の至りに堪えません」
"I think you want a little unofficial help.	「いや、君は僕の非公式の助力が要りそうだと思ってさ。
Three undetected murders in one year won't do, Lestrade.	レストレード君、何しろ未検挙の殺人事件が一年に三つもあるのではないかね。
But you handled the Molesey Mystery with less than your usual--	しかしモルセイの怪事件だけは、日頃の君らしくもなかったね。
that's to say, you handled it fairly well."	いや実に見事なお手際だったと云うことさ」
We had all risen to our feet,	私達は皆立ち上がった。
our prisoner breathing hard, with a stalwart constable on each side of him.	犯人は息をはずませ、その両側には、頑丈な巡査が立った。
Already a few loiterers had begun to collect in the street.	往来にはもう弥次馬が集り出した。
Holmes stepped up to the window, closed it, and dropped the blinds.	ホームズは踏み上って窓を閉め、窓掛けを下した。
Lestrade had produced two candles, and the policemen had uncovered their lanterns.	レストレードは二本の蝋燭をともし、また巡査は角灯の覆を取ったので、
I was able at last to have a good look at our prisoner.	私はようやく犯人の顔をよく見ることが出来た。
It was a tremendously virile and yet sinister face which was turned towards us.	その向き直った形相こそ物凄いものであった。
With the brow of a philosopher above and the jaw of a sensualist below,	哲学者のような額、肉慾主義者のような顎、――
the man must have started with great capacities for good or for evil.	つまり云ってみれば、善悪いずれの方向にも、大した傑物を思わしめるものであった。
But one could not look upon his cruel blue eyes, with their drooping, cynical lids, or upon the fierce, aggressive nose and the threatening, deep-lined brow,	眼瞼（まぶた）の皮肉に垂れ下がった、狂暴な青い目、鋭い圧倒的に突き出た鼻、威嚇するような太い線の刻まれた額、――
without reading Nature's plainest danger-signals.	と云うものは、何と云っても驚くべき、先天的な兇激性の具象であった。
He took no heed of any of us, but his eyes were fixed upon Holmes's face with an expression in which hatred and amazement were equally blended.	彼は私たちなどには目もくれずに、ただホームズの顔に、発矢（はっし）とつけられて、憎悪と驚異が、混り光っていた。
"You fiend!"	「悪魔め！」
he kept on muttering.	犯人はぶつぶつと呟きつづけた。
"You clever, clever fiend!"	「小ざかしい悪魔め！」
"Ah, Colonel!"	「はははははは、大佐、――」
said Holmes, arranging his rumpled collar.	ホームズは彼の乱れたカラーを直してやりながら云った。
"`Journeys end in lovers' meetings,' as the old play says.	「古い芝居の言葉にも、旅は愛人との邂逅に終る、と云う言葉があるが、
I don't think I have had the pleasure of seeing you since you favoured me with those attentions as I lay on the ledge above the Reichenbach Fall."	実際僕は、あのライヘンバッハ瀑布の、断崖の途中の、窪地に横わっていた時に、お目に止まって、いろいろと御配慮を煩わした時は、まさかこうしてまたお目にかかる光栄を得るものとは思いませんでしたよ」
The colonel still stared at my friend like a man in a trance.	しかし大佐は依然として、憑かれた者のように、ホームズを見つめ続けた。
"You cunning,	「狡獪極まる悪魔め！
cunning fiend!"	狡獪者の悪魔め！」
was all that he could say.	大佐は結局こうした言葉の外は何も云えなかった。
"I have not introduced you yet,"	「ああ諸君にまだ紹介しなかったが、この方は、セバスチャン・モラン大佐と仰るのだ」
said Holmes.	ホームズは改まって云った。
once of Her Majesty's Indian Army, and the best heavy-game shot that our Eastern Empire has ever produced.	「以前は皇帝の印度（いんど）軍に居た方で、わが東方帝国の生んだ、名誉ある最大の名射手なのです。――
I believe I am correct Colonel, in saying that your bag of tigers still remains unrivalled?"	ね、大佐、あなたの虎嚢は、依然として天下無双でしょう。
The fierce old man said nothing, but still glared at my companion.	しかしこの猛激な老人は、依然として言葉は無く、ただ私の友人の顔を発矢（はっし）と睥みつけている。
With his savage eyes and bristling moustache	その猛き眼光、剛（こわ）い髭、――
he was wonderfully like a tiger himself.	さながらに猛虎の風貌をも思わしめるものであった。
"I wonder that my very simple stratagem could deceive so old a SHIKARI,"	「僕の簡単なトリックで、こうした老練な猟師を瞞すことが出来たと云うのは全く不思議でならない」
said Holmes.	ホームズは更に言葉を続けた。
"It must be very familiar to you.	「君には何も珍らしくもないことに相違ないが、
Have you not tethered a young kid under a tree, lain above it with your rifle,	君は木の下に仔山羊（こひつじ）をつなぎ、その上に銃を置かなかったかね？
and waited for the bait to bring up your tiger?	すなわち君の虎を育て上げる餌を求めるために、――
This empty house is my tree,	ははははははは、この空家は私の木、――
and you are my tiger.	そして君は僕の虎だ。
You have possibly had other guns in reserve	君はたぶん他の銃の持ち合せもあったであろう、――
in case there should be several tigers, or in the unlikely supposition of your own aim failing you.	すなわちもしや数頭の虎が居た場合か、または、それは君にははなはだ応（ふさ）わしくない想定かもしれないが、撃ち損じをした場合の用意として、――」
These,"	こう云って彼は周囲を指し、
he pointed around,	「これ等は僕の他の銃だ。
The parallel is exact."	ははははははは、この比喩は面白い」
Colonel Moran sprang forward with a snarl of rage,	モラン大佐は激怒して、咆吼しながらホームズに飛びかかって来た。
but the constables dragged him back.	しかし巡査に遮られて引き止められてしまった。
The fury upon his face was terrible to look at.	その形相がまた、いかにも凄かった。
"I confess that you had one small surprise for me,"	「まあ実のところ、僕は君にただ一つの意外に驚かされた」
said Holmes.	ホームズは更に云った。
"I did not anticipate that you would yourself make use of this empty house and this convenient front window.	「実際僕は、まさかこの空家とこのあまりな好都合な窓とを、君自身が御出張で利用するものとは想像しなかったよ。
I had imagined you as operating from the street, where my friend, Lestrade and his merry men were awaiting you.	僕の想像ではまあ、あの僕の友人のレストレード君やその一味の者が君を待ち受けている、往来から来るものと思っていた。
With that exception, all has gone as I expected."	まあこれだけが唯一の予想外で、あとはすべて思う壺だったわけさ」
Colonel Moran turned to the official detective.	しかしモラン大佐は刑事の方に向いた。
"You may or may not have just cause for arresting me,"	「君は僕を逮捕する正当の理由を、持っているかもしれないがあるいはまた、持っていないかもしれない」
said he,	彼もこう言葉を向けて来た。
"but at least there can be no reason why I should submit to the gibes of this person.	「しかし僕は少なくとも、この人間の嘲笑を、我慢してきいていなければならないと云う理由はないと思う。
If I am in the hands of the law, let things be done in a legal way."	僕はいずれ、法の適用を受けるのであったら、あくまで合法的にやってもらいたいものだ」
"Well, that's reasonable enough,"	「なるほどそれは当然のことだ。
said Lestrade.	ホームズさん、私達はゆくまではどうぞ、何も仰らないで下さい」
"Nothing further you have to say, Mr. Holmes, before we go?"	レストレードも云った。
Holmes had picked up the powerful air-gun from the floor, and was examining its mechanism.	しかもこの時はホームズは床の上から、かの強力な空気銃を取り上げて、その機械を調べていた。
"An admirable and unique weapon,"	「これは全く恐怖すべき独特の武器だ。
said he,	音もしないでいて、驚くべき偉力を発揮するんだからね」
"noiseless and of tremendous power:	ホームズは感歎した。
I knew Von Herder, the blind German mechanic, who constructed it to the order of the late Professor Moriarty.	「僕はあの独逸（ドイツ）の盲目の機械師の、フォン・ヘルダーを知っていたが、この銃は彼が、死んだ、モリアーテー教授の注文で、組み立てたものだ。
For years I have been aware of its existance though I have never before had the opportunity of handling it.	僕も長年の間、この存在には深く注意していたが、しかしついぞ今日まで、これを手にする機会はなかったものだ。
I commend it very specially to your attention, Lestrade and also the bullets which fit it."	レストレード君、この銃とそれからこれに添えた弾丸とは、君の最善の注意に委托しますよ」
"You can trust us to look after that,	「それはもう御安心下さい。
Mr. Holmes,"	ホームズさん、――」
said Lestrade, as the whole party moved towards the door.	レストレードは一同が入口の方に来る時に受け合った。
"Anything further to say?"	「まだ何か仰ることがありますか？」
"Only to ask what charge you intend to prefer?"	「いや、一たい君はどう云う罪名にしようと云うんだね？」
"What charge, sir?	「どう云う罪名ですって？
Why, of course, the attempted murder of Mr. Sherlock Holmes."	それはもちろん、シャーロック・ホームズ氏謀殺未遂事件でしょう、――」
"Not so, Lestrade.	「いやいや、レストレード君、
I do not propose to appear in the matter at all.	僕はこの事件の中には、一切関わりを持ちたくないんだがね。
To you, and to you only, belongs the credit of the remarkable arrest which you have effected.	この特筆大書すべき逮捕の名誉は、すべて君に帰すべきものだ。
Yes, Lestrade, I congratulate you!	そうだ、レストレード君、僕は君を衷心から祝福する。
With your usual happy mixture of cunning and audacity, you have got him."	君の日頃の幸運に賦（めぐ）まれている、巧妙と大胆とは、彼を見事に逮捕することになったのだ」
"Got him!	「彼をですって？
Got whom, Mr. Holmes?"	ホームズさん、彼をって一たい誰をです？」
"The man	「それこそ誰あろう、――
that the whole force has been seeking in vain--Colonel Sebastian Moran,	あらゆる捜査を、五里霧中に葬り去らせて［＃「去らせて」は底本では「去らせた」］いた、セバスチャン・モラン大佐、――
who shot the Honourable Ronald Adair with an expanding bullet from an air-gun through the open window of the second-floor front of No. 427 Park Lane, upon the thirtieth of last month.	すなわち先月の三十日の夜、レーヌ公園第四百二十七番で、表二階の開いている窓から、柔軟弾を使用した空気銃で、ロナルド・アデイア氏を射殺した、大犯人さ。
That's the charge, Lestrade.	レストレード君、これがすなわちこの犯人の罪名だよ。
And now, Watson,	さて、それからワトソン君、――
if you can endure the draught from a broken window, I think that half an hour in my study over a cigar may afford you some profitable amusement."	もし君が、破れた窓から入る隙間風に我慢が出来るなら、せめて三十分も僕の書斎に上って、一服やってくれたら、また何か一興を供することが出来ると思うんだがね」
Our old chambers had been left unchanged through the supervision of Mycroft Holmes and the immediate care of Mrs. Hudson.	昔馴染の室は、そのミクロフト・ホームズの管理と、ハドソン夫人の行き届いた注意で、全く昔ながらの儘であった。
As I entered I saw, it is true, an unwonted tidiness, but the old landmarks were all in their place.	非常にキレイではあったし、また凡ての位置は昔日のままであった。
There were the chemical corner and the acid-stained, deal-topped table.	化学実験所や、酸に侵された樅板をはったテーブルもある。
There upon a shelf was the row of formidable scrap-books and books of reference which many of our fellow-citizens would have been so glad to burn.	それから本棚には、驚異すべき切り抜き帳や、かつてはロンドン市民を熱狂せしめた大事件の参考書が、一ぱい立ち並んでいた。
The diagrams, the violin-case, and the pipe-rack-- even the Persian slipper which contained the tobacco--	それから図表、バァイオリンケース、パイプ架（かけ）、それから更に波斯（ペルシャ）スリッパー、――
all met my eyes as I glanced round me.	……と、それぞれ見まわす目に止まった。
There were two occupants of the room--	室の中には二人の人間が居た、――
one, Mrs. Hudson, who beamed upon us both as we entered--	一人はすなわちハドソン夫人で、私達二人が入って行ったら、目を輝かして歓迎してくれた。
the other, the strange dummy	それからもう一人は、全く見知らぬ無言役者、――
which had played so important a part in the evening's adventures.	すなわち今夜の大活劇に、最も重要な役目を演じた、
It was a wax-coloured model of my friend,	私の友人の蝋色の胸像――
so admirably done that it was a perfect facsimile.	なるほど実に驚異すべきまでに、その真（まこと）を模写していた。
It stood on a small pedestal table with an old dressing-gown of Holmes's so draped round it that the illusion from the street was absolutely perfect.	小さな卓台の上に置かれて、ホームズの常に着用する、寛服（ガウン）を着けさせているので、なるほど街路から見れば、理想的に完全な影絵を映していたに相違なかった。
"I hope you observed all precautions, Mrs. Hudson?"	「ハドソン夫人、僕はあなたの最善の注意を、念願していましたよ」
said Holmes.	ホームズは夫人に云った。
"I went to it on my knees, sir, just as you told me."	「わたしはあなたから云われた通り、膝で歩いてやりましたわ」
"Excellent.	「上出来です。
You carried the thing out very well.	あなたは実によくやって下さいました。
Did you observe where the bullet went?"	あなたは弾丸がどこに飛んだか、御覧になりましたか？」
"Yes, sir.	「え、見ましたわ。
I'm afraid it has spoilt your beautiful bust,	弾丸はあなたの美しい半身像を、痛ましく損ねたようでございますよ。
for it passed right through the head and flattened itself on the wall.	弾丸は右から頭部を貫通して、後の壁に当って、平べったくなりましたの。
I picked it up from the carpet. Here it is!"	わたしはそれを床敷（カーペット）の上から拾ってここにございますわ」
Holmes held it out to me.	夫人のさし出した弾丸を、ホームズは私の前にさし示した。
"A soft revolver bullet, as you perceive, Watson.	「ワトソン君、君の御覧の通り、柔軟性の弾丸だ。
There's genius in that,	しかしたしかに全く天才だね。
for who would expect to find such a thing fired from an airgun?	まさかこんなものが、空気銃から飛び出て来たものだとは、思わないからね。
All right, Mrs. Hudson.	いやハドソン夫人、実に有難う、衷心から感謝します。
I am much obliged for your assistance.	あなたの御助力には、満腔の謝意を表明します。
And now, Watson, let me see you in your old seat once more,	さてワトソン君、一つこの昔馴染の椅子に掛けてくれないかね。
for there are several points which I should like to discuss with you."	実は君と大に談じてみたい問題もあるんだが、――」
He had thrown off the seedy frockcoat, and now he was the Holmes of old in the mouse-coloured dressing-gown which he took from his effigy.	ホームズは見すぼらしいフロックコートを脱ぎ捨てて、半身像から例の鼠色の寛服（ガウン）を取って着たので、依然たるシャーロック・ホームズに返った。
"The old SHIKARI'S nerves have not lost their steadiness, nor his eyes their keenness,"	「しかしあの老猟師の神経はやはりまだ正確で、また視力も依然鋭いものだね！」
said he, with a laugh, as he inspected the shattered forehead of his bust.	ホームズは半身像の打ち砕かれた額を検（しら）べながら云った。
"Plumb in the middle of the back of the head and smack through the brain.	「後頭部の中央に正確に的中（あた）り、脳を貫通しているよ。
He was the best shot in India, and I expect that there are few better in London.	彼は印度（いんど）では第一の名射手であったが、しかしこのロンドンでも、彼の右に出ずる者は、はなはだ少なかろうと思うな。
Have you heard the name?"	それとも君は誰かきいたことがあるかね？」
"No, I have not."	「いや、――」
"Well, well,	「そうだよ。
such is fame!	彼はそれほどに定評者だよ。
But, then, if I remember right, you had not heard the name of Professor James Moriarty, who had one of the great brains of the century.	さてそれからたぶん君は現世紀で最も偉大な頭脳の所有者の一人である、ゼームス・モリアーティ教授の名前を、まだ知らなかったと思うがね。
Just give me down my index of biographies from the shelf."	ちょっとその伝記索引を、本棚からとってくれたまえ」
He turned over the pages lazily, leaning back in his chair and blowing great clouds from his cigar.	彼は不精らしく頁（ページ）をくって、椅子に反り返って、葉巻から大きく煙を吐いた。
"My collection of M's is a fine one,"	「Ｍ部の蒐集は大したものだよ」
said he.	彼は説明し出した。
"Moriarty himself is enough to make any letter illustrious, and here is Morgan the poisoner,	「まあモリアーティは云わずもがな、大したものだし、それから毒殺者のモルガンがある。
and Merridew of abominable memory, and Mathews,	それからあの忌々しいマシュウス。
who knocked out my left canine in the waiting-room at Charing Cross,	チャリング・クロスの待合室で、俺の左の犬歯をたたき折った奴。
and, finally, here is our friend of to-night."	それから最後が、吾々の今夜の友人、――」
He handed over the book, and I read:	彼は本を渡してくれたので、私は読んだ。
MORAN, SEBASTIAN, COLONEL.  Unemployed.	「モラン・セバスチャン大佐、無職。
Formerly 1st Bangalore Pioneers.	第一ベンガル先発隊に配属したることあり。
Born London, 1840.	一八四〇年ロンドンに生る。
Son of Sir Augustus Moran, C. B., once British Minister to Persia.	波斯（ペルシャ）駐在の英国公使たりし、男爵オーガスタス・モランの息。
Educated Eton and Oxford.	イートンとオックスフォードに学ぶ。
Served in Jowaki Campaign, Afghan Campaign, Charasiab (despatches), Sherpur, and Cabul.	ジョッキとアフガンに従軍し、キャラシァブ、シャープール及びカブールに駐屯したる事あり。
Author of HEAVY GAME OF THE WESTERN HIMALAYAS (1881); THREE MONTHS IN THE JUNGLE (1884).	一八八一年出版の、『西部ヒマラヤの大狩猟』と、一八八四年に出版となった、『大叢林の中の三ヶ月』との二書の著者。
Address:  Conduit Street.	住所、コンデュート街。
Clubs:  The Anglo-Indian, the Tankerville, the Bagatelle Card Club.	所属倶楽部、英印倶楽部、タンカービル倶楽部、バガテル骨牌倶楽部」
On the margin was written, in Holmes's precise hand:	そしてその余白に、ホームズの達筆で、
The second most dangerous man in London.	「ロンドンで第二の危険人物」
"This is astonishing,"	私は本を返しながら云った。
said I, as I handed back the volume.	「これは驚いた。
"The man's career is that of an honourable soldier."	とても立派な軍人の経歴じゃないかね！」
"It is true,"	「そうだよ」
Holmes answered.	ホームズは更に言葉を続けた。
"Up to a certain point he did well.	「ある程度までは、彼も精進してるよ。
He was always a man of iron nerve,	彼は鉄のような神経の持ち主だ。
and the story is still told in India how he crawled down a drain after a wounded man-eating tiger.	彼には負傷した人食虎を追跡して、下水溝にまで這い下りたと云う逸話が、今でも印度（いんど）で話題になっているほどなんだよ。
There are some trees, Watson, which grow to a certain height, and then suddenly develop some unsightly eccentricity.	木にもある処までは、非常にいい形で伸びて来ながら、急に変な恰好に変化してしもうのがあるが、
You will see it often in humans.	君、ああしたことはやはり人間の上にもあることなんだね。
I have a theory that the individual represents in his development the whole procession of his ancestors, and that such a sudden turn to good or evil stands for some strong influence which came into the line of his pedigree.	これは僕の持論なんだが、つまり個性の進展と云うことも要するに、その先祖の一貫した全過程を表現しているもので、また途中で急激に、善悪いずれかの方面に転換するとも、やはり血統の上の、強いある影響が、そうさせるのだと思うよ。
The person becomes, as it were, the epitome of the history of his own family."	つまり云ってみれば、人間と云うものは、それぞれの家庭史の梗概なんだね」
"It is surely rather fanciful."	「そうかね、しかしそれはあまりに牽強附会ではないかね」
"Well, I don't insist upon it.	「はははははははそうか、いや、別に固執もしないがね。
Whatever the cause, Colonel Moran began hot to hold him.	表立った醜聞はなかったにしても、何しろ印度（いんど）は彼の身持ちのためには暑すぎた。
He retired, came to London, and again acquired an evil name.	彼はロンドンに帰って来ては、いよいよ悪名を流した。
It was at this time that he was sought out by Professor Moriarty, to whom for a time he was chief of the staff.	しかもこの時、あのモリアーティ教授は、彼を拾って、重要な児分（こぶん）にしたのだがね。
Moriarty supplied him liberally with money, and used him only in one or two very high-class jobs, which no ordinary criminal could have undertaken.	モリアーティ教授は、彼によく金をくれ、そして普通の犯罪者などは使えない、ごく高級な仕事の場合にだけ、一二度使ったのだ。
You may have some recollection of the death of Mrs. Stewart, of Lauder, in 1887.	そうだ、君はあの一八八七年に、ラウダーに突発した、ステワート夫人の死を知っているだろう、――ね？
Not?	知っているね？
Well, I am sure Moran was at the bottom of it, but nothing could be proved.	そうだ、あの事件の底にはこのモランが隠れていたのだが、どうしても証拠を上げることが出来なかったのだ。
So cleverly was the colonel concealed that, even when the Moriarty gang was broken up, we could not incriminate him.	モリアーテー教授の一党が、解散となった際にも、彼は実によく隠れて、遂に我々は彼を有罪にすることは出来なかった。
You remember at that date, when I called upon you in your rooms, how I put up the shutters for fear of air-guns?	君はあの僕が君の室を訪ねて、ひどく空気銃を恐れて、神経質に閉めたことのあったのを、知っているだろう。
No doubt you thought me fanciful.	君はあの時僕を妄想者だと思っただろうが、
I knew exactly what I was doing, for I knew of the existence of this remarkable gun, and I knew also that one of the best shots in the world would be behind it.	実際僕は、この恐るべき空気銃と、その後には更に畏怖すべき名射手の居ることをよく知っていたので、僕はやはりああせざるを得なかったのだ。
When we were in Switzerland he followed us with Moriarty, and it was undoubtedly he who gave me that evil five minutes on the Reichenbach ledge.	われわれがスイッツァランドに居た時に、モリアーティと共に俺達に尾（つ）けたのも彼であるし、またライヘンバッハの滝の断崖で、僕に呪うべき五分間を与えたのも、明かに彼であったからね。
"You may think that I read the papers with some attention during my sojourn in France, on the look-out for any chance of laying him by the heels.	僕はフランスに滞在中も、もしや彼に尾（つ）けられはしまいかと云うことを警戒するためによく注意して新聞を読んだ。
So long as he was free in London, my life would really not have been worth living.	たしかに彼がロンドン内に健在の中（うち）は、僕の生命と云うものは、全く生き甲斐もなく威嚇されたものであった。
Night and day the shadow would have been over me,	昼夜の別なく、彼の幻影は僕の眼前に彷彿とする。
and sooner or later his chance must have come.	そしてまた狙われることになると、いつかはチャンスが来ることに相違ない。
What could I do?	僕は全く途方に暮れざるを得ないではないかね。
I could not shoot him at sight,	僕は彼を見つけ次第、撃つわけにもゆかない。
or I should myself be in the dock.	そうすればもちろん、僕は被告席に立たなければならないことはきまった話だ。
There was no use appealing to a magistrate.	官憲に訴えてももちろん何の効果のあることでも無い。
They cannot interfere on the strength of what would appear to them to be a wild suspicion.	彼等とて出鱈目（でたらめ）な嫌疑で干渉を入れるわけにもいかないからね。
So I could do nothing.	実際、万策つきた形であったが、
But I watched the criminal news, knowing that sooner or later I should get him.	しかし僕はまた逆に、新らしい犯罪に注目して、彼を逮捕する機会の来ることを待った。
Then came the death of this Ronald Adair.	そこに来たのが、ロナルド・アデイア氏の死。
My chance had come at last.	果然！
Knowing what I did, was it not certain that Colonel Moran had done it?	これだけの経路を知って、さてなお彼をその真犯人ではないと思うかね？
He had played cards with the lad,	彼はあの若者と骨牌をやった。
he had followed him home from the club,	それから彼は倶楽部から若者に尾（つ）けて来た。
he had shot him through the open window.	そして開かっていた窓を通して、一弾を狙い放した。
There was not a doubt of it.	この経路には寸分の疑いの余地はない。
The bullets alone are enough to put his head in a noose.	第一弾丸だけでも、彼の頭に捕蹄（わ）を打つに十分だ。
I came over at once.	僕はすぐに帰って来たが、
I was seen by the sentinel,	早速見張りの者の目に止まってしまった。
who would, I knew, direct the colonel's attention to my presence.	思うにあの見張りの者は、モラン大佐に通告したであろう。
He could not fail to connect my sudden return with his crime,	彼は流石に自分の犯罪と、僕の帰還の因果関係を等閑には附さなかった。
and to be terribly alarmed.	彼は明かに驚愕した。
I was sure	それで更に僕は考えた。
that he would make an attempt to get me out of the way AT once,	彼は早速僕を打ち取るために邀撃（ようげき）するであろう、――
and would bring round his murderous weapon for that purpose.	しかもそれにはかの怖るべき殺人兇器を使用するに相違ないと、――
I left him an excellent mark in the window,	それで僕は窓に、鮮かな目標を示してやったのだ。
and, having warned the police that they might be needed--	そしてしかも一方警官たちにもいずれ通諜しておいた。
by the way, Watson,	話の序（ついで）だがワトソン君、――
you spotted their presence in that doorway with unerring accuracy--	君もあの場で感づいたに相違ないが、警官はいささかの猶予もなく、やって来たろう。
I took up what seemed to me to be a judicious post for observation, never dreaming that he would choose the same spot for his attack.	僕は実は、観察に最も都合のよい場所をと思って、あそこを選んだのであったが、何ぞ図らん、彼の仕事場とかち合ってしまったのだ。
Now, my dear Watson, does anything remain for me to explain?"	さてわが親愛なワトソン君、まだ何かこの上にも説明しなければならないことがあるかね？」
"Yes,"	「そりゃある、――」
said I.	私は更に彼の説明を求めた。
"You have not made it clear what was Colonel Moran's motive in murdering the Honourable Ronald Adair?"	「君はまだ、モラン大佐が、どうしてロナルド・アデイア氏を殺害したかと云う動機については、一言も触れないではないか」
"Ah! my dear Watson, there we come into those realms of conjecture, where the most logical mind may be at fault.	「ああそうか、しかしワトソン君、これから先はもうどんなに理論的な推理でも、結局は臆測と云わなければならない世界になるんだがね。
Each may form his own hypothesis upon the present evidence,	まあ双方で、解っているだけのことを基本として、仮説を立ててみよう。
and yours is as likely to be correct as mine."	そしてお互に訂正し合おうじゃないかね」
"You have formed one, then?"	「君にはもう出来ているだろう？」
"I think that it is not difficult to explain the facts.	「うむ。
It came out in evidence that Colonel Moran and young Adair had, between them, won a considerable amount of money.	第一、モラン大佐とアデイア青年とは、その仲間の間で、かなりの金を勝ったと云うことは、もう明かになっているのだ。
Now, undoubtedly played foul--	そこで僕が考えるには、モラン大佐はもちろん不正をやっていたに相違なかったのだ。
of that I have long been aware.	この事は僕は以前から、気がついていたことであった。
I believe that on the day of the murder Adair had discovered that Moran was cheating.	それでこのアデイア青年殺害の日は、モラン大佐はアデイア青年に、その不正行為を看破されたに相違ない。
Very likely he had spoken to him privately, and had threatened to expose him unless he voluntarily resigned his membership of the club, and promised not to play cards again.	そこで実によく想像されることは、アデイア青年は、そーっとモラン大佐に、早速倶楽部員たることを辞し、併せて今後は一切骨牌を手にしないと云うことを条件とし、もしこれを容れない場合は、その不正事実を暴露すると嚇したに相違ないことだ。
It is unlikely that a youngster like Adair would at once make a hideous scandal by exposing a well known man so much older than himself.	何しろアデイア青年のような若い者に、その親しく知っている、しかもごく年長の者を、現（あらわ）に誹謗すると云うことは考えられないことだからね。
Probably he acted as I suggest.	まあおそらくはこの想定は大差無いと思う。
The exclusion from his clubs would mean ruin to Moran, who lived by his ill-gotten card-gains.	しかし倶楽部からの除名と云うことは、その骨牌の不正利得で生活しているモラン大佐にとっては、まさしく身の破滅である。
He therefore murdered Adair, who at the time was endeavouring to work out how much money he should himself return, since he could not profit by his partner's foul play.	そこでモラン大佐は、アデイア青年が、相手の不正行為のために、誤魔化された利得の計算を、正しく計算し直している時に、殺害してしまったのである。
He locked the door lest the ladies should surprise him	アデイア青年がドアに鍵をかけたのは、夫人たちが闖入して来ないように、――
and insist upon knowing what he was doing with these names and coins.	なお更に、自分が書きつけている人々の名前や、貨幣などについて、五月蝿（うるさ）い追求を避けるためであったと思う。
Will it pass?"	以て如件（くだんのごとし）なんだが、さてこれで級第かね？」
"I have no doubt that you have hit upon the truth."	「ふむ、なるほど、そう云われれば、ずいぶんよく筋道が立っているね」
"It will be verified or disproved at the trial.	「まあこうしたことは、審理によって、いよいよ確証され、あるいは覆されよう。
Meanwhile, come what may, Colonel Moran will trouble us no more.	まあとにかくかくして、モラン大佐はもう、吾々の煩累となることはなくなったし、
The famous air-gun of Von Herder will embellish the Scotland Yard Museum,	あのフォン・ヘルダー［＃「ヘルダー」は底本では「ヘルダン」］の有名な空気銃は、警視庁の陳列館の、珍品として並べられよう。
and once again Mr. Sherlock Holmes is free to devote his life to examining those interesting little problems which the complex life of London so plentifully presents."	そしてこのシャーロック・ホームズ先生はまた、ロンドンの複雑した生活の齎（もたら）す幾多の興味ある問題の検討に、思うままに生涯を捧げることが出来ることになったと云うわけだ｣
