A SCANDAL IN BOHEMIA	ボヘミアの醜聞ボヘミアの醜聞
A maid rushed across and threw open the window.	女中が部屋を横切り、慌てて窓を開く。
At the same instant I saw him raise his hand	時を同じくしてホームズが手を振った。
and at the signal I tossed my rocket into the room with a cry of "Fire!"	私は合図と見るや、発煙筒を部屋へ投げ込み、「火事だ！」と叫んだ。
The word was no sooner out of my mouth than the whole crowd of spectators, well dressed and ill--gentlemen, ostlers, and servant-maids--joined in a general shriek of "Fire!"	私の口から出た言葉は、群衆という群衆、紳士、馬番、女中、身なりのいいのも悪いのも、次々と飛び火し、皆が「火事だ！」と金切り声をあげるようになった。
Thick clouds of smoke curled through the room and out at the open window.	部屋の中では濃い煙霧が渦巻き、開け放された窓からもはみ出てくる勢いだ。
I caught a glimpse of rushing figures, and a moment later the voice of Holmes from within assuring them that it was a false alarm.	私は煙の中でうごめく人影を認め、直後、誤報だと群衆を鎮めるホームズの声がした。
Slipping through the shouting crowd I made my way to the corner of the street,	私は叫ぶ人々の間をくぐり抜け、通りの角へと向かった。
and in ten minutes was rejoiced to find my friend's arm in mine, and to get away from the scene of uproar.	十分経過すると、我が友人が腕に手を通してくれ、喧噪の現場から立ち去ることが出来たので、一安心したものだ。
He walked swiftly and in silence for some few minutes until we had turned down one of the quiet streets which lead towards the Edgeware Road.	ホームズは無言で、数分の間きびきびと歩き、やがて我々はエッジウェア通りに繋がる静かな通りに至った。
"You did it very nicely, Doctor,"	「素晴らしい出来だ、博士。」
he remarked.	とホームズ。
"Nothing could have been better.	「何も言うことはない。
It is all right."	万事うまくいった。」
"You have the photograph?"	「写真は？」
"I know where it is."	「隠し場所がわかった。」
"And how did you find out?"	「いかにして？」
"She showed me, as I told you she would."	「宣言通り、彼女が教えてくれたのだ。」
"I am still in the dark."	「まだ雲をつかませておくつもりか？」
"I do not wish to make a mystery,"	「僕とて雲作り職人ではないのだよ。」
said he, laughing.	とホームズは笑う。
"The matter was perfectly simple.	「全く単純なことだ。
You, of course, saw that everyone in the street was an accomplice.	もちろんのこと、通りにいた人は皆、協力者だ。
They were all engaged for the evening."	今夜のためにまとめて雇ったんだ。」
"I guessed as much."	「そんなことだろうと思った。」
"Then, when the row broke out, I had a little moist red paint in the palm of my hand.	「あと、突発した喧嘩の際、僕は手のひらに溶かした紅を隠していたんだ。
I rushed forward, fell down, clapped my hand to my face, and became a piteous spectacle.	走り込んで、転倒、顔をひしと叩けば、哀れ見せ物の完成。
It is an old trick."	古めいたトリックだよ。」
"That also I could fathom."	「ある程度、察しが付いたね。」
"Then they carried me in.	「人々に僕はかつぎ込まれた。
She was bound to have me in.	嫌とは言わせない、
What else could she do?	あのとき他に何が出来よう？
And into her sitting-room, which was the very room which I suspected.	僕が怪しいと睨んでいた、あの居間へ通された。
It lay between that and her bedroom, and I was determined to see which.	居間か寝室のいずれかと踏んでいたが、どちらか見極めたかったのだ。
They laid me on a couch, I motioned for air, they were compelled to open the window, and you had your chance."	ソファに寝かされ、酸欠の振りをし、窓を開けるよう仕向けたので、いざ好機、というわけだ。」
"How did that help you?"	「あれで役に立ったのか？」
"It was all-important.	「まさに作戦の核だよ。
When a woman thinks that her house is on fire, her instinct is at once to rush to the thing which she values most.	女性というものは、家が火事になれば、本能的に最も大切とするものへ駆け寄るのだ。
It is a perfectly overpowering impulse, and I have more than once taken advantage of it.	いかんともしがたき衝動というもので、一度ならずも利用したろう。
In the case of the Darlington substitution scandal it was of use to me, and also in the Arnsworth Castle business.	ダーリントンすり替え疑惑やアーンズワース城の件でも世話になった。
A married woman grabs at her baby;	既婚女性はその赤子を抱え上げ、
an unmarried one reaches for her jewel-box.	未婚女性は宝石箱に手を伸ばす。
Now it was clear to me that our lady of to-day had nothing in the house more precious to her than what we are in quest of.	今日の淑女は我々の捜す物以上に、大事な物が家の中にあるとは到底思えない。
She would rush to secure it.	必ずやそこへ行くはず。
The alarm of fire was admirably done.	君の見事な叫び声。
The smoke and shouting were enough to shake nerves of steel.	煙との相乗効果で、鉄の心も揺るがせる。
She responded beautifully.	美しくも彼女は反応してみせた。
The photograph is in a recess behind a sliding panel just above the right bell-pull.	写真は右側、呼び鈴の紐のすぐ上、羽目板をずらした窪みの中にあったよ。
She was there in an instant, and I caught a glimpse of it as she half-drew it out.	たちまち彼女はそこへ行き、半分出したのが垣間見えた。
When I cried out that it was a false alarm, she replaced it, glanced at the rocket, rushed from the room, and I have not seen her since.	僕が誤報だと叫ぶと、元に戻し、発煙筒を一瞥して部屋から飛び出したきり、姿が見えなくなった。
I rose, and, making my excuses, escaped from the house.	僕は身体を起こし、何とか口実を作り、家から抜け出したのだ。
I hesitated whether to attempt to secure the photograph at once;	すぐさま写真を手に入れるか躊躇したが、
I hesitated whether to attempt to secure the photograph at once; but the coachman had come in, and as he was watching me narrowly it seemed safer to wait.	御者が入ってきて、僕を凝視するものだから、慎重になった方が安全だと思えたのだ。
A little over-precipitance may ruin all."	急いては事をし損じるからね。」
"And now?"	「これからは？」
I asked.	と私。
"Our quest is practically finished.	「我々の調査は事実上、終了。
I shall call with the King to-morrow,	明日、王同伴で訪ねる予定だ。
and with you, if you care to come with us.	君も来たくば来たまえ。
We will be shown into the sitting-room to wait for the lady, but it is probable that when she comes she may find neither us nor the photograph.	居間で待つことになると思うが、彼女が来たときには写真とともに消え失せるという寸法だ。
It might be a satisfaction to his Majesty to regain it with his own hands."	陛下も手元に取り戻せると満足なさることだろう。」
"And when will you call?"	「いつ頃、訪ねるつもりだい？」
"At eight in the morning.	「朝八時。
She will not be up, so that we shall have a clear field.	彼女はまだ起きていないだろうから、自由に仕事が出来る。
Besides, we must be prompt,	だが迅速に行動するに越したことはない。
for this marriage may mean a complete change in her life and habits.	結婚で生活習慣が様変わりしているやもしれぬ。
I must wire to the King without delay."	早速、王へ電報を打つとするか。」
We had reached Baker Street and had stopped at the door.	我々はベイカー街にたどり着き、戸口で立ち止まった。
He was searching his pockets for the key when someone passing said:	ホームズが懐に鍵を探ったとき、誰かが通りがかり声を掛けられた。
"Good-night, Mister Sherlock Holmes."	「おやすみなさい、シャーロック・ホームズさん。」
There were several people on the pavement at the time, but the greeting appeared to come from a slim youth in an ulster who had hurried by.	そのとき歩道には幾人かいたが、挨拶したのはアルスターをまとった痩躯の青年らしく、急ぎ足で去っていった。
"I've heard that voice before,"	「あの声、聞き覚えがあるが。」
said Holmes, staring down the dimly lit street.	とホームズは街灯で薄く照らされた街並みに目を注ぐ。
"Now, I wonder who the deuce that could have been."	「はて、誰だったか。」
I slept at Baker Street that night,	その晩、私はベイカー街に泊まった。
and we were engaged upon our toast and coffee in the morning when the King of Bohemia rushed into the room.	翌日、我々が朝のトーストとコーヒーを摂っているとき、ボヘミア王が部屋へ駆け込んできた。
"You have really got it!"	「手に入れたとな！」
he cried, grasping Sherlock Holmes by either shoulder and looking eagerly into his face.	と王はシャーロック・ホームズの両肩をつかみ、顔を強くのぞき込んだ。
"Not yet."	「まだです。」
"But you have hopes?"	「だが、見込みはあるのだな。」
"I have hopes."	「ございます。」
"Then, come.	「では、来たまえ。
I am all impatience to be gone."	もう我慢ならん。」
"We must have a cab."	「辻馬車を呼びましょう。」
"No, my brougham is waiting."	「いや、余のブルームが待たせてある。」
"Then that will simplify matters."	「それは助かります。」
We descended and started off once more for Briony Lodge.	と我々は階下へゆき、再びブライオニ荘へ向かった。
"Irene Adler is married,"	「イレーナ・アードラーは結婚しました。」
remarked Holmes.	とホームズ。
"Married!	「結婚とな！
When?"	いつのことか？」
"Yesterday."	「昨日です。」
"But to whom?"	「果たして何やつと？」
"To an English lawyer named Norton."	「英国人弁護士で、名をノートンと。」
"But she could not love him."	「そんな男を愛すまい。」
"I am in hopes that she does."	「僕としては、愛していることを望みます。」
"And why in hopes?"	「なにゆえ望むのだ。」
"Because it would spare your Majesty all fear of future annoyance.	「理由は、陛下は将来悩まされずに済むからです。
If the lady loves her husband, she does not love your Majesty.	その女性が夫を愛せば、陛下を愛すことはない。
If she does not love your Majesty, there is no reason why she should interfere with your Majesty's plan."	陛下を愛さないのなら、おのずと邪魔をする理由もなくなりましょう。」
"It is true.	「なるほど。
And yet	それにしても
--Well!	――ああ！
I wish she had been of my own station!	余の身分に相応しくあれば！
What a queen she would have made!"	なんと素晴らしき妃となったことか！」
He relapsed into a moody silence, which was not broken until we drew up in Serpentine Avenue.	と王はまたふさぎ込んで黙ってしまい、サーペンタイン並木道に着くまで口を開かなかった。
The door of Briony Lodge was open, and an elderly woman stood upon the steps.	ブライオニ荘の扉は開かれていて、年輩の女性が石段の上に立っていた。
She watched us with a sardonic eye as we stepped from the brougham.	ブルームから下りる我々を、女性は冷笑的な目で見守っていた。
"Mr. Sherlock Holmes, I believe?"	「シャーロック・ホームズさまとお見受けしますが。」
said she.	と女性。
"I am Mr. Holmes,"	「僕がホームズです。」
answered my companion, looking at her with a questioning and rather startled gaze.	とパートナーは答え、不審と驚きに満ちたまなざしを向けた。
"Indeed!	「まぁ。
My mistress told me that you were likely to call.	奥様が、あなたがお越しになるとおっしゃったのです。
She left this morning with her husband by the 5:15 train from Charing Cross for the Continent."	奥様は今朝方、旦那様とともに五時十五分、チャリング・クロス発大陸行の汽車でお発ちになりました。（※33）」
"What!"	「何と！」
Sherlock Holmes staggered back, white with chagrin and surprise.	とシャーロック・ホームズは無念と驚愕のため、顔面蒼白にして立ちくらみした。
"Do you mean that she has left England?"	「彼女は、イギリスを離れたと？」
"Never to return."	「二度とお戻りになりません。」
"And the papers?"	「手紙と写真はいかに？」
asked the King hoarsely.	と王は声もかすれかすれに、
"All is lost."	「万事やんぬるかな。」
"We shall see."	「確かめましょう。」
He pushed past the servant and rushed into the drawing-room,	とホームズは女中を押しのけ、居間へと飛び込んだ。
followed by the King and myself.	王も私も後に続いた。
The furniture was scattered about in every direction, with dismantled shelves and open drawers, as if the lady had hurriedly ransacked them before her flight.	家具は部屋中に散乱し、棚は外され、引き出しは開いているという始末で、高飛びに先駆け、あの女性が引っかき回した様子だった。
Holmes rushed at the bell-pull, tore back a small sliding shutter, and, plunging in his hand,	ホームズは呼び鈴の紐へ駆け寄り、羽目板をずらし、手を突っ込んだ。
pulled out a photograph and a letter.	出てきたのは一枚の写真と一通の手紙だった。
The photograph was of Irene Adler herself in evening dress,	写真にはイヴニング・ドレス姿のアイリーン・アドラーが写っていて、
the letter was superscribed to	手紙には
"Sherlock Holmes, Esq.	『シャーロック・ホームズさまへ。
To be left till called for."	ご訪問時は不在につき。』
My friend tore it open and we all three read it together.	友人は手で開封し、我々三人で読んだ。
It was dated at midnight of the preceding night and ran in this way:	日付は先の晩になっており、文面は次の通りである。
"MY DEAR MR. SHERLOCK HOLMES,	親愛なるシャーロック・ホームズさま
--You really did it very well.	実に見事なお手際でございます。
You took me in completely.	すっかり騙されてしまいました。
Until after the alarm of fire, I had not a suspicion.	火事の叫びがございますまで、ゆめゆめ疑いもしませんでした。
But then, when I found how I had betrayed myself, I began to think.	我が身をうっかり吐露しましたことにはっとして、考えてみました。
I had been warned against you months ago.	数ヶ月ほど前、警告されたことがございました。
I had been told that if the King employed an agent it would certainly be you.	王が代理人をお立てになるなら、きっと貴方でございましょう、と。
And your address had been given me.	その方は住所まで教えてくださいました。
Yet, with all this, you made me reveal what you wanted to know.	それですのに、貴方に知りたいこと全てを見破られてしまいました。
Even after I became suspicious, I found it hard to think evil of such a dear, kind old clergyman.	疑いを持ち始めた後でさえ、あの親切な老牧師さまを悪く思うのは苦しゅうございました。
But, you know, I have been trained as an actress myself.	ですけど、わたくしはご存じのように女優の経験を積んでおります。
Male costume is nothing new to me.	男装のごときは、訳ないことでございます。
I often take advantage of the freedom which it gives.	折に触れては、その身自由さを利用しておりました。
I sent John, the coachman, to watch you, ran up stairs, got into my walking-clothes, as I call them, and came down just as you departed.	ジョン、わたくしの御者でございますが、見張りを申しつけまして、わたくしは、散歩服と呼んでいる服に身を包み、下へゆきますと、貴方は丁度お帰りになるところでした。
"Well, I followed you to your door, and so made sure that I was really an object of interest to the celebrated Mr. Sherlock Holmes.	そして、お宅の戸口まで貴方をつけてゆきまして、わたくしはあの名高いシャーロック・ホームズさまの関心の的でございますことを確信いたしました。
Then I, rather imprudently, wished you good-night, and started for the Temple to see my husband.	はしたのうございますが、おやすみ申し上げ、そのまま夫の顔を見に法学院へ参ったのです。
"We both thought the best resource was flight, when pursued by so formidable an antagonist;	わたくしども二人は、かくのごとき畏怖すべき方を敵に回しては、高飛びしてしまいますのが良策と考えました。
so you will find the nest empty when you call to-morrow.	ですので、明日ご来宅なさる際には、もぬけの殻でございましょう。
As to the photograph, your client may rest in peace.	写真につきましては、依頼人にご安心を、とお伝えくださいませ。
I love and am loved by a better man than he.	わたくしは現在、もっと良き人に愛し愛されております。
The King may do what he will without hindrance from one whom he has cruelly wronged.	陛下は、昔つれない仕打ちあそばした女の妨害などございませんから、御意のままになさいませ。
I keep it only to safeguard myself,	写真は護身のために取っておきます。
and to preserve a weapon which will always secure me from any steps which he might take in the future.	今後どのようなことがあってもいいよう、ただお守りとして手元に置くのみでございます。
I leave a photograph which he might care to possess;	陛下がご所望ならばとこの写真を一枚残していきます。
and I remain, dear Mr. Sherlock Holmes,	シャーロック・ホームズさまに心から。
"Very truly yours,	かしこ
"What a woman	「なんたる女
--oh, what a woman!"	――まさに、なんたる女だ！」
cried the King of Bohemia, when we had all three read this epistle.	と我々三人が親書を読み終えたとき、ボヘミア王が叫んだ。
"Did I not tell you how quick and resolute she was?	「言うによろしく、怜悧決然たる女であろう？
Would she not have made an admirable queen?	きっと王妃の誉れとなったであろうに。
Is it not a pity that she was not on my level?"	惜しむらくは、階級が余には不相応であったことか。」
"From what I have seen of the lady she seems indeed to be on a very different level to your Majesty,"	「僕が拝見しましても、この女性と陛下、なるほど階級に差があるようです。」
said Holmes coldly.	とホームズは冷ややかに言う。
"I am sorry that I have not been able to bring your Majesty's business to a more successful conclusion."	「遺憾ながら、陛下のご依頼を上首尾な結果に終わらせることが出来ませんでした。」
"On the contrary, my dear sir,"	「その逆であるぞ、貴公。」
cried the King;	と王は感嘆する。
"nothing could be more successful.	「まことに上首尾である。
I know that her word is inviolate.	あの女の言葉に嘘偽りはない。
The photograph is now as safe as if it were in the fire."	写真は火中にくべたも同然、今や安全である。」
"I am glad to hear your Majesty say so."	「陛下にそう言っていただき光栄に存じます。」
"I am immensely indebted to you.	「大儀であった。
Pray tell me in what way I can reward you.	礼をつかわすゆえ、何なりと言うがよかろう。
This ring--"	この指輪なぞ……」
He slipped an emerald snake ring from his finger and held it out upon the palm of his hand.	と王は指から翠玉（エメラルド）の蛇型指輪を抜き取り、自らの掌上に載せた。
"Your Majesty has something which I should value even more highly,"	「陛下は僕にとってもっと価値のある物をお持ちです。」
said Holmes.	とホームズ。
"You have but to name it."	「何か言ってみたまえ。」
"This photograph!"	「この写真です。」
"Irene's photograph!"	「イレーナの写真とな！」
he cried.	と王。
"Certainly,	「よかろう。
if you wish it."	望むのであれば。」
"I thank your Majesty.	「ありがたく存じます、陛下。
Then there is no more to be done in the matter.	しからば、もはやこの件は解決いたしました。
I have the honour to wish you a very good-morning."	ごきげんよう、と謹んで申し上げます。」
He bowed, and, turning away without observing the hand which the King had stretched out to him, he set off in my company for his chambers.	とホームズはお辞儀し、王の差し出した手に見向きもせず、きびすを返し、私とともに私室へ引き上げたのだった。
And that was how a great scandal threatened to affect the kingdom of Bohemia, and how the best plans of Mr. Sherlock Holmes were beaten by a woman's wit.	以上がボヘミア王室を脅かした一大醜聞であり、ホームズの深謀が一女性の機知にうち砕かれた事件の顛末である。
He used to make merry over the cleverness of women, but I have not heard him do it of late.	以前は女性の浅知恵と冷やかしていたホームズも、最近は一言もない。
And when he speaks of Irene Adler, or when he refers to her photograph, it is always under the honourable title of the woman.	そしてアイリーン・アドラーに触れたり、写真を引き合いに出したりする際には、ホームズは常に『あのひと』という敬称を使うのである。
