The " Gloria Scott "	グロリア・スコット号
and so often did he come that by the third day we had each stowed away at the foot of our beds a file, a brace of pistols, a pound of powder, and twenty slugs.	それは三日目には、もう私たちの全部が、寝台の下に、ヤスリ一挺と、ピストル二挺と、火薬一ポンドと、十二発の弾丸とをかくすことが出来たほど、ちょくちょくやって来てくれた。
Two of the warders were agents of Prendergast, and the second mate was his right-hand man.	それからまた二人の番兵はプレンダーガストの支配人で、二等運転手は彼の片腕になって働いている人間なのだった。
The captain, the two mates, two warders, Lieutenant Martin, his eighteen soldiers, and the doctor were all that we had against us.	だから私達の敵は、船長と二人の運転手と二人の番兵と、マルチン中尉とその十八人の部下の兵士とそれから医者と、それだけで全部であった。
Yet, safe as it was, we determined to neglect no precaution, and to make our attack suddenly by night.	しかしそれでもなお、まだ安全を期するため、予備行為を怠りなくして、そして夜中に不意に襲うつもりでいた。
It came, however, more quickly than we expected, and in this way.	けれども、私たちが予定していたより早く、その時は、こんな風にして実現されてしまった。
``' One evening, about the third week after our start, the doctor had come down to see one of the prisoners who was ill, and putting his hand down on the bottom of his bunk, he felt the outline of the pistols.	それは私たちが出発してからちょうど三週間目のある夜のことであったが、病気になった一人の囚人を診察に来た医者が、その囚人の寝台の中に手を入れて、ふとピストルの形に手をふれたのであった。
If he had been silent he might have blown the whole thing,	でももし彼がだまっていたなら、おそらくすべての事を被（おお）ってしまうことが出来たに相違なかった。
but he was a nervous little chap, so he gave a cry of surprise and turned so pale that the man knew what was up in an instant and seized him.	けれど彼は神経質なおっちょこちょいだったもので、キャッと云うと真蒼になってしまったので、すぐ何事が起ったかを感づいて、その医者を捕えてしまったのだ。
He was gagged before he could give the alarm and tied down upon the bed.	そうして彼が大声をあげないさきに猿轡（さるぐつわ）をはめて、寝台の下にしばりつけてしまった。
He had unlocked the door that led to the deck, and we were through it in a rush.	医者はデッキへ通じるドアを鍵をかけないでおいたので、私たちはそこを通って躍り出した。
The two sentries were shot down,	たちまち二人の歩哨兵は射殺された。
and so was a corporal who came running to see what was the matter.	それは何事が起きたのだろうと、調べるために走り寄って来たのだった。
There were two more soldiers at the door of the stateroom,	事務室の戸の外に、兵士が二人いた。
and their muskets seemed not to be loaded, for they never fired upon us,	しかし彼等の鉄砲は装弾してなかったと見えて、発砲しなかった。
and they were shot while trying to fix their bayonets.	そして彼等は銃剣をつけようとしている間に、うち殺されてしまった。
Then we rushed on into the captain's cabin,	こうして私たちは船長室に突進した。
but as we pushed open the door there was an explosion from within,	が、ちょうど私たちがその室（へや）のドアを引きあけた時、中から爆音がきこえて来た。
and there he lay with his brains smeared over the chart of the Atlantic which was pinned upon the table, while the chaplain stood with a smoking pistol in his hand at his elbow.	そうして彼はその中で、テエブルの上にピンで留められてあった大西洋の地図の上にのめってい、その側（かたわ）らには煙の出ているピストルを持った教師が立っていた。
The two mates had both been seized by the crew, and the whole business seemed to be settled.	また、二人の番兵は水夫たちに捕えられ、かくしてすべての仕事は仕末がついたように見えた。
``' The stateroom was next the cabin,	広間はケビンのつぎにつづいていた。
and we flocked in there and flopped down on the settees, all speaking together, for we were just mad with the feeling that we were free once more.	私たちはそこに集（あつま）って、長椅子に身をなげて、再び自由な身になったことを喜んで、気狂（きちが）いのように喜び合った。
There were lockers all round,	その部屋の周囲には戸棚がついていた。
and Wilson, the sham chaplain, knocked one of them in, and pulled out a dozen of brown sherry.	偽牧師のウィルソンは、そこからシェリー酒を引張り出して来た。
We cracked off the necks of the bottles, poured the stuff out into tumblers,	私たちはその瓶の首をたたき落して、水呑コップに注いだ。
and were just tossing them off when in an instant without warning there came the roar of muskets in our ears, and the saloon was so full of smoke that we could not see across the table.	そしてそれを呑もうとした瞬間、何の予告もなしに、私たちの耳に銃の響が聞え、客間はその煙で一ぱいになってテーブルを越して向うが見えなくなった。
When it cleared again the place was a shambles.	が、その煙がすっかりぬぐわれると、そこは恐ろしい修羅の巷（ちまた）と化していた。
Wilson and eight others were wriggling on the top of each other on the floor,	ウィルソンとその他の八人のものも、床の上をのた打っていた。
and the blood and the brown sherry on that table turn me sick now when I think of it.	そして血とテーブルの上にひっくりかえったシェリー酒との流れは、今でも私はその時の光景を考えると気持ちが悪くなるような様子で流れていた。
We were so cowed by the sight that I think we should have given the job up if it had not been for Prendergast.	私たちは、それがもしプレンダーガストのためでなかったら、たぶん、もうその仕事をほうり出していたに違いないと思うほど、その光景を見ておどかされてしまった。
He bellowed like a bull and rushed for the door with all that were left alive at his heels.	しかしプレンダーガストは牛のように咆（ほ）えると、生き残ったものを従えて、戸口のほうに突進した。
Out we ran, and there on the poop were the lieutenant and ten of his men.	そして外に出ると、船尾のほうに中尉とそして十人のその部下がいた。
and they had fired on us through the slit.	彼等は私たちに発砲しようとしていたが、
We got on them before they could load,	私たちはその前に彼等に跳（おど）りかかった。
and they stood to it like men;	無論彼等もそれに抵抗したが、
but we had the upper hand of them,	しかし私たちのほうが優勢であった。
and in five minutes it was all over.	そうしてすべては五分間で終ってしまった。
My God! was there ever a slaughter-house like that ship!	――おお、神よ、その船の如き人殺しの家が、未だかつてこの世にあったであろうか？
Prendergast was like a raging devil,	プレンダーガストはまるで怒れる悪魔のようであった。
and he picked the soldiers up as if they had been children and threw them overboard alive or dead.	彼は兵士たちをあたかも子供のようにつまみ上げると、生きていようと死んでいようとおかまいなしに、海の中へなげ込んだ。
There was one sergeant that was horribly wounded and yet kept on swimming for a surprising time	その中に一人、ひどく傷ついた下士官がいたが、彼は驚くほど長い間泳いでいた。
until someone in mercy blew out his brains.	が、誰かがその頭をうちぬいてしまった。
When the fighting was over there was no one left of our enemies except just the warders, the mates, and the doctor.	こうして戦いは終って、今では私たちの敵は、番兵と助手と医者とをのぞいてはただの一人も、その船の中にはいなくなった。
``' It was over them that the great quarrel arose.	と、そのとき大喧嘩が持ち上った。
There were many of us who were glad enough to win back our freedom, and yet who had no wish to have murder on our souls.	と云うのは、私たちの大部分は、私たちの自由を取り戻すことの出来るのを喜んではいたが、しかし人殺ろしをすることを望んではいなかった。
It was one thing to knock the soldiers over with their muskets in their hands, and it was another to stand by while men were being killed in cold blood.	ところが私たちは、一つ兵士たちを、彼等の持っている鉄砲でなぐりつけ、もう一つは、その部下たちを惨酷（ざんこく）にも殺ろす間、その側に立っていなければならないのだった。
Eight of us,	そのため私たち八人のものは、
five convicts and three sailors, said that we would not see it done.	――犯罪人が五人と水夫が三人と、これだけはどうしてもそれは出来ないと云った。
But there was no moving Prendergast and those who were with him.	しかしそれは少しもプレンダーガストとそしてその仲間を動かすことは出来なかった。
Our only chance of safety lay in making a clean job of it, said he, and he would not leave a tongue with power to wag in a witness-box.	私たちの自由を獲得するただ一つの方法は、どこまでもこの計画をやり通して、跡に禍いの残らないようにすることだ、と彼は云った。
It nearly came to our sharing the fate of the prisoners,	そして彼は、後になって、証人などのために苦労することがないように、みんな銃殺してしまうつもりらしかった。
but at last he said	が、彼は遂に云った。
that if we wished we might take a boat and go.	もし私たちが望みなら、ボートに乗って、その船から立ってくれてもいいと。
We jumped at the offer,	私たちはこの申出を喜んだ。
for we were already sick of these blood-thirsty doings,	なぜなら私たちはもうこの血に飢えたような行為にあきあきしていたから。
and we saw that there would be worse before it was done.	そして更に私たちは、血醒（ちなまぐさ）い行為がくり返えされないではいないことが分かっていたから。
We were given a suit of sailor togs each, a barrel of water, two casks, one of junk and one of biscuits,	――そこで私たちは、お互いに水夫の服を一着と、水の瓶を一つと、樽を二つ、一つは牛肉の樽で一つはビスケット、
and a compass.	――それからコンパスとそれだけをもらった。
Prendergast threw us over a chart, told us that we were shiprecked mariners whose ship had foundered in Lat. 15 degrees and Long. 25 degrees west,	プレンダーガストは私たちに海図を投げてくれながら、自分たちは難船した水夫で、その船は北緯十五度、西経二十五度の所で沈んだと云えと云った。
and then cut the painter and let us go.	そうして私たちは綱を切って出発したのであった。
``' And now I come to the most surprising part of my story, my dear son.	私の可愛い子供よ、いよいよ私の話の一番の山へ這入って来た。
The seamen had hauled the fore-yard aback during the rising, but now as we left them they brought it square again,	――こうして、私たちがその船を去った時、その船の水夫たちは帆を張り直した。
and as there was a light wind from the north and east the bark began to draw slowly away from us.	そうしてその時、軽い風が北東から吹いていたので、その船は私たちから次第に遠去（とおざ）かっていった。
Our boat lay, rising and falling, upon the long, smooth rollers,	私たちのボートはそれから、長い滑らかなローラーの上を昇ったりおりたりしながらただよった。
and Evans and I, who were the most educated of the party, were sitting in the sheets working out our position and planning what coast we should make for.	私とエヴァンスとは、その仲間のうちでは一番教養があったので、自分たちのいる経緯を見、そしてどんなコースをとっていったらいいかを研究した。
It was a nice question, for the Cape Verdes were about five hundred miles to the north of us, and the African coast about seven hundred to the east.	ベルド岬は私たちから北方五百マイルの所にあったし、アフリカの海岸は東方七百マイルの所にあったので、そのどっちへ行くべきかは充分考うべき問題だった。
On the whole, as the wind was coming round to the north, we thought hat Sierra Leone might be best	が、大体において、風が北に向けて吹いて来たので、シーラ・レオンに行くのが一番いいと思った。
and turned our head in that direction,	そうして私たちは船首をその方角にむけ直した。
the bark being at that time nearly hull down on our starboard quarter.	その時には、私たちの右舷、半マイルばかりのあなたに、例の船は既にその船体を没し去ろうとしていたのであった。
Suddenly as we looked at her we saw a dense black cloud of smoke shoot up from her,	が、ちょうどその時、私たちは不意に、その船から真黒な煙の立ちのぼるのを目にした。
which hung like a monstrous tree upon the sky-line.	その煙はまるで天までとどく怪異な木のような恰好だった。
A few seconds later a roar like thunder burst upon our ears,	そうして二三秒間のうちに雷のようなすさまじい響きが私たちの耳を襲った。
and as the smoke thinned away there was no sign left of the Gloria Scott.	つづいて間もなくその煙がうすれると、もうそこにはグロリア・スコットの影も形も残っていなかった。
In an instant we swept the boat's head round again and pulled with all our strength for the place	私たちは直ちに、再びボートをむけ直して、力一ぱい漕いで、グロリア・スコットの沈んだ海上にまで走っていった。
where the haze still trailing over the water marked the scene of this catastrophe.	そこにはまだ、断末魔の影をとどめて、波がうねっていた。
``' It was a long hour before we reached it, and at first we feared that we had come too late to save anyone.	私たちがその地点まで来るには、かなり長い時間がかかったので、私たちは誰もすくうことは出来ないだろうと心配した。
A splintered boat and a number of crates and fragments of spars rising and falling on the waves showed us where the vessel had foundered;	まさにその通りで、その辺には、一双の快走ボートや幾つもの笊（ざる）や円材の破片や、そんなものが波の間に間に浮き沈みしていて、
but there was no sign of life,	生物の影は一つもなかった。
and we had turned away in despair,	私達は失望して帰ろうとした。
when we heard a cry for help	とその時、私達は救いを呼んでいる人の声を耳にした。
and saw at some distance a piece of wreckage with a man lying stretched across it.	見ると遥か彼方に船の破片に抱きついて、浮んでいる一人の男があった。
When we pulled him aboard the boat he proved to be a young seaman of the name of Hudson,	私達はその男をボートの中に引き上げてみると、それは、ハドソンと云う若い水夫であった。
who was so burned and exhausted that he could give us no account of what had happened until the following morning.	彼はひどく焼傷（やけど）をし、ひどく労（つか）れていたので、翌朝まで何事が起きたのか彼から聞くことは出来なかった。
```It seemed that after we had left, Prendergast and his gang had proceeded to put to death the five remaining prisoners.	翌朝になって聞いてみると、その出来事は私達が船から去った後、プレンダーガストと、その手下達が、残った五人の捕縛者を打殺そうとして起きたことらしかった。
The two warders had been shot and thrown overboard, and so also had the third mate.	まず二人の番兵は射殺されて、海にほうり出され、そうして三人の助手も同じ様にされた。
Prendergast then descended into the'tweendecks and with his own hands cut the throat of the unfortunate surgeon.	そこで、プレンダーガストは船内に降りて行って、不幸な士官の咽喉（のど）をたたき切った。
There only remained the first mate, who was a bold and active man.	後に残ったのはただ一人第一助手だけであった。
When he saw the convict approaching him with the bloody knife in his hand he kicked off his bonds, which he had somehow contrived to loosen, and rushing down the deck he plunged into the after-hold.	がその男は勇敢な、そして力の強い男だったので、プレンダーガストが血だらけのナイフを手に持って彼に近づいて行くのを見ると、彼は以前から出ようとしていた所の留置場を蹴破って、デッキをかけ抜けて後部の方にある監禁室に飛び込んだ。
A dozen convicts, who descended with their pistols in search of him, found him with a match-box in his hand seated beside an open powder-barrel,	やがて大勢の囚人達が手に手にピストルを持って、彼をさがしながらだんだんおりて行くと、彼は手にマッチ箱を持って、口を開けた火薬箱の側にどっかり腰をかけていた。
which was one of the hundred carried on board, and swearing that he would blow all hands up if he were in any way molested.	その火薬箱は船に積み込んだ百箇の中の一つで、彼は、もし彼が殺されそうになったらその中へ火を投げ込むぞと云っていた。
An instant later the explosion occurred,	そのすぐ後一分も立たないでその事件が持ち上った。
though Hudson thought it was caused by the misdirected bullet of one of the convicts rather than the mate's match.	ハドソンの想像で行くとそれは、その助手がマッチをほうり込んだのではなくて、四人の誰かが誤ってピストルを打ったためらしかった。
Be the cause what it may, it was the end of the Gloria Scott and of the rabble who held command of her.	がその原因はいずれであるにせよ、それがグロリア・スコットの最後であり、そして暴徒達の最後でもあった。
```Such, in a few words, my dear boy, is the history of this terrible business in which I was involved.	私の可愛いい子供よ。
Next day we were picked up by the brig Hotspur,	――私達はその翌日、ホトスパー号に救助された。
bound for Australia, whose captain found no difficulty in believing that we were the survivors of a passenger ship which had foundered.	その船はオーストラリヤにむけて航海中のもので、船長は私達が難船した旅客船の残存者であると云う言葉を難なく信じてくれた。
The transport ship Gloria Scott was set down by the Admiralty as being lost at sea, and no word has ever leaked out as to her true fate.	運送船グロリア・スコット号は航海中、失われたと海軍省より発表され、その本当の運命については、何事も世の中には知れなかった。
After an excellent voyage the Hotspur landed us at Sydney,	ホトスパー号は、それから、すばらしい航海を続けた後、シドニーに私達を上陸させてくれた。
where Evans and I changed our names and made our way to the diggings,	そこでエバンスも私も名前をかえて、共に鉱山に出かけて行った。
where, among the crowds who were gathered from all nations, we had no difficulty in losing our former identities.	そうして、あらゆる国から集（あつま）って来ている人々の間にまじって、私達は私達の過去を容易に葬り去ることが出来た。
The rest I need not relate.	それから後の話はもう話す必要はあるまい。
We prospered,	私達はお金持ちになった。
we travelled,	私達は旅行をした。
we came back as rich colonials to England,	私達はイギリスに金持ちの移民として帰って来た。
and we bought country estates.	そうして田舎に土地を買った。
For more than twenty years we have led peaceful and useful lives,	二十数年あまり、私達は平和な公共的な生涯を送った。
and we hoped that our past was forever buried.	そして私達はもはや私達の過去は永久に葬り去られたものと信じていた。
Imagine, then, my feelings when in the seaman who came to us I recognized instantly the man who had been picked off the wreck.	――ところが突然に私を尋ねて来た、例の水夫を見て、それがあの時難破船の破片から救い上げた、その男であるとわかった時の、私の気持と云ったらどんなだったろう。
He had tracked us down somehow and had set himself to live upon our fears.	彼は私達の弱身につけ込んで私達をおどかして暮して行こうとしていたのだ。
You will understand now how it was that I strove to keep the peace with him,	今になればお前は、あの時私が彼と平和に暮して行こうとしていた理由を了解してくれるだろう。
and you will in some measure sympathize with me in the fears which fill me,	そうしてまた、私が感じていたおそろしさにも同情を持ってくれるだろう。
now that he has gone from me to his other victim with threats upon his tongue.'	今や彼は私から遠ざかって、彼のもう一人の犠牲者の所へ出かけて行った。
``Underneath is written in a hand so shaky as to be hardly legible,	そこでベドウスが暗号で
`Beddoes writes in cipher to say H. has told all.	「ハドソンが総べてを話した。
Sweet Lord, have mercy on our souls!'	慈悲深き神よ、我々の命を守らせたまえ」
``That was the narrative which I read that night to young Trevor,	これがその晩私が、トレボウの息子に読んできかせた遺書であった。
and I think, Watson, that under the circumstances it was a dramatic one.	ワトソン、僕は考えるんだが、これは実際ドラマチックな事件だったよ。
The good fellow was heart-broken at it, and went out to the Terai tea planting, where I hear that he is doing well.	その善良な息子はその事件のために、心を破られ、世の中から隠棲して、お茶作りになり、今では相応にやり出していると云う話だ。
As to the sailor and Beddoes, neither of them was ever heard of again after that day on which the letter of warning was written.	またその水夫とベドウスとについては、その後全く何にもきかない。
They both disappeared utterly and completely.	二人共完全にどこかへ姿をかくしてしまったものらしい。
No complaint had been lodged with the police, so that Beddoes had mistaken a threat for a deed.	ベドウスはその恐喝を警察へ訴（うったえ）もしなかったと見える。
Hudson had been seen lurking about, and it was believed by the police that he had done away with Beddoes and had fled.	またハドソンがどこかへかくれてしまったと云うことから、警察ではハドソンがベドウスを殺して、どこかへ逃げたものと想像している。
For myself I believe that the truth was exactly the opposite.	けれども僕の考えで行くと、事実はそれらとは正反対だと思うのだ。
I think that it is most probable that Beddoes, pushed to desperation and believing himself to have been already betrayed, had revenged himself upon Hudson, and had fled from the country with as much money as he could lay his hands on.	たぶん、絶望におち入り既に密告されることを覚悟したベドウスは、かえってハドソンに復讐をし、出来得るだけの金を懐にして、この国からどこかへ逃げて行ったと僕は考えるんだよ。
Those are the facts of the case, Doctor,	――君、事件の真相と云うのはこんなわけなんだ。
and if they are of any use to your collection, I am sure that they are very heartily at your service.''	もしこんな事件にも君の研究の役に立つなら、この事件に現われた人々も、さぞかし満足だろうと思うよ。
