SILVER BLAZE	白銀の失踪
His face was ashy pale, beads of perspiration shone upon his brow, and his hands shook until the hunting-crop wagged like a branch in the wind.	顔の色といったら灰のように蒼ざめ、額には汗の玉を浮べ、手に持つ猟鞭は嵐の中の小枝のようにゆらいでいた。
His bullying, overbearing manner was all gone too, and he cringed along at my companion's side like a dog with its master.	そして横暴で尊大なさっきの態度はどこへやら、まるで主人に仕える忠実な犬のように、ホームズの側でかしこまっている有様だった。
``Your instructions will be done.	「それではお指図の通りに致します。
It shall all be done,''	必ず致しますから」
``There must be no mistake,''	「必ず間違わないようにしてもらいたい」
said Holmes, looking round at him.	ホームズはブラウンをじろじろ眺めながらいった。
The other winced as he read the menace in his eyes.	ブラウンはホームズの視線に威圧されて、ぱちぱちと瞬きをした。
``Oh, no, there shall be no mistake.	「はいはい、決して間違いは致しません。
It shall be there.	必ず出します。
Should I change it first or not?''	それからあれは初めから変えておきましょうか、それともまた――」
Holmes thought a little and then burst out laughing.	ホームズはちょっと考えていたが、急に噴き出して、
``No, don't,''	「いや、そのままがいい。
``I shall write to you about it.	それについては後で手紙を出そう。
No tricks, now,	もう狡（ず）るいことをするじゃないよ。
or -- ''	さもないと――」
``Oh, you can trust me,	「大丈夫です！
you can trust me!''	どうぞ私を信じて下さい」
``Yes, I think I can.	「よろしい、安心していよう。
Well, you shall hear from me to-morrow.''	では明日手紙を上げるから」
He turned upon his heel, disregarding the trembling hand which the other held out to him, and we set off for King's Pyland.	ホームズはブラウンが震える手をのべて握手を求めたのを構わずに、くるりと向きを代えてそのまま私と一緒にキングス・パイランドの方へ帰って行った。
``A more perfect compound of the bully, coward, and sneak than Master Silas Brown I have seldom met with,''	「サイラス・ブラウンのようなあんな傲慢で臆病で狡猾な三拍子そろった奴を見たことがない」
remarked Holmes as we trudged along together.	ホームズは歩きながらいった。
``He has the horse, then?''	「じゃ、あの馬を持っていたんだね？」
``He tried to bluster out of it, but I described to him so exactly what his actions had been upon that morning	「初めはつべこべと誤魔化そうとしたから、あの晩、いや朝のあいつの行動を正確に話してやったら、図星を指されたと見えて、とうとう兜を脱いだよ。
that he is convinced that I was watching him.	僕が見ていたとでも思い込んだらしく。
Of course you observed the peculiarly square toes in the impressions, and that his own boots exactly corresponded to them.	君はあの足跡が妙に爪先が角ばっていたのも、ブラウンの穿いていた靴がちょうどそれに適合する形だったのも、無論気がついたろう。
Again, of course no subordinate would have dared to do such a thing.	そして部下の使用人にはこんなことが出来るものじゃないことも
I described to him how, when according to his custom he was the first down, he perceived a strange horse wandering over the moor.	――だから、僕は毎朝あいつが一番に起きる習慣であること、あの朝も早く起きてみると、荒地によその馬がうろうろしているので、
How he went out to it, and his astonishment at recognizing, from the white forehead	出て行ってみたところ驚いたことには、それが白銀号だった
which has given the favourite its name, that chance had put in his power the only horse which could beat the one upon which he had put his money.	――白銀というのは額が真白なところから出た名なんだが、自分が大金を賭けてる馬の唯一の強敵が手に入ったんでびっくりしただろうと、そのことについて委しく話してやった。
Then I described how his first impulse had been to lead him back to King's Pyland, and how the devil had shown him how he could hide the horse until the race was over, and how he had led it back and concealed it at Mapleton.	最初は、キングス・パイランドへつれて行こうとしたが、急に魔がさして、競馬のすむまでかくしておいたらという考えを起し、そっとケープルトンへつれ戻ってかくしておいただろうといってやったもんだから、
When I told him every detail he gave it up and thought only of saving his own skin.''	あいつもとうとう降参して、どうかして自分が罰せられないですむ方法はないかと考えるまでになったんだ」
``But his stables had been searched?''	「だって、あの厩舎はグレゴリ警部が調べたんだろう？」
``Oh, an old horse-faker like him has many a dodge.''	「馬の扱いもあいつぐらいになると、どうにでもぺてんの利くもんだよ」
``But are you not afraid to leave the horse in his power now	「だって君は、ブラウンに馬を預けておいて心配はないのかい？
since he has every interest in injuring it?''	あの馬に傷をつければ、どの点から見てもブラウンの利益になるんだのに」
``My dear fellow,	「安心したまえ。
he will guard it as the apple of his eye.	ブラウンは掌中の玉のように馬を大切にするから。
He knows that his only hope of mercy is to produce it safe.''	少しでも罪を軽くしてもらうには馬を安全にしておくのが、唯一の方法だと、ちゃんと心得ているんだ」
``Colonel Ross did not impress me as a man who would be likely to show much mercy in any case.''	「だが、ロス大佐のあの様子じゃどんなことをしたって、寛大な処置をとりそうもないね」
``The matter does not rest with Colonel Ross.	「この事件は大佐の一存じゃきまらないんだ。
I follow my own methods and tell as much or as little as I choose.	僕は自分の思う通りに歩を進めていいように話しておく。
That is the advantage of being unofficial.	そこは警察の役人でない有難さ。
I don't know whether you observed it, Watson, but the colonel's manner has been just a trifle cavalier to me.	君はどう思ったか知らないが、大佐の態度は僕には少々素気（そっけ）なさすぎた。
I am inclined now to have a little amusement at his expense.	だから費用は先持ちで、ちょっとばかり面白いことをしてやろうと思うんだ。
Say nothing to him about the horse.''	馬のことは大佐には何んにもいわずにおきたまえ」
``Certainly not without your permission.''	「いいとも、君が許すまでは黙ってるよ」
``And of course this is all quite a minor point compared to the question of who killed John Straker.''	「もっともこんなことはジョン・ストレーカ殺しの犯人問題に比べれば、ごく些細なことだがね」
``And you will devote yourself to that?''	「じゃ、これからその方に専念するつもりなのか？」
``On the contrary, we both go back to London by the night train.''	「いいや、夜行列車で一緒にロンドンへ帰ろう」
I was thunderstruck by my friend's words.	ホームズのこの言葉に私はひどく驚かされた。
We had only been a few hours in Devonshire, and that he should give up an investigation which he had begun so brilliantly was quite incomprehensible to me.	デヴォンシャへ来てまだ二三時間にしかならないのに、これほど素晴しい成功を持って進捗しつつある事件を、すっぱりと見切りをつけてしまおうとする彼の腹が、私には分らなかった。
Not a word more could I draw from him until we were back at the trainer's house.	いろいろ訊ねてみたが、彼が黙々として、ストレーカの家へ帰りつくまで一言も発しなかった。
The colonel and the inspector were awaiting us in the parlour.	帰ってみると、大佐は警部と一緒に客間で待っていた。
``My friend and I return to town by the night-express,''	「私達は今晩の夜中の汽車でロンドンへ引揚げます」
said Holmes.	ホームズはいった。
``We have had a charming little breath of your beautiful Dartmoor air.''	「おかげでダートムアの美しい空気を、しばらく呼吸させていただきました」
The inspector opened his eyes, and the colonel's lip curled in a sneer.	これを聞いて警部は呆気にとられ、大佐は唇に冷笑を浮べた。
``So you despair of arresting the murderer of poor Straker,''	「では、ストレーカ殺しの犯人は捕まらんと断念されたんですか？」
Holmes shrugged his shoulders.	ホームズは昂然として、
``There are certainly grave difficulties in the way,''	「非常な困難が横（よこた）わってることは事実です。
``I have every hope, however, that your horse will start upon Tuesday,	それにしてもこの火曜日にあなたの馬が競馬に出られることは、相違あるまいと思われます。
and I beg that you will have your jockey in readiness.	どうか騎手の御用意をお忘れないように。
Might I ask for a photograph of Mr. John Straker?''	それから、ストレーカ氏の写真を一枚拝借願いたいと思いますが」
The inspector took one from an envelope and handed it to him.	グレゴリ警部はポケットに持っていた封筒から一枚取出して、ホームズに渡した。
``My dear Gregory, you anticipate all my wants.	「グレゴリさんは私が欲しいと思うものはいつも先廻りして用意しておいて下さるですね、有難う。
If I might ask you to wait here for an instant, I have a question which I should like to put to the maid.''	ところで、しばらく皆さまにお待ちを願って、女中に二三質問したいことがありますが――」
``I must say that I am rather disappointed in our London consultant,''	ホームズが部屋を出て行くと大佐は露骨にいった。
said Colonel Ross bluntly as my friend left the room.	「ロンドンなんかからわざわざ探偵を呼んでどうも馬鹿を見ちゃった。
``I do not see that we are any further than when he came.''	あの男が来てからこればかりも捗ったことか！」
``At least you have his assurance that your horse will run,''	「少なくとも白銀が競馬に出ることだけはホームズは保証しましたよ」
said I.	私は口を入れた。
``Yes, I have his assurance,''	「なるほど、その保証はあった」
said the colonel with a shrug of his shoulders.	大佐は冷笑を浮べて、
``I should prefer to have the horse.''	「保証よりは馬を早く戻してもらった方がいい」
I was about to make some reply in defence of my friend when he entered the room again.	私がホームズのために弁明しようとしたところへ、彼は入って来た。
``Now, gentlemen,'' said he, ``I am quite ready for Tavistock.''	「それでは皆さん、いつでもタヴィストックへお供いたしましょう」
As we stepped into the carriage one of the stable-lads held the door open for us.	私達が馬車に乗ろうとすると、一人の若者が扉（ドア）を押えていてくれた。
A sudden idea seemed to occur to Holmes, for he leaned forward and touched the lad upon the sleeve.	ホームズはつと何か考えついたらしく若者の袖を引いて訊ねた。
``You have a few sheep in the paddock,'' he said.	「調馬場の柵の中に羊が少しいるようだが、
``Who attends to them?''	誰が世話するのかね？」
``I do, sir.''	「私がやりますんで」
``Have you noticed anything amiss with them of late?''	「近頃何か羊に変ったことはなかったかね？」
``Well, sir, not of much account, but three of them have gone lame, sir.''	「へえ、大したこともございませんが、三頭だけどういうものか跛（ちんば）になりましたんで」
I could see that Holmes was extremely pleased,	ホームズはいと満足げだった。
for he chuckled and rubbed his hands together.	ニッコリと笑って、頻りに両手をこすり合せていた。
``A long shot, Watson, a very long shot,''	「大変な想像だよ、ワトソン君、非常に大胆な想像が当ったよ。
``Gregory, let me recommend to your attention this singular epidemic among the sheep.	グレゴリさん、羊の中に妙な病気が流行しているのは、大（おおい）に御注意なさったらいいと思います。
Drive on, coachman!''	じゃ、馭者君やって下さい」
Colonel Ross still wore an expression which showed the poor opinion which he had formed of my companion's ability, but I saw by the inspector's face that his attention had been keenly aroused.	ロス大佐は依然としてホームズを軽蔑するらしい顔をしていたが、警部はいたく注意を喚起させられたらしかった。
``You consider that to be important?''	「あなたはそれを重大視されますか？」
he asked.	警部はいった。
``Exceedingly so.''	「極めて重大視します」
``Is there any point to which you would wish to draw my attention?''	「その他何か私の注意すべきことはないでしょうか？」
``To the curious incident of the dog in the night-time.''	「あの晩の犬の不思議な行動に御注意なさるといいでしょう」
``The dog did nothing in the night-time.''	「犬は全然何もしなかったはずですが」
``That was the curious incident,''	「そこが不思議な行動だと申すのです」
Four days later Holmes and I were again in the train, bound for Winchester to see the race for the Wessex Cup.	それから四日たって私達はウェセクス賞杯争覇戦を見るために、再びウィンチェスタ行の汽車に乗った。
Colonel Ross met us by appointment outside the station, and we drove in his drag to the course beyond the town.	約束通りロス大佐は停車場の入口まで来て待っていてくれたので、私達はそのまま大佐の四頭立（よんとうだて）馬車で市はずれの競馬場へ向った。
His face was grave, and his manner was cold in the extreme.	大佐はひどく暗い顔をして、更に元気がなかった。
``I have seen nothing of my horse,''	「私の馬を一向見かけないようですがね」
said he.	大佐はいった。
``I suppose that you would know him when you saw him?''	「ごらんになれば御自分の馬だからお分りになるでしょう」
asked Holmes.	ホームズはそういった。
The colonel was very angry.	大佐はムッとして、
``I have been on the turf for twenty years and never was asked such a question as that before,''	「私は二十年来競馬場に出入りしているが、只今のようなお訊ねを受けるのは始めてです。
``A child would know Silver Blaze with his white forehead and his mottled off-foreleg.''	あの馬の純白の額と、斑の前脚とを見れば、子供にだって分ることです」
``How is the betting?''	「賭けはどんな模様です」
``Well, that is the curious part of it.	「その点だけはどうも妙です。
You could have got fifteen to one yesterday, but the price has become shorter and shorter, until you can hardly get three to one now.''	昨日なら十五対一でも売り手があったのに、だんだん差が少くなって、今では三対一でもどうですかな」
``Hum!''	「ふむ！」
said Holmes.	ホームズは独りごちて、
``Somebody knows something, that is clear.''	「何か知った奴があるんだな、たしかにそうです」
As the drag drew up in the enclosure near the grandstand I glanced at the card to see the entries.	馬車が大スタンド近くの入口から入る時、競争加入者表を見あげると、次のように書き出されてあった。
Wessex Plate	ウェセクス賞杯競馬
[ it ran ] 50 sovs.	各出場馬金五〇ソヴリン。
each h ft with 1000 sovs. added, for four and five year olds.	同五歳馬にて一着には金一〇〇〇ソヴリンを副賞す。
Second, 300 pounds.	二着二〇〇ポンド。
New course ( one mile and five furlongs ).	新コース（一哩八分の五）
1. Mr. Heath Newton's The Negro.	一、ヒース・ニウトン氏　黒人
Red cap.	（赤色（せきしょく）帽、
Cinnamon jacket.	肉桂色（にくけいしょく）短衣（ジャケツ））
2. Colonel Wardlaw's Pugilist.	二、ワードロ大佐　拳闘家
Pink cap.	（淡紅色（たんこうしょく）帽、
Blue and black jacket.	青及（および）黒短衣（ジャケツ））
3. Lord Backwater's Desborough.	三、バックウォータ卿　デスボロ
Yellow cap and sleeves.	（黄色（こうしょく）帽、袖同色）
4. Colonel Ross's Silver Blaze.	四、ロス大佐　白銀
Black cap.	（黒色（こくしょく）帽、
Red jacket.	赤色短衣（ジャケツ））
5. Duke of Balmoral's Iris.	五、バルモーラル公爵　アイリス
Yellow and black stripes.	（黄及黒の縞）
6. Lord Singleford's Rasper.	六、シングルフォド卿　ラスパ
Purple cap.	（紫色（ししょく）帽、
Black sleeves.	袖黒）
``We scratched our other one and put all hopes on your word,''	「私の方ではもう一頭の方を見合せて、すべての希望をあなたの言葉につないでいるんです」
said the colonel.	大佐はいった、
``Why, what is that?	「おや、これはどうだ！
Silver Blaze favourite?''	白銀はちゃんと出ているな！」
``Five to four against Silver Blaze!''	「白銀は五対四！」
roared the ring.	賭場（かけば）から喚き声が起った。
``Five to four against Silver Blaze!	「白銀は五対四！
Five to fifteen against Desborough!	デスボロは十五対三！
Five to four on the field!''	場（じょう）に出れば五対四！」
``There are the numbers up,''	「ぞろぞろ出て行くぜ」
I cried.	私が注意をした。
``They are all six there.''	「ああ、六頭全部いる！」
``All six there?	「六等全部だ！
Then my horse is running,''	してみると私の馬もいるんだな！」
cried the colonel in great agitation.	大佐は叫び声を挙げた。
``But I don't see him.	「だが、白銀はいない！
My colours have not passed.''	黒帽赤短衣（ジャケツ）はここを通らなかった」
``Only five have passed.	「いや、まだ五頭通っただけです。
This must be he.''	今度のがそうに違いありません」
As I spoke a powerful bay horse swept out from the weighing enclosure and cantered past us,	私がこういった時、逞ましい栗毛の逸物が重量検査所から出て来て、ゆるやかな駈足で私達の前を通った。
bearing on its back the well-known black and red of the colonel.	鞍上（くらうえ）にはロス大佐の色別（しきべつ）として有名な黒と赤との騎手が乗っていた。
``That's not my horse,''	「あれは私の馬じゃない！」
cried the owner.	持主の大佐は叫んだ。
``That beast has not a white hair upon its body.	「あいつには額に白い毛がない！
What is this that you have done, Mr. Holmes?''	ホームズさん、あんたは一体何をやったんですッ？」
``Well, well, let us see how he gets on,''	「まあ、まあ、あの馬がどんなことになるか見ていましょう」
said my friend imperturbably.	ホームズは騒がずにいって
For a few minutes he gazed through my field-glass.	私の双眼鏡をとってしばらく一心に眺めていたが、
``Capital!	「見事だ！
An excellent start!''	素晴らしいスタートだ！
``There they are,	や、や、来たぞ！
coming round the curve!''	コーナを廻って来たぞ！」
From our drag we had a superb view as they came up the straight.	馬車の上から見ていると、やがて直線部に来た時の彼等は壮大であった。
The six horses were so close together that a carpet could have covered them,	六頭の馬は一枚の敷物でかくせるくらい接近して馳（かけ）っていた。
but halfway up the yellow of the Mapleton stable showed to the front.	が、半ば頃まではケープ［＃「プ」は底本では「ブ」］ルトンの黄色がその中の先頭を切っていたが、
Before they reached us, however, Desborough's bolt was shot, and the colonel's horse, coming away with a rush, passed the post a good six lengths before its rival,	私達の前まで来た時はデスボロは力つきて出足鈍り、大佐の馬は突進してそれを抜き、決勝点に入った時は、優に六馬身の差があった。
the Duke of Balmoral's Iris making a bad third.	バルモーラル公のアイリス号はずっとおくれて三着になった。
``It's my race, anyhow,''	「とにかく、勝（かつ）には勝った」
gasped the colonel, passing his hand over his eyes.	大佐はホッとして、手で両眼（りょうがん）を拭き払いながら、
``I confess that I can make neither head nor tail of it.	「しかし、正直なところ私には何が何んだかさっぱり分りません。
Don't you think that you have kept up your mystery long enough, Mr. Holmes?''	ホームズさん、もういい加減に教えて下すってもよくはありませんか」
``Certainly, Colonel,	「申し上げましょう。
you shall know everything.	何もかも申し上げましょう。
Let us all go round and have a look at the horse together.	みんなであっちへ行って馬を見てやりましょう。
Here he is,''	ここにいますよ」
he continued as we made our way into the weighing enclosure, where only owners and their friends find admittance.	ホームズは馬主とその連れだけしか入（い）れない重量検査所へ入って行きながら、
``You have only to wash his face and his leg in spirits of wine,	「この馬の顔と脚とをアルコールで洗っておやりなさい。
and you will find that he is the same old Silver Blaze as ever.''	そうすればもとのままの白銀だということが分りますから」
``You take my breath away!''	「えッ！
``I found him in the hands of a faker and took the liberty of running him just as he was sent over.''	「あるいかさま師の手に入っていたのを見つけ出して、勝手ながらその時のままの姿で出場させたわけです」
``My dear sir, you have done wonders.	「どうもあなたの慧眼は驚くべきものです。
The horse looks very fit and well.	馬は非常に調子がいいようです。
It never went better in its life.	全く今までになかったいい調子です。
I owe you a thousand apologies for having doubted your ability.	あなたの手腕を疑ぐったりして、なんと謝罪していいか分りません。
You have done me a great service by recovering my horse.	こうして大切な馬を取戻して下すったのですから、
You would do me a greater still if you could lay your hands on the murderer of John Straker.''	この上はジョン・ストレーカ殺しの犯人を見つけて下されば、これに越す幸いはありません」
``I have done so,''	「加害者も捕えておきました」
said Holmes quietly.	ホームズはすましていった。
The colonel and I stared at him in amazement.	大佐は無論、私までも驚いて彼の顔を眺めやった。
``You have got him!	「えッ！
Where is he,	どこにいます？
then?''	それでは？」
``He is here.''	「ここにいます」
``Here!	「ここに？
Where?''	どこです？」
``In my company at the present moment.''	「今現に我々と一緒にいます」
The colonel flushed angrily.	大佐はこの一語にカッとなって、
``I quite recognize that I am under obligations to you, Mr. Holmes,''	「ホームズさん、あなたのおかげを受けてることは十分認めもし、感謝もしていますが、
``but I must regard what you have just said as either a very bad joke	只今のお言葉は冗談にしては少し重すぎはしませんか。
or an insult.''	あなたは私を侮辱しますか！」
Sherlock Holmes laughed.	ホームズは笑っていった。
``I assure you that I have not associated you with the crime, Colonel,''	「大佐、あなたを何も犯人だと申したのではありませんよ。
``The real murderer is standing immediately behind you.''	真犯人はあなたのすぐ後に立っていますよ」
He stepped past and laid his hand upon the glossy neck of the thoroughbred.	ロス大佐は進みよって、名馬の沢（つや）やかな額に手をかけたが、急に気がついて、
``The horse!''	「馬がッ！」
cried both the colonel and myself.	と叫んだ。
``Yes, the horse.	「そうです、馬がです。
And it may lessen his guilt if I say that it was done in self-defence, and that John Straker was a man who was entirely unworthy of your confidence.	ジョン・ストレーカは全然あなたの信頼するに足りない男であります、馬は正当防禦のために殺したにすぎないことを申し上げれば、この馬の罪もいく分軽くなるわけでしょう。
But there goes the bell,	ところでベルが鳴り出しました。
and as I stand to win a little on this next race, I shall defer a lengthy explanation until a more fitting time.''	今度の競馬で私は少し勝ちたいと思いますから、その説明はいずれ後でゆっくりと委しく申し上げることにしましょう」
We had the corner of a Pullman car to ourselves that evening as we whirled back to London, and I fancy that the journey was a short one to Colonel Ross as well as to myself as we listened to our companion's narrative of the events which had occurred at the Dartmoor training-stables upon that Monday night, and the means by which he had unravelled them.	その晩、ロンドンへの帰りを、私達は寝台車の一隅に席を占めたが、前週の月曜日にダートムアの競馬場で起った出来事を、順序を追ってホームズは話し、そしていかにしてそれを解決するに至ったかを語り聞かせてくれたから、汽車の無聊を感じるどころか、ロス大佐にしても私にしても時間のたつのを知らなかったくらいである。
``I confess,'' said he, ``that any theories which I had formed from the newspaper reports were entirely erroneous.	「実のところ、新聞の報道を根拠に組立てた私の意見は全然誤っていました。
And yet there were indications there, had they not been overlaid by other details which concealed their true import.	しかも、新聞の記事にも正しい暗示の出ていたことは出ていたのですが、いろんな他の事項のためにそれがかくされていたのです。
I went to Devonshire with the conviction that Fitzroy Simpson was the true culprit,	デヴォンシャへ行くまでは、フィツロイ・シムソンが真犯人だと私は信じていました。
although, of course, I saw that the evidence against him was by no means complete.	もっとも彼に対する証拠は完全だとはむろん考えていませんでしたけれど。
It was while I was in the carriage, just as we reached the trainer's house, that the immense significance of the curried mutton occurred to me.	ところが、いよいよ馬車でストレーカの家に着いた時に、ふと羊のカレー料理が非常に重要な意味を持っていることに気がつきました。
You may remember that I was distrait and remained sitting after you had all alighted.	あの時、私がぼんやりして、みんなが降りてしまったのにまだ馬車の中に残っていたことを覚えていらっしゃるでしょう。
I was marvelling in my own mind how I could possibly have overlooked so obvious a clue.''	あの時私は、こんな明瞭な手懸りがあるのに、どうして今まで見逃していたろうかと、我れながらつくづく驚いていたのです」
``I confess,''	「と仰しゃられてもまだ私にはさっぱり分りませんなあ」
said the colonel,	大佐はいった。
``It was the first link in my chain of reasoning.	「あれが私の推理の第一階梯となったのです。
Powdered opium is by no means tasteless.	阿片末は無味なものではありません。
The flavour is not disagreeable, but it is perceptible.	匂いは不快ではありませんが、すぐに知れるものです。
Were it mixed with any ordinary dish the eater would undoubtedly detect it and would probably eat no more.	だから普通の料理にこれを混ぜれば一口でそれと気がついて食べるのを止（や）めてしまいます。
A curry was exactly the medium which would disguise this taste.	そこでカレーを使えばこの味を消してしまいます。
By no possible supposition could this stranger, Fitzroy Simpson, have caused curry to be served in the trainer's family that night,	全くの他人であるフィツロイ・シムソンが、この夜あの一家に、カレー料理を食べさせるように仕込んだろうなんてことは、全然想像も許されないことです。
and it is surely too monstrous a coincidence to suppose that he happened to come along with powdered opium upon the very night when a dish happened to be served which would disguise the flavour.	それかといって、阿片の味を消す料理の出た晩に、折よくシムソンが阿片を使うつもりで来たと考えるのも、あまりに奇怪な暗合というものです。
That is unthinkable.	そんな馬鹿なことは考えられません。
Therefore Simpson becomes eliminated from the case, and our attention centres upon Straker and his wife, the only two people who could have chosen curried mutton for supper that night.	だから、シムソンはこの事件から除外することが出来、その夜の御馳走をカレー料理と定（き）めることの出来る人、すなわちストレーカ夫婦に我々の注意は集中されるわけです。
The opium was added after the dish was set aside for the stable-boy,	阿片は厩舎に残ってるハンタの分として、別の皿へとり分けられてから入れたものです。
for the others had the same for supper with no ill effects.	同じものを食べた他の人達に、異状のなかったのでも知れます。
Which of them, then, had access to that dish without the maid seeing them?	では、女中に気づかれないようにその皿に近附いたのは夫婦の中（うち）果してどっちでしょうか？
``Before deciding that question I had grasped the significance of the silence of the dog, for one true inference invariably suggests others.	一つの正しい結論は、必然第二の結論を暗示するものです。
The Simpson incident had shown me that a dog was kept in the stables, and yet, though someone had been in and had fetched out a horse, he had not barked enough to arouse the two lads in the loft.	シムソン事件のおかげで私は厩舎に犬の飼ってあることを知りましたが、夜中に誰かが厩舎へ入って馬をつれ出したのに犬が吠えなかった、少くとも二階に寝ていた二人の若者の眼をさますほどには吠えなかったという事実に考え至りました。
Obviously the midnight visitor was someone whom the dog knew well.	これは馬をつれ出した者が、犬のよく知ってる人物であるということを示しています。
``I was already convinced, or almost convinced, that John Straker went down to the stables in the dead of the night and took out Silver Blaze.	そこで私は真夜中に厩舎へ行って白銀をつれ出したのはジョン・ストレーカであると断じました。
For what purpose?	しからばそれは何んのためであったか？
For a dishonest one, obviously,	無論不正の目的のためであることはいうまでもありません。
or why should he drug his own stable-boy?	でなければ何んで薬で厩番を眠らせたりしましょう。
And yet I was at a loss to know why.	しかも、不正な目的とまでは分っても、それが果してどんなことであるか私には分りません。
There have been cases before now where trainers have made sure of great sums of money by laying against their own horses through agents and then preventing them from winning by fraud.	調馬師が自分の預かっている馬を故意に痛めて出場不可能ならしめ、それによってうまうまと大金を得る例はこれまでもいくらもあったことです。
Sometimes it is a pulling jockey.	時には騎手を手に入れて八百長をやらせたり、
Sometimes it is some surer and subtler means.	また時には、もっと確実で、分りにくい方法を執ることもありますが、
What was it here?	この場合は果してどうでしょう？
I hoped that the contents of his pockets might help me to form a conclusion.	ストレーカのポケットにあった品物を見れば、何かこの間の消息を知る手懸りがありそうなものだと私は思いました。
``And they did so.	その品物は果して役に立ちました。
You cannot have forgotten the singular knife which was found in the dead man's hand,	お忘れもありますまいが、ストレーカは不思議なナイフを握って倒れていました。
a knife which certainly no sane man would choose for a weapon.	あれは決して普通の人間の持つナイフではありません。
It was, as Dr. Watson told us, a form of knife which is used for the most delicate operations known in surgery.	ワトソン君も申した通り、あれは極めて緻密な外科手術に使うメスの一種です。
And it was to be used for a delicate operation that night.	しかも、まさしくあの晩は緻密な手術をするため用意されていたものなんです。
You must know, with your wide experience of turf matters, Colonel Ross, that it is possible to make a slight nick upon the tendons of a horse's ham, and to do it subcutaneously, so as to leave absolutely no trace.	大佐、あなたの競馬に関する広い経験をもってすれば、馬の膝膕部（ひざかがみ）の腱に、外面に何んの痕跡をも残さず皮下手術的にちょっと傷をつけることは容易であって、
A horse so treated would develop a slight lameness,	しかもそれをやられた馬は軽い跛（びっこ）を引き出すけれど、
which would be put down to a strain in exercise or a touch of rheumatism, but never to foul play.''	調馬中に筋でも違（たが）えたかそれとも軽いリウマチスに罹ったかということになって、不正の行われたのは決して分らないということを御承知でございましょうね」
``Villain!	「不届きな奴め！
Scoundrel!''	そんなことを企みおったのかッ」
``We have here the explanation of why John Straker wished to take the horse out on to the moor.	「そこでジョン・ストレーカがなぜ馬を荒地（あれち）へつれ出したかは説明がつきます。
So spirited a creature would have certainly roused the soundest of sleepers when it felt the prick of the knife.	馬のような敏感な動物はナイフの先をちくりと感じただけでも烈しく騒ぎたてて、どんなによく眠っている者をでも起してしまいます。
It was absolutely necessary to do it in the open air.''	だから、その手術は屋外の広い場所ですることが、絶対に必要だったのです」
``I have been blind!''	「私が盲目（めくら）だった。
``Of course that was why he needed the candle and struck the match.''	だから、蝋燭を持っていたり、マッチをすったりしたんですな」
``Undoubtedly.	「無論そうです。
But in examining his belongings I was fortunate enough to discover not only the method of the crime but even its motives.	ところでポケットから出た品物を調べてみると、私は犯行の方法を発見したばかりでなく、幸いにしてその動機をも知ることが出来ました。
As a man of the world, Colonel, you know that men do not carry other people's bills about in their pockets.	大佐、あなたは世間の広い方ですが、他人の勘定書を持ってる者がどこにありましょう？
We have most of us quite enough to do to settle our own.	普通の人間ならば自分の払いを始末するだけで十分のはずです。
I at once concluded that Straker was leading a double life and keeping a second establishment.	私はあの書附を見てストレーカは二重生活をやって、第二の家をどこかに持っているのだと断定しました。
The nature of the bill showed that there was a lady in the case,	しかも書附の内容を見れば、それには婦人の関係していることが知れます。
and one who had expensive tastes.	非常に贅沢な好みの婦人です。
Liberal as you are with your servants, one can hardly expect that they can buy twenty-guinea walking dresses for their ladies.	あなたが雇人にいくら寛大であり、いくら酬（むく）いられるからといって、彼等が自分の女に二十ギンの散歩服を買ってやれる身分だとは考えられますまい。
I questioned Mrs. Straker as to the dress without her knowing it, and, having satisfied myself that it had never reached her,	私はストレーカの細君にそれとなく服のことを訊ねてみますと、その服は果して細君の買ってもらったものではないことが分りました。
I made a note of the milliner's address and felt that by calling there with Straker's photograph I could easily dispose of the mythical Derbyshire.	この上はその帽飾店のところを控えて帰って、ストレーカの写真を持って店へ行って訊ねてみれば、事件の秘密はすっかりさらけ出せるだろうと思います。
``From that time on all was plain.	そのあとは極めて簡単です。
Straker had led out the horse to a hollow where his light would be invisible.	ストレーカは馬をつれ出して、燈火（ともしび）をつけても人の眼につかぬようにあの凹みへ降りて行きました。
Simpson in his flight had dropped his cravat, and Straker had picked it up -- with some idea,	その前に、シムソンは逃げる時、襟飾（ネクタイ）を落して逃げましたが、ストレーカは何か考えがあってそれを拾っておきました。
perhaps, that he might use it in securing the horse's leg.	おそらくそれで馬の脚でもしばるつもりだったのでしょう。
Once in the hollow, he had got behind the horse and had struck a light;	で、凹みの底へ降りて行くとすぐに、馬の後へ廻ってマッチをすりました。
but the creature, frightened at the sudden glare, and with the strange instinct of animals feeling that some mischief was intended, had lashed out,	ところが馬は急にマッチの光に驚いて、同時に動物の不思議な本能で、自分の身に何か危険が企まれていることを感じ、ぱっと跳ね上りました。
and the steel shoe had struck Straker full on the forehead.	その拍子にストレーカは額を蹴られて倒れたのです。
He had already, in spite of the rain, taken off his overcoat in order to do his delicate task,	雨は降っていましたが、仕事が細かいためストレーカはその前に外套を脱いでおきました。
and so, as he fell, his knife gashed his thigh.	そして、倒れる時自分で自分の腿を刺したのです。
Do I make it clear?''	これですっかりお分りですか？」
``Wonderful!''	「驚いた！
``Wonderful!	実に驚きました。
You might have been there!''	まるで傍で見ていたようです！」
