BOTCHAN (MASTER DARLING)	坊っちゃん
It would be disgrace for a Yedo kid to fuss about with such a fellow;	こんな者を相手に喧嘩（けんか）をしたって江戸（えど）っ子の名折れだから、
so I hired a rikishaman and speedily left the house.	車屋をつれて来てさっさと出てきた。
I got out of the house all right, but had no place to go.	出た事は出たが、どこへ行くというあてもない。
The rikishaman asked me where I was going.	車屋が、どちらへ参りますと云うから、
I told him to follow me with his mouth shut, then he shall see and I kept on walking.	だまって尾（つ）いて来い、今にわかる、と云って、すたすたやって来た。
I thought of going to Yamashiro-ya to avoid the trouble of hunting up a new boarding house, but as I had no prospect of being able to stay there long, I would have to renew the hunt sooner or later, so I gave up the idea.	面倒（めんどう）だから山城屋へ行こうかとも考えたが、また出なければならないから、つまり手数だ。
If I continued walking this way, I thought I might strike a house with the sign of "boarders taken" or something similar,	こうして歩いてるうちには下宿とか、何とか看板のあるうちを目付け出すだろう。
and I would consider the first house with the sign the one provided for me by Heaven.	そうしたら、そこが天意に叶（かな）ったわが宿と云う事にしよう。
I kept on going round and round through the quiet, decent part of the town when I found myself at Kajimachi.	とぐるぐる、閑静（かんせい）で住みよさそうな所をあるいているうち、とうとう鍛冶屋町（かじやちょう）へ出てしまった。
This used to be former samurai quarters where one had the least chance of finding any boarding house, and I was going to retreat to a more lively part of the town when a good idea occurred to me.	ここは士族屋敷（やしき）で下宿屋などのある町ではないから、もっと賑（にぎ）やかな方へ引き返そうかとも思ったが、ふといい事を考え付いた。
Hubbard Squash whom I respected lived in this part of the town.	おれが敬愛するうらなり君はこの町内に住んでいる。
He is a native of the town, and has lived in the house inherited from his great grandfather.	うらなり君は土地の人で先祖代々の屋敷を控（ひか）えているくらいだから、
He must be, I thought, well informed about nearly everything in this town.	この辺の事情には通じているに相違（そうい）ない。
If I call on him for his help, he will perhaps find me a good boarding house.	あの人を尋（たず）ねて聞いたら、よさそうな下宿を教えてくれるかも知れない。
Fortunately, I called at his house once before, and there was no trouble in finding it out.	幸（さいわい）一度挨拶（あいさつ）に来て勝手は知ってるから、捜（さ）がしてあるく面倒はない。
I knocked at the door of a house, which I knew must be his, and a woman about fifty years old with an old fashioned paper-lantern in hand, appeared at the door.	ここだろうと、いい加減に見当をつけて、ご免（めん）ご免と二返ばかり云うと、奥（おく）から五十ぐらいな年寄（としより）が古風な紙燭（しそく）をつけて、出て来た。
I do not despise young women, but when I see an aged woman, I feel much more solicitous.	おれは若い女も嫌（きら）いではないが、年寄を見ると何だかなつかしい心持ちがする。
This is probably because I am so fond of Kiyo.	大方清（きよ）がすきだから、
This aged lady, who looked well-refined, was certainly mother of Hubbard Squash whom she resembled.	これは大方うらなり君のおっ母（か）さんだろう。
She invited me inside, but I asked her to call him out for me.	まあお上がりと云うところを、ちょっとお目にかかりたいからと、主人を玄関（げんかん）まで呼び出して
When he came I told him all the circumstances, and asked him if he knew any who would take me for a boarder.	実はこれこれだが君どこか心当りはありませんかと尋ねてみた。
Hubbard Squash thought for a moment in a sympathetic mood, then said there was an old couple called Hagino, living in the rear of the street, who had asked him sometime ago to get some boarders for them as there are only two in the house and they had some vacant rooms.	うらなり先生それはさぞお困りでございましょう、としばらく考えていたが、この裏町に萩野（はぎの）と云って老人夫婦ぎりで暮（く）らしているものがある、いつぞや座敷（ざしき）を明けておいても無駄（むだ）だから、たしかな人があるなら貸してもいいから周旋（しゅうせん）してくれと頼（たの）んだ事がある。
Hubbard Squash was kind enough to go along with me and find out if the rooms were vacant.	今でも貸すかどうか分らんが、まあいっしょに行って聞いてみましょうと、親切に連れて行ってくれた。
They were. From that night I boarded at the house of the Haginos.	その夜から萩野の家の下宿人となった。
What surprised me was that on the day after I left the house of Ikagin, Clown stepped in and took the room I had been occupying.	驚（おどろ）いたのは、おれがいか銀の座敷を引き払うと、翌日（あくるひ）から入れ違（ちが）いに野だが平気な顔をして、おれの居た部屋を占領（せんりょう）した事だ。
Well used to all sorts of tricks and crooks as I might have been, this audacity fairly knocked me off my feet.	さすがのおれもこれにはあきれた。
It was sickening.	いやになった。
I saw that I would be an easy mark for such people unless I brace up and try to come up, or down, to their level.	世間がこんなものなら、おれも負けない気で、世間並（せけんなみ）にしなくちゃ、遣（や）りきれない訳になる。
It would be a high time indeed for me to be alive if it were settled that I would not get three meals a day without living on the spoils of pick pockets.	巾着切（きんちゃくきり）の上前をはねなければ三度のご膳（ぜん）が戴（いただ）けないと、事が極（き）まればこうして、生きてるのも考え物だ。
Nevertheless, to hang myself,--healthy and vigorous as I am,--would be not only inexcusable before my ancestors but a disgrace before the public.	と云ってぴんぴんした達者なからだで、首を縊（くく）っちゃ先祖へ済まない上に、外聞が悪い。
Now I think it over, it would have been better for me to have started something like a milk delivery route with that six hundred yen as capital, instead of learning such a useless stunt as mathematics at the School of Physics.	考えると物理学校などへはいって、数学なんて役にも立たない芸を覚えるよりも、六百円を資本（もとで）にして牛乳屋でも始めればよかった。
If I had done so, Kiyo could have stayed with me, and I could have lived without worrying about her so far a distance away.	そうすれば清もおれの傍（そば）を離（はな）れずに済むし、おれも遠くから婆さんの事を心配しずに暮（くら）される。
While I was with her I did not notice it, but separated thus I appreciated Kiyo as a good-natured old woman.	いっしょに居るうちは、そうでもなかったが、こうして田舎（いなか）へ来てみると清はやっぱり善人だ。
One could not find a noble natured woman like Kiyo everywhere.	あんな気立（きだて）のいい女は日本中さがして歩いたってめったにはない。
She was suffering from a slight cold when I left Tokyo and I wondered how she was getting on now?	婆さん、おれの立つときに、少々風邪（かぜ）を引いていたが今頃（いまごろ）はどうしてるか知らん。
Kiyo must have been pleased when she received the letter from me the other day.	先だっての手紙を見たらさぞ喜んだろう。
By the way, I thought it was the time I was in receipt of answer from her.	それにしても、もう返事がきそうなものだが
I spent two or three days with things like this in my mind.	――おれはこんな事ばかり考えて二三日暮していた。
I was anxious about the answer, and asked the old lady of the house if any letter came from Tokyo for me, and each time she would appear sympathetic and say no.	気になるから、宿のお婆さんに、東京から手紙は来ませんかと時々尋（たず）ねてみるが、聞くたんびに何にも参りませんと気の毒そうな顔をする。
The couple here, being formerly of samurai class, unlike the Ikagin couple, were both refined.	ここの夫婦はいか銀とは違って、もとが士族だけに双方（そうほう）共上品だ。
The old man's recital of "utai" in a queer voice at night was somewhat telling on my nerves, but it was much easier on me as he did not frequent my room like Ikagin with the remark of "let me serve you tea."	爺（じい）さんが夜（よ）るになると、変な声を出して謡（うたい）をうたうには閉口するが、いか銀のようにお茶を入れましょうと無暗（むやみ）に出て来ないから大きに楽だ。
The old lady once in a while would come to my room and chat on many things.	お婆さんは時々部屋へ来ていろいろな話をする。
She questioned me why I had not brought my wife with me.	どうして奥さんをお連れなさって、いっしょにお出（い）でなんだのぞなもしなどと質問をする。
I asked her if I looked like one married,	奥さんがあるように見えますかね。
reminding her that I was only twenty four yet.	可哀想（かわいそう）にこれでもまだ二十四ですぜと云ったら
Saying "it is proper for one to get married at twenty four" as a beginning, she recited that Mr. Blank married when he was twenty, that Mr. So-and-So has already two children at twenty two, and marshalled altogether about half a dozen examples,--quite a damper on my youthful theory.	それでも、あなた二十四で奥さんがおありなさるのは当り前ぞなもしと冒頭（ぼうとう）を置いて、どこの誰（だれ）さんは二十でお嫁（よめ）をお貰（もら）いたの、どこの何とかさんは二十二で子供を二人（ふたり）お持ちたのと、何でも例を半ダースばかり挙げて反駁（はんばく）を試みたには恐（おそ）れ入った。
I will then get marred at twenty four, I said, and requested her to find me a good wife, and she asked me if I really meant it.	それじゃ僕（ぼく）も二十四でお嫁をお貰いるけれ、世話をしておくれんかなと田舎言葉を真似（まね）て頼んでみたら、お婆さん正直に本当かなもしと聞いた。
"Really? You bet!	「本当の本当（ほんま）のって
I can't help wanting to get married."	僕あ、嫁が貰いたくって仕方がないんだ」
"I should suppose so.	「そうじゃろうがな、もし。
Everybody is just like that when young."	若いうちは誰もそんなものじゃけれ」
This remark was a knocker;	この挨拶（あいさつ）には痛み入って
I could not say anything to that.	返事が出来なかった。
"But I'm sure you have a Madam already.	「しかし先生はもう、お嫁がおありなさるに極（きま）っとらい。
I have seen to that with my own eyes."	私はちゃんと、もう、睨（ね）らんどるぞなもし」
"Well, they are sharp eyes.	「へえ、活眼（かつがん）だね。
How have you seen it?"	どうして、睨らんどるんですか」
"How?	「どうしててて。
Aren't you often worried to death, asking if there's no letter from Tokyo?"	東京から便りはないか、便りはないかてて、毎日便りを待ち焦（こ）がれておいでるじゃないかなもし」
"By Jupiter!	「こいつあ驚（おどろ）いた。
This beats me!"	大変な活眼だ」
"Hit the mark, haven't I?"	「中（あた）りましたろうがな、もし」
"Well,	「そうですね。
you probably have."	中ったかも知れませんよ」
"But the girls of these days are different from what they used to be and you need a sharp look-out on them.	「しかし今時の女子（おなご）は、昔（むかし）と違（ちご）うて油断が出来んけれ、
So you'd better be careful."	お気をお付けたがええぞなもし」
"Do you mean that my Madam in Tokyo is behaving badly?"	「何ですかい、僕の奥さんが東京で間男でもこしらえていますかい」
"No, your Madam is all right."	「いいえ、あなたの奥さんはたしかじゃけれど……」
"That makes me feel safe.	「それで、やっと安心した。
Then about what shall I be careful?"	それじゃ何を気を付けるんですい」
"Yours is all right.	「あなたのはたしか
Though yours is all right......."	――あなたのはたしかじゃが――」
"Where is one not all right?"	「どこに不たしかなのが居ますかね」
"Rather many right in this town.	「ここ等（ら）にも大分居（お）ります。
You know the daughter of the Toyamas?	先生、あの遠山のお嬢（じょう）さんをご存知かなもし」
"No, I do not."	「いいえ、知りませんね」
"You don't know her yet?	「まだご存知ないかなもし。
She is the most beautiful girl about here.	ここらであなた一番の別嬪（べっぴん）さんじゃがなもし。
She is so beautiful that the teachers in the school call her Madonna.	あまり別嬪さんじゃけれ、学校の先生方はみんなマドンナマドンナと言うといでるぞなもし。
You haven't heard that?	まだお聞きんのかなもし」
"Ah, the Madonna!	「うん、マドンナですか。
I thought it was the name of a geisha."	僕あ芸者の名かと思った」
"No, Sir.	「いいえ、あなた。
Madonna is a foreign word and means a beautiful girl, doesn't it?"	マドンナと云うと唐人（とうじん）の言葉で、別嬪さんの事じゃろうがなもし」
"That may be.	「そうかも知れないね。
I'm surprised."	驚いた」
"Probably the name was given by the teacher of drawing."	「大方画学の先生がお付けた名ぞなもし」
"Was it the work of Clown?"	「野だがつけたんですかい」
"No, it was given by Professor Yoshikawa."	「いいえ、あの吉川（よしかわ）先生がお付けたのじゃがなもし」
"Is that Madonna not all right?"	「そのマドンナが不たしかなんですかい」
"That Madonna-san is a Madonna not all right."	「そのマドンナさんが不たしかなマドンナさんでな、もし」
"What a bore!	「厄介（やっかい）だね。
We haven't any decent woman among those with nicknames from old days.	渾名（あだな）の付いてる女にゃ昔から碌（ろく）なものは居ませんからね。
I should suppose the Madonna is not all right."	そうかも知れませんよ」
"Exactly.	「ほん当にそうじゃなもし。
We have had awful women such as O-Matsu the Devil or Ohyaku the Dakki.	鬼神（きじん）のお松（まつ）じゃの、妲妃（だっき）のお百じゃのてて怖（こわ）い女が居（お）りましたなもし」
"Does the Madonna belong to that ring?"	「マドンナもその同類なんですかね」
"That Madonna-san, you know,	「そのマドンナさんがなもし、あなた。
was engaged to Professor Koga,--who brought you here,--yes, was promised to him."	そらあの、あなたをここへ世話をしておくれた古賀先生なもし
"Ha, how strange!	「へえ、不思議なもんですね。
I never knew our friend Hubbard Squash was a fellow of such gallantry.	あのうらなり君が、そんな艶福（えんぷく）のある男とは思わなかった。
We can't judge a man by his appearance.	人は見懸（みか）けによらない者だな。
I'll be a bit more careful."	ちっと気を付けよう」
"The father of Professor Koga died last year,	「ところが、去年あすこのお父さんが、お亡くなりて、
--up to that time they had money and shares in a bank and were well off,	――それまではお金もあるし、銀行の株も持ってお出（いで）るし、万事都合（つごう）がよかったのじゃが
--but since then things have grown worse, I don't know why.	――それからというものは、どういうものか急に暮し向きが思わしくなくなって
Professor Koga was too good-natured, in short, and was cheated, I presume.	――つまり古賀さんがあまりお人が好過（よす）ぎるけれ、お欺（だま）されたんぞなもし。
The wedding was delayed by one thing or another and there appeared the head teacher who fell in love with the Madonna head over heels and wanted to many her."	それや、これやでお輿入（こしいれ）も延びているところへ、あの教頭さんがお出（い）でて、是非お嫁にほしいとお云いるのじゃがなもし」
"Red Shirt?	「あの赤シャツがですか。
He ought be hanged.	ひどい奴（やつ）だ。
I thought that shirt was not an ordinary kind of shirt.	どうもあのシャツはただのシャツじゃないと思ってた。
Well?"	それから？」
"The head-teacher proposed marriage through a go-between, but the Toyamas could not give a definite answer at once on account of their relations with the Kogas.	「人を頼んで懸合（かけお）うておみると、遠山さんでも古賀さんに義理があるから、すぐには返事は出来かねて
They replied that they would consider the matter or something like that.	――まあよう考えてみようぐらいの挨拶をおしたのじゃがなもし。
Then Red Shirt-san worked up some ways and started visiting the Toyamas and has finally won the heart of the Miss.	すると赤シャツさんが、手蔓（てづる）を求めて遠山さんの方へ出入（でいり）をおしるようになって、とうとうあなた、お嬢さんを手馴付（てなづ）けておしまいたのじゃがなもし。
Red Shirt-san is bad, but so is Miss Toyama;	赤シャツさんも赤シャツさんじゃが、お嬢さんもお嬢さんじゃてて、
they all talk bad of them.	みんなが悪（わ）るく云いますのよ。
She had agreed to be married to Professor Koga and changed her mind because a Bachelor of Arts began courting her,--why, that would be an offense to the God of To-day."	いったん古賀さんへ嫁に行くてて承知をしときながら、今さら学士さんがお出（いで）たけれ、その方に替（か）えよてて、それじゃ今日様（こんにちさま）へ済むまいがなもし、あなた」
"Of course.	「全く済まないね。
Not only of To-day but also of tomorrow and the day after;	今日様どころか明日様にも明後日様にも、
in fact, of time without end."	いつまで行ったって済みっこありませんね」
"So Hotta-san a friend of Koga-san, felt sorry for him and went to the head teacher to remonstrate with him.	「それで古賀さんにお気の毒じゃてて、お友達の堀田（ほった）さんが教頭の所へ意見をしにお行きたら、
But Red Shirt-san said that he had no intention of taking away anybody who is promised to another.	赤シャツさんが、あしは約束のあるものを横取りするつもりはない。
He may get married if the engagement is broken, he said, but at present he was only being acquainted with the Toyamas and he saw nothing wrong in his visiting the Toyamas.	破約になれば貰うかも知れんが、今のところは遠山家とただ交際をしているばかりじゃ、遠山家と交際をするには別段古賀さんに済まん事もなかろうとお云いるけれ、
Hotta-san couldn't do anything and returned.	堀田さんも仕方がなしにお戻（もど）りたそうな。
Since then they say Red Shirt-san and Hotta-san are on bad terms."	赤シャツさんと堀田さんは、それ以来折合（おりあい）がわるいという評判ぞなもし」
"You do know many things, I should say.	「よくいろいろな事を知ってますね。
How did you get such details?	どうして、そんな詳（くわ）しい事が分るんですか。
I'm much impressed."	感心しちまった」
"The town is so small that I can know everything."	「狭（せま）いけれ何でも分りますぞなもし」
Yes, everything seems to be known more than one cares.	分り過ぎて困るくらいだ。
Judging by her way, this woman probably knows about my tempura and dango affairs.	この容子（ようす）じゃおれの天麩羅（てんぷら）や団子（だんご）の事も知ってるかも知れない。
Here was a pot that would make peas rattle!	厄介（やっかい）な所だ。
The meaning of the Madonna, the relations between Porcupine and Red Shirt became clear and helped me a deal.	しかしお蔭様（かげさま）でマドンナの意味もわかるし、山嵐と赤シャツの関係もわかるし大いに後学になった。
Only what puzzled me was the uncertainty as to which of the two was wrong.	ただ困るのはどっちが悪る者だか判然しない。
A fellow simple-hearted like me could not tell which side he should help unless the matter was presented in black and white.	おれのような単純なものには白とか黒とか片づけてもらわないと、どっちへ味方をしていいか分らない。
"Of Red Shirt and Porcupine, which is a better fellow?"	「赤シャツと山嵐たあ、どっちがいい人ですかね」
"What is Porcupine, Sir?"	「山嵐て何ぞなもし」
"Porcupine means Hotta."	「山嵐というのは堀田の事ですよ」
"Well, Hotta-san is physically strong, as strength goes, but Red Shirt-san is a Bachelor of Arts and has more ability.	「そりゃ強い事は堀田さんの方が強そうじゃけれど、しかし赤シャツさんは学士さんじゃけれ、働きはある方（かた）ぞな、もし。
And Red Shirt-san is more gentle, as gentleness goes, but Hotta-san is more popular among the students."	それから優しい事も赤シャツさんの方が優しいが、生徒の評判は堀田さんの方がええというぞなもし」
"After all, which is better?"	「つまりどっちがいいんですかね」
"After all, the one who gets a bigger salary is greater, I suppose?"	「つまり月給の多い方が豪（えら）いのじゃろうがなもし」
There was no use of going on further in this way, and I closed the talk.	これじゃ聞いたって仕方がないから、やめにした。
Two or three days after this, when I returned from the school, the old lady with a beaming smile, brought me a letter, saying,	それから二三日して学校から帰るとお婆さんがにこにこして、へえお待遠さま。
"Here you are Sir, at last.	やっと参りました。
Take your time and enjoy it."	と一本の手紙を持って来てゆっくりご覧と云って出て行った。
I took it up and found it was from Kiyo.	取り上げてみると清からの便りだ。
On the letter were two or three retransmission slips, and by these I saw the letter was sent from Yamashiro-ya to the Iagins, then to the Haginos.	符箋（ふせん）が二三枚（まい）ついてるから、よく調べると、山城屋から、いか銀の方へ廻（まわ）して、いか銀から、萩野（はぎの）へ廻って来たのである。
Besides, it stayed at Yamashiro-ya for about one week;	その上山城屋では一週間ばかり逗留（とうりゅう）している。
even letters seemed to stop in a hotel.	宿屋だけに手紙まで泊（とめ）るつもりなんだろう。
I opened it, and it was a very long letter.	開いてみると、非常に長いもんだ。
"When I received the letter from my Master Darling, I intended to write an answer at once.	坊（ぼ）っちゃんの手紙を頂いてから、すぐ返事をかこうと思ったが、
But I caught cold and was sick abed for about one week and the answer was delayed for which I beg your pardon.	あいにく風邪を引いて一週間ばかり寝（ね）ていたものだから、つい遅（おそ）くなって済まない。
I am not well-used to writing or reading like girls in these days, and it required some efforts to get done even so poorly written a letter as this.	その上今時のお嬢さんのように読み書きが達者でないものだから、こんなまずい字でも、かくのによっぽど骨が折れる。
I was going to ask my nephew to write it for me, but thought it inexcusable to my Master Darling when I should take special pains for myself.	甥（おい）に代筆を頼もうと思ったが、せっかくあげるのに自分でかかなくっちゃ、坊っちゃんに済まないと思って、
So I made a rough copy once, and then a clean copy.	わざわざ下（し）たがきを一返して、それから清書をした。
I finished the clean copy, in two days, but the rough copy took me four days.	清書をするには二日で済んだが、下た書きをするには四日かかった。
It may be difficult for you to read, but as I have written this letter with all my might, please read it to the end."	読みにくいかも知れないが、これでも一生懸命（いっしょうけんめい）にかいたのだから、どうぞしまいまで読んでくれ。
This was the introductory part of the letter in which, about four feet long, were written a hundred and one things.	という冒頭（ぼうとう）で四尺ばかり何やらかやら認（したた）めてある。
Well, it was difficult to read.	なるほど読みにくい。
Not only was it poorly written but it was a sort of juxtaposition of simple syllables that racked one's brain to make it clear where it stopped or where it began.	字がまずいばかりではない、大抵（たいてい）平仮名だから、どこで切れて、どこで始まるのだか句読（くとう）をつけるのによっぽど骨が折れる。
I am quick-tempered and would refuse to read such a long, unintelligible letter for five yen, but I read this seriously from the first to the last.	おれは焦（せ）っ勝（か）ちな性分だから、こんな長くて、分りにくい手紙は、五円やるから読んでくれと頼まれても断わるのだが、この時ばかりは真面目（まじめ）になって、
It is a fact that I read it through.	始（はじめ）から終（しまい）まで読み通した。
My efforts were mostly spent in untangling letters and sentences;	読み通した事は事実だが、読む方に骨が折れて、意味がつながらないから、
so I started reading it over again.	また頭から読み直してみた。
The room had become a little dark, and this rendered it harder to read it;	部屋のなかは少し暗くなって、前の時より見にくく、なったから、
so finally I stepped out to the porch where I sat down and went over it carefully.	とうとう椽鼻（えんばな）へ出て腰（こし）をかけながら鄭寧（ていねい）に拝見した。
The early autumn breeze wafted through the leaves of the banana trees, bathed me with cool evening air, rustled the letter I was holding and would have blown it clear to the hedge if I let it go.	すると初秋（はつあき）の風が芭蕉（ばしょう）の葉を動かして、素肌（すはだ）に吹（ふ）きつけた帰りに、読みかけた手紙を庭の方へなびかしたから、しまいぎわには四尺あまりの半切れがさらりさらりと鳴って、手を放すと、向（むこ）うの生垣まで飛んで行きそうだ。
I did not mind anything like this, but kept on reading.	おれはそんな事には構っていられない。
"Master Darling is simple and straight like a split bamboo by disposition," it says, "only too explosive.	坊っちゃんは竹を割ったような気性だが、ただ肝癪（かんしゃく）が強過ぎて
That's what worries me.	それが心配になる。
If you brand other people with nicknames you will only make enemies of them; so don't use them carelessly;	――ほかの人に無暗（むやみ）に渾名（あだな）なんか、つけるのは人に恨（うら）まれるもとになるから、やたらに使っちゃいけない、
if you coin new ones, just tell them only to Kiyo in your letters.	もしつけたら、清だけに手紙で知らせろ。
The countryfolk are said to be bad, and I wish you to be careful not have them do you.	――田舎者は人がわるいそうだから、気をつけてひどい目に遭（あ）わないようにしろ。
The weather must be worse than in Tokyo, and you should take care not to catch cold.	――気候だって東京より不順に極ってるから、寝冷（ねびえ）をして風邪を引いてはいけない。
Your letter is too short that I can't tell how things are going on with you.	坊っちゃんの手紙はあまり短過ぎて、容子がよくわからないから、
Next time write me a letter at least half the length of this one.	この次にはせめてこの手紙の半分ぐらいの長さのを書いてくれ。
Tipping the hotel with five yen is all right, but were you not short of money afterward?	――宿屋へ茶代を五円やるのはいいが、あとで困りゃしないか、
Money is the only thing one can depend upon when in the country and you should economize and be prepared for rainy days.	田舎へ行って頼（たよ）りになるはお金ばかりだから、なるべく倹約（けんやく）して、万一の時に差支（さしつか）えないようにしなくっちゃいけない。
I'm sending you ten yen by postal money order.	――お小遣（こづかい）がなくて困るかも知れないから、為替（かわせ）で十円あげる。
I have that fifty yen my Master Darling gave me deposited in the Postal Savings to help you start housekeeping when you return to Tokyo, and taking out this ten, I have still forty yen left,--quite safe."	――先（せん）だって坊っちゃんからもらった五十円を、坊っちゃんが、東京へ帰って、うちを持つ時の足しにと思って、郵便局へ預けておいたが、この十円を引いてもまだ四十円あるから大丈夫だ。
I should say women are very particular on many things.	――なるほど女と云うものは細かいものだ。
When I was meditating with the letter flapping in my hand on the porch, the old lady opened the sliding partition and brought in my supper.	おれが椽鼻で清の手紙をひらつかせながら、考え込（こ）んでいると、しきりの襖（ふすま）をあけて、萩野のお婆さんが晩めしを持ってきた。
"Still poring over the letter?	まだ見てお出（い）でるのかなもし。
Must be a very long one, I imagine," she said.	えっぽど長いお手紙じゃなもし、と云ったから、
"Yes, this is an important letter, so I'm reading it with the wind blowing it about,"	ええ大事な手紙だから風に吹かしては見、吹かしては見るんだ
I replied--the reply which was nonsense even for myself,--and I sat down for supper.	と、自分でも要領を得ない返事をして膳（ぜん）についた。
I looked in the dish on the tray, and saw the same old sweet potatoes again to-night.	見ると今夜も薩摩芋（さつまいも）の煮（に）つけだ。
This new boarding house was more polite and considerate and refined than the Ikagins, but the grub was too poor stuff and that was one drawback.	ここのうちは、いか銀よりも鄭寧（ていねい）で、親切で、しかも上品だが、惜（お）しい事に食い物がまずい。
It was sweet potato yesterday, so it was the day before yesterday, and here it is again to-night.	昨日も芋、一昨日（おととい）も芋で今夜も芋だ。
True, I declared myself very fond of sweet potatoes, but if I am fed with sweet potatoes with such insistency, I may soon have to quit this dear old world.	おれは芋は大好きだと明言したには相違ないが、こう立てつづけに芋を食わされては命がつづかない。
I can't be laughing at Hubbard Squash;	うらなり君を笑うどころか、
I shall become Sweet Potato myself before long.	おれ自身が遠からぬうちに、芋のうらなり先生になっちまう。
If it were Kiyo she would surely serve me with my favorite sliced tunny or fried kamaboko, but nothing doing with a tight, poor samurai.	清ならこんな時に、おれの好きな鮪（まぐろ）のさし身か、蒲鉾（かまぼこ）のつけ焼を食わせるんだが、貧乏（びんぼう）士族のけちん坊（ぼう）と来ちゃ仕方がない。
It seems best that I live with Kiyo.	どう考えても清といっしょでなくっちあ駄目（だめ）だ。
If I have to stay long in the school, I believe I would call her from Tokyo.	もしあの学校に長くでも居る模様なら、東京から召（よ）び寄（よ）せてやろう。
Don't eat tempura, don't eat dango, and then get turned yellow by feeding on sweet potatoes only, in the boarding house.	天麩羅蕎麦（そば）を食っちゃならない、団子を食っちゃならない、それで下宿に居て芋ばかり食って黄色くなっていろなんて、
That's for an educator, and his place is really a hard one.	教育者はつらいものだ。
I think even the priests of the Zen sect are enjoying better feed.	禅宗（ぜんしゅう）坊主だって、これよりは口に栄耀（えよう）をさせているだろう。
I cleaned up the sweet potatoes, then took out two raw eggs from the drawer of my desk, broke them on the edge of the rice bowl, to tide it over.	――おれは一皿の芋を平げて、机の抽斗（ひきだし）から生卵を二つ出して、茶碗（ちゃわん）の縁（ふち）でたたき割って、ようやく凌（しの）いだ。
I have to get nourishment by eating raw eggs or something, or how can I stand the teaching of twenty one hours a week?	生卵ででも営養をとらなくっちあ一週二十一時間の授業が出来るものか。
I was late for my bath to-day on account of the letter from Kiyo.	今日は清の手紙で湯に行く時間が遅くなった。
But I would not like to drop off a single day since I had been there everyday.	しかし毎日行きつけたのを一日でも欠かすのは心持ちがわるい。
I thought I would take a train to-day, and coming to the station with the same old red towel dangling out of my hand, I found the train had just left two or three minutes ago, and had to wait for some time.	汽車にでも乗って出懸（でか）けようと、例の赤手拭（あかてぬぐい）をぶら下げて停車場（ていしゃば）まで来ると二三分前に発車したばかりで、少々待たなければならぬ。
While I was smoking a cigarette on a bench, my friend Hubbard Squash happened to come in.	ベンチへ腰を懸けて、敷島（しきしま）を吹かしていると、偶然（ぐうぜん）にもうらなり君がやって来た。
Since I heard the story about him from the old lady my sympathy for him had become far greater than ever.	おれはさっきの話を聞いてから、うらなり君がなおさら気の毒になった。
His reserve always appeared to me pathetic. It was no longer a case of merely pathetic; more than that.	平常（ふだん）から天地の間に居候（いそうろう）をしているように、小さく構えているのがいかにも憐（あわ）れに見えたが、今夜は憐れどころの騒（さわ）ぎではない。
I was wishing to get his salary doubled, if possible, and have him marry Miss Toyama and send them to Tokyo for about one month on a pleasure trip.	出来るならば月給を倍にして、遠山のお嬢さんと明日（あした）から結婚（けっこん）さして、一ヶ月ばかり東京へでも遊びにやってやりたい気がした矢先だから、
Seeing him, therefore, I motioned him to a seat beside me, addressing him cheerfully: "Hello[H], going to bath? Come and sit down here."	やお湯ですか、さあ、こっちへお懸けなさいと威勢（いせい）よく席を譲（ゆず）ると、
Hubbard Squash, appearing much awe-struck, said; "Don't mind me, Sir," and whether out of polite reluctance or I don't know what, remained standing.	うらなり君は恐（おそ）れ入った体裁で、いえ構（かも）うておくれなさるな、と遠慮（えんりょ）だか何だかやっぱり立ってる。
"You have to wait for a little while before the next train starts;	少し待たなくっちゃ出ません、
sit down; you'll be tired,"	草臥（くたび）れますからお懸けなさい
I persuaded him again.	とまた勧めてみた。
In fact, I was so sympathetic for him that I wished to have him sit down by me somehow.	実はどうかして、そばへ懸けてもらいたかったくらいに気の毒でたまらない。
Then with a "Thank you, Sir," he at last sat down.	それではお邪魔（じゃま）を致（いた）しましょうとようやくおれの云う事を聞いてくれた。
A fellow like Clown, always fresh, butts in where he is not wanted;	世の中には野だみたように生意気な、出ないで済む所へ必ず顔を出す奴もいる。
or like Porcupine swaggers about with a face which says "Japan would be hard up without me,"	山嵐のようにおれが居なくっちゃ日本（にっぽん）が困るだろうと云うような面を肩（かた）の上へ載（の）せてる奴もいる。
or like Red Shirt, self-satisfied in the belief of being the wholesaler of gallantry and of cosmetics.	そうかと思うと、赤シャツのようにコスメチックと色男の問屋をもって自ら任じているのもある。
Or like Badger who appears to say; "If 'Education' were alive and put on a frockcoat, it would look like me."	教育が生きてフロックコートを着ればおれになるんだと云わぬばかりの狸（たぬき）もいる。
One and all in one way or other have bravado, but I have never seen any one like this Hubbard Squash, so quiet and resigned, like a doll taken for a ransom.	皆々（みなみな）それ相応に威張ってるんだが、このうらなり先生のように在れどもなきがごとく、人質に取られた人形のように大人（おとな）しくしているのは見た事がない。
His face is rather swollen but for the Madonna to cast off such a splendid fellow and give preference to Red Shirt, was frivolous beyond my understanding.	顔はふくれているが、こんな結構な男を捨てて赤シャツに靡（なび）くなんて、マドンナもよっぼど気の知れないおきゃんだ。
