THE PIT AND THE PENDULUM	落穴と振子
I felt that I tottered upon the brink	私は自分が落穴のふちへよろめきよったのを感じた、
-- I averted my eyes --	――私は眼を逸（そ）らした――
There was a discordant hum of human voices!	がやがやいう人声が聞えた！
There was a loud blast as of many trumpets!	多くの喇叭（らっぱ）の音のような高らかな響きが聞えた！
There was a harsh grating as of a thousand thunders!	百雷のような荒々しい軋（きし）り音が聞えた！
The fiery walls rushed back!	炎の壁は急にとびのいた！
An outstretched arm caught my own as I fell fainting into the abyss.	私が失神してその深淵のなかへ落ちこもうとした瞬間に、一つの腕がのびて私の腕をつかんだ。
It was that of General Lasalle.	それはラサール将軍（７）の腕であった。
The French army had entered Toledo.	フランス軍がトレードに入ったのだ。
The Inquisition was in the hands of its enemies.	宗教裁判所はその敵の手に落ちた。
（７）　Antonie Charles Louis Colinet	（１）　十二世紀ごろから始まりその後数世紀にわたって、ローマ教会の教権擁護のために、異端その他宗教に関する罪悪を摘発撲滅するために行われた、歴史上有名な裁判。――フランス、イタリア、ドイツ、スペイン、ポルトガル、その他ヨーロッパの諸国においてさかんに行われて、異教徒の迫害に利用され、ことにスペインにおける宗教裁判はその糺問（きゅうもん）が峻烈（しゅんれつ）で処刑が残酷なので有名であった。第十八世紀にいたってようやくやみ、スペインでは最も遅く、一八三四年まで行われた。
