Cracking DES	DESをクラック
Beware of "mixed up" variants or modes of Triple-DES;	ただしトリプルDESでも、「ごたまぜ」変種やモードには要注意。
research by Eli Biham* and David Wagner+ shows that they are significantly weaker than the straightforward Triple-DES, and may be even weaker than single-DES.	Eli Biham* とDavid Wagner+の研究によれば、これはふつうのトリプルDESにくらべてずっと弱いことがわかっていて、下手をするとシングルDESにすら劣るかもしれない。
Use three copies of DES in Electronic Code Book (ECB) mode as a basic primitive.	基本的なプリミティブとして、DESを3つ、 Electronic Code Book (ECB) モードで使うこと。
You can then build a mode such as Cipher Feedback mode using the primitive ECB 3DES.	そこからECB 3DESプリミティブを使うことで、Cipher Feedbackモードのようなモードを構築できる。
The US Government is tardily going through a formal process to replace the DES.	アメリカ政府は、DESを新方式と置き換えるための公式なプロセスを、遅々としつつも実施しているところだ。
This effort, called the Advanced Encryption Standard, will take several years to decide on a final algorithm, and more years for it to be proven out in actual use, and carefully scrutinized by public cryptanalysts for hidden weaknesses.	この試みは高度暗号規格（Advanced Encryption Standard, AEC）と呼ばれているが、最終的なアルゴリズムが決まるまでにはあと数年かかるし、それが実際の現場で、使い物になると証明され、世の暗号解析者たちの慎重な検討をうけて隠れた弱点がないか確認されるまでにはさらに何年もかかるだろう。
If you are designing products to appear five to ten years from now, the AES might be a good source of an encryption algorithm for you.	もし、5年後か10年後に世に出る製品を設計しているなら、暗号化アルゴリズムとしてAESを考えてみてもいいかもしれない。
The reason that the AES is tardy is because the NSA is believed to have blocked previous attempts to begin the process over the last decade.	AESが遅々としている理由というのは、NSAが過去10年に、このプロセスを始めようとしたときにかならずそれをつぶしてきたからだ、と言われている。
In recent years NSA has tried, without success, to get the technical community to use classified, NSA-designed encryption algorithms such as Skipjack, without letting the users subject these algorithms to public scrutiny.	最近ではNSAは、SkipjackのようなNSA設計の機密になった暗号化アルゴリズムを技術コミュニティに使わせようとしたが、ユーザにそのアルゴリズムを公開検討する機会を与えなかったので失敗している。
Only after this effort failed did they permit the National Institute of Standards and Technology to begin the AES standardization process.	これが失敗したので、やっとNSAもNational Institute of Standards and TechnologyがAES標準化プロセスを開始するのを認めた。
+"Cryptanalysis of some Recently Proposed Multiple Modes of Operation", David Wagner, University of California at Berkeley, http://www.cs.berkeley.edu/‾daw/multmode-fse98.ps. Presented at the 1998 Fast Software Encryption workshop.	+"Cryptanalysis of some Recently Proposed Multiple Modes of Operation", David Wagner, University of California at Berkeley, http://www.cs.berkeley.edu/‾daw/multmode-fse98.ps. 1998 Fast Software Encryption ワークショップで発表。
The Data Encryption Standard has served the public pretty well since 1975.	データ暗号化規格（Data Encryption Standard, DES）は1975年以来、なかなか公共の役にたってきたことは事実だ。
But it was designed in an era when computation cost real money, when massive computers hunkered on special raised flooring in air-conditioned inner sanctums.	だがこれが設計されたのは、計算コストがすさまじく高くて、巨大コンピュータが専用の二重床の上に鎮座して、専用空調つきの屋内聖域にすえられていた時代である。
In an era when you can carry a supercomputer in your backpack, and access millions of machines across the Internet,	いまやスーパーコンピュータがバックパックにおさまり、インターネットで何百万というマシンにアクセスできる時代だ。
the Data Encryption Standard is obsolete.	DESはもはや時代遅れなのだ。
The Electronic Frontier Foundation hopes that this book inspires a new level of truth to enter the policy debates on encryption.	Electronic Frontier Foundationは、本書が暗号に関わる政策論争にとって、真実の新しい水準をもたらしてくれることを期待している。
In order to make wise choices for our society, we must make well-informed choices.	われわれの社会にとって賢い選択をするためには、きちんとした情報に基づく選択をしなくてはならない。
Great deference has been paid to the perspective and experience of the National Security Agency and Federal Bureau of Investigation in these debates.	こうした論争においては、National Security Agency （NSA）と Federal Bureau of Investigation（FBI）の見解と経験がきわめて重視されてきた。
This is particularly remarkable given the lack of any way for policy-makers or the public to check the accuracy of many of their statements.*	政策立案者や市民が、かれらの発言の多くがどのくらい正確かをチェックしていないということを考えると、きわめて驚くべきことである*
(The public cannot even hear many of their statements,	(市民はかれらの発言のほとんどについては、きくことさえできない。
because they are classified as state secrets.)	国家機密とされているからである）。
We hope that the crypto policy debate can move forward to a more successful and generally supported policy.	暗号政策論争が、もっと成功した、一般に指示される政策に向かって移行することを期待したい。
Perhaps if these agencies will consider becoming more truthful, or policy-makers will stop believing unverified statements from them, the process can move more rapidly to such a conclusion.	こうした機関がもっと正直になろうかと検討してくれたり、政策立案者たちが、かれらの裏付けのない発言を信じるのをやめたりしてくれれば、このプロセスはすぐにもそうした方向に向かえるのである。
* DES cracking is not the only issue on which agency credibility is questionable.	* 政府機関の信頼性が疑問視されているのは、なにもDES クラッキングだけではない。
For example, the true extent of the law enforcement problem posed by cryptography is another issue on which official dire predictions have been made, while more careful and unbiased studies have shown little or no impact.	たとえば、暗号によって政府機関が直面している問題が実際にはどのていどのものかという問題は、これまた公式にはとんでもない推定が出されているのに、もっと慎重でバイアスのない調査ではほとんど影響がないとされている。
The validity of the agencies' opinion of the constitutionality of their own regulations is also in doubt,	こうした政府機関の行いに関する合憲性についての見解がどこまで有効かについても、疑わしい面がある。
having been rejected two decades ago by the Justice Department, and declared unconstitutional in 1997 by a Federal District Court.	これは司法省によって20年前にその見解が却下されているし、1997年には連邦地方裁判所で違憲判決がおりている。
The prevalence of illegal wiretapping and communications interception by government employees is also in question;	政府職員による非合法の盗聴と通信傍受の多発も、問題となっている。
see for example the Los Angeles Times story of April 26, 1998, "Can the L.A. Criminal-Justice System Work Without Trust?"	たとえばLos Angeles Timesの1998年4月26日記事 "Can the L.A. Criminal-Justice System Work Without Trust?" を見よ。
Design for DES Key Search Array	DES 鍵探索アレイのデザイン
In this chapter:	本章の内容:
On-Chip Registers	チップのレジスタ
Commands	コマンド
Search Unit Operation	探索ユニットのはたらき
Sample Programming Descriptions	見本プログラムの説明
Scalability and Performance	スケーラビリティと性能
Host Computer Software	ホストコンピュータのソフト
Glossary	用語集
On-Chip Registers	チップのレジスタ
Each chip contains the following registers.	各チップには、以下のレジスタがある。
They are addressed as specified in Figure 2-1.	それぞれのアドレス指定については、Figure 2-1を参照。
The value of the first ciphertext being searched.	探索される最初の暗号テキスト。
Ciphertext0 is identical in all search units and is set only once	Ciphertext0はチップ上のすべての探索ユニット共通であり、セットされるのは一回だけ
(when the search system is first initialized).	（探索システムが最初に初期化されるとき）。
The value of the second ciphertext being searched.	探索される2番目の暗号テキスト。
Ciphertext1 is identical in all search units and is set only once	Ciphertext1はチップ上のすべての探索ユニット共通であり、セットされるのは一回だけ
(when the search system is first initialized).	（探索システムが最初に初期化されるとき）。
The plaintext byte selector.	平文バイトのセレクタ。
One-bits in this register indicate plaintext bytes that should be ignored when deciding whether or not the plaintext produced by a particular key is possibly correct.	このレジスタのビットは、あるキーをつかって復号して出てきた平文のうち、無視するべきバイトを示す。
This mask is helpful when only a portion of the plaintext's value is known.	このマスクは、平文の値の一部しかわかっていないときに便利だ。
For example, if the first 5 bytes equal a known header but the remaining three are unknown, a PlaintextByteMask of 0x07 would be used.	たとえば、最初の5バイトがなにかのヘッダでわかっていて、残りの3バイトがわからないときには、 PlaintextByteMask に 0x07 を入れればいい。
This register is XORed with decryption of ciphertext0.	このレジスタは、ciphertext0の復号結果とXORされれる。
This is normally filled with the CBC mode IV.	このレジスタはふつうはCBC mode IV のときにつかわれる。
Figure 2-1: Register Addressing	Figure 2-1: レジスタのアドレッシング
Register(s)      Description & Comments	レジスタ　      説明とコメント
0x39-0x3E        Unused (reserved)	0x39-0x3E        未使用 (reserved)
0x40-0x47        Search unit  0 key counter (0x40-0x46) and SearchStatus (0x47)	0x40-0x47        探索ユニット  0 キーカウンタ (0x40-0x46) とSearchStatus (0x47)
0x48-0x4F        Search unit  1 key counter (0x48-0x4E) and SearchStatus (0x4F)	0x48-0x4F        探索ユニット  1 キーカウンタ (0x48-0x4E) とSearchStatus (0x4F)
0x50-0x57        Search unit  2 key counter (0x50-0x56) and SearchStatus (0x57)	0x50-0x57        探索ユニット  2 キーカウンタ (0x50-0x56) とSearchStatus (0x57)
0x58-0x5F        Search unit  3 key counter (0x58-0x5E) and SearchStatus (0x5F)	0x58-0x5F        探索ユニット  3 キーカウンタ (0x58-0x5E) とSearchStatus (0x5F)
0x60-0x67        Search unit  4 key counter (0x60 0x66) and SearchStatus (0x67)	0x60-0x67        探索ユニット  4 キーカウンタ (0x60 0x66) とSearchStatus (0x67)
0x68-0x6F        Search unit  5 key counter (0x68 0x6E) and SearchStatus (0x6F)	0x68-0x6F        探索ユニット  5 キーカウンタ (0x68 0x6E) とSearchStatus (0x6F)
0x70-0x77        Search unit  6 key counter (0x70-0x76) and SearchStatus (0x77)	0x70-0x77        探索ユニット  6 キーカウンタ (0x70-0x76) とSearchStatus (0x77)
0x78-0x7F        Search unit  7 key counter (0x78-0x7E) and SearchStatus (0x7F)	0x78-0x7F        探索ユニット  7 キーカウンタ (0x78-0x7E) とSearchStatus (0x7F)
0x80-0x87        Search unit  8 key counter (0x80-0x86) and SearchStatus (0x87)	0x80-0x87        探索ユニット  8 キーカウンタ (0x80-0x86) とSearchStatus (0x87)
0x88-0x8F        Search unit  9 key counter (0x88 0x8E) and SearchStatus (0x8F)	0x88-0x8F        探索ユニット  9 キーカウンタ (0x88 0x8E) とSearchStatus (0x8F)
0x90-0x97        Search unit 10 key counter (0x90-0x96) and SearchStatus (0x97)	0x90-0x97        探索ユニット 10 キーカウンタ (0x90-0x96) とSearchStatus (0x97)
0x98-0x9F        Search unit 11 key counter (0x98-0x9E) and SearchStatus (0x9F)	0x98-0x9F        探索ユニット 11 キーカウンタ (0x98-0x9E) とSearchStatus (0x9F)
0xA0-0xA7        Search unit 12 key counter (0xA0-0xA6) and SearchStatus (0xA7)	0xA0-0xA7        探索ユニット 12 キーカウンタ (0xA0-0xA6) とSearchStatus(0xA7)
0xA8-0xAF        Search unit 13 key counter (0xA8-0xAE) and SearchStatus (0xAF)	0xA8-0xAF        探索ユニット 13 キーカウンタ (0xA8-0xAE) とSearchStatus (0xAF)
0xB0-0xB7        Search unit 14 key counter (0xB0 0xB6) and SearchStatus (0xB7)	0xB0-0xB7        探索ユニット 14 キーカウンタ (0xB0 0xB6) とSearchStatus (0xB7)
0xB8-0xBF        Search unit 15 key counter (0xB8-0xBE) and SearchStatus (0xBF)	0xB8-0xBF        探索ユニット 15 キーカウンタ (0xB8-0xBE) とSearchStatus (0xBF)
0xC0-0xC7        Search unit 16 key counter (0xC0-0xC6) and SearchStatus (0xC7)	0xC0-0xC7        探索ユニット 16 キーカウンタ (0xC0-0xC6) とSearchStatus (0xC7)
0xC8-0xCF        Search unit 17 key counter (0xC8-0xCE) and SearchStatus (0xCF)	0xC8-0xCF        探索ユニット 17 キーカウンタ (0xC8-0xCE) とSearchStatus (0xCF)
0xD0-0xD7        Search unit 18 key counter (0xD0-0xD6) and SearchStatus (0xD7)	0xD0-0xD7        探索ユニット 18 キーカウンタ (0xD0-0xD6) とSearchStatus (0xD7)
0xD8-0xDF        Search unit 19 key counter (0xD8-0xDE) and SearchStatus (0xDF)	0xD8-0xDF        探索ユニット 19 キーカウンタ (0xD8-0xDE) とSearchStatus (0xDF)
0xE0-0xE7        Search unit 20 key counter (0xE0-0xE6) and SearchStatus (0xE7)	0xE0-0xE7        探索ユニット 20 キーカウンタ (0xE0-0xE6) とSearchStatus (0xE7)
0xE8 0xEF        Search unit 21 key counter (0xE8-0xEE) and SearchStatus (0xEF)	0xE8 0xEF        探索ユニット 21 キーカウンタ (0xE8-0xEE) とSearchStatus (0xEF)
0xF0-0xF7        Search unit 22 key counter (0xF0-0xF6) and SearchStatus (0xF7)	0xF0-0xF7        探索ユニット 22 キーカウンタ (0xF0-0xF6) とSearchStatus (0xF7)
0xF8-0xFF        Search unit 23 key counter (0xF8-0xFE) and SearchStatus (0xFF)	0xF8-0xFF        探索ユニット 23 キーカウンタ (0xF8-0xFE) とSearchStatus (0xFF)
Identifies allowable plaintext byte values	許される平文バイトの値を指定
(ignoring those masked by the PlaintextByteMask).	（PlaintextByteMaskでマスクされたものをのぞく）。
If, for any plaintext byte P[i=0..7], bit P[i] is not set, the decryption key will be rejected.	どの平文テキストのバイト P[i=0..7]についてもP[i]ビットがセットされていなければ、その復号キーははねられる。
PlaintextVector is identical in all search units and is set only once	PlaintextVectorチップ上のすべての探索ユニット共通であり、セットされるのは一回だけ
(when the search system is first initialized).	（探索システムが最初に初期化されるとき）。
The bits in SearchInfo describe how the correct plaintext identification function works.	SearchInfoのビットは、正しい平文同定機能がどういうふうに機能するかを示す。
Bits of SearchInfo are defined as follows:	SearchInfoのビットはそれぞれ次のように定義される：
If this bit is set, Ciphertext0 is XORed onto the plaintext produced by decrypting Ciphertext1 before the plaintext is checked.	このビットがセットされていると、平文がチェックされる前に、Ciphertext0 が Ciphertext1を復号してできた平文にXORされる。
This bit is used when checking CBC-mode ciphertexts.	このビットは、CBCモードの暗号文をチェックするときに使う。
If set, the right half of the resulting plaintext is XORed onto the left before any plaintext checking is done.	このビットがセットされていると、復号結果の平文の右半分が、左半分にXORされてから平文チェックがおこなれれる。
ExtraXOR and UseCBC cannot be used together.	ExtraXOR と UseCBC は同時には使用できない。
If cleared, one or more search units in this chip have halted	これがクリアされていると、チップ上の探索ユニットのどれか（複数可）が止まっている
(e.g., SearchActive is zero).	（つまり SearchActiveがゼロになっている）。
This value is computed by ANDing the SearchActive bits of all search units' SearchStatus bytes.	このレジスタの値は、すべての探索ユニットの SearchStatus バイトをANDして得ている。
The inverse of this value is sent out on a dedicated pin, for use in driving a status LED which lights up whenever the chip halts.	この値の逆が専用ピンに出ていて、チップがとまったときにLEDが点灯できるようにしてある。
This pin is the AND of the ChipAllActive lines of this chip and all later chips on the board.	このピンは、このチップと基板上でそれより奥にあるチップすべてのChipAllActive信号をANDしたもの。
This is implemented by having each chip n take in chip n+1's BoardAllActive line, AND it with its own ChipAllActive line, and output the result to chip n-1 for its BoardAllActive computation.	実装方法としては、n番目のチップがn+1番目のチップのBaordAllActive線を見て、それを自分のChipAllActive線とANDして、その結果をn-1番目のチップにわたしてBoardAllActiveの計算をさせる、というかたちで実装されている。
This makes it possible to find which chip on a board has halted by querying log2N chips,	これによって、基板上のどのチップがとまっているかを調べるときに、log2N個のチップをたたけばすむ。
where N is the number of chips on the board.	このときNは基板上のチップの数になる。
If BoardAllActiveEnable is not set to 1, BoardAllActive simply equals the BoardAllActiveInput pin, regardless of the chip's internal state.	もしBoardAllActiveEnableが1になっていなければ、BoardAllActiveはチップの内部状態にかかわらずBoardAllActiveInputピンと同じになる。
If this value is set to 0 then BoardAllActive always equals the BoardAllActiveInput pin, regardless of whether all search units on the board are active.	この値がゼロなら、BoardAllActiveはその基板上の探索ユニットがすべてアクティブかどうかにかかわらず、常に BoardAllActiveInput ピンと等しくなる。
If this bit is set to 1, then the BoardAllActive register (and output) are set to reflect the internal state of the chip ANDed with the input pin.	もしこのビットが1にセットされていれば、BoardAllActiveレジスタ（と出力）はチップの内部状態を反映した値が入力ピンとANDされてセットされる。
bits 5-7 = Unused	bits 5-7 = 未使用
KeyCounter (56 bits)	キーカウンタ (56 bits)
The value of the key currently being checked	いまチェックされている鍵の値。
The KeyCounter is updated very frequently	キーカウンタはしょっちゅう更新される
(i.e., once per key tested).	（つまりテストされる鍵が変わるごとに更新）。
A unique KeyCounter value is assigned to every search unit.	各探索ユニットごとに、わりあてられるキーカウンタの値はちがう。
When the search unit halts after a match, KeyCounter has already been incremented to the next key;	探索ユニットが、マッチするものをみつけて止まった時点で、すでにキーカウンタは次の鍵にインクリメントされている。
the match was on the previous key.	一致した鍵は、一つ前のものとなる。
The bits in SearchStatus describe the current search state of a specific search unit.	SearchStatusのビットは、各探索ユニットの現在の状態を指名している。
A unique SearchStatus register is allocated for each search unit.	各探索ユニットごとに、別々のSearchStatusレジスタが割り当てられている。
Bits of SearchStatus are allocated as follows:	SearchStatus の美とは次のようにわりあてられる:
Indicates whether the search is currently halted	探索が現在とまっているかどうかを示す
(0=halted, 1=active).	（0=停止、1=アクティブ)。
The computer sets this bit to begin a search, and it is cleared by the search unit if a matching candidate key is found.	コンピュータは、探索を始めるときにこのビットをセットして、マッチする候補鍵が見つかったらこれをクリアする。
The host computer checks the status of this bit periodically and, if it is zero, reads out the key then restarts the search.	ホストコンピュータは定期的にこのビットの状態をチェックして、ゼロならキーを読み出して探索を再開させる。
(See also ChipAllActive and BoardAllActive in the SearchInfo register.)	（SearchInfoレジスタのなかのChipAllActive と BoardAllActive も参照）。
Indicates whether the search engine is currently checking Ciphertext0 or Ciphertext1.	探索エンジンがチェックしているのが、Ciphertext0かCiphertext1かを示す
If this bit is clear, the search engine decrypts Ciphertext0 and either sets CiphertextSelector to 1 (if the plaintext passes the checks) or increments KeyCounter (if the plaintext does not pass).	このビットがゼロなら、探索エンジンはCiphertext0を復号して、CiphertextSelectorを1にする（平文がチェックにパスすれば）か、あるいはキーカウンタをインクリメントする（もし平文がチェックにパスしない場合）。
If this bit is set, the search engine decrypts Ciphertext1 and either sets SearchActive to 0 (if the plaintext passes the checks) or sets CiphertextSelector to 0 and increments KeyCounter (if the plaintext does not pass).	このビットが1なら、探索エンジンはCiphertext1を復号して、SearchActiveを0にする（平文がチェックにパスすれば）か、あるいはキーカウンタをインクリメントする（もし平文がチェックにパスしない場合）。
bits 2-7 = Unused	bits 2-7 = 未使用
Commands	コマンド
In order to be able to address each search unit separately, each can be addressed uniquely by the combination of its location on the chip, the location of the chip on the board, and board's identifier.	各探索ユニットを別々に指定できるように、それぞれはチップ上の位置とそのチップの基板上の位置、そして基板のidによって識別できる。
The BoardID is interpreted off-chip;	基板IDはチップ外で解釈される。
each chip has a board select pin, which notifies the chip when the board has been selected.	各チップは基板セレクトピンを持っていて、基板がセレクトされたらチップにわかるようになっている。
Chip ID matching is done inside each ASIC;	チップIDのマッチングは各ASIC内で行われる。
the ID pins of the ASIC are wired to the chip's ID.	ASICのIDピンはチップのIDに配線されている。
All commands are originated by the computer go via a bus	コンピュータの発したすべてのコマンドは、バス経由で運ばれる。
which carries 8 bits for BoardID/ChipID/Register address, 8 bits for data, and a few additional bits for controls .	このバスには、基板ID／チップID／レジスタ・アドレス用に8ビット、データ用に8ビット、そしてその他制御用に何ビットかが使われている。
To do a search, the host computer will program the search units as shown in Figure 2-2.	探索をするには、ホストコンピュータは探索ユニットをFigure 2-2に示したような形でプログラムする。
(N is the total number of search units, numbered from 0 to N-1, each with a unique BoardID/ChipID/Register address.)	(Nは探索ユニット総数で、これは0からN-1まで番号がわりふられており、それぞれが固有の基板ID/チップID/レジスタ・アドレスを持っている。)
Search Unit Operation	探索ユニットのはたらき
Each search unit contains a DES engine, which performs DES on two 32-bit registers L/R using the key value in KeyCounter.	各探索ユニットはDESエンジンを持っていて、キーカウンタの値を使ってL/Rの二つの32ビットレジスタにDESを行う。
Each search unit goes through the process detailed in Figure 2-3, and never needs to halt.	各探索ユニットは、Figure 2-3にくわしく書いたプロセスを実行して、決して止まる必要はない。
If registers are updated during the middle of this process, the output is meaningless	もしレジスタがこのプロセスの途中で更新されたら、出力は無意味になる
(which is fine,	（これは問題にはならない。
since an incorrect output is statistically almost certain to not be a match).	まちがった結果は統計的にみて、マッチしないのがほぼ確実だからだ）。
Figure 2-2: Example algorithm for programming the search array using host computer	Figure 2-2: ホストコンピュータを使って探索アレイをプログラムするアルゴリズムの見本
This is a very simple algorithm intended only as an example.	これはとても単純なアルゴリズムで、見本用のものでしかない。
The actual software will use more intelligent search techniques, using the BoardAllActive and ChipAllActive lines.	実際のソフトは、BoardAllActiveとChipAllActiveラインをつかって、もっとかしこい探索技法を使う。
Load Ciphertext0, Ciphertext1, PlaintextXorMask, PlaintextByteMask, PlaintextVector, and SearchInfo into each chip.	Ciphertext0, Ciphertext1, PlaintextXorMask, PlaintextByteMask, PlaintextVector, SearchInfo を各チップにロードする。
Set SearchStatus in search unit i to 0 while loading the key.	鍵をロードしながら、探索ユニットiのSearchStatusを0にする。
Set KeyCounter of search unit i to ((256)(i) / N).	探索ユニットiのキーカウンタを((256)(i) / N)にセットする。
Set SearchStatus in search unit i to 1 to enable SearchActive.	探索ユニットiのSearchStatusを1にしてSearchActiveをエネーブルする。
While correct key has not been found:	While 正しいキーがみつからないうちは:
Read SearchStatus from search unit i.	探索ユニット i の SearchStatus を読む。
Check SearchActive bit.	SearchActive ビットをチェック。
If SearchActive is set to 0:	If SearchActive が0なら:
Read KeyCounter from search unit i.	ユニット i の KeyCounter を読む。
Subtract 1 from the low 32 bits of the key.	鍵の下32ビットから 1 を引く。
Perform a DES operation at the local computer to check the key.	ローカルコンピュータで DES 操作をして鍵をチェック。
If the key is correct, the search is done.	鍵が正しければ探索おしまい。
Set the SearchActive bit of SearchStatus to restart the search.	さもなければ、SearchStatus の SearchActive ビットをたてて探索を再開。
Sample Programming Descriptions	見本プログラムの説明
This section describes how the system will be programmed for some typical operations.	ここでは、システムが通常のオペレーションでどうプログラムされるかを説明する。
If a complete ciphertext/plaintext block is known, this mode is used.	完全な暗号文／平文ブロックがわかっていたら、このモードが使われる。
This works for most DES modes (ECB, CBC, counter, etc.), but does require a full plaintext/ ciphertext pair.	これはほとんどのDESモード（ECB、CBC、カウンタなど）で使えるけれど、いずれの場合にも暗号文と平文の完全なペアが必要となる。
For this search, there are 8 (or fewer) unique plaintext bytes in the known plaintext.	この探索では、わかっている平文のなかに、固有の平文バイトが8個（またはそれ以下）ある。
The bits corresponding to these bytes are set in PlaintextVector, but all other bits are set to 0.	PlaintextVectorでわかっているそれぞれのバイトに対応したビットが立てられ、それ以外はゼロとなる。
Figure 2-3: Search unit operation	Figure 2-3: 探索ユニットのはたらき
1. If CiphertextSelector is 0, then Let L/R = Ciphertext0.	1. もし CiphertextSelector=0 なら、 L/R = Ciphertext0にする。
If CiphertextSelector is 1, then Let L/R = Ciphertext1.	もし CiphertextSelector が 1 なら L/R = Ciphertext1にする。
2. Decrypt L/R using the key in KeyCounter, producing a candidate plaintext in L/R.	2. キーカウンタの鍵を使って L/R を復号し、候補となる平文をL/Rにつくる。
3. If ExtraXOR is 1, then Let L = L XOR R.	3. もし ExtraXOR = 1 なら、 L = L XOR Rにする。
If CiphertextSelector is 0, then	もし CiphertextSelector = 0 なら
Let L/R = L/R XOR PlaintextXorMask.	L/R = L/R XOR PlaintextXorMaskにする。
If CiphertextSelector is 1 and UseCBC is 1, then:	もし CiphertextSelector = 1 かつ UseCBC = 1 なら:
Let L/R = L/R XOR Ciphertext0.	L/R = L/R XOR Ciphertext0にする。
(PlaintextByteMask[0x01] = 0 AND PlaintextVector[byte 3 of R] is 0)) then:	(PlaintextByteMask[0x01] = 0 AND PlaintextVector[byte 3 of R] is 0)) なら:
Let CiphertextSelector = 0.	CiphertextSelector = 0にする。
Increment KeyCounter.	キーカウンタをインクリメント。
else	そうでなければ：
If CiphertextSelector is 1 then Let SearchActive = 0.	もし CiphertextSelector = 1 なら SearchActive = 0にする。
Let CiphertextSelector = 1.	CiphertextSelector = 1にする。
5. Go to step 1.	5. Step 1にもどる。
Equals the ciphertext block.	暗号文ブロックに等しい。
Equals the ciphertext block.	暗号文ブロックに等しい。
UseCBC and ExtraXOR are both set to 0.	UseCBC と ExtraXOR はどちらも 0
Set to 0x00 (all bytes used).	0x00 に設定（全バイトを使う）
Because the plaintext byte order does not matter, there are 8 acceptable values for each ciphertext byte,	平文バイトの順序はどうでもいいので、各暗号テキストのバイトには、可能なものが8通りある。
or 88 = 224 = 16.7 million possible ciphertexts which will satisfy the search criteria.	つまり探索のチェック基準を満たす暗号文は 88 = 224 = 1.67億通りある。
The probability that an incorrect ciphertext will pass is 224 / 264, so over a search of 255 keys there will be an average of (255)( 224 / 264), or 32768 false positives which will need to be rejected by the controlling computer.	まちがった暗号文がチェックをとおり可能性は 224 / 264 なので、255 通りの鍵を探索する間に、もっともらしい鍵は平均で (255)( 224 / 264), つまり32768通り出てくることになって、これらはコントロールしているコンピュータが排除しなくてはならない。
Because the Ciphertext0 and Ciphertext1 selections are identical, any false positives that pass the first test will also pass the second test.	Ciphertext0 と Ciphertext1 は同じ内容にしてあるので、最初のテストをパスするもっともらしい結果は、すべて二番目のテストもパスすることになる。
(The performance penalty is negligible;	（これが速度に与えるペナルティは、ほとんどない。
the search system will do two DES operations on each of the 32768 false positive keys, but only one DES operation on all other incorrect keys.)	探索システムは、32768のもっともらしい鍵についてはDES操作を二回やることになるけれど、それ以外の正しくないキーについては一通りしかやらないからだ。）
ASCII text (ECB or CBC)	ASCII テキスト (ECB or CBC)
A minimum of two adjacent ciphertexts (16 bytes total) are required for ASCII-only attacks.	ASCIIのみのアタックの場合には、最低でも2つのとなりあった暗号テキスト（全部で16バイト）が必要になる。
Set only the bits containing acceptable ASCII characters.	認められるASCII文字の入ったビットだけをたてる。
For normal text, this would normally include 55 of the 256 possible characters occur	通常のテキストの場合、これはふつうは256通りの文字のうち、55通りを含むものとなる
(10=line feed, 13=carriage return, 32=space, 65-90=capital letters, and 97-122=lowercase letters).	（10=LF、13=CR, 32=空白、65-90=大文字, 97-122=小文字）。
Equals the first ciphertext.	最初の暗号テキスト。
Equals the second ciphertext.	二番目の暗号テキスト。
UseCBC is set to 0 if ECB, or set to 1 if the ciphertext was produced using CBC.	UseCBC は ECBなら0にセットされ、暗号文がCBCを使ってつくられたものなら1にセットされる。
ExtraXOR is set to 0.	ExtraXOR は 0にセット。
Set to 0x00 (all bytes used).	0x00にセット (全バイト使用).
Set to 0x0000000000000000 for ECB, to IV for CBC.	ECBなら 0x0000000000000000 にセット、CBC なら IV（初期化ベクトル） にセット。
The probability that the two (random) candidate plaintexts produced by an incorrect key will contain only the ASCII text characters listed above is (55/256)16.	まちがった鍵によって復号された二つの（ランダムな）候補となる平文が、上で述べたASCII文字だけになる可能性は (55/256)16 だ。
In a search, there will thus be an average of 255 (55/256)16 = 742358 false positives which need to be rejected by the computer.	したがって探索では、コンピュータがはねるべきもっともらしい結果が平均で 255 (55/256)16 = 742358 通りあることになる。
For one key in about 220,000, the first check will pass and an extra DES will be required.	22万鍵に一つは、最初のチェックをパスして、二回目のDESが必要になる
(The time for these extra DES operations is insignificant.)	（こうした追加のDESの時間は無視できる）。
Idle time lost while waiting for false positives to be cleared is also insignificant.	もっともらしい結果がはねられるのを待つ時間も無視できる。
If the computer checks each search unit's SearchActive flag once per second, a total of 0.5 search unit seconds will be wasted for every false positive,	もしコンピュータが各探索ユニットのSearchActiveフラグを一秒に一回ずつチェックするとしたら、もっともらしい結果一つあたりで、0.5探索ユニット秒が無駄になるだけ。
or a total of 103 search-unit hours, out of about 4 million search-unit hours for the whole search.	つまり探索全体では、400万探索ユニット・時間がかかることになるが、そのなかの103探索ユニット時間が無駄になるだけだ。
When programming CBC mode, note that the PlaintextXorMask must be set to the IV (or the previous ciphertext, if the ciphertext being attacked is not in the first block).	CBCモードのプログラミングでは、 PlaintextXorMask は初期化ベクトル（あるいは攻撃している暗号文が最初のブロックでない場合には、前の暗号文）にセットしなくてはならない。
Matt Blaze's Challenge	Matt Blaze式チャレンジ
The goal is to find a case where all plaintext bytes are equal and all ciphertext bytes are equal.	目標は、すべての平文バイトが等しくて、すべての暗号文のバイトも等しいような場合を見つけることだ。
Set only bit 0.	ビット0だけをセット。
Set to a fixed value with all bytes equal	すべてのバイトを等しくした固定値に。
Same as Ciphertext0.	Ciphertext0と同じ。
UseCBC is set to 0.	UseCBC は0にセット。
ExtraXOR is set to 1.	ExtraXOR は1にセット。
Set to 0x0F (only left half examined).	0x0Fにセット (左半分だけがチェックされる）
Set to 0x0000000000000000.	0x0000000000000000にセット。
If the right and left half are equal, as must be the case if all plaintext bytes are the same,	平文のバイトがすべて等しければ、つまり右半分と左半分は等しくなる。
