STORY OF THE DOOR	ドアにまつわる話
"And now,"	「それで」
continued the butler, addressing the knife-boy,	執事は、ナイフとぎの少年に命令するようにこう続けた。
"reach me a candle, and we'll get this through hands at once."	「ろうそくをもってこい、すぐにこいつを片付けてやる」
And then he begged Mr. Utterson to follow him, and led the way to the back-garden.	それからアターソン氏に一緒についてくるように頼むと、裏庭へと先導していった。
"Now, sir,"	「さて、」
said he,	プールは言った。
"you come as gently as you can.	「できるだけお静かに願います。
I want you to hear, and I don't want you to be heard.	耳をすませて、それからわれわれの足音が聞こえないように願います。
And see here, sir, if by any chance he was to ask you in, don't go."	もしなんらかの事情で中に入るように言われても、決して入ってはいけません」
Mr. Utterson's nerves, at this unlooked-for termination, gave a jerk that nearly threw him from his balance;	アターソン氏は思わぬことのなりゆきに、体のバランスをくずして転びそうになった。
but he re-collected his courage and followed the butler into the laboratory building and through the surgical theatre, with its lumber of crates and bottles, to the foot of the stair.	でも再び勇気を奮い起こすと、執事の後を追って、研究室の建物に入り、箱やビンがちらかった外科教室をぬけて、階段の下へとやってきた。
Here Poole motioned him to stand on one side and listen;	そこでプールは手振りで、片側によって耳をすませているようにと合図した。
while he himself, setting down the candle and making a great and obvious call on his resolution, mounted the steps and knocked with a somewhat uncertain hand on the red baize of the cabinet door.	そして自身はろうそくを置き、勇気をせいいっぱいふりしぼると、階段をのぼり、赤い羅紗の書斎のドアを片手でノックした。
"Mr. Utterson, sir, asking to see you,	「アターソンさんがお目にかかりたいということですが」
he called;	とプールは声をかけた。
and even as he did so, once more violently signed to the lawyer to give ear.	そしてそうしているときに、もう一回大きな身振りで耳をすますように合図をした。
A voice answered from within:	中から声が聞こえてきた。
"Tell him I cannot see any one,"	「誰にも会いたくないと言ってくれ」
it said complainingly.	と不平そうな声だった。
"Thank you, sir,"	「すみません」
said Poole, with a note of something like triumph in his voice;	とプールは言ったが、その声にはどこかやったぞという響きがあった。
and taking up his candle, he led Mr. Utterson back across the yard and into the great kitchen,	そしてろうそくを再び取り上げ、アターソン氏を伴って庭をもどると、大きな食堂に入った。
where the fire was out and the beetles were leaping on the floor.	そこでは暖炉に火はなく、虫が床をはいまわっていた。
"Sir,"	「どうです」
he said, looking Mr. Utterson in the eyes,	プールは、アターソン氏の目を見ていった。
" was that my master's voice?"	「あれが私の主人の声でしょうか？」
"It seems much changed,"	「だいぶ変わったようだな」
replied the lawyer, very pale, but giving look for look.	弁護士は、青ざめた顔でそれでも相手の目を見返して、答えた。
"Changed?	「変わったですって？
Well, yes, I think so,"	そうです、変わったんです」
said the butler.	執事は言った。
"Have I been twenty years in this man's house, to be deceived about his voice?	「この家に２０年はお世話になっていますが、私が主人の声を聞きそこなうとでも？
No, sir;	いいえ、
master's made away with;	ご主人さまは連れ去られたんです。
he was made, away with eight days ago,	８日前に連れ去られたんでしょう。
when we heard him cry out upon the name of God;	その日、私はご主人さまが神の名を呼ぶのを聞いたんですから。
and who's in there instead of him, and why it stays there, is a thing that cries to Heaven, Mr. Utterson!"	あそこにいるのは、ご主人さまの身代わりで、なぜそこにいるのか、天にでも聞かなきゃなりますまい、アターソンさん！」
"This is a very strange tale, Poole;	「なんともおかしな話だね、プール。
this is rather a wild tale, my man,"	とっぴな話といってもいい」
said Mr. Utterson, biting his finger.	アターソンは、つめをかみながら答えた。
"Suppose it were as you suppose, supposing Dr. Jekyll to have been -- well, murdered, what could induce the murderer to stay?	「おまえが思っているようなことだと仮定してみよう、ジキル博士が、そうだ、殺されたとしてみよう、どうして殺人犯がそこにとどまっているんだい？
That won't hold water; it doesn't commend itself to reason."	それでは筋が通らないよ。納得できないな」
"Well, Mr. Utterson, you are a hard man to satisfy,	「あぁ、アターソンさま、あなたはやっかいな方ですね。
but I'll do it yet,"	でも説明しますよ」
said Poole.	とプールは言った。
"All this last week (you must know) him, or it, or whatever it is that lives in that cabinet, has been crying night and day for some sort of medicine and cannot get it to his mind.	「先週中は（あなたも知ってらっしゃいますが）、やつ、もしくはそれ、まぁとにかく何であれ書斎で生活しているやつが昼夜かまわず、ある薬品をもとめて叫びつづけていたんです、ところが気に入るものが手に入らない。
It was sometimes his way -- the master's, that is -- to write his orders on a sheet of paper and throw it on the stair.	たしかにそれは、ときどき主人もやったやり方なんですが、つまり、注文を紙に書いて階段のところに置いておくんです。
We've had nothing else this week back;	この一週間というもの、そればっかりです。
nothing but papers, and a closed door, and the very meals left there to be smuggled in when nobody was looking.	紙だけ、そしてドアは締め切りで、食事さえそこに置いておくと、誰も見ていないときにこっそりと引き込むといった具合です。
Well, sir, every day, ay, and twice and thrice in the same day,	えぇ、毎日で、あぁ、一日に二回も三回もです。
there have been orders and complaints,	注文と文句ばかり。
and I have been sent flying to all the wholesale chemists in town.	それで街の薬の卸しに飛んでいきます。
Every time I brought the stuff back, there would be another paper telling me to return it, because it was not pure,	ものを買ってくると、次の紙があって、不純だから返せといわれる。
and another order to a different firm.	そして別の店への次の注文です。
This drug is wanted bitter bad, sir, whatever for."	この薬が何としても必要ということらしいです」
"Have you any of these papers?"	「その紙をもっているかい？」
asked Mr. Utterson.	アターソン氏は尋ねた。
Poole felt in his pocket and handed out a crumpled note,	プールはポケットをさぐると、くしゃくしゃになった紙を取り出した。
which the lawyer, bending nearer to the candle, carefully examined.	弁護士はろうそくを近づけると、注意深くそれを調べた。
Its contents ran thus:	その内容はこうだった。
"Dr. Jekyll presents his compliments to Messrs. Maw.	「ジキル博士よりモー商会へ。
He assures them that their last sample is impure and quite useless for his present purpose.	前回のサンプルは不純なもので、こちらの目的にはそぐいません。
In the year 18 -- , Dr. J. purchased a somewhat large quantity from Messrs. M.	18××年にジキル博士がモー商会より大量の買い付けをしています。
He now begs them to search with the most sedulous care, and should any of the same quality be left, to forward it to him at once.	どうか細心の注意をはらって、その同じ物の残りをさがして、すぐにジキル博士のところまで届けてください。
Expense is no consideration.	代金は気にしなくてかまいません。
The importance of this to Dr. J. can hardly be exaggerated."	ジキル博士がどれほどその薬を必要としているかは、説明のしようがないほどです」
So far the letter had run composedly enough, but here with a sudden splutter of the pen, the writer's emotion had broken loose.	手紙はここまでは抑制がきいたものだったが、ここから感情がほとばしるのを押さえられなかったらしく、とつぜん筆がみだれていた。
"For God's sake,"	「どうか、」
he had added,	と続けていた。
"find me some of the old."	「元のと同じ物を見つけてください」
"This is a strange note,"	「奇妙なメモだな」
said Mr. Utterson;	アターソン氏は言った。
and then sharply,	それからするどく、
"How do you come to have it open?"	「どうしてこれが開封されているんだ？」と問いつめた。
"The man at Maw's was main angry, sir, and he threw it back to me like so much dirt,"	「モー商会のものがかんかんに怒って、こんなにくしゃくしゃにしてつっかえしてきたんです」
returned Poole.	プールは答えた。
"This is unquestionably the doctor's hand, do you know?"	「ただこれは疑いなく博士の筆跡だね、そうだろう？」
resumed the lawyer.	ふたたび弁護士は質問した。
"I thought it looked like it,"	「そうだと思いますが」
said the servant rather sulkily;	執事はかなりむっとして答えた。
and then, with another voice,	それから声の調子をかえて、
"But what matters hand-of-write? "	「筆跡がなんだっていうんです」
he said.	とつづけた。
"I've seen him!"	「私はやつを見たんです！」
"Seen him?"	「やつを見たって？」
repeated Mr. Utterson.	アターソン氏は繰り返した。
"Well?"	「本当かい？」
"That's it!"	「その通りです！」
said Poole.	プールは答えた。
"It was this way.	「こういう具合です。
I came suddenly into the theatre from the garden.	私がとつぜん庭から教室に入ったことがありました。
It seems he had slipped out to look for this drug or whatever it is;	やつは薬かなんかを探しに部屋の外に出ていたんでしょう。
for the cabinet door was open,	書斎のドアも開いていました。
and there he was at the far end of the room digging among the crates.	そして部屋の向こう側で箱をひっくりかえしていたんです。
He looked up when I came in, gave a kind of cry, and whipped up-stairs into the cabinet.	私が入って行くと、やつは顔を上げて、悲鳴みたいな声を出したかと思うと、階上の部屋へ飛び込んだんですから。
It was but for one minute that I saw him,	やつを見たのは一分やそこらだったでしょう。
but the hair stood upon my head like quills.	でも私の髪は逆立ちました。
Sir, if that was my master, why had he a mask upon his face?	もしそれが私の主人だったら、どうして覆面なんてしなきゃならないんでしょう？
If it was my master, why did he cry out like a rat, and run from me?	もし私の主人だったら、どうしてあんなネズミみたいな叫び声をあげて、私から逃げなきゃならんのです？
I have served him long enough.	私はずっとご主人さまに仕えてきたんです。
And then..."	それに...」
The man paused and passed his hand over his face.	執事は一息おくと、手で顔をなでた。
"These are all very strange circumstances,"	「奇妙な状況だな」
said Mr. Utterson,	アターソン氏は言った。
"but I think I begin to see daylight.	「ただ分かってきたような気がするぞ。
Your master, Poole, is plainly seised with one of those maladies that both torture and deform the sufferer;	おまえの主人は、プール、たぶん苦痛のあまり人相までかわるような病気にかかっているんだよ。
hence, for aught I know, the alteration of his voice; hence the mask and the avoidance of his friends;	だから、たぶん、声も変わったし、覆面をしたり、友達を避けたりしているわけだ．
hence his eagerness to find this drug,	薬をやっきになって探してるのもそうだ。
by means of which the poor soul retains some hope of ultimate recovery -- God grant that he be not deceived!	薬で完治する希望を捨ててないんだよ、なんとかして願いがかなえばいいんだが！
There is my explanation;	これが私の解釈だ。
it is sad enough, Poole, ay, and appalling to consider;	ひどいことだ、プール、まったく、考えるだけでぞっとするよ。
but it is plain and natural,	でもこれではっきりしたし、当たり前のことでもある。
hangs well together,	つじつまもあうじゃないか。
and delivers us from all exorbitant alarms."	いろんな恐ろしい不安からも解放されるってもんだよ」
"Sir,"	「アターソンさま」
said the butler, turning to a sort of mottled pallora,	執事は、まだ青白い顔をして言った。
"that thing was not my master, and there's the truth.	「やつは、私のご主人さまではありません、それは確かです。
My master"	私の主人は、」
here he looked round him and began to whisper --	とここであたりを見回して、声をひそめた。
"is a tall, fine build of a man, and this was more of a dwarf."	「背が高くて、がっちりした体格ですが、やつはずっと小さいんですから」
Utterson attempted to protest.	アターソンはさえぎろうとしたが、
"O, sir,"	「アターソンさま」
cried Poole,	とプールが叫んだ。
"do you think I do not know my master after twenty years?	「私が２０年もお仕えしたご主人さまを見まちがえるとでもお考えですか？
Do you think I do not know where his head comes to in the cabinet door, where I saw him every morning of my life?	毎朝ご主人さまを見ていたのにも関わらず、私が書斎のドアのどのあたりまで、ご主人さまの頭がくるのか分からないとでもいうんですか。
No, Sir, that thing in the mask was never Dr. Jekyll	いいえ、アターソンさま、覆面をしたやつは断じてジキル博士ではございません。
-- God knows what it was, but it was never Dr. Jekyll;	神のみがご存知です、でもジキル博士でないことだけは確かです。
and it is the belief of my heart that there was murder done."	殺人が行われたに違いありません」
"Poole,"	「プール」
replied the lawyer,	弁護士は答えた。
"if you say that, it will become my duty to make certain.	「もしおまえがそこまでいうなら、はっきりさせるのが私の義務だろう。
Much as I desire to spare your master's feelings, much as I am puzzled by this note which seems to prove him to be still alive, I shall consider it my duty to break in that door."	おまえの主人の感情を損ねたくないし、この紙はまだ彼が生きている証拠にちがいないと思わないでもないが、あのドアを壊してでも中へ入るのが私の義務だろう」
Ah Mr. Utterson, that's talking!"	「あぁ、アターソンさま、その通りです！」
cried the butler.	執事はさけんだ。
"And now comes the second question,"	「そこで二つ目の問題だ」
resumed Utterson:	アターソンは続けた。
"Who Is going to do it?"	「誰がそれをやるかということだが、」
"Why, you and me,"	「もちろん、あなたと私で」
was the undaunted reply.	というのが執事の勇敢な答えだった。
"That's very well said,"	「よく言ってくれた」
returned the lawyer;	弁護士は答えた。
"and whatever comes of it, I shall make it my business to see you are no loser."	「何があっても、おまえには迷惑がかからないようにするからな」
"There is an axe in the theatre,	「教室に斧があります」
continued Poole;	とプールは続けた。
"and you might take the kitchen poker for yourself."	「で、アターソンさまは台所の火かき棒をもってください」
The lawyer took that rude but weighty instrument into his hand, and balanced it.	弁護士はそのごつごつとしてずっしり重い棒を手にもち、重さを確かめた。
"Do you know, Poole,"	「わかってるか？」
he said, looking up,	と顔をあげてプールへ言った。
"that you and I are about to place ourselves in a position of some peril?"	「これから、おまえと私でいささか危険な場所へ乗り込むんだぞ」
"You may say so, sir, indeed,"	「そうですとも」
returned the butler.	執事は答えた。
"It is well, then, that we should be frank,"	「それなら、もっと正直になろうじゃないか」
said the other.	弁護士は言った。
"We both think more than we have said;	「私たちにはまだお互いに言ってないことがあるようだ。
let us make a clean breast.	すっかり打ち明けようじゃないか。
This masked figure that you saw, did you recognise it?"	そのおまえが見た覆面をした男というのは、誰だかわかったかい？」
"Well, sir, it went so quick, and the creature was so doubled up, that I could hardly swear to that,"	「えぇ、あまりに動きが早くて腰をかがめてましたから、確かにとはいえませんが」
was the answer.	というのが答えだった。
"But if you mean, was it Mr. Hyde?	「でもアターソンさまが言いたいのは、ハイド氏では？ということでしょう。
-- why, yes, I think it was!	えぇ、そうです、私もそう思いました！
You see, it was much of the same bigness;	背の高さも同じくらいですし、
and it had the same quick, light way with it;	身のこなしが軽いのもそっくりです。
and then who else could have got in by the laboratory door?	それに他の誰があの研究室のドアから入ってこれるというんですか？
You have not forgot, sir that at the time of the murder he had still the key with him?	お忘れではないでしょうな、アターソンさま、あの殺人事件のときもやつがまだ鍵をもっていたということを。
But that's not all.	でもそれだけではありません、アターソンさま。
I don't know, Mr. Utterson, if ever you met this Mr. Hyde?"	ハイド氏には会ったことがありましたか？」
"Yes,"	「あぁ」
said the lawyer,	弁護士は答えた。
"I once spoke with him."	「ハイド氏とは、一回話したことがある」
"Then you must know as well as the rest of us that there was something queer about that gentleman	「それなら私たちと同じように、あのお方にはどこか奇妙なところがあったことをよくご存知なはずです。
-- something that gave a man a turn	どこか、人にショックを与えるようなところがあるんです。
-- I don't know rightly how to say it, sir, beyond this:	なんて言えばいいのかはよくわかりませんが、
that you felt it in your marrow kind of cold and thin."	とにかくアターソンさまも、背筋がぞっとするような目に会われたことでしょう」
"I own I felt something of what you describe,"	「おまえが言うとおりだ」
said Mr. Utterson.	アターソン氏は答えた。
"Quite so, sir,"	「そうなんです」
returned Poole.	プールは答えた。
"Well, when that masked thing like a monkey jumped from among the chemicals and whipped into the cabinet, it went down my spine like ice.	「それで、あの覆面をつけたサルみたいなやつが、薬品のなかから飛び上がって、書斎に逃げ帰ったときは、ぞっとしました。
Oh, I know it's not evidence, Mr. Utterson. I'm book-learned enough for that;	はっきりした証拠はないんですが、アターソンさま、私も書物でいろいろ学んでますから。
but a man has his, feelings, and I give you my Bible-word it was Mr. Hyde!"	ただ人には感じるということがあります、聖書に誓って、やつはハイド氏です！」
"Ay, ay,"	「そうか、そうか」
said the lawyer.	弁護士は言った。
"My fears incline to the same point.	「私が心配していたことも全く同じことだ。
Evil, I fear, founded -- evil was sure to come -- of that connection.	私が心配したように、悪いことが行われたんだ、２人の関係から悪が生じたに違いない。
Ay, truly, I believe you;	あぁ、おまえのいうことを信じるよ。
I believe poor Harry is killed;	ヘンリーはかわいそうに殺されたんだ。
and I believe his murderer (for what purpose, God alone can tell) is still lurking in his victim's room.	おまけにその殺人者は、被害者の部屋に潜んでいるというわけだ（何の目的なのかは、神のみぞ知るのだろう）。
Well, let our name be vengeance.	よし、仇を討ってやろう。
Call Bradshaw."	ブラッドショーを呼ぶんだ」
The footman came at the summons, very white and nervous.	召使はよばれて、青くなっておどおどしながらやってきた。
Pull yourself together, Bradshaw,"	「しっかりしろ、ブラッドショー」
said the lawyer.	弁護士は言った。
"This suspense, I know, is telling upon all of you;	「私にもわかっているが、どっちつかずの状態がおまえたち全員をびくびくさせているんだ。
but it is now our intention to make an end of it.	これからそれにも決着をつけてやる。
Poole, here, and I are going to force our way into the cabinet.	ここにいるプールと私で書斎に押し入るから。
If all is well, my shoulders are broad enough to bear the blame.	もし万事上手くいったなら、責任は全部私がもつ。
Meanwhile, lest anything should really be amiss, or any malefactor seek to escape by the back, you and the boy must go round the corner with a pair of good sticks and take your post at the laboratory door.	そのあいだに、なにか失敗をやらかしたり、犯人が裏口から逃げ出すようなことがあったら、おまえとあの男の子でしっかりした棒をもって、あの角をまがって、研究室のドアのところで待ち伏せるんだ。
We give you ten minutes to get to your stations."	持ち場につくまで１０分の猶予をやるから」
As Bradshaw left, the lawyer looked at his watch.	ブラッドショーが行くと、弁護士は自分の時計を見た。
"And now, Poole, let us get to ours,"	「さて、プール、自分たちの仕事にとりかかろうか」
he said;	といい、
and taking the poker under his arm, led the way into the yard.	火かき棒を脇にかかえ、裏庭へでていった。
The scud had banked over the moon, and it was now quite dark.	雲が風に流されて月を隠し、外は暗闇だった。
The wind, which only broke in puffs and draughts into that deep well of building, tossed the light of the candle to and fro about their steps,	深い井戸のようになっている庭には、風もとぎれとぎれに吹き込むだけで、ろうそくの光も足元でゆらゆらゆれるだけだった。
until they came into the shelter of the theatre, where they sat down silently to wait.	そうこうしているうちに教室の中にやってきて、２人は静かに腰をおろして待っていた。
London hummed solemnly all around;	ロンドンのざわめきがあたりに重々しくひびきわたり、
but nearer at hand, the stillness was only broken by the sounds of a footfall moving to and fro along the cabinet floor.	ただ近くでは、書斎の床をこつこつと歩く足音だけが静寂をやぶっていた。
"So it will walk all day, Sir,"	「いつも一日中歩いているんです」
whispered Poole;	プールはささやいた。
"ay, and the better part of the night.	「あぁ、夜もほとんどそうしてます。
Only when a new sample comes from the chemist, there's a bit of a break.	ただ薬屋から新しいサンプルが来たときだけ、少しやむんですが。
Ah, it's an ill conscience that's such an enemy to rest!	あぁ、あんなに落ち着かないのも、つまりは良心の呵責なんでしょうな！
Ah, sir, there's blood foully shed in every step of it!	あぁ、アターソンさま、あの一歩一歩が血塗られているようですね！
But hark again, a little closer -- put your heart in your ears, Mr. Utterson,	でもよく聞いてください、こっちへきて、じっくり聞いてください、アターソンさま。
and tell me, is that the doctor's foot?"	言ってください、あれが博士の足音でしょうか？」
The steps fell lightly and oddly,	足音は軽やかで、変わったものだった。
with a certain swing, for all they went so slowly;	しっかりした足取りだが、妙にゆっくりとしているのだ。
it was different indeed from the heavy creaking tread of Henry Jekyll.	ヘンリー・ジキルの重々しい、きしむような足音とは明らかに違っていた。
Utterson sighed. "Is there never anything else?"	「他になにかかわったことはないか？」
he asked.	アターソンは尋ねた。
Poole nodded.	プールはうなずいて
"Once,"	「一度、」
he said.	と続けた。
"Once I heard it weeping!"	「一度すすり泣くのが聞こえました！」
"Weeping?	「すすり泣くだって！
how that?"	どんな？」
said the lawyer, conscious of a sudden chill of horror.	弁護士は急に恐怖におそわれて聞いた。
"Weeping like a woman or a lost soul,"	「女や魂を失ったものみたいに泣いてたんです」
said the butler.	執事は言った。
"I came away with that upon my heart, that I could have wept too."	「私も泣きたいくらいの気持ちで、その場を去りました」
But now the ten minutes drew to an end.	しかし１０分が過ぎようとしていて、
Poole disinterred the axe from under a stack of packing straw;	プールはわらが積み重なった下から斧を取り出した。
the candle was set upon the nearest table to light them to the attack;	ろうそくは、攻撃の準備を整えるために、一番近くのテ―ブルの上に置いた。
and they drew near with bated breath to where that patient foot was still going up and down, up and down, in the quiet of the night.	そして２人は息を殺して、忍耐強く足音がこつこつ、こつこつと響いている方へと夜のとばりの中を近づいていった。
"Jekyll,"	「ジキル」
cried Utterson, with a loud voice,	アターソンが大声で叫んだ。
"I demand to see you."	「君と会いたいんだ」
He paused a moment,	と一呼吸置いた。
but there came no reply.	しかし返事はなかった。
"I give you fair warning, our suspicions are aroused,	「ちゃんと警告はしたぞ、私たちの疑惑が最高潮に高まっている。
and I must and shall see you,"	私は君に会わなければならないんだ」
he resumed;	アターソンは続けた。
"if not by fair means, then by foul!	「もし適正な手段でだめなら、手段はえらばない！
if not of your consent, then by brute force!"	君が承知しなければ、無理やりにでもやるぞ！」
"Utterson,"	「アターソン」
said the voice,	と声がした。
"for God's sake, have mercy!"	「お願いだから、慈悲をかけてくれないか！」
Ah, that's not Jekyll's voice -- it's Hyde's!"	「あぁ、それはジキルの声じゃない、ハイドの声だ！」
cried Utterson.	とアターソンは叫んだ
"Down with the door, Poole!"	「ドアを叩き壊せ、プール！」
Poole swung the axe over his shoulder;	プールは斧を肩の上までふりあげ、
the blow shook the building,	その一撃は建物をふるわせた。
and the red baise door leaped against the lock and hinges.	そして赤い羅紗の扉で鍵とちょうつがいが震えた。
A dismal screech, as of mere animal terror, rang from the cabinet.	恐ろしい叫び声が、まるで動物の叫び声が書斎に響き渡った。
Up went the axe again, and again the panels crashed and the frame bounded;	斧が再び振り上げられ、そして羽目板が壊れ、ドア枠が飛び跳ねた。
four times the blow fell;	斧は４回振り下ろされた。
but the wood was tough and the fittings were of excellent workmanship;	しかしその木のドアは丈夫で、取り付けはしっかりした仕事だった。
and it was not until the fifth, that the lock burst in sunder and the wreck of the door fell inwards on the carpet.	そして５回目で、鍵はばらばらになり、ドアは内側のじゅうたんの上にばたんと倒れた。
The besiegers, appalled by their own riot and the stillness that had succeeded, stood back a little and peered in.	２人は自分たちのやったことに呆然とし、それに引き続きあっけにとられ、少し後ずさりして、部屋を覗き込んだ。
There lay the cabinet before their eyes in the quiet lamplight, a good fire glowing and chattering on the hearth,	見たところ、穏やかなランプの明かりに照らされた書斎で、暖炉には火がくべられ燃えていた。
the kettle singing its thin strain, a drawer or two open, papers neatly set forth on the business-table,	やかんが甲高い音をたて、引出しは一つ二つが開いたままだったが、机の上には書類がきちんと整えられていた。
and nearer the fire, the things laid out for tea:	暖炉の側では、お茶の用意がされていた。
the quietest room, you would have said, and, but for the glased presses full of chemicals, the most commonplace that night in London.	ロンドンでは一番落ち着いた部屋とでも言えたかもしれない、つまり薬品でいっぱいのガラス戸棚さえなければ、もっともありふれた部屋とでも言えた事だろう。
Right in the midst there lay the body of a man sorely contorted and still twitching.	部屋の真ん中には、手足をひどくねじって、まだ体をぴくぴくさせている一人の男の死体が横たわっていた。
They drew near on tiptoe, turned it on its back and beheld the face of Edward Hyde.	二人は静かに近づいて行き、仰向けにしてみると、そこにはまさしくエドワード・ハイドがいた。
He was dressed in clothes far too large for him, clothes of the doctor's bigness;	大きすぎる服を着込み、その服はどちらかといえば博士に合うサイズだった。
the cords of his face still moved with a semblance of life, but life was quite gone;	顔の筋肉はまだ外からはぴくぴくと動いていたが、すでにこと切れていた。
and by the crushed phial in the hand and the strong smell of kernels that hung upon the air, Utterson knew that he was looking on the body of a self-destroyer.	手で握りしめ割れている薬ビンと部屋に漂う強烈な匂いからして、アターソンは自殺したことを見てとった。
"We have come too late,"	「遅すぎたようだな、」
he said sternly,	アターソンは真面目な面持ちで言った。
"whether to save or punish.	「救いだすにしても、罰するにしてもな。
Hyde is gone to his account;	ハイドは亡くなってしまった。
and it only remains for us to find the body of your master."	あとは、おまえの主人の死体を探すだけだ」
The far greater proportion of the building was occupied by the theatre,	この建物の大部分は、教室と書斎で占められていた。
which filled almost the whole ground story and was lighted from above, and by the cabinet, which formed an upper story at one end and looked upon the court.	教室が一階の大部分をしめて、二階から採光するようになっていて、書斎は二階の片隅にあり、裏庭に面していた。
A corridor joined the theatre to the door on the by-street;	教室と裏庭のドアは通廊でつながっていて、
and with this the cabinet communicated separately by a second flight of stairs.	書斎はまた別の階段で裏庭のドアとつながっていた。
There were besides a few dark closets and a spacious cellar.	その上に、二、三の物置と広い地下室があった。
All these they now thoroughly examined.	それらすべてを隅から隅まで調べたが、
Each closet needed but a glance, for all were empty, and all, by the dust that fell from their doors, had stood long unopened.	物置は、どれもひと目見ただけでからっぽで、そしてどの部屋も、ドアのところにほこりがたまっていることからも、長い間しめきったままなのは明らかだった。
The cellar, indeed, was filled with crazy lumber, mostly dating from the times of the surgeon who was Jekyll's predecessor;	地下室は、たしかにがらくたが山ほどつまっていたが、ほとんどはジキルの前にこの家に住んでいた外科医のときから置いてあるものだった。
but even as they opened the door they were advertised of the uselessness of further search, by the fall of a perfect mat of cobweb which had for years sealed up the entrance.	ただ、ドアをあけてみると、何年もしめきっていたせいか、くもの巣がおちてきたので、ここもそれ以上探しても無駄なのは明らかだった。
Nowhere was there any trace of Henry Jekyll, dead or alive.	どこを探しても、ヘンリー・ジキルは死んでいるのか生きているのか、影も形も見当たらなかった。
Poole stamped on the flags of the corridor.	プールは通廊の敷石を踏みしめて、
" He must be buried here,"	「ここに埋められているに違いありません」
he said, hearkening to the sound.	とその音に耳を傾けながら言った。
"Or he may have fled,"	「あるいはどこかに逃げたかもしれない」
said Utterson,	とアターソンは言った。
and he turned to examine the door in the by-street.	そして裏通りのドアを調べに行った。
It was locked;	そこは鍵がかかっていて、
and lying near by on the flags, they found the key, already stained with rust.	その近くの敷石には、さびかかっている鍵が落ちているのがみつかった。
"This does not look like use,"	「使えるようには見えないな」
observed the lawyer.	弁護士は言った。
"Use!"	「使うですって！」
echoed Poole.	プールは繰り返した。
"Do you not see, sir, it is broken?	「壊れてますよ？
much as if a man had stamped on it."	まるで踏みつけたようです」
"Ay,"	「あぁ、」
continued Utterson,	アターソンは続けた。
" and the fractures, too, are rusty."	「断面もさびているしな」
The two men looked at each other with a scare.	２人の男は驚いて、お互いに顔を見合わせた。
"This is beyond me, Poole,"	「私にはぜんぜんわからん」
said the lawyer.	と弁護士が言った。
"Let us go back to the cabinet."	「とにかく書斎にもどろう」
They mounted the stair in silence, and still with an occasional awe-struck glance at the dead body, proceeded more thoroughly to examine the contents of the cabinet.	二人は口もきかずに階段を上り、ときどき怖そうに死体を見ながら、書斎の中をより詳細に調べはじめた。
At one table, there were traces of chemical work,	テーブルの上には、化学の実験をしたあとがあった。
various measured heaps of some white salt being laid on glass saucers, as though for an experiment in which the unhappy man had been prevented.	いろいろな分量の塩みたいな薬がガラス皿に山になっていて、まるであの不幸な男が実験の途中に邪魔されたかのようだった。
"That is the same drug that I was always bringing him,"	「これは、私がもってきていた薬と同じ物です」
said Poole;	とプールは言った。
and even as he spoke, the kettle with a startling noise boiled over.	そしてプールがそう言ったときに、やかんがびっくりさせるような音をたててふきこぼれた。
This brought them to the fireside, where the easy-chair was drawn cosily up, and the teathings stood ready to the sitter's elbow, the very sugar in the cup.	そして暖炉の側に行ってみると、安楽椅子が居心地がよいように備え付けられていて、お茶の道具が手近に用意され、カップには砂糖まで入っていた。
There were several books on a shelf;	棚には本があり、
one lay beside the tea-things open,	一冊の本がお茶の用意の側に開かれていた。
and Utterson was amazed to find it a copy of a pious work,	そしてアターソンは、それが宗教の本であることを見つけて驚いた。
for which Jekyll had several times expressed a great esteem, annotated, in his own hand, with startling blasphemies.	しかもそれはジキルが何回も誉めていた本だったが、直筆でひどい言葉が書き連ねてあった。
Next, in the course of their review of the chamber, the searchers came to the cheval glass, into whose depths they looked with an involuntary horror.	次に部屋を調べていき、大きな鏡のところへやってきて、なにげなく恐怖のあまり鏡を覗き込んでみた。
But it was so turned as to show them nothing but the rosy glow playing on the roof, the fire sparkling in a hundred repetitions along the glazed front of the presses, and their own pale and fearful countenances stooping to look in.	ただ天井に映るばら色の光と、暖炉の火がたくさんガラス棚に反射するのと、青白い顔で自分たちが恐怖に満ちた姿で覗き込んでいる姿以外は何も映っていなかった。
"This glass have seen some strange things, sir,"	「この鏡は、いろんなおかしなものを映してきたんでしょう」
whispered Poole.	とプールはささやいた。
"And surely none stranger than itself,"	「でもこの鏡自体がおかしくないか？」
echoed the lawyer in the same tones.	と弁護士も同じくささやくように言った。
"For what did Jekyll"	「なんだってジキルは」
-- he caught himself up at the word with a start, and then conquering the weakness --	といいかけて、いいよどんだが、弱さに打ち克つように続けた。
"what could Jekyll want with it?" he said.	「なんだってジキルは、こんなものが必要だったんだ？」
"You may say that!"	「そうですよ！」
said Poole.	プールも言った。
Next they turned to the business-table.	次には、二人は事務机の方へと行った。
On the desk among the neat array of papers, a large envelope was uppermost,	机の上には書類がきちんと整理されていて、大きな封筒が一番上にあった。
and bore, in the doctor's hand, the name of Mr. Utterson.	そこには博士の字で、アターソンの名前が書いてあった。
The lawyer unsealed it, and several enclosures fell to the floor.	弁護士がそれを開封すると、何通かの同封物が床に落ちた。
