Homesteading the Noosphere	ノウアスフィアの開墾
Another is the amount of buzz surrounding application-toolkit projects	別の示唆としては、アプリケーション用ツールキットのプロジェクトを取り巻いているにぎやかさが指摘できるだろう。
like KDE and GNOME.	KDE や GNOME なんかだ。
A respondent to this essay has pointed out that the homesteading analogy also explains why hackers react with such visceral anger to Microsoft's ``embrace and extend'' policy of complexifying and then closing up Internet protocols.	この論文の評者の一人は、開墾のアナロジーを使うことで、ハッカーたちがなぜマイクロソフトの「抱き込んで拡張」方針、つまりインターネットプロトコルを複雑化して閉じたものにしてしまおうという方針に対し、なぜあれほど露骨な怒りをもって反応するのか、ということが説明できることを指摘している。
The hacker culture can coexist with most closed software;	ハッカー文化はほとんどのクローズドなソフトと共存できる。
the existence of Adobe Photoshop, for example, does not make the territory near GIMP (its open-source equivalent) significantly less attractive.	たとえば Adobe Photoshop があっても、そのオープンソース版とも言うべき GIMP 周辺の領域が極端に魅力がなくなるわけではない。
But when Microsoft succeeds at de-commoditizing [HD] a protocol so that only Microsoft's own programmers can write software for it, they do not merely harm customers by extending their monopoly;	でも、マイクロソフトがプロトコルを「脱・共有化」[HD]してしまって、マイクロソフト自身のプログラマしかそれを使うソフトが書けないようにしてしまったら、マイクロソフトは単に独占を拡大して顧客に害を与えるだけではすまない。
they also reduce the amount and quality of noosphere available for hackers to homestead and cultivate.	ハッカーたちが開墾して耕作すべきノウアスフィアの量と質を低下させることにもなる。
No wonder hackers often refer to Microsoft's strategy as ``protocol pollution'';	ハッカーたちがマイクロソフトの戦略を「プロトコル汚染」と呼ぶのも当然だろう。
they are reacting exactly like farmers watching someone poison the river they water their crops with!	かれらは、自分の農業用水に毒を入れようとしている人を見つけた農夫たちとまったく同じ反応を示しているわけだ！
Finally, the reputation-game analysis explains the oft-cited dictum that you do not	最後に、評判ゲーム分析はよく挙げられる格言を説明してくれる。
become a hacker by calling yourself a hacker	人はハッカーを名乗ればハッカーになれるわけじゃない
?you become a hacker when other hackers call you a hacker [KN].	――ほかのハッカーにハッカーと呼ばれた時点で、人はハッカーになるんだ。
A `hacker', considered in this light, is somebody who has shown (by contributing gifts) that he or she both has technical ability and understands how the reputation game works.	この観点から見た「ハッカー」というのは、技術的な能力を持っていて、しかも評判ゲームがどう機能するかわかっているということを（贈り物を提供することで）実証した人間だ。
This judgement is mostly one of awareness and acculturation, and can be delivered only by those already well inside the culture.	この判断は、おもに認知と文化順応に基づくもので、すでにこの文化の中にしっかり入った人々からしか与えられない。
How Fine a Gift?	13　どれほどすばらしい贈り物？
There are consistent patterns in the way the hacker culture values contributions and returns peer esteem for them.	ハッカー文化が貢献を評価して、それに対する仲間内の評判を戻すやり方には、一貫したパターンがある。
It's not hard to observe the following rules:	以下のような規則はすぐに見分けられる：
1. If it doesn't work as well as I have been led to expect it will, it's no good	1. 期待させられたほどきちんと機能しないなら、それはダメ
?no matter how clever and original it is.	――どんなに巧妙でオリジナリティ豊かなものであっても。
Note the phrase `led to expect'.	「期待させられたほど」という部分に注意。
This rule is not a demand for perfection;	このルールは、完全無欠を求めるものではない。
beta and experimental software is allowed to have bugs.	ベータ版や実験ソフトには、もちろんバグがあってもいい。
It's a demand that the user be able to accurately estimate risks from the stage of the project and the developers' representations about it.	これは、プロジェクトの段階や開発者の主張をもとに、リスクを正確に評価できるようにしろ、と求めているわけだ。
This rule underlies the fact that open-source software tends to stay in beta for a long time, and not get even a 1.0 version number until the developers are very sure it will not hand out a lot of nasty surprises.	このルールのおかげで、オープンソースソフトはずいぶん長い間ベータ版のままになっていて、とんでもないバグがぼろぼろ出てきたりしない、というのを開発者が革新するまで、バージョン 1.0 を名乗ったりしない、という現象が見られる。
In the closed-source world, Version 1.0 means ``Don't touch this if you're prudent.'';	クローズドソースの世界では、バージョン 1.0 というのは、「慎重な人は手を出しちゃダメよ」という意味だ。
in the open-source world it reads something more like ``The developers are willing to bet their reputations on this.''	オープンソースの世界では、むしろ「開発者たちはこいつに自分の評判を賭けてもいいと思っています」というのに近い。
2. Work that extends the noosphere is better than work that duplicates an existing piece of functional territory.	2. 既存の機能する領域を複製する作業よりは、ノウアスフィアを拡張する仕事のほうがいい。
The naive way to put this would have been:	こいつをもっと素朴に表現するなら、
Original work is better than mere duplication of the functions of existing software.	「独創的な作業は、既存ソフトの機能を複製するよりもいい」ということになるだろう。
But it's not actually quite that simple.	でも、実はこんなに単純ではない。
Duplicating the functions of existing closed software counts as highly as original work	既存のクローズドなソフトの機能を複製するのは、オリジナルなソフトの開発作業と同じくらい高い評価が得られる
if by doing so you break open a closed protocol or format and make that territory newly available.	――それによって、クローズドなプロトコルやフォーマットをこじあけたりして、その領土を新たに提供できるのであれば。
Thus, for example, one of the highest-prestige projects in the present open-source world is Samba	だからたとえば、いまのオープンソース世界でいちばんプレステージの高いプロジェクトは、Samba だ
?the code that allows Unix machines to act as clients or servers for Microsoft's proprietary SMB file-sharing protocol.	―― Unix マシンがマイクロソフトの独占ファイル共有プロトコル SMB のクライアントまたはサーバとして使えるようにするコード。
There is very little creative work to be done here;	創造的な仕事はほとんどない。
it's mostly an issue of getting the reverse-engineered details right.	むしろ細かいリバースエンジニアリングの細部をうまくやるのが一番の問題だ。
Nevertheless, the members of the Samba group are perceived as heroes	それでも、Samba グループは英雄視されている。
because they neutralize a Microsoft effort to lock in whole user populations and cordon off a big section of the noosphere.	ユーザ集団をまるごと囲い込んで、ノウアスフィアの大きな部分に縄を張ってしまおうというマイクロソフトの努力を無化するものだからだ。
3. Work that makes it into a major distribution is better than work that doesn't.	3. 主要ディストリビューションに含まれるものは、そうでないものよりもいい。
Work carried in all major distributions is most prestigious.	主要ディストリビューションすべてに含まれるものがいちばんえらい。
The major distributions include not just the big Linux distributions like Red Hat, Debian, Caldera, and SuSE., but other collections that are understood to have reputations of their own to maintain and thus implicitly certify quality	ここでの主要ディストリビューションというのは、Red Hat、Debian、Caldera、S.u.S.E. など Linux の大手ディストリビューションのみならず、独自の評判を持っていて、したがって品質を裏書きできると思われているその他のコレクションすべてを含んでいる
?like BSD distributions or the Free Software Foundation source collection.	――たとえば BSD ディストリビューションや、FSF のソースコレクションなど。
4. Utilization is the sincerest form of flattery	4. 利用は最大の賛辞
?and category killers are better than also-rans.	――そしてカテゴリーキラーは追随ソフトよりもよい。
Trusting the judgment of others is basic to the peer-review process.	他人の判断を信用するというのは、同業者（ピア）レビューのプロセスの基本だ。
It's necessary because nobody has time to review all possible alternatives.	これが必要なのは、だれもあらゆる代替ソフトをすべてレビューするだけの暇はないからだ。
So work used by lots of people is considered better than work used by a few,	だから、多くの人が使っているソフトは、少数の人しか使っていないソフトよりもいいとされる。
To have done work so good that nobody cares to use the alternatives any more is therefore to have earned huge prestige.	あまりにできがよくて、ほかの代替品をだれも使おうとしなくなるような仕事をするというのは、だからすさまじいプレステージを獲得することになる。
The most possible peer esteem comes from having done widely popular, category-killing original work that is carried by all major distributions.	最大の同業者評価を獲得するには、非常に人気のあるカテゴリーキラーとなった独創的な作業が、すべての主要ディストリビューションに含まれるようになることだ。
People who have pulled this off more than once are half-seriously referred to as `demigods'.	これを一度ならず行った人間は、半ば冗談まじりで「半神半人」（demigods）と呼ばれる。
5. Continued devotion to hard, boring work (like debugging, or writing documentation) is more praiseworthy than cherrypicking the fun and easy hacks.	5. むずかしくて退屈な作業（たとえばデバッグやドキュメンテーション書き）に継続的に貢献するのは、おもしろくて簡単なハックをいいとこ取りするよりも賞賛すべきことである。
This norm is how the community rewards necessary tasks that hackers would not naturally incline towards.	この規範によって、ハッカーたちが通常はやりたがらないけれど必要な仕事について、コミュニティは見返りを支払うわけだ。
It is to some extent contradicted by:	でもこれは、次のルールとはちょっと矛盾している：
6. Nontrivial extensions of function are better than low-level patches and debugging.	6. 機能の大幅な（non-trivialな）拡張は、低レベルのパッチやデバッグよりもいい。
The way this seems to work is	これがどう機能するかというと、こういうことらしい：
that on a one-shot basis, adding a feature is likely to get more reward than fixing a bug	一発だけで見た場合、機能を追加するほうがバグ取りよりも見返りが大きい
?unless the bug is exceptionally nasty or obscure, such that nailing it is itself a demonstration of unusual skill and cleverness.	――ただしバグが極端にてごわかったり見つけにくかったりして、それを仕留めること自体が非凡なスキルや賢さを示すのでない限り。
But when these behaviors are extended over time, a person with a long history of paying attention to and nailing even ordinary bugs may well out-rank someone who has spent a similar amount of effort adding easy features.	でも、こうした行動が長い期間にまたがると、長いこと注意を払って、ごくつまらないバグでもつぶしていく人は、同じ努力をかけて簡単な機能の追加をしてきた人よりも高い地位につけるわけだ。
A respondent has pointed out that these rules interact in interesting ways and do not necessarily reward highest possible utility all the time.	ある評者が指摘したことだけれど、こうしたルールはおもしろい形で相互作用して、いつの時点でも最大の効用が報われるようには必ずしもなっていない。
Ask a hacker whether he's likely to become better known for a brand new tool of his own or for extensions to someone else's and the answer ``new tool'' will not be in doubt.	ハッカーに、独自の新しいツールを開発するのと、だれか別の人のツールの拡張と、どっちで有名になる見込みが高いかときいたら、答えはまちがいなく「新しいツール」になるだろう。
But ask about	でも、次の二つならどうだろう。
(a) a brand new tool which is only used a few times a day invisibly by the OS but which rapidly becomes a category killer, versus	一日ほんの数回、だれにもわからない形で OS から呼び出されるだけの真新しいツールだけれど、急速にカテゴリーキラーになるもの
(b) several extensions to an existing tool which are neither especially novel nor category-killers,	ことさら新しくもないしカテゴリーキラーでもない既存ツールに対する拡張をいくつか。
but are daily used and daily visible to a huge number of users	ただしそのツールは、毎日使われて、毎日多くの人の目に直接触れる
and you are likely to get some hesitation before the hacker settles on (a).	この場合、ハッカーは最終的に前者に落ち着くにしても、かなりためらうはずだ。
These alternatives are about evenly stacked.	この両者は、だいたい同じくらいの地位を持っている。
Said respondent gave this question point for me by adding	これを指摘した評者は、以下のような一言を付け加えて、ぼくに対して論点を強調した。
``Case (a) is fetchmail;	「前者の例は、fetchmail で、
case (b) is your many Emacs extensions, like vc.el and gud.el.''	後者の例はあなたの場合、vc.el や gud.el など各種のEmacs拡張です」
And indeed he is correct;	たしかにかれの言うとおり。
I am more likely to be tagged ``the author of fetchmail'' than ``author of a boatload of Emacs modes'',	ぼくは「各種のEmacsモードの著者」と言われるよりは、「fetchmail 作者」と言われるほうが多い。
even though the latter probably have had higher total utility over time.	長期的に見れば、Emacs モードのほうが効用の合計では大きいにちがいないのだけれど。
What may be going on here is simply that work with a novel `brand identity' gets more notice than work aggregated to an existing `brand'.	ここで起きているのは、真新しい「ブランドアイデンティティ」を持つ仕事は、既存「ブランド」に集積する仕事よりも認知度が高い、ということにすぎないのかもしれない。
Elucidation of these rules, and what they tell us about the hacker culture's scoreboarding system, would make a good topic for further investigation.	こうしたルールのさらなる解明と、それがハッカー文化の得点集計システムについてどんなことを物語るのかは、今後の研究課題として有望だろう。
Noospheric Property and the Ethology of Territory	14　ノウアスフィア的所有権となわばりの動物行動学
To understand the causes and consequences of Lockean property customs, it will help us to look at them from yet another angle;	土地所有権の慣習がなにをもたらすか理解するには、もう一つ別の角度から見てみると役にたつ。
that of animal ethology, specifically the ethology of territory.	動物行動学、とくになわばりの行動学だ。
Property is an abstraction of animal territoriality, which evolved as a way of reducing intraspecies violence.	所有地は、動物のなわばりの抽象化で、なわばりは種の内部の暴力を減らすための手段としてうまれた。
By marking his bounds, and respecting the bounds of others, a wolf diminishes his chances of being in a fight	境界をしるし、ほかの仲間の境界を尊重することで、オオカミは争いを始める機会を減らす。
that could weaken or kill him and make him less reproductively successful.	そういう争いで自分がけがをしたり殺されたりするかもしれず、そうなったら自分が再生産面で成功する可能性が低下するからだ。
Similarly, the function of property in human societies is to prevent inter-human conflict by setting bounds that clearly separate peaceful behavior from aggression.	同じように、人間社会における「所有物」の概念は、平和な行動と抗争とをはっきりわけるような境界をもうけることで、人間同士の紛争を予防するのが機能だ。
It is fashionable in some circles to describe human property as an arbitrary social convention, but this is dead wrong.	人間の所有物なんて、ただの恣意的な社会的因襲にすぎないと表現するのはファッショナブルだったりするけれど、でもこれはとことんまちがっている。
Anybody who has ever owned a dog who barked when strangers came near its owner's property	犬を飼ったことがある人で、知らない人が飼い主の所有物に近づいたときに犬が吠えたのを経験した人は多いだろう。
has experienced the essential continuity between animal territoriality and human property.	そういう人ならみんな、動物のなわばり性と人間の所有物との本質的な連続性を経験しているはずだ。
Our domesticated cousins of the wolf know, instinctively, that property is no mere social convention or game,	ぼくたちが家畜化した狼のいとこ分たちは、この点について人間の政治理論家たちの多くより本能的に賢いんだ。
but a critically important evolved mechanism for the avoidance of violence.	所有権を主張すること（なわばりをマーキングするように）は、それを演じてみせることが重要で、
Claiming property (like marking territory) is a performative act, a way of declaring what boundaries will be defended.	その境界を守るぞという宣言だ。
Community support of property claims is a way to minimize friction and maximize cooperative behavior.	所有権主張に対するコミュニティの支援は、摩擦をへらして協力行動を最大化するための方法だ。
These things remain true even when the ``property claim'' is much more abstract than a fence or a dog's bark, even when it's just the statement of the project maintainer's name in a README file.	これは「所有権主張」が README ファイルのプロジェクト管理者の名前記述のように、柵や吠える犬よりずっと抽象的な場合でも成立する。
It's still an abstraction of territoriality, and (like other forms of property) based in territorial instincts evolved to assist conflict resolution.	それはやっぱりなわばりを抽象化したもので、（その他所有権の形態と同じく）ぼくたちの本能に基づく所有権モデルは、なわばりが発達して紛争解決に役立つようになったものなんだ。
This ethological analysis may at first seem very abstract and difficult to relate to actual hacker behavior.	この動物行動学的な分析は、一見するとすごく抽象的で、実際のハッカー行動と結びつけるのは難しそうだ。
But it has some important consequences.	でもこれはすごく大事な意味を持っている。
One is in explaining the popularity of World Wide Web sites,	一つは World Wide Web のサイトの普及ぶりを説明することだ。
and especially why open-source projects with websites seem so much more `real' and substantial than those without them.	特に、なぜ web サイトを持ったオープンソース・プロジェクトが、ないものよりずっと「本物」らしくて重要に見えるのか、という点。
Considered objectively, this seems hard to explain.	客観的に見れば、これは説明がむずかしい。
Compared to the effort involved in originating and maintaining even a small program, a web page is easy,	ほんの小さなプログラムであっても、それを創始して管理するための努力に比べれば、web ページなんかばかみたいに簡単だ。
so it's hard to consider a web page evidence of substance or unusual effort.	だから web ページが内容の高さや非凡な努力の証拠だとは考えにくい。
Nor are the functional characteristics of the Web itself sufficient explanation.	Web そのものの機能的な特徴だけでも、説明としては不十分だ。
The communication functions of a web page can be as well or better served by a combination of an FTP site, a mailing list, and Usenet postings.	web ページのコミュニケーション機能は、FTP とメーリングリストと Usenet ポストとの組み合わせでも同じくらい、あるいはもっとうまく提供できるものだ。
In fact it's quite unusual for a project's routine communications to be done over the Web rather than via a mailing list or newsgroup.	実際問題として、プロジェクトの日々の連絡が、メーリングリストや Usenet のポストではなく Web で行われるというのはあまり例がない。
Why, then, the popularity of websites as project homes?	それなら、なぜプロジェクトのホームとして web サイトに人気があるんだろう。
The metaphor implicit in the term `home page' provides an important clue.	「ホームページ」という用語に含まれたメタファーがだいじなヒントを提供してくれる。
While founding an open-source project is a territorial claim in the noosphere (and customarily recognized as such) it is not a terribly compelling one on the psychological level.	オープンソースプロジェクトの創始は、ノウアスフィアにおける領土を宣言することだけれど（そしてふつうはそのように認識されてはいるけれど）、でも心理的なレベルからいえば、それだけではあまり説得力はない。
Software, after all, has no natural location and is instantly reduplicable.	ソフトウェアは結局のところ自然の場所もないし、すぐに複製可能だからだ。
It's assimilable to our instinctive notions of `territory' and `property', but only after some effort.	「領土」や「所有物」という本能的な考えに適合しないわけではないけれど、でもそれにはしかるべき努力が必要になる。
A project home page concretizes an abstract homesteading in the space of possible programs by expressing it as `home' territory in the more spatially-organized realm of the World Wide Web.	プロジェクトのホームページは、比較的空間的に組織された World Wide Web の世界で「故郷」領土として宣言を行うことにより、可能なプログラムの空間の抽象的な開墾を具体化するものなんだ。
Descending from the noosphere to `cyberspace' doesn't get us all the way to the real world of fences and barking dogs yet, but it does hook the abstract property claim more securely to our instinctive wiring about territory.	ノウアスフィアから「サイバースペース」におりてきても、柵や吠える番犬の現実世界まではまだ距離があるけれど、でも抽象的な領土主張をもっと直感的ななわばり理解に結びつけてはくれる。
And this is why projects with web pages seem more `real'.	だからこそ、Web ページを持ったプロジェクトはもっと「本物」に感じられるんだ。
This point is much strengthened by hyperlinks and the existence of good search engines.	この論点は、ハイパーリンクや高性能サーチエンジンの存在で一層強化される。
A project with a web page is much more likely to be noticed by somebody exploring its neighborhood in the noosphere;	Web ページを持つプロジェクトは、ノウアスフィアで近所を探検している人にずっと認知されやすい。
others will link to it, searches will find it.	リンクする人もいるだろうし、サーチエンジンにもひっかかる。
A web page is therefore a better advertisement, a more effective performative act, a stronger claim on territory.	Web ページは、だから広告としても優れているし、パフォーマンス行為としても有効だし、領土主張としても強力だ。
This ethological analysis also encourages us to look more closely at mechanisms for handling conflict in the open-source culture.	この動物行動学的な分析は、オープンソース文化での紛争処理メカニズムをもっと詳しく見るよう示唆するものでもある。
It leads us to expect that, in addition to maximizing reputation incentives, ownership customs should also have a role in preventing and resolving conflicts.	これが正しければ、所有権慣習は評判インセンティブを最大化するだけでなく、紛争の防止と解決にもなんらかの役割を果たしていると考えていいはずだからだ。
Causes of Conflict	15　紛争の原因
In conflicts over open-source software we can identify four major issues:	オープンソース・ソフトをめぐる紛争の理由としては、次の４つの大きな問題を指摘できる：
Who gets to make binding decisions about a project?	だれがプロジェクトについて決定力のある決断をくだすのか？
Who gets credit or blame for what?	だれがなにについて、評価や非難を受けるのか？
How to reduce duplication of effort and prevent rogue versions from complicating bug tracking?	二度手間をさけて、非公式版がでてバグ追跡をややこしくするのを止めるにはどうするか？
What is the Right Thing, technically speaking?	技術的に見たら、なにが正しいことだったのか？
If we take a second look at the ``What is the Right Thing'' issue, however, it tends to vanish.	でもこの「技術的な正しさ」という点についてよく考えてみると、これは問題にはならない。
For any such question, either there is an objective way to decide it accepted by all parties or there isn't.	この手の問題には必ず、万人が納得する客観的な決定方法があるか、あるいはないかのどっちかだからだ。
If there is, game over and everybody wins.	もしそれがあれば、話はそこでおしまいでみんな勝つ。
If there isn't, it reduces to ``Who decides?''.	もしないのなら、それは「だれが決めるんだ？」という話に還元される。
Accordingly, the three problems a conflict-resolution theory has to resolve about a project are	同じように、紛争解決理論がプロジェクトについて解決しなくてはならない三つの問題は
(a) where the buck stops on design decisions,	(A) 設計上の決断を下すときに最終的な采配を下すのはだれか、
(b) how to decide which contributors are credited and how,	(B) どの貢献者がどのようにクレジットされるかをどう決めるか、
and (c) how to keep a project group and product from fissioning into multiple branches.	(C) プロジェクトグループやその成果物が複数に枝分かれして分裂するのをどう防ぐか、となる。
The role of ownership customs in resolving issues (a) and (c) is clear.	問題(A) と（C）の解決のために所有権慣習の果たす役割ははっきりしている。
Custom affirms that the owners of the project make the binding decisions.	習慣により、プロジェクトの所有者こそが方向を左右する決定を下すことが認められる。
We have previously observed that custom also exerts heavy pressure against dilution of ownership by forking.	そしてプロジェクト分裂による勢力の希薄化に対しては、慣習が強い圧力をかけることはこれまで見た通り。
It's instructive to notice that these customs make sense even if one forgets the reputation game and examines them from within a pure `craftmanship' model of the hacker culture.	ここで、評判ゲームは忘れてこれをハッカー文化についての純粋な「職人気質」モデルから見た場合にも、こうした慣習は筋が通っていることは認識しておくといいだろう。
In this view these customs have less to do with the dilution of reputation incentives than with protecting a craftsman's right to execute his vision in his chosen way.	この見方では、こうした慣習は評判インセンティブの希薄化よりはむしろ、職人が自分のビジョンを自分の選ぶ形で実行するという職人の権利を守ることを重視していることになる。
The craftsmanship model is not, however, sufficient to explain hacker customs about issue (b), who gets credit for what	職人モデルは、問題（B）「だれがなにについてクレジットを与えられるか」についてのハッカー慣習を説明するには十分ではない
?because a pure craftsman, one unconcerned with the reputation game, would have no motive to care.	（だって、純粋な職人は評判ゲームなんか気にしないから、そんなことを気にする動機がない）。
To analyze these, we need to take the Lockean theory one step further and examine conflicts and the operation of property rights within projects as well as between them.	これを分析するには、ロック理論をもう一歩進めて、所有権上の抗争や運用がどう行われているかをプロジェクト同士だけでなく、プロジェクト内部から見てやらなくてはならない。
Project Structures and Ownership	16　プロジェクト構造と所有権
The trivial case is that in which the project has a single owner/maintainer.	簡単な例は、プロジェクトの所有者・管理者が一人しかいない場合だ。
In that case there is no possible conflict.	この場合、紛争は起こり得ない。
The owner makes all decisions and collects all credit and blame.	所有者がすべての決定をくだして、賞賛も批判もすべて自分で背負う。
The only possible conflicts are over succession issues	紛争として唯一あり得るのは引き継ぎ問題だけだ
?who gets to be the new owner if the old one disappears or loses interest.	――もとの所有者がいなくなったり興味をなくしたりした場合、だれが新しい所有者になるのか。
The community also has an interest, under issue (c), in preventing forking.	コミュニティとしても、問題(C)から、プロジェクトの分裂を避けたいと考える。
These interests are expressed by a cultural norm that an owner/maintainer should publicly hand title to someone if he or she can no longer maintain the project.	こうした利害は文化規範として、所有者・管理者は自分がプロジェクトを管理できなくなった場合には、公式にその権利をだれかに譲るべきだというかたちで表現される。
The simplest non-trivial case is when a project has multiple co-maintainers working under a single `benevolent dictator' who owns the project.	いちばん単純ながら、簡単ではないケースとしては、プロジェクトを所有する一人の「優しい独裁者」のもとに複数の共同管理者が働いているような場合だ。
Custom favors this mode for group projects;	慣習は、グループプロジェクトについてはこのモードを好む。
it has been shown to work on projects as large as the Linux kernel or Emacs, and solves the ``who decides'' problem in a way that is not obviously worse than any of the alternatives.	これは Linux カーネルや Emacs ほどの大プロジェクトでも使えるし、「だれが決める」問題も解決してくれるし、その解決法も、その他のあらゆる代替案より特にひどいというわけでもない。
Typically, a benevolent-dictator organization evolves from an owner-maintainer organization as the founder attracts contributors.	典型的には、優しい独裁者組織は、創始者が貢献者を集めるにしたがって所有管理者組織から発展して生まれる。
Even if the owner stays dictator, it introduces a new level of possible disputes over who gets credited for what parts of the project.	所有者が独裁者であり続けても、それはプロジェクトのどの部分についてだれがクレジットを得るかという点について新しいレベルの紛争の可能性を持ち込むことになる。
In this situation, custom places an obligation on the owner/dictator to credit contributors fairly	この状況では、慣習は所有者／独裁者が公平に貢献者にクレジットを与えることを義務づける
(through, for example, appropriate mentions in README or history files).	（たとえばREADME履歴ファイルの中でのしかるべき記載なんかで）。
In terms of the Lockean property model, this means that by contributing to a project you earn part of its reputation return	ロック式所有権モデルでいえば、これはつまりプロジェクトへの貢献によってその評判リターンの一部を稼げるということだ
(positive or negative).	（いいものも悪いものも）。
Pursuing this logic, we see that a `benevolent dictator' does not in fact own his entire project absolutely.	この論理をつきつめると、「優しい独裁者」はその全プロジェクトを文句なしに占有しているわけじゃないのがわかる。
Though he has the right to make binding decisions, he in effect trades away shares of the total reputation return in exchange for others' work.	方向性を決める決断をする権利を持ってはいるけれど、かれは実際問題として、全体の評判の一部を他人の作業と交換にゆずりわたす。
The analogy with sharecropping on a farm is almost irresistible,	農場での分益小作人との対比はほとんど抵抗しがたいものがある。
except that a contributor's name stays in the credits and continues to `earn' to some degree even after that contributor is no longer active.	ただし、ハッカーの場合、貢献者の名前はクレジットに残り、その貢献者がもはや活発でなくなったときにも、ある程度の「収益」をあげ続ける点はちがうけれど。
As benevolent-dictator projects add more participants, they tend to develop two tiers of contributors;	優しい独裁者プロジェクトの参加者が増えるにつれて、参加者は二派にわかれる傾向がある。
ordinary contributors and co-developers.	通常の貢献者と共同開発者だ。
A typical path to becoming a co-developer is taking responsibility for a major subsystem of the project.	共同開発者となる典型的な道としては、プロジェクトの主要サブシステムの責任を負うことだ。
Another is to take the role of `lord high fixer', characterizing and fixing many bugs.	もう一つは「高等修理卿」の役割を負って、多くのバグを抽出してなおすことだ。
In this way or others, co-developers are the contributors who make a substantial and continuing investment of time in the project.	こういった方法を通じて、共同開発者は貢献者のなかでもプロジェクトに相当量の時間を投資し続ける。
The subsystem-owner role is particularly important for our analysis and deserves further examination.	サブシステム所有者の役割は、本論の分析ではときに大事なので、もっと詳しくみるべきだ。
Hackers like to say that `authority follows responsibility'.	ハッカーたちは「権威は責任に伴う」というのが好きだ。
A co-developer who accepts maintainance responsibility for a given subsystem generally gets to control both the implementation of that subsystem and its interfaces with the rest of the project,	あるサブシステムのメンテナンス責任を負う共同開発者は、そのサブシステムの実装と、その他プロジェクトとのインターフェース部分との両方をコントロールできるようになる。
subject only to correction by the project leader (acting as architect).	それを修正できるのは、アーキテクトとして働くプロジェクトリーダだけ。
We observe that this rule effectively creates enclosed properties on the Lockean model within a project,	このルールは、実質的にはプロジェクトのロック・モデル内部に、囲い込まれた所有地をつくりだしているものとみることができる。
and has exactly the same conflict-prevention role as other property boundaries.	だからほかの領地境界とまったく同じように、紛争防止の役割を持つことになるわけだ。
By custom, the `dictator' or project leader in a project with co-developers is expected to consult with those co-developers on key decisions.	習慣的に、共同開発者のいるプロジェクトの「独裁者」またはプロジェクトリーダは、その共同開発者たちにだいじな判断のときには相談することが期待されている。
This is especially so if the decision concerns a subsystem that a co-developer `owns' (that is, has invested time in and taken responsibility for).	これは特に、その決断が共同開発者「所有」のサブシステム（つまり、その共同開発者がそれに時間を注いで、責任を負っているサブシステム）にかかわるものであるときにあてはまる。
A wise leader, recognizing the function of the project's internal property boundaries, will not lightly interfere with or reverse decisions made by subsystem owners.	賢いリーダは、プロジェクト内部の領土境界の機能がわかっているから、サブシステム所有者の決定をじゃましたり、ひっくりかえしたりするようなことは軽々しくしない。
Some very large projects discard the `benevolent dictator' model entirely.	一部のすごく大きなプロジェクトは、「やさしい独裁者」モデルを完全に捨てている。
One way to do this is turn the co-developers into a voting committee (as with Apache).	これをやる方法の一つは、共同開発者たちを議決委員会にしてしまうことだ（Apacheがこうしている）。
Another is rotating dictatorship,	別の方法としては、独裁権を巡回方式にすることだ。
in which control is occasionally passed from one member to another within a circle of senior co-developers;	ここではコントロール権は、上級共同開発者たちのサークルのなかで次から次へとまわされる
the Perl developers organize themselves this way.	（Perl開発者たちはこういう形の組織を採用している）。
Such complicated arrangements are widely considered unstable and difficult.	こういう複雑な仕組みは、一般には不安定でむずかしいものと思われている。
Clearly this perceived difficulty is largely a function of the known hazards of design-by-committee, and of committees themselves;	明らかにこのむずかしいという印象は、委員会による設計や委員会そのものの危険性の関数である面が大きい。
these are problems the hacker culture consciously understands.	こういう問題について、ハッカー文化ははっきりわかっている。
However, I think some of the visceral discomfort hackers feel about committee or rotating-chair organizations is that they're hard to fit into the unconscious Lockean model hackers use for reasoning about the simpler cases.	でも、ハッカーたちが委員会や巡回式組織について生理的に感じている気持ち悪さは、それがもっと簡単な場合についてハッカーたちが理由づけるときに使う、無意識のロック式モデルにおさまりにくいことがあるんだろう。
It's problematic, in these complex organizations, to do an accounting of either ownership in the sense of control or ownership of reputation returns.	こういう複雑な組織では、コントロールという意味での所有権や、評判の収益の所有権をきちんとつけるのがむずかしいからだ。
It's hard to see where the internal boundaries are, and thus hard to avoid conflict unless the group enjoys an exceptionally high level of harmony and trust.	内部の境界がどこにあるかは見えにくいので、グループとして例外的に高い調和と信頼関係ができていない限り、紛争を避けるのはむずかしい。
Conflict and Conflict Resolution	17　紛争とその解決
We've seen that within projects, an increasing complexity of roles is expressed by a distribution of design authority and partial property rights.	これまで見てきたのは、プロジェクト内部では役割がますます複雑化し、それがデザイン決定権の配分と部分的な所有権によって表現されるということだった。
While this is an efficient way to distribute incentives, it also dilutes the authority of the project leader	これはインセンティブを配分する効率のよい方法だけれど、プロジェクトリーダーの権威を弱めるものでもある
?most importantly, it dilutes the leader's authority to squash potential conflicts.	――いちばん大事な点として、リーダーが紛争をおさえこむための権威を弱めてしまうんだ。
While technical arguments over design might seem the most obvious risk for internecine conflict, they are seldom a serious cause of strife.	設計にかかわる技術的な論争こそが、一見すると血を見るような争いにいたる一番の原因になりそうだと思うかもしれないけれど、でもこれは深刻なもめごとの原因にはめったにならない。
These are usually relatively easily resolved by the territorial rule that authority follows responsibility.	こういうのは、権威は責任に伴うというなわばりのルールによってそこそこ簡単に解決がつく。
