THE FALL OF THE HOUSE OF USHER	アッシャー家の崩壊
"But the good champion Ethelred, now entering within the door, was sore enraged and amazed to perceive no signal of the maliceful hermit ;	「しかるにすぐれたる戦士エセルレッドは、いまや扉のなかに入り、かの邪（よこしま）なる隠者の影すらも見えざるに怒り、あきれ果てぬ。
but, in the stead thereof, a dragon of a scaly and prodigious demeanor, and of a fiery tongue, which sate in guard before a palace of gold, with a floor of silver ;	されど、そのかわりには、鱗（うろこ）生えて巨（おお）いなる姿の一頭の竜（りゅう）、炎の舌を吐きつつ、白銀（しろがね）の床しきたる黄金の宮殿の前にぞ蹲（うずくま）りてまもりける。
and upon the wall there hung a shield of shining brass with this legend enwritten -	しかしてその壁には輝ける真鍮（しんちゅう）の楯（たて）かかりて、次のごとき銘しるされたり。――
Who entereth herein, a conqueror hath bin ;	ここに入る者は勝利者たりしもの。
Who slayeth the dragon, the shield he shall win;	この竜を殺す者はこの楯を得む。
And Ethelred uplifted his mace, and struck upon the head of the dragon, which fell before him, and gave up his pesty breath, with a shriek so horrid and harsh, and withal so piercing, that Ethelred had fain to close his ears with his hands against the dreadful noise of it, the like whereof was never before heard."	ここにおいてかエセルレッドは鎚矛を振り上げ、竜の頭上めがけて打ちおろしければ、竜は彼の前にうち倒れ、毒ある息を吐きあげて、恐ろしくもまた鋭き叫び声をあげたるが、その突き刺すばかりの響きには、さすがのエセルレッドも両手もて耳を塞（ふさ）ぎたるほどにて、かかる恐ろしき声はかつて世に聞きたることもなかりき」
Here again I paused abruptly, and now with a feeling of wild amazement	ここでまた私はとつぜん言葉を止めた、今度ははげしい驚きを感じながら。
- for there could be no doubt whatever that, in this instance, I did actually hear (although from what direction it proceeded I found it impossible to say) a low and apparently distant, but harsh, protracted, and most unusual screaming or grating sound - the exact counterpart of what my fancy had already conjured up for the dragon's unnatural shriek as described by the romancer.	――というのは、この瞬間に、低い、明らかに遠くからの、しかし鋭い、長びいた、まったく異様な、叫ぶようなまたは軋るような音――この物語の作者の書きしるした竜の不思議な叫び声として私がすでに空想で思い浮べていたものとまさしくそっくりな物音――を実際に聞いた（もっともどちらの方向からということは言えなかったが）ことは、なんの疑いもなかったからである。
Oppressed, as I certainly was, upon the occurrence of this second and most extraordinary coincidence, by a thousand conflicting sensations, in which wonder and extreme terror were predominant, I still retained sufficient presence of mind to avoid exciting, by any observation, the sensitive nervousness of my companion.	この二度目の、しかも異常な暗合に出会って、主に驚きと極度の恐怖との勝（まさ）ったさまざまな矛盾した感情に圧倒されながら、それでもなお私は、なにかそのことを口に出して友の過敏な神経を興奮させることを避けるだけの落着きを失わなかった。
I was by no means certain that he had noticed the sounds in question ; although, assuredly, a strange alteration had, during the last few minutes, taken place in his demeanor.	彼の挙動にはたしかにこの数分間に奇妙な変化が起っていたけれども、例の物音に気づいているとは思われなかった。
From a position fronting my own, he had gradually brought round his chair, so as to sit with his face to the door of the chamber ;	彼は私に向きあった位置から、その部屋の扉の方に顔を向けて腰をかけられるように、少しずつ椅子をまわしていた。
and thus I could but partially perceive his features,	だから私にはほんの一部分しか彼の顔が見えなかった。
although I saw that his lips trembled as if he were murmuring inaudibly.	ただ聞きとれないほど低く呟いてでもいるように唇（くちびる）が震えているのが見えた。
His head had dropped upon his breast	頭は胸のところへうなだれていたが、
- yet I knew that he was not asleep, from the wide and rigid opening of the eye as I caught a glance of it in profile.	横顔をちらりと見ると眼は大きくしっかり見開いているので、眠っているのではないことがわかった。
The motion of his body, too, was at variance with this idea	体を動かしているということも、眠っているという考えとは相容（あいい）れないものであった。
- for he rocked from side to side with a gentle yet constant and uniform sway.	――静かに、しかし絶えず同じ調子で、体を左右にゆすっているのである。
Having rapidly taken notice of all this, I resumed the narrative of Sir Launcelot, which thus proceeded:	すばやくこれだけのことをみんな見てとってから、私はラーンスロット卿の物語を読みつづけたが、それは次のようであった。――
"And now, the champion, having escaped from the terrible fury of the dragon, bethinking himself of the brazen shield, and of the breaking up of the enchantment which was upon it, removed the carcass from out of the way before him, and approached valorously over the silver pavement of the castle to where the shield was upon the wall ;	「かくて今や竜の恐ろしき怒りをまぬかれたる戦士は、かの真鍮の楯を思い浮べ、そが上にしるされたる妖術（ようじゅつ）を解かんとて、竜の骸（むくろ）を道より押しのけ、勇を鼓して館（やかた）の白銀の床を踏み、楯のかかれる壁へ近づきけるに、
which in sooth tarried not for his full coming, but fell down at his feet upon the silver floor, with a mighty great and terrible ringing sound."	楯はまことに彼の来たり取るを待たずして、そが足もとの白銀の床の上に、いとも大いなる恐ろしく鳴りひびく音をたてて落ち来たりぬ」
No sooner had these syllables passed my lips, than	この言葉が私の唇から洩（も）れるや否（いな）や
- as if a shield of brass had indeed, at the moment, fallen heavily upon a floor of silver	――まるでほんとうに真鍮の楯がそのとき銀の床の上に轟然（ごうぜん）と落ちたかのように
- I became aware of a distinct, hollow, metallic, and clangorous, yet apparently muffled reverberation.	――はっきりした、うつろな、金属性の、鏘然（そうぜん）たる、しかし明らかになにか押し包んだような反響が聞えたのだ。
Completely unnerved, I leaped to my feet ;	私はまったく度胆（どぎも）をぬかれて跳び上がった。
but the measured rocking movement of Usher was undisturbed.	がアッシャーの規則的な体をゆする運動は少しも乱れなかった。
I rushed to the chair in which he sat.	私は彼のかけている椅子のところへ駆けよった。
His eyes were bent fixedly before him, and throughout his whole countenance there reigned a stony rigidity.	彼の眼はじっと前方を見つめていて、顔面には石のように硬（こわ）ばった表情がみなぎっていた。
But, as I placed my hand upon his shoulder, there came a strong shudder over his whole person ;	しかし、私が手を肩にかけると、彼の全身にはげしい戦慄（せんりつ）が起った。
a sickly smile quivered about his lips ;	陰気な微笑が彼の唇のあたりで震えた。
and I saw that he spoke in a low, hurried, and gibbering murmur, as if unconscious of my presence.	そしてまるで私のいるのを知っていないかのように、低く、早口に、とぎれとぎれに呟いているのを私は見た。
Bending closely over him, I at length drank in the hideous import of his words.	ぴったりと彼の上に身をかがめて、やっと私は彼の言葉の恐ろしい意味を夢中に聞きとった。
"Not hear it ?	「聞えない？
- yes, I hear it, and _have_ heard it.	――いや、聞える、前から［＃「前から」に傍点］聞えていたのだ。
Long - long - long - many minutes, many hours, many days, have I heard it	長い――長い――長いあいだ――何分も、何時間も、幾日も、前から聞えていたのだ、
- yet I dared not - oh, pity me, miserable wretch that I am !	――が僕には――おお、憐（あわ）れんでくれ、なんと惨（みじ）めなやつだ！
- I dared not - I _dared_ not speak !	――僕には――僕には思いきって［＃「思いきって」に傍点］言えなかったんだ！
_We have put her living in the tomb !_	僕たちは彼女を生きながら墓のなかへ入れてしまったのだ！
Said I not that my senses were acute ?	［＃「僕たちは彼女を生きながら墓のなかへ入れてしまったのだ」に傍点］　僕の感覚が鋭敏なことは前に言ったろう？
I _now_ tell you that I heard her first feeble movements in the hollow coffin.	いまこそ［＃「いまこそ」に傍点］言うが、僕にはあの棺のなかで彼女が最初にかすかに動くのが聞えた。
I heard them - many, many days ago - yet I dared not - _I dared not speak !_	幾日も、幾日も前に――聞えたのだ、――だが僕には――僕には思いきって言えなかった［＃「思いきって言えなかった」に傍点］のだ！
And now - to-night - Ethelred - ha ! ha !	そしていま――今夜――エセルレッドか――は！
- the breaking of the hermit's door, and the death-cry of the dragon, and the clangor of the shield !	――隠者の家の戸の破れる音、そして竜の断末魔の叫び、それから楯の鳴りひびく音か！
- say, rather, the rending of her coffin, and the grating of the iron hinges of her prison, and her struggles within the coppered archway of the vault !	――それよりも、こう言ったほうがいい、彼女の棺のわれる音と、あの牢獄の鉄の蝶番の軋る音と、彼女が窖（あなぐら）の銅張りの拱廊のなかでもがいている音、とね！
Oh whither shall I fly ?	おお、どこへ逃げよう？
Will she not be here anon ?	もうすぐ彼女はここへやって来やしないだろうか？
Is she not hurrying to upbraid me for my haste ?	僕の早まった仕業を責めに急いで来るのではないか？
Have I not heard her footstep on the stair ?	階段を上がる彼女の足音が僕には聞えていないのか？
Do I not distinguish that heavy and horrible beating of her heart ?	彼女の心臓の重苦しい恐ろしい動悸（どうき）がわかってはいないのか？
Madman !"	気違いめ！」
- here he sprang furiously to his feet,	――こう言うと彼ははげしく跳び上がった。
and shrieked out his syllables, as if in the effort he were giving up his soul	そして死にそうなくらいの努力で一語一語をしぼり出した。
- "_Madman !	――「気違いめ！［＃「気違いめ」に傍点］
I tell you that she now stands without the door !_"	彼女はいまその扉の外に立っているのだぞ［＃「彼女はいまその扉の外に立っているのだぞ」に傍点］」
As if in the superhuman energy of his utterance there had been found the potency of a spell	彼の言葉の超人間的な力にまるで呪文（じゅもん）の力でもひそんでいたかのように
- the huge antique pannels to which the speaker pointed, threw slowly back, upon the instant, their ponderous and ebony jaws.	――彼の差したその大きい古風な扉の鏡板は、たちまち、その重々しい黒檀（こくたん）の口をゆっくりうしろの方へと開いた。
It was the work of the rushing gust	それは吹きこむ疾風の仕業だった、
- but then without those doors there _did_ stand the lofty and enshrouded figure of the lady Madeline of Usher.	――がそのとき扉のそとにはまさしく［＃「まさしく」に傍点］、背の高い、屍衣（きょうかたびら）を着た、アッシャー家のマデリン嬢の姿が立っていたのである。
There was blood upon her white robes, and the evidence of some bitter struggle upon every portion of her emaciated frame.	彼女の白い着物には血がついていて、その痩（や）せおとろえた体じゅうには、はげしくもがいたあとがあった。
For a moment she remained trembling and reeling to and fro upon the threshold	しばらくのあいだは、彼女は閾（しきい）のところでぶるぶる震えながら、あちこちとよろめいていた。
- then, with a low moaning cry, fell heavily inward upon the person of her brother, and in her violent and now final death-agonies, bore him to the floor a corpse, and a victim to the terrors he had anticipated.	――それから、低い呻（うめ）き声をあげて、部屋のなかの方へと彼女の兄の体にばったりと倒れかかり、はげしい断末魔の苦悶（くもん）のなかに彼をも床の上へ押し倒し、彼は死体となって横たわり、前もって彼の予想していた恐怖の犠牲となったのであった。
From that chamber, and from that mansion, I fled aghast.	その部屋から、またその屋敷から、私は恐ろしさで夢中になって逃げ出した。
The storm was still abroad in all its wrath as I found myself crossing the old causeway.	古い土手道を走っているのに気がついたときには、嵐はなおも怒りくるって吹きすさんでいた。
Suddenly there shot along the path a wild light,	とつぜん、道に沿うてぱっと異様な光がさした。
and I turned to see whence a gleam so unusual could have issued ; for the vast house and its shadows were alone behind me.	私の背後にはただ大きな家とその影とがあるだけであったから、そのようなただならぬ光がどこから来るのかを見ようと思って私は振りかえってみた。
The radiance was that of the full, setting, and blood-red moon,	その輝きは、沈みゆく、血のように赤い、満月の光であった。
which now shone vividly through that once barely-discernible fissure, of which I have before spoken as extending from the roof of the building, in a zigzag direction, to the base.	月はいま、その建物の屋根から電光形に土台までのびていると前に言った、以前はほとんど眼につかぬくらいだったあの亀裂（きれつ）をとおして、ぎらぎらと輝いているのであった。
While I gazed, this fissure rapidly widened	じっと見ているうちに、この亀裂は急速に広くなった。
- there came a fierce breath of the whirlwind	――一陣の旋風がすさまじく吹いてきた。
- the entire orb of the satellite burst at once upon my sight	――月の全輪がこつぜんとして私の眼前にあらわれた。
- my brain reeled as I saw the mighty walls rushing asunder	――巨大な壁が真っ二つに崩れ落ちるのを見たとき、私の頭はぐらぐらとした。
- there was a long tumultuous shouting sound like the voice of a thousand waters	――幾千の怒濤（どとう）のひびきのような、長い、轟々（ごうごう）たる、叫ぶような音が起った。
- and the deep and dank tarn at my feet closed sullenly and silently over the fragments of the "_House of Usher_."	――そして、私の足もとの、深い、どんよりした沼は、「アッシャー家［＃「アッシャー家」に傍点］」の破片を、陰鬱（いんうつ）に、音もなく、呑（の）みこんでしまった。
