The Stock-Broker's Clerk	株式仲買店々員
where they gave you enough work to do to prevent your going to London,	そうしてあなたがロンドンへ行かないように、そこであなたに仕事をやらせたわけです。
where you might have burst their little game up.	けれどあなたは彼等のたくらみを見破ることが出来たんです。
That is all plain enough.''	――からくりの全部はこうなんですよ」
``But why should this man pretend to be his own brother?''	「けれどなんだってこの男は、兄弟に化けたりなんかする必要があったんでしょう？」
``Well, that is pretty clear also.	「なるほど、それは分かりきってますよ。
There are evidently only two of them in it.	この事件には、判然と、人間は二人いるきりです。
The other is impersonating you at the office.	一方では、モーソンの事務所で、あなたの代りになっています。
This one acted as your engager,	それからこっちのほうでは、あなたの雇主として活躍したわけです。
and then found that he could not find you an employer without admitting a third person into his plot.	ところが、あなたを雇うのに、誰か第三者を彼のこの計画の中に入れて、その人にあなたを推薦させないでは工合が悪るかったのです。
That he was most unwilling to do.	けれど第三者を中に入れることは、いやだったんですよ。
He changed his appearance as far as he could, and trusted that the likeness, which you could not fail to observe, would be put down to a family resemblance.	そこで彼は出来るだけ自分の容貌をかえたんですね、そしてそれでもまだ似ている所は、あなたも見破れなかったように、兄弟だから似ているのだと云うように思わせてしまったのです。
But for the happy chance of the gold stuffing, your suspicions would probably never have been aroused.''	しかし不幸なことに、金の入れ歯で、あなたに疑いを起されたのです」
Hall Pycroft shook his clenched hands in the air.	ホール・ピイクロフトは拳を空中に振り上げた。
``Good Lord!''	「有難いぞ！」
he cried,	彼は叫んだ。
``while I have been fooled in this way, what has this other Hall Pycroft been doing at Mawson's?	「私がこんな馬鹿を見ている間に、もう一人のホール・ピイクロフトはモウソンの事務所で働いていたんだ！
What should we do, Mr. Holmes?	ホームズさん、私たちはどうしましょう。
Tell me what to do.''	どうか話して下さい」
``We must wire to Mawson's.''	「モウソンの所へ手紙をやるのですね」
``They shut at twelve on Saturdays.''	「土曜日は十二時に店をしめちまうんです」
``Never mind.	「大丈夫です、
There may be some door-keeper or attendant -- ''	誰か門番かでなければ留守番がいるでしょう――」
``Ah, yes,	「ええいます。
they keep a permanent guard there on account of the value of the securities that they hold.	――いろんな株券だとか保証金だとかがありますから、いつも番人がおいてあります。
I remember hearing it talked of in the City.''	そんなことをちょっと耳にしてたように記憶してます」
``Very good,	「好都合だ。
we shall wire to him and see if all is well,	モウソンに手紙をやりましょう。
and if a clerk of your name is working there.	そして変り事はないか、またあなたの名前を使ってる事務員がそこで働いているかどうかきき合せましょう。
That is clear enough,	それでこの事はハッキリします。
but what is not so clear is why at sight of us one of the rogues should instantly walk out of the room and hang himself.''	けれどハッキリしないのは、なぜこの悪漢が、私たちを見た瞬間部屋から逃げ出していって、首をくくったかと云うことです」
``The paper!''	「新聞」
croaked a voice behind us.	私たちの後ろで声がした。
The man was sitting up, blanched and ghastly,	その男は真蒼な顔をして薄気味悪い顔をして起き上っていた。
with returning reason in his eyes, and hands which rubbed nervously at the broad red band which still encircled his throat.	彼の目はたしかに生き返ったらしい光りを見せながら、まだ彼の喉にまいてある巾広の赤色のバンドを彼はいじくっていた。
``The paper!	「新聞！
Of course!''	そうだ！」
yelled Holmes in a paroxysm of excitement.	ホームズはひどく昂奮して喚くように云った。
``Idiot that I was!	「俺はなんて阿呆なんだ！
I thought so much of our visit that the paper never entered my head for an instant.	ここの事件ばかりに気をとられていて、新聞のことはちっとも頭に這入って来なかった。
To be sure, the secret must lie there.''	――たしかにそこに何か秘密があるに違いない」
He flattened it out upon the table,	彼はテエブルの上に新聞をひろげた。
and a cry of triumph burst from his lips.	と、彼の唇からは、勝誇ったような叫び声がとび出した。
``Look at this, Watson,''	「これを見たまえ、ワトソン」
he cried.	彼は叫んだ。
``It is a London paper,	「ロンドンの新聞だ。
an early edition of the Evening Standard.	イブニング・スタンダードの早出しだ。
Here is what we want.	ここに僕たちの知りたいと思ってたことが出ている。
Look at the headlines:	頭の仕事を見たまえ。
`Crime in the City.	――『市中の犯罪、
Murder at Mawson & Williams's.	モウソン・ウィリアム会社の殺人。
Gigantic Attempted Robbery.	巨怪なる強盗の襲来。
Capture of the Criminal.'	犯人の逮捕』
Here, Watson, we are all equally anxious to hear it,	――ワトソン、みんなそれを知りたいんだ。
so kindly read it aloud to us.''	すまないが声を立てて読んでくれたまえ」
It appeared from its position in the paper to have been the one event of importance in town,	それは都会における重大事件の一つとして、新聞の報導記事に取扱ってあった。
and the account of it ran in this way:	そしてその記事は次のように書かれていた。
``A desperate attempt at robbery, culminating in the death of one man and the capture of the criminal, occurred this afternoon in the City.	――本日午後当市において、兇暴なる強盗現れ、人一人殺害したるも、犯人は捕縛せられたり。
For some time back Mawson & Williams, the famous financial house, have been the guardians of securities which amount in the aggregate to a sum of considerably over a million sterling.	有名なる仲買店モウソン・ウィリアム会社には、常に百万磅（ポンド）以上に相当する株券、債券、あるいは保証金などのあるため、番人を常備しありたる上、
So conscious was the manager of the responsibility which devolved upon him in consequence of the great interests at stake that safes of the very latest construction have been employed, and an armed watchman has been left day and night in the building.	支配人は用心深く、彼が負わされているそれらの重用物件のために、最新式の金庫を数個用意し、その上ビルディング内には、昼夜の別なく見張人を残しありたるなり。
It appears that last week a new clerk named Hall Pycroft was engaged by the firm.	ちょうど先週より、事務所に雇われたるホール・ピイクロフトと云う、新しき書記現れたり。
This person appears to have been none other than Beddington, the famous forger and cracksman,	この男こそ、かの有名なる偽造者にして強盗犯人たるベディッグトン以外の何者でもなかりしなり。
who, with his brother, has only recently emerged from a five years' spell of penal servitude.	彼は彼の兄弟と共に、最近五年間の牢獄生活より出たるばかりの男。
By some means, which are not yet clear, he succeeded in winning, under a false name, this official position in the office,	しかるにいかなる方法にてか、その方法は未だに不明なるも、偽名を用いてうまうまと事務所の事務員の位置をかち得たるなり。
which he utilized in order to obtain mouldings of various locks, and a thorough knowledge of the position of the strongroom and the safes.	そは事務所内のあらゆる鍵の合鍵と、堅固なる部屋と金庫のある位置とに関しての知識を得んがために、利用したるなり。
'' It is customary at Mawson's for the clerks to leave at midday on Saturday.	モウソンの事務所にては、土曜日は事務員たちは半日にて帰ることを習慣となせり。
Sergeant Tuson, of the City police, was somewhat surprised, therefore, to see a gentleman with a carpet-bag come down the steps at twenty minutes past one.	しかるに一時二十分すぎに、一人の紳士、革の袋を持ちて事務所の階段を下り来たるを見て、市内の巡視のテュウソン巡査部長は少なからず不審に思い、疑いを起こしたり。
His suspicions being aroused, the sergeant followed the man, and with the aid of Constable Pollock succeeded, after a most desperate resistance, in arresting him.	すなわち部長はその男を尾行し、巡査の応援を得て、兇猛なる格闘の後彼を捕縛することに成功せり。
It was at once clear that, a daring and gigantic robbery had been committed.	大胆なる兇賊の犯罪を行いて来たりたることに間違いはなかりき。
Nearly a hundred thousand pounds' worth of American railway bonds, with a large amount of scrip in mines and other companies, was discovered in the bag.	その袋の中よりは、十万磅（ポンド）に近き価格のあるアメリカの鉄道の社債やその他巨額の、炭鉱あるいは諸会社の株券などが発見せられたり。
On examining the premises the body of the unfortunate watchman was found doubled up and thrust into the largest of the safes,	また事務所内を調べたる所、気の毒なる見張人の惨殺されたる死体が、最大の金庫内に投げ込まれありたるを発見せり。
where it would not have been discovered until Monday morning had it not been for the prompt action of Sergeant Tuson.	もしテュウソン部長のこの勇敢なる行為なかりせば、その死体は月曜の朝まで発見さるることなかりしなり。
The man's-skull had been shattered by a blow from a poker delivered from behind.	――見張人の頭骸骨は、背後より加えられし、火掻棒ようのものの一撃によってめちゃめちゃとなりおりたり。
There could be no doubt that Beddington had obtained entrance by pretending that he had left something behind him, and having murdered the watchman, rapidly rifled the large safe, and then made off with his booty.	ベディックトン［＃「ベディックトン」は底本では「ベディックドン」］は入口を、何か忘れ物をしたと云う口実にて通りたるに相違なく、しかして見張人を殺害し、手早く最大の金庫を開らきて、中の目ぼしきものを持ち去りたるに相違なきなり。
His brother, who usually works with him, has not appeared in this job as far as can at present be ascertained, although the police are making energetic inquiries as to his whereabouts. ``	常に彼と共に犯罪を行うを習慣としたる彼の兄弟は、この犯行には現れることなく、警察にて彼の行衛（ゆくえ）について極力捜査中なるも、現在未だに不明なり。――
``Well, we may save the police some little trouble in that direction,''	「そうだ、僕たちはその行衛について、幾らでも警察を助けてやることが出来るのだ」
said Holmes, glancing at the haggard figure huddled up by the window.	と、ホームズは、窓ぎわに目ばかり光らせているその男を見やりながら云った。
``Human nature is a strange mixture, Watson.	「人間の性質と云うものは不思議に入り組んだものだ。
You see that even a villain and murderer can inspire such affection that his brother turns to suicide when he learns that his neck is forfeited.	君は、強盗や人殺しでさえも、彼の兄弟の首に縄がかかったと云うことを知って、自殺する気になるほどな肉親の愛情を起こすものであることが、分かったろう。
However, we have no choice as to our action.	しかしもう私たちは私たちの行動について躊躇しなくてもよい。
The doctor and I will remain on guard, Mr. Pycroft, if you will have the kindness to step out for the police.''	私とワトソンとはこの男の番をしてますから、ピイクロフトさん、あなたはどうか警察へこのことを知らせにいって下さいませんか」
