A DOG OF FLANDERS	フランダースの犬
but nevertheless a certain vague, sweet hope, such as beguiles the children of genius, had whispered in his heart,	それにもかかわらず、よく天才少年の心がとらえられる、ある漠然とした、甘い希望がネロの心の中にささやきました。
"Yet the poor do choose sometimes	「貧乏人だった、時々は選ぶことができる。
--choose to be great, so that men cannot say them nay."	だれからも『だめだ』などと言われないように偉くなることを選ぶことだってできるはずだ。」
And he thought so still in his innocence;	ネロは今でも無邪気にそう思っていました。
and one day, when the little Alois, finding him by chance alone among the corn-fields by the canal,	ある日、アロアは運河のそばのトウモロコシ畑でネロが一人でいるところをたまたま見つけると、ネロに駆け寄ってきました。
ran to him and held him close, and sobbed piteously	そして、ネロをかたく抱きしめ、はげしく泣きました。
because the morrow would be her saint's day, and for the first time in all her life her parents had failed to bid him	というのは、明日はアロアの名前にゆかりのある聖徒祭の日でした（ヨーロッパでは、日本の誕生日のようにこの日を祝う）が、アロアの両親はこんどはじめてネロを招待しないことにしたのです。
to the little supper and romp in the great barns with which her feast-day was always celebrated,	この日は皆に夕食が振る舞われ、粉屋の納屋で子どもたちがはしゃぎまわってアロアの聖徒祭を祝うのでした。
Nello had kissed her and murmured to her in firm faith,	ネロは、アロアにキスして強い信念をもってアロアにつぶやきました。
"It shall be different one day, Alois.	「いつか、将来、きっと状況は変わるよ。
One day that little bit of pine wood that your father has of mine shall be worth its weight in silver;	いつか、アロアのお父さんが持っている小さな松の板の絵が、同じ重さの銀と同じ価値があるようになる日が来るよ。
and he will not shut the door against me then.	そうなれば、お父さんもぼくに対して扉を閉ざしたりすることはないだろう。
Only love me always, dear little Alois;	ただ、いつもぼくを愛していて、アロア。
only love me always,	ただ、いつもぼくを愛していて。
and I will be great."	そうすれば、ぼくは偉大になってみせる。」
"And if I do not love you?"	「じゃあ、もし、わたしがあなたを愛さなかったら？。」
the pretty child asked, pouting a little through her tears, and moved by the instinctive coquetries of her sex.	かわいらしいアロアは、女の子によくありがちなことでしたが、目に涙を浮かべて、ネロの気をひくように、ちょっとすねたように尋ねました。
Nello's eyes left her face and wandered to the distance,	ネロの目はアロアの顔からそれ、遠くをさまよいました。
where, in the red and gold of the Flemish night, the cathedral spire rose.	そこには、真っ赤と金色に染まるフランダース地方の夕焼けの中にそびえる、大聖堂の尖塔がありました。
There was a smile on his face	微笑がネロの顔に浮かびました。
so sweet and yet so sad that little Alois was awed by it.	とてもやさしそうで、けれどもとても悲しそうな笑顔でしたので、アロアは、はっとしました。
"I will be great still,"	「ぼくはそれでも偉大になるよ。」
he said under his breath	ネロはそっと小さな声で言いました。
--"great still, or die,	「それでも偉大になるか、死ぬかだ。
Alois."	アロア。」
"You do not love me,"	「あなたは、私のことなんか愛していないのよ。」
said the little spoiled child, pushing him away;	と、ネロを押しのけて、小さい駄駄っ子は言いました。
but the boy shook his head and smiled, and went on his way through the tall yellow corn,	けれども、ネロを首を振って微笑みながら高い黄色く色づいたトウモロコシ畑を歩いて行きました。
seeing as in a vision some day in a fair future	ネロは、こんな空想をしながら歩いていたのです。
when he should come into that old familiar land and ask Alois of her people,	いつか、遠い将来、ネロは故郷に戻ってきて、アロアの両親にアロアをお嫁さんにもらいたいと申し込むんだ。
and be not refused or denied, but received in honour;	すると、断られたりせずに、喜んで受け入れてもらえる。
while the village folk should throng to look upon him and say in one another's ears,	一方、村人は、みんなぼくを見ようとして群がってきて、互いにこう話している。
"Dost see him?	「あの男を見たかね？
He is a king among men;	あの男は、まるで王様のようなものだ。
for he is a great artist and the world speaks his name;	何と言っても彼は偉大な芸術家で、世界中に名前が響きわたっているのだから。
and yet he was only our poor little Nello,	けれども、あの男は、昔は貧しいあのネロ少年だったんだよ。
who was a beggar, as one may say, and only got his bread by the help of his dog."	乞食同然で、飼い犬に助けられてやっと食べていけた、あの子なんだよ。」
And he thought how he would fold his grandsire in furs and purples, and portray him as the old man is portrayed in the Family in the chapel of St. Jacques;	そして、おじいさんには毛皮のついた、紫色の服を着せてあげて、聖ヤコブ教会の礼拝堂にある、「聖家族」の肖像画みたいな絵を描こう。
and of how he would hang the throat of Patrasche with a collar of gold, and place him on his right hand,	それから、パトラッシュには、金の首輪をかけてやって、右側に座らせるんだ。
and say to the people,	そして、みんなにこう言うんだ。
"This was once my only friend;"	「かつては、この犬がわたしのただ一人の友だちでした。」
and of how he would build himself a great white marble palace, and make to himself luxuriant gardens of pleasure, on the slope looking outward to where the cathedral spire rose,	それから、大聖堂の尖塔がそびえて見えるあの丘の斜面の上に、大きい白い大理石の宮殿を建てて、すばらしく華やかな庭園を造ろう。
and not dwell in it himself, but summon to it, as to a home, all men young and poor and friendless, but of the will to do mighty things;	でも、自分で住むのではなくて、何か立派なことをしたいと思っている、貧しくて友人のない若者たちを呼び寄せて住まわせてあげるんだ。
and of how he would say to them always, if they sought to bless his name,	そして、若者たちがぼくを賛美しようとしたら、いつもこう言うんだ。
"Nay, do not thank me--thank Rubens.	「いや、感謝するならぼくにではなく、ルーベンスにこそ感謝してください。
Without him, what should I have been?"	ルーベンスがいなかったら、ぼくはどうなっていたか、分からないんだから。」
And these dreams--beautiful, impossible, innocent, free of all selfishness, full of heroical worship--were so closely about him as he went	こうした美しい、とても実現できそうもない、けれども無邪気で自分の欲を離れた、ただただルーベンスへの英雄的なあこがれに満ちた夢は、歩いているとき、ネロはとても身近に感じていました。
that he was happy--happy even on this sad anniversary of Alois's saint's day,	悲しいアロアの聖徒祭の日でさえ、ネロは幸せでいられました。
when he and Patrasche went home by themselves to the little dark hut and the meal of black bread,	その日、ネロとパトラッシュは二人きりで小さい、暗い小屋に帰り、黒パンの夕飯をとりました。
while in the mill-house all the children of the village sang and laughed, and ate the big round cakes of Dijon and the almond gingerbread of Brabant,	一方、粉屋には、村中の子どもたちが歌ったり笑ったり、ディジョンの丸い大きなお菓子や、ブラバントのアーモンド入りのしょうがパンを食べたりしました。
and danced in the great barn to the light of the stars and the music of flute and fiddle.	そして、大きな納屋の中で星の光に照らされて、フルートやバイオリンの音楽と一緒に踊ったりしていました。
"Never mind, Patrasche,"	「気にすることはないよ、パトラッシュ。」
he said, with his arms round the dog's neck, as they both sat in the door of the hut,	ネロはパトラッシュと二人で小屋の戸口に座って、犬の首を抱きしめてそう言いました。
where the sounds of the mirth at the mill came down to them on the night air;	粉屋の家のにぎやかなお祝いの音が、夜風に乗って小屋まで聞こえてきました。
"never mind.	「気にすることはないんだ。
It shall all be changed by-and-by."	未来は変わるんだから。」
He believed in the future;	ネロは、未来を深く信じきっていました。
Patrasche, of more experience and of more philosophy, thought that the loss of the mill supper in the present was ill compensated by dreams of milk and honey in some vague hereafter.	ネロよりもっと人生経験を積んできて、世の中というものをもっと達観して見ていたパトラッシュは、今日招かれなかった粉屋のごちそうは、将来の実現するかどうかも分からないミルクやはち蜜の夢では埋め合わせできるものではない、と思いました。
And Patrasche growled whenever he passed by Baas Cogez.	だから、パトラッシュは、コゼツのだんなの家のそばを通り過ぎるときは、いつも吠えるのでした。
"This is Alois's name-day, is it not?"	「今日はアロアにゆかりの深い聖徒祭じゃないか。」
said the old man Daas that night, from the corner where he was stretched upon his bed of sacking.	その晩小屋の隅っこのベッドに横たわっていたジェハンじいさんは言いました。
The boy gave a gesture of assent;	少年は、そうだという身振りをしました。
he wished that the old man's memory had erred a little, instead of keeping such sure account.	ネロは、おじいさんがそんなにちゃんと憶えてなくて、記憶がもっとあやふやだったらいいのに、と思いました。
"And why not there?"	「じゃあ、なぜ行かないのかね？
his grandfather pursued.	今まで一度だって呼ばれなかったことはなかったじゃろ、ネロや。」
"Thou hast never missed a year before, Nello."	おじいさんは、追求しました。
"Thou art too sick to leave,"	「おじいさんがこんなのに、行けないよ」
murmured the lad, bending his handsome head over the bed.	とネロはベッドの上で格好のいい頭を傾けてつぶやきました。
"Tut! tut!	「いや、いや、！
Mother Nulette would have come and sat with me,	ヌレットのおばさんが来て、一緒にいてくれるよ。
as she does scores of times.	今までだって何度もそうしてくれたんじゃから。
What is the cause, Nello?"	一体何があったんだね、ネロや？
the old man persisted.	けんかでもしたんじゃあるまいな？」
"Thou surely hast not had ill words with the little one?"	と老人はしつこつたずねました。
"Nay, grandfather, never,"	「いや、ぜったいそんなことないよ」
said the boy quickly, with a hot colour in his bent face.	と、少年はうつむけた顔を真っ赤にしながら答えました。
"Simply and truly, Baas Cogez did not have me asked this year.	「本当のこと言うと、コゼツのだんなが今年は呼んでくれなかったんだ。
He has taken some whim against me."	コゼツのだんなは、ぼくに対して何か怒っているみたいなんだ。」
"But thou hast done nothing wrong?"	「でも、何にも悪いことはしとらんのじゃろ？」
"That I know--nothing.	「うん、何もしてないよ。
I took the portrait of Alois on a piece of pine;	ただ、松の板にアロアの肖像を描いてただけなんだ。
that is all."	それだけなんだ。」
"Ah!"	「ああ！そうか。」
The old man was silent;	老人は黙ってしまいました。
the truth suggested itself to him with the boy's innocent answer.	少年の純真な答えから、事情がおじいさんにはのみこめました。
He was tied to a bed of dried leaves in the corner of a wattle hut, but he had not wholly forgotten what the ways of the world were like.	おじいさんは、今でこそぼろ小屋の隅っこで乾燥した木の葉っぱをしきつめたベッドに寝たきりになっていますが、世間のやり方がどんなものか、完全に忘れた訳ではありませんでした。
He drew Nello's fair head fondly to his breast with a tenderer gesture.	おじいさんは、いつもより優しい身振りでネロの金髪の頭を、彼の胸に抱き寄せました。
"Thou art very poor, my child,"	「おまえは、ひどくまずしいんじゃ」
he said, with a quiver the more in his aged, trembling voice;	と、震える声でジェハンじいさんはいいました。
"so poor!	「かわいそうに！
It is very hard for thee."	どんなにつらかろう。」
"Nay, I am rich,"	「ううん、ぼくは豊かだよ」
murmured Nello;	と、ネロはつぶやきました。
and in his innocence he thought so;	ネロは無邪気にそう思っていました。
rich with the imperishable powers that are mightier than the might of kings.	王の力より強大な、不滅の力をもつ財宝を持っていると。
And he went and stood by the door of the hut in the quiet autumn night,	ネロは静かな秋の夜に、小屋の戸口にいって、柱によりかかりました。
and watched the stars troop by	そして、星の群れを見上げました。
and the tall poplars bend and shiver in the wind.	高いポプラの木は、風でたわんで揺れていました。
All the casements of the mill-house were lighted, and every now and then the notes of the flute came to him.	粉屋の家の窓は、すべて灯りがともり、時々フルートの音が聞こえてきました。
The tears fell down his cheeks,	涙が頬にこぼれ落ちました。
for he was but a child;	なんといっても、ネロはただの子供に過ぎませんでした。
yet he smiled,	でも、ネロは微笑みました。
for he said to himself,	「未来があるさ！」
"In the future!"	と自分に言い聞かせて。
He stayed there until all was quite still and dark;	ネロは、そこにあたりが静かになり、闇につつまれるまでたたずんでいました。
then he and Patrasche went within and slept together, long and deeply, side by side.	それからネロとパトラッシュは、小屋の中に一緒に入って、並んでぐっすりと眠りました。
Now he had a secret	さて、ネロには、秘密がありました。
which only Patrasche knew.	そのことは、パトラッシュだけしか知りませんでした。
There was a little outhouse to the hut	小屋には小さな離れがありました。
which no one entered but himself--a dreary place,	ネロ以外は誰も入らなかった部屋で、ひどくわびしい場所でした。
but with abundant clear light from the north.	でも、北側からたっぷりと光が入ってきました。
Here he had fashioned himself rudely an easel in rough lumber,	ここにネロは、そまつな板で、適当に画架をつくりました。
and here, on a great gray sea of stretched paper, he had given shape to one of the innumerable fancies which possessed his brain.	そこに大きな灰色の紙を広げて、頭に浮かんだ数えきれないほどの想像のうちの一つつを形にしました。
No one had ever taught him anything;	ネロはこれまで誰にも教わったことはありません。
colours he had no means to buy;	色のついたクレヨンは、ネロには買いようがありませんでした。
he had gone without bread many a time to procure even the few rude vehicles that he had here;	ここにある、わずかな粗末な道具を揃えるのでさえ、ネロは時々食事を抜かなければなりませんでした。
and it was only in black or white that he could fashion the things he saw.	そして、ネロが見たものを形にするのは、ただ白と黒だけでした。
This great figure which he had drawn here in chalk was only an old man sitting on a fallen tree--only that.	彼がクレヨンで描いていたこのすばらしい画は、倒れた木に座っている老人、ただそれだけのものでした。
He had seen old Michel, the woodman, sitting so at evening many a time.	ネロは年をとったきこりのミッシェルが夕方にそうやって座っている姿を、しょっちゅう見たことがありました。
He had never had a soul to tell him of outline or perspective, of anatomy or of shadow;	ネロには、デッサンとか遠近法とか解剖学とか影の描き方といった、絵の技法について教えてくれる人はいませんでした。
and yet he had given all the weary, worn-out age, all the sad, quiet patience, all the rugged, care-worn pathos of his original, and given them so that the old, lonely figure was a poem,	それなのに、年老いて弱々しい木こりの、とても悲しげに、しかし静かに堪え忍んでいるような様子が、あるいはごつごつとしているが疲れ切った様子が、ネロ独特の情念でもって、みごとに描かれていました。
sitting there meditative and alone, on the dead tree, with the darkness of the descending night behind him.	ネロが描いた、暮れゆく秋の夕暮れの暗闇の中で枯れ木に何かもの思いにふけりながら座っている、年老いた孤独な人物の絵は、さながら一編の詩のようでした。
It was rude, of course, in a way, and had many faults, no doubt;	もちろん、絵は荒削りで、いろいろな欠点もありました。
and yet it was real, true in nature, true in art, and very mournful, and in a manner beautiful.	それなのに、その絵は真に迫っていて、とても自然で、芸術的で、そしてとても悲しく、美しかったのです。
Patrasche had lain quiet countless hours watching its gradual creation after the labor of each day was done,	パトラッシュは、毎日の仕事が終わってからネロが作品を少しずつ完成させようとしているのを、数え切れないほどの時間、おとなしく見守ってきました。
and he knew that Nello had a hope	そして、パトラッシュはネロがある望みを抱いていることを知っていました。
--vain and wild perhaps, but strongly cherished	それは、おそらく空しく、荒唐無稽ともいえる望みでしたが、ネロはこの望みを深く胸に秘めていました。
--of sending this great drawing to compete for a prize of two hundred francs a year	それは、この絵を年に二百フランの賞金がもらえるコンクールに出品し、優勝することでした。
which it was announced in Antwerp would be open to every lad of talent, scholar or peasant, under eighteen, who would attempt to win it with some unaided work of chalk or pencil.	このコンクールは、絵の才能のある十八歳以下の若者なら、学生であろうと農民であろうと誰でも参加できることになっていて、提出できる作品は、誰の助けも借りず自分で描き上げたクレヨン画か鉛筆画とされていました。
Three of the foremost artists in the town of Rubens were to be the judges	ルーベンスの町、アントワープで一番有名な三人の画家が審査員でした。
and elect the victor according to his merits.	三人の多数決により優勝作品を決めるのです。
All the spring and summer and autumn Nello had been at work upon this treasure,	春と夏と秋の間中、ネロはこの絵を描き続けました。
which if triumphant, would build him his first step toward independence and the mysteries of the art which he blindly, ignorantly, and yet passionately adored.	もし優勝すれば、暮らしの心配もなくなり、今までめくらめっぽう、ただわけもなく情熱的にあこがれてきた芸術の神秘に、一歩踏み出せるのです。
He said nothing to any one;	ネロは、誰にもこのことを話しませんでした。
his grandfather would not have understood, and little Alois was lost to him.	おじいさんには分からなかったでしょうし、ネロはアロアを失ってしまっていました。
Only to Patrasche he told all, and whispered,	「もしルーベンスがこのことを知っていたら、きっと賞をぼくにくれると思うんだ。」
"Rubens would give it me, I think, if he knew."	とパトラッシュだけに思いのすべてを話しました。
Patrasche thought so too,	パトラッシュもそう思いました。
for he knew that Rubens had loved dogs	なぜなら、パトラッシュはルーベンスは犬が好きだったことを知っていました。
or he had never painted them with such exquisite fidelity;	そうでなかったら、あんなに見事に生き生きと犬の絵を描けなかったでしょう。
and men who loved dogs were, as Patrasche knew, always pitiful.	そして、パトラッシュが知っていたように、犬が大好きな人は、だれでもみな、憐れみ深いものなのです。
The drawings were to go in on the first day of December, and the decision be given on the twenty-fourth,	絵の提出期限は、十二月一日で、賞の発表は二十四日でした。
so that he who should win might rejoice with all his people at the Christmas season.	優勝者が優勝をクリスマスに家族と一緒にお祝いできるよう、こうしていたのでした。
In the twilight of a bitter wintry day, and with a beating heart, now quick with hope, now faint with fear, Nello placed the great picture on his little green milk-cart, and took it, with the help of Patrasche, into the town, and there left it, as enjoined, at the doors of a public building.	ひどく寒い冬の黄昏時に、ネロは時には希望に燃え、時には恐怖で目がくらみそうになりながら、その傑作を緑色の荷車に積み込み、パトラッシュに手伝ってもらって、町に行って、決められたとおり、町の公会堂の入り口にその絵を置いてきました。
"Perhaps it is worth nothing at all.	「この絵は何の価値もないのかも知れない。
How can I tell?"	どうしたら、それがぼくに分かるんだ？」
he thought, with the heart-sickness of a great timidity.	とネロはおどおどと胸を痛めながら思いました。
Now that he had left it there, it seemed to him so hazardous, so vain, so foolish, to dream that he, a little lad with bare feet who barely knew his letters, could do anything at which great painters, real artists, could ever deign to look.	ネロが公会堂に絵を置いた今、ネロは、自分のようなくつ下もはかず、ほとんど文字さえ読めないような少年が、偉大な画家であり、本物の芸術家である審査員が認めてくれるような絵を描けると夢見るなんて、とてもむちゃで途方もなく、ばかげたことのように思えました。
Yet he took heart as he went by the cathedral;	それでも、大聖堂を通り過ぎたとき、ネロは元気を取り戻しました。
the lordly form of Rubens seemed to rise from the fog and the darkness, and to loom in its magnificence before him, while the lips, with their kindly smile, seemed to him to murmur,	ネロには、ルーベンスの偉大な姿が霧と闇の中からぼうっと現れて、くちもとにやさしい笑みを浮かべながら、ネロに向かって次のようにささやいたように思われました。
"Nay, have courage!	「だめだよ、勇気を出しなさい。
It was not by a weak heart and by faint fears that I wrote my name for all time upon Antwerp."	私の名前がアントワープの町に永久に刻まれたのは、わたしが弱気になったり、おどおどとおびえたりしなかったからだよ。」
Nello ran home through the cold night, comforted.	ネロはその言葉に慰められ、寒い夜を家に走って帰ってきました。
He had done his best;	ネロは、最善を尽くしました。
the rest must be as God willed, he thought,	後は神様のおぼしめしだ、とネロは思いました。
in that innocent, unquestioning faith which had been taught him in the little gray chapel among the willows and the poplar-trees.	ヤナギやポプラの木に取り囲まれた小さい灰色の教会で教えられたとおり、ネロは、素直に、何の疑いもなく、神様を信仰していました。
The winter was very sharp already.	きびしい冬がはじまっていました。
That night, after they reached the hut, snow fell, and fell for very many days after that;	その夜二人が小屋に着いたあと、雪が降りはじめ、何日も降りつづきました。
so that the paths and the divisions in the fields were all obliterated, and all the smaller streams were frozen over,	このために、道と畑の区別がよくつかなくなり、小さな小川は凍りつきました。
and the cold was intense upon the plains.	そして、平野中、厳しい寒さにおおわれました。
Then, indeed, it became hard work to go round for the milk while the world was all dark, and carry it through the darkness to the silent town.	そうなると、まだ朝暗いうちからほうぼうを回ってミルクを集め、暗い中を静かな町に向かってミルクを運ぶ仕事は、本当につらい仕事になります。
Hard work, especially for Patrasche,	とりわけ、パトラッシュにとってはそうでした。
for the passage of the years that were only bringing Nello a stronger youth were bringing him old age,	月日が経って、ネロは力強い若者に成長した一方、パトラッシュは年寄りになってしまいました。
and his joints were stiff and his bones ached often.	そして、関節はこわばるし、骨はずきずきと痛みました。
But he would never give up his share of the labour.	しかし、パトラッシュは自分の仕事を絶対にあきらめようとはしませんでした。
Nello would fain have spared him and drawn the cart himself,	ネロはむしろパトラッシュをいたわり、自分だけで荷車を引いていきたかったくらいです。
but Patrasche would not allow it.	しかし、パトラッシュがそれを許しませんでした。
All he would ever permit or accept was the help of a thrust from behind to the truck as it lumbered along through the ice-ruts.	パトラッシュが許し、受け入れたのは、せいぜい氷のわだちの中をガタピシと進むとき、荷車の後ろから後押ししてもらうことだけでした。
Patrasche had lived in harness,	パトラッシュは引き具とともに生きてきました。
and he was proud of it.	そして、パトラッシュはそれを誇りにしていました。
He suffered a great deal sometimes from frost and the terrible roads and the rheumatic pains of his limbs;	パトラッシュは、ときどき霜やひどくぬかるんだ道や、リュウマチによる手足の痛みにとても苦しめられました。
but he only drew his breath hard and bent his stout neck, and trod onward with steady patience.	けれども、パトラッシュはハアハアと息をしながら、たくましい首をまげ、あくまでも忍耐強く、前へ前へと歩いていきました。
"Rest thee at home, Patrasche;	「パトラッシュ、家で休んでいたらどうだい？
it is time thou didst rest,	もうお前は休息をとる時期だよ。
and I can quite well push in the cart by myself,"	それに、ぼく一人で十分荷車を引くことができるよ。」
urged Nello many a morning;	とネロはよくパトラッシュに休むようすすめました。
but Patrasche, who understood him aright, would no more have consented to stay at home than a veteran soldier to shirk when the charge was sounding;	パトラッシュは、ネロが何をいっているか、分かっていましたが、歴戦の兵士が進軍ラッパが鳴ったとき、しりごみしないように、けっして家でじっとしてようとはしませんでした。
and every day he would rise and place himself in his shafts, and plod along over the snow through the fields that his four round feet had left their print upon so many, many years.	そして、毎朝パトラッシュは起きるとかじ棒に体を入れ、長い長い間四本の足で無数の足あとをつけてきた雪の積もった平原を、とぼとぼと歩いていくのでした。
"One must never rest till one dies,"	「死ぬまで休んじゃいけない。」
thought Patrasche;	とパトラッシュは思いました。
and sometimes it seemed to him that that time of rest for him was not very far off.	けれども、時々、もう休む時がそう遠くないように思われることがありました。
His sight was less clear than it had been,	彼の目は昔ほどよく見えないようになっていました。
and it gave him pain to rise after the night's sleep, though he would never lie a moment in his straw when once the bell of the chapel tolling five let him know that the daybreak of labor had begun.	それに、教会の鐘が五時を告げて、夜明けの労働がはじまることを知らせた時、パトラッシュはわらの寝床からぱっと飛び起きていましたが、今では夜寝た後、起きあがることがつらくなってきていました。
"My poor Patrasche,	「パトラッシュや、かわいそうにな。
we shall soon lie quiet together, you and I,"	わしたちは二人とも、もうすぐ静かに休むことになるだろうよ。」
said old Jehan Daas, stretching out to stroke the head of Patrasche with the old withered hand	と、年老いたジェハンじいさんは言って、しわだらけの手でパトラッシュの頭をなでてやりました。
which had always shared with him its one poor crust of bread;	その手は、いつもパトラッシュと粗末なパンをかけらを分け合ってきた手でした。
and the hearts of the old man and the old dog ached together with one thought:	そして、老人と老犬の心は、同じ思いに胸を痛めていました。
When they were gone who would care for their darling?	二人が去ったあと、誰が愛しいネロのことを面倒みてくれるのだろうかと。
One afternoon, as they came back from Antwerp over the snow,	雪の中、アントワープからの帰り道のことでした。
which had become hard and smooth as marble over all the Flemish plains,	雪は、フランダース地方の平野を、まるで大理石のように固くなめらかにしていました。
they found dropped in the road a pretty little puppet, a tambourine player,	そこで、二人はタンバリン奏者の格好をした小さな人形を拾いました。
all scarlet and gold, about six inches high,	赤色と金色の服を着て、高さは１５センチほどでした。
and, unlike greater personages when Fortune lets them drop, quite unspoiled and unhurt by its fall.	高い地位にある人が運から見失われて転落した場合と違って、この人形は転落してもまったくよごれておらず、傷もついていませんでした。
It was a pretty toy.	それは、かわいらしいおもちゃでした。
Nello tried to find its owner, and, failing,	ネロは持ち主を探そうとしましたが、どうしても見つかりませんでした。
thought that it was just the thing to please Alois.	ネロは、それなら、アロアにあげて喜ばせてあげよう、と思いました。
It was quite night when he passed the mill-house;	ネロが粉屋を通り過ぎたときは、もう夜遅い時間でした。
he knew the little window of her room;	ネロは、アロアの部屋の小さな窓をよく知っていました。
it could be no harm, he thought, if he gave her his little piece of treasure-trove	持ち主の分からない小さな人形を、アロアにあげることは、何も悪いことではない、とネロは思いました。
--they had been play-fellows so long.	なにしろアロアとはずっと長い間遊び仲間だったのですから。
There was a shed with a sloping roof beneath her casement;	アロアの部屋の窓の下には、傾いた屋根のある小屋がありました。
he climbed it and tapped softly at the lattice;	ネロは、ここによじ上り、窓格子をそっとたたきました。
there was a little light within.	室内には、小さな灯りがともっていました。
The child opened it and looked out half frightened.	アロアは窓を開け、半ばおびえながら外を見ました。
Nello put the tambourine player into her hands.	ネロは、タンバリン奏者の人形を彼女の手に入れました。
"Here is a doll I found in the snow, Alois.	「アロア、この人形、雪の中で見つけたんだ。
Take it,"	アロアにあげるよ。
he whispered;	アロアに神様のお恵みがありますように！」
"take it, and God bless thee, dear!"	とネロがささやきました。
He slid down from the shed roof before she had time to thank him, and ran off through the darkness.	アロアがお礼を言う間もなく、ネロはすばやく屋根から降り、暗闇の中を走り去っていきました。
That night there was a fire at the mill.	その晩、粉屋で火事がありました。
Out-buildings and much corn were destroyed,	外の建物ととうもろこしの多くが焼けました。
although the mill itself and the dwelling-house were unharmed.	けれども、風車小屋と家は無傷でした。
All the village was out in terror,	村中みな家の外に出て、火事にびっくりしてしまいました。
and engines came tearing through the snow from Antwerp.	そして、消防車が雪の中、アントワープから駆けつけてきました。
The miller was insured, and would lose nothing;	粉屋は、保険をかけていたので、何も損はしませんでした。
nevertheless, he was in furious wrath, and declared aloud that the fire was due to no accident, but to some foul intent.	けれども、彼はものすごく怒って、火は事故ではなく、誰かの悪意による放火だ、と大声で決めつけました。
Nello, awakened from his sleep, ran to help with the rest.	ネロは、眠りから覚めて、他の人たちと一緒に消火の手伝いにいきました。
Baas Cogez thrust him angrily aside.	コゼツのだんなは、怒って彼を押しのけました。
"Thou wert loitering here after dark,"	「おまえは日が暮れてからこのへんをうろついていたな。
he said roughly.	おまえは、他の誰よりも今度の火事のことを知っているはずだ。」
"I believe, on my soul, that thou dost know more of the fire than any one."	と、コゼツのだんなは、荒々しく言いました。
Nello heard him in silence, stupefied,	ネロは茫然として、返事もできませんでした。
not supposing that any one could say such things except in jest,	そんなこと、冗談でなければ言えるはずがない。
and not comprehending how any one could pass a jest at such a time.	けれど、こんな時に、どうして冗談が言えるんだろうかと思って、訳が分からなかったのです。
Nevertheless, the miller said the brutal thing openly to many of his neighbours in the day that followed;	それにもかかわらず、粉屋は次の日以降も、おおっぴらに村人たちにひどいことを言いました。
and though no serious charge was ever preferred against the lad, it got bruited about that Nello had been seen in the mill-yard after dark on some unspoken errand, and that he bore Baas Cogez a grudge for forbidding his intercourse with little Alois;	少年に対して正式な告訴がされた訳ではありませんでしたが、ネロが暗くなってからなにかよからぬ意図をもって粉屋の家の近くをうろついていたとか、アロアと付き合うのを禁じられて、コゼツのだんなに恨みをもっていた、とかいった類のうわさ話が広まりました。
and so the hamlet, which followed the sayings of its richest landowner servilely,	村人たちは、村一番の金持ちの地主の言うことでしたので、ただ盲目的に従いました。
and whose families all hoped to secure the riches of Alois in some future time for their sons,	それに、どの家もみんな、自分の息子がアロアの財産をわがものにしてくれるを願っていたのでした。
took the hint to give grave looks and cold words to old Jehan Daas's grandson.	それで、ジェハンじいさんの孫に無愛想な顔を見せ、冷たい言葉しかかけないようになりました。
No one said anything to him openly,	誰もネロに対して面と向かっては何も言いません。
but all the village agreed together to humour the miller's prejudice,	しかし、村中のみんなが、粉屋の偏見に調子を合わせました。
and at the cottages and farms where Nello and Patrasche called every morning for the milk for Antwerp, downcast glances and brief phrases replaced to them the broad smiles and cheerful greetings to which they had been always used.	そして、ネロとパトラッシュがアントワープにミルクを運ぶためにミルクを集荷している農家の家々では、これまではにこにこ笑って明るく挨拶してくれていたのに、今ではろくに顔も上げず、ぶっきらぼうな言葉しかかけませんでした。
No one really credited the miller's absurd suspicions, nor the outrageous accusations born of them;	誰も、粉屋のばかげた疑いや、途方もない非難を本気で信じてはいませんでした。
but the people were all very poor and very ignorant,	けれども、村人たちはみな、とても貧しくて、無知でした。
and the one rich man of the place had pronounced against him.	そこに、一人の金持ちの男がネロを非難したのです。
Nello, in his innocence and his friendlessness, had no strength to stem the popular tide.	ネロは無実でしたが友だちもありませんでしたので、人々の気持ちがネロから離れていくのをせき止める力はありませんでした。
"Thou art very cruel to the lad,"	「あなたは、あの少年になんて残酷なまねをするの。」
the miller's wife dared to say, weeping, to her lord.	と粉屋の妻が、彼女の主人に泣いて訴えました。
"Sure, he is an innocent lad and a faithful,	「もちろんネロは、無実だし、それにあの子は人を裏切ったりしない子ですよ。
and would never dream of any such wickedness, however sore his heart might be."	どんなに心が傷ついていたって、そんな悪いことをしようだなんて、夢にも思うはずはないに決まってますよ。」
But Baas Cogez being an obstinate man,	けれども、コゼツのだんなは、頑固な男でした。
having once said a thing, held to it doggedly, though in his innermost soul he knew well the injustice that he was committing.	心の奥底では、よくないことをしているのだと知っていましたが、いったんいいだしたら、ききません。
Meanwhile, Nello endured the injury done against him with a certain proud patience that disdained to complain;	一方、ネロの方は、不満を言うのはばかげていると思い、自尊心をもってがまん強く、ひどい仕打ちにじっと耐えていました。
he only gave way a little when he was quite alone with old Patrasche.	年老いたパトラッシュとふたりきりのときに、少し気が弱くなるだけでした。
Besides, he thought,	それにまた、ネロは、こう思いました。
