Alice's Adventures in Wonderland	不思議の国のアリス
the Duchess was sitting on a three-legged stool in the middle, nursing a baby;	公爵夫人はまん中にある三きゃくいすにすわって、赤ちゃんをあやしています。
the cook was leaning over the fire, stirring a large cauldron which seemed to be full of soup.	コックは火の上にかがみこんで、スープでいっぱいらしいおっきなおなべをかきまぜています。
`There's certainly too much pepper in that soup!'	「たしかにあのスープはコショウ入れすぎ」
Alice said to herself,	とアリスはつぶやきました。
as well as she could for sneezing.	くしゃみをしながらつぶやくのもたいへんです。
There was certainly too much of it in the air.	それが空気にたくさんまじりすぎているのはたしかでした。
Even the Duchess sneezed occasionally;	公爵夫人でさえ、ときどきくしゃみをしています。
and as for the baby, it was sneezing and howling alternately without a moment's pause.	そして赤ちゃんときたら、ちょっとも間をおかずに、くしゃみ、なき、わめきをくりかえしているのでした。
The only things in the kitchen that did not sneeze, were the cook,	台所でくしゃみをしないのは、コックと、ろばたにすわっているおっきなねこだけでした。
and a large cat which was sitting on the hearth and grinning from ear to ear.	ねこは、耳から耳までとどくくらいニヤニヤしています。
`Please would you tell me,'	「あの、教えていただけませんでしょうか？」
said Alice, a little timidly,	とアリスは、ちょっとびくびくしながらききました。
for she was not quite sure whether it was good manners for her to speak first,	自分から口をひらくのが、おぎょうぎのいいことかどうか、自信がなかったのです。
`why your cat grins like that?'	「なぜこちらのねこは、あんなふうにニヤニヤわらうんでしょうか？」
`It's a Cheshire cat,'	「チェシャねこだから」
said the Duchess,	と公爵夫人。
`and that's why.	「そのせいだよ。
Pig!'	ぶた！」
She said the last word with such sudden violence that Alice quite jumped;	最後のひとことは、いきなりすごいあらっぽさだったので、アリスはほんとにとびあがってしまいました。
but she saw in another moment that it was addressed to the baby, and not to her,	が、すぐにそれが赤ちゃんに言ったせりふで、アリスに言ったのではないのがわかりました。
so she took courage, and went on again:--	そこでゆうきをだして、またきいてみました：――
`I didn't know that Cheshire cats always grinned;	「チェシャねこがいつもニヤニヤわらうとは知らなかったです。
in fact, I didn't know that cats COULD grin.'	というか、そもそもねこがニヤニヤわらいできるって知りませんでした」
`They all can,'	「みんなできるよ。
said the Duchess;	で、ほとんどみんなしてる」
`and most of 'em do.'	と公爵夫人。
`I don't know of any that do,'	「あたしは、してるねこは見たことないんです」
Alice said very politely,	とアリスはれいぎ正しく言いました。
feeling quite pleased to have got into a conversation.	やっと会話ができたので、とてもうれしかったのです。
`You don't know much,'	「あんたはもの知らずだからね。
said the Duchess;	まちがいないよ」
`and that's a fact.'	と公爵夫人。
Alice did not at all like the tone of this remark, and thought it would be as well to introduce some other subject of conversation.	アリスはこの意見の調子がぜんぜん気にいらなかったので、なにかべつの話題にしたほうがいいな、とおもいました。
While she was trying to fix on one, the cook took the cauldron of soup off the fire, and at once set to work throwing everything within her reach at the Duchess and the baby	なにか思いつこうとしているあいだ、コックはスープのおなべを火からおろして、すぐにまわりのものを手あたりしだいに、公爵夫人と赤ちゃんにむかってなげつけるしごとにとりかかりました
--the fire-irons came first;	――まずは火かきどうぐ。
then followed a shower of saucepans, plates, and dishes.	つづいて小皿、中皿、大皿の雨あられ。
The Duchess took no notice of them even when they hit her;	公爵夫人は、それがあたってもまったく無視していました。
and the baby was howling so much already, that it was quite impossible to say whether the blows hurt it or not.	そして赤ちゃんは、もともとすさまじくわめいていたので、おさらがあたっていたいのかどうか、ぜんぜんわかりません。
`Oh, PLEASE mind what you're doing!'	「ああ、おねがいだから自分のやることに気をつけてよ！ 」
cried Alice, jumping up and down in an agony of terror.	とアリスはさけんで、怒ってかんしゃくをおこして、ぴょんぴょんとびはねました。
`Oh, there goes his PRECIOUS nose';	「ほら、あのかわいいお鼻があんなことに」
as an unusually large saucepan flew close by it, and very nearly carried it off.	ちょうど、とんでもなくでっかなソース皿が赤ちゃんの鼻の近くをとんでいって、あやうくそれをもぎとるところでした。
`If everybody minded their own business,' the Duchess said in a hoarse growl, `the world would go round a deal faster than it does.'	「みんなが自分のやることだけ気をつけて、ひとごとに口出ししなけりゃ、この世はいまよりずっとずっとさっさと動くこったろうよ」と公爵夫人が、あらっぽいうなり声をあげました。
`Which would NOT be an advantage,'	「それはぜったいに困ったことですよね」
said Alice, who felt very glad to get an opportunity of showing off a little of her knowledge.	とアリスは、ちしきをひけらかすチャンスができて、とてもうれしく思いました。
`Just think of what work it would make with the day and night!	「昼と夜がかわって、すごくたいへんなことになるはずですもの！
You see the earth takes twenty-four hours to turn round on its axis--'	つまりですね、地球は一回まわるのに24時間かかって、昼と夜でおのおの――」
`Talking of axes,'	「おのといえば」
said the Duchess,	と公爵夫人。
`chop off her head!'	「この娘（こ）の頭をちょんぎっちまいな！」
Alice glanced rather anxiously at the cook,	アリスはいささか心配そうにコックのほうを見ました。
to see if she meant to take the hint;	コックがいまのを本気にしたかな、と思ったのです。
but the cook was busily stirring the soup, and seemed not to be listening, so she went on again:	でもコックはスープをかきまぜるのにいそがしくて、きいていないようでしたので、アリスは続けました。
`Twenty-four hours, I THINK;	「一日って24時間、だったと思うんですけど。
or is it twelve?	それとも12でしたっけ？
I--'	あたし――」
`Oh, don't bother ME,'	「あら、あたしになんかきかないでよ」
said the Duchess;	と公爵夫人。
`I never could abide figures!'	「あたしゃ数字はぜんぜんにがてなんだからね！」
And with that she began nursing her child again, singing a sort of lullaby to it as she did so,	それからまた子どもをあやしはじめ、いっしょになんだか子もり歌みたいなものをうたいだしました。
and giving it a violent shake at the end of every line:	一行うたうごとに、赤ちゃんをすさまじくゆさぶっています。
`Speak roughly to your little boy,	「ガキにはあらっぽい口きいて
And beat him when he sneezes:	くしゃみしやがったらぶんなぐれ
He only does it to annoy,	どうせいやがらせでするくしゃみ
Because he knows it teases.'	こっちが怒るの知ってやがる」
(In which the cook and the baby joined):--	（ここでコックとあかちゃんもいっしょに）:--
`Wow!	「わぁ！
wow!	わぁ！
wow!'	わぁ！」
While the Duchess sang the second verse of the song, she kept tossing the baby violently up and down,	公爵夫人は、歌の二番をうたいながら、赤ちゃんをらんぼうにポンポン投げています。
and the poor little thing howled so, that Alice could hardly hear the words:--	そしてかわいそうな赤ちゃんがすごくわめくので、アリスはほとんど歌がきこえませんでした：――
`I speak severely to my boy,	「ガキにはきつい口をきく
I beat him when he sneezes;	くしゃみをしたらぶんなぐる
For he can thoroughly enjoy	勝手なときにはコショウでも
The pepper when he pleases!'	しっかりきちんと味わうくせに！」
`Wow!	「わぁ！
wow!	わぁ！
wow!'	わぁ！」
`Here!	「ほれ、
you may nurse it a bit, if you like!'	なんならあんたにもちょっとあやさせてやるよ！」
the Duchess said to Alice, flinging the baby at her as she spoke.	と言いながら、公爵夫人は赤ちゃんを投げつけてよこしました。
`I must go and get ready to play croquet with the Queen,'	「あたしゃちょっと、女王さまとクロケーをするんでじゅんびがあるからね」
and she hurried out of the room.	そしてさっさと部屋を出てしまいました。
The cook threw a frying-pan after her as she went out, but it just missed her.	コックは、その出ぎわにフライパンをなげつけましたが、おしいところではずれました。
Alice caught the baby with some difficulty,	アリスはずいぶんくろうして赤ちゃんをつかまえました。
as it was a queer-shaped little creature, and held out its arms and legs in all directions,	すっごくへんなかっこうの生き物で、あっちこっちに手足をつきだしてばかりいたからです。
`just like a star-fish,'	「ヒトデみたい」
thought Alice.	とアリスは思いました。
The poor little thing was snorting like a steam-engine when she caught it, and kept doubling itself up and straightening itself out again, so that altogether, for the first minute or two, it was as much as she could do to hold it.	かわいそうな子は、つかまえたときには蒸気機関車（じょうききかんしゃ）みたいみたいにフガフガ言っていて、しかもからだをまげたりのばしたりするので、そういうのがぜんぶあわさって、最初の一分かそこらは、かかえておくだけでせいいっぱいでした。
As soon as she had made out the proper way of nursing it, (which was to twist it up into a sort of knot, and then keep tight hold of its right ear and left foot, so as to prevent its undoing itself,) she carried it out into the open air.	それをまともにあやすやり方がわかったので（ちなみに、それは赤ちゃんをひねって、いわばゆわえちゃって、そして右耳と左足をしっかりもって、それがほどけないようにしてやることだったんだけど）、アリスはすぐにそれを外につれだしました。
`IF I don't take this child away with me,' thought Alice, `they're sure to kill it in a day or two:	「もしあたしがこの子をいっしょにつれてかないと、ぜったいに一日かそこらでころされちゃうものね。
wouldn't it be murder to leave it behind?'	そんなところにのこしてったら、殺人でしょう？」
She said the last words out loud,	アリスは最後のところを声に出していいました。
and the little thing grunted in reply (it had left off sneezing by this time).	すると生き物は、返事のかわりに鼻をならしました（このころには、くしゃみはやんでいたのです）。
`Don't grunt,' said Alice;	「鼻をならしちゃダメ。
`that's not at all a proper way of expressing yourself.'	意見を言うのにぜんぜんちゃんとしたやりかたじゃないわよ」
The baby grunted again, and Alice looked very anxiously into its face to see what was the matter with it.	赤ちゃんはまた鼻をならして、アリスはとっても心配になって、そのかおをのぞきこんでどうかしたのか見ました。
There could be no doubt that it had a VERY turn-up nose, much more like a snout than a real nose;	まちがいなくこの子は、とっても上向きの鼻をしていて、人の鼻よりはブタの鼻ヅラみたいでした。
also its eyes were getting extremely small for a baby:	それと、赤ちゃんにしては目がすっごく小さくなってきてます。
altogether Alice did not like the look of the thing at all.	ぜんぶあわせると、アリスとしてはこの子のようすがぜんぜん気に入りません。
`But perhaps it was only sobbing,'	「でも、しゃくりあげただけかも」
she thought, and looked into its eyes again, to see if there were any tears.	と思って目をのぞきこみ、涙がないかしらべました。
No, there were no tears.	いいえ、涙はありません。
`If you're going to turn into a pig, my dear,' said Alice, seriously, `I'll have nothing more to do with you.  Mind now!'	「いい子だからね、ぶたになっちゃうなら、もうかまってあげませんからね！」とアリスはまじめに言いました。
The poor little thing sobbed again	かわいそうな生き物は、またしゃくりあげます
(or grunted, it was impossible to say which),	（あるいは鼻をならしたのか、どっちかはぜんぜんわかりません）。
and they went on for some while in silence.	そして二人は、しばらくだまったままでいました。
Alice was just beginning to think to herself, `Now, what am I to do with this creature when I get it home?' when it grunted again,	「でもこの生き物をおうちにつれてかえったら、どうしてやったらいいんだろう」とアリスがちょうど思ったときに、そいつがまた鼻をならしました。
so violently, that she looked down into its face in some alarm.	それがすごくきょうれつで、アリスはびっくりしてその顔をのぞきこみました。
This time there could be NO mistake about it:	こんどは、もうまちがえようがありません。
it was neither more nor less than a pig,	それはまったくもってぶたそのものでした。
and she felt that it would be quite absurd for her to carry it further.	だから、これ以上だっこしてやるのは、じつにばかげてる、と思いました。
So she set the little creature down, and felt quite relieved to see it trot away quietly into the wood.	そこでアリスはその小さな生き物を下におろし、するとしずかにトコトコと森にむかっていったので、ずいぶんホッとしました。
`If it had grown up,' she said to herself, `it would have made a dreadfully ugly child:	「あれでおっきくなったら、しぬほどみっともない子どもになったでしょうね。
but it makes rather a handsome pig, I think.'	でもぶたとしてなら、なかなかハンサムじゃないかな、と思う」
And she began thinking over other children she knew, who might do very well as pigs,	そしてアリスは、知り合いのなかで、ぶたになったほうがうまくやっていけそうな子たちを思いうかべてみました。
and was just saying to herself, `if one only knew the right way to change them--'	そして「もしちゃんとあの子たちを変えるほうほうさえわかれば――」とちょうどいったとき、
when she was a little startled by seeing the Cheshire Cat sitting on a bough of a tree a few yards off.	何メートルか先の木の大えだに、あのチェシャねこがすわっていたので、アリスはちょっとぎょっとしました。
The Cat only grinned when it saw Alice.	ねこは、アリスを見てもニヤニヤしただけです。
It looked good-natured, she thought:	わるいねこではなさそうね、とアリスは思いました。
still it had VERY long claws and a great many teeth, so she felt that it ought to be treated with respect.	が、とってもながいツメに、とってもたくさんの歯をしていたので、ちゃんと失礼のないようにしないと、と思いました。
`Cheshire Puss,'	「チェシャにゃんこちゃん」
she began, rather timidly,	とアリスは、ちょっとおずおずときりだしました。
as she did not at all know whether it would like the name:	そういうよび名を気に入ってくれるかどうか、さっぱりわからなかったからです。
however, it only grinned a little wider.	でも、ねこはニヤニヤ笑いをもっとニッタリさせただけでした。
`Come, it's pleased so far,'	「わーい、いまのところきげんがいいみたい」
thought Alice, and she went on.	とアリスは思って、先をつづけました。
`Would you tell me, please, which way I ought to go from here?'	「おねがい、教えてちょうだい、あたしはここからどっちへいったらいいのかしら」
`That depends a good deal on where you want to get to,'	「それはかなり、あんたがどこへいきたいかによるなあ」
said the Cat.	とねこ。
`I don't much care where--'	「どこでもいいんですけど――」
said Alice.	とアリス。
`Then it doesn't matter which way you go,'	「ならどっちへいってもかんけいないじゃん」
said the Cat.	とねこ。
`--so long as I get SOMEWHERE,'	「でもどっかへはつきたいんです」
Alice added as an explanation.	とアリスは、説明するようにつけくわえました。
`Oh, you're sure to do that,' said the Cat,	「ああ、そりゃどっかへはつくよ、まちがいなく。
`if you only walk long enough.'	たっぷり歩けばね」
Alice felt that this could not be denied, so she tried another question.	アリスは、これはたしかにそのとおりだと思ったので、べつの質問をしてみました。
`What sort of people live about here?'	「ここらへんには、どんな人がすんでるんですか？」
`In THAT direction,'	「あっちの方向には」
the Cat said, waving its right paw round,	とねこは、右のまえ足をふりまわしました。
`lives a Hatter:	「帽子屋がすんでる。
and in THAT direction,'	それとあっちの方向には」
waving the other paw,	ともうかたほうのまえ足をふりまわします。
`lives a March Hare.	「三月うさぎがすんでる。
Visit either you like:	好きなほうをたずねるといいよ。
they're both mad.'	どっちもキチガイだけど」
`But I don't want to go among mad people,'	「でも、キチガイのとこなんかいきたくない」
Alice remarked.	とアリスはのべます。
`Oh, you can't help that,' said the Cat:	「そいつはどうしようもないよ。
`we're all mad here.	ここらじゃみんなキチガイだもん。
I'm mad.	ぼくもキチガイ、
You're mad.'	あんたもキチガイ」
`How do you know I'm mad?'	「どうしてあたしがキチガイなんですか？」
said Alice.	とアリス。
`You must be,' said the Cat, `or you wouldn't have come here.'	「ぜったいそうだよ。そうでなきゃここにはこない」とねこ。
Alice didn't think that proved it at all;	アリスは、そんなのなんのしょうめいにもなってないとおもいました。
however, she went on	でも、先をつづけます。
`And how do you know that you're mad?'	「じゃあ、あなたはどうしてキチガイなの？」
`To begin with,' said the Cat, `a dog's not mad.	「まずだね、犬はキチガイじゃない。
You grant that?'	それはいい？」
`I suppose so,'	「まあそうね」
said Alice.	とアリス
`Well, then,' the Cat went on,	「すると、だ。
`you see, a dog growls when it's angry, and wags its tail when it's please.	犬は怒るとうなって、うれしいとしっぽをふるね。
Now I growl when I'm pleased, and wag my tail when I'm angry.	さて、ぼくはうれしいとうなって、怒るとしっぽをふる。
Therefore I'm mad.'	よって、ぼくはキチガイ」
`I call it purring, not growling,'	「それはうなるんじゃなくて、のどをならしてるっていうのよ」
said Alice.	とアリス。
`Call it what you like,'	「お好きなように」
said the Cat.	とねこ。
`Do you play croquet with the Queen to-day?'	「女王さまときょう、クロケーをするの？」
`I should like it very much,' said Alice,	「したいのはやまやまだけど。
`but I haven't been invited yet.'	でもまだしょうたいされてないの」
`You'll see me there,'	「そこで会おうね」
said the Cat, and vanished.	といって、ねこは消えました。
Alice was not much surprised at this,	アリスはたいしておどろきませんでした。
she was getting so used to queer things happening.	へんてこなことがおきるのに、もうなれちゃったからです。
While she was looking at the place where it had been, it suddenly appeared again.	そしてねこがいたところを見ていると、いきなりまたあらわれました。
`By-the-bye, what became of the baby?'	「ところでちなみに、赤ちゃんはどうなった？」
said the Cat.	とねこ。
`I'd nearly forgotten to ask.'	「きくのわすれるとこだった」
`It turned into a pig,'	「ぶたになっちゃった」
Alice quietly said, just as if it had come back in a natural way.	とアリスは、ねこがふつうのやりかたでもどってきたのとかわらない声で、しずかにいいました。
`I thought it would,'	「だろうとおもった」
said the Cat, and vanished again.	ねこは、また消えました。
Alice waited a little,	アリスはちょっとまってみました。
half expecting to see it again,	ねこがまたでてくるかも、とおもったのです。
but it did not appear, and after a minute or two she walked on in the direction in which the March Hare was said to live.	が、でてこなかったので、一分かそこらしてから、三月うさぎのすんでいるはずのほうに歩きだしました。
`I've seen hatters before,' she said to herself;	「帽子屋さんならみたことあるし、
`the March Hare will be much the most interesting,	三月うさぎのほうがおもしろいわよね。
and perhaps as this is May it won't be raving mad	それにいまは五月だから、そんなすごくキチガイでないかもしれない
--at least not so mad as it was in March.'	――三月ほどには」
As she said this, she looked up, and there was the Cat again, sitting on a branch of a tree.	こういいながら、ふと目をあげると、またねこがいて木のえだにすわっています。
`Did you say pig, or fig?'	「ぶたって言った、それともふた？」
said the Cat.	とねこ。
`I said pig,' replied Alice;	「ぶた。
`and I wish you wouldn't keep appearing and vanishing so suddenly:	それと、そんなにいきなり出たり消えたりしないでくれる？
you make one quite giddy.'	くらくらしちゃうから」
`All right,'	「はいはい」
said the Cat;	とねこ。
and this time it vanished quite slowly,	そしてこんどは、とてもゆっくり消えていきました。
beginning with the end of the tail, and ending with the grin,	しっぽの先からはじめて、最後はニヤニヤわらい。
which remained some time after the rest of it had gone.	ニヤニヤわらいは、ねこのほかのところが消えてからも、しばらくのこっていました。
`Well!  I've often seen a cat without a grin,' thought Alice;	アリスは思いました。
`but a grin without a cat!	でもねこなしのニヤニヤわらいとはね！
It's the most curious thing I ever saw in my life!'	生まれて見た中で、一番へんてこなしろものだわ！」
She had not gone much farther before she came in sight of the house of the March Hare:	ほんのしばらく歩くと、三月うさぎのおうちが見えてきました。
she thought it must be the right house, because the chimneys were shaped like ears and the roof was thatched with fur.	まちがいないと思ったのは、えんとつが耳のかっこうをしていて、屋根が毛皮でふいてあったからです。
It was so large a house, that she did not like to go nearer till she had nibbled some more of the lefthand bit of mushroom, and raised herself to about two feet high:	あんまりおっきなおうちだったもので、左手のキノコをちょっとかじって、身長60センチくらいになってからでないと、近づきたくありませんでした。
even then she walked up towards it rather timidly, saying to herself	それでもなお、びくびくしながらちかづいて、その間もこう思っていました。
`Suppose it should be raving mad after all!	「やっぱりすごくキチガイかも！
I almost wish I'd gone to see the Hatter instead!'	やっぱり帽子屋さんのほうに会いにいけばよかったかなあ！」
CHAPTER VII  A Mad Tea-Party	7. キチガイお茶会
There was a table set out under a tree in front of the house,	おうちのまえの木の下には、テーブルが出ていました。
and the March Hare and the Hatter were having tea at it:	そして三月うさぎと帽子屋さんが、そこでお茶してます。
a Dormouse was sitting between them, fast asleep,	ヤマネがそのあいだで、ぐっすりねてました。
and the other two were using it as a cushion, resting their elbows on it, and talking over its head.	二人はそれをクッションがわりにつかって、ひじをヤマネにのせてその頭ごしにしゃべっています。
`Very uncomfortable for the Dormouse,' thought Alice;	「ヤマネはすごくいごこちわるそう。
`only, as it's asleep, I suppose it doesn't mind.'	でも、ねてるから、気にしないか」とアリスは思いました。
The table was a large one, but the three were all crowded together at one corner of it:	テーブルはとてもおっきいのに、三名はそのかどっこ一つにかたまっていました。
`No room!	「満員、
`No room!	満員！」
they cried out when they saw Alice coming.	とアリスがきたのを見て、みんなさけびました。
`There's PLENTY of room!'	「どこが満員よ、いっぱいあいてるじゃない！」
said Alice indignantly, and she sat down in a large arm-chair at one end of the table.	とアリスは怒って、そしてテーブルのはしのおっきなひじかけつきのいすにすわりました。
`Have some wine,'	「ワインはいかが」
the March Hare said in an encouraging tone.	と三月うさぎが親切そうに言います。
Alice looked all round the table, but there was nothing on it but tea.	アリスはテーブル中をみまわしましたが、そこにはお茶しかのってません。
`I don't see any wine,'	「ワインなんかみあたらないけど」
she remarked.	とアリス。
`There isn't any,'	「だってないもん」
said the March Hare.	と三月うさぎ。
`Then it wasn't very civil of you to offer it,'	「じゃあ、それをすすめるなんて失礼じゃないのよ」
said Alice angrily.	とアリスははらをたてました。
`It wasn't very civil of you to sit down without being invited,'	「しょうたいもなしに勝手にすわって、あんたこそ失礼だよ」
said the March Hare.	と三月うさぎ。
`I didn't know it was YOUR table,'	「あなたのテーブルって知らなかったからよ」
said Alice;	とアリス。
`it's laid for a great many more than three.'	「三人よりずっとたくさんの用意がしてあるじゃない」
`Your hair wants cutting,' said the Hatter.	「かみの毛、切ったほうがいいよ」
He had been looking at Alice for some time with great curiosity, and this was his first speech.	帽子屋さんはアリスをすごくものめずらしそうに、ずいぶんながいことジロジロ見ていたのですが、はじめて言ったのがこれでした。
`You should learn not to make personal remarks,'	「人のこととやかく言っちゃいけないのよ」
Alice said with some severity;	とアリスは、ちょっときびしく言いました。
`it's very rude.'	「すっごくぶさほうなのよ」
The Hatter opened his eyes very wide on hearing this;	帽子屋さんは、これをきいて目だまをぎょろりとむきました。
but all he SAID was,	が、言ったのはこれだけでした。
`Why is a raven like a writing-desk?'	「大ガラスが書きものづくえと似ているのはなーぜだ？」
`Come, we shall have some fun now!' thought Alice.	「わーい、これでおもしろくなるぞ！
`I'm glad they've begun asking riddles.	なぞなぞをはじめてくれてうれしいな」とアリスは思いました。
--I believe I can guess that,'	そして「それならわかると思う」
she added aloud.	と声に出してつけくわえました。
`Do you mean that you think you can find out the answer to it?'	「つまり、そのこたえがわかると思うって意味？」
said the March Hare.	と三月うさぎ。
`Exactly so,'	「そのとおり」
said Alice.	とアリス。
`Then you should say what you mean,'	「そんなら、意味どおりのことを言えよ」
the March Hare went on.	と三月うさぎはつづけます。
`I do,'	「言ってるわよ」
Alice hastily replied;	アリスはすぐこたえました。
`at least--at least I mean what I say--that's the same thing, you know.'	「すくなくとも――すくなくとも、言ったとおりのことは意味してるわ――同じことでしょ」
`Not the same thing a bit!'	「なにが同じなもんか」
said the Hatter.	と帽子屋さん。
`You might just as well say that "I see what I eat" is the same thing as "I eat what I see"!'	「それじゃあ『見たものを食べる』ってのと『食べるものを見る』ってのが同じことだと言ってるみたいなもんだ」
`You might just as well say,' added the March Hare, `that "I like what I get" is the same thing as "I get what I like"!'	三月うさぎもついかします。
`You might just as well say,' added the Dormouse, who seemed to be talking in his sleep, `that "I breathe when I sleep" is the same thing as "I sleep when I breathe"!'	ヤマネもつけくわえましたが、まるでねごとみたいです。
`It IS the same thing with you,'	「おまえのばあいは同じだろうが」
said the Hatter, and here the conversation dropped, and the party sat silent for a minute,	と帽子屋さんがいって、ここでお話がとぎれて、みんなしばらくなにもいわずにすわっていました。
while Alice thought over all she could remember about ravens and writing-desks, which wasn't much.	アリスは、大ガラスと書きものづくえについて、ありったけ思いだそうとしましたが、大して出てきません。
The Hatter was the first to break the silence.	帽子屋さんが、まっ先にちんもくをやぶりました。
`What day of the month is it?'	「きょうって何日？」
he said, turning to Alice:	とアリスにききます。
he had taken his watch out of his pocket, and was looking at it uneasily, shaking it every now and then, and holding it to his ear.	ポケットから時計をとりだして、それを困ったように見ながら、ときどきふったりしては、耳にあてています。
Alice considered a little, and then said	アリスはちょっと考えてから言いました。
`The fourth.'	「四日（よっか）」
`Two days wrong!'	「二日（ふつか）もくるってる！」
sighed the Hatter.	と帽子屋さんはためいきをつきました。
`I told you butter wouldn't suit the works!' he added looking angrily at the March Hare.	そして、怒って三月うさぎをにらみつけました。
`It was the BEST butter,'	「最高のバターだったんだぜ」
the March Hare meekly replied.	と三月うさぎは力なくこたえました。
`Yes, but some crumbs must have got in as well,'	「おぅ、でもパンくずがいっしょに入っちまったにちげえねぇ」
the Hatter grumbled:	と帽子屋さんはもんくをたれます。
`you shouldn't have put it in with the bread-knife.'	「おめぇがパンきりナイフなんかつかいやがるから」
The March Hare took the watch and looked at it gloomily:	三月うさぎは時計をうけとると、しょんぼりとそれをながめます。
then he dipped it into his cup of tea, and looked at it again:	それからそれを自分のお茶にひたしてみてから、またながめました。
but he could think of nothing better to say than his first remark,	でも、最初のせりふ以上のものはおもいつきませんでした。
`It was the BEST butter, you know.'	「最高のバターだったんだぜ」
Alice had been looking over his shoulder with some curiosity.	アリスは興味（きょうみ）しんしんで、そのかたごしにながめていました。
`What a funny watch!' she remarked.	「ずいぶんへんな時計ね！
`It tells the day of the month, and doesn't tell what o'clock it is!'	何日かわかるけど、何時かはわからないなんて！」
`Why should it?'	「そんなのわかってもしょうがねぇだろ」
muttered the Hatter.	と帽子屋さん。
`Does YOUR watch tell you what year it is?'	「あんたの時計は、いまが何年かわかるのかぃ、え？」
`Of course not,'	「もちろんわかんないけど」
Alice replied very readily:	とアリスは自信たっぷりにこたえます。
`but that's because it stays the same year for such a long time together.'	「でもそれは、年ってかなりずっと長いことおんなじままだからよ」
`Which is just the case with MINE,'	「おれの場合もまさにおんなしこった」
said the Hatter.	と帽子屋さん。
Alice felt dreadfully puzzled.	アリスはものすごく頭がこんがらがってきました。
The Hatter's remark seemed to have no sort of meaning in it, and yet it was certainly English.	帽子屋さんの言ったことは、まるでなんの意味もないようですが、でもちゃんと文にはなってるのです。
`I don't quite understand you,'	「どうもよくわからないみたいです」
she said, as politely as she could.	とアリスは、できるだけていねいに言いました。
`The Dormouse is asleep again,'	「ヤマネのやろう、またねてやがる」
said the Hatter, and he poured a little hot tea upon its nose.	と帽子屋さんは、ヤマネの鼻ヅラにちょっとあついお茶をかけました。
The Dormouse shook its head impatiently, and said, without opening its eyes,	ヤマネはあわてて頭をふると、目をあけずにいいました。
`Of course, of course;	「いや、まったくまったく。
just what I was going to remark myself.'	おれもそう言おうと思ってたところ」
`Have you guessed the riddle yet?'	「なぞなぞはわかったかよ」
the Hatter said, turning to Alice again.	と帽子屋さんは、またアリスに話しかけました。
`No, I give it up,' Alice replied:  `what's the answer?'	「だめ、こうさん。こたえはなに？」とアリスはこたえました。
`I haven't the slightest idea,'	「さっぱり見当もつかない」
said the Hatter.	と帽子屋さん。
`Nor I,'	「わしも」
said the March Hare.	と三月うさぎ。
Alice sighed wearily.	アリスはうんざりしてため息をつきました。
`I think you might do something better with the time,' she said,	「もう少しましに時間をつかったら？
`than waste it in asking riddles that have no answers.'	それを、こたえのないなぞなぞなんか聞いて、むだにしたりして」
`If you knew Time as well as I do,' said the Hatter,	「おれくらい時間と仲がよけりゃ、
`you wouldn't talk about wasting IT.	それをむだにするなんて言い方はせんね。
It's HIM.'	やつだよ」
`I don't know what you mean,'	「なんのことやらさっぱり」
said Alice.	とアリス。
`Of course you don't!'	「そりゃあんたにゃわかるめぇよ！」
the Hatter said, tossing his head contemptuously.	と帽子屋さんは、バカにしたようにみえをきりました。
`I dare say you never even spoke to Time!'	「どうせ、時間と口きぃたこともねぇんだろ！」
`Perhaps not,'	「ないかも」
Alice cautiously replied:	とアリスはしんちょうに答えます。
`but I know I have to beat time when I learn music.'	「でも、音楽を教わるときには、こうやって時間をきざむわよ」
`Ah! that accounts for it,'	「おぅ、それだそれ、そのせいだよ」
said the Hatter.	と帽子屋さん。
`He won't stand beating.	「やつだってきざまれたかねぇやな。
Now, if you only kept on good terms with him, he'd do almost anything you liked with the clock.	いいか、やつとうまいことやりさえすりゃあ、やつは時計がらみのことなら、ほとんどなんでも塩梅（あんばい）してくれらぁね。
For instance, suppose it were nine o'clock in the morning, just time to begin lessons:	たとえば、朝の9時で、ちょうど授業の始まる時間だ。
you'd only have to whisper a hint to Time, and round goes the clock in a twinkling!	でもそこで時間にちょいと耳うちすれば、いっしゅんで時間がグルグルと！
Half-past one, time for dinner!'	さあ午後一時半、ばんごはんの時間だよ！」
(`I only wish it was,'	（「いまがそうならねえ」
the March Hare said to itself in a whisper.)	と三月うさぎは小声でつぶやいた。）
`That would be grand, certainly,'	「そうなったら、なかなかすごいでしょうねえ、たしかに」
said Alice thoughtfully:	とアリスは、考えぶかげにいいました。
`but then--I shouldn't be hungry for it, you know.'	「でもそしたら――あたしはまだおなかがすいてないわけよねえ」
`Not at first, perhaps,'	「最初のうちは、そうかもしんねぇけど」
said the Hatter:	と帽子屋さんが言いました。
`but you could keep it to half-past one as long as you liked.'	「でも、いつまでも好きなだけ一時半にしとけるんだぜ」
`Is that the way YOU manage?'	「あなた、そんなことしてくらしてるんだ」
Alice asked.	とアリス。
The Hatter shook his head mournfully.	帽子屋さんは、かなしそうに頭をふります。
`Not I!' he replied.	「おれはちがうよ。
`We quarrelled last March	おれと時間は、こないだの三月に口論してさぁ
--just before HE went mad, you know--'	――ちょうどあいつがキチガイになるちょっと前だったけどね――」
(pointing with his tea spoon at the March Hare,)	（と三月うさぎを茶さじで指さします）
