Aesop's Fables	タウンゼント版イソップ寓話集
The Horse, desiring to revenge himself on the stranger, asked a man if he were willing to help him in punishing the Stag.	ウマは、このよそ者に仕返ししてやろうと、人間に協力を求めた。
The man replied that if the Horse would receive a bit in his mouth and agree to carry him, he would contrive effective weapons against the Stag.	すると人間は、ウマがくつわをつけて、自分を乗せてくれるなら、シカをやっつける武器を考案してやると言った。
The Horse consented and allowed the man to mount him.	ウマは承知して、人間を乗せ、見事シカへの復讐を果たした。
From that hour he found that instead of obtaining revenge on the Stag, he had enslaved himself to the service of man.	しかしその代償として、ウマは人間の奴隷となってしまった。
The Kid and the Wolf	１９４．仔ヤギとオオカミ
A KID, returning without protection from the pasture, was pursued by a Wolf.	牧草地からの帰り道、群からはぐれた仔ヤギが、オオカミに狙われてしまった。
Seeing he could not escape, he turned round, and said:	仔ヤギは逃げられないと観念すると、オオカミに向かってこう言った。
"I know, friend Wolf, that I must be your prey,	「あなたに、食われる覚悟はできました。
but before I die I would ask of you one favor	でも、死ぬ前に一つだけお願いがあります。
you will play me a tune to which I may dance."	私が踊れるように笛を吹いてくれませんか？」
The Wolf complied,	オオカミは仔ヤギの願いを叶えてやることにした。
and while he was piping and the Kid was dancing, some hounds hearing the sound ran up and began chasing the Wolf.	こうして、オオカミが笛を吹き、仔ヤギが踊っていると、イヌどもがその騒ぎを聞きつけて走って来た。
Turning to the Kid, he said,	オオカミは逃げる時に、仔ヤギをチラリと振り返ってこう言った。
"It is just what I deserve;	「こうなるのも当然だ。
for I, who am only a butcher, should not have turned piper to please you."	屠殺しかできないこの俺が、お前を喜ばせようと、笛吹きなどに転向せねばよいものを……」
The Prophet	１９５．予言者
A WIZARD, sitting in the marketplace, was telling the fortunes of the passers-by	ある予言者が、市場に座って道行く人の運勢を見ていた。
when a person ran up in great haste, and announced to him that the doors of his house had been broken open and that all his goods were being stolen.	そこへ、男が慌てて駆けてきて、家に泥棒が入り、家財道具一切合切盗まれた。
He sighed heavily and hastened away as fast as he could run.	予言者は、重いため息を一つつくと急いで駆けていった。
A neighbor saw him running and said,	彼の駆けて行く後ろ姿を見て、ある人がこんなことを言った。
you say you can foretell the fortunes of others;	「お前さんは、人の運命を予言出来ると言っとったのに、
how is it you did not foresee your own?'	自分のことは予言できんとはどういうことなんだね？」
The Fox and the Monkey	１９６．キツネとサル
A FOX and a Monkey were traveling together on the same road.	キツネとサルが一緒に旅をしていた。
As they journeyed, they passed through a cemetery full of monuments.	二人が道を歩いていると、立派な碑の立ち並ぶ墓地へとやってきた。
"All these monuments which you see,"	するとサルがこう言った。
said the Monkey,	「この碑は、皆、僕のご先祖様を讃えて建立されたものなんだよ。
who were in their day freedmen and citizens of great renown."	僕のご先祖様方は、皆、偉大なる名声を博した市民だったのさ」
The Fox replied,	するとキツネはこう言い返した。
"You have chosen a most appropriate subject for your falsehoods, as I am sure none of your ancestors will be able to contradict you."	「僕が君の先祖を知らないと思って、随分とうまい嘘をつくものだね」
A false tale often betrays itself.	嘘は、大抵はばれるものだ。
The Thief and the Housedog	１９７．泥棒と番犬
A THIEF came in the night to break into a house.	夜、泥棒が、ある家に忍び込んだ。
He brought with him several slices of meat in order to pacify the Housedog, so that he would not alarm his master by barking.	泥棒は、番犬に吠え立てられたりしないようにと、肉を持参して投げ与えた。
As the Thief threw him the pieces of meat, the Dog said,	すると、イヌはこう言った。
"If you think to stop my mouth, you will be greatly mistaken.	「こんなことで、私の口を封じられると思うのなら、それは大間違いですよ。
This sudden kindness at your hands will only make me more watchful,	この親切には何か裏があるのでしょう？
lest under these unexpected favors to myself, you have some private ends to accomplish for your own benefit, and for my master's injury."	あなたが得ようとする利益は、私の主人の不利益に繋がるのではないのですか？」
The Man, the Horse, the Ox, and the Dog	１９８．人とウマとウシとイヌ
A HORSE, Ox, and Dog, driven to great straits by the cold, sought shelter and protection from Man.	ウマとウシとイヌが寒さに凍えてしまい、人に助けを求めた。
He received them kindly, lighted a fire, and warmed them.	すると人は親切に、彼らを中に入れてやると、火をおこして暖めてやった。
He let the Horse make free with his oats, gave the Ox an abundance of hay, and fed the Dog with meat from his own table.	そして、ウマにはオート麦を好きなだけ食べさせ、ウシには藁をどっさりと与え、イヌには自分のテーブルから肉を与えてやった。
Grateful for these favors, the animals determined to repay him to the best of their ability.	これらの親切に感謝をあらわそうと、動物たちは、自分たちの最高のもので、お返しをすることにした。
For this purpose, they divided the term of his life between them, and each endowed one portion of it with the qualities which chiefly characterized himself.	こうして、彼らは、人間の寿命を３つに分けると、各自がそれぞれのパートを自分たちの気質でもって引き受けることにした。
The Horse chose his earliest years and gave them his own attributes:	ウマは、最初の部分を選んだ。
hence every man is in his youth impetuous, headstrong, and obstinate in maintaining his own opinion.	それ故に、人は皆、若い頃は激しく、頑固で、そして、執拗に自分の意見を主調する。
The Ox took under his patronage the next term of life,	ウシは、二番目の部分を選んだ。
and therefore man in his middle age is fond of work, devoted to labor, and resolute to amass wealth and to husband his resources.	それ故、人は中年になると、仕事を好み労働に身を捧げ、富を蓄え、倹約しようと心がけるようになる。
The end of life was reserved for the Dog,	最後の部分はイヌが受け持った。
wherefore the old man is often snappish, irritable, hard to please, and selfish, tolerant only of his own household, but averse to strangers and to all who do not administer to his comfort or to his necessities.	それ故、年寄りは怒りっぽく、短気で気むずかしく、我が儘で、そして自分の家族には寛容だが、よそ者や、自分の好みでないものや、自分に必要でないものは、全て嫌悪する。
The Apes and the Two Travelers	１９９．サルたちと二人の旅人
TWO MEN, one who always spoke the truth and the other who told nothing but lies, were traveling together and by chance came to the land of Apes.	片やいつも真実を語り、片や嘘しか言わないという二人が、一緒に旅をしていて、サルの国へと迷い込んでしまった。
One of the Apes, who had raised himself to be king, commanded them to be seized and brought before him, that he might know what was said of him among men.	王様の位にまで登りつめていたサルは、自分が、人間たちにどのように映るのか知りたいと思って、二人を捕まえて連れてくるようにと命じた。
He ordered at the same time that all the Apes be arranged in a long row on his right hand and on his left, and that a throne be placed for him, as was the custom among men.	と、同時に、他のサルたち全員には、人間の宮廷のように、左右に長い列を作り、玉座を用意するようにと命令した。
After these preparations he signified that the two men should be brought before him, and greeted them with this salutation:	準備が整うと、彼は、二人を自分の前に連れてくるように命じ、次のような挨拶で、彼らを迎えた。
"What sort of a king do I seem to you to be, O strangers?'	「異国の者たちよ、そちたちには、朕がいかなる王に見えるかな？」
The Lying Traveler replied,	嘘つきの男はこう答えた。
"You seem to me a most mighty king."	「私には大変偉大な王に見えます」
"And what is your estimate of those you see around me?'	「それでは、朕の周りにいる者たちは、そなたには何とみえる？」
"These,"	「彼らですか……」
he made answer,	男はこう答えた。
"are worthy companions of yourself, fit at least to be ambassadors and leaders of armies."	「彼らは、大使や将軍たちに違いありますまい。
The Ape and all his court, gratified with the lie, commanded that a handsome present be given to the flatterer.	サルの王様と、廷臣たちは、すっかりその嘘に気をよくして、この、太鼓持ちに、素晴らしい褒美を使わすようにと命じた。
On this the truthful Traveler thought to himself,	これを見て、正直者は、こんな風に考えた。
"If so great a reward be given for a lie, with what gift may not I be rewarded, if, according to my custom, I tell the truth?'	「嘘でこんなに凄い褒美が貰えるのだから、いつものように、本当の事を言えば、どんな褒美が貰えるかしれない」
The Ape quickly turned to him.	すると、サルの王様が言った。
"And pray how do I and these my friends around me seem to you?'	「そなたにはどのようにみえるかな？」
"Thou art,"	すると正直な男はこう答えた。
he said,	「あなたは、とても優秀なサルです。
and all these thy companions after thy example are excellent Apes too."	そしてあなたの範に従うお友達もとても優秀なサルです」
The King of the Apes, enraged at hearing these truths, gave him over to the teeth and claws of his companions.	サルの王様は、本当の事を言われて、怒りに震えると、男を仲間の歯と爪に委ねた。
The Wolf and the Shepherd	２００．オオカミとヒツジ飼
A WOLF followed a flock of sheep for a long time	あるオオカミが、ヒツジの群の後について歩いていた。
and did not attempt to injure one of them.	しかしこのオオカミは、ヒツジを一匹たりとて傷つけようとはしなかった。
The Shepherd at first stood on his guard against him, as against an enemy, and kept a strict watch over his movements.	初めのうちヒツジ飼は、警戒して、オオカミの行動を厳しく監視した。
But when the Wolf, day after day, kept in the company of the sheep and did not make the slightest effort to seize them,	しかしいつまでたっても、オオカミは、ヒツジを噛んだり傷つけたりする素振りすら見せなかった。
the Shepherd began to look upon him as a guardian of his flock rather than as a plotter of evil against it;	いつしかヒツジ飼は、オオカミを悪賢い敵ではなく、群の見張り役と見なすようになっていた。
and when occasion called him one day into the city, he left the sheep entirely in his charge.	ある日のこと、ヒツジ飼は町に用事が出来たので、ヒツジたちを皆、オオカミに任せて出掛けて行った。
The Wolf, now that he had the opportunity,	ところが、オオカミはこの機会を待ちわびていたのだ。
fell upon the sheep, and destroyed the greater part of the flock.	オオカミは、ヒツジに襲いかかると、群の大部分を食い尽くした。
When the Shepherd returned to find his flock destroyed, he exclaimed:	ヒツジ飼が町から帰ってきて、この惨状を目にするとこう言って嘆いた。
"I have been rightly served;	「こんな目に会うのも当然だ。
why did I trust my sheep to a Wolf?'	オオカミなど信じた自分が馬鹿だった」
The Hares and the Lions	２０１．ウサギたちとライオン
THE HARES harangued the assembly, and argued that all should be equal.	ウサギたちが集会で熱弁をふるって、誰もが平等であるべきだと論述した。
The Lions made this reply:	するとライオンたちがこう答えた。
"Your words, O Hares! are good;	「おい、ウサギどもよ、なかなか善いことを言うじゃないか。
but they lack both claws and teeth	だが、その議論には、鈎爪や歯が足りない。
such as we have."	我々はそれを身につけている」
The Lark and Her Young Ones	２０２．ヒバリとその雛
A LARK had made her nest in the early spring on the young green wheat.	春先のこと、ヒバリが新緑の小麦畑に巣を作った。
The brood had almost grown to their full strength and attained the use of their wings and the full plumage of their feathers,	それから、雛たちはぐんぐん成長し、空を飛べるまでになっていた。
when the owner of the field, looking over his ripe crop, said,	そんな時、畑の主が、たわわに実った作物を見てこう言った。
"The time has come when I must ask all my neighbors to help me with my harvest."	「近所の皆に頼んで、刈り入れを手伝ってもらわねばなるまいな」
One of the young Larks heard his speech	一羽の雛が男の話を聞いて、
and related it to his mother, inquiring of her to what place they should move for safety.	「どこか安全な場所に避難しなければなりません」
"There is no occasion to move yet, my son,"	すると母親はこう答えた。
she replied;	「まだ、避難しなくても平気なのよ。
"the man who only sends to his friends to help him with his harvest is not really in earnest."	友達に手伝ってもらおうなんていうのは、刈り入れを真剣には考えていない証拠なんだからね……」
The owner of the field came again a few days later and saw the wheat shedding the grain from excess of ripeness.	数日後、畑の主がまたやって来て、実が入りすぎて落ちた小麦を見て
He said,	こう言った。
"I will come myself tomorrow with my laborers,	「明日は、使用人と一緒に来なければなるまい。
and with as many reapers as I can hire, and will get in the harvest."	そして雇えるだけ人を集めて、刈り取りをせぬことには……」
The Lark on hearing these words said to her brood,	母ヒバリはこの言葉を聞いて、雛たちに言った。
"It is time now to be off, my little ones,	「さあ、坊やたち、出掛ける時が来ました。
for the man is in earnest this time;	今度こそ彼は本気です。
he no longer trusts his friends, but will reap the field himself."	友達を頼りにせず、自分自身で刈り取ろうとしているのですから……」
Self-help is the best help.	自助努力こそが、我が身を助ける
The Fox and the Lion	２０３．キツネとライオン
WHEN A FOX who had never yet seen a Lion, fell in with him by chance for the first time in the forest, he was so frightened that he nearly died with fear.	まだ、ライオンを見たことのなかったキツネが、森で初めてライオンに出会った時、死ぬかと思ったほど恐怖した。
On meeting him for the second time, he was still much alarmed, but not to the same extent as at first.	二度目に会った時は、とても驚いたが、最初ほどではなく、
On seeing him the third time, he so increased in boldness that he went up to him and commenced a familiar conversation with him.	三度目に出会った時には、近づいて行って親しく話しかけるほど、大胆になっていた。
Acquaintance softens prejudices.	面識を持てば、先入観も払拭される。
The Weasel and the Mice	２０４．イタチとネズミたち
A WEASEL, inactive from age and infirmities, was not able to catch mice as he once did.	寄る年波には抗しきれずに衰えて動きが鈍くなったイタチは、以前のようにネズミが捕れなくなってしまった。
He therefore rolled himself in flour and lay down in a dark corner.	そこで、粉の中をごろごろ転がって、粉を体中に塗すと、薄暗い隅の方へ横たわった。
A Mouse, supposing him to be food, leaped upon him, and was instantly caught and squeezed to death.	ネズミは、これを食べ物と思って飛びつき、そして、即座にイタチに捕まって絞め殺されてしまった。
Another perished in a similar manner, and then a third,	二番目も同じことをして殺され、三番目も殺された。
and still others after them.	それでもまだ、同じ目に遭う者が後を絶たなかった。
A very old Mouse, who had escaped many a trap and snare, observed from a safe distance the trick of his crafty foe and said,	今まで多くの罠や策略から逃れてきた、一匹の年老いたネズミが、イタチの狡猾な罠を看破して、安全な場所からこう言った。
"Ah! you that lie there,	「そこに寝転がっている、そこのお方。
may you prosper just in the same proportion as you are what you pretend to be!"	あんたの、その扮装が上手ければ上手い分だけ、あんたの腹は膨れるという寸法なんだね」
The Boy Bathing	２０５．水浴びをする少年
A BOY bathing in a river was in danger of being drowned.	川で水浴びをしていた少年が、深みにはまって溺れてしまった。
He called out to a passing traveler for help,	少年は大声で叫んで、通りかかった旅人に助けを求めた。
but instead of holding out a helping hand, the man stood by unconcernedly, and scolded the boy for his imprudence.	しかし旅人は、手を差し延べようとはせずに、無頓着に傍観したまま、少年の軽はずみを叱りつけるばかりだった。
"Oh, sir!"	「おじさん」
cried the youth,	少年が叫んだ。
"pray help me now	「お願いだから助けて！
and scold me afterwards."	そうしたら、どんなに叱っても構わないから････」
Counsel without help is useless.	助けの伴わない忠告は役に立たない。
The Ass and the Wolf	２０６．ロバとオオカミ
AN ASS feeding in a meadow saw a Wolf approaching to seize him,	ロバが草原で草を食んでいると、オオカミが近づいて来るのに気付いた。
and immediately pretended to be lame.	ロバはすぐに、足を痛めている振りをした。
The Wolf, coming up, inquired the cause of his lameness.	オオカミは、ロバになぜ足を引きずっているのかと尋ねた。
The Ass replied that passing through a hedge he had trod with his foot upon a sharp thorn.	するとロバは、垣根を抜けようとした時に、鋭い棘を踏んでしまったのだと答えた。
He requested that the Wolf pull it out, lest when he ate him it should injure his throat.	そしてロバは、オオカミが自分を食べる時に、喉を痛めたりしないように、棘を抜いてくれるようにと頼んだ。
The Wolf consented and lifted up the foot,	オオカミはそれを承知すると、ロバの足を持ち上げた。
and was giving his whole mind to the discovery of the thorn,	そして、棘を見つけようと、全神経を集中させた。
when the Ass, with his heels, kicked his teeth into his mouth	と、そのときロバは、蹄でもって、オオカミの歯を蹴飛ばした。
and galloped away.	そして、ぱっか、ぱっかと逃げて行った。
The Wolf, being thus fearfully mauled, said,	オオカミは、独りごちた。
"I am rightly served,	「こんな目に遭うのも当然だ。
for why did I attempt the art of healing,	俺はなぜ、医術を施そうとしたのだ？
when my father only taught me the trade of a butcher?'	親爺は、俺に屠殺の仕事しか教えなかったというのに……」
The Seller of Images	２０７．神像売り
A CERTAIN MAN made a wooden image of Mercury and offered it for sale.	ある男が、マーキュリー神の木像を造って、売りに出していた。
When no one appeared willing to buy it, in order to attract purchasers,	しかし、まったく売れないので、人々を惹きつけようと思い、
he cried out that he had the statue to sell of a benefactor who bestowed wealth and helped to heap up riches.	「とりいだしましたるは、富と利益を授けてくれる、ありがたい神像だよ。」
One of the bystanders said to him,	すると客の一人が彼にこう言った。
"My good fellow,	「おい、相棒。
why do you sell him, being such a one as you describe,	そんなにありがたい神像ならば、なぜ売るんだ？
when you may yourself enjoy the good things he has to give?'	自分がその御利益に預かればよかろうものを…」
"Why,"	「なぜですと？」
he replied,	神像売りは答えた。
"I am in need of immediate help,	「私はすぐにでも利益がいるのです。
and he is wont to give his good gifts very slowly."	でも、この神様は、恵みを授けてくれるのがとても遅いのですよ」
The Fox and the Grapes	２０８．キツネとブドウ
A FAMISHED FOX saw some clusters of ripe black grapes hanging from a trellised vine.	ブドウ棚に、よく熟れたブドウがぶら下がっていた。
She resorted to all her tricks to get at them,	それを見つけた腹ペコ狐は、あらゆる手段を講じて、ブドウをとろうとした。
but wearied herself in vain,	しかし、全て徒労に終わった。
for she could not reach them.	どうしてもブドウの房に届かなかったのだ。
At last she turned away, hiding her disappointment and saying:	とうとう彼女は諦めて、悔し紛れにこう言った。
"The Grapes are sour,	「あのブドウは酸っぱい。
and not ripe as I thought."	熟してないのよ」
The Man and His Wife	２０９．男と女房
A MAN had a Wife who made herself hated by all the members of his household.	その男の女房は、召使いたちに嫌な思いをさせるので皆に嫌われていた。
Wishing to find out if she had the same effect on the persons in her father's house,	男は、妻が実家の使用人に対しても同じように振る舞うのかどうか確かめようと思った。
he made some excuse to send her home on a visit to her father.	そこで、なにか理由を見つけて、彼女を父親の家へと送った。
After a short time she returned,	ところが、彼女はすぐに帰って来た。
and when he inquired how she had got on and how the servants had treated her,	そこで彼は妻に、実家ではどのような生活をし、そして、使用人たちの態度はどうだったかと尋ねた。
she replied,	すると、彼女はこう答えた。
"The herdsmen and shepherds cast on me looks of aversion."	「ウシ飼やヒツジ飼は、嫌悪の表情で私をみました。」
He said,	すると、男はこう言った。
"O Wife,	「ねえ、僕の奥さんや。
if you were disliked by those who go out early in the morning with their flocks and return late in the evening,	彼らは、朝早くヒツジやウシの群れを連れて出掛けて行き、夕方遅く帰ってくるのだろう。
what must have been felt towards you by those with whom you passed the whole day!"	そんな彼らに嫌われるとするなら、一日中お前と一緒にいる者たちが、お前をどう思っていたか分かるだろう！」
Straws show how the wind blows.	鈍感な者でも、色々な事例を示せば嫌でも分かる。
The Peacock and Juno	２１０．クジャクとユノ
THE PEACOCK made complaint to Juno	クジャクが女神ユノに不満を申し立てた。
that, while the nightingale pleased every ear with his song, he himself no sooner opened his mouth than he became a laughingstock to all who heard him.	ナイチンゲールは、その歌声で皆を幸せな気分にさせるのに、自分が口を開くと、その途端、皆が笑い出すというのだ。
The Goddess, to console him, said,	すると女神は慰めて言った。
"But you far excel in beauty and in size.	「でも、お前は、美しさや大きさの点で秀でているではないか。
The splendor of the emerald shines in your neck and you unfold a tail gorgeous with painted plumage."	首は豪華なエメラルドで輝き、そして色とりどりの立派な尾が広がる」
"But for what purpose have I,"	すると、クジャクがこう答えた。
said the bird,	「しかし、
"this dumb beauty so long as I am surpassed in song?'	いくら美しくても、歌声で劣っていては、その美しさも輝きません」
"The lot of each,"	すると、女神がこう言ってたしなめた。
replied Juno,	「よいですか、それぞれには、領分というものがあるのです。
--to thee, beauty; to the eagle, strength; to the nightingale, song; to the raven, favorable, and to the crow, unfavorable auguries.	ワシには強さ、ナイチンゲールには歌声、ワタリガラスは瑞兆を知らせ、小ガラスは凶兆を知らす。
These are all contented  with the endowments allotted to them."	皆は与えられたもので満足しているのですよ」
The Hawk and the Nightingale	２１１．タカとナイチンゲール
A NIGHTINGALE, sitting aloft upon an oak and singing according to his wont, was seen by a Hawk who, being in need of food, swooped down and seized him.	ナイチンゲールが、いつものように、カシの高枝にとまって、歌を歌っていると、腹を空かせたタカに急襲されて捕まってしまった。
The Nightingale, about to lose his life, earnestly begged the Hawk to let him go, saying that he was not big enough to satisfy the hunger of a Hawk who, if he wanted food, ought to pursue the larger birds.	死の迫ったナイチンゲールは、自分は、タカの空腹を満たすには小さすぎるので、どうか逃がしてくれるようにと懇願した。
The Hawk, interrupting him, said:	すると、タカは、ナイチンゲールの言葉を遮って言った。
"I should indeed have lost my senses if I should let go food ready in my hand, for the sake of pursuing birds which are not yet even within sight."	「もし、まだ見ぬ獲物を求めて、既に手の内にある獲物を逃がしたとしたら、それは、まったくどうかしているとしか言えないね」
The Dog, the Cock, and the Fox	２１２．イヌとニワトリとキツネ
A DOG and a Cock being great friends, agreed to travel together.	イヌとニワトリが大の仲良しになって、一緒に旅に出ることにした。
At nightfall they took shelter in a thick wood.	夕方になると、二匹は、太い木を宿に決め、
The Cock flying up, perched himself on the branches of a tree, while the Dog found a bed beneath in the hollow trunk.	ニワトリは枝に飛び乗り、イヌは木の根本近くの洞を寝床にした。
When the morning dawned, the Cock, as usual, crowed very loudly several times.	明け方、ニワトリがいつものように大きな声で鳴いた。
A Fox heard the sound,	すると、キツネがその声を聞きつけて、やって来た。
and wishing to make a breakfast on him, came and stood under the branches, saying	そして内心を隠してこんなことを言った。
how earnestly he desired to make the acquaintance of the owner of so magnificent a voice.	「僕は、君のような素晴らしい声の持ち主と知り合いになりたかったんだよ」
The Cock, suspecting his civilities, said:	ニワトリはキツネの言葉を訝ってこう言った。
"Sir,	「それは光栄です。
I wish you would do me the favor of going around to the hollow trunk below me, and waking my porter,	それでは、下の方に洞がありますからそこへ行って、私の下男を起こして下さいませんか。
so that he may open the door and let you in."	そうすれば、彼が扉を開いてあなたを中へ入れてくれますから」
When the Fox approached the tree,	キツネは洞へと近づいて行った。
the Dog sprang out and caught him, and tore him to pieces.	と、イヌが跳びかかりキツネを捕まえるとズタズタに引き裂いた。
The Wolf and the Goat	２１３．オオカミとヤギ
A WOLF saw a Goat feeding at the summit of a steep precipice,	オオカミは、険しい崖の上で草を食べているヤギをみつけた。
where he had no chance of reaching her.	しかしオオカミは、そこへ行くことは出来なかったものだから、
He called to her and earnestly begged her to come lower down, lest she fall by some mishap;	そんな崖にいるのは危ないから、降りてくるようにと呼びかけた。
and he added that the meadows lay where he was standing, and that the herbage was most tender.	そして更に、ここには、とても柔らかな牧草が生い茂っていると付け加えた。
She replied,	するとヤギはこう答えた。
"No, my friend,	「ご遠慮申し上げますわ、オオカミさん。
it is not for the pasture that you invite me, but for yourself, who are in want of food."	あなたが私をご招待下さるのは、私を満腹にさせるためではなく、ご自分の腹を満たすためなのでしょう」
The Lion and the Bull	２１４．ライオンと牡ウシ
A LION, greatly desiring to capture a Bull,	ライオンは、牡ウシが食いたくて仕方なかった。
and yet afraid to attack him on account of his great size,	しかし、襲いかかって倒すには、牡ウシは大きすぎた。
resorted to a trick to ensure his destruction.	そこで、ライオンは計略を巡らすことにした。
"I have slain a fine sheep, my friend;	「やあ、ウシ君、実は旨そうなヒツジが手に入ったのだけど、
and if you will come home and partake of him with me,	僕の家へ来て、食味をしてみないか？
I shall be delighted to have your company."	君の来るのを楽しみに待っているから……」
The Lion said this in the hope that, as the Bull was in the act of reclining to eat, he might attack him to advantage, and make his meal on him.	ライオンは、牡ウシが食事につられて隙ができたところを襲い掛かり、餌食にしてしまおうと思ったのだ。
The Bull, on approaching the Lion's den,	牡ウシは、ライオンの家へとやって来た。
saw the huge spits and giant caldrons, and no sign whatever of the sheep,	しかし、巨大な串や大釜はあるのに、ヒツジが用意されていないことに気が付いた。
and, without saying a word, quietly took his departure.	それで牡ウシは何も言わずにくるりと背を向けた。
The Lion inquired why he went off so abruptly without a word of salutation to his host, who had not given him any cause for offense.	するとライオンは、自分に何か落ち度があるわけでもないのに、どうして、一言の挨拶もなしに、行ってしまうのかと言った。
"I have reasons enough,"	すると牡ウシはこう答えた。
said the Bull.	「理由は、十分すぎる程ありますよ。
"I see no indication whatever of your having slaughtered a sheep, while I do see very plainly every preparation for your dining on a bull."	ヒツジは見あたらないと言うのに、料理の準備は万端で、後は食材の牡ウシを待つばかり……」
The Goat and the Ass	２１５．ヤギとロバ
A MAN once kept a Goat and an Ass.	昔ある男が、ヤギとロバを飼っていた。
The Goat, envying the Ass on account of his greater abundance of food, said,	ヤギはロバにたくさんの餌が与えられるのを羨んで、こんなことを言った。
"How shamefully you are treated: at one time grinding in the mill, and at another carrying heavy burdens";	「ねえロバ君、君は粉を挽いたり、重い荷物を運ばされたりと、本当に大変だね」
and he further advised him	ヤギは更にこう言った。
to pretend to be epileptic and fall into a ditch and so obtain rest.	「気を失った振りをして溝に落っこち、休養でもしたらいいよ」
The Ass listened to his words, and falling into a ditch, was very much bruised.	ヤギの言葉を真に受けたロバは、溝の中へ落ちるとひどい怪我をしてしまった。
His master, sending for a leech, asked his advice.	飼い主は、医者を呼びにやって、どうすればよいかと訊ねた。
He bade him pour upon the wounds the lungs of a Goat.	すると医者は、ヤギの肺を傷口に塗りつけるようにと言った。
They at once killed the Goat, and so healed the Ass.	飼い主は、ヤギを殺してロバを治療した。
The Town Mouse and the Country Mouse	２１６．町のネズミと田舎のネズミ
A COUNTRY MOUSE invited a Town Mouse, an intimate friend, to pay him a visit and partake of his country fare.	田舎のネズミが、御馳走を振る舞おうと、仲の良い町のネズミを招待した。
As they were on the bare plowlands, eating there wheat-stocks and roots pulled up from the hedgerow, the Town Mouse said to his friend,	二匹は土くれだった畑へ行き、麦の茎や、大根を引っこ抜いて食べていたのだが、町のネズミがこう言った。
"You live here the life of the ants,	「君のここでの暮らしぶりは、まるで蟻のようだ。
while in my house is the horn of plenty.	それに引き換え僕の家は、豊饒で溢れているよ。
I am surrounded by every luxury,	あらゆる贅沢に囲まれているんだよ。
and if you will come with me,	ねえ、僕のところへ来ない？
as I wish you would, you shall have an ample share of my dainties."	そうすれば珍しいものが腹一杯食べられるよ」
The Country Mouse was easily persuaded, and returned to town with his friend.	田舎のネズミは二つ返事で承知すると、友と連れだって町へと向かった。
On his arrival, the Town Mouse placed before him bread, barley, beans, dried figs, honey, raisins, and, last of all, brought a dainty piece of cheese from a basket.	家に着くと、町のネズミは、パンに大麦、豆に乾燥イチジク、蜂蜜、レーズン、そして極めつけに、籠から上質のチーズを取り出して、田舎のネズミの前に置いた。
The Country Mouse, being much delighted at the sight of such good cheer, expressed his satisfaction in warm terms	めくるめく御馳走を前に、田舎のネズミは、心のこもった言葉でお礼を述べた。
and lamented his own hard fate.	そして、自分の暮らしが如何に惨めであるかを嘆いた。
Just as they were beginning to eat, someone opened the door,	しかし、彼らが御馳走を食べようとしたその時、何者かが扉を開けた。
and they both ran off squeaking, as fast as they could, to a hole so narrow that two could only find room in it by squeezing.	ネズミたちはチューと鳴きながら、なんとか二匹が潜りこめる狭い穴をみつけると、一目散に逃げ込んだ。
They had scarcely begun their repast again when someone else entered to take something out of a cupboard,	彼らが食事を再会しようとすると、また、別な誰かが入って来た。
At last the Country Mouse, almost famished, said to his friend:	腹が減ってたまらなくなった田舎の鼠は、ついに友達にこう言った。
"Although you have prepared for me so dainty a feast, I must leave you to enjoy it by yourself.	「こんなに素晴らしい御馳走を用意してもらったけど、これは、どうぞあなた一人でお召し上がり下さい。
It is surrounded by too many dangers to please me.	こんなに危険が多くては、とても楽しめません。
I prefer my bare plowlands and roots from the hedgerow,	私には、土くれだった畑で大根でも食べている方が性に合うのです。
where I can live in safety, and without fear."	あそこならば、安全で怖いこともなく暮らせますからね」
The Wolf, the Fox, and the Ape	２１７．オオカミとキツネとサル
A WOLF accused a Fox of theft,	オオカミがキツネを盗の罪で告訴した。
but the Fox entirely denied the charge.	しかし、キツネは全く身に覚えがないと、その罪を否認した。
An Ape undertook to adjudge the matter between them.	そこでサルが、この訴訟を請け負うことになった。
When each had fully stated his case the Ape announced this sentence:	オオカミとキツネが互いに自分の立場を主張すると、サルは次のような判決を下した。
"I do not think you, Wolf, ever lost what you claim;	「オオカミ君、本官には、君が、何か取られたとは思えない。
and I do believe you, Fox, to have stolen what you so stoutly deny."	そして、キツネ君、君がどんなに否定しようとも、それを盗んだに違いない」
The dishonest, if they act honestly, get no credit.	嘘つきは、たとえ本当のことを言っても信用されない。
The Fly and the Draught-Mule	２１８．アブと二輪戦車を曳くロバ
A FLY sat on the axle-tree of a chariot, and addressing the Draught-Mule said,	ロバが二輪戦車を曳いて走っていると、一匹のアブが車軸に止まってこう言った。
"How slow you are!	「なんて遅いんだ。
Why do you not go faster?	どうしてもっと速く走らないんだ。
See if I do not prick your neck with my sting."	僕の針で首を刺されたいのかい？」
The Draught-Mule replied,	すると、ロバはこう言った。
