The Wizard of Oz	オズの魔法使い
There were many people	人がたくさん歩き回っています。
--men, women, and children	男も女も子供も。
--walking about, and these were all dressed in green clothes and had greenish skins.	みんな緑の服をきて、緑っぽい肌をしていました。
They looked at Dorothy and her strangely assorted company with wondering eyes, and the children all ran away and hid behind their mothers when they saw the Lion;	みんな、ドロシーとその風変わりな連れの組み合わせを不思議そうに見つめ、子どもたちはライオンを見るとみんな逃げ出してお母さんのうしろに隠れるのでした。
but no one spoke to them.	でも、だれも話しかけてきません。
Many shops stood in the street, and Dorothy saw that everything in them was green.	通りにはお店がたくさんあって、並んでいるものはどれも緑色でした。
Green candy and green pop corn were offered for sale, as well as green shoes, green hats, and green clothes of all sorts.	緑のキャンデーや緑のポップコーンが売られていて、他に緑のくつや緑の帽子、緑の服もいろいろ売られています。
At one place a man was selling green lemonade, and when the children bought it Dorothy could see that they paid for it with green pennies.	あるところでは、緑のレモネードを売っている人がいましたし、子どもたちがそれを買うところを見ると、支払いも緑の硬貨でされていました。
There seemed to be no horses nor animals of any kind;	馬も、その他どんな動物もいないようです。
the men carried things around in little green carts, which they pushed before them.	人々は小さい緑の手押し車を押して物を運んでいます。
Everyone seemed happy and contented and prosperous.	みんな幸せそうで、満足して栄えているようでした。
The Guardian of the Gates led them through the streets until they came to a big building, exactly in the middle of the City,	門の守備兵に導かれて大通りを進位置に、都のど真ん中にある大きな建物にやってきました。
which was the Palace of Oz, the Great Wizard.	これが大魔法使いオズの宮殿でした。
There was a soldier before the door, dressed in a green uniform and wearing a long green beard.	ドアの前には兵隊がいて、緑の制服を来て長い緑のひげをはやしています。
"Here are strangers,"	「ここにいる知らない者たちが、
said the Guardian of the Gates to him,	偉大なオズにお目通りを願っている」
"and they demand to see the Great Oz."	と門の守備兵が言いました。
"Step inside,"	「中に入りなさい。
answered the soldier,	伝言を伝えよう」
"and I will carry your message to him."	と兵隊が答えます。
So they passed through the Palace Gates and were led into a big room	そこで一行は宮殿の門を通って、大きな部屋に通されました。
with a green carpet and lovely green furniture set with emeralds.	そこには緑のじゅうたんと、エメラルドのはまった美しい緑の家具セットが置かれていました。
The soldier made them all wipe their feet upon a green mat before entering this room,	兵隊は、部屋に生える前に緑のマットでみんなに足をふかせました。
and when they were seated he said politely:	そしてみんながすわると、礼儀正しくこう言いました。
"Please make yourselves comfortable while I go to the door of the Throne Room and tell Oz you are here."	「玉座の間のドアに赴いて、オズにあなたがたのご来訪を告げますので、くつろいでお待ちください」
They had to wait a long time before the soldier returned.	兵隊が戻ってくるまでずいぶん待たされました。
When, at last, he came back, Dorothy asked:	やっと戻ってきた兵隊に、ドロシーは尋ねました。
"Have you seen Oz?"	「オズには会えましたか？」
"Oh, no,"	兵隊は答えます。
returned the soldier;	「いえいえ、
"I have never seen him.	わたしはオズを見たことがありません。
But I spoke to him as he sat behind his screen and gave him your message.	でも、ついたての向こうにすわったオズに話して、ご伝言を伝えましたよ。
He said he will grant you an audience, if you so desire;	望みとあらば話をきいてやろうとのことです。
but each one of you must enter his presence alone,	でも、部屋にはみなさんそれぞれお一人ずつで入ること。
and he will admit but one each day.	そして一日にたった一人の話しかきかないとのことです。
Therefore, as you must remain in the Palace for several days, I will have you shown to rooms where you may rest in comfort after your journey."	したがいまして、みなさんこの宮殿に何日かとどまるしかないので、旅のあとで心地よく休めるお部屋に案内させましょう」
"Thank you,"	「ありがとうございます。
replied the girl;	オズは親切な方ですね」
"that is very kind of Oz."	と少女は答えました。
The soldier now blew upon a green whistle, and at once a young girl, dressed in a pretty green silk gown, entered the room.	兵隊がこんどは緑の笛をふくと、すぐにきれいな緑の絹のガウンを着た娘が部屋にまいりました。
She had lovely green hair and green eyes, and she bowed low before Dorothy as she said,	美しい緑の髪と緑の目をしていて、ドロシーの前で深くおじぎをしながらこう言いました。
"Follow me and I will show you your room."	「おいでください、お部屋にご案内いたします」
So Dorothy said good-bye to all her friends except Toto, and taking the dog in her arms followed the green girl through seven passages and up three flights of stairs until they came to a room at the front of the Palace.	そこでドロシーは、トト以外の友だちみんなにさよならを言って、犬をうでに抱えると、廊下七本をぬけ、階段を三階分のぼりまして、宮殿の正面側の部屋にやってきました。
It was the sweetest little room in the world, with a soft comfortable bed that had sheets of green silk and a green velvet counterpane.	実にすてきな小部屋で、ふかふかの気持ちいいベッドには、緑の絹のシーツと緑のビロードのカバーがかかっています。
There was a tiny fountain in the middle of the room, that shot a spray of green perfume into the air, to fall back into a beautifully carved green marble basin.	部屋の真ん中には小さな泉があって、宙に緑の香水を吹き上げており、それが見事に彫刻された緑の大理石の池にまた落ちてくるのでした。
Beautiful green flowers stood in the windows, and there was a shelf with a row of little green books.	美しい緑の花が窓に並び、小さな緑の本が並んだ本棚もあります。
When Dorothy had time to open these books she found them full of queer green pictures that made her laugh, they were so funny.	後でドロシーがその本を開いてみると、風変わりな緑の絵がいっぱいで、それがおかしすぎてドロシーは笑い出してしまいました。
In a wardrobe were many green dresses, made of silk and satin and velvet;	たんすの中には、絹やサテンやビロード製の緑の洋服がたくさんありました。
and all of them fitted Dorothy exactly.	そしてどれもドロシーにぴったりです。
"Make yourself perfectly at home,"	「何も遠慮はいりません。
said the green girl,	もし何か入りようでしたらベルを慣らしてください。
"and if you wish for anything ring the bell.	オズは明日の朝にお迎えをよこしますので」
Oz will send for you tomorrow morning."	と緑の少女が言いました。
She left Dorothy alone and went back to the others.	緑の少女はドロシーを一人残して、他の一行のところに戻りました。
These she also led to rooms, and each one of them found himself lodged in a very pleasant part of the Palace.	そのそれぞれを部屋に案内し、みんな自分が宮殿のとても快適な部屋に泊まることになったのを知りました。
Of course this politeness was wasted on the Scarecrow;	もちろんこんな礼儀正しさは、かかしには何の意味もないことでした。
for when he found himself alone in his room he stood stupidly in one spot, just within the doorway, to wait till morning.	部屋にひとりきりになると、かかしは戸口を入ってすぐのところにバカみたいにじっと突っ立って、朝を待っていたのでした。
It would not rest him to lie down, and he could not close his eyes;	横になっても休まるわけじゃないし、目も閉じられません。
so he remained all night staring at a little spider which was weaving its web in a corner of the room, just as if it were not one of the most wonderful rooms in the world.	だから一晩中、部屋の隅で巣を作っている小さなクモを眺めてすごし、ここが世界でもっともすばらしい部屋の一つだなんてことはおかまいなしです。
The Tin Woodman lay down on his bed from force of habit,	ブリキの木こりは、単に習慣でベッドに横になりました。
for he remembered when he was made of flesh;	肉でできていた頃のことを覚えていたからです。
but not being able to sleep, he passed the night moving his joints up and down to make sure they kept in good working order.	でも眠れませんでしたので、一晩中関節を上げたり下げたりして、それがきちんと動くようにして過ごしたのです。
The Lion would have preferred a bed of dried leaves in the forest, and did not like being shut up in a room;	ライオンは、森の中の枯葉のベッドのほうがよかったし、部屋に閉じこめられるのもいやでした。
but he had too much sense to let this worry him,	でもそんなことを心配するには賢すぎました。
so he sprang upon the bed and rolled himself up like a cat and purred himself asleep in a minute.	そこでベッドに飛び乗るとネコのように丸くなり、ものの数分でのどを鳴らしながら眠ってしまいました。
The next morning, after breakfast, the green maiden came to fetch Dorothy, and she dressed her in one of the prettiest gowns, made of green brocaded satin.	翌朝、朝ごはんの後で、緑の女中がドロシーを迎えにきまして、すばらしくきれいなガウンを着せてくれました――緑のひだつきサテンでできているのです。
Dorothy put on a green silk apron and tied a green ribbon around Toto's neck, and they started for the Throne Room of the Great Oz.	ドロシーは緑の絹のエプロンをして、トトの首に緑のリボンを巻き、偉大なオズの玉座の間に向かったのでした。
First they came to a great hall	まずは大広間にやっていました。
in which were many ladies and gentlemen of the court, all dressed in rich costumes.	そこには宮廷の数多くの紳士淑女がいて、みんな豊かな衣装を身につけています。
These people had nothing to do but talk to each other, but they always came to wait outside the Throne Room every morning,	この人たちは、おしゃべりするしかやることがありませんでしたが、でも毎朝玉座の間の外に毎朝集まるのでした。
although they were never permitted to see Oz.	もっとも、オズとの面会を許されたことは一度もなかったのでした。
As Dorothy entered they looked at her curiously, and one of them whispered:	ドロシーが部屋に入ると、みんな好奇心いっぱいで彼女をながめ、その一人がこうささやきました。
"Are you really going to look upon the face of Oz the Terrible?"	「本当に恐るべきオズの顔を目の当たりにするのかね？」
"Of course,"	少女は答えました。
answered the girl,	「もちろんです。
"if he will see me."	オズが会ってくださるなら」
"Oh, he will see you,"	「そりゃ会ってくれますよ」
said the soldier who had taken her message to the Wizard,	魔法使いに伝言を伝えてくれた兵隊が言いました。
"although he does not like to have people ask to see him.	「でもオズは、人に会って欲しいと言われるのがあまりお好きではないんです。
Indeed, at first he was angry and said I should send you back where you came from.	実は、最初はずいぶん腹をたてて、追い返してしまえとおっしゃったんですよ。
Then he asked me what you looked like, and when I mentioned your silver shoes he was very much interested.	でもそこで、どんな風体なのかと尋ねられまして、あなたの銀のくつの話をすると、とても興味をお示しになりました。
At last I told him about the mark upon your forehead, and he decided he would admit you to his presence."	最後にあなたのおでこのしるしについて話しますと、面会を許そうと決意なさったのです」
Just then a bell rang, and the green girl said to Dorothy,	ちょうどそのとき、鐘がなって緑の少女がドロシーにこう言いました。
"That is the signal.	「あれが合図です。
You must go into the Throne Room alone."	お一人で玉座の間に入らなくてはなりません」
She opened a little door and Dorothy walked boldly through and found herself in a wonderful place.	少女が小さなドアを開けたので、ドロシーは勇気を出してそこを通ってみると、すばらしい場所に出ました。
It was a big, round room with a high arched roof, and the walls and ceiling and floor were covered with large emeralds set closely together.	大きな丸い部屋で天井は高いアーチになっており、壁や天井や床はぎっしり並べた大きなエメラルドでおおわれています。
In the center of the roof was a great light, as bright as the sun, which made the emeralds sparkle in a wonderful manner.	天井の中心には太陽と同じくらいまばゆい光があって、そのためにエメラルドがとても見事にきらめきます。
But what interested Dorothy most was the big throne of green marble that stood in the middle of the room.	でもドロシーがいちばん興味をひかれたのは、部屋の真ん中にそびえる緑の大理石製の大きな玉座でした。
It was shaped like a chair and sparkled with gems, as did everything else.	椅子のような形をしていて、その他のすべてと同じく宝石で輝いています。
In the center of the chair was an enormous Head, without a body to support it or any arms or legs whatever.	椅子の真ん中には、巨大な頭があるのですが、それを支える身体もなければ、腕や脚もまるっきりありません。
There was no hair upon this head, but it had eyes and a nose and mouth, and was much bigger than the head of the biggest giant.	この頭には髪の毛もありませんでしたが、目や鼻や口はあって、ものすごい巨人の頭よりも大きいのです。
As Dorothy gazed upon this in wonder and fear, the eyes turned slowly and looked at her sharply and steadily.	ドロシーが不思議そうにおびえながらこれを見上げていると、目がゆっくりと動いて、ドロシーを鋭くじっと見つめました。
Then the mouth moved, and Dorothy heard a voice say:	それから口が動いて、こんな声がドロシーには聞こえました。
"I am Oz, the Great and Terrible.	「我こそはオズ、偉大にして恐ろしき存在である。
Who are you, and why do you seek me?"	お前は何者だ、そして何故私を求めるのか？」
It was not such an awful voice as she had expected to come from the big Head;	大きな頭からの声としては、思っていたほどひどい声ではありませんでした。
so she took courage and answered:	そこで勇気を出してこう答えました。
"I am Dorothy, the Small and Meek.	「あたしはドロシー、小さくてか弱い者です。
I have come to you for help."	助けていただきたくてまいりました」
The eyes looked at her thoughtfully for a full minute.	目は、まるまる一分間もドロシーを考え深げに見つめました。
Then said the voice:	それから声がこう言いました。
"Where did you get the silver shoes?"	「その銀のくつはどこで手に入れた？」
"I got them from the Wicked Witch of the East, when my house fell on her and killed her,"	「東の邪悪な魔女から手に入れたんです、あたしの家が魔女の上に落っこちて、魔女を殺したときに」
she replied.	とドロシーは答えました。
"Where did you get the mark upon your forehead?"	「おでこのしるしはどこでついた？」
continued the voice.	と声はたずねます。
"That is where the Good Witch of the North kissed me when she bade me good-bye and sent me to you,"	「これは北のよい魔女が、あたしにさよならを言ってあなたを訪ねに送り出したときにキスしてくれたところです」
said the girl.	と少女。
Again the eyes looked at her sharply, and they saw she was telling the truth.	またもや目はドロシーを鋭く見つめましたが、いまの話が本当だと見極めました。
Then Oz asked,	そしてオズは訪ねました。
"What do you wish me to do?"	「私に何を望むのだ？」
"Send me back to Kansas,	「カンザスに送り返してください。
where my Aunt Em and Uncle Henry are,"	エムおばさんとヘンリー叔父さんのいるところへ」
she answered earnestly.	とドロシーは心の底から答えます。
"I don't like your country, although it is so beautiful.	「あなたの国はとても美しいけれど、でも好きじゃないんです。
And I am sure Aunt Em will be dreadfully worried over my being away so long."	それにエムおばさんも、あたしがこんなに長いこと留守にして死ぬほど心配してると思うんです」
The eyes winked three times, and then they turned up to the ceiling and down to the floor and rolled around so queerly that they seemed to see every part of the room.	目は三回まばたきして、それから天井を見上げ、床を見下ろし、さらに実に奇妙な感じできょろきょろしたので、部屋の隅々まで眺め回しているようでした。
And at last they looked at Dorothy again.	そしてやっと、再びドロシーを眺めました。
"Why should I do this for you?"	「なぜ私がお前のためにそんなことをせねばならんのだ？」
asked Oz.	とオズは訪ねます。
"Because you are strong and I am weak;	「だってあなたは強くてあたしは弱いんですもの。
because you are a Great Wizard and I am only a little girl."	あなたはえらい魔法使いで、わたしはただの寄る辺ない女の子でしかないんです」
"But you were strong enough to kill the Wicked Witch of the East,"	「だがおまえは東の邪悪な魔女を殺すだけの力を持っていたではないか」
said Oz.	とオズ。
"That just happened,"	「あれは成り行きです。
returned Dorothy simply;	どうしようもなかったんです」
"I could not help it."	とドロシーはきっぱり答えました。
"Well,"	頭は言いました。
said the Head,	「そうか。
"I will give you my answer.	私の答えを伝えよう。
You have no right to expect me to send you back to Kansas unless you do something for me in return.	カンザスに送り返せというからには、かわりに私のたのみをきかなくてはならない。
In this country everyone must pay for everything he gets.	この国では、自分の手に入れるものについてはすべてそれなりの代償を支払うのだ。
If you wish me to use my magic power to send you home again you must do something for me first.	私の魔法の力を使って家に送り返してほしいのであれば、まずは私のためにやらなくてはならないことがある。
Help me and I will help you."	私を助けてくれたら、私もおまえを助けよう」
"What must I do?"	「何をしなくてはいけないのでしょうか？」
asked the girl.	と少女はたずねます。
"Kill the Wicked Witch of the West,"	「西の邪悪な魔女を殺すがいい」
answered Oz.	とオズが答えました。
"But I cannot!"	「でもそんなの無理です！」
exclaimed Dorothy, greatly surprised.	とドロシーは大いに驚いてさけびました。
"You killed the Witch of the East and you wear the silver shoes, which bear a powerful charm.	「おまえは東の魔女を殺したし、おまえのはいている銀のくつは強力な魔法を持っている。
There is now but one Wicked Witch left in all this land,	いまやこの地に残る邪悪な魔女はたった一人。
and when you can tell me she is dead I will send you back to Kansas--but not before."	それが死んだと言えるようになったら、カンザスに送り返してやろう――だがそれまではだめだ」
The little girl began to weep,	少女は泣き出しました。
she was so much disappointed;	本当にがっかりしてしまったのです。
and the eyes winked again and looked upon her anxiously,	すると目はまたまばたきして心配そうに彼女を見つめました。
as if the Great Oz felt that she could help him if she would.	まるでえらいオズが、ドロシーさえその気になれば自分を助けてくれるのに、とでも思っているかのようでした。
"I never killed anything, willingly,"	「あたしはわざと生き物を殺したことは一度もないんです」
she sobbed.	とドロシーはすすり泣きました。
"Even if I wanted to, how could I kill the Wicked Witch?	「それに殺したくったって、どうすれば邪悪な魔女なんか殺せるんですか？
If you, who are Great and Terrible, cannot kill her yourself, how do you expect me to do it?"	偉大でおそろしいあなたですらご自分で殺せないものを、どうやってあたしに殺せとおっしゃるんですか？」
"I do not know,"	頭は言いました。
said the Head;	「知らんな。
"but that is my answer,	だがそれが私の答えだ。
and until the Wicked Witch dies you will not see your uncle and aunt again.	そして邪悪な魔女が死ぬまでは、おまえはおじさんにもおばさんにも会えぬのだ。
Remember that the Witch is Wicked--tremendously Wicked -and ought to be killed.	忘れるな、この魔女は邪悪だ――とんでもなく邪悪だ――だから死なねばならぬのだ。
Now go, and do not ask to see me again until you have done your task."	さあ行け、そして仕事を終えるまではもう私に会おうとしてはならぬ」
Sorrowfully Dorothy left the Throne Room and went back where the Lion and the Scarecrow and the Tin Woodman were waiting to hear what Oz had said to her.	ドロシーは悲しくてたまりませんでしたが玉座の間を去り、ライオンやかかしやブリキの木こりがオズの返事を聞こうと待っているところへ戻りました。
"There is no hope for me,"	「もう何の希望もないわ。
she said sadly,	オズは西の邪悪な魔女を殺すまではおうちに返してくれないんですって。
"for Oz will not send me home until I have killed the Wicked Witch of the West; and that I can never do."	そんなの無理よ」
Her friends were sorry, but could do nothing to help her;	友達みんな、ドロシーをかわいそうに思いましたが、どうにも手助けしようがありません。
so Dorothy went to her own room and lay down on the bed and cried herself to sleep.	だからドロシーは部屋に戻ってベッドに横たわり、泣きながら眠ってしまいました。
The next morning the soldier with the green whiskers came to the Scarecrow and said:	翌朝、緑のヒゲをはやした兵隊がかかしのところにやってきてこう言いました。
"Come with me,	「いっしょにいらしてください。
for Oz has sent for you."	オズがお呼びです」
So the Scarecrow followed him and was admitted into the great Throne Room,	そこでかかしは後にしたがい、大玉座の間に通されました。
where he saw, sitting in the emerald throne, a most lovely Lady.	するとそこのエメラルドの玉座にすわっているのは、実に美しい女性でした。
She was dressed in green silk gauze and wore upon her flowing green locks a crown of jewels.	緑の絹のガーゼを身にまとい、流れる緑の巻き毛の上に宝石をちりばめた王冠をかぶっています。
Growing from her shoulders were wings, gorgeous in color and so light that they fluttered if the slightest breath of air reached them.	その肩からは翼が生えていて、豪華な色合いをして実に軽く、ごくわずかな風にでも吹かれるとそよぐのです。
When the Scarecrow had bowed, as prettily as his straw stuffing would let him, before this beautiful creature, she looked upon him sweetly, and said:	この美しい生き物の前でかかしが、そのわらの詰め物で可能な限りきれいにおじぎをしてみせると、女性は優しくかかしを見下ろしてこう言いました。
"I am Oz, the Great and Terrible.	「我こそはオズ、偉大にして恐ろしき存在です。
Who are you, and why do you seek me?"	お前は何者ですの、そして何故私を求めるのですか？」
Now the Scarecrow, who had expected to see the great Head Dorothy had told him of, was much astonished;	さてかかしは、ドロシーが話してくれた巨大な頭に会うものと思っていたので、とてもびっくりしていました。
but he answered her bravely.	でも勇気を出してこう答えました。
"I am only a Scarecrow, stuffed with straw.	「ぼくはただのかかしで、わらが詰まっているだけです。
Therefore I have no brains, and I come to you praying that you will put brains in my head instead of straw,	ですから脳がないので、頭にわらのかわりに脳を入れてくれるようお願いしにまいったのです。
so that I may become as much a man as any other in your dominions."	そうすればあなたの領土にいるだれにもまけないいっぱしの人物になれるでしょうから」
"Why should I do this for you?"	「なぜわたしがそんなことをしなければいけませんの？」
asked the Lady.	と婦人がたずねます。
"Because you are wise and powerful, and no one else can help me,"	「だってあなたは賢くで強力でいらっしゃるし、ほかにだれもぼくを助けられる人はいないんです」
answered the Scarecrow.	とかかしは答えました。
"I never grant favors without some return,"	「おかえしなしに願いを聞き届けたりはしませんのよ」
said Oz;	とオズ。
"but this much I will promise.	「でもこれだけは約束しましょう。
If you will kill for me the Wicked Witch of the West, I will bestow upon you a great many brains,	わたしのために、西の邪悪な魔女を殺してくれたら、大量に脳みそを差し上げましょう。
and such good brains that you will be the wisest man in all the Land of Oz."	それも実によい脳みそで、オズの国で最高の賢者になれるようなものを」
"I thought you asked Dorothy to kill the Witch,"	「魔女を殺せというのはドロシーに頼んだことじゃないんですか」
said the Scarecrow, in surprise.	かかしは驚いて言いました。
"So I did.	「頼みましたよ。
I don't care who kills her.	だれがあの魔女を殺そうとかまわないのです。
But until she is dead I will not grant your wish.	でもあの魔女が死ぬまでは、望みはかなえてあげません。
Now go, and do not seek me again until you have earned the brains you so greatly desire."	さあ行きなさい、そしてその求めてやまない脳みそを勝ち取るまでは、もうわたしに会おうとしてはなりません」
The Scarecrow went sorrowfully back to his friends and told them what Oz had said;	かかしはとても悲しい気持ちで友人たちのところへ戻り、オズの言ったことを話しました。
and Dorothy was surprised to find that the Great Wizard was not a Head, as she had seen him, but a lovely Lady.	ドロシーは、大魔法使いが自分の見たような頭ではなく、美しい婦人だったときいてびっくりしました。
"All the same,"	「そうは言ってもね、
said the Scarecrow,	あの女性はブリキの木こりに負けないくらい心が入り用だね」
"she needs a heart as much as the Tin Woodman."	とかかし。
On the next morning the soldier with the green whiskers came to the Tin Woodman and said:	翌朝、緑のヒゲをはやした兵隊がブリキの木こりのところにきて言いました。
"Oz has sent for you.	「オズがお呼びです。
Follow me."	こちらへどうぞ」
So the Tin Woodman followed him and came to the great Throne Room.	そこでブリキの木こりは後について大きな玉座の間にやってきました。
He did not know whether he would find Oz a lovely Lady or a Head, but he hoped it would be the lovely Lady.	オズが美しい婦人になるか頭になるかは知りませんでしたが、美しい婦人だといいな、とは思いました。
"For,"	「だって、
he said to himself,	もし頭なら絶対に心なんかもらえないだろう。
"if it is the head, I am sure I shall not be given a heart, since a head has no heart of its own and therefore cannot feel for me.	頭には心臓がないから、ぼくに同情したりはできないはずだ。
But if it is the lovely Lady I shall beg hard for a heart, for all ladies are themselves said to be kindly hearted.	でも美しい婦人なら、とにかく拝み倒して心をもらうんだ。
But when the Woodman entered the great Throne Room he saw neither the Head nor the Lady,	でも木こりが大きな玉座の間にはいると、そこにいたのは頭でもなければ婦人でもありません。
for Oz had taken the shape of a most terrible Beast.	オズは実におそろしい獣の姿をしていたのです。
It was nearly as big as an elephant, and the green throne seemed hardly strong enough to hold its weight.	大きさはゾウほどもあって、緑の玉座でもその重みをささえきれるか怪しそうです。
The Beast had a head like that of a rhinoceros, only there were five eyes in its face.	獣はサイのような頭をしていましたが、顔には目が五つもあります。
There were five long arms growing out of its body, and it also had five long, slim legs.	体からは長い腕が五本生え、長く細い脚も五本はえています。
Thick, woolly hair covered every part of it, and a more dreadful-looking monster could not be imagined.	前進をぶあついもじゃもじゃの毛が覆っていて、これ以上はないというくらい恐ろしげです。
It was fortunate the Tin Woodman had no heart at that moment,	ブリキの木こりに今のところ心臓がなかったのは幸運でした。
for it would have beat loud and fast from terror.	あったら恐ろしくてすごい音でドキドキしたでしょうから。
But being only tin, the Woodman was not at all afraid,	でもただのブリキの木こりはちっともこわくありませんでした。
although he was much disappointed.	ただとてもがっかりしただけです。
"I am Oz, the Great and Terrible,"	「我こそはオズ、偉大にして恐ろしき存在である。
spoke the Beast, in a voice that was one great roar.	お前は何者だ、そして何故私を求めるのか？」
"Who are you, and why do you seek me?"	と獣は、すさまじい咆哮のような声で一息に言いました。
"I am a Woodman, and made of tin.	「わたしは木こりで、ブリキでできています。
Therefore I have no heart, and cannot love.	だから心がなく、愛することができません。
I pray you to give me a heart	お願いですから心をください。
that I may be as other men are."	ほかの人々と同じようになりたいのです」
"Why should I do this?"	「なぜそんなことを私がせねばならんのだ？」
demanded the Beast.	と獣が問いただします。
"Because I ask it,	「わたしがお願いするからです。
and you alone can grant my request,"	そしてこの望みをかなえられるのはあなただけだからです」
answered the Woodman.	と木こりは答えました。
Oz gave a low growl at this, but said, gruffly:	オズはこれを聞いて低くうなりましたが、不機嫌そうにこう言いました。
"If you indeed desire a heart, you must earn it."	「本当に心を望むのであれば、それを勝ち取らねばならない」
"How?"	「どうやって？」
asked the Woodman.	と木こりがききます。
"Help Dorothy to kill the Wicked Witch of the West,"	獣は申します。
replied the Beast.	「ドロシーが西の邪悪な魔女を殺すのを手伝え。
"When the Witch is dead, come to me,	魔女が死んだら戻ってこい。
and I will then give you the biggest and kindest and most loving heart in all the Land of Oz."	そうしたらオズの国で最大の最も親切で愛に満ちた心をくれてやろう」
So the Tin Woodman was forced to return sorrowfully to his friends and tell them of the terrible Beast he had seen.	そこでブリキの木こりは仕方なく悲しい思いで友達のところに戻り、自分の見た恐ろしい獣のことを話しました。
They all wondered greatly at the many forms the Great Wizard could take upon himself,	みんな、大魔法使いがいろいろな姿を取れることを大いに不思議がりました。
and the Lion said:	するとライオンは言いました。
"If he is a Beast when I go to see him, I shall roar my loudest, and so frighten him that he will grant all I ask.	「わたしが会見するときにオズが獣だったら、思いっきり吠えて怖がらせて、望みをかなえさせよう。
And if he is the lovely Lady, I shall pretend to spring upon her, and so compel her to do my bidding.	そして美しい婦人だったら、飛びかかるふりをして、こちらの要求にしたがうようにさせよう。
And if he is the great Head, he will be at my mercy;	そして大きな頭だったら、こっちの思うつぼだ。
for I will roll this head all about the room until he promises to give us what we desire.	部屋中その頭をゴロゴロ頃がして、こちらの願いを叶えると約束するまでやめない。
So be of good cheer, my friends,	だから友人諸君、元気を出したまえ。
for all will yet be well."	すべてはまだよくなる見込みがあるんだから」
The next morning the soldier with the green whiskers led the Lion to the great Throne Room and bade him enter the presence of Oz.	翌朝、緑のヒゲの兵隊がライオンを大きな玉座の間に案内して、オズにお目通りするよううながしました。
The Lion at once passed through the door, and glancing around saw, to his surprise, that before the throne was a Ball of Fire,	ライオンはすぐにドアを入り、見回して目に入ったのは、驚いたことに玉座の前にいる火の玉でした。
so fierce and glowing he could scarcely bear to gaze upon it.	実に強烈に燃えて輝いていたので、ほとんど正視できません。
His first thought was that Oz had by accident caught on fire and was burning up;	最初、オズがうっかり自分に火をつけてしまって炎上しているのかと思いました。
but when he tried to go nearer, the heat was so intense that it singed his whiskers, and he crept back tremblingly to a spot nearer the door.	でも近づこうとしてもあまりに熱がすごくて、ヒゲが焦げてしまったので、ライオンはふるえながらコソコソと、ドアに近い場所に戻りました。
Then a low, quiet voice came from the Ball of Fire, and these were the words it spoke:	すると火の玉から低く静かな声がして、こう申しました。
"I am Oz, the Great and Terrible.	「我こそはオズ、偉大にして恐ろしき存在である。
Who are you, and why do you seek me?"	お前は何者ですか、そして何故私を求めるのですか？」
And the Lion answered,	そしてライオンはこう答えます。
"I am a Cowardly Lion, afraid of everything.	「わたしは臆病ライオンで、すべてがこわいのです。
I came to you to beg that you give me courage,	勇気を与えてくださいとお願いに参りました。
so that in reality I may become the King of Beasts, as men call me."	そうすれば人間たちが呼ぶような百獣の王に本当になれるからです」
"Why should I give you courage?"	「なぜ勇気をやらねばならないのでしょう？」
demanded Oz.	とオズが問いただします。
"Because of all Wizards you are the greatest, and alone have power to grant my request,"	「あらゆる魔法使いの中であなたが最も偉大ですし、この望みをかなえられるのはあなただけだからです」
answered the Lion.	とライオンは答えました。
The Ball of Fire burned fiercely for a time, and the voice said,	火の玉はしばし強烈に燃え上がり、そして声がこう言いました。
"Bring me proof that the Wicked Witch is dead,	「西の邪悪な魔女が死んだという証拠を持ってきなさい。
and that moment I will give you courage.	そうしたら一瞬で勇気をあげます。
But as long as the Witch lives, you must remain a coward."	でも魔女が生き続ける限り、おまえも臆病なままです」
The Lion was angry at this speech, but could say nothing in reply, and while he stood silently gazing at the Ball of Fire it became so furiously hot that he turned tail and rushed from the room.	ライオンはそう言われて腹がたちましたが、何も返答できず、だまって火の玉を見つめているうちにそれがとんでもなく熱くなってたので、しっぽを巻いて部屋から逃げ出しました。
He was glad to find his friends waiting for him, and told them of his terrible interview with the Wizard.	すると友人たちが待っていてくれたのでうれしく思いまして、この魔法使いとの恐ろしい面談の話を聞かせました。
"What shall we do now?"	「じゃあどうしましょう？」
asked Dorothy sadly.	とドロシーが悲しそうにたずねました。
"There is only one thing we can do,"	「できることは一つしかない」
returned the Lion,	とライオンが答えます。
"and that is to go to the land of the Winkies, seek out the Wicked Witch, and destroy her."	「それはウィンキーたちの国に行って、邪悪な魔女を探し出して倒すことだ」
"But suppose we cannot?"	「でもできなかったら？」
said the girl.	と少女。
"Then I shall never have courage,"	「そうしたらわたしは決して勇気をもてないだろう」
declared the Lion.	とライオンが宣言しました。
"And I shall never have brains,"	「そしてぼくは決して脳みそをもてない」
added the Scarecrow.	とかかしが言い足します。
"And I shall never have a heart,"	「そしてわたしは決して心を持てない」
spoke the Tin of Woodman.	とブリキの木こり。
"And I shall never see Aunt Em and Uncle Henry,"	「そしてあたしは二度とエムおばさんやヘンリーおじさんに会えないのね」
said Dorothy, beginning to cry.	と言ってドロシーは泣き出しました。
"Be careful!"	緑の少女が叫びました。
cried the green girl.	「気をつけて！
"The tears will fall on your green silk gown and spot it."	涙がその緑の絹のガウンに落ちたらしみになりますよ」
So Dorothy dried her eyes and said,	そこでドロシーは涙をふいて言いました。
