TALES OF TROY: ULYSSES THE SACKER OF CITIES	トロイア物語：都市の略奪者ユリシーズ
Now everyone knew that, in the temple of the Goddess Pallas Athene, in Troy, was a sacred image, which fell from heaven, called the Palladium,	さて、皆が知ってるように、トロイアのパラス・アテーナー女神の神殿には、天から降ってきた聖なる像があって、パラディオンと呼ばれていた。
and this very ancient image was the Luck of Troy.	このとても古い像がトロイアの幸運の宝だった。
While it remained safe in the temple people believed that Troy could never be taken,	この像が神殿に安置されている間は、トロイアは決して陥落しないと信じられていた。
but as it was in a guarded temple in the middle of the town, and was watched by priestesses day and night, it seemed impossible that the Greeks should ever enter the city secretly and steal the Luck away.	この像は町の真中の警護された神殿にあり、女司祭たちが昼も夜も見張っているので、ギリシア兵がこっそり町にもぐり込み、幸運の宝を盗みさることなどできるわけがないと思われていた。
As Ulysses was the grandson of Autolycus, the Master Thief, he often wished that the old man was with the Greeks,	ユリシーズは盗みの達人アウトリュコスの孫だから、この老人がギリシア軍にいたらよかったのにと、よく思ったものだ。
for if there was a thing to steal Autolycus could steal it.	盗みたいものがあれば、アウトリュコスが盗めただろうから。
But by this time Autolycus was dead, and so Ulysses could only puzzle over the way to steal the Luck of Troy, and wonder how his grandfather would have set about it.	だがこのときにはアウトリュコスは死んでおり、それでユリシーズはトロイアの幸運の宝を盗む方法に頭を悩ませ、祖父ならどんなふうにやったかといぶかしむばかりだった。
He prayed for help secretly to Hermes, the God of Thieves, when he sacrificed goats to him,	ユリシーズは盗みの神、ヘルメースに山羊を犠にささげ、こっそりと力添えを祈った。
and at last he had a plan.	そしてついに計略を思い付いたのだ。
There was a story that Anius, the King of the Isle of Delos, had three daughters, named OEno, Spermo, and Elais,	デーロス島の王アニオスの物語があって、それによるとアニオスにはオイノー、スペルモー、エライスという名の三人の娘がいた。
and that OEno could turn water into wine, while Spermo could turn stones into bread, and Elais could change mud into olive oil.	オイノーは水を葡萄酒に、スペルモーは石をパンに、エライスは泥をオリーブ油に変えることができた。
Those fairy gifts, people said, were given to the maidens by the Wine God, Dionysus, and by the Goddess of Corn, Demeter.	この不思議な力は、酒の神ディオニューソスと穀物の神デーメーテールが娘たちに与えたとされているのだ。
Now corn, and wine, and oil were sorely needed by the Greeks, who were tired of paying much gold and bronze to the Phoenician merchants for their supplies.	さて、穀物と葡萄酒とオリーブ油はギリシア人にはとても必要だったのだが、それを供給するフェニキア商人に金や青銅をこれ以上払うのはもういやになっていた。
Ulysses therefore went to Agamemnon one day, and asked leave to take his ship and voyage to Delos, to bring, if he could, the three maidens to the camp, if indeed they could do these miracles.	それである日ユリシーズはアガメムノーンのところに行って、船に乗ってデーロス島に行き、もし三人の娘が本当にその魔力が使えるのなら、できれば野営地に連れて来るの認めて欲しいと頼んだ。
As no fighting was going on, Agamemnon gave Ulysses leave to depart,	戦闘は全然進まないので、アガメムノーンはユリシーズに出発してよいという許可を出した。
so he went on board his ship, with a crew of fifty men of Ithaca, and away they sailed, promising to return in a month.	そこでユリシーズはイタケー島の五十人の乗組員と一緒に船に乗り、一ヵ月のうちに戻ると約束して、船出して行った。
Two or three days after that, a dirty old beggar man began to be seen in the Greek camp.	それから二、三日後、汚い年老いた乞食がギリシア軍の野営地に見られるようになった。
He had crawled in late one evening, dressed in a dirty smock and a very dirty old cloak, full of holes, and stained with smoke.	この乞食はある晩遅くにうろついていたが、汚い上っ張と、穴だらけで煙で汚れたとても汚い外套を着ていた。
Over everything he wore the skin of a stag, with half the hair worn off, and he carried a staff, and a filthy tattered wallet, to put food in, which swung from his neck by a cord.	その上から半分毛の抜け落ちた牡鹿の皮をひっ被り、杖を持ち、食べ物をいれる汚らしいぼろぼろのずだ袋を首から紐でぶら下げていた。
He came crouching and smiling up to the door of the hut of Diomede, and sat down just within the doorway,	乞食はディオメーデースの小屋にやってきて、卑屈に身をかがめて笑いかけ、戸口に入ってすぐのところに座り込んだ。
where beggars still sit in the East.	その場所で乞食はずっと東の方を向いて座ったままだった。
Diomede saw him, and sent him a loaf and two handfuls of flesh,	ディオメーデースは乞食を見て、一塊のパンと二つかみの肉をやった。
which the beggar laid on his wallet, between his feet, and he made his supper greedily, gnawing a bone like a dog.	乞食はそれを足の間のずだ袋に入れ、それからがつがつと夕食を食べ、犬のように骨をしゃぶった。
After supper Diomede asked him who he was and whence he came,	夕食の後でディオメーデースは乞食に、お前は誰で、どこから来たのかと尋ねた。
and he told a long story about how he had been a Cretan pirate, and had been taken prisoner by the Egyptians when he was robbing there, and how he had worked for many years in their stone quarries, where the sun had burned him brown, and had escaped by hiding among the great stones, carried down the Nile in a raft, for building a temple on the seashore.	そこで乞食は、クレータの海賊だったこと、エジプトで略奪をしていたとき、捕虜となったこと、エジプトの石切り場で何年もの間働かされ、そこで真っ黒に日焼けしたこと、大きな石の陰にかくれて脱走し、海岸に神殿を建てるための筏にのってナイル川を下ったことなど長い物語を語った。
The raft arrived at night, and the beggar said that he stole out from it in the dark and found a Phoenician ship in the harbour, and the Phoenicians took him on board, meaning to sell him somewhere as a slave.	筏は夜に着き、暗闇にまぎれてしのびだし、港でフェニキアの船を見つけ、フェニキア人は船に乗せてくれたが、それはどこかで彼を奴隷に売り飛ばすということだった。
But a tempest came on and wrecked the ship off the Isle of Tenedos, which is near Troy, and the beggar alone escaped to the island on a plank the ship.	でも嵐が来て船はトロイア近くのテネドス島の沖で難破し、乞食だけが船の板材に乗って島へと脱出した。
From Tenedos he had come to Troy in a fisher's boat, hoping to make himself useful in the camp, and earn enough to keep body and soul together till he could find a ship sailing to Crete.	テネドス島からトロイアへは漁師の船で来たが、野営地で何か役に立ち、クレータ行きの船が見つかるまで、身と心をなんとかしのげるだけの稼ぎを得ることができるという希望を抱いてのことだった。
He made his story rather amusing, describing the strange ways of the Egyptians; how they worshipped cats and bulls, and did everything in just the opposite of the Greek way of doing things.	乞食の物語はかなり面白く、エジプト人が猫や牡牛を拝み、一事が万事ギリシア人とは正反対のことをするといったエジプト人の奇妙な風習を語って聞かせた。
So Diomede let him have a rug and blankets to sleep on in the portico of the hut,	そこでディオメーデースはこの乞食に敷き物と毛布を渡して小屋のポーチコで眠らせた。
and next day the old wretch went begging about the camp and talking with the soldiers.	次の日、この年老いた恥じ知らずは野営地中を物乞いしてまわり、兵士達に話し掛けた。
Now he was a most impudent and annoying old vagabond, and was always in quarrels.	さて、この男は、あつかましく、うるさい、年よりの無頼漢で、いつも喧嘩ばかりしていた。
If there was a disagreeable story about the father or grandfather of any of the princes, he knew it and told it, so that he got a blow from the baton of Agamemnon, and Aias gave him a kick, and Idomeneus drubbed him with the butt of his spear for a tale about his grandmother, and everybody hated him and called him a nuisance.	どこかの王侯の父親や祖父の不愉快な話があれば、それを聞きつけ、話すので、アガメムノーンの司令杖で打たれ、アイアースには蹴られ、イードメネウスからは彼の祖父の話をしたために、槍のこじりで殴られ、誰もがこの乞食を憎み、厄介者と呼んだんだ。
He was for ever jeering at Ulysses, who was far away, and telling tales about Autolycus,	彼は遠く離れているユリシーズのことをずっと嘲り、アウトリュコスの話をしてまわった。
and at last he stole a gold cup, a very large cup, with two handles, and a dove sitting on each handle, from the hut of Nestor.	そしてついにはネストールの小屋から二つの把手があり、それぞれの把手には鳩がとまっている金の杯、それもとても大きな杯を盗み出した。
The old chief was fond of this cup, which he had brought from home,	この老将軍はこの杯がお気に入りで、故郷から持って来たのだ。
and, when it was found in the beggar's dirty wallet, everybody cried that he must be driven out of the camp and well whipped.	この杯が乞食のきたないずだ袋から見つかったとき、みんなは奴を野営地から追い出して、とことん打ちのめさなくてはならぬと叫んだ。
So Nestor's son, young Thrasymedes, with other young men, laughing and shouting, pushed and dragged the beggar close up to the Scaean gate of Troy,	そこでネストールの息子の若いトラシュメーデースは他の若者といっしょに、嘲笑したり叫んだりしながら、乞食を押したり引きずったりしてトロイアのスカイアイ門のそばまで来た。
where Thrasymedes called with a loud voice,	そこでトラシュメーデースは大声で呼びかけた。
"O Trojans,	「おおいトロイア人よ。
we are sick of this shameless beggar.	われらはこの恥じ知らずの乞食に悩まされている。
First we shall whip him well, and if he comes back we shall put out his eyes and cut off his hands and feet, and give him to the dogs to eat.	まずこいつをとことん打ちのめし、戻ってきたら、目をえぐり、手と足を切り落とし、こいつを犬の餌にしようと思う。
He may go to you, if he likes;	もしこいつがそうしたければ、お前たちのところに行くかもしれない。
if not, he must wander till he dies of hunger."	さもなくば、さまよった挙げ句に餓死するだろうよ。」
The young men of Troy heard this and laughed, and a crowd gathered on the wall to see the beggar punished.	トロイアの若者たちはこれを聞いて、大笑いし、乞食が罰せられるのを見ようと、城壁の上にひしめいた。
So Thrasymedes whipped him with his bowstring till he was tired,	そこでトラシュメーデースは乞食を弓の弦でつかれるまで打ちのめした。
and they did not leave off beating the beggar till he ceased howling and fell, all bleeding, and lay still.	それで乞食を打つのを止めたわけではなくて、乞食が泣きわめくのやめ、倒れて、血まみれでじっと横たわるまで、打ち続けたんだ。
Then Thrasymedes gave him a parting kick, and went away with his friends.	その後、トラシュメーデースは乞食に別れの一蹴りを喰らわせて、友達と一緒に立ち去った。
The beggar lay quiet for some time, then he began to stir, and sat up, wiping the tears from his eyes, and shouting curses and bad words after the Greeks, praying that they might be speared in the back, and eaten by dogs.	乞食はしばらく静かに横たわっていたが、やがて身動きしはじめ、起き直ると、目の涙をぬぐい、ギリシア軍に向かって呪詛と悪罵を叫び、奴等が背中を槍で突かれて、犬に食われてしまうよう祈った。
At last he tried to stand up, but fell down again, and began to crawl on hands and knees towards the Scaean gate.	やっと乞食は立ち上がろうとしたが、また倒れてしまい、四つん這いでスカイアイ門に向かって這いはじめた。
There he sat down, within the two side walls of the gate, where he cried and lamented.	乞食は門の両壁の間にすわり、泣きながら嘆き悲しんだ。
Now Helen of the fair hands came down from the gate tower, being sorry to see any man treated so much worse than a beast, and she spoke to the beggar and asked him why he had been used in this cruel way?	さて美しい手のヘレネーは門塔から下りて来たが、獣よりひどい仕打をうけた人をみて気の毒に思い、乞食に話しかけ、なぜこんな酷い目にあわされたか尋ねた。
At first he only moaned, and rubbed his sore sides, but at last he said that he was an unhappy man, who had been shipwrecked, and was begging his way home, and that the Greeks suspected him of being a spy sent out by the Trojans.	最初、乞食はうめき声をあげるだけで、痛むところをさすっていたが、やっと自分が不幸な男で、難破し、故郷へ帰る道を捜し求めていたところ、ギリシア軍にトロイア軍が送り込んだスパイと疑われたのだと言った。
But he had been in Lacedaemon, her own country, he said, and could tell her about her father, if she were, as he supposed, the beautiful Helen, and about her brothers, Castor and Polydeuces, and her little daughter, Hermione.	ところで、その乞食はヘレネーの故郷ラケダイモーンにいたことがあり、もし彼女が思った通り美しいヘレネーなら、父親のこと、兄弟のカストールとポリュデウケースのこと、小さな娘のヘルミオネーのことを教えることができるといった。
"But perhaps,"	「でも、おそらくは」
he said,	と乞食は言った。
"you are no mortal woman, but some goddess who favours the Trojans,	「あなた様は人間の女ではなく、トロイア人に味方する女神でしょう。
and if indeed you are a goddess then I liken you to Aphrodite, for beauty, and stature, and shapeliness."	もし本当にあなた様が女神ならば、美しさや背恰好、姿のよさから、私はあなた様をアフロディーテーになぞらえましょう。」
Then Helen wept;	するとヘレネーはすすり泣いた。
for many a year had passed since she had heard any word of her father, and daughter, and her brothers,	なぜなら、彼女はもう何年も、父や娘や兄弟の声を聞いていないからなのだ。
who were dead, though she knew it not.	この兄弟は死んでいたが、ヘレネーはそのことを知らなかった。
So she stretched out her white hand, and raised the beggar, who was kneeling at her feet,	それからヘレネーは白い手を乞食にさしのべ、足元にひざまずいていた乞食を立ち上がらせた。
and bade him follow her to her own house, within the palace garden of King Priam.	そしてプリアモス王の宮殿の庭の中の自分の家について来るように言った。
Helen walked forward, with a bower maiden at either side, and the beggar crawling after her.	ヘレネーは、傍らに小間使いをつれて、前方を歩き、乞食はその後をのろのろとついて行った。
When she had entered her house, Paris was not there,	ヘレネーが家に入ってみると、パリスは留守だった。
so she ordered the bath to be filled with warm water, and new clothes to be brought,	そこで風呂にお湯をいれるように命じ、新しい服を持って来させた。
and she herself washed the old beggar and anointed him with oil.	それから、ヘレネー自ら年老いた乞食を洗ってやり、油を塗ってやった。
This appears very strange to us,	このことは、私たちにはとても不思議に思われる。
for though Saint Elizabeth of Hungary used to wash and clothe beggars, we are surprised that Helen should do so, who was not a saint.	なぜなら、ハンガリーの聖エリザベートはよく乞食を洗ってやり服を与えたというが、聖者でもないヘレネーがそんなことをするなんて、驚きではある。
But long afterwards she herself told the son of Ulysses, Telemachus, that she had washed his father when he came into Troy disguised as a beggar who had been sorely beaten.	だがずっと後に、ヘレネーがユリシーズの息子テーレマコスに自分のことを話したことによると、彼の父親が乞食に身をやつし、ひどく打たれて、トロイアにやって来たときに、洗ってやったというのだ。
You must have guessed that the beggar was Ulysses, who had not gone to Delos in his ship, but stolen back in a boat, and appeared disguised among the Greeks.	読者は、乞食はユリシーズで、船でデーロス島に行かずに、ボートでこっそり戻って来て、身をやつしてギリシア軍の中に現れたのだ、と思っていることだろう。
He did all this to make sure that nobody could recognise him, and he behaved so as to deserve a whipping that he might not be suspected as a Greek spy by the Trojans, but rather be pitied by them.	彼がこんなことをしたのは、誰にもユリシーズだとわからないことを確かめるためだったし、トロイア人にギリシア軍のスパイと疑われず、むしろ哀れんでもらえるように、打ちのめされて当然の振る舞いをしたのだ。
Certainly he deserved his name of "the much-enduring Ulysses."	確かに彼は「辛抱強いユリシーズ」という名前だけのことはある。
Meanwhile he sat in his bath and Helen washed his feet.	そうこうするうち彼は浴槽にすわり、ヘレネーは彼の足を洗った。
But when she had done, and had anointed his wounds with olive oil, and when she had clothed him in a white tunic and a purple mantle, then she opened her lips to cry out with amazement,	だが、彼女が洗い終り、傷にオリーブ・オイルを塗ってやり、それから彼に白いテュニカと紫の外套を着せた時、ヘレネーは驚いて唇を開いて叫びそうになった。
for she knew Ulysses;	というのはユリシーズだとわかったからだ。
but he laid his finger on her lips, saying "Hush!"	しかし、彼は「静かに！」と言いながら、ヘレネーの唇に指を置いた。
Then she remembered how great danger he was in,	それで、ヘレネーはユリシーズがどんなに大きな危険に身をさらしてるかということを思い起こした。
for the Trojans, if they found him, would put him to some cruel death,	なぜなら、もしトロイア人か彼を見つけたら、残忍な殺し方をするだろうから。
and she sat down, trembling and weeping, while he watched her.	そしてヘレネーは座り込み、震えながらすすり泣いたが、ユリシーズは彼女をじっと見ていた。
"Oh thou strange one,"	「ああ、変わったお方。」
she said,	とヘレネーは言った。
"how enduring is thy heart and how cunning beyond measure!	「なんて強い心臓、それに、はかりがたいほどの抜目のなさ！
How hast thou borne to be thus beaten and disgraced, and to come within the walls of Troy?	このように打たれ、辱めうけ、トロイアの城壁のなかに入り込むことに、どうやって耐えられたのか？
Well it is for thee that Paris, my lord, is far from home, having gone to guide Penthesilea, the Queen of the warrior maids whom men call Amazons,	そなたに都合よいことに、我が主パリスは、アマゾーンと呼ばれる処女戦士の女王ペンテシレイアを案内しに出かけて、家から遠く離れております。
who is on her way to help the Trojans."	彼女はトロイア軍を助けに来る途中なので。」
Then Ulysses smiled, and Helen saw that she had said a word which she ought not to have spoken, and had revealed the secret hope of the Trojans.	そこでユリシーズは微笑み、ヘレネーは話してはいけないことを言ってしまい、トロイア軍の秘密の頼みの綱を洩らしてしまったことに気がついた。
Then she wept, and said,	それでヘレネーはすすり泣いて言った。
"Oh cruel and cunning!	「ああなんて残酷で狡賢いのか。
You have made me betray the people with whom I live, though woe is me that ever I left my own people, and my husband dear, and my child!	そなたは、ああ悲しいかな故郷の人々や愛しい夫や我が子を捨ててまで、私が一緒に暮らしている人々を裏切らせた。
And now if you escape alive out of Troy, you will tell the Greeks, and they will lie in ambush by night for the Amazons on the way to Troy and will slay them all.	それで、あなたが生きてトロイアを脱れ出たら、ギリシア軍にこのことを教え、トロイアに来る途中でアマゾーンを夜に紛れて待ち伏せし、皆殺しにするでしょう。
If you and I were not friends long ago, I would tell the Trojans that you are here, and they would give your body to the dogs to eat, and fix your head on the palisade above the wall.	そなたと私がずっと昔友達でなかったならば、トロイア人にそなたがここにいることを教え、彼らはそなたの死骸を犬に食わせ、そなたの首を城壁の上の柵に括りつけるでしょうに。
Woe is me that ever I was born."	ああ生まれてきたことが恨めしい。」
Ulysses answered,	ユリシーズは応えて言った。
"Lady, as you have said, we two are friends from of old,	「そなたが言ったように、我ら二人は昔からの友。
and your friend I will be till the last, when the Greeks break into Troy, and slay the men, and carry the women captives.	そしてギリシア軍がトロイアに侵入し、男たちを殺し、女たちを捕虜として連れ去る最後のときまで、私はそなたの友だ。
If I live till that hour no man shall harm you, but safely and in honour you shall come to your palace in Lacedaemon of the rifted hills.	私がそのときまで生きていれば、誰にもそなたに危害を加えさせず、安全に敬意をもって、そなたが裂けた丘の連なるラケダイモーンの宮殿に行けるようにしよう。
Moreover, I swear to you a great oath, by Zeus above, and by Them that under earth punish the souls of men who swear falsely, that I shall tell no man the thing which you have spoken."	さらに、天上のゼウスにかけて、また地下で偽りの誓いを立てた者の魂を罰するテミスにかけて、そなたが話したことは誰にも言わないと誓おう。」
So when he had sworn and done that oath, Helen was comforted and dried her tears.	こうして、ユリシーズが誓を立てると、ヘレネーは心が落ち着き、涙を拭いた。
Then she told him how unhappy she was, and how she had lost her last comfort when Hector died.	それで、ヘレネーは自分がどんなに不幸で、ヘクトールが死んだときには最後の慰めまでなくなったかを語った。
"Always am I wretched,"	「私はいつも哀れなもの。」
she said,	と彼女は話した。
"save when sweet sleep falls on me.	「心地よい眠りにつているとき以外は。
Now the wife of Thon, King of Egypt, gave me this gift when we were in Egypt, on our way to Troy,	ところでトロイアに来る途中、エジプトにいたときのこと、エジプト王のトーンの奥方がこんな贈物をくださいました。
namely, a drug that brings sleep even to the most unhappy, and it is pressed from the poppy heads of the garland of the God of Sleep."	これはつまり、どんな不幸な時でさえ眠りをもたらす薬で、眠りの神の花冠のケシの頭のところからしぼったものなのです。」
Then she showed him strange phials of gold, full of this drug:	そうしてヘレネーはその薬のつまった、金のかわった薬壷を見せた。
phials wrought by the Egyptians, and covered with magic spells and shapes of beasts and flowers.	それはエジプト人作った薬壷で、魔法の呪文と獣と花の模様でおおわれていた。
"One of these I will give you,"	「この薬壷のうちの一つを差し上げましょう。」
she said,	とヘレネーは言った。
"that even from Troy town you may not go without a gift in memory of the hands of Helen."	「さもなければ、ヘレネーの手ずからの記念の贈物もなく、そなたはトロイアの町から立ち去るでしょうから。」
So Ulysses took the phial of gold, and was glad in his heart,	そこでユリシーズは金の薬壷をとり、心中ひそかに喜んだ。
and Helen set before him meat and wine.	そしてヘレネーは彼の前に肉と葡萄酒を並べた。
When he had eaten and drunk, and his strength had come back to him, he said:	食べて飲み、元気が回復すると、ユリシーズは次のように言った。
"Now I must dress me again in my old rags, and take my wallet, and my staff, and go forth, and beg through Troy town.	「さて、私はまた古いぼろ着を着て、ずだ袋と杖を持ち、外へ出て、トロイアの町を物乞いしなければならない。
For here I must abide for some days as a beggar man, lest if I now escape from your house in the night the Trojans may think that you have told me the secrets of their counsel, which I am carrying to the Greeks, and may be angry with you."	というのは、今、私が夜のうちにそなたの家から抜け出したら、トロイア人は、そなたが連中の評議の秘密を私に教え、私はそれをギリシア軍に報せにいったと思い、そなたのことを怒るかもしれないから、そうならないにように、数日は乞食としてここにとどまらなくてはならぬ。」
So he clothed himself again as a beggar, and took his staff, and hid the phial of gold with the Egyptian drug in his rags, and in his wallet also he put the new clothes that Helen had given him, and a sword, and he took farewell, saying,	それでユリシーズはまた乞食の身なりをして、杖をもち、エジプト人の薬のはいった金の薬壷をぼろの中に隠し、ヘレネーのくれた新しい服と剣をずだ袋にいれて、いとまごいをして、
"Be of good heart, for the end of your sorrows is at hand.	「じきにそなたの悲しみは終るから、元気をお出しなさい。
But if you see me among the beggars in the street, or by the well, take no heed of me,	それで、もし通りや井戸のそばで乞食のなかに私を見かけても、私を気に留めぬように。
only I will salute you as a beggar who has been kindly treated by a Queen."	私は女王様に親切にもてなされた乞食として、そなたに会釈をするだけだ。」
So they parted, and Ulysses went out,	そうして、二人はわかれ、ユリシーズは外へ出ていった。
and when it was day he was with the beggars in the streets, but by night he commonly slept near the fire of a smithy forge,	ユリシーズは昼には通りで乞食たちと一緒にいて、夜になると鍛治屋の炉の火のそばで眠った。
as is the way of beggars.	そうするのが乞食のやり方だったのだ。
So for some days he begged, saying that he was gathering food to eat while he walked to some town far away that was at peace, where he might find work to do.	そうして、ユリシーズは数日の間物乞いをしながら、平穏に暮らせる遠くの町に歩いて行く間の食糧を集めており、そこで仕事をみつけるつもりだと言った。
He was not impudent now,	今では彼は厚かましくはなかった。
and did not go to rich men's houses or tell evil tales, or laugh, but he was much in the temples, praying to the Gods,	金持ちの家に行ったり、不快な話をしたり、大声であざ笑ったりせず、しょっちゅう神殿に行っては、神に祈った。
and above all in the temple of Pallas Athene.	とりわけパラス・アテーネーの神殿にはよく行った。
The Trojans thought that he was a pious man for a beggar.	トロイア人は彼は乞食にしては信心深い男だと思った。
Now there was a custom in these times that men and women who were sick or in distress, should sleep at night on the floors of the temples.	さてこの時代には、病気や悩みを抱えた男女は、夜神殿の床で眠るという風習があった。
They did this hoping that the God would send them a dream to show them how their diseases might be cured, or how they might find what they had lost, or might escape from their distresses.	どうやったら病が癒されるか、どうやったら見失った道が見つかり、あるいは悩みから抜け出せるかを示す夢を、神様がみせてくれるかもしれないという望みを抱いて、こんなことをしたのだ。
Ulysses slept in more than one temple, and once in that of Pallas Athene,	ユリシーズはいくつかの神殿で眠ったし、パラス・アテーネーの神殿でも一度眠った。
and the priests and priestesses were kind to him, and gave him food in the morning when the gates of the temple were opened.	司祭や女司祭は彼に親切で、神殿の門が開く朝には、食べ物を恵んでくれた。
In the temple of Pallas Athene, where the Luck of Troy lay always on her altar, the custom was that priestesses kept watch, each for two hours, all through the night, and soldiers kept guard within call.	パラス・アテーネーの神殿には、トロイアの幸運の宝がいつもその祭壇の上に置かれていたが、女司祭が夜通し二時間毎に見回り、呼べば聞こえるところで兵士が警固する習慣だった。
So one night Ulysses slept there, on the floor, with other distressed people, seeking for dreams from the Gods.	そこである夜、ユリシーズは神様が見せる夢をもとめる他の悩める人々と一緒に、その神殿の床で眠った。
He lay still all through the night till the turn of the last priestess came to watch.	彼は最後の女司祭が見回る番になるまで、夜通しじっと横たわっていた。
The priestess used to walk up and down with bare feet among the dreaming people, having a torch in her hand, and muttering hymns to the Goddess.	女司祭は手に松明をもち、女神への賛美歌を低く唱いながら、悩める人々の間を行き来したものだ。
Then Ulysses, when her back was turned, slipped the gold phial out of his rags, and let it lie on the polished floor beside him.	そこでユリシーズは、女司祭が後ろをむいたときに、ぼろ着のなかから金の薬壷をこっそり取り出し、自分の傍らの磨きあげた床に置いた。
When the priestess came back again, the light from her torch fell on the glittering phial,	女司祭が戻って来ると、その松明の光がきらめく薬壷を照らした。
and she stooped and picked it up, and looked at it curiously.	そこで女司祭は立ち止まり、薬壷を拾い、興味深そうにそれを見た。
There came from it a sweet fragrance, and she opened it, and tasted the drug.	薬壷から甘い香りがして、女司祭は薬壷を開けて、薬をなめた。
It seemed to her the sweetest thing that ever she had tasted,	それはこれまで味わった事がない程甘いものに感じられた。
and she took more and more, and then closed the phial and laid it down, and went along murmuring her hymn.	それで彼女はもっと薬を摂り、それから薬壷を閉め、床に置くと、賛美歌を唱いながら行ってしまった。
But soon a great drowsiness came over her, and she sat down on the step of the altar, and fell sound asleep,	しかしすぐに、ひどい眠気が女司祭を襲い、官女は祭壇の階段に座り込み、ぐっすり眠りこんだ。
and the torch sunk in her hand, and went out, and all was dark.	松明は手から落ち、消えて、あたりは闇となった。
Then Ulysses put the phial in his wallet, and crept very cautiously to the altar, in the dark, and stole the Luck of Troy.	そこでユリシーズは薬壷をずだ袋にしまい、非常に用心しながら、暗闇のなかを祭壇に這って行き、トロイアの幸運の宝を盗んだ。
It was only a small black mass of what is now called meteoric iron,	それは、今では隕鉄と呼ばれる小さな黒い塊でしかなかった。
which sometimes comes down with meteorites from the sky,	これは隕石と一緒に時々空から降ってくるものだ。
but it was shaped like a shield, and the people thought it an image of the warlike shielded Goddess, fallen from Heaven.	でもそれは盾のかたちをしていて、人々はそれを空から降ってきた戦争好きで盾で身を覆った女神の似姿だと思ったのだ。
Such sacred shields, made of glass and ivory, are found deep in the earth in the ruined cities of Ulysses' time.	ガラスや象牙でできた、こうした聖なる盾は、ユリシーズの時代の廃虚となった都市の地中深くから見つかっている。
Swiftly Ulysses hid the Luck in his rags and left in its place on the altar a copy of the Luck, which he had made of blackened clay.	急いでユリシーズは幸運の宝をぼろ着の中に隠し、黒い粘土でつくった幸運の宝の複製を祭壇に置いた。
Then he stole back to the place where he had lain, and remained there till dawn appeared, and the sleepers who sought for dreams awoke, and the temple gates were opened, and Ulysses walked out with the rest of them.	それからユリシーズは寝ていた場所に忍び足で戻り、暁になって、夢をもとめて眠っていた人たちが目覚めるまで、そこにいて、神殿の門が開くと、他の人たちと一緒に出て行った。
He stole down a lane, where as yet no people were stirring, and crept along,	ユリシーズは小路をこっそり歩いたが、そこはまだ誰も起きていなかった。
leaning on his staff, till he came to the eastern gate, at the back of the city,	町の後の東門に着くまで、杖にすがりながらゆっくり歩いた。
which the Greeks never attacked,	この門にはギリシア軍はまだ一度も攻撃をしたことがなかった。
for they had never drawn their army in a circle round the town.	というのは、ギリシア軍はまだ一度も町をぐるりと取り囲んだことがなかったからなのだ。
There Ulysses explained to the sentinels that he had gathered food enough to last for a long journey to some other town, and opened his bag, which seemed full of bread and broken meat.	そこでユリシーズは番兵に、別の町までの長旅に十分もちこたえるだけの食べ物が集まったと説明して、袋を開けたが、パンや細切れの肉でいっぱいのように見えた。
The soldiers said he was a lucky beggar, and let him out.	兵士は運のよい乞食だなと言って、ユリシーズを外に出してくれた。
He walked slowly along the waggon road by which wood was brought into Troy from the forests on Mount Ida,	彼はイーデー山の森からトロイアへ材木を運び込む荷車道をゆっくり歩いて行った。
and when he found that nobody was within sight he slipped into the forest, and stole into a dark thicket, hiding beneath the tangled boughs.	そして見渡すところ誰もいないとわかると、森の中にそっと入り込み、深い闇に紛れ、もつれあう枝の下にかくれた。
Here he lay and slept till evening,	そこで横になり夜まで眠った。
and then took the new clothes which Helen had given him out of his wallet, and put them on, and threw the belt of the sword over his shoulder, and hid the Luck of Troy in his bosom.	それから、ヘレネーがくれた新しい服をずだ袋から取り出して、それを着ると、肩に剣帯を着け、ふところにトロイアの幸運の宝を隠した。
He washed himself clean in a mountain brook, and now all who saw him must have known that he was no beggar, but Ulysses of Ithaca, Laertes' son.	山の小川で体をきれいに洗ったが、それでもう誰が見ても、彼は乞食に見えず、ラーエルテースの息子、イタケーのユリシーズとわかったにちがいなかった。
So he walked cautiously down the side of the brook which ran between high banks deep in trees,	そうしてユリシーズは、木々のなかを高い土手の間を深く流れてる小川のそばを用心しながら歩いていった。
and followed it till it reached the river Xanthus, on the left of the Greek lines.	そしてギリシア軍の戦線の左のクサントス川に合流するまで、この川に沿って行った。
Here he found Greek sentinels set to guard the camp,	ここでユリシーズは野営地を警備するために配置されていたギリシア軍の番兵をみつけた。
who cried aloud in joy and surprise,	番兵は喜び驚いて大声で叫んだ。
for his ship had not yet returned from Delos, and they could not guess how Ulysses had come back alone across the sea.	というのは、ユリシーズの船はまだデーロス島から戻らず、みんなどうしてユリシーズだけが海の向うから戻って来ないのか測りかねていたのだ。
So two of the sentinels guarded Ulysses to the hut of Agamemnon,	そうして番兵のうち二人がアガメムノーンの小屋までユリシーズを護衛した。
where he and Achilles and all the chiefs were sitting at a feast.	そこではアガメムノーンとアキレウス、将軍全員が宴会の席に座っていた。
