THE ABOLITION OF WORK	労働廃絶論
This is probably true, to some extent, of all work.	これはすべての労働について、ある程度言えることである。
People deploy their otherwise wasted ingenuity to make a game of the least inviting drudge-jobs as best they can.	最も魅力のない単純な肉体労働でも、それがゲームのようなものになれば、人々は、思わぬ才能を発揮するものなのだ。
Activities that appeal to some people don't always appeal to all others,	ある人々に訴える活動が、常に他の誰にでも訴えるわけではない。
but everyone at least potentially has a variety of interests and an interest in variety.	しかし、少なくとも誰もが、潜在的に多様な興味を持っているし、また多様さに対しての興味も持っているのである。
As the saying goes, "anything once."	「一度だけなら、どんなことでも。」という格言もあるではないか。
Fourier was the master at speculating how aberrant and perverse penchants could be put to use in post-civilized society, what he called Harmony.	フーリエは、彼が「ハーモニー」と呼んでいた文明後の社会において、いかに異常で変質的な趣味であっても、それを何かの役に立てる方法を考え出す名人であった。
He thought the Emperor Nero would have turned out all right if as a child he could have indulged his taste for bloodshed by working in a slaughterhouse.	彼は「暴君ネロでも、もし子供のときに、と殺場で働いて流血趣味を満たすことができたなら、問題なく育ったはずだ」と考えた。
Small children who notoriously relish wallowing in filth could be organized in "Little Hordes" to clean toilets and empty the garbage, with medals awarded to the outstanding.	汚物の中で転げ回って遊ぶ、悪名高い小さな子供たちも、傑出した子にメダルを与えたりすることによって、トイレを掃除したりゴミを片付けたりする「チビッ子軍団」に組織することができたのである。
I am not arguing for these precise examples	こうした事例を細かく論じることが私の目的ではない。
but for the underlying principle,	私は、その底にある原理を論じたいのである。
which I think makes perfect sense as one dimension of an overall revolutionary transformation.	革命的な変革の全体像は、この一つの事例が示す原理からだけでも、完璧に把握することができるはずである。
Bear in mind that we don't have to take today's work	我々が今やっている仕事は、必ずしも自分でやらなくてもよいということを心に留めておくとよい。
just as we find it and match it up with the proper people, some of whom would have to be perverse indeed.	世の中には変わった人もいるから、それに適した人たちと組み合わせてやればよいのである。
If technology has a role in all this it is less to automate work out of existence than to open up new realms for re/creation.	もしテクノロジーが、こうした目的のためにあるなら、それは労働をなくすような自動化よりも、再創造のための新しい領域を開く方向へ向かうべきだろう。
To some extent we may want to return to handicrafts,	我々はある程度、手工業に戻った方がいいのかもしれない。
which William Morris considered a probable and desirable upshot of communist revolution.	ウィリアム・モリス＜注18＞は、それが共産主義革命の可能な、そして望ましい結果だと考えていたのである。
Art would be taken back from the snobs and collectors, abolished as a specialized department catering to an elite audience,	芸術は、俗物や収集家の手から取り戻され、エリートのための特権的分野であることをやめる。
and its qualities of beauty and creation restored to integral life from which they were stolen by work.	その美と創造の特質は、労働によって奪われていた人々の完全な人生（integral life）を回復するであろう。
It's a sobering thought that the grecian urns we write odes about and showcase in museums were used in their own time to store olive oil.	詩に詠われたり博物館でショーケースに収まったりしている古代ギリシャの壷が、元々オリーブオイルを入れるためのモノだという事実は、興ざめする考えかもしれない。
I doubt our everyday artifacts will fare as well in the future,	だが、我々が毎日作っている物を、将来も同様に作り続ける必要があるかどうかを、私は疑うのだ。
if there is one.	一つあれば十分ではないか。
The point is that there's no such thing as progress in the world of work;	ポイントは（同じことをずっとやらされる）労働の世界には、進歩などないということである。
if anything it's just the opposite.	もしあるなら、それは全く正反対のものだ。
We shouldn't hesitate to pilfer the past for what it has to offer,	我々は、過去の芸術品を、それ本来の目的のために使うのをためらう必要はない。
the ancients lose nothing yet we are enriched.	我々が豊かになっても、古代人は何も失なわないのだ。
The reinvention of daily life means marching off the edge of our maps.	日常生活を再構築するということは、我々のこれまでの常識から大きくはみ出すことを意味する。
There is, it is true, more suggestive speculation than most people suspect.	だが、ヒントを与えてくれる考察は、一般に人々が想像するよりもはるかにたくさんあるのだ。
Besides Fourier and Morris -- and even a hint, here and there, in Marx -- there are the writings of Kropotkin, the syndicalists Pataud and Pouget, anarcho-communists old (Berkman) and new (Bookchin).	フーリエやモリスのほかにも、クロポトキン、サンジカリストのパトーとプージェ、新旧のアナルコ・コミュニスト（旧はベルクマン、新はブクチン）の作品群、そしてマルクスにさえも、あちこちにヒントがある。
The Goodman brothers' Communitas is exemplary for illustrating what forms follow from given functions (purposes),	グッドマン兄弟の「コミュニタス」は、与えられた職務（目的）がどんな形態になるかを説明したよい見本であろう。
and there is something to be gleaned from the often hazy heralds of alternative/appropriate/intermediate/convivial technology,	オルタナティブな、 適切な、中間的な、コンウィヴィアルな技術とはどういうものであるかは、これらのハッキリしない先駆者たちの言説から、かき集めることができる。
like Schumacher and especially Illich, once you disconnect their fog machines.	シューマッハー＜注19＞や特にイリイチのように、彼らの幻想的な機械との関係を断ち切ればいいのだ。
The situationists -- as represented by Vaneigem's Revolution of Daily Life and in the Situationist International Anthology -- are so ruthlessly lucid as to be exhilarating, even if they never did quite square the endorsement of the rule of the worker's councils with the abolition of work.	シチュアシオニストたちは、労働の廃絶をうたった労働者評議会の綱領にちっとも忠実ではないとしても、−ヴァネイジェムの「日常生活の革命」や「シチュアシオニスト国際アンソロジー」に表されているように−まことにアッケラカンとしていて陽気である。
Better their incongruity, though than any extant version of leftism, whose devotees look to be the last champions of work,	今なお生き残っている左翼の諸学説は、互いにちっとも一致しないが、その狂信者たちは労働の最後のチャンピオンとなることだろう。
for if there were no work there would be no workers,	けれども、もし労働がなくなれれば労働者もなくなる。
and without workers, who would the left have to organize?	労働者がなければ、左翼は誰を組織するというのだろう？
So the abolitionists would be largely on their own.	労働廃絶論者は、ほとんどのことを自分たちでやっていくことになるだろう。
No one can say what would result from unleashing the creative power stultified by work.	労働によって台無しにされている人々の創造力を解放すると何が生じるかは、誰にもわからない。
Anything can happen.	何でも起こりうるのだ。
The tiresome debater's problem of freedom vs. necessity, with its theological overtones, resolves itself practically once the production of use-values is coextensive with the consumption of delightful play-activity.	「自由ｖｓ必要」という退屈な論争は、「必要なモノの生産が、楽しい遊びの消費行動と同一の次元になる」という神学的なニュアンスとともに解決するのである。
Life will become a game, or rather many games, but not -- as it is now - -- a zero/sum game.	人生はゲーム、多様なゲームになるであろう − それはもちろん今のようなゼロサムゲームではない。
An optimal sexual encounter is the paradigm of productive play,	最適な異性との出会いは生産的な「遊び」のパラダイムである。
The participants potentiate each other's pleasures,	関係者は互いの喜びを可能にする。
nobody keeps score, and everybody wins.	点をつける者はいないから、誰もが勝者なのだ。
The more you give, the more you get.	与えれば与えるほど、あなたは多く得るだろう。
In the ludic life, the best of sex will diffuse into the better part of daily life.	「ばか（ludic）生活」では、最高の性が日常生活の大部分に充満するだろう。
Generalized play leads to the libidinization of life.	一般化された「遊び」が生活をリビドー化し、
Sex, in turn, can become less urgent and desperate, more playful.	性は、性急で自暴自棄なものから、遊びいっぱいの楽しいものとなるだろう。
If we play our cards right, we can all get more out of life than we put into it;	我々がうまくプレイすれば、誰でも、人生で費やすモノよりも得るモノが多くなる。
but only if we play for keeps.	我々は真剣に「遊び」さえすれば、いいのだ。
No one should ever work.	誰も働くべきではない。
Workers of the world... relax!	万国の労働者・・・リラックスせよ！
