TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
"I cannot keep her head for the stockade, sir,"	「船を柵の方へ向けておけません、船長」
said I to the captain.	と私は言った。
I was steering, while he and Redruth, two fresh men, were at the oars.	私は舵をとり、船長とレッドルース、２人の元気いっぱいの男がオールをこいでいた。
"The tide keeps washing her down.	「潮のせいで流されているんです。
Could you pull a little stronger?"	もう少し強くこげませんか？」
"Not without swamping the boat,"	「ボートがひっくり返ります」
said he.	船長は言った。
"You must bear up, sir, if you please	「持ちこたえてください、先生、
--bear up until you see you're gaining."	どうか進んでいくのがわかるまで持ちこたえてください」
I tried and found by experiment that the tide kept sweeping us westward until I had laid her head due east, or just about right angles to the way we ought to go.	私はなんとかやってみたが、潮がわれわれを西の方へ流すので、へさきは東へ向いてしまった、つまりわれわれが向かわなければならない方向に対して、ちょうど直角になったのだ。
"We'll never get ashore at this rate,"	「このままじゃ着岸できません」
said I.	私は言った。
"If it's the only course that we can lie, sir, we must even lie it,"	「それがわれわれのとりうる唯一のコースなら、先生、そのコースをとらざる得ないでしょう」
returned the captain.	船長は答えた。
"We must keep upstream.	「流れにさからいましょう。
You see, sir,"	わかりますな、先生」
he went on,	船長は続けた。
"if once we dropped to leeward of the landing-place, it's hard to say where we should get ashore, besides the chance of being boarded by the gigs;	「上陸場所の風下に流されでもしたら、どこに上陸できるかわかりません、おまけに海賊の船に襲われる恐れさえありますから。
whereas, the way we go the current must slacken, and then we can dodge back along the shore."	としても、われわれが進んでいく方では流れもゆるやかになるだろうし、そうすれば岸に逃れられるでしょう」
"The current's less a'ready, sir,"	「流れはもう大丈夫ですよ、船長」
said the man Gray, who was sitting in the fore-sheets;	へさきに座っているグレーが言った。
"you can ease her off a bit."	「船の速度を少しゆっくりにしても大丈夫でしょう」
"Thank you, my man,"	「ありがとう、君」
said I, quite as if nothing had happened,	まるで何事もなかったかのように、私は答えた。
for we had all quietly made up our minds to treat him like one of ourselves.	というのもわれわれはすでに口には出さないが、彼をわれわれの一員として取り扱うことを心に決めていたのだ。
Suddenly the captain spoke up again,	突然、船長が再び口火を切った。
and I thought his voice was a little changed.	そして私は船長の声色が少し変わったのに気づいた。
"The gun!"	「大砲だ！」
said he.	船長は言った。
"I have thought of that,"	「私もそれは考えましたよ」
said I, for I made sure he was thinking of a bombardment of the fort.	私は言った、というのも私は船長はとりでの砲撃のことを考えていると思ったのだ。
"They could never get the gun ashore, and if they did, they could never haul it through the woods."	「やつらは大砲を上陸させられないでしょう、出来たとしても森の中を運ぶなんてできっこないですよ」
"Look astern, doctor,"	「後ろをごらんなさい」
replied the captain.	船長は答えた。
We had entirely forgotten the long nine;	われわれは９ポンド砲のことをすっかり忘れていた。
and there, to our horror, were the five rogues busy about her, getting off her jacket, as they called the stout tarpaulin cover under which she sailed.	恐ろしいことに、５人の悪党どもが立ち回っていて、航海の間は丈夫な防水コートと呼んでいたカバーを外していた。
Not only that, but it flashed into my mind at the same moment that the round-shot and the powder for the gun had been left behind,	そればかりでなく、同時に私がぴんときたのは、砲弾と大砲の火薬を残してきたことだった。
and a stroke with an axe would put it all into the possession of the evil ones abroad.	斧のひと振りでそれらは全部、船の悪党どものものになるのだ。
"Israel was Flint's gunner,"	「イスラエルはフリントの砲手だったんだ」
said Gray hoarsely.	グレーはしわがれ声で言った。
At any risk, we put the boat's head direct for the landing-place.	あらゆる危険を冒して、われわれはボートのへさきをまっすぐ上陸地点へと向けた。
By this time we had got so far out of the run of the current that we kept steerage way even at our necessarily gentle rate of rowing,	このときは、われわれは流れからはすっかり離れていたので、やむをえずゆっくり漕がざるえなかったが、舵をきかせることはできた。
and I could keep her steady for the goal.	私はボートを上陸地点にしっかり向けておくことができた。
But the worst of it was that with the course I now held we turned our broadside instead of our stern to the HISPANIOLA	しかし最悪なことに私が今とっているコースだと、ヒスパニオーラ号に船尾を向ける代わりに舷側をむけることになるのだった。
and offered a target like a barn door.	それは納屋のとびらみたいなものでかっこうの標的だった。
I could hear as well as see that brandy-faced rascal Israel Hands plumping down a round-shot on the deck.	私にはブランデーづけの悪党イスラエル・ハンズが砲弾を一つ甲板にどしんと投げ出したのが、目に見えただけでなく耳にもその音が届いた。
"Who's the best shot?"	「だれが一番射撃が上手い？」
asked the captain.	船長はたずねた。
"Mr. Trelawney, out and away,"	「断然トレローニーさんです」
said I.	私は言った。
"Mr. Trelawney, will you please pick me off one of these men, sir?	「トレローニーさん、やつらのうちで一人でも狙って撃ってもらえませんか？
Hands, if possible,"	ハンズがいいですな、できれば」
said the captain.	船長は言った。
Trelawney was as cool as steel.	トレローニーさんは全く動ずることもなく、
He looked to the priming of his gun.	自分の銃の火薬の装填を調べた。
"Now,"	「ただ」
cried the captain,	船長はさけんだ。
"easy with that gun, sir, or you'll swamp the boat.	「静かに撃ってくださいよ、そうしないとボートがひっくり返りますから。
All hands stand by to trim her when he aims."	ねらいをつけているときは、バランスをとるよう準備してください」
The squire raised his gun, the rowing ceased, and we leaned over to the other side to keep the balance,	大地主さんは銃をもちあげ、ボートが止まり、われわれはバランスをとるために反対側にもたれかかった。
and all was so nicely contrived that we did not ship a drop.	全ては上手くいって、ボートは一滴も水をかぶらなかった。
They had the gun, by this time, slewed round upon the swivel, and Hands, who was at the muzzle with the rammer, was in consequence the most exposed.	やつらもこのときには、大砲を回転台の上で回転させ、ハンズは砲弾をつめる棒をもって砲口のそばに立っており、したがって一番姿をさらしていた。
However, we had no luck, for just as Trelawney fired, down he stooped, the ball whistled over him,	ただわれわれには運が悪いことに、トレローニーさんが撃ったそのときハンズはかがみこみ、銃弾はハンズをかすめていった。
and it was one of the other four who fell.	倒れたのは、他の４人のうちの１人だった。
The cry he gave was echoed not only by his companions on board but by a great number of voices from the shore,	倒れた男の叫びに呼応したのは船上の男たちだけではなく、岸からもいろいろ声が聞こえてきた。
and looking in that direction I saw the other pirates trooping out from among the trees and tumbling into their places in the boats.	そのほうをみると、他の海賊たちが木々の間からぞろぞろ出てきて、船のそれぞれの場所にころがりこんだ。
"Here come the gigs, sir,"	「やつらの船がきますよ」
said I.	私は言った。
"Give way, then,"	「では、全速力だ」
cried the captain.	船長は叫んだ。
"We mustn't mind if we swamp her now.	「ひっくり返らないように気をつけてなんていられない、
If we can't get ashore, all's up."	岸に着けなきゃおしまいです」
"Only one of the gigs is being manned, sir,"	「片方の船にしか人は乗ってませんよ、船長」
I added;	私は付け加えた。
"the crew of the other most likely going round by shore to cut us off."	「どうやらもう一方の船にのってるやつらは、岸づたいにわれわれの行く手をさえぎるつもりらしいですな」
"They'll have a hot run, sir,"	「やつらは息を切らしてるでしょう、先生」
returned the captain.	船長は答えを返した。
"Jack ashore, you know.	「陸に上がった船乗りですからな。
It's not them I mind;	やつらのことなんて全然気にしてません。
it's the round-shot.	私が気にしているのは、砲弾です。
Carpet bowls!	カーペットボーリングみたいなもんです！
My lady's maid couldn't miss.	はずすわけないですよ。
Tell us, squire, when you see the match, and we'll hold water."	大地主さん、火縄が見えたらいってくださいよ、漕ぐのをやめますから」
In the meanwhile we had been making headway at a good pace for a boat so overloaded, and we had shipped but little water in the process.	その間も、われわれは過積載のボートにしてはいいペースで前進していたし、進んでいるときもほとんど水もかぶっていなかった。
We were now close in;	岸までもう少しのところまで来ていて、
thirty or forty strokes and we should beach her,	あと３０か４０こぎで着くことができただろう。
for the ebb had already disclosed a narrow belt of sand below the clustering trees.	というのも干潮のために、生い茂った木々の下に狭い砂地がすでに現れていたからである。
The gig was no longer to be feared;	やつらの船には心配はいらなかった。
the little point had already concealed it from our eyes.	海岸線のまがった所のために、やつらの船は見えなくなっていたからである。
The ebb-tide, which had so cruelly delayed us, was now making reparation and delaying our assailants.	われわれをひどく手間取らせたあの干潮は、今はそのかわりにわれわれの敵を手間取らせていた。
The one source of danger was the gun.	唯一の危険は大砲だった。
"If I durst,"	「もしできるなら」
said the captain,	船長は言った。
"I'd stop and pick off another man."	「停まって、もう一人を間引いてやりたいんだがな」
But it was plain that they meant nothing should delay their shot.	でも何をしても、やつらが大砲を撃つのを遅らせることができないのは明らかだった。
They had never so much as looked at their fallen comrade,	やつらは倒れている仲間を一瞥だにしなかった。
though he was not dead, and I could see him trying to crawl away.	まだ生きていて、這って逃げようとするのが私からも見えたくらいなのに。
"Ready!"	「用意！」
cried the squire.	大地主さんが言った。
"Hold!"	「停まれ！」
cried the captain, quick as an echo.	船長はこだまのようにすばやく叫んだ。
And he and Redruth backed with a great heave that sent her stern bodily under water.	そして船長とレッドルースは、ボートの船尾がすっかり水に沈むほど大きくひと漕ぎしてバックした。
The report fell in at the same instant of time.	砲声がその瞬間に響き渡った。
This was the first that Jim heard, the sound of the squire's shot not having reached him.	これがジムが耳にした最初の砲声で、大地主さんの一発はジムには聞こえていなかった。
Where the ball passed, not one of us precisely knew, but I fancy it must have been over our heads and that the wind of it may have contributed to our disaster.	砲弾がどこを通ったかは、われわれの誰もきちんとは分からなかったが、私が思うに、われわれの頭上を越えていったに違いない、その風もわれわれを襲った惨事に一役かっていたのだろう。
At any rate, the boat sank by the stern, quite gently, in three feet of water,	とにかくボートは、船尾からゆっくりと３フィートほど沈んでいった。
leaving the captain and myself, facing each other, on our feet.	船長と私は向かい合って、自分の足で立っていた。
The other three took complete headers, and came up again drenched and bubbling.	他の３人は頭からまっさかさまに水に落ちて、ずぶぬれで泡をふきながら立ち上がった。
So far there was no great harm.	ここまでは、深刻な被害はなかった。
No lives were lost, and we could wade ashore in safety.	誰も命を落としていないし、無事岸まで歩いていけた。
But there were all our stores at the bottom,	しかしわれわれの荷物はすっかり水につかってしまった。
and to make things worse, only two guns out of five remained in a state for service.	もっと悪いことに、銃は５丁のうち２丁しか役にたたなくなっていた。
Mine I had snatched from my knees and held over my head, by a sort of instinct.	私の銃は、反射的にひざの上から頭上に持ち上げていたし、
As for the captain, he had carried his over his shoulder by a bandoleer, and like a wise man, lock uppermost.	船長の銃は弾薬帯で肩の上にのせられていて、賢いことに引き金が上になっていた。
The other three had gone down with the boat.	他の３丁の銃はボートといっしょに水没してしまった。
To add to our concern, we heard voices already drawing near us in the woods along shore,	さらに困ったことに、われわれは岸沿いの森から迫ってくる声も聞きつけた。
and we had not only the danger of being cut off from the stockade in our half-crippled state but the fear before us whether, if Hunter and Joyce were attacked by half a dozen, they would have the sense and conduct to stand firm.	そしてわれわれは半ば手足をもがれた状態で防護柵への道を断たれる危険があっただけではなく、もしハンターやジョイスが半ダースばかりのやつらに攻撃されたら、常識を働かせて、ふみとどまってくれるかどうかという恐れもあった。
Hunter was steady, that we knew;	ハンターは大丈夫だとわれわれは知っていたが、
Joyce was a doubtful case	ジョイスは疑わしかった。
--a pleasant, polite man for a valet and to brush one's clothes, but not entirely fitted for a man of war.	ボーイとして人の服にブラシをかけるには、陽気で礼儀正しい男だったが、戦うのには全く適していなかった。
With all this in our minds, we waded ashore as fast as we could, leaving behind us the poor jolly-boat and a good half of all our powder and provisions.	こんなことを考えながら、ボートを捨て、火薬と食料の半分あまりはそのままほって置いて、われわれはできるかぎり急いで岸まで歩いた。
18  Narrative Continued by the Doctor:	18 先生による続きの物語：
End of the First Day's Fighting	初日の襲撃の結末
WE made our best speed across the strip of wood	われわれは精一杯急いで、柵へと続く森をぬけた。
that now divided us from the stockade, and at every step we took the voices of the buccaneers rang nearer.	そして一歩すすむごとに、海賊の声が近づいてくるのが聞こえた。
Soon we could hear their footfalls as they ran and the cracking of the branches as they breasted across a bit of thicket.	すぐに海賊たちが走っていくときの足音や、枝をかきわけて進むときの枝の折れる音が聞こえた。
I began to see we should have a brush for it in earnest and looked to my priming.	私は本気でこぜりあいをしなければならないことが分かったので、自分の銃の装填をしらべた。
"Captain,"	「船長」
said I,	私は言った。
"Trelawney is the dead shot.	「トレローニーさんは百発百中の名手です。
Give him your gun;	あなたの銃を渡してください。
his own is useless."	トレローニーさんのは役にたたないんです」
They exchanged guns,	船長とトレローニーさんは銃を交換した。
and Trelawney, silent and cool as he had been since the beginning of the bustle, hung a moment on his heel to see that all was fit for service.	トレローニーさんはこの騒動のはじめからずっと寡黙で冷静であり、少し立ち止まると、装備に問題がないかを確認した。
At the same time, observing Gray to be unarmed, I handed him my cutlass.	同時に、私はグレーが何も武器をもっていないことにも気づいたので、自分の短剣をグレーに手渡した。
It did all our hearts good to see him spit in his hand, knit his brows, and make the blade sing through the air.	グレーが手につばをつけ、まゆをひそめ、刃をびゅんびゅんと宙で振り回したのをみると、われわれは勇気づけられた。
It was plain from every line of his body that our new hand was worth his salt.	グレーの身のこなしのどこをみても、この新しい加勢が十分役に立つことは明らかだった。
Forty paces farther we came to the edge of the wood and saw the stockade in front of us.	４０歩ほど進むとわれわれは森のはしに出てきて、正面に柵を目にした。
We struck the enclosure about the middle of the south side,	われわれの出てきたところは、柵の南側のまんなか辺りだった。
and almost at the same time, seven mutineers--Job Anderson, the boatswain, at their head--appeared in full cry at the southwestern corner.	そしてほぼ同時に、７人の反逆者が甲板長のジョブ・アンダーソンを先頭に、南西の角のところに全員いっせいに現れた。
They paused as if taken aback,	やつらは不意をつかれたように立ちつくしていた。
and before they recovered, not only the squire and I, but Hunter and Joyce from the block house, had time to fire.	そしてやつらがはっと気づく前に、大地主さんと私だけでなく、ハンターとジョイスも丸太小屋から一斉に射撃をするのに十分な時間があった。
The four shots came in rather a scattering volley, but they did the business:	４人の射撃は一斉射撃というにはばらばらだったが効果があり、
one of the enemy actually fell, and the rest, without hesitation, turned and plunged into the trees.	敵の一人はばたりと倒れ、残りは躊躇なくきびすを返し、木々の中に飛び込んだ。
After reloading, we walked down the outside of the palisade to see to the fallen enemy.	弾丸を充填し、倒れた敵のようすを見に柵の外側を歩いていったが、
He was stone dead--shot through the heart.	男は心臓を撃ち抜かれ、完全に死んでいた。
We began to rejoice over our good success when just at that moment a pistol cracked in the bush, a ball whistled close past my ear,	われわれがこの成果に歓声をあげようとしたその瞬間に、一発の銃声がやぶから聞こえ、銃弾が私の耳をかすめた。
and poor Tom Redruth stumbled and fell his length on the ground.	そしてトム・レッドルースが、不幸なことによろめいて地面にばったりと倒れた。
Both the squire and I returned the shot, but as we had nothing to aim at, it is probable we only wasted powder.	大地主さんと私は撃ちかえしたが、何をねらったわけでもなかったので、単に火薬を無駄にしただけだっただろう。
Then we reloaded and turned our attention to poor Tom.	それからまた弾丸を充填し、かわいそうなトムの方に注意を向けた。
The captain and Gray were already examining him, and I saw with half an eye that all was over.	船長とグレーが既にトムを介抱していたが、私には一瞥しただけでもうだめだということがわかった。
I believe the readiness of our return volley had scattered the mutineers once more,	われわれが撃ちかえす準備をすばやく整えたので、反逆人たちはふたたびクモの子を散らすように逃げ出したのではないだろうか。
for we were suffered without further molestation to get the poor old gamekeeper hoisted over the stockade and carried, groaning and bleeding, into the log-house.	というのも、そのかわいそうな狩猟番がうめきながら血をながしている状態で、柵の上にもちあげ小屋の中に運び込むのに、それ以上の邪魔は入らなかったから。
Poor old fellow, he had not uttered one word of surprise, complaint, fear, or even acquiescence from the very beginning of our troubles till now, when we had laid him down in the log-house to die.	かわいそうな年よりは、そもそもこの騒動にまきこまれた最初から、丸太小屋の床に寝かされ死んでいこうとしている今にいたるまで、驚きや不平不満、いや、承認の声さえ一言だってあげなかった。
He had lain like a Trojan behind his mattress in the gallery;	トムは船の廊下のマットレスの陰で、トロイ人のように敵に備えていた。
he had followed every order silently, doggedly, and well;	トムはどんな命令にも黙々として根気強く、そしてよく従ったものだった。
he was the oldest of our party by a score of years;	トムは一団の一番の年寄りで、われわれより２０ほども年をとっていた。
and now, sullen, old, serviceable servant, it was he that was to die.	そしていま、気難しい年寄りの、すばらしい召使だった男が死んでいこうとしている。
The squire dropped down beside him on his knees and kissed his hand, crying like a child.	大地主さんはトムの傍らに両膝をついて、子供のように泣きながら、その手にキスをしていた。
"Be I going, doctor?"	「わしは死ぬんですかい？先生」
he asked.	トムは尋ねた。
"Tom, my man,"	「トム、君」
said I,	私は言った。
"you're going home."	「おまえは故郷にかえるんだよ」
"I wish I had had a lick at them with the gun first,"	「わしは最初にやつらに一発くらわしてやりたかったですよ」
he replied.	トムは答えた。
"Tom,"	「トム」
said the squire,	大地主さんは言った。
"say you forgive me, won't you?"	「私を許すと言ってくれないかい？」
"Would that be respectful like, from me to you, squire?"	「わしからだんな様に、そんな恐れ多いことを言えますかい？」
was the answer.	というのがその答えだった。
"Howsoever, so be it, amen!"	「でもそういうことでいいでしょう、アーメン！」
After a little while of silence, he said he thought somebody might read a prayer.	しばしの沈黙のあと、トムは誰かお祈りをしてくれないかと言い、
"It's the custom, sir,"	「それが、慣わしですから」
he added apologetically.	と弁解するように付け加えた。
And not long after, without another word, he passed away.	そしてまもなく、それ以上一言も発することなく死んでいった。
In the meantime the captain, whom I had observed to be wonderfully swollen about the chest and pockets, had turned out a great many various stores	そのあいだ船長は、私は気がついたのだが、胸とポケットが不思議なほどふくらんでいて、そこからありとあらゆる必需品を取り出していた。
--the British colours, a Bible, a coil of stoutish rope, pen, ink, the log-book, and pounds of tobacco.	英国国旗、聖書、頑丈なロープ一巻き、ペン、インク、航海日誌、そしてタバコを何ポンドか。
He had found a longish fir-tree lying felled and trimmed in the enclosure,	船長は囲いの中に落ちているモミの木を一本見つけ、それは枝がはらってあり長めだった。
and with the help of Hunter he had set it up at the corner of the log-house where the trunks crossed and made an angle.	そしてハンターの助けをかり、丸太小屋の隅で柵の木の幹と幹が十字に交わっている所にその木を立てた。
Then, climbing on the roof, he had with his own hand bent and run up the colours.	それから屋根の上にのぼり、自身の手で国旗をくくりつけ掲げた。
This seemed mightily to relieve him.	こうして船長はすっかり落ち着いたようだった。
He re-entered the log-house and set about counting up the stores as if nothing else existed.	そして再び丸太小屋に入ってくると、何事もなかったかのように必需品を数え始めた。
But he had an eye on Tom's passage for all that, and as soon as all was over, came forward with another flag and reverently spread it on the body.	しかし船長の目はずっとトムが死んでいくさまにくぎづけで、トムが死んでしまうと、他の旗をもってきて、うやうやしく体にかぶせた。
"Don't you take on, sir,"	「そんなに取り乱してはいけません」
he said, shaking the squire's hand.	船長は、大地主さんの手を握りながら言った。
"All's well with him;	「彼はこれでよかったんですよ。
no fear for a hand that's been shot down in his duty to captain and owner.	船長や主人に仕える義務を全うして倒れたものに不安はありません。
It mayn't be good divinity, but it's a fact."	神様はそういわないかもしれませんが、それが事実なんですよ」
Then he pulled me aside.	それから私をわきへ引っぱって行くと、こう言った。
"Dr. Livesey," he said, "in how many weeks do you and squire expect the consort?"	「リバシー先生、何週間たてば助けの船が来るとあなたと大地主さんはお考えですか？」
I told him it was a question not of weeks but of months, that if we were not back by the end of August Blandly was to send to find us, but neither sooner nor later.	私は船長に何週間ではなく、何ヶ月の問題で、もしわれわれが８月の終りまでに戻らなければ、ブランドリーがわれわれを探しにくるでしょう、でもそれより遅くも早くでもありませんなと答えた。
"You can calculate for yourself,"	「自分で計算してみてください」
I said.	私は言った。
"Why, yes,"	「あぁ、なるほど」
returned the captain, scratching his head;	船長は、頭をかきむしりながら答えた。
"and making a large allowance, sir, for all the gifts of Providence, I should say we were pretty close hauled."	「どれほど神の恵みがあろうとも、われわれの進路はすっかり固定されてしまっているといわざるをえませんな」
"How do you mean?"	「どういう意味です？」
I asked.	私は尋ねた。
"It's a pity, sir, we lost that second load. That's what I mean,"	「残念なことに、２度目の航行の荷物を失ってしまったということですよ」
replied the captain.	船長は答えた。
"As for powder and shot, we'll do.	「火薬と銃に関していえば、大丈夫でしょう。
But the rations are short, very short--	でも食料が不足しています、全然足りんのです。
so short, Dr. Livesey, that we're perhaps as well without that extra mouth."	リバシー先生、あんまり不足してるんで、口が一つ減ったことにも感謝したいくらいですよ」
And he pointed to the dead body under the flag.	そして旗につつまれた死体を指さした。
Just then, with a roar and a whistle, a round-shot passed high above the roof of the log-house and plumped far beyond us in the wood.	ちょうどそのとき、轟音と風きり音がきこえ、砲弾が丸太小屋の屋根のはるか上を通り過ぎ、森のわれわれのはるか後ろの方にどしんと着弾した。
"Oho!"	「おぉ！」
said the captain.	船長は言った。
"Blaze away!	「どんどん撃つがいい！
You've little enough powder already, my lads."	もう火薬もほとんど残ってないだろうがな」
At the second trial, the aim was better,	２度目は、ねらいはより正確になった。
and the ball descended inside the stockade, scattering a cloud of sand but doing no further damage.	砲弾は柵の内側に落ちてきて、砂埃があがったが、それ以上のダメージはなかった。
"Captain,"	「船長、」
said the squire,	大地主さんが言った。
"the house is quite invisible from the ship.	「この小屋自体は、船からは全く見えないはずです。
It must be the flag they are aiming at.	やつらが狙っているのは国旗にちがいありません。
Would it not be wiser to take it in?"	国旗を取り込んだほうがよくはありませんか？」
"Strike my colours!"	「国旗を降ろすだって！」
cried the captain.	船長は叫んだ。
"No, sir, not I";	「だめです、私にはできません」
and as soon as he had said the words, I think we all agreed with him.	その言葉をだすとすぐに、私が思うに、全員が船長のいうことに同意していた。
For it was not only a piece of stout, seamanly, good feeling;	なぜならそれは単に力強く海の男らしくて、共感をえただけではない。
it was good policy besides and showed our enemies that we despised their cannonade.	それは、その上に実際よい方針で、敵に対して、やつらの砲弾が何発落ちようともわれわれはなんとも思っていないということを示していたのだ。
All through the evening they kept thundering away.	その夕方ずっと、やつらは砲弾を撃ち続けた。
Ball after ball flew over or fell short or kicked up the sand in the enclosure,	砲弾につぐ砲弾が飛び越えたり、届かなかったり、囲いの中の砂に埋まったりした。
but they had to fire so high that the shot fell dead and buried itself in the soft sand.	しかしやつらは砲弾を高く撃ち上げなければならなかったので、砲弾は落ちても弾まずに、柔らかい砂の中に埋まってしまった。
We had no ricochet to fear,	われわれは砲弾がはねかえるのを心配しなくてよかったわけだ。
and though one popped in through the roof of the log-house and out again through the floor, we soon got used to that sort of horse-play and minded it no more than cricket.	砲弾が一つ、丸太小屋の屋根をぶちぬいて飛び込んできて、床を突き抜けていったが、そんなばかさわぎにもすぐになれて、クリケットほどにも気にならなくなった。
"There is one good thing about all this,"	「これにはこれでいいことが一つありますな」
observed the captain;	船長は言った。
"the wood in front of us is likely clear.	「われわれの手前の森には、敵はいないでしょう。
The ebb has made a good while;	潮はすっかり引いているから、
our stores should be uncovered.	われわれの荷物が置き去りになっているでしょう。
Volunteers to go and bring in pork.	行って、豚肉をとってこようという志願者は？」
Gray and hunter were the first to come forward.	グレーとハンターが最初に前にでた。
Well armed, they stole out of the stockade, but it proved a useless mission.	十分に武装して、こっそり柵からでていったが無駄に終った。
The mutineers were bolder than we fancied or they put more trust in Israel's gunnery.	反逆者たちはわれわれが思ったより大胆というか、イスラエルの砲撃の腕を信じていたんだろう。
For four or five of them were busy carrying off our stores and wading out with them to one of the gigs thatlay close by,	なぜならやつら４、５人がわれわれの荷物を運び出し、それを持ってすぐ近くに停めていた小船の一つまで歩いていくのに忙しそうにしていたからだ。
pulling an oar or so to hold her steady against the current.	小船ではオールをこぎ、潮に流されないようにしていた。
Silver was in the stern-sheets in command;	シルバーは船尾に座り、指揮をとっていた。
and every man of them was now provided with a musket from some secret magazine of their own.	そしてやつらのどこかの秘密の倉庫から持ち出したマスケット銃が、全員に配られていた。
The captain sat down to his log,	船長は座りこみ、航海日誌をつけた。
and here is the beginning of the entry:	その書き出しはこうだった。
Alexander Smollett, master;	船長　アレキサンダー・スモレット、
David Livesey, ship's doctor;	船医　デビット・リバシー、
Abraham Gray, carpenter's mate;	大工の助手　アブラハム・グレー、
John Trelawney, owner;	船主　ジョン・トレローニー、
John Hunter and Richard Joyce, owner's servants, landsmen	船主の召使で海の男ではないジョン・ハンター、そしてリチャード・ジョイス、
--being all that is left faithful of the ship's company	これが船の仲間として信じられる男の全てである。
--with stores for ten days at short rations,	食料はきりつめて１０日分。
came ashore this day and flew British colours on the log-house in Treasure Island.	本日上陸し、宝島の丸太小屋に英国国旗を掲げた。
Thomas Redruth, owner's servant, landsman, shot by the mutineers;	船主の召使で海の男ではないトム・レッドルースが反逆者に撃たれた。
James Hawkins, cabin-boy--	ボーイ　ジェームス・ホーキンスは、
And at the same time, I was wondering over poor Jim Hawkins' fate.	それと同時に、私はかわいそうなジム・ホーキンスの運命に思いをはせていた。
A hail on the land side.	陸の方からおぉいという呼びかけがあった。
"Somebody hailing us,"	「誰かが呼びかけている」
said Hunter, who was on guard.	見張りのハンターが言った。
"Doctor!	「先生！
Squire!	大地主さん！
Captain!	船長！
Hunter, is that you?"	やぁ、ハンターかい？」
came the cries.	と叫び声がした。
And I ran to the door in time to see Jim Hawkins, safe and sound, come climbing over the stockade.	そして私がドアの所に走っていくと、すぐに無事で元気そうなジム・ホーキンスが柵をのぼってくる姿が見てとれた。
19  Narrative Resumed by Jim Hawkins:	19 再びジム・ホーキンスによる物語：
The Garrison in the Stockade	防護柵の要塞
AS soon as Ben Gunn saw the colours he came to a halt, stopped me by the arm, and sat down.	ベン・ガンは旗をみると立ち止まり、僕の腕をつかんでひきとめると座り込んだ。
"Now,"	「おい」
said he,	ベンは言った。
"there's your friends, sure enough."	「あれは味方だな、間違いない」
"Far more likely it's the mutineers,"	「いや、反逆者たちじゃないかなぁ」
I answered.	と僕は答えた。
"That!"	「なんだって！」
he cried.	ベンは叫んだ。
"Why, in a place like this, where nobody puts in but gen'lemen of fortune, Silver would fly the Jolly Roger, you don't make no doubt of that.	「成金以外には誰も来ないようなこんな場所だし、シルバーだったら海賊旗を立てることだろうよ、味方に間違いねぇよ。
No, that's your friends.	そう、あれはおまえの味方だよ。
There's been blows too, and I reckon your friends has had the best of it;	こぜりあいもあっただろう、おれが思うにおまえさんの味方が勝ったんじゃないかな。
and here they are ashore in the old stockade, as was made years and years ago by Flint.	で、上陸して、あの古い防護柵の中にいるわけだ、そこはフリントが何十年もまえに作ったんだよ。
Ah, he was the man to have a headpiece, was Flint!	まったく、フリントときたらかしらにふさわしい人だったんだ！
Barring rum, his match were never seen.	ラム以外には、フリントにかなうものは見たことねぇ。
He were afraid of none, not he;	怖いものはなんもなかったんだ。
on'y Silver--Silver was that genteel."	ただシルバーを除いてな、シルバーってのはどこか上品なところがあったからな」
"Well,"	「うん」
said I,	僕も言った。
"that may be so, and so be it;	「そうかもしれないな、というかそうなんだろう。
all the more reason that I should hurry on and join my friends."	それならなおさら、僕は急いで味方のところまで行かなくちゃ」
"Nay, mate,"	「だめだ」
returned Ben,	ベンは答えた。
"not you.	「行っちゃだめだ。
You're a good boy, or I'm mistook;	おまえはいい子だ、それともおれは勘違いしてたかな。
but you're on'y a boy, all told.	ただ、おまえはなんと言ってもまだほんの坊やだよ。
Now, Ben Gunn is fly.	ところがこのベン・ガンときたら、なかなか目端がきくわけだ。
Rum wouldn't bring me there, where you're going	ラムを飲んでたって、そこへは行かねぇな、おまえが行こうとしてるところだよ。
--not rum wouldn't, till I see your born gen'leman and gets it on his word of honour.	ラムを飲んでたって行かねぇな、まぁ、おれがおまえが言う本当の紳士とやらに会って、名誉とやらにかけて誓うまではな。
And you won't forget my words;	で、おまえは俺の言葉を忘れちゃならねぇぞ
'A precious sight (that's what you'll say), a precious sight more confidence'--	“貴いお方（そう言うんだぞ）貴いお方を信じてます”とな、
and then nips him.	それからつねるんだぞ」
And he pinched me the third time with the same air of cleverness.	そしてベンはこれで３回目になるが、にやりとしたあの調子で僕をつねった。
"And when Ben Gunn is wanted, you know where to find him, Jim.	「そんで、ベン・ガンに会いてぇ時には、どこに行けばいいか分かってるな、ジム。
Just wheer you found him today.	今日おまえさんと会ったあの場所だぜ。
And him that comes is to have a white thing in his hand, and he's to come alone.	来るときには手に白いものを持ってきてくれよ、もちろん一人きりだぜ。
Oh!  And you'll say this:	あぁ、こう言ってもらうことにしよう
'Ben Gunn,' says you, 'has reasons of his own.'"	“ベン・ガンにはベン・ガンなりのわけがあります”って言ってもらうことにな」
"Well,"	「うん」
said I,	僕は言った。
