PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
She was about forty round the waist.	まるでウエストのサイズが４０もあるみたいです。
There was a good deal going on in the Baby Walk,	赤ん坊の道には、いろいろなものが行き来しました。
when Maimie arrived in time to see a magnolia and a Persian lilac step over the railing and set off for a smart walk.	マイミーが着いた時は、マグノリア（もくれん）とペルシアライラックが柵を越えて、さっそうと歩いて行くところでした。
They moved in a jerky sort of way certainly, but that was because they used crutches.	たしかに彼らはてきぱきと動いていましたが、それは松葉杖を使っていたからです。
An elderberry hobbled across the walk, and stood chatting with some young quinces,	ニワトコは道をびっこを引きながら横切り、年若そうなカリンと立ち話をしていました。
and they all had crutches.	みんな松葉杖をついていて、
The crutches were the sticks that are tied to young trees and shrubs.	松葉杖とは若い枝や下のほうの枝に結び付けられたステッキのことです。
They were quite familiar objects to Maimie, but she had never known what they were for until to-night.	松葉杖はマイミーにとって、よく目にするものでしたが、今夜までどんな風に使うものか知りませんでした。
She peeped up the walk and saw her first fairy.	マイミーは道をこっそりのぞいて、初めて妖精をみました。
He was a street boy fairy who was running up the walk closing the weeping trees.	その妖精は男の子の浮浪児で道をかけまわっては、垂れ下がった枝を閉じているのでした。
The way he did it was this,	そのやり方はこうです。
he pressed a spring in the trunk and they shut like umbrellas, deluging the little plants beneath with snow.	妖精が木の幹に飛びかかると、木は傘みたいに枝を閉じ、木の下の小さな草木の上に雪をどさりと落とすのです。
"Oh, you naughty, naughty child!"	「わんぱく坊や、まったくわんぱくなんだから！」
Maimie cried indignantly,	マイミーは腹をたてて叫びました。
for she knew what it was to have a dripping umbrella about your ears.	マイミーも、耳元のところに雨がしたたる傘をもってこられることがどういうことかは知ってましたから。
Fortunately the mischievous fellow was out of earshot,	運がよいことに、いたずらな妖精はマイミーの声が聞こえなかったみたいです。
but the chrysanthemums heard her,	ただ菊の花が、マイミーの声を聞いていました。
and they all said so pointedly	菊の花は辛らつに
"Hoity-toity, what is this?"	「いやはや、どういうことだい？」と言い放ち、
that she had to come out and show herself.	マイミーは出て来ざるをえませんでした。
Then the whole vegetable kingdom was rather puzzled what to do.	そして植物界は、どうしようかすっかり困ってしまいました。
"Of course it is no affair of ours,"	「もちろん、私たちには関係ないですから」
a spindle tree said after they had whispered together,	マユミの木は、みんなと何やらささやきあってからそう言いました。
"but you know quite well you ought not to be here, and perhaps our duty is to report you to the fairies;	「でもここにいちゃいけないって知ってるでしょうに、私たちとしてはあなたのこと、妖精たちに言わなきゃならないわ。
what do you think yourself?"	自分ではどう思ってるの？」
"I think you should not,"	「妖精たちには言わないで」
Maimie replied, which so perplexed them that they said petulantly there was no arguing with her.	マイミーがそう答えたので、みんなは困ってしまって、怒りっぽい口調でマイミーのことなんかあれこれ言いたくもないと言いました。
"I wouldn't ask it of you,"	「もし自分で悪いことだと思ってたら、頼まないわ」
she assured them, "if I thought it was wrong,"	マイミーはみんなに断言しました。
and of course after this they could not well carry tales.	もちろんこう言われては、告げ口できません。
They then said,	みんなは口々にこういいました
"Well-a-day,"	「なんてことのなの」
"Such is life!"	「人生なんてそんなもの！」とか。
for they can be frightfully sarcastic,	木たちの口ぶりときたら、まったく嫌みになるときがあるのです。
but she felt sorry for those of them who had no crutches, and she said good-naturedly,	でもマイミーは、松葉杖をもっていない木たちのことをかわいそうに思ったので、いい子の発言をしました。
"Before I go to the fairies' ball, I should like to take you for a walk one at a time;	「妖精たちの舞踏会に行く前に、一人ずつ散歩に連れていってあげる。
you can lean on me, you know."	私にもたれかかればいいわ」
At this they clapped their hands,	これを聞いて、みんな拍手喝さいです。
and she escorted them up to the Baby Walk and back again,	マイミーは、みんなを赤ん坊の道まで連れていき戻ってきました。
one at a time,	一度に一人ずつ。
putting an arm or a finger round the very frail, setting their leg right when it got too ridiculous,	とてもよろよろしている木は腕や指でささえてやり、足元がおぼつかない木にはまっすぐ歩けるようにしました。
and treating the foreign ones quite as courteously as the English, though she could not understand a word they said.	外国の木が何を言ってるのかさっぱりマイミーは分かりませんでしたけど、英国の木と同じくらい礼儀正しく接しました。
They behaved well on the whole, though some whimpered that she had not taken them as far as she took Nancy or Grace or Dorothy,	木たちもみんなだいたい礼儀正しかったですが、なかにはナンシーやグレースやドロシーを連れて行ったところまで私をつれて行ってくれないの、とめそめそ泣くものもいました。
and others jagged her,	またマイミーにぎざぎざをつけるものもいました。
but it was quite unintentional, and she was too much of a lady to cry out.	ただわざとではありませんし、マイミーは礼儀正しい女の子でしたので叫び声はあげませんでした。
So much walking tired her and she was anxious to be off to the ball,	マイミーはあんまり歩いたので疲れましたし、舞踏会に遅れるのではと心配になりました。
but she no longer felt afraid.	でも、もう恐い気持ちは全然ありません。
The reason she felt no more fear was that it was now night-time,	恐くなくなったのは、夜の時間になったからでもあります。
and in the dark, you remember, Maimie was always rather strange.	暗くなると、そうです、マイミーはかなり変わった女の子になりますから。
They were now loath to let her go,	木たちはマイミーを行かせたがりません。
for,	それで
"If the fairies see you," they warned her, "they will mischief you,	「妖精たちがあなたを見たら、いたずらするよ。
stab you to death or compel you to nurse their children or turn you into something tedious, like an evergreen oak."	つついたり子供の面倒をみさせたり、なにか退屈なもの、一年中緑のかしの木なんかにかえてしまうかもしれないよ」と注意しました。
As they said this they looked with affected pity at an evergreen oak,	こういいながら、木たちは悪いなぁと思いながらかしの木を見ました。
for in winter they are very envious of the evergreens.	実は、一年中緑のかしの木をねたましく思っていたのです。
"Oh, la!"	「ふーん！」
replied the oak bitingly,	かしの木は辛らつに言い返しました。
"how deliciously cosy it is to stand here buttoned to the neck and watch you poor naked creatures shivering!"	「ここに首までボタンをしめて立っていて、君らがはだかでぶるぶる震えてるのを見るのはどんなに楽しいことか」
This made them sulky though they had really brought it on themselves,	自分たちで言い出したくせに、こう言われると他の木たちは、すっかりすねてしまいました。
and they drew for Maimie a very gloomy picture of the perils that faced her if she insisted on going to the ball.	そしてマイミーにもし舞踏会に行くとだだをこねると、どんな危険がまちうけているかさも憂鬱そうに説明するのでした。
She learned from a purple filbert that the court was not in its usual good temper at present,	マイミーは、すでにムラサキハシバミから宮殿はいつものような平穏な様子ではないということを聞いていました。
the cause being the tantalising heart of the Duke of Christmas Daisies.	それは、クリスマスひなぎく公爵のじりじりさせる心のせいなのです。
He was an Oriental fairy, very poorly of a dreadful complaint, namely, inability to love,	クリスマスひなぎく公爵は東洋の妖精で、ひどい病気にかかっており、つまり愛することができないためにとても不幸でした。
and though he had tried many ladies in many lands he could not fall in love with one of them.	いろいろな土地でさまざまな女の人を愛そうとしたのですが、誰も愛することができませんでした。
Queen Mab, who rules in the Gardens, had been confident that her girls would bewitch him,	ケンジントン公園を治めていたマブ女王は、自分の娘たちなら公爵をうっとりさせることができるだろうと自信をもっていました。
but alas, his heart, the doctor said, remained cold.	ただ医者がいうには、公爵の心は凍ったままなのでした。
This rather irritating doctor, who was his private physician, felt the Duke's heart immediately after any lady was presented, and then always shook his bald head	このかなりいらいらさせる医者は、公爵のかかりつけの医者で、女性が公爵の面前に現われるとすぐに公爵の心に手をあてて、はげあがった頭をいつも左右にふると、
and murmured, "Cold, quite cold!"	「冷たい、きわめて冷たいですな」とつぶやきました。
Naturally Queen Mab felt disgraced, and first she tried the effect of ordering the court into tears for nine minutes,	もちろんマブ女王は面目をつぶされたと感じて、最初は、９分間の間、宮殿を涙であふれさせることを試してみました。
and then she blamed the Cupids and decreed that they should wear fools' caps until they thawed the Duke's frozen heart.	それからキューピッドを責め、公爵の凍りついた心をとかすまで道化者の帽子をかぶるよう命令しました。
"How I should love to see the Cupids in their dear little fools' caps!"	「なんとしても、道化者の帽子をかぶったキューピッドをみたいわ」
Maimie cried, and away she ran to look for them very recklessly,	とマイミーはさけぶと、向こう見ずにもキューピッドを探しにかけだしました。
for the Cupids hate to be laughed at.	キューピッドというものは、笑われるのが大嫌いなのですが。
It is always easy to discover where a fairies' ball is being held,	妖精たちの舞踏会が開かれている場所を探し出すのは、いつも簡単なことです。
as ribbons are stretched between it and all the populous parts of the Gardens, on which those invited may walk to the dance without wetting their pumps.	というのも舞踏会の場所と公園の人通りがはげしい場所との間にはリボンがはりわたされていて、招待された人たちは舞踏用の靴が濡れないように、ダンスするところまでその上を歩いて行けましたから。
This night the ribbons were red and looked very pretty on the snow.	今夜のリボンは赤で、雪の上でひときわ映えました。
Maimie walked alongside one of them for some distance without meeting anybody,	マイミーは、誰にも出会うことなくしばらくリボンの一つにそって歩いて行きました。
but at last she saw a fairy cavalcade approaching.	しかしついにマイミーは妖精の大パレードが近づいてくるのを目にしました。
To her surprise they seemed to be returning from the ball,	びっくりしたことに、パレードは舞踏会から引き返してくるようでした。
and she had just time to hide from them by bending her knees and holding out her arms and pretending to be a garden chair.	マイミーは膝を折り両腕をのばし、公園の椅子のようなふりをしてぎりぎりパレードから姿を隠しました。
There were six horsemen in front and six behind, in the middle walked a prim lady wearing a long train held up by two pages, and on the train,	前に６人、後ろに６人が馬に乗っていて、真ん中に２人の小姓に服の長いすそをもたせている上品な女性が歩いていました。
as if it were a couch, reclined a lovely girl, for in this way do aristocratic fairies travel about.	まるで長いすに腰かけているようで、一人の愛らしい少女がもたれかかっており、これが上流階級の妖精たちが旅をするやり方でした。
She was dressed in golden rain, but the most enviable part of her was her neck,	女性は金色のドレスに身をつつんでいましたが、なんといってももっとも羨望の的なのは首でした。
which was blue in colour and of a velvet texture, and of course showed off her diamond necklace as no white throat could have glorified it.	色が青くビロードの手触りで、白いのどではそれほど映えないぐらい、ダイアモンドのネックレスをいっそう引き立たせていました。
The high-born fairies obtain this admired effect by pricking their skin,	生まれが高貴な妖精たちは、このみとれる効果を上げるために、肌に針をさすのです。
which lets the blue blood come through and dye them,	針をさすと、青い血が出てきて肌が青く染まるのです。
and you cannot imagine anything so dazzling unless you have seen the ladies' busts in the jewellers' windows.	そしてあなたが宝石商のショーウィンドウで女性の上半身でも見たことがない限り、それほど目がくらむものを想像することさえできないでしょう。
Maimie also noticed that the whole cavalcade seemed to be in a passion,	マイミーは、大パレードが怒っているようにも見えることにも気づきました。
tilting their noses higher than it can be safe for even fairies to tilt them,	妖精ができうるかぎり鼻をつんと上に向けていたのです。
and she concluded that this must be another case in which the doctor had said "Cold, quite cold!"	マイミーはまたあの医者に「冷たい、きわめて冷たいですな」と言われたにちがいないと思いました。
Well, she followed the ribbon to a place where it became a bridge over a dry puddle	さて、マイミーはリボンをたどって、水のかれた水たまりにかかっている橋のようになっている所までやってきました。
into which another fairy had fallen and been unable to climb out.	そこでは、ある妖精が水たまりにはまりこみ這い上がれなくなっていました。
At first this little damsel was afraid of Maimie, who most kindly went to her aid, but soon she sat in her hand chatting gaily and explaining	初めこの小さな少女はマイミーを恐がっていましたが、マイミーがやさしく彼女を助け出したので、すぐにマイミーの腕の中で楽しそうに話し出しました。
that her name was Brownie, and that though only a poor street singer she was on her way to the ball to see if the Duke would have her.	自分の名前はブローニーで、今はしがない街の歌い手だけど、舞踏会に行って公爵にお目にかかろうと思うのと話してくれたのです。
"Of course," she said, "I am rather plain,"	「もちろん、わたしは目立たない女の子よ」
and this made Maimie uncomfortable,	少女がそう言うのを聞いて、マイミーは居心地が悪くなってしまいました。
for indeed the simple little creature was almost quite plain for a fairy.	というのもこの飾り気のない小さな少女は、妖精としては全く地味でしたから。
It was difficult to know what to reply.	なんて答えていいのかわかりません。
"I see you think I have no chance,"	「あなたが、わたしにはチャンスがないって思ってるのはわかるわ」
Brownie said falteringly.	ブローニーはためらいながら言いました。
"I don't say that,"	「そんなこといってない」
Maimie answered politely,	マイミーは礼儀正しく答えました。
"of course your face is just a tiny bit homely, but--"	「もちろんあなたの顔は、少しばかり平凡だけどね、でもね」
Really it was quite awkward for her.	マイミーは、実際のところとても困ってしまいました。
Fortunately she remembered about her father and the bazaar.	運がいいことに、マイミーはお父さんとバザーのことを思い出しました。
He had gone to a fashionable bazaar	お父さんは社交界のバザーへ出かけて行ったのです。
where all the most beautiful ladies in London were on view for half-a-crown the second day,	そのバザーでは、２日目にはロンドン中の全ての美しい女性を半クラウンでみることができました。
but on his return home instead of being dissatisfied with Maimie's mother he had said,	でも家に帰ってくると、マイミーのお母さんにがっかりするどころが、こう言ったものでした。
"You can't think, my dear, what a relief it is to see a homely face again."	「また平凡な顔を目にするのが、どれほど落ち着くかわからないだろうなぁ」
Maimie repeated this story, and it fortified Brownie tremendously,	マイミーがこの話を繰り返すと、ブローニーはとても勇気づけられたようでした。
indeed she had no longer the slightest doubt that the Duke would choose her.	実際ブローニーは、公爵が自分を選ぶだろうということをこれっぽちも疑っていませんでした。
So she scudded away up the ribbon,	そして彼女はリボンの上を駆けていきました。
calling out to Maimie not to follow lest the Queen should mischief her.	マイミーには、女王がなにかするといけないから後をついてこないようにと言い残していきました。
But Maimie's curiosity tugged her forward,	でもマイミーの好奇心は、彼女の足を前へ前へと進ませます。
and presently at the seven Spanish chestnuts, she saw a wonderful light.	そして７本のスペインのクリの木のところで、素敵な明かりを見ました。
She crept forward until she was quite near it,	マイミーは明かりのごく近くまで、這って近づきました。
and then she peeped from behind a tree.	そして木の陰から覗き見しました。
The light, which was as high as your head above the ground, was composed of myriads of glow-worms all holding on to each other, and so forming a dazzling canopy over the fairy ring.	その明かりは、ちょうどあなたの頭ぐらいの高さのところにあり、無数のホタルがひとかたまりになって形作られているようで、妖精たちの輪の上で目も眩むようなパラシュートの傘の形をしていました。
There were thousands of little people looking on, but they were in shadow and drab in colour compared to the glorious creatures within that luminous circle	何千人もの小人が見物していましたが、あの光り輝く輪の中にいる燦然たる妖精に比べると陰になっていて、色もくすんで見えました。
who were so bewilderingly bright that Maimie had to wink hard all the time she looked at them.	妖精たちはどぎまぎするほど明るくて、マイミーは眺めている間はずっと、はげしく瞬きしなければなりませんでした。
It was amazing and even irritating to her that the Duke of Christmas Daisies should be able to keep out of love for a moment:	マイミーにとっては、クリスマスひなぎく公爵がほんのひとときでさえ人を愛することができないことが驚くべきことで、またいらいらさせられることでした。
yet out of love his dusky grace still was:	でも公爵の憂鬱な態度からは、まだ人を愛してないことがありありとわかります。
you could see it by the shamed looks of the Queen and court (though they pretended not to care),	気にしてはいないふうは装っても、辱められたような女王と宮殿のものたちの様子からもわかります。
by the way darling ladies brought forward for his approval burst into tears as they were told to pass on, and by his own most dreary face.	また公爵によい返事をもらうため連れてこられた魅力のある女性たちがだめだと言われて泣き出したことや、公爵自身のつまらなそうな顔からも人を愛していないことはわかります。
Maimie could also see the pompous doctor feeling the Duke's heart	マイミーは、公爵の心を触診しているもったいぶった医者の姿も見ることができました。
and hear him give utterance to his parrot cry,	医者がオウムの鳴き声みたいな声をだしているのが聞こえます。
and she was particularly sorry for the Cupids,	マイミーは、キューピッドたちのことは本当にかわいそうに思いました。
who stood in their fools' caps in obscure places and, every time they heard that "Cold, quite cold," bowed their disgraced little heads.	キューピッドたちは道化帽をかぶり、人目につかない場所に立ち、例の「冷たい、きわめて冷たいですな」を聞くたびに面目ないといった感じで小さな頭を垂れていましたから。
She was disappointed not to see Peter Pan,	マイミーはピーターパンを見ることができなくてがっかりしました。
and I may as well tell you now why he was so late that night.	ピーターがその夜はどうしてそんなに遅れたかお話ししておきましょう。
It was because his boat had got wedged on the Serpentine between fields of floating ice,	それは、ピーターのボートがサーペインタイン池で一面の流氷に囲まれて閉じ込められたからです。
through which he had to break a perilous passage with his trusty paddle.	ピーターは、頼みのかいで危険な道を切り開かなければなりませんでした。
The fairies had as yet scarcely missed him,	妖精たちは、今のところピーターがいないことに気づいていません。
for they could not dance, so heavy were their hearts.	というのもまだ心が重くなっていて踊るどころではありませんから。
They forget all the steps when they are sad and remember them again when they are merry.	妖精たちは悲しくなるとダンスのステップを忘れてしまい、楽しくなると思い出す生き物です。
David tells me	デビットがわたしに教えてくれました。
that fairies never say "We feel happy":	妖精たちは“幸せ”とは言わない、
what they say is, "We feel _dancey_."	“踊りたい”と言うんだと。
Well, they were looking very undancy indeed,	今のところ、妖精たちは全然踊りたくなさそうでした。
when sudden laughter broke out among the onlookers,	そのとき突然、見物人の中から笑い声が起こりました。
caused by Brownie,	ブローニーが引き起こした笑い声です。
who had just arrived and was insisting on her right to be presented to the Duke.	ブローニーは、いま到着したところで公爵にお目にかかりたいと申し出たのです。
Maimie craned forward eagerly to see how her friend fared,	マイミーは、友達のブローニーがどうなるか首を伸ばして見守りました。
though she had really no hope;	実際のところ見こみはなさそうでした。
no one seemed to have the least hope except Brownie herself who, however, was absolutely confident.	ブローニーは自信満々だったんですが、ブローニー以外には少しでも望みがあると思っているものはいませんでした。
She was led before his grace, and the doctor putting a finger carelessly on the ducal heart,	ブローニーは公爵の前につれて行かれ、そして医者が公爵の胸の上にそっけなく一本指をあてました。
which for convenience sake was reached by a little trap-door in his diamond shirt,	公爵のダイヤモンドのシャツの胸のところには、ちいさな扉がついていて指をあてるのに便利なようになっていました。
had begun to say mechanically, "Cold,	そして無意識に
"Cold, qui--,"	「冷たい、きわ、」と言いかけて、
when he stopped abruptly.	突然いいよどみました。
"What's this?"	「これはいったい？」
he cried, and first he shook the heart like a watch,	医者は叫んで、はじめ胸を時計のように揺さぶりました。
and then put his ear to it.	それから胸の上に耳をあてました。
"Bless my soul!"	「なんてことだ！」
cried the doctor, and by this time of course the excitement among the spectators was tremendous, fairies fainting right and left.	医者は叫ぶと、この時には見物人からのどよめきも大きくなり、妖精たちがあちこちで気を失いました。
Everybody stared breathlessly at the Duke, who was very much startled and looked as if he would like to run away.	全ての人が固唾をのんで公爵を見守り、公爵もとても注目をあびて、逃げ出したいようにも見えました。
"Good gracious me!"	「これは驚いた！」
the doctor was heard muttering,	医者がつぶやいているのが聞こえます。
and now the heart was evidently on fire,	そして今、心には明らかに火がついていました。
for he had to jerk his fingers away from it and put them in his mouth.	医者は公爵の心にあてていた指をひっこめて、口の中に入れて冷やしたぐらいです。
The suspense was awful!	興奮は絶頂でした！
Then in a loud voice, and bowing low,	そのとき医者は低い声で、頭をさげて
"My Lord Duke,"	「わが公爵どの」
said the physician elatedly,	と勢い込んで言いました。
"I have the honour to inform your excellency	「謹んで申し上げます。
that your grace is in love."	公爵どのは愛してらっしゃると存じます」
You can't conceive the effect of it.	あなたは、こう言われた後がどうなったかは想像できないでしょう。
Brownie held out her arms to the Duke and he flung himself into them,	ブローニーは両腕を公爵にさしのべ、公爵はその腕の中にとびこみました。
the Queen leapt into the arms of the Lord Chamberlain, and the ladies of the court leapt into the arms of her gentlemen,	女王は侍従長の腕の中にとびこみ、宮廷の女性たちは紳士の腕の中にとびこみました。
for it is etiquette to follow her example in everything.	全てのことにおいて女王のするとおりにするのが、エチケットでしたから。
Thus in a single moment about fifty marriages took place,	その瞬間に５０組の婚礼がとりおこなわれました。
for if you leap into each other's arms it is a fairy wedding.	お互いの腕の中にとびこむことが妖精の婚礼です。
Of course a clergyman has to be present.	もちろん牧師も一人はいなければなりませんが。
How the crowd cheered and leapt!	どんなに観衆は騒いで、とびはねたことでしょう。
Trumpets brayed, the moon came out,	らっぱが響き渡り、月が姿をあらわしました。
and immediately a thousand couples seized hold of its rays as if they were ribbons in a May dance and waltzed in wild abandon round the fairy ring.	そして、すぐさま数多くのカップルがまるで５月の踊りのときリボンをつかむように月の光を手につかみ、妖精たちの輪の周りで、はめをはずしてワルツをおどりました。
Most gladsome sight of all,	そのなかでも一番おおはしゃぎなのは、キューピッドでした。
the Cupids plucked the hated fools' caps from their heads and cast them high in the air.	あのいやな道化帽を脱ぎ捨て、宙高くほうり投げました。
And then Maimie went and spoiled everything.	それからマイミーが姿をあらわし、全てを台無しにしていまいました。
She couldn't help it.	マイミーもそうせずにはいられなかったのです。
She was crazy with delight over her little friend's good fortune, so she took several steps forward and cried in an ecstasy,	マイミーは、自分の小さな友達の幸せに大喜びで、思わず足が前にでてうれしそうに叫んだのでした。
"Oh, Brownie, how splendid!"	「あぁブローニー、なんてすばらしいの！」
Everybody stood still,	全員がたちすくみました。
the music ceased, the lights went out, and all in the time you may take to say "Oh dear!"	音楽はやみ、明かりは消え、全てはあなたが「まあ」というぐらいの時間で起こりました。
An awful sense of her peril came upon Maimie, too late she remembered that she was a lost child in a place where no human must be between the locking and the opening of the gates,	マイミーはあぶないわと思いましたが、自分が閉門から開門までの時間に禁じられた場所にいる迷子だと思い出すには遅すぎました。
she heard the murmur of an angry multitude, she saw a thousand swords flashing for her blood,	怒りに満ちた観衆のぶつぶつ言う声がマイミーの耳に入り、数多くの剣がマイミーの血を求めてきらりと光りました。
and she uttered a cry of terror and fled.	マイミーは恐怖のあまり叫び声をあげ、逃げ出しました。
How she ran!	どれほど走ったことでしょう！
and all the time her eyes were starting out of her head.	走っている間マイミーの両目は、顔から飛び出しそうになったほどです。
Many times she lay down, and then quickly jumped up and ran on again.	何回も転んで、その度に飛び起きてまた走りつづけました。
Her little mind was so entangled in terrors that she no longer knew she was in the Gardens.	その小さな心は恐怖に絡め取られて、もはや公園にいることもわからないありさまでした。
The one thing she was sure of was that she must never cease to run,	ひとつだけ確かだったことは、走る足をとめてはいけないということでした。
and she thought she was still running long after she had dropped in the Figs and gone to sleep.	なので、マイミーはイチジクの森に転がり込んで、眠りに落ちたあともずっと走りつづけてるんだと思ったぐらいでした。
She thought the snowflakes falling on her face were her mother kissing her good-night.	自分の顔に降り積もる雪をお母さんがお休みのキスをしてくれてるんだと思ったのでした。
She thought her coverlet of snow was a warm blanket, and tried to pull it over her head.	積もった雪を暖かい毛布だと思って、頭までかぶろうとしたぐらいです。
And when she heard talking through her dreams she thought it was mother bringing father to the nursery door to look at her as she slept.	夢の中で話し声が聞こえましたが、それはマイミーが寝ている時に、お母さんがお父さんを子供部屋のドアのところまで寝顔を見せにつれてきたのだと思いました。
But it was the fairies.	しかしそれは妖精の声でした。
I am very glad to be able to say that they no longer desired to mischief her.	すでに妖精たちがマイミーに危害を及ぼす意思がないことをお話しできるのは、とてもうれしいことです。
When she rushed away they had rent the air with such cries as "Slay her!" "Turn her into something extremely unpleasant!" and so on, but the pursuit was delayed while they discussed who should march in front,	マイミーが走り去ったとき、「殺しちゃえ！」「なにかヘンなものに変えろ！」なんて叫び声が響き渡りましたが、誰が最初に追いかけるべきかなんてことを相談している間に追跡するのが遅れてしまいました。
and this gave Duchess Brownie time to cast herself before the Queen and demand a boon.	そうしていると公爵夫人のブローニーが女王の前にひれ伏して、贈り物をいただきたいと申し出ました。
Every bride has a right to a boon,	花嫁には、贈り物をもらう権利があるのです。
and what she asked for was Maimie's life.	ブローニーが望んだのは、マイミーの命でした。
"Anything except that,"	「それ以外のものを」
replied Queen Mab sternly,	マブ女王は厳しく答えました。
and all the fairies chanted	そして全ての妖精たちが口々に
"Anything except that."	「それ以外のものを」と気勢をあげました。
But when they learned how Maimie had befriended Brownie and so enabled her to attend the ball to their great glory and renown, they gave three huzzas for the little human,	でもどれほどマイミーがブローニーに力を貸したかが分かりましたし、マイミーを舞踏会に招待することが自分たちの栄誉と名声に結びつくことがわかりましたので、小さい人間の子のために妖精たちは万歳三唱しました。
and set off, like an army, to thank her,	そしてマイミーに感謝するため、軍隊みたいに出発しました。
the court advancing in front and the canopy keeping step with it.	宮殿のものたちが先頭で、傘のような明かりがそれに歩調を合わせます。
They traced Maimie easily by her footprints in the snow.	雪の上の足跡でマイミーの跡をつけるのは簡単なことでした。
But though they found her deep in snow in the Figs, it seemed impossible to thank Maimie,	イチジクの森の雪ふかくにマイミーを見つけましたが、マイミーに感謝の言葉は伝えられそうにありません。
for they could not waken her.	というのもマイミーを起こすことができないのです。
They went through the form of thanking her,	みんなは、マイミーに感謝をする式典を始めました。
that is to say, the new King stood on her body and read her a long address of welcome,	つまり新しい王様がマイミーの体の上に立ち、長い歓迎の挨拶を読みあげるのです。
but she heard not a word of it.	マイミーの耳には、その挨拶の一言さえも届きませんでしたが。
They also cleared the snow off her, but soon she was covered again,	マイミーの上に降り積もった雪もどかしたのですが、すぐにまた降り積もってしまいました。
and they saw she was in danger of perishing of cold.	そしてマイミーが寒さで危険なことが、妖精たちにはわかりました。
"Turn her into something that does not mind the cold,"	「寒さを気にしないものにかえてはどうだい」
seemed a good suggestion of the doctor's, but the only thing they could think of that does not mind cold was a snowflake.	医者の提案はよいものに思えましたが、彼らが寒さを気にしないものとして思いついたのは雪だけでした。
"And it might melt,"	「雪ではとけてしまうよ」
the Queen pointed out,	女王が注意を促しました。
so that idea had to be given up.	そこでなにかにかえてしまう案は、あきらめなければなりませんでした。
A magnificent attempt was made to carry her to a sheltered spot, but though there were so many of them she was too heavy.	屋根があるところまでマイミーを運ぼうというのもいい案でしたが、おおぜいの妖精がいたにもかかわらず、マイミーは重すぎました。
By this time all the ladies were crying in their handkerchiefs,	すでにこの時、女性たちはハンカチを目にあてていました。
but presently the Cupids had a lovely idea.	そこでキューピッドが素敵な案を思いつき、声を大きくしていいました。
"Build a house round her,"	「彼女の周りに家をたてればいいよ」
they cried, and at once everybody perceived that this was the thing to do;	すぐに全員が、それこそしなければならないことだということが分かりました。
in a moment a hundred fairy sawyers were among the branches, architects were running round Maimie, measuring her;	ただちに百人の木こりの妖精が木々の間に入っていき、建築家はマイミーの周りを走りまわり、測量をします。
a bricklayer's yard sprang up at her feet,	れんが職人もマイミーの足元で作業を始めました。
seventy-five masons rushed up with the foundation stone and the Queen laid it,	７５人の石工が家の基礎になる石の作業に急いでとりかかり、女王がそれを積み上げました。
overseers were appointed to keep the boys off,	そして子供たちを近づけないように、監督員が任命されました。
scaffoldings were run up, the whole place rang with hammers and chisels and turning lathes, and by this time the roof was on and the glaziers were putting in the windows.	足場が組み上げられ、かなづちやのみや旋盤の音があたり一面になり響き、こうして屋根が架けられ、ガラス工は窓にガラスをはめこんでいきました。
The house was exactly the size of Maimie and perfectly lovely.	家はちょうどマイミーのサイズにぴったりで、まったくかわいらしいものでした。
One of her arms was extended and this had bothered them for a second, but they built a verandah round it,	マイミーの片腕は伸びていたので、これがいっとき妖精たちを悩ませましたが、腕の周りにベランダをつくることにしました。
leading to the front door.	それが玄関につながるようにしたのです。
The windows were the size of a coloured picture-book and the door rather smaller,	窓は色がついた絵本の大きさで、ドアはそれよりいくぶん小さめです。
but it would be easy for her to get out by taking off the roof.	ただマイミーが外にでたければ、屋根を取り外した方が簡単でしょう。
The fairies, as is their custom, clapped their hands with delight over their cleverness,	妖精たちはいつもの癖で、自分たちの賢さにうれしくなって手をたたきました。
and they were all so madly in love with the little house that they could not bear to think they had finished it.	そしてその小さい家に夢中になって、もう作り終えたとは考えたくないほどでした。
So they gave it ever so many little extra touches,	そこで家にいつまでもたくさん小さな修正を加えました。
and even then they added more extra touches.	そして加えた後にも、もっとつけ加えたのです。
For instance, two of them ran up a ladder and put on a chimney.	たとえば、妖精のうち２人がはしごを登って煙突をつけて、
"Now we fear it is quite finished,"	「もうすっかり終わりだな」
they sighed.	とため息をつきました。
But no, for another two ran up the ladder, and tied some smoke to the chimney.	でも他の２人がはしごを登って、煙突にけむりを少しつけ加え、
"That certainly finishes it,"	「これでおしまい」
they cried reluctantly.	としぶしぶ言いました。
"Not at all,"	「いやいや」
cried a glow-worm,	あるホタルが大きな声でいいました。
"if she were to wake without seeing a night-light she might be frightened,	「もし目をさまして明かりがなかったら、こわがると思うよ。
so I shall be her night-light."	だから僕が彼女の明かりになるよ」
"Wait one moment,"	「ちょっとお待ち」
said a china merchant,	ある瀬戸物の商人が口をはさみました。
"and I shall make you a saucer."	「わたしが明かりのお皿を用立てよう」
Now alas, it was absolutely finished.	さぁ、もうこれで本当のおしまいでしょうか？
Oh, dear no!	いいえ、ちがいました！
"Gracious me,"	「しまった」
cried a brass manufacturer,	と一人のしんちゅうの金具屋がさけびました。
"there's no handle on the door,"	「ドアに取ってがないや」
and he put one on.	そしてすぐに、取ってをつけました。
