What the Moon Saw	絵のない絵本
"The public applaud vociferously directly they see him.	「観客はかれをみると大騒ぎで拍手喝さいでした。
Every one of his movements is comic, and is sure to throw the house into convulsions of laughter;	一挙手一投足がコミカルで、芝居小屋を笑いの渦へとひきこむのです。
and yet there is no art in it all	ただ実はそれは演じているものでなく、
- it is complete nature.	生来のものだったのですが。
When he was yet a little boy, playing about with other boys, he was already Punch.	道化役が少年のころ他の子供たちと遊んでいたときから、すでに彼は笑いもの（Punch）でした。
Nature had intended him for it, and had provided him with a hump on his back, and another on his breast;	生まれたときから自然とそうなっていて、背中と胸にそれぞれこぶがあったのです。
but his inward man, his mind, on the contrary, was richly furnished.	ただ道化役の内面、つまり心は、その正反対で豊かでした。
No one could surpass him in depth of feeling or in readiness of intellect.	情感が豊かなことと当意即妙な知性では彼にかなうものはいませんでした。
The theatre was his ideal world.	劇場は道化役にとっては理想的な世界で、
If he had possessed a slender well-shaped figure, he might have been the first tragedian on any stage;	もし彼が均整のとれた見目のいい姿をしていたら、どんな舞台でも比べものにならないぐらいの悲劇俳優となっていたかもしれません。
the heroic, the great, filled his soul;	勇敢で、偉大なところが道化役の魂には満ちあふれていました。
and yet he had to become a Pulcinella.	だから彼は道化役にならざるをえませんでした。
His very sorrow and melancholy did but increase the comic dryness of his sharply-cut features, and increased the laughter of the audience,	とても悲しそうで深い物思いにふけるところが、するどい容貌のコミカルなところを強調し、観客をますます笑わせるのです。
who showered plaudits on their favourite.	観客は道化役が大のお気に入りでした。
The lovely Columbine was indeed kind and cordial to him;	男役（Harlequin）の相手のかわいらしい女役（Columbine）はとくに道化にやさしく、心から道化を好きでした。
but she preferred to marry the Harlequin.	ただ彼女は男役と結婚することを選んでいました。
It would have been too ridiculous if beauty and ugliness had in reality paired together.	もしこの美女と野獣がじっさいにいっしょになったとしたら、どれほど物笑いの種になったことでしょう」
"When Pulcinella was in very bad spirits, she was the only one who could force a hearty burst of laughter, or even a smile from him:	「道化役が非常に気分が悪いときには、女役だけが唯一道化役のことを心から笑わせるか、少なくとも微笑ませることができました。
first she would be melancholy with him, then quieter, and at last quite cheerful and happy.	最初は女役も気分が落ち込みますが、だんだん落ち着き、最後には気分も晴れやかになり幸せになるのです。
'I know very well what is the matter with you,'	『あなたがどうなのか、私にはよくわかるわ』
she said;	彼女は言いました。
'yes,	『そう、そうよ。
you're in love!'	あなたは恋してるのよ』
And he ncould not help laughing.	そうすると道化役は笑わざるをえません。
'I and Love,'	『僕が恋だって』
he cried,	道化役はさけびます。
'that would have an absurd look.	『そうだとしたらこっけいな見ものだよ。
How the public would shout!'	観客たちはどれほどわめきたてることか！』
'Certainly, you are in love,'	『確かにあなたは恋におちているわ』
she continued;	彼女は続け、
and added with a comic pathos,	コミカルな調子でこう付け加えました
'and I am the person you are in love with.'	『そしてあなたの恋する相手は私なのね』
You see,	おわかりでしょう。
such a thing may be said when it is quite out of the question	こんなことは思ってもみないからこそ口にできるのです。
- and, indeed, Pulcinella burst out laughing, and gave a leap into the air, and his melancholy was forgotten.	そしてじっさい道化役は大笑いして宙にとびはね、憂鬱もふきとんでしまうというわけです」
"And yet she had only spoken the truth.	「ただ彼女の口にしたことは本当のことでした。
He did love her, love her adoringly,	道化役は彼女を愛していたのです。
as he loved what was great and lofty in art.	すばらしい高貴な芸術を愛するように崇拝していたといってもいいくらいです。
At her wedding he was the merriest among the guests,	女役の結婚式では道化役はまねかれた客のあいだで一番ほがらかでした。
but in the stillness of night he wept:	しかし一人ぼっちの夜になると道化役は泣きました。
if the public had seen his distorted face then, they would have applauded rapturously.	もし観客が道化役の涙にゆがんだ顔を見たなら、それみたことかと大騒ぎしたことでしょう」
"And a few days ago, Columbine died.	「それから数日後、女役は死にました。
On the day of the funeral, Harlequin was not required to show himself on the boards,	お葬式の日は男役も舞台には立たなくてよいといわれました。
for he was a disconsolate widower.	というのも悲嘆にくれた男やもめですから。
The director had to give a very merry piece, that the public might not too painfully miss the pretty Columbine and the agile Harlequin.	観客がかわいらしい女役と生き生きとした男役がいないのをひどくさみしく思わないように、演出家は一段と楽しい舞台をつくらなければなりません。
Therefore Pulcinella had to be more boisterous and extravagant than ever;	それは道化役がいつもよりもっとばか騒ぎして、やりすぎなほどやらなくてはいけないということです。
and he danced and capered, with despair in his heart;	道化役は心に悲しみをひめたまま、踊りはね回りました。
and the audience yelled, and shouted	そして観客は大声でわめきました
'bravo, bravissimo!'	『ブラボー、いいぞ！』
Pulcinella was actually called before the curtain.	道化役はじっさい幕前に呼び出され、
He was pronounced inimitable.	誰とも比べられないくらいすごいと評されました」
"But last night the hideous little fellow went out of the town, quite alone, to the deserted churchyard.	「ただ昨晩そのいまわしき小男は一人きりで町をでて、寂しい墓地へと向かいました。
The wreath of flowers on Columbine's grave was already faded, and he sat down there.	女役の墓の花輪もすでにかれ、道化役はそこに腰をおろしました。
It was a study for a painter.	そのようすは絵描きにはいい題材になったことでしょう。
As he sat with his chin on his hands, his eyes turned up towards me, he looked like a grotesque monument	あごを両手でささえ、目は私の方をみていましたが、道化役はグロテスクな銅像のようにみえました。
- a Punch on a grave - peculiar and whimsical!	墓場の笑いもの、奇妙で奇抜ですらある！
If the people could have seen their favourite, they would have cried as usual,	もし観客がこのお気に入りの道化をみたなら、いつものように叫んだことでしょう
'Bravo, Pulcinella;	「ブラボー、道化役。
bravo, bravissimo!' "	ブラボー、いいぞ！」
SIXTEENTH EVENING	第十六夜
Hear what the Moon told me.	これもお月さまがわたしに語ったお話です。
"I have seen the cadet who had just been made an officer put on his handsome uniform for the first time;	「私は士官になりたての若者が、はじめてきりっとした制服を着用したところをみたことがあります。
I have seen the young bride in her wedding dress, and the princess girl-wife happy in her gorgeous robes;	ウェディングドレスに身をつつんだ若い花嫁をみたこともありますし、王女のようなその女性は豪華絢爛な服をきてとても幸せそうでした。
but never have I seen a felicity equal to that of a little girl of four years old, whom I watched this evening.	ただ私は今晩に目にした四才の少女ほどの幸せは見たことがありません。
She had received a new blue dress, and a new pink hat, the splendid attire had just been put on, and all were calling for a candle,	少女は青い新しいドレスとピンクの新しい帽子を買ってもらって、ちょうどそれを身につけた姿はすばらしく、だれもがろうそくを取りに走りました。
for my rays, shining in through the windows of the room, were not bright enough for the occasion,	というのも私のひかりが部屋の窓から照らすだけでは十分明るいとはいえなかったからです。
and further illumination was required.	もっと灯りが必要だったわけです。
There stood the little maid, stiff and upright as a doll, her arms stretched painfully straight out away from the dress, and her fingers apart;	少女は人形のようにまっすぐ立ち、両腕はドレスから苦しそうなほどまっすぐ出て、指はせいいっぱい開かれていました。
and oh, what happiness beamed from her eyes, and from her whole countenance!	そしてなんてことでしょう、彼女の目から、全身から、幸福があふれだしていたのです！
'To-morrow you shall go out in your new clothes,'	『明日おまえはこの新しい服でおでかけするんだよ』
said her mother;	お母さんがいうと、
and the little one looked up at her hat, and down at her frock, and smiled brightly.	少女は帽子を見上げ、服を見下ろすとはれやかな笑顔をみせました。
'Mother,'	『おかあさん』
she cried,	少女はこうふんして言いました
'what will the little dogs think, when they see me in these splendid new things?'"	『こんなすてきな新しい服をきたわたしを見て、子犬はどうおもうかしら？』」
SEVENTEENTH EVENING	第十七夜
"I have spoken to you of Pompeii,"	「ポンペイのお話をしたことがありましたね」
said the Moon;	お月さまはそう言います。
"that corpse of a city, exposed in the view of living towns:	「あれは、たくさんの人が生活しているさまざまな都市の風景の中にさらされた都市の死骸でした。
I know another sight still more strange,	でも私はもっと奇妙な風景を見たことがあります。
and this is not the corpse, but the spectre of a city.	それは死骸ではありませんが、都市の幽霊です。
Whenever the jetty fountains splash into the marble basins, they seem to me to be telling the story of the floating city.	噴きだした噴水が大理石の噴水台にふりそそぐときはいつも、私は宙に漂う都市の話をしてもらっているように思えたものです。
Yes, the spouting water may tell of her, the waves of the sea may sing of her fame!	そう、噴き出す水がその都市の話をしていて、打ち寄せる波はその都市の名声を歌っているのでしょう。
On the surface of the ocean a mist often rests, and that is her widow's veil.	海の表面にはよく霧がでますが、それこそが都市の未亡人のベールなのです。
The bridegroom of the sea is dead, his palace and his city are his mausoleum!	海の花婿は死んでいて、花婿の宮殿と都市は霊廟となっています。
Dost thou know this city?	あなたはこの都市を知っていますか？
She has never heard the rolling of wheels or the hoof-tread of horses in her streets,	その都市の通りでは馬車の車輪や馬のひずめの音を耳にすることは決してありません。
through which the fish swim, while the black gondola glides spectrally over the green water.	その都市の通りには魚が泳いでいて、黒いゴンドラが幽霊のように緑色の水面をすべっていきます。
I will show you the place,"	あなたに宮殿をお見せしましょう」
continued the Moon,	お月さまは続けました。
"the largest square in it, and you will fancy yourself transported into the city of a fairy tale.	「都市の中でもっとも広い場所で、まるでおとぎの町にきたように思うことでしょう。
The grass grows rank among the broad flagstones,	敷石がしきつめられた広い道には草がはびこっています。
and in the morning twilight thousands of tame pigeons flutter around the solitary lofty tower.	朝の薄明かりの中では、人に慣れている何千羽の鳩が一つぽつんと建っている塔の周りを羽ばたいています。
On three sides you find yourself surrounded by cloistered walks.	あなたのいるところは、三方が歩道でとりかこまれて、
In these the silent Turk sits smoking his long pipe,	歩道では物静かなトルコ人が長いパイプをふかしていました。
the handsome Greek leans against the pillar and gazes at the upraised trophies and lofty masts, memorials of power that is gone.	整った顔のギリシャ人が柱にもたれかかり、過ぎ去った権力の記念のかかげられたトロフィーと高いマストをみつめています。
The flags hang down like mourning scarves.	旗は喪にふくしているスカーフのようにたれさがっていました。
A girl rests there:	そこでは少女が一人休んでいました。
she has put down her heavy pails filled with water, the yoke with which she has carried them rests on one of her shoulders, and she leans against the mast of victory.	水でいっぱいになった重いバケツを運んでいましたが、休んでいるときもてんびん棒は肩に乗せたままで、少女は勝利のマストにもたれかかっていました。
That is not a fairy palace you see before you yonder, but a church:	さらに向こうのあなたの前方にあるのは、おとぎ話の宮殿ではなく教会です。
the gilded domes and shining orbs flash back my beams;	金ぱくの丸い屋根ときらめく球が私の光でかがやきました。
the glorious bronze horses up yonder have made journeys, like the bronze horse in the fairy tale:	その上の方にある栄誉ある青銅の馬は、まるでおとぎ話の青銅の馬のようにいろいろなところを旅してきました。
they have come hither, and gone hence, and have returned again.	あちらこちらを行き来し、ふたたびここへと戻ってきたのです。
Do you notice the variegated splendour of the walls and windows?	壁や窓の色とりどりの壮麗さにお気づきになりましたか？
It looks as if Genius had followed the caprices of a child, in the adornment of these singular temples.	このすばらしい寺院の装飾はまるで天才がきまぐれな子供の言うがままにしたみたいです。
Do you see the winged lion on the pillar?	柱の上の翼のついたライオンが目に入るでしょうか？
The gold glitters still, but his wings are tied	まだ金色にかがやいていますが、その翼はくくられています。
- the lion is dead, for the king of the sea is dead;	ライオンは死んでいます、そう海の王が死んでいるのですから。
the great halls stand desolate, and where gorgeous paintings hung of yore, the naked wall now peers through.	大きなホールには人気がなく、昔ははなやかな絵画がかざられていましたが、今はなにもかかっていない壁がじかにみえます。
The lazzarone sleeps under the arcade,	乞食がアーケードの下でねています。
whose pavement in old times was to be trodden only by the feet of high nobility.	昔にはこの道は、高貴な身分のものしか足を踏み入れることはできなかったものですが。
From the deep wells, and perhaps from the prisons by the Bridge of Sighs, rise the accents of woe,	深い井戸から、そしてたぶん『ため息の橋』のそばの牢獄から、哀しみの声が聞こえてきます。
as at the time when the tambourine was heard in the gay gondolas, and the golden ring was cast from the Bucentaur to Adria, the queen of the seas.	にぎやかなゴンドラでタンバリンの音が聞こえ、金の指輪がベニスの総督が乗っている船から海の女王アドリアへと投げ込まれたときのことです。
Adria! shroud thyself in mists;	アドリアよ、その身を霧でつつみたまえ。
let the veil of thy widowhood shroud thy form, and clothe in the weeds of woe the mausoleum of thy bridegroom	未亡人のベールでもってその体をつつみたまえ、そして哀しみの喪服で花婿の霊廟をつつみなさい。
- the marble, spectral Venice."	そう、大理石でできた幽霊の都市ベニスを」
EIGHTEENTH EVENING	第十八夜
"I looked down upon a great theatre,"	「私は大劇場を見下ろしていました」
said the Moon.	お月さまは話しました。
"The house was crowded, for a new actor was to make his first appearance that night.	「劇場は大混雑で、というのも新人俳優が今晩初舞台をふむからでした。
My rays glided over a little window in the wall, and I saw a painted face with the forehead pressed against the panes.	私の光が壁の小さな窓から射し込み、その窓に白粉をぬった額がおしつけられているのが目にとまりました。
It was the hero of the evening.	それが今晩の注目の俳優でした。
The knighly beard curled crisply about the chin;	騎士らしいあごひげが縮れてカールされていましたが、
but there were tears in the man's eyes,	目には涙がいっぱいです。
for he had been hissed off,	というのも、ブーイングをうけて舞台をおりてきたからです。
and indeed with reason.	まぁ、それももっともなのですが。
The poor Incapable!	才能のないかわいそうな男。
But Incapables cannot be admitted into the empire of Art.	ただ才能のない男は、芸術の世界では認められません。
He had deep feeling, and loved his art enthusiastically, but the art loved not him.	その男は深い感受性をもち、芸術を心のそこから愛していましたが、芸術はかれには微笑んでくれなかったのです。
The prompter's bell sounded;	舞台のベルがなりひびき、
'the hero enters with a determined air,' so ran the stage direction in his part,	『主役がさっそうと登場』とト書きにはかかれていました。
and he had to appear before an audience who turned him into ridicule.	男はあざけりを受けた観衆の前へと登場しなければなりません。
When the piece was over, I saw a form wrapped in a mantle, creeping down the steps:	舞台が終わると、私はマントに身をつつみ、階段をとぼとぼと降りる男の姿を目にしました。
it was the vanquished knight of the evening.	それが今晩、敗北した騎士の姿でした。
The scene-shifters whispered to one another,	大道具たちはお互いにこそこそ噂話をしています。
and I followed the poor fellow home to his room.	私はかわいそうな男の家まで跡をつけていきました。
To hang one's self is to die a mean death, and poison is not always at hand, I know;	首をつるのはみすぼらしい死に方だ、ただ毒薬は手に入らない。
but he thought of both.	私はその二つのことが男の頭にうずまいていたのを知っています。
I saw how he looked at his pale face in the glass, with eyes half closed, to see if he should look well as a corpse.	窓に男の青白い顔が映され、両目は半ば閉じられていましたが、死んだときの見た目を気にしているのを私は目にしました。
A man may be very unhappy, and yet exceedingly affected.	人は不幸のどん底にあっても、感情的なものです。
He thought of death, of suicide;	男は死を、自殺のことを考えていました。
I believe he pitied himself, for he wept bitterly,	私には男がひどく涙を流していたので、自己憐憫に陥っているのがわかりました。
and when a man has had his cry out he doesn't kill himself.	人が涙をだして泣くときには、自殺はしないものです」
"Since that time a year had rolled by.	「それから一年がすぎ、
Again a play was to be acted,	ふたたび演劇が上演されていました。
but in a little theatre, and by a poor strolling company.	ただ今回は小劇場で、旅回りの一座です。
Again I saw the well-remembered face, with the painted cheeks and the crisp beard.	ふたたび私は、ほお紅をさしちぢれたあごひげのよく見知った顔を目にしました。
He looked up at me and smiled;	男は私をみあげ、微笑みました。
and yet he had been hissed off only a minute before	その一分前には観客にブーイングをうけて舞台を降りてきたのにです。
- hissed off from a wretched theatre, by a miserable audience.	それも、うらぶれた劇場で、ひどいお客からブーイングを受けたのに。
And tonight a shabby hearse rolled out of the town-gate.	今晩、古い霊柩車が一台、町の門から外へとでていきました。
It was a suicide	自殺者です、
- our painted, despised hero.	そうあの白粉をつけた主役の男でした。
The driver of the hearse was the only person present, for no one followed except my beams.	いるのは霊柩車の運転手だけで、私の光を除いてはだれも付き添うものはありませんでした。
In a corner of the churchyard the corpse of the suicide was shovelled into the earth,	教会の墓地の片隅に自殺者の死骸はうめられました。
and nettles will soon be growing rankly over his grave, and the sexton will throw thorns and weeds from the other graves upon it."	すぐにイラクサが墓をみえなくするほど覆いかぶさり、墓地の掃除をする男が、他の墓に茂っている下草や雑草をその墓のところに捨てることでしょう」
NINETEENTH EVENING	第十九夜
"I come from Rome,"	「私はローマから来ました」.
said the Moon.	お月さまは語りをはじめました。
"In the midst of the city, upon one of the seven hills, lie the ruins of the imperial palace.	「街の中央の七つの丘の一つに、宮殿の廃墟がありました。
The wild fig tree grows in the clefts of the wall, and covers the nakedness thereof with its broad grey-green leaves;	壁の裂け目からはいちじくの木が野生しており、その大きな灰色がかった緑の葉がむきだしの壁をおおっていました。
trampling among heaps of rubbish, the ass treads upon green laurels, and rejoices over the rank thistles.	がれきをかき分け歩いていくと、ロバが緑の月桂樹をふみしめ、はびこっているアザミに大喜びしていました。
From this spot, whence the eagles of Rome once flew abroad, whence they 'came, saw, and conquered,' our door leads into a little mean house, built of clay between two pillars;	この場所からかつてはローマのワシが飛び立ち、『来た、見た、勝った』と伝えたものですが、いま私たちの行くところには質素で小さな家、二つの柱にはさまれた粘土でできた家があるだけです。
the wild vine hangs like a mourning garland over the crooked window.	その家のかしいだ窓には、お葬式の花輪のようにつたが生い茂っていました。
An old woman and her little granddaughter live there:	そこには老婦人と孫娘が住み、
they rule now in the palace of the Caesars, and show to strangers the remains of its past glories.	今ではシーザーの宮殿を治め、見物人に過去の栄光の遺跡をみせているわけです。
Of the splendid throne-hall only a naked wall yet stands,	華麗な王座の間は、今はそっけない壁が立っているだけです。
and a black cypress throws its dark shadow on the spot where the throne once stood.	一本の黒いイトスギがかつては王座があったところにその影をなげかけています。
The dust lies several feet deep on the broken pavement;	砂ぼこりが何フィートも壊れた歩道の上につもり、
and the little maiden, now the daughter of the imperial palace, often sits there on her stool when the evening bells ring.	宮殿の娘である少女が夕べの鐘がなりひびくとき、よくそこに腰かけています。
The keyhole of the door close by she calls her turret window;	近くにあるドアの鍵穴を少女は塔の窓とよんでいます。
through this she can see half Rome, as far as the mighty cupola of St. Peter's.	そこからはローマ半景が一望でき、聖ペテロ教会のすばらしい丸屋根もみることができます」
"On this evening, as usual, stillness reigned around;	「今晩もいつものように、静寂があたりを支配していました。
and in the full beam of my light came the little granddaughter.	私の光を全身にうけ、少女があらわれました。
On her head she carried an earthen pitcher of antique shape filled with water.	頭の上には、水がたっぷり入った古い型の陶器の入れ物を運んでいます。
Her feet were bare, her short frock and her white sleeves were torn.	はだしで、上着のすそもみじかく袖もほつれていました。
I kissed her pretty round shoulders, her dark eyes, and black shining hair.	少女の小さな丸い肩、黒い瞳、黒くつやのある髪に私は口づけしました。
She mounted the stairs; they were steep, having been made up of rough blocks of broken marble and the capital of a fallen pillar.	少女は、くずれた大理石のかけらや倒れた柱の頭でできた急な階段をのぼっていきました。
The coloured lizards slipped away, startled, from before her feet, but she was not frightened at them.	きれいな色のトカゲがびっくりして、少女の足元を走っていきましたが、少女はまったく驚きません。
Already she lifted her hand to pull the door-bell	すでに片手をあげて、ドアの呼び鈴を押すところでした。
- a hare's foot fastened to a string formed the bell-handle of the imperial palace.	宮殿の呼び鈴のひもにはうさぎの足がむすびつけられています。
She paused for a moment - of what might she be thinking?	少女はたちどまりました、何を思っていたのでしょうか？
Perhaps of the beautiful Christ-child, dressed in gold and silver, which was down below in the chapel,	たぶん教会のすぐ下にある美しい神の子供たちが、金銀に着飾っているのを思っていたのでしょう。
where the silver candlesticks gleamed so bright, and where her little friends sung the hymns in which she also could join?	教会の銀の燭台が明るくかがやき、そこでは少女の友達が少女も歌える賛美歌を歌っていました。
I know not.	私には少女が何を思っていたのかはわかりません。
Presently she moved again	さて、少女はふたたび歩き出し、
- she stumbled:	つまづきました。
the earthen vessel fell from her head, and broke on the marble steps.	陶器の容器が頭からすべりおち、大理石の階段でわれました。
She burst into tears.	少女は泣き出しました。
The beautiful daughter of the imperial palace wept over the worthless broken pitcher;	その美しい宮殿の少女は、とるにたらない壊れた容器のことで涙をながしています。
with her bare feet she stood there weeping;	足ははだしで、泣きながらたちすくんで、
and dared not pull the string,	呼び鈴のひもをひくこともしませんでした。
the bell-rope of the imperial palace!"	宮殿の呼び鈴のひもを」
TWENTIETH EVENING	第二十夜
It was more than a fortnight since the Moon had shone.	お月さまが最後に姿をみせてから二週間以上もたちましたが、
Now he stood once more,	いまお月さまはふたたび姿をあらわしています。
round and bright, above the clouds, moving slowly onward.	まんまるで光り輝き、雲の上をゆっくりと動いています。
Hear what the Moon told me.	お月さまがわたしに語りかけることに耳を傾けましょう。
"From a town in Fezzan I followed a caravan.	「フェザンの街から私は隊商のあとをついていきました。
On the margin of the sandy desert, in a salt plain, that shone like a frozen lake, and was only covered in spots with light drifting sand, a halt was made.	砂漠に入るところの塩の平原で、そこはまるで凍りついた湖のように輝いていて、わずかばかりの流砂が表面をおおっていましたが、隊列は一旦停止しました。
The eldest of the company - the water gourd hung at his girdle, and on his head was a little bag of unleavened bread - drew a square in the sand with his staff, and wrote in it a few words out of the Koran,	ベルトに水筒をぶらさげ、発酵させていないパンをいれた小さな袋を頭にのせた一団のリーダーが、棒で砂の上に四角をかき、コーランからの数言をその中にかきいれました。
and then the whole caravan passed over the consecrated spot.	それから隊商の一行が、その清められた場所をとおりすぎていったのです。
A young merchant, a child of the East, as I could tell by his eye and his figure, rode pensively forward on his white snorting steed.	目と姿かたちで東部の出身だとわかる一人の若い商人が、鼻をならしている白い馬にのって、物思いにふけりながら歩を進めていました。
Was he thinking, perchance, of his fair young wife?	たぶん若くて色白の妻のことでも考えているのでしょう。
It was only two days ago that the camel, adorned with furs and with costly shawls, had carried her, the beauteous bride, round the walls of the city, while drums and cymbals had sounded, the women sang, and festive shots, of which the bridegroom fired the greatest number, resounded round the camel;	なにせ二日前のことですから、そう毛皮と豪奢なショールをまとったらくだが、美しい花嫁を運んで街の城壁のまわりをめぐり、そのあいだ太鼓やシンバルがなりひびき、女性たちは歌い、祝砲がなりひびき、花婿がなんといっても一番多くらくだの周りで祝砲をあげたのは。
and now he was journeying with the caravan across the desert.	そして今、花婿は隊商といっしょに砂漠を旅しています」
"For many nights I followed the train.	「私は幾晩も隊列のあとをついていきました。
I saw them rest by the wellside among the stunted palms;	隊列は発育がとまった椰子の木々にかこまれた水源で一休みしていました。
they thrust the knife into the breast of the camel that had fallen, and roasted its flesh by the fire.	一行は倒れたらくだの胸にナイフをつきさし、肉を火であぶりました。
My beams cooled the glowing sands, and showed them the black rocks, dead islands in the immense ocean of sand.	私の光はもえたつような砂を冷やし、広大な砂漠の海の孤島である黒い岩々をてらしだしました。
No hostile tribes met them in their pathless route, no storms arose, no columns of sand whirled destruction over the journeying caravan.	一行は道なき道をゆくときでも敵の部族に遭うこともありませんでしたし、砂嵐にも遭わなければ、隊商を死に至らしめる砂の竜巻にも出くわしませんでした。
At home the beautiful wife prayed for her husband and her father.	故郷では、美しい妻が夫と父親のために祈りをささげています
'Are they dead?'	『死んでしまったのかしら？』
she asked of my golden crescent;	妻は三日月の私にたずねました。
'Are they dead?'	『死んでしまったのかしら？』
she cried to my full disc.	満月の私にそうなげきました。
Now the desert lies behind them.	一行は砂漠をとおりすぎ、
This evening they sit beneath the lofty palm trees,	今晩は背の高い椰子の木々の下で休んでいます。
where the crane flutters round them with its long wings, and the pelican watches them from the branches of the mimosa.	つるが長い羽をはばたかせ、その周りを飛んでいますし、ペリカンがミモザの木の枝にとまり隊商をみています。
The luxuriant herbage is trampled down, crushed by the feet of elephants.	うっそうとしげった草木が象の足でふみつぶされ、倒れています。
A troop of negroes are returning from a market in the interior of the land:	黒人の一団が内陸にある市場からもどってきました。
the women, with copper buttons in their black hair, and decked out in clothes dyed with indigo, drive the heavily-laden oxen,	女性たちはその黒い髪に銅のボタンをつけ、青藍にそめた服でかざりたて、荷物をたくさん積んだ雄牛たちを追っています。
on whose backs slumber the naked black children.	そして雄牛たちの背では、はだかの黒い子供たちがまどろんでいます。
A negro leads a young lion which he has brought, by a string.	一人の黒人が自分で買った子供のライオンをつれています。
They approach the caravan;	一団は隊商に近づいていきます。
the young merchant sits pensive and motionless, thinking of his beautiful wife, dreaming, in the land of the blacks, of his white lily beyond the desert.	若い商人は物思いにふけり微動だにせず、黒人の地で美しい妻のことを考え、砂漠の白いユリを夢みて腰をおろしていました。
He raises his head, and - "	商人が頭をあげると、」
But at this moment a cloud passed before the Moon, and then another.	ちょうどそのとき雲がお月さまをさえぎり、
I heard nothing more from him this evening.	わたしはその晩はそれ以上、お月さまから話をきくことはできませんでした。
TWENTY-FIRST EVENING	第二十一夜
"I saw a little girl weeping,"	「私は、幼い女の子が泣いているのを目にしました」
said the Moon;	お月さまは話をはじめました
"she was weeping over the depravity of the world.	「女の子は世の中の悪を嘆いていたのです。
She had received a most beautiful doll as a present.	贈り物として美しいお人形をもらったのですが、
Oh, that was a glorious doll, so fair and delicate!	なんとすばらしくきれいで繊細なお人形さんだったことでしょう。
She did not seem created for the sorrows of this world.	世の中の悲哀を背負うために生まれてきたようには思えません。
But the brothers of the little girl, those great naughty boys, had set the doll high up in the branches of a tree and had run away.	でも女の子の兄弟がとんでもないいたずら坊やたちで、お人形を高い木の枝のところに置いて逃げてしまったのです」
"The little girl could not reach up to the doll, and could not help her down,	「女の子はお人形のところまでは手がとどきませんし、助けて下ろしてあげることも無理です。
and that is why she was crying.	それが女の子が泣いている理由でした。
The doll must certainly have been crying too, for she stretched out her arms among the green branches, and looked quite mournful.	お人形も泣いているに違いありません、というのも青々とした枝の合間から両手を伸ばしていたからで、とても悲しそうにみえました。
Yes, these are the troubles of life of which the little girl had often heard tell.	そう、これが女の子がよく耳にする人生の災難ってものでしょう。
Alas, poor doll!	あぁ、かわいそうなお人形。
it began to grow dark already;	あたりはすでにだんだん暗くなってきました、
and suppose night were to come on completely!	すぐにでも夜になってしまうことでしょう。
Was she to be left sitting on the bough all night long?	お人形は枝の上で一晩中すごさなきゃならないのでしょうか？
No, the little maid could not make up her mind to that.	だめ、幼い女の子にはそんなことは許せません
'I'll stay with you,'	『わたしもここにいる』
she said, although she felt anything but happy in her mind.	そうはいってみたものの、みるみる不安な気持ちがわきおこるのを感じないわけにはいきませんでした。
She could almost fancy she distinctly saw little gnomes, with their high-crowned hats, sitting in the bushes;	大きな冠の形をした帽子をかぶった小さな妖精が、しげみに隠れているのがはっきり見えたようにも思えます。
and further back in the long walk, tall spectres appeared to be dancing.	おまけに、道のむこうではひょろひょろとしたお化けがゆらゆらしているようにも。
They came nearer and nearer, and stretched out their hands towards the tree on which the doll sat;	だんだん近づいてきて、両手をお人形の座っている木の方にのばしたりするのです。
they laughed scornfully, and pointed at her with their fingers.	あざけりわらって、お人形の方を指さしたりしています。
Oh, how frightened the little maid was!	えぇ、なんて女の子は怖かったことでしょう
'But if one has not done anything wrong,'	『でもなんにも悪いことしてないもの』
she thought,	女の子は思いました。
'nothing evil can harm one.	『だからどんな悪いやつだってなにもしないわ。
I wonder if I have done anything wrong?'	わたし、なにか悪いことしてなかったわよねぇ』
And she considered.	そうして考えてみると、
'Oh, yes!	『あら、
I laughed at the poor duck with the red rag on her leg;	わたしかわいそうなあひるが足に赤いぼろきれをつけているのを笑っちゃったわ。
she limped along so funnily,	あんまりおかしく足をひきずっていたんですもの。
I could not help laughing;	思わずわらっちゃったの。
but it's a sin to laugh at animals.'	でも動物を笑うなんていけないことだわ』
And she looked up at the doll.	お人形を見上げると、
'Did you laugh at the duck too?'	こうたずねました
she asked;	『あなたもあのあひるを笑ったでしょう？』
and it seemed as if the doll shook her head."	えぇ、お人形もうなずいたようでした」
TWENTY-SECOND EVENING	第二十二夜
"I looked down upon Tyrol,"	「私はチロルを見下ろしていました」
said the Moon,	これがお月さまが言ったことです
