The Horse Dealer's Daughter	馬商の娘馬商の娘
There was complete silence.	完璧な静けさがあたりに降りていた。
He too sat there motionless and silent on the hearthrug.	彼も炉床に、身じろぎせず、黙って坐っていた。
The strange pain of his heart that was broken seemed to consume him.	裂け崩れた心の、不思議な痛みが、彼を喰い尽くしたようだった。
That he should love her?	──まさか、自分が彼女を愛することになるとは！
That this was love!	これが──これが愛だとは！
That he should be ripped open in this way!	自分がこんな風に胸を抉られようとは！
--Him, a doctor!	只の医師に過ぎない彼が！
--How they would all jeer if they knew!	──このことを知ったら、彼の知人たちはみな彼を嘲ることだろう。
--It was agony to him to think they might know.	それを思うと、彼は暗澹とした。
In the curious naked pain of the thought he looked again to her.	思いを馳せるうちに、奇妙に生々しい苦痛を覚えて、彼はふたたび彼女を見つめた。
She was sitting there drooped into a muse.	彼女はしょんぼりと、物思いにふけっているようだった。
He saw a tear fall, and his heart flared hot.	涙が彼女の頬を伝うのを見ると、彼の心は熱く揺らめいた。
He saw for the first time that one of her shoulders was quite uncovered, one arm bare, he could see one of her small breasts;	彼は、毛布がずれて下がって、彼女の片方の肩と、片腕の肌が露わになっていることにはじめて気づき、彼女の片方の小さな胸を認めた
dimly, because it had become almost dark in the room.	──ほとんど暗闇につつまれた部屋のなかで、ぼんやりとではあったが。
'Why are you crying?'	「何故泣いているんです？」
he asked, in an altered voice.	彼は声音を変えて訊ねた。
She looked up at him, and behind her tears the consciousness of her situation for the first time brought a dark look of shame to her eyes.	顔を上げた彼女の眼は、はじめて自分が泣いていることに気づいたように、涙を透かして暗い羞恥の光りを帯びた。
'I'm not crying, really,'	「泣いているわけじゃないんです、ほんとうに、」
she said, watching him half frightened.	半ば怯えながら彼を見て言った。
He reached his hand, and softly closed it on her bare arm.	彼は手を伸ばし、彼女の腕の肌をそっと握った。
'I love you!	「愛しています、
I love you!'	あなたを愛しています──！」
he said in a soft, low vibrating voice, unlike himself.	と、彼は、密やかな、低い震え声、彼本来のものでないような声で言った。
She shrank, and dropped her head.	彼女は身を縮こませ、項垂れた。
The soft, penetrating grip of his hand on her arm distressed her.	親密に、沁み入るような感触で彼が彼女の腕を握っているのは、彼女を困らせた。
She looked up at him.	彼女は顔を上げて、彼を見つめた。
'I want to go,'	「放してください、」
she said.	と彼女は言った。
'I want to go and get you some dry things.'	「上へ行って乾いた服を取って来ますから。」
'Why?'	「何故？」
he said.	彼は言った。
'I'm all right.'	「僕は平気ですよ。」
'But I want to go,'	「でも、そうしたいんです、」
she said.	と彼女は言った。
'And I want you to change your things.'	「あなたにも服を着替えてほしいんです。」
He released her arm, and she wrapped herself in the blanket, looking at him rather frightened.	彼が手を放すと、彼女は毛布でしっかりと身をつつみ、怖がるような眼で彼を見た。
And still she did not rise.	そしてまだ立ち上がらずにいた。
'Kiss me,'	「キスして。」
she said wistfully.	彼女は思い沈んだ声で言った。
He kissed her, but briefly, half in anger.	彼は彼女に唇を触れたが、怒っているかのように、すぐに離した。
Then, after a second, she rose nervously, all mixed up in the blanket.	それから間をおかず、毛布が全身を隠すよう気を遣いながら、彼女はそろそろと立ち上がった。
He watched her in her confusion, as she tried to extricate herself and wrap herself up so that she could walk.	歩きやすいように、彼女が毛布をゆるめてから身体に巻き直そうとして、まごつくのを、彼はじっと見据えていた。
He watched her relentlessly, as she knew.	彼のその仮借ない眼差しを、彼女も気づいていた。
And as she went, the blanket trailing, and as he saw a glimpse of her feet and her white leg, he tried to remember her as she was when he had wrapped her in the blanket.	そして、毛布を引きずって歩き出した彼女の、束の間ひらめいた白い脚とふくらはぎを眼にして、彼は、自分が先ほど毛布にくるんでやった折の彼女の姿を、想い出そうとした。
But then he didn't want to remember,	だが、すぐにそれをやめた
because she had been nothing to him then, and his nature revolted from remembering her as she was when she was nothing to him.	──というのも、あの時はまだ彼にとって何者でもなかった彼女、その彼女の姿を、記憶に呼びさますのは、今はもう強く抵抗をおぼえることになっていたから。
A tumbling, muffled noise from within the dark house startled him.	籠った、忙しげな音が暗い家の中に響いて、彼をはっとさせた。
Then he heard her voice:	つづいて、彼女の声が聞えた
--'There are clothes.'	──「これを着てください。」
He rose and went to the foot of the stairs, and gathered up the garments she had thrown down.	彼は起き上がり、階段の上り口まで行って、彼女が投げて落とした衣服を拾い集めた。
Then he came back to the fire, to rub himself down and dress.	暖炉の傍に戻ると、体を拭いて、着替えた。
He grinned at his own appearance when he had finished.	身支度を済ますと、自分の新しい装いを見て、少し苦笑した。
The fire was sinking, so he put on coal.	消えかかっている炎に、彼は石炭をくべた。
The house was now quite dark, save for the light of a street-lamp that shone in faintly from beyond the holly trees.	ヒイラギの木の向うにほのめく街灯の光りがわずかに射すだけで、家の中は、もうほとんど闇に沈んでいた。
He lit the gas with matches he found on the mantel-piece.	マントルピースの上に見つけたマッチで、彼はランプを点した。
Then he emptied the pockets of his own clothes, and threw all his wet things in a heap into the scullery.	それから自分の服のポケットの中身を取り出し、濡れた服を山にして、洗い場に投げ込んだ。
After which he gathered up her sodden clothes, gently, and put them in a separate heap on the copper-top in the scullery.	次に、彼女のずぶ濡れの衣服を、丁寧に拾い集め、洗い場の銅の台板に、別の山にしてのせた。
It was six o'clock on the clock.	時計は六時を指していた。
His own watch had stopped.	彼自身の時計は壊れて止まっていた。
He ought to go back to the surgery.	もう病院へ戻らなければならない。
He waited, and still she did not come down.	彼は待ちつづけたが、彼女は下りて来なかった。
So he went to the foot of the stairs and called:	彼は階段の上り口まで行って、呼びかけた。
'I shall have to go.'	「僕はもう行かなくちゃならない。」
Almost immediately he heard her coming down.	すると、すぐさま彼女が階段を下りてくる音が聞えた。
She had on her best dress of black voile, and her hair was tidy, but still damp.	彼女は最も見目良い、黒の薄地のドレスを着て、髪はきれいに整えていたが、まだ少し湿っていた。
She looked at him--and in spite of herself, smiled.	彼女は彼を見て──知らず識らず、微笑した。
'I don't like you in those clothes,'	「あなたに着せる服を間違えたわ、」
she said.	と彼女は言った。
'Do I look a sight?'	「変に見えますか？」
he answered.	と彼は応えた。
They were shy of one another.	彼らは互いにはにかんでいた。
'I'll make you some tea,'	「お茶を淹れます、」
she said.	と彼女は言った。
'No, I must go.'	「いや、もう行かなくちゃ。」
'Must you?'	「どうしても？」
And she looked at him again with the wide, strained, doubtful eyes.	彼女は、ふたたび、大きな、張りつめた、疑いの眼で彼を見つめた。
And again, from the pain of his breast, he knew how he loved her.	そしてまたも、彼の胸裡に痛みが疼き、彼は、自分がどれほど彼女を愛しているかを知った。
He went and bent to kiss her, gently, passionately, with his heart's painful kiss.	彼は近寄り、身をかがめ、彼女に、優しく、熱く、心の痛みを触れ先に込めたくちづけをした。
'And my hair smells so horrible,'	「私の髪の毛、ひどく臭うのね、」
she murmured in distraction.	彼女は取り乱してつぶやいた。
'And I'm so awful, I'm so awful!	「ひどいわ、ひどい、
Oh, no, I'm too awful.'	私、ひどすぎる！」
And she broke into bitter, heart-broken sobbing.	突然彼女は、心が破れたように、痛切にすすり泣き始めた。
'You can't want to love me, I'm horrible.'	「こんなにひどい恰好じゃ、あなたに愛されるはずないわ。」
'Don't be silly, don't be silly,'	「そんなこと、そんなことない、」
he said, trying to comfort her, kissing her, holding her in his arms.	と、彼女を落ち着かせようと、彼は彼女に接吻し、腕に抱いた。
'I want you, I want to marry you,	「君が欲しい、君と結婚したい。
we're going to be married, quickly, quickly--to-morrow if I can.'	そう、僕らは結婚するんだ、早く、できるだけ早く、できるなら明日結婚したっていい。」
But she only sobbed terribly, and cried:	しかし彼女の嗚咽は止まず、彼女は叫んだ。
'I feel awful.	「ひどい、
I feel awful.	ひどいわ、
I feel I'm horrible to you.'	私分るわ、あなたが嫌がっているのが。」
'No, I want you, I want you,'	「違う、君が欲しい、君が好きだ、」
was all he answered, blindly, with that terrible intonation which frightened her almost more than her horror lest he should _not_ want her.	と、ひたむきに、盲目的に彼はくり返したが、その切羽詰まった響きは、彼が彼女を愛さなくなるかもしれないという怖れ以上に、彼女を脅かすようだった。
