The Great Gatsby	グレイト・ギャツビー
I tell her she ought to leave it alone.”	お酒はやめたほうがいいって、あたし、言ってるんだけどね」
“I do leave it alone,”	「やめてるってば」
affirmed the accused hollowly.	とこれは形ばかりの反駁だ。
“We heard you yelling, so I said to Doc Civet here:	「あんたが大声でわめいてるのが聞こえてきたからね、あたしはここにいるシベットせんせに言ったんだ。
‘There’s somebody that needs your help, Doc.’”	『せんせ、あんたの力を必要としてるのがいるんだ』
“She’s much obliged, I’m sure,”	「感謝すべきだな、まったく」
said another friend, without gratitude.	ともうひとりの友人が言ったが、あまりありがたそうではない。
“But you got her dress all wet when you stuck her head in the pool.”	「でもあんた、あのひとの頭をプールに突っこんでドレスまでずぶぬれにしてしまったこともあったしね」
“Anything I hate is to get my head stuck in a pool,”	「なにが嫌って、自分の頭をプールに突っ込まれることほど嫌なものはない」
mumbled Miss Baedeker.	とミス・ベーデカーが舌の回らない喋り方で言った。
“They almost drowned me once over in New Jersey.”	「一度なんか、あの連中、ニュージャージーであたしを溺れさせるところだったんだから」
“Then you ought to leave it alone,”	「じゃあ酒をやめることですな」
countered Doctor Civet.	とドクター・シベットが反撃した。
“Speak for yourself!”	「自分はどうなのよ！」
cried Miss Baedeker violently.	とミス・ベーデカーは猛然と叫んだ。
“Your hand shakes.	「手が震えてるくせに。
I wouldn’t let you operate on me!”	あんたの手術なんて、あたしは絶対にお断りだね！」
It was like that.	こんな感じだった。
Almost the last thing I remember was standing with Daisy and watching the moving-picture director and his Star.	ぼくの記憶では、最後あたりはデイジーと並んで立って、映画監督とそのスターとを眺めていたはずだ。
They were still under the white plum tree and their faces were touching	2人はまだ白李の下にいて、お互いの顔を触れんばかりに近づけている。
except for a pale, thin ray of moonlight between.	顔と顔の間には、月からの細い光が流れこんでいるだけだ。
It occurred to me	ふとぼくは思った。
that he had been very slowly bending toward her all evening to attain this proximity,	かれは一晩かけてごくゆっくりと彼女の方へと身をかがめていき、ついにこの距離にまで達したのではないか、と。
and even while I watched I saw him stoop one ultimate degree and kiss at her cheek.	ぼくが見守っているうちに、かれは最後のひとかがみを極め、彼女の頬にキスをした。
“I like her,”	「あのひとのこと、気に入ったな」
said Daisy,	とデイジーが言った。
“I think she’s lovely.”	「きれいなひとだと思う」
But the rest offended her――	けれどもその他はデイジーの気に触った――
and inarguably, because it wasn’t a gesture but an emotion.	その理由は、議論の余地もなく、身振り仕草の問題ではなくて感情的な問題だった。
She was appalled by West Egg, this unprecedented “place.” that Broadway had begotten upon a Long Island fishing village――	ブロードウェイがロング・アイランドの一漁村にこしらえたウエスト・エッグという先例のない「場所」に、彼女は恐れをなしていた――
appalled by its raw vigor that chafed under the old euphemisms and by the too obtrusive fate that herded its inhabitants along a short-cut from nothing to nothing.	昔ながらの回りくどい会話の皮下にある生々しい精力や、無から無へと通じる近道に人々を群がらせるあまりにも押しつけがましい運命観に、恐れをなしたのだ。
She saw something awful in the very simplicity she failed to understand.	自分には理解できない単細胞さに、デイジーは何かおぞましいものを見出していた。
I sat on the front steps with them while they waited for their car.	トムとデイジーが車を待つ間、ぼくもかれらと並んで玄関前のステップに座りこんでいた。
It was dark here in front;	あたりは真っ暗で、
only the bright door sent ten square feet of light volleying out into the soft black morning.	ただ戸口から漏れくる明かりが3平方メートルほどの光を夜明け前の柔らかな闇から打ち出していた。
Sometimes a shadow moved against a dressing-room blind above, gave way to another shadow,	時折、頭上の更衣室に下ろされたブラインドの向こうで人影が動き、もうひとつの人影に場所を譲った。
an indefinite procession of shadows, who rouged and powdered in an invisible glass.	ここからは見えない鏡に向かってルージュをひき、パウダーをはたくひとたち。
“Who is this Gatsby anyhow?”	「とにかく、ここのギャツビーってのはどういうやつなんだ？」
demanded Tom suddenly.	と不意にトムが絡んだ。
“Some big bootlegger?”	「派手に酒の密造でもやってるのか？」
“Where’d you hear that?”	「どこでそんなことを聞いたんだ？」
I inquired.	とぼくは訊ねた。
“I didn’t hear it.	「聞いたわけじゃない。
I imagined it.	想像だよ。
A lot of these newly rich people are just big bootleggers, you know.”	最近の成金どもは大抵酒の密造をやってるもんだからな」
“Not Gatsby,”	「ギャツビーは違う」
I said shortly.	ぼくは短く答えた。
He was silent for a moment.	かれはちょっとだけ黙った。
The pebbles of the drive crunched under his feet.	私道に敷き詰められた砂利がかれの足元で擦れ合う音をたてた。
“Well, he certainly must have strained himself to get this menagerie together.”	「まあ、ここまで妙な生き物を揃えてみせたんだ、さぞ苦しみもあったはずだな」
A breeze stirred the gray haze of Daisy’s fur collar.	かすかな風が吹き、デイジーの首もとの、煙るような灰色の毛皮の襟をそよがせた。
“At least they’re more interesting than the people we know,”	「少なくともわたしたちが知ってるひとたちより面白いとは思ったけど」
she said with an effort.	とデイジーは無理してそう言った。
“You didn’t look so interested.”	「言うほど面白がっていたようには見えなかったがね」
“Well,	「ふうん。
I was.”	わたしは面白がってたんだけど」
Tom laughed and turned to me.	トムは笑い飛ばしてぼくのほうに向き直った。
“Did you notice Daisy’s face when that girl asked her to put her under a cold shower?”	「気がついてたか、あのとき、あの娘からシャワー室までつれていってくれって頼まれたときのデイジーの顔？」
Daisy began to sing with the music in a husky, rhythmic whisper,	デイジーは、かすれた律動的なささやき声で口ずさみはじめた。
bringing out a meaning in each word that it had never had before and would never have again.	1語1語に、これまでにない、そしてこれからくりかえされることもなさそうな意味をこめて。
When the melody rose, her voice broke up sweetly, following it, in a way contralto voices have, and each change tipped out a little of her warm human magic upon the air.	曲が高い音域に達するとデイジーの声音は甘く乱れ、コントラルトとしては常のやり方ながら、それに合わせてキーを変えるたび、デイジーが持つ人間的魅力という魔法があたりに切り出されてゆく。
“Lots of people come who haven’t been invited,”	「招かれもしないのにやってくるひとがたくさんいるのよ」
she said suddenly.	とデイジーはふと言いだした。
“That girl hadn’t been invited.	「あの子だって招かれてたわけじゃない。
They simply force their way in and he’s too polite to object.”	ああいう、無理やりやってくるひとたちを、あのひとは礼儀正しすぎて追い帰せないだけ」
“I’d like to know who he is and what he does,”	「あのひとってのが何者で何をやってるのか、それを知りたいものだね」
insisted Tom.	とトムはなおも言う。
“And I think I’ll make a point of finding out.”	「いまにきっとつきとめてやる」
“I can tell you right now,”	「いますぐにでも教えてあげられるわよ」
she answered.	とデイジー。
“He owned some drug-stores, a lot of drug-stores.	「ドラッグストアとかを持ってたの、ドラッグストアをたくさん。
He built them up himself.”	あのひとが自分で作った」
The dilatory limousine came rolling up the drive.	すっかり遅くなったリムジンが私道をこちらに向かってきた。
“Good night, Nick,”	「おやすみなさい、ニック」
said Daisy.	とデイジーが言った。
Her glance left me and sought the lighted top of the steps,	デイジーの視線がぼくを離れ、ステップの光があたっているところを探った。
where THREE O’CLOCK IN THE MORNING, a neat, sad little waltz of that year, was drifting out the open door.	そこに、開いたドアから、その年流行った聞き心地のいい悲しげな小ワルツ、『スリー・オクロック・イン・ザ・モーニング』が溢れだしていた。
After all, in the very casualness of Gatsby’s party there were romantic possibilities totally absent from her world.	結局のところ、ギャツビーのパーティーのさりげなさにこそ、デイジーの世界にはまったく存在していないロマンティックな可能性があったのだ。
What was it up there in the song that seemed to be calling her back inside?	家の中にもどってくるよう、デイジーに呼びかけるあの歌の中に何がこめられていたのか？
What would happen now in the dim, incalculable hours?	この先、見当もつかないほど遥かでおぼろな未来に、いったい何が起きようというのか？
Perhaps some unbelievable guest would arrive, a person infinitely rare and to be marvelled at, some authentically radiant young girl	あるいは、信じられないようなゲストが到着し、それが驚いてしかるべきかぎりなく珍しい人物、若く美しい女性で、ギャツビーをほんの一目、見る。
who with one fresh glance at Gatsby, one moment of magical encounter, would blot out those five years of unwavering devotion.	その超常的な邂逅の瞬間、揺るぎなく愛を捧げつづけた5年間は消し飛ばされてしまうかもしれないのだ。
I stayed late that night,	ぼくは夜遅くまで残った。
Gatsby asked me to wait until he was free,	ギャツビーから自分の手が空くまで待っていて欲しいと頼まれたからだ。
and I lingered in the garden	ぼくは庭に居残った。
until the inevitable swimming party had run up, chilled and exalted, from the black beach,	やがていつもどおりに泳ぎに行っていた連中が、冷えきり、ほろ酔い加減で、暗いビーチから駈けあがってくる。
until the lights were extinguished in the guest-rooms overhead.	2階の客室の電気が消える。
When he came down the steps at last	それからやっとギャツビーがステップを降りてきた。
the tanned skin was drawn unusually tight on his face, and his eyes were bright and tired.	日焼けした顔にはいつもと違った緊張の色が見え、瞳はぎらぎら光って、いかにも疲れているようだった。
“She didn’t like it,”	「デイジーは気に入らなかった」
he said immediately.	とかれは前置きもなく言った。
“Of course she did.”	「気に入ってたに決まってるじゃないか」
“She didn’t like it,”	「デイジーは気に入らなかった」
he insisted.	と言い張る。
“She didn’t have a good time.”	「楽しく過ごせなかった」
He was silent,	かれは黙りこんだ。
and I guessed at his unutterable depression.	口には出せないほどに気落ちしているのだと思われた。
“I feel far away from her,”	「あのひとが酷く遠く感じられるのです。
“It’s hard to make her understand.”	中々分かって貰えない」
“You mean about the dance?”	「つまりダンスのこと？」
“The dance?”	「ダンス？」
He dismissed all the dances he had given with a snap of his fingers.	かれは自分が踊ったダンスというダンスをまとめて払いのけるように指を鳴らした。
“Old sport, the dance is unimportant.”	「親友、ダンスなんて大したことではありません」
He wanted nothing less of Daisy than that she should go to Tom and say:	ギャツビーがデイジーに望んでいたことは、他でもない、トムのところに行って
“I never loved you.”	「あなたのことなんか愛したことない」
After she had obliterated four years with that sentence they could decide upon the more practical measures to be taken.	その発言で4年の歳月を解消した後、採るべき現実的手段を決める。
One of them was that, after she was free, they were to go back to Louisville and be married from her house――	そうした計画のひとつは、自由になって実家にもどった彼女とルイビルで結婚するというものだった――
just as if it were five years ago.	ちょうど、5年の歳月を巻きもどすようにして。
“And she doesn’t understand,”	「でも、あのひとは分かってくれない。
“She used to be able to understand.	昔は分かってくれるひとだったのに。
We’d sit for hours――――”	私達は何時間も一緒に座って――」
He broke off and began to walk up and down a desolate path of fruit rinds and discarded favors and crushed flowers.	そこでかれは口を閉ざし、果物の皮や破棄された贈り物や押しつぶされた花々で散らかっている小道を行ったり来たりしはじめた。
“I wouldn’t ask too much of her,”	「ぼくだったらそんなに多くは求めないけどな」
I ventured.	ぼくは思いきって言った。
“You can’t repeat the past.”	「過去はくりかえせないよ」
“Can’t repeat the past?”	「過去はくりかえせない？」
he cried incredulously.	とギャツビーは疑わしげに叫んだ。
“Why of course you can!”	「何を言うのです、勿論くりかえせますよ！」
He looked around him wildly,	かれは勢いよく周囲を見まわした。
as if the past were lurking here in the shadow of his house, just out of reach of his hand.	過去はこの家の影に潜んでいて、ただ手の届かない場所にあるだけだとでも思ったのか。
“I’m going to fix everything just the way it was before,”	「私は何もかもを以前と同じ状態に直すつもりです」
he said, nodding determinedly.	と言い、断固としてうなずいた。
“She’ll see.”	「あのひとも分かってくれることでしょう」
He talked a lot about the past,	ギャツビーは過去のことを延々と話した。
and I gathered that he wanted to recover something, some idea of himself perhaps, that had gone into loving Daisy.	ぼくはいろいろと考えあわせ、かれは、自分自身のとらえ方などといった、かれにデイジーを愛させた何かをとりもどそうとしているのだ、と結論した。
His life had been confused and disordered since then, but if he could once return to a certain starting place and go over it all slowly, he could find out what that thing was. . . .. . .	デイジーを愛するようになってからというもの、かれの人生は混乱し、無秩序に進行していったけれども、いったん特定の場所まで立ち返ってそこからゆっくりと全体をたどりなおすことができたならば、かれにも見つけ出せただろう、かれにデイジーを愛させたものの正体を……
One autumn night, five years before, they had been walking down the street when the leaves were falling, and they came to a place where there were no trees	5年前のある秋の夜、枯葉の舞い散る中、通りを散歩していた2人は、やがて1本の樹木もない場所に出た。
and the sidewalk was white with moonlight.	歩道が月光に白く照り輝いている。
They stopped here and turned toward each other.	2人はそこで立ち止まり、お互いに顔を見合わせた。
Now it was a cool night with that mysterious excitement in it which comes at the two changes of the year.	年に二度くる季節の変わり目に感じられる神秘的な興奮のこもった涼しい夜だった。
The quiet lights in the houses were humming out into the darkness and there was a stir and bustle among the stars.	家々の静かな灯りが闇に向けてハミングし、星々はせわしなく動きまわった。
Out of the corner of his eye Gatsby saw that the blocks of the sidewalks really formed a ladder and mounted to a secret place above the trees――	ギャツビーは、その瞳の片隅で、歩道のブロックが木々の上に位置する秘密の場所へと通じる本物の梯子を成しているのを認めた――
he could climb to it, if he climbed alone,	かれはそれを昇ることができた、もし連れがいなければ。
and once there he could suck on the pap of life, gulp down the incomparable milk of wonder.	昇りさえすれば、あとはそこにある命のパン粥をすすり、比肩するものなき驚異のミルクを飲みくだせたことだろう。
His heart beat faster and faster as Daisy’s white face came up to his own.	デイジーの白い顔がかれに近づくにつれ、ギャツビーの心臓の鼓動はますます速くなっていく。
He knew	かれは知っていた。
that when he kissed this girl, and forever wed his unutterable visions to her perishable breath, his mind would never romp again like the mind of God.	目の前の娘に口づけを与え、己の語りようのないほどのビジョンと娘のはかない吐息を契らせてしまえば、もはや、かれの精神は神の精神のようには飛び回ることができなくなるのだ。
So he waited, listening for a moment longer	だからかれは耳をすまして待った。
to the tuning-fork that had been struck upon a star.	星に音叉が打ちつけられるのを。
Then he kissed her.	それから、口づけした。
At his lips’ touch she blossomed for him like a flower and the incarnation was complete.	かれの唇がふれたとたん、彼女はかれに向かって花開き、化身を完了させたのだ。
Through all he said, even through his appalling sentimentality, I was reminded of something――	かれの話を聞きながら、かれのおぞましいほどの感傷を感じていると、ぼくの頭の引出しの中から何かが飛び出してきそうになった――
an elusive rhythm, a fragment of lost words, that I had heard somewhere a long time ago.	難解なリズム、なくした言葉の断片、ぼくがずっと昔にどこかで耳にしたもの。
For a moment a phrase tried to take shape in my mouth and my lips parted like a dumb man’s,	一瞬、それが言葉として形をとりそうになったけれど、ぼくは声を失ってしまったかのように口を開くことしかできなかった。
as though there was more struggling upon them than a wisp of startled air.	そこに、一介の空気の振動どころではない、もっと苦闘を要する何かがこめられていたのだろうか。
But they made no sound, and what I had almost remembered was uncommunicable forever.	だが、それは音になりえず、ぼくがもう少しで思い出せたものが伝えられる機会は永遠に失われてしまった。
Chapter 7	第7章
It was when curiosity about Gatsby was at its highest that the lights in his house failed to go on one Saturday night――	ちょうどギャツビーへの好奇心が最高潮に達したころの土曜日、夜になってもかれの邸宅には明りを灯される気配がなかった――
and, as obscurely as it had begun, his career as Trimalchio was over.	そして、かれの饗宴王としてのキャリアは、始まりと同様、よく分からないままに終わりを告げたのだ。
Only gradually did I become aware that the automobiles which turned expectantly into his drive stayed for just a minute and then drove sulkily away.	期待も露にかれの私道へと入りこんでくる自動車が、ほんの少し留まっただけで、すねたように走り去っているのに、徐々にでしかなかったけれど、ぼくは気づきはじめた。
Wondering if he were sick I went over to find out――	病気かと思って、ぼくはかれに会いに行ってみた――
an unfamiliar butler with a villainous face squinted at me suspiciously from the door.	ドアからは、人相の悪い見なれない執事が疑るようなようすで出てきた。
“Is Mr. Gatsby sick?”	「ミスター・ギャツビーはご病気ですか？」
“Nope.”	「いいや」
After a pause he added “sir.” in a dilatory, grudging way.	しばらくして、遅まきながらの「そうではございません」を面倒くさそうに付け加える。
“I hadn’t seen him around, and I was rather worried.	「ここしばらくお見かけしませんでしたのでね、ちょっと心配しているんです。
Tell him Mr. Carraway came over.”	キャラウェイがきた、そうお伝えください」
“Who?”	「どちらですって？」
he demanded rudely.	とぶしつけな問い。
“Carraway.”	「キャラウェイ」
“Carraway.	「キャラウェイね。
All right,	確かに。
I’ll tell him.”	伝えておきます」
Abruptly he slammed the door.	いきなり、かれは音を立ててドアを閉めた。
My Finn informed me that Gatsby had dismissed every servant in his house a week ago and replaced them with half a dozen others,	ぼくのところのフィンランド人家政婦から聞いたところでは、ギャツビーは1週間前にそれまでの使用人全員に暇を出し、代わりに、6人ほどを雇い入れたらしい。
who never went into West Egg Village to be bribed by the tradesmen, but ordered moderate supplies over the telephone.	かれらは業者に買収されるといけないというのでウエスト・エッグ・ビレッジに出たことがなく、必要最低限の品物を電話で注文しているとのことだ。
The grocery boy reported that the kitchen looked like a pigsty, and the general opinion in the village was that the new people weren’t servants at all.	食料品店の使い走りはキッチンが豚小屋のようになっていると報じ、また、村落では、新しい面々はまったく使用人などではないのだという意見が広く流布していた。
Next day Gatsby called me on the phone.	翌日、ギャツビーから電話がかかってきた。
“Going away?”	「どこかに行ってしまうつもり？」
I inquired.	とぼくは訊ねた。
“No, old sport.”	「いいえ、親友」
“I hear you fired all your servants.”	「使用人をみんな首にしたって聞いたけど」
“I wanted somebody who wouldn’t gossip.	「ゴシップを流さないような使用人が欲しかったのです。
Daisy comes over quite often――	デイジーがしょっちゅう訪ねてきますからね――
in the afternoons.”	午後に」
So the whole caravansary had fallen in like a card house at the disapproval in her eyes.	あの広大な隊商宿全体が、デイジーの瞳に宿っていた否定的な想いを受けて、カードの家のように崩壊したというわけだ。
“They’re some people Wolfshiem wanted to do something for.	「ウルフシェイムから世話してやってくれと頼まれた人でしてね。
They’re all brothers and sisters.	みんな兄弟姉妹なのです。
They used to run a small hotel.”	彼ら、前は小さなホテルを経営していました」
“I see.”	「なるほど」
He was calling up at Daisy’s request――	かれが電話してきたのはデイジーに頼まれてのことだった――
would I come to lunch at her house to-morrow?	明日、ランチをご一緒にどうですか？
Miss Baker would be there.	ミス・ベイカーもおいでになるそうです。
Half an hour later Daisy herself telephoned and seemed relieved to find that I was coming.	それから30分後、デイジーからも電話があり、ぼくがくるつもりだと知ってほっとしたようだった。
Something was up.	何かが起きている。
And yet I couldn’t believe that they would choose this occasion for a scene――	それでもぼくは、かれらがこんな機会を選んで一悶着起こすつもりだとは思えなかった――
especially for the rather harrowing scene that Gatsby had outlined in the garden.	とりわけ、先日、ギャツビーが庭で見せた痛ましくさえあるような想いのたけをぶちまけるなどということはありえまいとぼくは思っていた。
The next day was broiling, almost the last, certainly the warmest, of the summer.	翌日は焦げるような暑さで、この夏のほぼ最後にして、間違いなく最高に暑い一日だった。
As my train emerged from the tunnel into sunlight, only the hot whistles of the National Biscuit Company broke the simmering hush at noon.	ぼくを乗せた列車がトンネルを抜け陽光の下に踊り出ると、昼時の煮えたぎるような静寂をうち破るものはといえば、ナショナル・ビスケット・カンパニーのサイレンの音ばかり。
The straw seats of the car hovered on the edge of combustion;	藁の詰まった座席はいまにも燃えあがりそうだ。
the woman next to me perspired delicately for a while into her white shirtwaist, and then, as her newspaper dampened under her fingers,	ぼくの隣に座っていた女性は、しばらくの間、白いブラウスにだけ汗をにじませていたが、やがて、彼女が手にしていた新聞までもが指のところから湿ってきた。
lapsed despairingly into deep heat with a desolate cry.	絶望したようなようすで猛暑に屈し果て、つらそうに悲鳴をあげる。
Her pocket-book slapped to the floor.	札入れが床に落ち、乾いた音を立てた。
“Oh, my!”	「やれやれ！」
she gasped.	とあえぐように女は言った。
I picked it up with a weary bend and handed it back to her,	ぼくはうんざりしたように身をかがめ、拾いあげ、彼女に手渡した。
holding it at arm’s length and by the extreme tip of the corners	腕をいっぱいに伸ばし、札入れの隅と隅とに指先をかけて。
to indicate that I had no designs upon it――	そうすることで、他意のないことを示そうとしたのだ――
but every one near by, including the woman, suspected me just the same.	けれども、近くにいた連中はみな、その女性を含めて、一様にぼくのことを疑っていた。
“Hot!”	「暑いですねえ！」
said the conductor to familiar faces.	と乗務員が見知った顔に言った。
“Some weather!	「なんて天気だ！……
hot!	暑いですねえ！……
hot!	暑いですねえ！……
hot!	暑いですねえ！……
Is it hot enough for you?	暑いとお思いになりません？……
Is it hot?	暑いでしょう？……
Is it . . . ?”	ねえ……？」
My commutation ticket came back to me with a dark stain from his hand.	かれの手からぼくのもとにもどってきた定期券には、指の跡が黒々と残っていた。
That any one should care in this heat whose flushed lips he kissed, whose head made damp the pajama pocket over his heart!	この暑さだもの、かれの口づけを己の血の通う唇に受けたがる者、かれの胸に己の頭を預け、かれのパジャマのポケットに汗をにじませたがる者などいるものか！
. . . Through the hall of the Buchanans’ house blew a faint wind, carrying the sound of the telephone bell out to Gatsby and me as we waited at the door.	……ブキャナン家のホールを吹き抜けてきた微風に乗って、ドアの前で待っていたぼくとギャツビーのところまで、電話のベルが聞こえてきた。
“The master’s body!”	「お車のボディ！」
roared the butler into the mouthpiece.	と執事が送話口にがなりたてている。
“I’m sorry, madame, but we can’t furnish it――	「申し訳ありませんが奥様、私どもには手入れしかねてございます――
it’s far too hot to touch this noon!”	今日の暑さではとてもではありませんが手も触れかねる次第で！」
What he really said was:	かれが言っているのは、本当は、こういうことなのだ。
“Yes . . .	「左様です……
yes . . .	左様です……
I’ll see.”	かしこまりました」
He set down the receiver and came toward us, glistening slightly, to take our stiff straw hats.	受話器を置くと、汗ばんだ顔を若干てらつかせながら、ぼくらのところにやってきて、ぼくらから固い麦藁帽子を受け取った。
“Madame expects you in the salon!”	「奥様は客間でお待ちです！」
he cried, needlessly indicating the direction.	と叫ぶと、不必要にも、客間の方向を指し示した。
In this heat every extra gesture was an affront to the common store of life.	こうも暑いと、余計な身振りなど、人並みに生命力をたたえている人間にとっては侮辱にも等しい。
The room, shadowed well with awnings, was dark and cool.	窓の日よけが程よく室内に影を作っているその部屋は、暗く、涼しかった。
Daisy and Jordan lay upon an enormous couch, like silver idols weighing down their own white dresses against the singing breeze of the fans.	巨大な寝椅子に寝そべっているデイジーとジョーダンは、まるで銀の偶像のようで、ぶんぶんと小気味よい音を立てる扇風機が起こす風ではためく、自分たちの白い服を抑えこんでいた。
“We can’t move,”	「動けたもんじゃない」
they said together.	と2人揃って言った。
Jordan’s fingers, powdered white over their tan, rested for a moment in mine.	ジョーダンは、日に焼けた肌を上塗りするように白粉をはたかれた指先を、しばらくぼくの指に預けていた。
“And Mr. Thomas Buchanan, the athlete?”	「で、かのアスリート、ミスター・トーマス・ブキャナンは？」
I inquired.	とぼくは訊ねた。
Simultaneously I heard his voice, gruff, muffled, husky, at the hall telephone.	と、かれの、無愛想な、くぐもったしわがれ声が、ホールの電話のところから聞こえてきた。
Gatsby stood in the centre of the crimson carpet and gazed around with fascinated eyes.	ギャツビーは、深紅の絨毯の真中に立って、魅入られたような眼差しであたりを見まわした。
Daisy watched him and laughed,	そんなかれを眺めていたデイジーが笑い声を上げた。
her sweet, exciting laugh;	甘やかな、心を湧き立たせるような笑い声を。
a tiny gust of powder rose from her bosom into the air.	と、その胸元から白粉の粉がほうっと立ち昇った。
“The rumor is,”	「噂では」
whispered Jordan,	とジョーダンが言う。
“that that’s Tom’s girl on the telephone.”	「いま電話の向こうにいるのがトムの女なんだって」
We were silent.	ぼくらは沈黙した。
The voice in the hall rose high with annoyance:	ホールから聞こえてくる声が苛立ちを含んで調子を高める。
“Very well,	「じゃあいい。
then, I won’t sell you the car at all. . . .	結局のところ、あの車はおまえに売らないことにする……
I’m under no obligations to you at all . . .	是が非でもおまえに売らなきゃならんという義理があるわけじゃあないからな……
and as for your bothering me about it at lunch time, I won’t stand that at all!”	こんなことでランチの邪魔をしてくれたんだ、一切我慢してやるものか！」
“Holding down the receiver,”	「受話器を置いての一人芝居よ」
said Daisy cynically.	とデイジーが皮肉った。
“No, he’s not,”	「いや、そうじゃない」
I assured her.	とぼくはデイジーに向かって言った。
“It’s a bona-fide deal.	「あれは正真正銘の取引なんだ。
I happen to know about it.”	たまたま知ってるんだけどね」
Tom flung open the door, blocked out its space for a moment with his thick body,	トムが部屋の扉を大きく開き、少しの間、戸口に立ちふさがった。
and hurried into the room.	それからあわただしく室内に入ってくる。
“Mr. Gatsby!”	「ミスター・ギャツビー！」
He put out his broad, flat hand with well-concealed dislike.	かれは嫌悪をうまいこと隠しながら大きくて平べったい手をギャツビーにさしだした。
“I’m glad to see you, sir. . . .	「お会いできてうれしく思います。……
Nick. . . .”	ニック……」
“Make us a cold drink,”	「冷たい飲み物を作ってきてよ」
cried Daisy.	とデイジーが叫んだ。
As he left the room again she got up and went over to Gatsby and pulled his face down, kissing him on the mouth.	トムが部屋を出たところで、デイジーは立ち上がってギャツビーのところまで行き、かれの頭を下に引き寄せ、唇を重ねた。
“You know I love you,”	「分かってるでしょうけど、わたし、あなたのこと愛してる」
she murmured.	とつぶやくように言う。
“You forget there’s a lady present,”	「レディの前ってことを忘れてるんじゃない？」
said Jordan.	とジョーダンが言った。
Daisy looked around doubtfully.	デイジーは疑わしげにあたりを見わたした。
“You kiss Nick too.”	「あなたもニックにキスしたら？」
“What a low, vulgar girl!”	「そんなはしたないことを言うもんじゃありません！」
“I don’t care!”	「知ったことですか！」
cried Daisy, and began to clog on the brick fireplace.	と言うと、デイジーは暖炉の煉瓦の上でクロッグダンスをはじめた。
Then she remembered the heat and sat down guiltily on the couch just as a freshly laundered nurse leading a little girl came into the room.	それからこの暑さを思いだしてばつが悪そうに寝椅子に座りなおしたところにちょうど、こざっぱりとした身なりの子守女が、小さな子どもを伴って部屋に入ってきた。
“Bles-sed pre-cious,”	「大切な、かけがえのないあなた」
she crooned, holding out her arms.	とデイジーは口ずさむように言いながら、両腕をさしのばした。
“Come to your own mother that loves you.”	「おいで、あなたを愛するママのところに」
The child, relinquished by the nurse, rushed across the room and rooted shyly into her mother’s dress.	その子は子守女の手を離すと、一気に部屋を横切り、気恥ずかしそうなようすで母親のドレスにすがりついた。
“The bles-sed pre-cious!	「大切な、かけがえのないあなた！
Did mother get powder on your old yellowy hair?	黄色い髪にママの白粉がくっつかなかった？
Stand up now, and say――How-de-do.”	ほら立って、みなさんにはじめましてって言ってごらん」
Gatsby and I in turn leaned down and took the small, reluctant hand.	ギャツビーとぼくは身をかがめて、しぶしぶ差し出されてきた小さな手を握った。
Afterward he kept looking at the child with surprise.	握手がすむと、ギャツビーはその子をひどく意外そうに見つめていた。
I don’t think he had ever really believed in its existence before.	それまで、子どもの存在などギャツビーの念頭にはまったくなかったのだと思う。
“I got dressed before luncheon,”	「わたし、ランチの前に服を替えたの」
said the child, turning eagerly to Daisy.	とせかされたようにデイジーのほうに向き直って言った。
“That’s because your mother wanted to show you off.”	「それはね、ママがあなたをみなさんにお見せしたかったからよ」
Her face bent into the single wrinkle of the small, white neck.	と言って、皺が一筋走っている小さな首に顔を埋めた。
“You dream, you.	「あなたは夢よ。
You absolute little dream.”	何にも替えがたいちっちゃな夢」
“Yes,”	「うん」
admitted the child calmly.	と母親の言葉を落ちついて受け入れる。
“Aunt Jordan’s got on a white dress too.”	「ジョーダンおばさまも白いドレスに着替えたの」
“How do you like mother’s friends?”	「ママのお友達のこと、気に入ってくれた？」
Daisy turned her around so that she faced Gatsby.	デイジーは周囲を見まわし、その結果、ギャツビーと顔を見合わせることになった。
“Do you think they’re pretty?”	「立派なひとたちだと思わない？」
“Where’s Daddy?”	「パパはどこ？」
“She doesn’t look like her father,”	「この子、父親には似てないのよ」
explained Daisy.	とデイジーが説明する。
“She looks like me.	「わたしに似てる。
She’s got my hair and shape of the face.”	髪の色も、顔かたちもわたし譲りね」
Daisy sat back upon the couch.	デイジーは寝椅子に座り直した。
The nurse took a step forward and held out her hand.	子守女が前に一歩踏み出し、手を差し出した。
“Come, Pammy.”	「いきましょう、パミーお嬢さま」
“Good-by, sweetheart!”	「バイバイ、スイートハート！」
With a reluctant backward glance the well-disciplined child held to her nurse’s hand and was pulled out the door,	一度、後ろ髪引かれるような眼差しで振りかえると、しつけのよいその子は子守女に手を引かれて部屋から出て行った。
just as Tom came back, preceding four gin rickeys that clicked full of ice.	と、トムが、目一杯入れられた氷がからからと音を立てている4杯のジン・リッキー（ジンのソーダ割りにライムを沈めたカクテル）を背後に従え、入ってきた。
Gatsby took up his drink.	ギャツビーが自分の分のグラスをとりあげた。
“They certainly look cool,”	「これは確かに涼しそうですね」
he said, with visible tension.	と緊張の色もあらわに言う。
We drank in long, greedy swallows.	ぼくらは時間をかけ、むさぼるようにそれを飲んだ。
“I read somewhere that the sun’s getting hotter every year,”	「どこで読んだか忘れてしまったが、太陽は年々熱くなっているらしいね」
said Tom genially.	と、トムが陽気に言った。
