PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
At the Gulch, when victory was still in the balance,	そのとき峡谷での戦いは、どちらに勝利の女神が微笑むのかまだ分からない状態でした。
sometimes leaning this way and sometimes that,	時々こちら側へ微笑んだかと思えば、時々はあちら側といった具合です。
he called out,	ピーターは叫びました。
"I'm redskin to-day;	「ぼくは、今日はインディアンだ、
what are you, Tootles?"	おまえはどっちだ？トゥートルズ」
And Tootles answered,	トゥートルズは答えました。
"Redskin;	「インディアンです、
what are you, Nibs?"	おまえは？ニブス」
and Nibs said,	そしてニブスは言いました。
"Redskin;	「もちろんインディアンに決まってるよ、
what are you Twin?"	あんたたちは？双子」
and so on; and they were all redskins;	そうやって、男の子達は全員インディアンになりました。
and of course this would have ended the fight had not the real redskins fascinated by Peter's methods, agreed to be lost boys for that once,	そして、もしピーターの方法にすっかり感心したインディアン達が今回に限って迷子の男の子達になることに決めなければ、もちろん戦いは終わっていたことでしょう。
and so at it they all went again, more fiercely than ever.	ただインディアン達がそうしたので、再び前よりずっとはげしく戦い続けたのでした。
The extraordinary upshot of this adventure was --	この冒険の驚くべき結末は．．．
but we have not decided yet that this is the adventure we are to narrate.	でもわたしたちは、これをこれからお話する冒険と決めてしまったわけではありません。
Perhaps a better one would be the night attack by the redskins on the house under the ground,	たぶんもっといいのは、インディアン達が地下の家に夜襲をかけたやつでしょう。
when several of them stuck in the hollow trees and had to be pulled out like corks.	そのときインディアンの何人かは木の穴にひっかかって、コルクのように引っ張られなければなりませんでした。
Or we might tell how Peter saved Tiger Lily's life in the Mermaids' Lagoon, and so made her his ally.	もしくはピーターが人魚のラグーンでどのようにしてタイガーリリーの命を救ったか、そしてピーターの味方になったかをお話してもいいかもしれません。
Or we could tell of that cake the pirates cooked so that the boys might eat it and perish;	もしくは、海賊たちが男の子達が食べて死ぬだろうって作ったケーキの話をしてもいいかもしれません。
and how they placed it in one cunning spot after another;	そしてどのようにしてケーキをあるずるがしこい場所、それから次の場所といった具合に置いたか？
but always Wendy snatched it from the hands of her children, so that in time it lost its succulence, and became as hard as a stone,	でもウェンディがコドモ達の手からケーキを取り上げたので、ケーキはそのうち水分をうしなって石みたいにカチカチになりました。
and was used as a missile, and Hook fell over it in the dark.	そしてミサイルとして使われて、フックが暗闇でケーキにつまづく始末でした。
Or suppose we tell of the birds that were Peter's friends,	または、ピーターの友達の鳥たちについてお話ししてもいいかもしれません。
particularly of the Never bird that built in a tree overhanging the lagoon,	特にラグーンに張り出した木に住んでいたネバーバードについて。
and how the nest fell into the water, and still the bird sat on her eggs, and Peter gave orders that she was not to be disturbed.	そして巣が水の中に落ちてもネバーバードはまだ卵を温めていて、ピーターがネバーバードのじゃまをしちゃいけないと命令をだしたてんまつを。
That is a pretty story, and the end shows how grateful a bird can be;	これはすてきなお話で、おしまいにはどんなに鳥というものが、感謝を忘れないものなのかが分かります。
but if we tell it we must also tell the whole adventure of the lagoon,	でもそのお話をすると、ラグーンの冒険を全部お話ししないわけにはいきません。
which would of course be telling two adventures rather than just one.	もちろん１つだけじゃなくて２つまとめてお話しすることになるでしょう。
A shorter adventure, and quite as exciting, was Tinker Bell's attempt, with the help of some street fairies, to have the sleeping Wendy conveyed on a great floating leaf to the mainland.	もっと短い冒険といえば、同じくらい興奮させますが、ティンカーベルが、住むところもない妖精何人かの力をかりて、寝ているウェンディを大きなプカプカ浮かんでる葉っぱにのっけて、現実の世界まで送り返そうとした話でしょうか。
Fortunately the leaf gave way and Wendy woke, thinking it was bath-time, and swam back.	幸運にもその葉っぱが破れて、ウェンディが目をさまし、お風呂の時間だと思って泳いで引き返したのでした。
Or again, we might choose Peter's defiance of the lions,	あるいはふたたび、ピーターのライオン達への挑戦の話を選ぶべきなのかもしれません。
when he drew a circle round him on the ground with an arrow and dared them to cross it; and though he waited for hours,	ピーターは地面の自分のまわりに矢で丸く円をかいて、ライオン達にこの線を越えてこれるものなら越えてこいなんて挑発し、何時間も待ったのでした。
with the other boys and Wendy looking on breathlessly from trees, not one of them dared to accept his challenge.	他の男の子達やウェンディは、木の上から息を呑んで見守っていましたが、ライオン達の一匹としてピーターの挑戦をあえて受けて立つものはいませんでした。
Which of these adventures shall we choose?	これらの冒険のどれをえらびましょうか？
The best way will be to toss for it.	一番いいのはコインのトスで決めることでしょうか。
I have tossed, and the lagoon has won.	コインをトスしました、ラグーンのお話に決まり。
This almost makes one wish that the gulch or the cake or Tink's leaf had won.	ラグーンの話に決まってみると、峡谷やケーキやティンクの葉っぱの話に決まったらなぁなんて思っちゃいますね。
Of course I could do it again, and make it best out of three;	もちろんもう一回コインをトスして、３つのうちから１つを決めてもいいのですが、
however, perhaps fairest to stick to the lagoon.	たぶんラグーンのお話を選ぶのが一番公平なことでしょう。
Chapter 8      THE MERMAIDS' LAGOON	８章　　人魚のラグーン（さんごにかこまれた浅瀬）
If you shut your eyes and are a lucky one, you may see at times a shapeless pool of lovely pale colours suspended in the darkness;	もしあなたが目を閉じて運がよければ、暗闇に浮かぶおぼろげな色で輪郭のはっきりしない水溜りをときどきみることができるかもしれません。
then if you squeeze your eyes tighter, the pool begins to take shape, and the colours become so vivid	それからもっとぎゅっと目をつむれば、水溜りの輪郭ははっきりして、色も鮮明になります。
that with another squeeze they must go on fire.	もっとぎゅっと目をつむると、水溜りは炎をあげて燃え出すに違いありません。
But just before they go on fire you see the lagoon.	でも燃え出す直前に、あのラグーンが見えるのです。
This is the nearest you ever get to it on the mainland, just one heavenly moment;	現実の世界ではこれがラグーンへの一番の近道で、天国にいるみたいな心地を味わうひとときです。
if there could be two moments you might see the surf and hear the mermaids singing.	そのひとときがちょっと長ければ、打ち寄せるさざ波を見て人魚たちが歌っているのが聞こえるかもしれません。
The children often spent long summer days on this lagoon,	コドモ達は、日の長い夏をしばしばこのラグーンですごしました。
swimming or floating most of the time, playing the mermaid games in the water, and so forth.	泳いだり、ほとんどの時間はただ浮いていたり、水中で人魚ごっこをしたりして遊びました。
You must not think from this that the mermaids were on friendly terms with them	だからって人魚とコドモ達が仲良しだったなんて考えてはいけません。
on the contrary, it was among Wendy's lasting regrets that all the time she was on the island she never had a civil word from one of them.	それどころか、ウェンディにとってはずっと残念だったことに、事実は全くの正反対で、ネバーランドにいる間人魚の誰からも礼儀正しく声をかけてもらったことはありませんでした。
When she stole softly to the edge of the lagoon she might see them by the score,	ウェンディがそのラグーンの端までこっそり忍び寄ったら、人魚たちがことにマルーナーの岩で実際のところどんな風だったかを見ることができたかもしれません。
especially on Marooners' Rock, where they loved to bask, combing out their hair in a lazy way that quite irritated her;	特にその場所で人魚たちは好んで日向ぼっこをしていて、ウェンディが本当にいらいらするようなものぐさな様子で髪をとかすのでした。
or she might even swim, on tiptoe as it were, to within a yard of them,	もしくはウェンディはつま先歩きみたいにしてこっそりと、人魚から１ヤード以内まで泳いで行くこともできたかもしれません。
but then they saw her and dived, probably splashing her with their tails, not by accident, but intentionally.	でもそうすると人魚たちはウェンディを見つけて、たまたまというよりはたぶんわざとでしょう、尾っぽでウェンディにバシャと水をかけて水中に飛び込むのでした。
They treated all the boys in the same way,	人魚たちの態度は、男の子達に対しても同じでした。
except of course Peter,	ただもちろんピーターは別格です。
who chatted with them on Marooners' Rock by the hour, and sat on their tails when they got cheeky.	ピーターは人魚たちとマルーナーの岩で何時間もおしゃべりをして、人魚たちが生意気なときには尾っぽの上に坐りこんだりしました。
He gave Wendy one of their combs.	ピーターは、ウェンディに人魚のくしを一つくれました。
The most haunting time at which to see them is at the turn of the moon,	人魚たちを見るのにもっとも印象的なのは、月の変わり目と言われています。
when they utter strange wailing cries;	月の変わり目に人魚たちは奇妙な嘆き悲しむ声をあげるのでした。
but the lagoon is dangerous for mortals then,	でもそんなとき、ラグーンは人にとっては危険この上ない場所なのです。
and until the evening of which we have now to tell, Wendy had never seen the lagoon by moonlight,	わたしたちがこれからお話しする夕べまで、ウェンディは月光をあびているラグーンは一度も目にしたことがなかったのでした。
less from fear, for of course Peter would have accompanied her,	それは恐いからというわけではありません、もし月光をあびているラグーンに行くなら、もちろんピーターが一緒に行ってくれたでしょうし。
than because she had strict rules about every one being in bed by seven.	むしろ本当の理由は、みんなに７時には必ずベッドに入ることという厳しいルールが決められていたからでした。
She was often at the lagoon, however, on sunny days after rain,	でもウェンディは雨上がりの晴れた日には、よくそのラグーンにいました。
when the mermaids come up in extraordinary numbers to play with their bubbles.	そんなときにはすごく大勢の人魚が水面にでてきて、自分たちのたてた水の泡とたわむれて遊ぶのでした。
The bubbles of many colours made in rainbow water they treat as balls, hitting them gaily from one to another with their tails, and trying to keep them in the rainbow till they burst.	虹の水でできたいろいろな色の泡をボールにして、楽しそうに尾っぽで一方から一方へと打ち合い、割れるまで虹の中にあるようにします。
The goals are at each end of the rainbow, and the keepers only are allowed to use their hands.	ゴールは虹の両端で、キーパーだけが両手を使えるのです。
Sometimes a dozen of these games will be going on in the lagoon at a time, and it is quite a pretty sight.	時々、同時に１ダースものゲームがこのラグーンで行われることがあって、それはそれはすてきな眺めです。
But the moment the children tried to join in they had to play by themselves,	ただコドモ達が加わろうとすると、自分たちだけで遊ぶ羽目になるのでした。
for the mermaids immediately disappeared.	人魚たちはすぐさま姿を消してしまいます。
Nevertheless we have proof that they secretly watched the interlopers, and were not above taking an idea from them;	ただわたしたちは、人魚がひそかに侵入者たちを見ていたことについては自信がありますし、コドモ達のアイデアを全く取り入れないというわけでもありませんでした。
for John introduced a new way of hitting the bubble, with the head instead of the hand, and the mermaids adopted it.	なぜならジョンが手のかわりに頭をつかう、泡の新しい打ち方をあみだしたのですが、人魚たちがそれを取り入れたことがありましたから。
This is the one mark that John has left on the Neverland.	これこそジョンがネバーランドに残していった、たった１つのしるしなのでした。
It must also have been rather pretty to see the children resting on a rock for half an hour after their mid-day meal.	お昼ご飯のあとにコドモ達が半時も１つの岩の上で休憩しているのを見るのも、とてもすてきなことに違いありません。
Wendy insisted on their doing this,	ウェンディは、これもルールと厳しかったのです。
and it had to be a real rest even though the meal was make-believe.	たとえご飯が“ごっこ”でも、休憩は本当にしなきゃならないのです。
So they lay there in the sun, and their bodies glistened in it,	コドモ達がお日さまの中で寝そべっていると、体が反射してきらきら光りました。
while she sat beside them and looked important.	その間ウェンディはコドモ達の横にすわり、偉そうに見えました。
It was one such day, and they were all on Marooners' Rock.	そんなある日のこと、みんなはマルーナーの岩の上にいました。
The rock was not much larger than their great bed, but of course they all knew how not to take up much room, and they were dozing, or at least lying with their eyes shut,	その岩は家の大きなベッドほどは広くなかったのですが、みんな場所を取らないようにするこつを心得ていて、うたたねしたり少なくとも目を閉じて横になっていました。
and pinching occasionally when they thought Wendy was not looking.	そしてウェンディが見てなさそうな時には、時々つねりあいなんかをしてました。
She was very busy, stitching.	ウェンディは編み物でとても忙しかったのです。
While she stitched a change came to the lagoon.	ウェンディが編み物をしていると、ラグーンにヘンカがおきました。
Little shivers ran over it, and the sun went away and shadows stole across the water, turning it cold.	よくない予感の身震いがラグーンに走り、太陽が雲にかくれ、水面に影がさし、寒くなりました。
Wendy could no longer see to thread her needle,	もうウェンディは針に糸を通すこともできません。
and when she looked up, the lagoon that had always hitherto been such a laughing place seemed formidable and unfriendly.	目をあげると、今の今までいつもながらにあんなに楽しい場所だったラグーンは、ぞっとするような悪意に満ちた場所に見えたのでした。
It was not, she knew, that night had come,	ウェンディにも夜が来たのではないことは分かりました。
but something as dark as night had come.	でも夜が来たのと同じくらい暗くなりました。
No, worse than that.	いいえ、もっと悪いことに、
It had not come, but it had sent that shiver through the sea to say that it was coming.	まだ実際来てはいないのですが、今にも行くよといわんばかりに、海の上をあのよくない予感の身震いが送られてきたのでした。
What was it?	一体なにが起こるというのでしょう？
There crowded upon her all the stories she had been told of Marooners' Rock,	ウェンディの頭は、マルーナーの岩について聞いたことのあるいろいろな話でいっぱいになりました。
so called because evil captains put sailors on it and leave them there to drown.	なぜマルーナーの岩（島流しの岩）と呼ばれるかというと、悪い船長たちが船員をここに置き去りにして溺れさせたからでした。
They drown when the tide rises, for then it is submerged.	潮が満ちると岩が水没するので、溺れてしまうといういわれがあったのです。
Of course she should have roused the children at once;	もちろんウェンディは、すぐさまコドモ達をおこすべきでした。
not merely because of the unknown that was stalking toward them, but because it was no longer good for them to sleep on a rock grown chilly.	単に何かよく分からないものがやってくるというだけではなく、そもそも寒くなった岩の上で寝てるのは健康にもよくありませんでしたから。
But she was a young mother and she did not know this;	でもウェンディは新米のお母さんだったので、こういうことが分かっていなかったのです。
she thought you simply must stick to your rule about half an hour after the mid-day meal.	ウェンディは昼食後には半時休みというルールは、とにかく守らなきゃと考えていたのでした。
So, though fear was upon her, and she longed to hear male voices, she would not waken them.	だからぞっとして、男の子たちの声が聞きたくなってもおこしませんでした。
Even when she heard the sound of muffled oars, though her heart was in her mouth, she did not waken them.	ウェンディは、音を立てないようにこっそり漕いでいるオールの音を聞きつけ、心臓が口から飛び出そうなほどビックリした時でさえ、男の子たちをおこしませんでした。
She stood over them to let them have their sleep out.	あくまでちゃんと時間まで寝かせようと見守っていたのです。
Was it not brave of Wendy?	ウェンディの勇気があることといったら。
It was well for those boys then that there was one among them who could sniff danger even in his sleep.	寝ているときでさえ危険をかぎつける子が、コドモ達の中にも一人いたのは良いことでした。
Peter sprang erect, as wide awake at once as a dog, and with one warning cry he roused the others.	ピーターは、犬みたいにすぐに目を覚まし、はじけるようにたちあがると、一言警告してみんなをおこしました。
He stood motionless, one hand to his ear.	ピーターは、片耳に手をあててじっと立ってました。
"Pirates!"	「海賊たちだ！」
he cried.	と叫ぶと、
The others came closer to him.	みんなピーターのそばに集まりました。
A strange smile was playing about his face, and Wendy saw it and shuddered.	えもいわれぬ微笑がピーターの顔に浮かんでおり、ウェンディはそれを見て身震いしました。
While that smile was on his face no one dared address him;	その微笑がピーターの顔に浮かんでいるときに、あえて話しかけるものはいません。
all they could do was to stand ready to obey.	みんなにできるのは立ちあがって、命令を待つことだけでした。
The order came sharp and incisive.	するどくはっきりした命令が発せられました。
"Dive!"	「飛びこめ！」
There was a gleam of legs, and instantly the lagoon seemed deserted.	飛びこむ足が光ったかとおもうと、ラグーンはたちまち人っ子一人いなくなりました。
Marooners' Rock stood alone in the forbidding waters as if it were itself marooned.	マルーナーの岩はまるで岩自体も島流しされたみたいに、不気味な海域でぽつんとひとつ浮かんでいるのでした。
The boat drew nearer.	ボートが近づいてきました。
It was the pirate dinghy, with three figures in her, Smee and Starkey, and the third a captive,	海賊の小船で３人の人影があり、スメー、スターキーと３人目は捕虜でした。
no other than Tiger Lily.	なんと捕虜は他でもないタイガーリリーです。
Her hands and ankles were tied, and she knew what was to be her fate.	手と足を縛られ、どんな運命が待ち構えているか観念しています。
She was to be left on the rock to perish,	岩に取り残され、非業の死を遂げるのです。
an end to one of her race more terrible than death by fire or torture,	ピカニニ族の最後としては火あぶりや拷問よりもひどい死に方です。
for is it not written in the book of the tribe that there is no path through water to the happy hunting-ground?	というのも部族の本を見ても、幸せな死後の楽園に至るためには水を通って行く道なんてないって書かれてませんでしたっけ？
Yet her face was impassive;	でもリリーは平然とした顔をしており、
she was the daughter of a chief, she must die as a chief's daughter,	酋長の娘ですから、酋長の娘として恥ずかしくない死に方をしなければなりません。
it is enough.	それだけが望みだったのです。
They had caught her boarding the pirate ship with a knife in her mouth.	海賊たちはリリーがナイフを口にくわえて、海賊船に乗り込んでくるところを捕まえました。
No watch was kept on the ship, it being Hook's boast that the wind of his name guarded the ship for a mile around.	フックが自慢するには、船に見張りはいなかったのですが、自分の名前が風に乗って一マイル四方は守ってくれるぞということでした。
Now her fate would help to guard it also.	リリーの運命もまた船を守るのに一役買うことでしょう。
One more wail would go the round in that wind by night.	夜風にのってもうひとつ、悲しい話が噂されるのでしょう。
In the gloom that they brought with them the two pirates did not see the rock till they crashed into it.	自分たちと一緒にやってきた暗闇の中で、２人の海賊は岩が見えずに衝突してしまいました。
"Luff, you lubber,"	「かじを風上だ、このまぬけ」
cried an Irish voice that was Smee's;	アイルランドなまりの声がして、それはスメーです。
"here's the rock.	「ここは岩だぞ。
Now, then, what we have to do is to hoist the redskin on to it and leave her here to drown."	さてこれからやらなきゃならんのは、このインディアンを岩の上に置き去りにして、溺れさすことだな」
It was the work of one brutal moment to land the beautiful girl on the rock;	その美しい娘を岩に引き上げるのは、あっというまの無慈悲な仕事でした。
she was too proud to offer a vain resistance.	ただリリーは無駄な抵抗をしようとするには、プライドが高すぎたのでした。
Quite near the rock, but out of sight, two heads were bobbing up and down,	岩のほんの近くに、視界に入らない所ですが、２つの頭が上下に浮き沈みしていました。
Peter's and Wendy's.	ピーターとウェンディの頭です。
Wendy was crying, for it was the first tragedy she had seen.	ウェンディはめそめそしており、それは初めて悲劇を目撃していたからでした。
Peter had seen many tragedies, but he had forgotten them all.	ピーターは悲劇は嫌というほど見てきましたが、全部すっかり忘れているしまつです。
He was less sorry than Wendy for Tiger Lily:	ピーターはウェンディほどはタイガーリリーに同情しているわけではありません。
it was two against one that angered him, and he meant to save her.	ただピーターを憤慨させたのは２対１ということで、だからリリーを助けることにしたのです。
An easy way would have been to wait until the pirates had gone, but he was never one to choose the easy way.	カンタンなのは、海賊達が行ってしまうまで待ってることだったでしょうが、ピーターがカンタンな方を選ぶような子でないのは先刻ご承知の通りです。
There was almost nothing he could not do, and he now imitated the voice of Hook.	ピーターに出来ないことなんて何もありませんでしたから、この時はフックの声を真似したのでした。
"Ahoy there, you lubbers!"	「おおい、そこの、まぬけども！」
he called.	ピーターが呼びかけました。
It was a marvellous imitation.	すばらしい物まねです。
"The captain!"	「船長だ！」
said the pirates, staring at each other in surprise.	海賊たちは驚きのあまりお互いに顔を見合わせて、そう言いました。
"He must be swimming out to us,"	「こっちに泳いでくるところに違いないぞ」
Starkey said, when they had looked for him in vain.	海賊たちはあたりを捜しましたけど、船長の姿は見あたらなかったので、スターキーはこう言いました。
"We are putting the redskin on the rock,"	「インディアンを岩の上に置き去りにしますぜぃ」
Smee called out.	スメーは大声でさけびました。
"Set her free,"	「そいつを自由にしてやるんだ」
came the astonishing answer.	びっくりぎょうてんの返答です。
"Free!"	「自由だって！」
"Yes, cut her bonds and let her go."	「そうだ、縄をきって行かせてやれ」
"But, captain -- "	「でも、船長」
"At once, d'ye hear," cried Peter, "or I'll plunge my hook in you."	「すぐにだ、聞こえただろ。さもなくば俺の右腕のフックをおみまいしてもいいんだぞ」
"This is queer!"	「おかしいなぁ！」
Smee gasped.	スメーが息をのみこみながらそう言うと、
"Better do what the captain orders,"	「船長のいうとおりにした方がいいぜ」
said Starkey nervously.	とスターキーはびくびくしながら言うのでした。
"Ay, ay."	「アイ、アイ」
Smee said, and he cut Tiger Lily's cords.	スメーはそういうと、タイガーリリーの縄を切りました。
At once like an eel she slid between Starkey's legs into the water.	すぐさまリリーはうなぎみたいにスターキーの足の間をすりぬけて、水のなかに姿を消しました。
Of course Wendy was very elated over Peter's cleverness;	もちろんウェンディはピーターの賢さに得意満面でした。
but she knew that he would be elated also and very likely crow and thus betray himself, so at once her hand went out to cover his mouth.	でもウェンディは、ピーターも得意満面で時の声をあげそうなのを見て、そんなことをしたらピーターが真似してたってばれちゃうので、すぐさまピーターの口を覆おうと手を伸ばしましたが、
But it was stayed even in the act,	ふと手が止まりました。
for "Boat ahoy!" rang over the lagoon in Hook's voice,	なぜなら「ボート！」というフックの声がラグーンに響き渡ったからでした。
and this time it was not Peter who had spoken.	今回は、声をあげたのはピーターではありません。
Peter may have been about to crow, but his face puckered in a whistle of surprise instead.	ピーターは時の声をあげそうだったかもしれません、でもその代わりに顔が驚いたときに口笛をふくような顔になりました。
"Boat ahoy!"	「ボート！」
again came the voice.	再び声が聞こえました。
Now Wendy understood.	今やウェンディにも分かりました。
The real Hook was also in the water.	ホンモノのフックもまた水中にいたのです。
He was swimming to the boat,	フックはボートめがけて泳いでいました。
and as his men showed a light to guide him he had soon reached them.	そしてフックの目印になるように手下どもがライトを照らしたので、フックはすぐに手下どものところまでたどり着きました。
In the light of the lantern Wendy saw his hook grip the boat's side;	ランタンの明かりの中で、ウェンディはフックがボートのへりをつかむのを見ました。
she saw his evil swarthy face as he rose dripping from the water, and, quaking,	またボートに上がりこんだとき、邪悪な浅黒い顔から水がしたたり、身震いしたのも見えました。
she would have liked to swim away, but Peter would not budge.	ウェンディは泳いで逃げだしたくなりましたが、ピーターは身動きひとつしません。
He was tingling with life and also top-heavy with conceit.	活気に満ち満ちて、またもやうぬぼれて得意になっていたのです。
"Am I not a wonder, oh, I am a wonder!"	「すごいよね、ぼくってすごいなぁ！」
he whispered to her,	なんてウェンディにささやくのです。
and though she thought so also, she was really glad for the sake of his reputation that no one heard him except herself.	ウェンディもそうは思ってはいましたが、ピーターの評判を気にして、私だけしか聞いてなくてホントによかったと思ったのでした。
He signed to her to listen.	ピーターは、ウェンディに耳をすますよう合図しました。
The two pirates were very curious to know what had brought their captain to them, but he sat with his head on his hook in a position of profound melancholy.	２人の海賊は、船長がどうしてこんなところにやってきたのか興味しんしんでしたが、船長は頭を右腕のフックにもたせかけ、ものうげな様子で座っていました。
"Captain, is all well?"	「船長、大丈夫ですかい？」
they asked timidly, but he answered with a hollow moan.	手下どもはおずおずと声をかけましたが、うつろなうめき声の答えが返ってくるだけでした。
"He sighs,"	「船長は、ため息だ」
said Smee.	とスメー。
"He sighs again,"	「船長は、またため息だ」
said Starkey.	とスターキー。
"And yet a third time he sighs,"	「船長は、またまた３回目のため息だ」
said Smee.	とスメー。
Then at last he spoke passionately.	そしてついに船長はかんしゃくを起こして叫びました。
"The game's up," he cried,	「お遊びは終わりだ、
"those boys have found a mother."	あのコドモ達は母親をみつけたぞ」
Affrighted though she was, Wendy swelled with pride.	ウェンディはびくびくもしたんですが、誇りで胸が一杯になりました。
"O evil day!"	「なんてついてない日だ！」
cried Starkey.	スターキーは叫びました。
"What's a mother?"	「母親ってなんですかい？」
asked the ignorant Smee.	何も知らないスメーはたずねました。
Wendy was so shocked that she exclaimed.	ウェンディは、あまりにショックを受けたのでおもわず声をあげました。
"He doesn't know!"	「知らないんですって！」
and always after this she felt that if you could have a pet pirate Smee would be her one.	そしてこの後いつも、もし海賊をペットにできるものなら私はスメーがいいわねなんてウェンディは思ったのでした。
Peter pulled her beneath the water, for Hook had started up, crying, "What was that?"	フックが立ちあがって「あれはなんだ？」と叫んだので、ピーターはウェンディを水中に引き込みました。
"I heard nothing,"	「なんも聞こえませんぜ」
said Starkey, raising the lantern over the waters,	スターキーは、水面の上に明かりをかざして言いました。
and as the pirates looked they saw a strange sight.	海賊たちが見やったとき、不思議な光景が目に入りました。
It was the nest I have told you of, floating on the lagoon, and the Never bird was sitting on it.	それは前にもお話ししたことがある鳥の巣で、ラグーンにぷかぷか浮いておりネバーバードが卵を抱いていました。
"See,"	「見ろ」
said Hook in answer to Smee's question,	フックはスメーの質問にこう答えました。
"that is a mother.	「あれが母親だ、
What a lesson!	見本だ！
The nest must have fallen into the water,	巣が水に落ちてしまったに違いない。
but would the mother desert her eggs?	だけど母親は卵を見捨てたか？
No."	いいや」
There was a break in his voice, as if for a moment he recalled innocent days	そこで一息おくと、まるでしばらく無邪気な日々を回想しているようでした。
when -- but he brushed away this weakness with his hook.	あの無邪気な日々に．．．と船長は自分の右腕のフックでこんな弱々しいところを振り払いました。
Smee, much impressed, gazed at the bird as the nest was borne past,	スメーはすっかり感動して、巣が運ばれて目の前を通り過ぎていく間、母親の鳥からじっと目を離しませんでした。
but the more suspicious Starkey said,	でもスターキーはもっと疑り深かったので
"If she is a mother, perhaps she is hanging about here to help Peter."	「母親ならたぶんピーターを助けに、ここらへんにでもいそうなもんだけどな」と言いました。
Hook winced.	フックはびくっとして
"Ay," he said, "that is the fear that haunts me."	「ああ、それがわしが恐れてることなんだ」とつぶやきましたが、
He was roused from this dejection by Smee's eager voice.	スメーの勢いこんだ声でその憂鬱をふりはらいました。
"Captain,"	「おかしら」
said Smee,	スメーははりきって言いました。
"could we not kidnap these boys' mother and make her our mother?"	「そのやつらの母親とやらを誘拐しちゃいましょう、それでわしらの母親にできませんかな？」
"It is a princely scheme,"	「そいつはすばらしい計画だ」
cried Hook, and at once it took practical shape in his great brain.	フックはさけぶと、そのかしこい頭ですぐに現実的な計画を立てるのでした。
"We will seize the children and carry them to the boat:	「コドモ達をひっとらえてボートまで連れて来い。
the boys we will make walk the plank, and Wendy shall be our mother.	男の子達には板の上を歩かせて、ウェンディがわしらの母親といった具合だ」
Again Wendy forgot herself.	またウェンディはわれを忘れて
"Never!"	「なるもんですか！」
she cried, and bobbed.	と叫んで頭を水中にしずめました。
"What was that?"	「あれはなんだ？」
But they could see nothing.	でも海賊たちの目にはなにも映りません。
They thought it must have been a leaf in the wind.	海賊達は、風に葉っぱが一枚舞ってるにすぎないくらいに思っていました。
"Do you agree, my bullies?"	「わかったか、やろうども？」
asked Hook.	フックはたずねました。
"There is my hand on it,"	「手を重ねますぜ」
they both said.	２人とも声をそろえました。
"And there is my hook.	「わしの右腕のフックもだ、
Swear."	誓うぞ」
They all swore.	３人とも誓いました。
By this time they were on the rock, and suddenly Hook remembered Tiger Lily.	このときすでに３人は岩の上にいて、突然フックはタイガーリリーのことに思い当たりました。
"Where is the redskin?"	「インディアンはどこだ？」
he demanded abruptly.	フックはぶっきらぼうにたずねました。
He had a playful humour at moments, and they thought this was one of the moments.	フックはときどき冗談をいうので、２人はまた始まったなんて思いました。
"That is all right, captain,"	「万事ぬかりないですぜ、船長」
Smee answered complacently;	スメーはのんきにこう答えました。
"we let her go."	「ちゃんと逃がしましたぜ」
"Let her go!"	「逃がしただって！」
cried Hook.	フックは叫びました。
"'Twas your own orders,"	「だ、だって、おかしらの命令じゃないですか」
the bo'sun faltered.	甲板長がくちごもると、
"You called over the water to us to let her go,"	「向こうから、やつを逃がしてやれって叫んだじゃないですか」
said Starkey.	とスターキーも言いました。
"Brimstone and gall,"	「こんちくしょうめ」
thundered Hook,	フックは大声でいいました。
"what cozening [cheating] is going on here!"	「なんだってんだ！」
His face had gone black with rage,	顔は怒りでどす黒くなりました。
but he saw that they believed their words, and he was startled.	ただ手下どもが自身の言葉にこれっぽちも迷いを感じてないようなので驚いて、
"Lads," he said, shaking a little, "I gave no such order."	「おい、わしはそんな命令してないぞ」と少し震えた声で言いました。
"It is passing queer,"	「おかしなことだ」
Smee said, and they all fidgeted uncomfortably.	スメーはそういうと、みんな気味が悪そうにそわそわしました。
Hook raised his voice, but there was a quiver in it.	フックは声を張り上げましたが、その声は震えていました。
"Spirit that haunts this dark lagoon to-night," he cried, "dost hear me?"	「今晩、この真っ暗なラグーンに出没する亡霊よ、わしのいう事が聞こえるか？」と呼びかけたのです。
Of course Peter should have kept quiet, but of course he did not.	ピーターは黙ってるべきでしたが、もちろんそうしません。
He immediately answered in Hook's voice:	すぐにフックの声で答えました。
"Odds, bobs, hammer and tongs, I hear you."	「おい、こりゃ、うるさい、聞こえてるぞ」
In that supreme moment Hook did not blanch, even at the gills,	こんなときでもフックは青ざめたり、のどの下のたるんだ肉の部分をぴくりともさせませんでした。
but Smee and Starkey clung to each other in terror.	でもスメーとスターキーときたら恐怖のあまり、お互いに抱きつくありさまです。
"Who are you,	「おまえはだれだ？
stranger?	怪しいやつ、
Speak!"	名乗れ！」
Hook demanded.	フックは聞きました。
"I am James Hook,"	「わしはジェームズフックで、」
replied the voice,	その声は答えました。
"captain of the JOLLY ROGER."	「ジョリーロジャース号の船長だ」
"You are not; you are not,"	「おまえは違うぞ、おまえは違うんだ」
Hook cried hoarsely.	フックはしゃがれた声で叫びました。
"Brimstone and gall,"	「こんちくしょうめ」
the voice retorted,	その声はこう言い返しました。
"say that again, and I'll cast anchor in you."	「もう一度言ってみろ、おまえに錨をぶち込むぞ」
