The Time Machine	タイムマシン
I said;	いつ死んだんだろうか」
"I wonder whence they dated."	とわたしは口に出しました。
For a queer notion of Grant Allen's came into my head, and amused me.	というのも、グラント・アレンの奇妙な発想がふと思い浮かび、おもしろいなと思ったのです。
If each generation die and leave ghosts, he argued, the world at last will get overcrowded with them.	各世代が死んで幽霊を残すなら、世界はやがて幽霊過密になってしまうだろう、とかれは論じました。
On that theory they would have grown innumerable some Eight Hundred Thousand Years hence, and it was no great wonder to see four at once.	その理論にしたがえば、80万年ほど後では幽霊は文字通り無数になっていたでしょうし、だから４匹一度に見たところで何の不思議もありません。
But the jest was unsatisfying, and I was thinking of these figures all the morning, until Weena's rescue drove them out of my head.	でもその冗談は満足のいかないもので、わたしは朝の間ずっとあの姿のことを考えていたのですが、そこでウィーナが救いにあらわれて、それを頭から追い払ってくれました。
I associated them in some indefinite way with the white animal I had startled in my first passionate search for the Time Machine.	わたしはそれを、初めて熱心にタイムマシンを探したときに脅かした、あの白い動物となぜかしら結びつけていたのです。
But Weena was a pleasant substitute.	でも、ウィーナの方が考えるには気分がよかった。
Yet all the same, they were soon destined to take far deadlier possession of my mind.	とはいえ、それらはやがて、わたしの意識に遥かに恐ろしい形で取り憑くことになるのです。
`I think I have said how much hotter than our own was the weather of this Golden Age.	この黄金時代の天候が、われわれの時代よりずっと暑かったことは申し上げたかと思います。
I cannot account for it.	理由はわかりません。
It may be that the sun was hotter, or the earth nearer the sun.	太陽が暑くなったのか、地球が太陽に近づいたのか。
It is usual to assume that the sun will go on cooling steadily in the future.	将来は太陽がどんどん冷却化すると考えるのが通例のようです。
But people, unfamiliar with such speculations as those of the younger Darwin, forget that the planets must ultimately fall back one by one into the parent body.	でも若きダーウィンのような考察に慣れていない人々は、惑星はいずれ一つずつ母星に落下して戻らなくてはならないのだ、ということを忘れてしまいます。
As these catastrophes occur, the sun will blaze with renewed energy;	こうした転変地異が起こるにつれて、太陽はエネルギーを更新してまた燃えさかるでしょう。
and it may be that some inner planet had suffered this fate.	そして、いくつか内側の惑星がこうした運命を迎えたのかもしれません。
Whatever the reason, the fact remains that the sun was very much hotter than we know it.	理由は何であれ、太陽はいまよりもずっと暑かったというのは事実です。
`Well, one very hot morning	とにかく、とても暑いある朝
--my fourth, I think	――たしか四日目だったと思います
--as I was seeking shelter from the heat and glare in a colossal ruin near the great house where I slept and fed, there happened this strange thing:	――眠って食事をする大きな家に近い、巨大な廃墟の中で、熱と陽光から逃れようとしているとき、奇妙なことが起こりました。
Clambering among these heaps of masonry, I found a narrow gallery, whose end and side windows were blocked by fallen masses of stone.	煉瓦の山を登っているうちに、狭いギャラリーに出たのですが、その端とスライド式の窓が倒れてきた石の山でブロックされています。
By contrast with the brilliancy outside, it seemed at first impenetrably dark to me.	屋外の明るさに比べて、最初はそこは入るのもはばかられるほど真っ暗に思えました。
I entered it groping, for the change from light to blackness made spots of colour swim before me.	明るいところから暗いところに変わって、目の前に色のついた点がちらちらしているほどだったので、手探りでその中に入りました。
Suddenly I halted spellbound.	急にわたしは、呪文にかかったように凍り付きました。
A pair of eyes, luminous by reflection against the daylight without, was watching me out of the darkness.	外の日光を反射して輝く目が二つ、暗闇の中からこちらを見ているのです。
`The old instinctive dread of wild beasts came upon me.	昔ながらの本能的な野獣に対する嫌悪がわき起こりました。
I clenched my hands and steadfastly looked into the glaring eyeballs.	手を握りしめると、ぎらつく目玉をしっかりとにらみつけました。
I was afraid to turn.	背を向けるのはこわかった。
Then the thought of the absolute security in which humanity appeared to be living came to my mind.	そのとき、人類が絶対的な安全の中に暮らしているように思えたことが頭に浮かびました。
And then I remembered that strange terror of the dark.	そして暗闇に対する奇妙な怯えも。
Overcoming my fear to some extent, I advanced a step and spoke.	多少は自分の恐れを克服して、わたしは一歩進み出て話しかけてみました。
I will admit that my voice was harsh and ill-controlled.	その声がきつくて、抑えが効いていなかったことは認めざるを得ません。
I put out my hand and touched something soft.	手をのばすと、何か柔らかいものに触れました。
At once the eyes darted sideways, and something white ran past me.	すぐに目は横に飛び退いて、何か白いものが脇をすりぬけていきました。
I turned with my heart in my mouth, and saw a queer little ape-like figure, its head held down in a peculiar manner, running across the sunlit space behind me.	わたしは死ぬほど驚いて振り返り、そして奇妙な小さいサルのような姿が、独特の形で頭を下げ、背後の陽に照らされた空間を駆け抜けるのを目にしたのです。
It blundered against a block of granite, staggered aside, and in a moment was hidden in a black shadow beneath another pile of ruined masonry.	それは花崗岩のかたまりにぶつかって、よろめき、そして一瞬で別の壊れた煉瓦壁の山の下にある、黒い影の中にかき消えてしまいました。
`My impression of it is, of course, imperfect;	それについてのわたしの印象は、もちろん不完全なものです。
but I know it was a dull white, and had strange large greyish-red eyes;	でもそれが鈍い白で、奇妙に大きな灰色がかった赤の目をしているのはわかりました。
also that there was flaxen hair on its head and down its back.	さらに頭と背中にかけて亜麻色の毛もありました。
But, as I say, it went too fast for me to see distinctly.	でも申し上げたように、はっきり見て取るにはあまりに素早かった。
I cannot even say whether it ran on all-fours, or only with its forearms held very low.	それが四つ足で走ったのか、前の腕をとても低く下げていただけなのかもわかりませんでした。
After an instant's pause I followed it into the second heap of ruins.	一瞬ためらってから、わたしはそいつの後を追って二つ目の廃墟の山に入っていきました。
I could not find it at first;	最初はそいつを見つけられませんでした。
but, after a time in the profound obscurity, I came upon one of those round well-like openings of which I have told you,	でもその広大な茫漠の中でしばらくするうちに、すでにお話ししたあの丸い井戸のような開口部の一つに出くわしました。
half closed by a fallen pillar.	これが倒れた柱によって半分閉じています。
A sudden thought came to me.	いきなりひらめきました。
Could this Thing have vanished down the shaft?	あの生き物は、この竪穴の中に消えたんじゃないか？
I lit a match, and, looking down, I saw a small, white, moving creature, with large bright eyes which regarded me steadfastly as it retreated.	わたしはマッチをともし、見下ろすと、小さな白い動く生き物が見え、そいつが大きな明るい目で、退却しつつもこっちをじっとにらんでいました。
It was so like a human spider!	実に人間グモのようでした！
It was clambering down the wall, and now I saw for the first time a number of metal foot and hand rests forming a kind of ladder down the shaft.	そいつはかべをはい降りつつあって、いまや初めてその竪穴に金属の足場がたくさんついていて、そこを降りるはしご代わりとなっているのがわかりました。
Then the light burned my fingers and fell out of my hand, going out as it dropped,	そのときマッチの火が指を焼き、手から落ちて、落下するうちに消えてしまい。
and when I had lit another the little monster had disappeared.	そしてもう一本マッチを擦る頃には、小さな怪物は消えていました。
`I do not know how long I sat peering down that well.	その井戸の中を、どれほどのぞきこんでいたのかはわかりません。
It was not for some time that I could succeed in persuading myself that the thing I had seen was human.	自分が見たものが人間だったと言うことを自分に納得させるのに成功するまで、かなりの時間がかかりました。
But, gradually, the truth dawned on me:	でもやがて、真実が見えてきました。
that Man had not remained one species, but had differentiated into two distinct animals:	人類は一つの種のままではなく、二種類のちがった動物へと差別化していったのです。
that my graceful children of the Upper-world were not the sole descendants of our generation, but that this bleached, obscene, nocturnal Thing, which had flashed before me, was also heir to all the ages.	地上世界の我が優雅な子どもたちは、われわれの世代の唯一の子孫ではなく、わたしの目の前を駆け抜けた、あの漂白されて醜悪な夜行性の代物も、この時代を通じてずっと子孫だったのだ、と悟ったのです。
`I thought of the flickering pillars and of my theory of an underground ventilation.	わたしはちらつく小塔と、自分の地下換気理論のことを考えました。
I began to suspect their true import.	かれらの真の意義がわかってきたのです。
And what, I wondered, was this Lemur doing in my scheme of a perfectly balanced organization?	そしてこのレムールは、完全にバランスのとれた組織という我が図式の中で何をしていたのでしょうか？
How was it related to the indolent serenity of the beautiful Upper-worlders?	美しい地上世界人たちの怠惰な静穏とどう関係しているのだろう？
And what was hidden down there, at the foot of that shaft?	そしてあの縦穴の底、地下には何が隠されているのだろう？
I sat upon the edge of the well telling myself that,	わたしは井戸のふちにすわって自分に言い聞かせました。
at any rate, there was nothing to fear,	とにかく何も恐れることはないのだ、と。
and that there I must descend for the solution of my difficulties.	そして我が困難の解決のためには、あそこに下って行かなくてはならないのだ、と。
And withal I was absolutely afraid to go!	そしてそれにもかかわらず、わたしはそこに行くのが心底怖かった！
As I hesitated, two of the beautiful Upper-world people came running in their amorous sport across the daylight in the shadow.	ためらううちに、美しい地上世界の人々が二人走ってきて、日光の中を影から影へと走る、かれらの優雅なスポーツをやっていました。
The male pursued the female, flinging flowers at her as he ran.	男が女を追いかけ、走りながら花を投げつけています。
`They seemed distressed to find me, my arm against the overturned pillar, peering down the well.	かれらは、ひっくり返った塔に腕をかけて井戸をのぞいているわたしを見つけて、おびえたようでした。
Apparently it was considered bad form to remark these apertures;	どうやらこうした装置について言及するのはよくないことと思われていたようです。
for when I pointed to this one, and tried to frame a question about it in their tongue, they were still more visibly distressed and turned away.	というのも、これを指さして、かれらの言語でそれについての質問をしようとすると、かれらはいっそうおびえて、背中を向けてしまいました。
But they were interested by my matches, and I struck some to amuse them.	でもマッチには興味を持ったようで、かれらを楽しませるために何本か擦ってやりました。
I tried them again about the well, and again I failed.	井戸についてもう一度きいてみましたが、また失敗です。
So presently I left them, meaning to go back to Weena,	そこで、じきにかれらを後にして、ウィーナのところに帰ろうと思いました。
and see what I could get from her.	彼女なら何か教えてくれるかもしれません。
But my mind was already in revolution;	でも頭の中はすでに大混乱していました。
my guesses and impressions were slipping and sliding to a new adjustment.	憶測や印象が揺れ動いては変動し、新しいところにおさまろうとしていたのです。
I had now a clue to the import of these wells, to the ventilating towers, to the mystery of the ghosts;	いまやこうした井戸や換気塔、そして幽霊たちの謎についてヒントが得られました。
to say nothing of a hint at the meaning of the bronze gates and the fate of the Time Machine!	そしてもちろん、ブロンズの門の意義やタイムマシンの行方についても！
And very vaguely there came a suggestion towards the solution of the economic problem that had puzzled me.	そして非常に漠然とですが、悩んできた経済上の問題の答えに向けて、示唆が思い浮かんだのです。
`Here was the new view.	新しい見方というのはこうです。
Plainly, this second species of Man was subterranean.	明らかに、この人類二番目の種は地下にすんでいます。
There were three circumstances in particular which made me think that its rare emergence above ground was the outcome of a long-continued underground habit.	かれらがたまにしか地上に登場しないのは、長く続いた地下の習慣の結果だと思わせる状況証拠が三つありました。
In the first place, there was the bleached look common in most animals that live largely in the dark--the white fish of the Kentucky caves, for instance.	まず、暗闇の中でもっぱら過ごす動物たち――たとえばケンタッキーの洞窟に住む魚など――に共通の、あの漂白されたような外見があります。
Then, those large eyes, with that capacity for reflecting light, are common features of nocturnal things	そしてあの光を反射できる大きな目は、夜行性動物の共通の特徴です
--witness the owl and the cat.	――フクロウやネコをごろうじろ。
And last of all, that evident confusion in the sunshine, that hasty yet fumbling awkward flight towards dark shadow, and that peculiar carriage of the head while in the light	そして最後に、日光の下で明らかに混乱していて、あわててしかもよたよた不器用に暗い影に逃げ出す様子、そして光の下にいるときには奇妙な形で頭を覆っていること
--all reinforced the theory of an extreme sensitiveness of the retina.	――このすべては、瞳孔がきわめて敏感だという仮説を強化するものです。
`Beneath my feet, then, the earth must be tunnelled enormously, and these tunnellings were the habitat of the new race.	すると足下では、地下にすさまじいトンネルがほられ、そのトンネルは新しい人種の居住地になっているにちがいありません。
The presence of ventilating shafts and wells along the hill slopes	丘の斜面沿いの換気シャフトや井戸の存在
--everywhere, in fact except along the river valley	――いや、川の峡谷沿いを除けば実はあらゆる場所にありました
--showed how universal were its ramifications.	――はその広がりがいかに広大かを告げています。
What so natural, then, as to assume that it was in this artificial Underworld that such work as was necessary to the comfort of the daylight race was done?	でしたら、昼間の種族の安楽のために必要な仕事が、この人工の地下世界で行われていると想定すること以上に自然なことがあるでしょうか。
The notion was so plausible that I at once accepted it, and went on to assume the how of this splitting of the human species.	この考えはあまりに納得がいったので、わたしはすぐにそれを受け入れ、この人類の分裂がどうやって起きたかを考え始めました。
I dare say you will anticipate the shape of my theory;	たぶんあなたたちも、わたしの理論の方向性は予想がつくはずだ、と申し上げておきましょう。
though, for myself, I very soon felt that it fell far short of the truth.	でもわたし自身はといえば、やがてそれが真実に遙かに及ばないものであると感じることになったのですが。
`At first, proceeding from the problems of our own age, it seemed clear as daylight to me that the gradual widening of the present merely temporary and social difference between the Capitalist and the Labourer, was the key to the whole position.	最初、われわれの時代の問題から考えを進めると、資本家と労働者の間の、現在では単に一時的で社会的な相違が徐々に拡大してきたのが、この状況すべてへの鍵だと言うことは真昼のように明らかに思えました。
No doubt it will seem grotesque enough to you	もちろんあなたたちにはグロテスクに思えるでしょう
--and wildly incredible!	――そしてまるで信じられないと！
--and yet even now there are existing circumstances to point that way.	――でも現在ですら、その方向を示すような状況が存在しているのです。
There is a tendency to utilize underground space for the less ornamental purposes of civilization;	文明の中であまり見栄えのしない目的のためには地下空間を使う傾向があります。
there is the Metropolitan Railway in London, for instance, there are new electric railways, there are subways, there are underground workrooms and restaurants, and they increase and multiply.	たとえばロンドンでは都市地下鉄道がありますし、新しい電気鉄道も、地下通路も、地下の作業室やレストランもありますし、それが増えては増殖しています。
Evidently, I thought, this tendency had increased till Industry had gradually lost its birthright in the sky.	明らかに、この傾向が拡大して、やがて産業は徐々に空に対する生得権を失ってしまったのだ、とわたしは思いました。
I mean that it had gone deeper and deeper into larger and ever larger underground factories, spending a still-increasing amount of its time therein, till, in the end--!	つまりそれがますます深く、ますます大きな地下工場へと移行し、その中でますます多くの時間をすごすようになって、そしてついに――！
Even now, does not an East-end worker live in such artificial conditions as practically to be cut off from the natural surface of the earth?	今ですら、イーストエンドの労働者たちは実に人工的な環境に住んでいて、実質的に地球の自然な表面からは切り離されているのではありませんか？
`Again, the exclusive tendency of richer people	またも、裕福な人々特有の性向
--due, no doubt, to the increasing refinement of their education, and the widening gulf between them and the rude violence of the poor	――まちがいなく教育がますます洗練され、かれらと貧困者の粗野な暴力との間の溝が拡大してきたせいですが
--is already leading to the closing, in their interest, of considerable portions of the surface of the land.	――のおかげで、地表面のかなりの部分は、かれらの利益になるような形で囲い込まれています。
About London, for instance, perhaps half the prettier country is shut in against intrusion.	たとえばロンドン周辺では、見目麗しい方のいなかのうち、半分は侵入できないように囲われているでしょうか。
And this same widening gulf	そしてこの広がる溝
--which is due to the length and expense of the higher educational process and the increased facilities for and temptations towards refined habits on the part of the rich	――それは高等教育の長さと費用と、金持ちの洗練された習慣のための設備向上と魅力の高まりのせいなのですが
--will make that exchange between class and class, that promotion by intermarriage which at present retards the splitting of our species along lines of social stratification, less and less frequent.	――は、階級間の交流、現在では人類が社会的な階層化によって分断されるのを抑えている、あの階級間の婚姻による階級移動は、ますます起こりにくくなります。
So, in the end, above ground you must have the Haves, pursuing pleasure and comfort and beauty, and below ground the Have-nots, the Workers getting continually adapted to the conditions of their labour.	したがって最後には、地上には持てる者がいて、快楽と安楽と美を追究し、地下には持たざる者、自分の労働条件にますます適応する労働者たちがいるようになります。
Once they were there, they would no doubt have to pay rent,	いったん地下に入ったら、まちがいなく賃料を支払うことになるでしょう。
and not a little of it,	しかも、かなりの額のはずです。
for the ventilation of their caverns;	あの洞窟の換気設備がありますから。
and if they refused, they would starve or be suffocated for arrears.	そしてそれを拒否すれば、未払い金のせいで飢え死にするか絞め殺されるでしょう。
Such of them as were so constituted as to be miserable and rebellious would die;	惨めさや反逆心を感じるように作られた者たちは死にます。
and, in the end, the balance being permanent, the survivors would become as well adapted to the conditions of underground life, and as happy in their way, as the Upper-world people were to theirs.	そしてついには、バランスが永続的なものとなり、生き残った者たちは地下生活の条件に立派に適応し、地上世界の人がこちらで感じているのと同じような幸せを、地下の暮らしで感じるようになります。
As it seemed to me, the refined beauty and the etiolated pallor followed naturally enough.	わたしの目には、洗練された美としおれたような蒼白さはそこから十分自然に続いてくるものでした。
`The great triumph of Humanity I had dreamed of took a different shape in my mind.	わたしが夢見た人類の偉大な勝利は、心の中でまったく別の形をとって現れました。
It had been no such triumph of moral education and general co-operation as I had imagined.	それはわたしが想像したような、道徳教育と全般的な協力の勝利ではありませんでした。
Instead, I saw a real aristocracy, armed with a perfected science and working to a logical conclusion the industrial system of to-day.	かわりに、本物の貴族階級が完全な科学で武装して、今日の産業システムの論理的帰結にまで突き詰めたのが見いだされました。
Its triumph had not been simply a triumph over Nature, but a triumph over Nature and the fellow-man.	その勝利は単に自然に対する勝利ではなく、自然と仲間の人間に対する勝利でした。
This, I must warn you, was my theory at the time.	警告しておきますが、これは当時のわたしの理論でした。
I had no convenient cicerone in the pattern of the Utopian books.	ユートピア関連書のパターンに関する手軽な案内はありませんでした。
My explanation may be absolutely wrong.	だからわたしの説明はまるっきりまちがっているかもしれない。
I still think it is the most plausible one.	それでも、いちばんもっともらしい説明だと思います。
But even on this supposition the balanced civilization that was at last attained must have long since passed its zenith, and was now far fallen into decay.	でもそう想定したとしても、ついに実現したバランスのとれた文明は、たぶんその最盛期を遙か昔に過ぎ、いまや衰退に落ち込んで久しいようでした。
The too-perfect security of the Upper-worlders had led them to a slow movement of degeneration, to a general dwindling in size, strength, and intelligence.	地上世界人たちのあまりに完璧すぎる安全保障は、かれらをゆっくりと退行させて、体の大きさも、強さも、知性も、全般に縮んでいったのです。
That I could see clearly enough already.	この点はすでに十分にはっきりと見て取れました。
What had happened to the Under-grounders I did not yet suspect;	地下世界人たちに何が起きたか、そのときはまだ見当がつきませんでした。
but from what I had seen of the Morlocks	でもそれまでに見たモーロックたちから判断して
--that, by the by, was the name by which these creatures were called	――ちなみにモーロックというのは、この生き物たちの呼び名でした
--I could imagine that the modification of the human type was even far more profound than among the "Eloi," the beautiful race that I already knew.	――わたしがすでに知っていた美しい種族「エロイ」たちに見られるよりもっと激しい人間の変形が生じたものと思われます。
`Then came troublesome doubts.	そして困った疑念がわき起こりました。
Why had the Morlocks taken my Time Machine?	なぜモーロックたちはわたしのタイムマシンを持ち去ったのか？
For I felt sure it was they who had taken it.	というのも、それを取ったのはまちがいなくかれらだと思ったのです。
Why, too, if the Eloi were masters, could they not restore the machine to me?	また、もしエロイが主人であるなら、なぜかれらはマシンをわたしのところに戻してくれないのか？
And why were they so terribly afraid of the dark?	そしてなぜかれらは暗闇をひどく恐れるのか？
I proceeded, as I have said, to question Weena about this Under-world, but here again I was disappointed.	すでに述べたように、地下世界についてウィーナに問いただし始めましたが、ここでもがっかりさせられました。
At first she would not understand my questions, and presently she refused to answer them.	最初、彼女はわたしの質問を理解せず、理解した後はそれに答えることを拒否したのです。
And when I pressed her, perhaps a little harshly, she burst into tears.	そして追求すると、詰問がきつすぎたのか、いきなり泣き出しました。
They were the only tears, except my own, I ever saw in that Golden Age.	この黄金時代に見た涙は、自分自身のものをのぞけば、それが唯一のものでした。
When I saw them I ceased abruptly to trouble about the Morlocks, and was only concerned in banishing these signs of the human inheritance from Weena's eyes.	それを見て、わたしはあわててモーロックたちのことで悩むのをやめて、こうした人間の遺産の徴をウィーナの目から消滅させることに専念しました。
And very soon she was smiling and clapping her hands, while I solemnly burned a match.	そしてまもなく、わたしが荘厳にマッチをともすのを見て、彼女は笑っては手をたたいていました。
`It may seem odd to you, but it was two days before I could follow up the new-found clue in what was manifestly the proper way.	「奇妙に思えるかもしれませんが、新しく見つけた証拠を、どう見ても適切だと思える形でフォローアップできるまでに二日かかりました。
I felt a peculiar shrinking from those pallid bodies.	あの青白い体に、どうも独特の身がすくむ思いを感じたのです。
They were just the half-bleached colour of the worms and things one sees preserved in spirit in a zoological museum.	かれらは、ミミズや、動物学博物館でアルコール漬けにして保存されているようなものに見られる、漂白しかけたような色をしています。
And they were filthily cold to the touch.	そしてさわると、気持ち悪いほどに冷たいのです。
Probably my shrinking was largely due to the sympathetic influence of the Eloi,	たぶんわたしが身をすくませたのは、エロイからの好意的な影響も大きかったのでしょう。
whose disgust of the Morlocks I now began to appreciate.	かれらのモーロックたちに対する嫌悪を、わたしも理解するようになりました。
`The next night I did not sleep well.	翌晩は、あまり眠れませんでした。
Probably my health was a little disordered.	健康状態もちょっと不調だったのでしょう。
I was oppressed with perplexity and doubt.	困惑と疑念に圧倒されていました。
Once or twice I had a feeling of intense fear for which I could perceive no definite reason.	一度か二度、理由のはっきりしない強い恐怖に襲われました。
I remember creeping noiselessly into the great hall where the little people were sleeping in the moonlight	小さな人々が月光に照らされて眠っている大ホールに、音をたてずに忍び込んだのを覚えています
--that night Weena was among them	――その晩、ウィーナがそこにいました
--and feeling reassured by their presence.	――そしてかれらがそこにいることで安心したのを覚えています。
It occurred to me even then, that in the course of a few days the moon must pass through its last quarter, and the nights grow dark, when the appearances of these unpleasant creatures from below, these whitened Lemurs, this new vermin that had replaced the old, might be more abundant.	そのとき、この数日の間に、月が最後の月齢を経て、夜が暗くなるにつれて、この地下からの不快な静物たち、この漂白したレムールたち、かつての害獣に置き換わった新たな害獣たちの登場ももっと頻繁になるだろうと思い当たりました。
And on both these days I had the restless feeling of one who shirks an inevitable duty.	そしてこの両日、わたしは避けがたい責務から逃避する人物の落ち着かない気分を味わってきました。
I felt assured that the Time Machine was only to be recovered by boldly penetrating these underground mysteries.	タイムマシンを取り戻すには、この地下の謎に果敢に乗り込むしかないと確信していました。
Yet I could not face the mystery.	でもその謎に直面できませんでした。
If only I had had a companion it would have been different.	連れがいれば、話はちがったでしょう。
But I was so horribly alone, and even to clamber down into the darkness of the well appalled me.	でもわたしはとてつもなく孤独で、あの井戸の闇に下りるだけでも、とんでもないという気分でした。
I don't know if you will understand my feeling, but I never felt quite safe at my back.	この気持ちがご理解いただけるかはわかりませんが、背中にいつも危険を感じていたのです。
`It was this restlessness, this insecurity, perhaps, that drove me further and further afield in my exploring expeditions.	この落ち着かなさ、この不安さのせいで、さらに探検旅行を進めようと思ったのかもしれません。
Going to the south-westward towards the rising country that is now called Combe Wood, I observed far off, in the direction of nineteenth-century Banstead, a vast green structure,	南西部の、現在はコームウッドと呼ばれている高くなった地域に向かうと、十九世紀のバンステッドの方角に巨大な緑の構造物が遙かかなたに見えました。
different in character from any I had hitherto seen.	これまで見たほかのどんな建物とも性格がちがっています。
It was larger than the largest of the palaces or ruins I knew, and the facade had an Oriental look:	これまで見た宮殿や廃墟のどれよりも大きく、そのファサードは東洋風でした。
the face of it having the lustre, as well as the pale-green tint, a kind of bluish-green, of a certain type of Chinese porcelain.	その表面は、ある種のシナの磁器のような光沢と淡い緑の色調、一種の青緑がかった感じがありました。
This difference in aspect suggested a difference in use,	この外見のちがいは、使途もちがうことを思わせました。
and I was minded to push on and explore.	だから前進して探求しようという気になりました。
But the day was growing late, and I had come upon the sight of the place after a long and tiring circuit;	でもその日は遅くなっていましたし、その場所を見つけるまでにかなり長く疲れる旅をしてきました。
so I resolved to hold over the adventure for the following day, and I returned to the welcome and the caresses of little Weena.	そこで探検は翌日にまわそうと決めて、小さなウィーナの歓迎と愛撫のもとに戻ったのです。
But next morning I perceived clearly enough that my curiosity regarding the Palace of Green Porcelain was a piece of self-deception, to enable me to shirk, by another day, an experience I dreaded.	でも翌朝、緑の磁器の宮殿に対する好奇心は一種の自己欺瞞で、自分が心底やりたくない体験をもう一日先送りしようとしているだけだ、というのが自分ではっきりわかりました。
I resolved I would make the descent without further waste of time, and started out in the early morning towards a well near the ruins of granite and aluminium.	どこでこれ以上時間を無駄にせずに、地下に下りようと決め、翌朝早朝に、花崗岩とアルミの廃墟の近くにある井戸のほうに出発しました。
`Little Weena ran with me.	小さなウィーナがいっしょに走ってきました。
She danced beside me to the well, but when she saw me lean over the mouth and look downward, she seemed strangely disconcerted.	井戸の横までわたしの隣で踊りましたが、その縁に乗り出してのぞき込んでいるのを見ると、彼女は不思議と当惑したようでした。
"Good-bye, Little Weena,"	『さよなら、小さなウィーナ』
I said, kissing her;	とわたしは彼女にキスしました。
and then putting her down, I began to feel over the parapet for the climbing hooks.	そして彼女を下に下ろすと、パラペットの向こう側を探ってのぼるためのフックを探しました。
Rather hastily, I may as well confess,	かなり急いでいたと告白しましょう。
for I feared my courage might leak away!	なぜなら、勇気が漏れ出てしまうのがこわかったからです！
At first she watched me in amazement.	最初、彼女は不思議そうにわたしを見ていました。
Then she gave a most piteous cry, and running to me, she began to pull at me with her little hands.	それから実に悲しげな悲鳴をあげると、こちらに駆けだして、小さな手でわたしをひっぱり始めました。
I think her opposition nerved me rather to proceed.	彼女の反対ぶりは、むしろ先に進むようわたしをうながしたと思います。
I shook her off, perhaps a little roughly, and in another moment I was in the throat of the well.	彼女を、ひょっとするとちょっとあらっぽく振り払い、そして次の瞬間わたしは井戸の口に入っていました。
I saw her agonized face over the parapet, and smiled to reassure her.	パラペットの上に彼女の苦悶する顔が見えたので、にっこりして安心させてやりました。
Then I had to look down at the unstable hooks to which I clung.	それから、見下ろして、自分がつかまっている不安定なフックを見なければなりませんでした。
`I had to clamber down a shaft of perhaps two hundred yards.	二百メートルほども縦穴をくだらなくてはならなかったでしょうか。
The descent was effected by means of metallic bars projecting from the sides of the well, and these being adapted to the needs of a creature much smaller and lighter than myself, I was speedily cramped and fatigued by the descent.	下りるのは井戸の横からつきだした金属の棒につかまって行いましたが、これはわたしよりずっと小さくて軽い生き物のニーズに適応したものだったので、すぐに手足がしびれて疲れてきました。
And not simply fatigued!	それもただの疲れではありません！
One of the bars bent suddenly under my weight, and almost swung me off into the blackness beneath.	棒の一つが重みで急に曲がり、下の暗闇にわたしを落としかけたのです。
For a moment I hung by one hand, and after that experience I did not dare to rest again.	一瞬、片手だけでぶら下がり、その体験の後は二度と休む気はしませんでした。
Though my arms and back were presently acutely painful, I went on clambering down the sheer descent with as quick a motion as possible.	腕や背中がすぐにひどく痛み始めましたが、なるべく早い動作でひたすら降下を続けたのです。
Glancing upward, I saw the aperture, a small blue disk, in which a star was visible, while little Weena's head showed as a round black projection.	上を見ると、開口部が小さな青い円盤となって見え、そこに星が見え、そして小さなウィーナの頭が丸い黒い影として見えています。
The thudding sound of a machine below grew louder and more oppressive.	下にある機械の鼓動はますます大きく抑圧的になってきました。
Everything save that little disk above was profoundly dark, and when I looked up again Weena had disappeared.	頭上の小さな円盤を除くすべてが実に暗く、もう一度目を上げるとウィーナも消えていました。
`I was in an agony of discomfort.	不快感がつのってつらい状態でした。
I had some thought of trying to go up the shaft again, and leave the Under-world alone.	縦穴を戻って登り、地下世界は放っておこうかとも思いました。
But even while I turned this over in my mind I continued to descend.	でもこれを頭の中で反芻しつつも、降下を続けました。
At last, with intense relief, I saw dimly coming up, a foot to the right of me, a slender loophole in the wall.	とうとう、心底ほっとしたことに、右手30センチのところに、細い抜け穴が壁にあるのがぼんやり見えました。
Swinging myself in, I found it was the aperture of a narrow horizontal tunnel in which I could lie down and rest.	そこに飛び込んでみると、横になって休める狭い横穴の開口部だったのです。
My arms ached, my back was cramped, and I was trembling with the prolonged terror of a fall.	腕が痛み、背中が凝っていて、落ちるのではとずっと怯えていたのでふるえていました。
Besides this, the unbroken darkness had had a distressing effect upon my eyes.	これ以外に、とぎれない闇が目には不愉快な影響をもたらしていました。
The air was full of the throb and hum of machinery pumping air down the shaft.	空気は縦穴に空気を取り込んでいる機械の脈動と騒音でいっぱいでした。
`I do not know how long I lay.	どれだけ横たわっていたのかはわかりません。
I was roused by a soft hand touching my face.	柔らかい手が顔を触っているので気がつきました。
Starting up in the darkness I snatched at my matches and, hastily striking one,	闇の中でガバッと身を起こし、マッチをつかんであわてて一本擦りました。
I saw three stooping white creatures similar to the one I had seen above ground in the ruin, hastily retreating before the light.	すると地上の廃墟の中で見たのと似た、よたよたした白い生き物が三匹、光の前にあわてて退却するところが見えました。
Living, as they did, in what appeared to me impenetrable darkness, their eyes were abnormally large and sensitive,	かれらのように、わたしには何も見えない暗闇としか思えない中で暮らしているかれらの目は、異常に大きくて敏感でした。
just as are the pupils of the abysmal fishes, and they reflected the light in the same way.	まるで闇の中の魚の瞳孔と同じで、そして同じように光を反射するのです。
I have no doubt they could see me in that rayless obscurity,	あの光なき闇の中でも、やつらにはわたしが見えるのはまちがいありません。
and they did not seem to have any fear of me apart from the light.	そして光を除けば、かれらはまるでわたしを恐れていないようです。
