ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
"'What would be the hours?'	『時間はどうなってますんで？』
"'Ten to two.'	『十時から二時です。』
"Now a pawnbroker's business is mostly done of an evening, Mr. Holmes, especially Thursday and Friday evening, which is just before pay-day;	ところで質屋の商いってのはほとんど晩方でしてね、ホームズさん、特に木曜日と金曜日の晩、ちょうど給料日の前なんでね。
so it would suit me very well to earn a little in the mornings.	だから午前中に少し稼ぐってのは私には実に好都合なんです。
Besides, I knew that my assistant was a good man, and that he would see to anything that turned up.	その上店員は優秀で、何があっても任せられますんでねえ。
"'That would suit me very well,'	『それは実に好都合です』
said I.	と私は言いました。
'And the pay?'	『それで給料は？』
"'Is 4 pounds a week.'	『週四ポンドです。』
"'And the work?'	『それで仕事は？』
"'Is purely nominal.'	『単に名目上のものです。』
"'What do you call purely nominal?'	『単に名目上とはどんなものを言うんでしょう？』
"'Well, you have to be in the office, or at least in the building, the whole time.	『そうですね、あなたは事務所の中にいなければなりません、少なくとも建物の中に、その間ずっとですよ。
If you leave, you forfeit your whole position forever.	もし離れたら、あなたは地位すべてを、永久に失います。
The will is very clear upon that point.	遺言書もその点非常にはっきりしています。
You don't comply with the conditions if you budge from the office during that time.'	時間中に事務所から動くということは条件に従わないということです。』
"'It's only four hours a day, and I should not think of leaving,'	『一日にわずか四時間です、離れるなんて思いもしません。』
"'No excuse will avail,'	『言い訳は通りませんよ』
said Mr. Duncan Ross;	とダンカン・ロス氏は言いました。
'neither sickness nor business nor anything else.	『病気だろうが用事だろうが何事であろうが。
There you must stay, or you lose your billet.'	そこにいなくてはいけません、さもないとあなたは口を失います。』
"'And the work?'	『それで仕事は？』
"'Is to copy out the "Encyclopaedia Britannica."	『大英百科事典をそっくり写すことです。
There is the first volume of it in that press.	第一巻がその棚にあります。
You must find your own ink, pens, and blotting-paper, but we provide this table and chair.	インクとペンと吸い取り紙は自分で手に入れていただきますが、テーブルと椅子はこちらで提供します。
Will you be ready to-morrow?'	明日からでもできますか？』
"'Certainly,'	『承知しました』
I answered.	と私は答えました。
"'Then, good-bye, Mr. Jabez Wilson, and let me congratulate you once more on the important position which you have been fortunate enough to gain.'	『ではさようなら、ジェイベズ・ウィルソンさん、貴重な地位を獲得された幸運にもう一度お祝いを言わせてください。』
He bowed me out of the room and I went home with my assistant, hardly knowing what to say or do,	あの人はお辞儀をして私を部屋から送り出し、私は何を言ったら、何をしたらいいのかわからないまま、連れと一緒に家へ帰りました。
I was so pleased at my own good fortune.	それほど自分の幸運が嬉しかったんです。
"Well, I thought over the matter all day, and by evening I was in low spirits again;	さて、私はその日一日つくづくそのことを考えて、夕方にはまた意気消沈です。
for I had quite persuaded myself that the whole affair must be some great hoax or fraud,	私はね、あの出来事は全部、何かひどいいたずらかペテンにちがいない、とすっかり確信したんです。
though what its object might be I could not imagine.	もっともその目的が何かは想像もつきませんでしたが。
It seemed altogether past belief that anyone could make such a will, or that they would pay such a sum for doing anything so simple as copying out the 'Encyclopaedia Britannica.'	誰かがそんな遺言をするとか、大英百科事典をそっくり写すなんていう簡単なことをやらせてそんな金額を払う連中がいるとか、まるっきり信じられないような気がしたんです。
Vincent Spaulding did what he could to cheer me up, but by bedtime I had reasoned myself out of the whole thing.	ヴィンセント・スポールディングはできるだけ私を励ましてくれましたが、寝る時間までには私は自分に言い聞かせてそんなことは全部やめにしました。
However, in the morning I determined to have a look at it anyhow, so I bought a penny bottle of ink, and with a quill-pen, and seven sheets of foolscap paper, I started off for Pope's Court.	しかし朝になって私はとにかくちょっと見てみようと決心し、一ペニーのインク瓶、羽ペン、フールスキャップ紙を七枚買って、ポープス・コートへ出かけました。
"Well, to my surprise and delight, everything was as right as possible.	さて、嬉しい驚きでしたが、すべてはまったく申し分なしでした。
The table was set out ready for me, and Mr. Duncan Ross was there to see that I got fairly to work.	テーブルは私を待って並べてあるし、ダンカン・ロス氏も私がちゃんと仕事を始めるか見にきてました。
He started me off upon the letter A, and then he left me;	私にＡの文字から始めさせ、それから出て行きました。
but he would drop in from time to time to see that all was right with me.	が、時々ひょっこりのぞいては私がちゃんとやってるか確かめました。
At two o'clock he bade me good-day, complimented me upon the amount that I had written, and locked the door of the office after me.	二時にあの人は私にさよならを言いにきて、私の書き終えた量をほめ、私の後から事務所のドアに鍵をかけました。
"This went on day after day, Mr. Holmes, and on Saturday the manager came in and planked down four golden sovereigns for my week's work.	これが毎日毎日続きましてね、ホームズさん、土曜日には支部長が来て一週間の仕事に対してソブリン金貨四枚を支払いました。
It was the same next week, and the same the week after.	次の週も同じ、その翌週も同じでした。
Every morning I was there at ten, and every afternoon I left at two.	毎朝私は十時にそこに行って、毎日午後二時に帰りました。
By degrees Mr. Duncan Ross took to coming in only once of a morning, and then, after a time, he did not come in at all.	次第にダンカン・ロス氏は朝一度だけ来るようになり、それからしばらくするともうまったく来ませんでした。
Still, of course, I never dared to leave the room for an instant,	それでももちろん、私は一瞬だって部屋を離れる気になんかなりませんでした。
for I was not sure when he might come, and the billet was such a good one, and suited me so well, that I would not risk the loss of it.	あの人がいつ来るかわかりませんし、仕事は実に結構だし、私にぴったりですから、それを失うようなことはするもんじゃありません。
"Eight weeks passed away like this, and I had written about Abbots and Archery and Armour and Architecture and Attica, and hoped with diligence that I might get on to the B's before very long.	こんなふうに八週間が過ぎ、私はAbbots、Archery、Armour、Architecture、Atticaと書き終え、励めば近いうちにＢのところに進めると思いました。
It cost me something in foolscap, and I had pretty nearly filled a shelf with my writings.	フールスキャップ紙にはそこそこかかってますし、私の書いたもので棚が一段、ほとんどもういっぱいになっていました。
And then suddenly the whole business came to an end."	そこで突然、それが全部終わりになりました。」
"To an end?"	「終わりに？」
"Yes, sir.	「ええ、ええ。
And no later than this morning.	今朝までにね。
I went to my work as usual at ten o'clock, but the door was shut and locked, with a little square of cardboard hammered on to the middle of the panel with a tack.	いつものように十時に仕事先に行きましたが、ドアが閉まって鍵がかかってまして、小さな四角いボール紙がドアの板の真ん中にびょうで打ち付けてありました。
Here it is, and you can read for yourself."	これですが、読んでみてくださいよ。」
He held up a piece of white cardboard about the size of a sheet of note-paper.	彼は便箋一枚ぐらいの大きさの白い厚紙を掲げた。
It read in this fashion:	それにはこんなふうに書かれていた。
THE RED-HEADED LEAGUE DISSOLVED.	赤毛連盟は解散
October 9, 1890.	1890年10月9日
Sherlock Holmes and I surveyed this curt announcement and the rueful face behind it, until the comical side of the affair so completely overtopped every other consideration that we both burst out into a roar of laughter.	シャーロック・ホームズと私はこのそっけない告知とその後ろの無念そうな顔を見ているうちに、出来事のこっけいな面が完全にほかの問題すべてを圧倒し、二人そろって大声で笑い出してしまった。
"I cannot see that there is anything very funny,"	「何がそんなにおかしいんだかわかりませんね」
cried our client, flushing up to the roots of his flaming head.	と、依頼人は燃え立つ髪の根元まで赤くなって叫んだ。
"If you can do nothing better than laugh at me, I can go elsewhere."	「私を笑いものにするほかできないんだったら、よそへ行ってもいいんです。」
"No, no,"	「いえ、いえ」
cried Holmes, shoving him back into the chair from which he had half risen.	とホームズは、立ち上がりかけた客を椅子に押し戻しながら叫んだ。
"I really wouldn't miss your case for the world.	「実際あなたの事件は何としても逃すつもりはありません。
It is most refreshingly unusual.	実に目新しい珍事件です。
But there is, if you will excuse my saying so, something just a little funny about it.	しかしですね、言わせていただくなら、何かほんのちょっとおかしなところがありますね。
Pray what steps did you take when you found the card upon the door?"	どうぞ、ドアにカードを発見してあなたは何をしましたか？」
"I was staggered, sir.	「私はぼう然としました。
I did not know what to do.	何をしていいのかわかりませんでしたよ。
Then I called at the offices round, but none of them seemed to know anything about it.	それから私は事務所を訪ね回ったんですが、そのことを何か知っているところは一つもないようでした。
Finally, I went to the landlord, who is an accountant living on the ground-floor, and I asked him if he could tell me what had become of the Red-headed League.	最後に私は一階に住んで会計士をやっている家主のところへ行き、赤毛連盟がどうなったのか知っているかと尋ねました。
He said that he had never heard of any such body.	そんなものは一度も聞いたことがないと言われましてね。
Then I asked him who Mr. Duncan Ross was.	そこで私はダンカン・ロスさんってのは何者か訊きました。
He answered that the name was new to him.	初めて聞く名前だという答えでした。
"'Well,'	『ほらあの、』
said I,	私は言いました。
'the gentleman at No. 4.'	『四号室の人。』
"'What, the red-headed man?'	『え、赤い髪の人？』
"'Yes.'	『そうです。』
"'Oh,'	『ああ、』
said he,	家主は言いました、
'his name was William Morris.	『あの人ならウィリアム・モリスって言うんですよ。
He was a solicitor and was using my room as a temporary convenience until his new premises were ready.	弁護士で、新しい家屋が整うまで、便宜上一時的にうちの部屋を使っていたんですよ。』
"'Where could I find him?'	『どこへ行けば会えますかね？』
"'Oh, at his new offices.	『ああ、新しい事務所ですよ。
He did tell me the address.	住所を言っていきました。
Yes, 17 King Edward Street, near St. Paul's.'	ええ、キング・エドワード街17、セントポール大聖堂の近くです。』
"I started off, Mr. Holmes, but when I got to that address it was a manufactory of artificial knee-caps, and no one in it had ever heard of either Mr. William Morris or Mr. Duncan Ross."	私は出かけましたがね、ホームズさん、その住所に着いてみるとそこは膝当ての工場で、ウィリアム・モリス氏にしろ、ダンカン・ロス氏にしろ、誰も知りませんでした。」
"And what did you do then?"	「それで、それからどうしました？」
asked Holmes.	とホームズが尋ねた。
"I went home to Saxe-Coburg Square, and I took the advice of my assistant.	「サクス−コバーグスクエアの家に帰り、スポールディングの助言を聞きました。
But he could not help me in any way.	しかしちっとも役に立ちませんでしたよ。
He could only say that if I waited I should hear by post.	待ってりゃ郵便で言ってくるだろうって言うばかりで。
But that was not quite good enough, Mr. Holmes.	でもそれではあまりおもしろくないんですよ、ホームズさん。
I did not wish to lose such a place without a struggle, so, as I had heard that you were good enough to give advice to poor folk who were in need of it, I came right away to you."	こんな身分を何もせずに失いたくありませんでした、で、あなたがね、貧乏人でも困っていたら親切に助言してくれるって聞いていたもんで、まっすぐにこちらへ来たってわけです。」
"And you did very wisely,"	「それは非常に賢明でした」
said Holmes.	とホームズは言った。
"Your case is an exceedingly remarkable one, and I shall be happy to look into it.	「これはきわめて珍しい事件ですし、喜んで調査しましょう。
From what you have told me I think that it is possible that graver issues hang from it than might at first sight appear."	あなたの話からすると、一見して思うよりも重大な問題がぶら下がってそうな気がします。」
"Grave enough!"	「重大ですとも！」
said Mr. Jabez Wilson.	とジェイベズ・ウィルソン氏は言った。
"Why, I have lost four pound a week."	「私は週四ポンドを失っちまったんですよ。」
"As far as you are personally concerned,"	「あなた個人についていえば、」
remarked Holmes,	ホームズは言った、
"I do not see that you have any grievance against this extraordinary league.	「この異常な団体に何ら不満はないものと思いますが。
On the contrary, you are, as I understand, richer by some 30 pounds, to say nothing of the minute knowledge which you have gained on every subject which comes under the letter A.	それどころかあなたは、僕の理解するところ、三十ポンドほど豊かになったし、それに詳細な知識を文字Ａの項に記述されている事柄すべてにおいて得たことは言うまでもありません。
You have lost nothing by them."	それであなたが失ったものは何もありません。」
"No, sir.	「ええ。
But I want to find out about them, and who they are, and what their object was in playing this prank--if it was a prank--upon me.	ですがね、私は知りたいんですよ、連中のことを、連中が何者で、私にこんないたずらを−−もしいたずらなら−−をする連中の目的は何なのかを。
It was a pretty expensive joke for them, for it cost them two and thirty pounds."	だいぶ金のかかる悪ふざけでしたがね、なにしろ三十二ポンドかかったんですからね。」
"We shall endeavour to clear up these points for you.	「あなたのためにそれらの点を解明するよう努力しましょう。
And, first, one or two questions, Mr. Wilson.	それと、まず一つ、二つ質問を、ウィルソンさん。
This assistant of yours who first called your attention to the advertisement--how long had he been with you?"	あなたのとこのその店員ですがね、最初にあなたの注意を広告に向けさせた−−どのくらいお宅にいたんですか？」
"About a month then."	「あれが約ひと月たった頃です。」
"How did he come?"	「どうしてお宅へ？」
"In answer to an advertisement."	「広告に応じて。」
"Was he the only applicant?"	「応募したのは一人だけですか？」
"No, I had a dozen."	「いえ、十人以上でした。」
"Why did you pick him?"	「なぜ彼を選びました？」
"Because he was handy and would come cheap."	「使いやすいし、安く来るもんで。」
"At half-wages, in fact."	「事実、半分の賃金でね。」
"Yes."	「そうです。」
"What is he like, this Vincent Spaulding?"	「どんな男ですか、そのヴィンセント・スポールディングは？」
"Small, stout-built, very quick in his ways, no hair on his face, though he's not short of thirty.	「小柄で、丈夫な体格で、やることは非常に敏捷で、三十はいってるのに顔にひげはありません。
Has a white splash of acid upon his forehead."	額に酸がはねて白くなったところがあります。」
Holmes sat up in his chair in considerable excitement.	ホームズはかなり興奮して椅子の上で座り直した。
"I thought as much,"	「そうだろうと思った」
said he.	と彼は言った。
"Have you ever observed that his ears are pierced for earrings?"	「耳にイヤリングのための穴があいているのに気づきませんでしたか？」
"Yes, sir.	「知ってます。
He told me that a gipsy had done it for him when he was a lad."	子供の頃ジプシーがやってくれたと言ってましたが。」
"Hum!"	「フム！」
said Holmes, sinking back in deep thought.	とホームズは言い、深い物思いに沈み込んでしまった。
"He is still with you?"	「その男はまだお宅にいますね？」
"Oh, yes, sir;	「ああ、ええ。
I have only just left him."	たった今置いてきたところです。」
"And has your business been attended to in your absence?"	「あなたのいない間も商売に精を出していましたか？」
"Nothing to complain of, sir.	「何の文句もありません。
There's never very much to do of a morning."	午前中はあまりすることのあったためしがないですし。」
"That will do, Mr. Wilson.	「結構です、ウィルソンさん。
I shall be happy to give you an opinion upon the subject in the course of a day or two.	ぜひ一日、二日のうちにこの問題について意見を差し上げましょう。
To-day is Saturday, and I hope that by Monday we may come to a conclusion."	今日は土曜日、月曜日には結論を出したいですね。」
"Well, Watson,"	「さて、ワトソン、」
said Holmes when our visitor had left us,	客が立ち去るとホームズが言った、
"what do you make of it all?"	「これをいったいどう思う？」
"I make nothing of it,"	「さっぱりわからないよ」
I answered frankly.	と私は率直に答えた。
"It is a most mysterious business."	「実に不可解なことだね。」
"As a rule,"	「一般に、」
said Holmes,	ホームズは言った、
"the more bizarre a thing is the less mysterious it proves to be.	「異様なことほど、結局はそれほど不可解ではなかったことがわかるものだ。
It is your commonplace, featureless crimes which are really puzzling,	本当に難しいのは平凡な、特色のない犯罪だ。
just as a commonplace face is the most difficult to identify.	ちょうど平凡な顔が最も見分けにくいのと同じようにね。
But I must be prompt over this matter."	しかしこの件は迅速にやらなければなるまい。」
"What are you going to do, then?"	「それで何をするつもりだね？」
I asked.	と私は尋ねた。
"To smoke,"	「煙草を吸うんだ」
he answered.	と彼は答えた。
"It is quite a three pipe problem, and I beg that you won't speak to me for fifty minutes."	「まずはパイプ三服の問題だから、五十分間僕に話しかけないように頼むよ。」
He curled himself up in his chair, with his thin knees drawn up to his hawk-like nose, and there he sat with his eyes closed and his black clay pipe thrusting out like the bill of some strange bird.	彼は椅子の上で丸くなり、やせた膝を鷹のような鼻のところまで引き上げ、目を閉じ、陶製の黒いパイプを奇妙な何か鳥のくちばしのように突き出して座っていた。
I had come to the conclusion that he had dropped asleep, and indeed was nodding myself, when he suddenly sprang out of his chair with the gesture of a man who has made up his mind and put his pipe down upon the mantelpiece.	私がうとうとしながら、彼も寝入ってしまったと思い込んだ時、彼は突然、決断がついたというしぐさで椅子からパッと立ち上がり、パイプをマントルピースの上に置いた。
"Sarasate plays at the St. James's Hall this afternoon,"	「セントジェイムズホールで午後、サラサーテの演奏があるんだ」
he remarked.	と彼は言った。
"What do you think, Watson?	「どうかな、ワトソン？
Could your patients spare you for a few hours?"	君の患者は数時間君がいなくても大丈夫かな？」
"I have nothing to do to-day.	「今日は暇だよ。
My practice is never very absorbing."	患者に忙殺されることなどないんだ。」
"Then put on your hat and come.	「では帽子をかぶって来たまえ。
I am going through the City first, and we can have some lunch on the way.	まずはシティーを通るから、途中で昼食にしてもいいね。
I observe that there is a good deal of German music on the programme,	ドイツ音楽が豊富なプログラムだよ。
which is rather more to my taste than Italian or French.	イタリアやフランスのよりも僕の好みに合うんだ。
It is introspective, and I want to introspect.	内省的だし、僕は内省したいんだ。
Come along!"	行こう！」
We travelled by the Underground as far as Aldersgate; and a short walk took us to Saxe-Coburg Square, the scene of the singular story which we had listened to in the morning.	私たちはアルダスゲイトまで地下鉄で行き、少し歩くと、その朝聞いた奇妙な物語の現場、サクス−コバーグスクエアに着いた。
It was a poky, little, shabby-genteel place, where four lines of dingy two-storied brick houses looked out into a small railed-in enclosure, where a lawn of weedy grass and a few clumps of faded laurel-bushes made a hard fight against a smoke-laden and uncongenial atmosphere.	それはちっぽけな斜陽の地であり、二階建ての薄汚いレンガ造りの家々が四方から柵に囲まれた小さな空き地に面し、そこでは雑草だらけの芝生といくつかのしおれた月桂樹の茂みが煙漂う居心地の悪い大気に悪戦苦闘していた。
Three gilt balls and a brown board with "JABEZ WILSON" in white letters, upon a corner house, announced the place where our red-headed client carried on his business.	角の家の三つの金色の球と茶色の板に白い文字の『ジェイベズ・ウィルソン』とが私たちの赤い髪の依頼人が店を経営している場所を知らせていた。
Sherlock Holmes stopped in front of it with his head on one side and looked it all over, with his eyes shining brightly between puckered lids.	シャーロック・ホームズはその前に立ち止まり、首をかしげ、すぼめたまぶたの間の目をきらきらと輝かせ、その全体をざっと見渡した。
Then he walked slowly up the street, and then down again to the corner, still looking keenly at the houses.	それから彼は、家並みを鋭い目で見つめながら、ゆっくりと通りを行ったり、そしてまた角まで来たり、と歩いた。
Finally he returned to the pawnbroker's, and, having thumped vigorously upon the pavement with his stick two or three times, he went up to the door and knocked.	最後に彼は質屋の店に戻り、ステッキで二、三度、力強く歩道を叩き、ドアに近寄り、ノックした。
It was instantly opened by a bright-looking, clean-shaven young fellow, who asked him to step in.	すぐにドアは開き、快活そうな、ひげのない若者がお入りくださいと言った。
"Thank you,"	「ありがとう、」
said Holmes,	ホームズは言った、
"I only wished to ask you how you would go from here to the Strand."	「ここからストランドへはどう行けばいいのか聞きたいだけなんですが。」
"Third right, fourth left,"	「三つ目を右、四つ目を左」
answered the assistant promptly, closing the door.	と店員は、ドアを閉めながら即座に答えた。
"Smart fellow, that,"	「頭のいい奴だ、あれは」
observed Holmes as we walked away.	と、店から離れ、ホームズは言った。
"He is, in my judgment, the fourth smartest man in London, and for daring I am not sure that he has not a claim to be third.	「僕の考えではロンドンで四番目に頭のいい男であり、大胆不敵さにおいては第三位の資格もないとは言えないな。
I have known something of him before."	僕は前からちょっと知ってるんだ。」
"Evidently,"	「明らかに、」
said I,	私は言った、
"Mr. Wilson's assistant counts for a good deal in this mystery of the Red-headed League.	「ウィルソン氏の店員はこの赤毛連盟の謎にかなり重要な意味を持っているね。
I am sure that you inquired your way merely in order that you might see him."	単にあの男を見たいがために道を尋ねたんだね。」
"Not him."	「あの男をではない。」
"What then?"	「では何を？」
"The knees of his trousers."	「あの男のズボンの膝だ。」
"And what did you see?"	「それで何を見たんだ？」
"What I expected to see."	「予期していたものを。」
"Why did you beat the pavement?"	「歩道を叩いたのはなぜだね？」
"My dear doctor, this is a time for observation, not for talk.	「ねえ博士、今は観察の時であって議論の時ではない。
We are spies in an enemy's country.	僕たちは敵国にいるスパイだ。
We know something of Saxe-Coburg Square.	サクス−コバーグスクエアについてはちょっとわかった。
Let us now explore the parts which lie behind it."	今度はその裏の地域を探検しようじゃないか。」
The road in which we found ourselves as we turned round the corner from the retired Saxe-Coburg Square presented as great a contrast to it as the front of a picture does to the back.	角を曲がると、後にしたサクス−コバーグスクエアとは絵画の裏と表ほどの著しい対照をなす道路に出た。
It was one of the main arteries which conveyed the traffic of the City to the north and west.	そこは北と西へのシティーの交通を担う大動脈の一つであった。
The roadway was blocked with the immense stream of commerce flowing in a double tide inward and outward, while the footpaths were black with the hurrying swarm of pedestrians.	車道は流れ込み、流れ出る通商の二対の潮の巨大な流れにふさがれ、歩道は急ぎ歩く人々の群れで真っ黒だった。
It was difficult to realise as we looked at the line of fine shops and stately business premises that they really abutted on the other side upon the faded and stagnant square which we had just quitted.	立ち並ぶ立派な店や堂々たる事務所を目の当たりにしながら、その裏側に実際に隣接しているところが、たった今出てきた、衰退し、活気のない一角であるとは本当にしにくいものがあった。
"Let me see,"	「さてと、」
said Holmes, standing at the corner and glancing along the line,	ホームズは角に立ち、家並みに沿って見渡しながら言った、
"I should like just to remember the order of the houses here.	「ちょっとここの建物の順序を覚えておきたいんだ。
It is a hobby of mine to have an exact knowledge of London.	ロンドンを正確に知ることは僕の趣味だからね。
There is Mortimer's, the tobacconist, the little newspaper shop, the Coburg branch of the City and Suburban Bank, the Vegetarian Restaurant, and McFarlane's carriage-building depot.	モーティマーの店、煙草屋、小さな新聞屋、シティーアンドサバーバン銀行コバーグ支店、ベジタリアンレストラン、マクファーレン馬車製造の倉庫。
That carries us right on to the other block.	それで別のブロックになる。
And now, Doctor, we've done our work, so it's time we had some play.	さあ、博士、僕たちは仕事を終えたのだから、もう遊んでもいい時間だ。
A sandwich and a cup of coffee, and then off to violin-land,	サンドイッチとコーヒー、それからバイオリンの世界へ出発だ。
where all is sweetness and delicacy and harmony, and there are no red-headed clients to vex us with their conundrums."	甘美と上品とハーモニーの世界には判じ物で僕たちを悩ませる赤毛の依頼人もいないよ。」
My friend was an enthusiastic musician, being himself not only a very capable performer but a composer of no ordinary merit.	友は音楽にも熱中していて、彼自身、きわめて優れた演奏家であるばかりでなく非凡な作曲家でもあった。
All the afternoon he sat in the stalls wrapped in the most perfect happiness, gently waving his long, thin fingers in time to the music, while his gently smiling face and his languid, dreamy eyes were as unlike those of Holmes the sleuth-hound, Holmes the relentless, keen-witted, ready-handed criminal agent, as it was possible to conceive.	その午後を通して彼はこれ以上はない幸せに包まれて一等席に座り、細く、長い指を音楽に合わせて優しく揺らし、その優しく微笑んだ顔や気だるい、夢見るような目は探偵ホームズ、容赦ない、頭の切れる、迅速な犯罪捜査官ホームズのそれとは想像も及ばぬほど違っていた。
In his singular character the dual nature alternately asserted itself, and his extreme exactness and astuteness represented, as I have often thought, the reaction against the poetic and contemplative mood which occasionally predominated in him.	彼の奇妙な性格においては二つの性質が交互に自己主張し、その極端な厳正さ、明敏さは時折彼のうちで優位を占める詩的、瞑想的気分に対する反動を表している、と私はよく考えたものだ。
The swing of his nature took him from extreme languor to devouring energy;	性質の振幅が彼を極端な気だるさから猛烈な活動へと導くのだ。
and, as I knew well, he was never so truly formidable as when, for days on end, he had been lounging in his armchair amid his improvisations and his black-letter editions.	そして、私にはよくわかっているが、何日も続けて肘掛け椅子に横になり、即興演奏やゴシック版に浸っている時の彼ほど恐るべきものはなかったのである。
Then it was that the lust of the chase would suddenly come upon him, and that his brilliant reasoning power would rise to the level of intuition, until those who were unacquainted with his methods would look askance at him as on a man whose knowledge was not that of other mortals.	その時こそ追跡の欲望が不意に彼を襲い、彼の目覚しい推理能力が直感のレベルまで高まり、ついには彼の方法をよく知らない者などは普通の人間が誰も持ち得ない知識を持つ人として彼を不審の目で見ることになるのだった。
When I saw him that afternoon so enwrapped in the music at St. James's Hall I felt that an evil time might be coming upon those whom he had set himself to hunt down.	その午後、セントジェイムズホールですっかり音楽に夢中になっているホームズを見た私は、彼が追いつめにかかっている連中に不吉な時が近づいているのを感じた。
"You want to go home, no doubt, Doctor,"	「君は家に帰りたいだろうね、博士」
he remarked as we emerged.	と外に出た時彼が言った。
"Yes, it would be as well."	「ああ、その方がいい。」
"And I have some business to do which will take some hours.	「それに僕もやることがあって数時間かかりそうだ。
This business at Coburg Square is serious."	このコバーグスクエアの事件は重大だよ。」
"Why serious?"	「重大とはなぜだね？」
"A considerable crime is in contemplation.	「相当の犯罪が計画中なんだ。
I have every reason to believe that we shall be in time to stop it.	間に合ってそれを止められると信じるだけの根拠は十分にある。
But to-day being Saturday rather complicates matters.	だが今日が土曜日だということがちょっと事を面倒にしているんだ。
I shall want your help to-night."	今夜は君の助けが必要になる。」
"At what time?"	「何時に？」
"Ten will be early enough."	「十時で充分間に合うだろう。」
"I shall be at Baker Street at ten."	「十時にベーカー街に行くよ。」
"Very well.	「結構。
And, I say, Doctor, there may be some little danger, so kindly put your army revolver in your pocket."	それからね、博士、ちょっと危険なことがあるかもしれないから、軍用のリボルバーをポケットに入れておいてくれ。」
He waved his hand, turned on his heel, and disappeared in an instant among the crowd.	彼は手を振り、さっと向きを変え、たちまち人ごみの中へ姿を消した。
I trust that I am not more dense than my neighbours, but I was always oppressed with a sense of my own stupidity in my dealings with Sherlock Holmes.	私は自分が周りの人間より鈍いとは思っていないが、シャーロック・ホームズと付き合っていると、自分が愚かだと感じていつも悲しくなる。
Here I had heard what he had heard, I had seen what he had seen, and yet from his words it was evident that he saw clearly not only what had happened but what was about to happen, while to me the whole business was still confused and grotesque.	この際、彼が聞いたことは私も聞いていたし、彼が見たことは私も見ていたのに、彼の言葉からすると、明らかに彼が何が起こったか、だけではなく、何が起ころうとしているか、もはっきりわかっているのに対して、私には事件全体がわけのわからぬばかげたもののままだった。
As I drove home to my house in Kensington I thought over it all, from the extraordinary story of the red-headed copier of the "Encyclopaedia" down to the visit to Saxe-Coburg Square, and the ominous words with which he had parted from me.	馬車でケンジントンの家へ向かいながら私は、百科事典を複写する赤い髪の人の異常な物語から始まって、サクス−コバーグスクエアへの訪問、そして別れ際の彼の不穏な言葉に至るまで、すべてを熟考した。
What was this nocturnal expedition, and why should I go armed?o	この夜の遠征はなんなのか、なぜ私は武装しなければならないのか？
Where were we going, and what were we to do?	どこへ行こうとし、何をしようとしているのか？
I had the hint from Holmes that this smooth-faced pawnbroker's assistant was a formidable man--a man who might play a deep game.	ホームズは、あの顔にひげのない質屋の店員は恐るべき男−−深いたくらみを図りうる男だとほのめかした。
I tried to puzzle it out, but gave it up in despair and set the matter aside until night should bring an explanation.	私はその謎を解こうとしたが、あきらめて投げ出し、問題を棚上げにし、説明のもたらされる夜を待った。
It was a quarter-past nine when I started from home and made my way across the Park, and so through Oxford Street to Baker Street.	九時十五分に私は家を出、ハイドパークを横切り、オックスフォード街を通ってベーカー街へ行った。
Two hansoms were standing at the door, and as I entered the passage I heard the sound of voices from above.	二台のハンサムが玄関に止まっていて、廊下へ通ると、上から人声が聞こえた。
On entering his room I found Holmes in animated conversation with two men,	部屋に入ってみると、ホームズは二人の男と活発に話を交わしていた。
one of whom I recognised as Peter Jones, the official police agent, while the other was a long, thin, sad-faced man, with a every shiny hat and oppressively respectable frock-coat.	一人は警察官のピーター・ジョーンズとわかったが、もう一人は長く、細い、陰気な顔の男で、ぴかぴかの帽子と息も詰まるほどきちんとしたフロックコートを着けていた。
"Ha!	「やあ！
Our party is complete,"	僕たちの部隊は完成だ」
said Holmes, buttoning up his pea-jacket and taking his heavy hunting crop from the rack.	と言いながら、ホームズはピージャケットのボタンをかけ、棚から重い狩猟用の鞭を取った。
"Watson, I think you know Mr. Jones, of Scotland Yard?	「ワトソン、スコットランドヤードのジョーンズ君は知っているね？
Let me introduce you to Mr. Merryweather, who is to be our companion in to-night's adventure."	こちらはメリーウェザーさんと言って、今夜の冒険で僕たちの仲間になっていただく人だ。」
"We're hunting in couples again, Doctor, you see,"	「また二人一組で狩りですね、先生」
said Jones in his consequential way.	とジョーンズはいつものもったいぶった言い方をした。
"Our friend here is a wonderful man for starting a chase.	「こちらの我々の友人は獲物を狩り出すことにかけては驚くべき人ですからね。
All he wants is an old dog to help him to do the running down."	あと必要なのは追い詰めるのを助ける老練な犬だけですよ。」
"I hope a wild goose may not prove to be the end of our chase,"	「狙った獲物はガチョウ一羽だったということにならないよう願いたいですな」
observed Mr. Merryweather gloomily.	とメリー・ウェザー氏が陰気に言った。
"You may place considerable confidence in Mr. Holmes, sir,"	「ホームズさんのことは相当に信用してかまいません」
said the police agent loftily.	と警察官は高慢ちきに言った。
