Discourse on the Method of Rightly Conducting the Reason, and Seeking the Truth in the Sciences	もろもろの学問分野で、正しく理詰めで真理を探究するための方法についての考察
without taking into consideration for this end anything but God himself who has created it, and without educing them from any other source than from certain germs of truths naturally existing in our minds	この目的のためには、それを創り出した神自身以外はなにも考えず、そしてそれを導き出すにあたっては、われわれの精神の中に自然に存在している、真理の宝石以外には何の源も使わない。
In the second place, I examined what were the first and most ordinary effects that could be deduced from these causes;	二番目には、こうした原因から真っ先に導き出せる、いちばんふつうの結果が何かを検討した。
and it appears to me that, in this way, I have found heavens, stars, an earth, and even on the earth water, air, fire, minerals, and some other things of this kind, which of all others are the most common and simple, and hence the easiest to know.	そしてどうやらこうすることで、万物の中でいちばんあり不売れていて単純で、したがって一番わかりやすいものである、天や星、地球、そして地上の水や空気、火、好物といったようなものを見つけることができた。
Afterwards when I wished to descend to the more particular, so many diverse objects presented themselves to me, that I believed it to be impossible for the human mind to distinguish the forms or species of bodies that are upon the earth, from an infinity of others which might have been, if it had pleased God to place them there, or consequently to apply them to our use,	その後、もっと個別のものに降りていこうとしたら、すさまじく多様な対象が出てきてしまい、だから人間の精神が、地上に存在する形態や存在の種類を、神さえそれをよしとしたなら存在し得たかもしれない無数のものから区別したり、さらにそれを活用したりするのは、そのままでは不可能だと思えた。
unless we rise to causes through their effects, and avail ourselves of many particular experiments.	それをやるには、結果を通じて原因にまでさかのぼり、個別の実験をいろいろやらなくてはならない。
Thereupon, turning over in my mind I the objects that had ever been presented to my senses I freely venture to state that I have never observed any which I could not satisfactorily explain by the principles had discovered.	そこから、頭の中でわたしの感覚の前に一度でも現れた物体を転がしつつ、わたしは自分の発見した原理に基づいて満足のいく説明できないようなものには、一つとしてお目にかかったことがないと敢えて断言しよう。
But it is necessary also to confess that the power of nature is so ample and vast, and these principles so simple and general, that I have hardly observed a single particular effect which I cannot at once recognize as capable of being deduced in man different modes from the principles, and that my greatest difficulty usually is to discover in which of these modes the effect is dependent upon them;	でも一方では、自然の力は実に広大で多様であり、こうした原理のほうはとても単純かつ一般的なので、どの個別の結果をとっても、そうした原理からさまざまなちがった形で導き出せることがすぐに認識できてしまい、だからいちばんむずかしいのは、そのさまざまなやり方のうち、どの結果がどれに依存しているのかを発見することなのだ、ということは告白しておこう。
for out of this difficulty cannot otherwise extricate myself than by again seeking certain experiments,	この困難から逃れるためには、これまた各種の実験をしてみるしかない。
which may be such that their result is not the same, if it is in the one of these modes at we must explain it, as it would be if it were to be explained in the other.	実験をすれば、あの説明にしたがって出てくる結果の場合と、この説明にしたがって出てくる結果の場合とがちがっているようにできる。
As to what remains, I am now in a position to discern, as I think, with sufficient clearness what course must be taken to make the majority those experiments which may conduce to this end:	そして残ったものはというと、わたしはこの目的に資するような実験をどのように行うべきか、その大半を十分はっきりと見て取ることができるように思う。
but I perceive likewise that they are such and so numerous, that neither my hands nor my income, though it were a thousand times larger than it is, would be sufficient for them all;	でも同じくわたしは、そうした実験があまりに多種多様で、わたしの手も収入も、それがいまの千倍あったとしても、すべてやるわけにはいかないのも認識できる。
so that according as henceforward I shall have the means of making more or fewer experiments, I shall in the same proportion make greater or less progress in the knowledge of nature.	そして以上から、行う実験の多少と比例する形で、自然についての知識に関する進歩も増えたり減ったりすることになる。
This was what I had hoped to make known by the treatise I had written,	わたしが論文で知ってもらおうとしたのは、こういうことなのだ。
and so clearly to exhibit the advantage that would thence accrue to the public, as to induce all who have the common good of man at heart, that is, all who are virtuous in truth, and not merely in appearance, or according to opinion, as well to communicate to me the experiments they had already made, as to assist me in those that remain to be made.	そして、そうすることで一般に対して蓄積されるメリットをはっきりと示し、人類の共通の利益を大事にしている人々、つまりただの外見や意見にしたがうだけではなく、真理を美徳とする人々にも、かれらの行った実験をわたしに伝えて、まだ行っていない実験を行えるようわたしを助けてほしい、ということを伝えたかったのだ。
But since that time other reasons have occurred to me, by which I have been led to change my opinion,	でもそれからほかの考えが生まれて、そのためにわたしは自分の見解を変えることになった。
and to think that I ought indeed to go on committing to writing all the results which I deemed of any moment, as soon as I should have tested their truth, and to bestow the same care upon them as I would have done had it been my design to publish them.	あらゆる時点で、なにかの正しさを試験して確認したら、その結果をすべて記録しておいて、出版しようと思ったものと同じだけの注意を払うべきだと考えるようになったのだ。
This course commended itself to me, as well because I thus afforded myself more ample inducement to examine them thoroughly,	こういうことを思いついたのは、自分の考えについてもっと十分に検討を行うよう自らを則すという目的もあった。
for doubtless that is always more narrowly scrutinized which we believe will be read by many, than that which is written merely for our private use (and frequently what has seemed to me true when I first conceived it, has appeared false when I have set about committing it to writing), as because I thus lost no opportunity of advancing the interests of the public, as far as in me lay, and since thus likewise, if my writings possess any value, those into whose hands they may fall after my death may be able to put them to what use they deem proper.	自分一人で使うために書いただけのものに比べて、多数の人間に読まれると思ったものは、いつももっと厳しくチェックをするのはまちがいないところだし（そして、思いついたときには事実だと思えたことが、書いてみると実はまちがいだったということもよくあったので）、さらにそうすれば人類一般の利益を促進する機会を、自分に可能な限り追求する機会を失わずにすみ、そしてわたしの著作が多少なりとも価値があるなら、死後にだれかの手にわたったときにも、その人たちがそれを適切と考えるやり方で勝つようしてくれるだろうと思ったのだ。
But I resolved by no means to consent to their publication during my lifetime,	でも、いかなる理由があっても、存命中はそれらの出版に同意しまいと決意した。
lest either the oppositions or the controversies to which they might give rise, or even the reputation, such as it might be, which they would acquire for me, should be any occasion of my losing the time that I had set apart for my own improvement.	それが巻き起こしかねない反論や毀誉褒貶もあったし、その著作のおかげで、もし万が一、わたしが有名になったりしてしまったら、自分を向上させるためにとっておいた時間が失われてしまうと思ったからだ。
For though it be true that every one is bound to promote to the extent of his ability the good of others, and that to be useful to no one is really to be worthless, yet it is likewise true that our cares ought to extend beyond the present, and it is good to omit doing what might perhaps bring some profit to the living, when we have in view the accomplishment of other ends that will be of much greater advantage to posterity.	万人は、自分の力の限り、他人にとってよいことを行うようにつとめるべきだというのは事実ではあるし、だれにとっても便利な存在でないというのは、まさに無価値な人間になるということではあるけれど、でも一方ではわれわれの気づかいは現在だけにとどまるべきではないし、後世にとってずっと大きなメリットをもたらす何かを達成しようとしているなら、いま生きている人々に対してメリットのあることを多少は削るのもよいことだ、というのも真実だ。
And in truth, I am quite willing it should be known that the little I have hitherto learned is almost nothing in comparison with that of which I am ignorant, and to the knowledge of which I do not despair of being able to attain;	そしてわたしは、自分がこれまでに学んできたことは、まだ知らないことの量や、獲得できなくても仕方ないと思える知識の総量に比べれば、ほとんど無に等しいということも、是非とも知ってほしいと思う。
for it is much the same with those who gradually discover truth in the sciences, as with those who when growing rich find less difficulty in making great acquisitions, than they formerly experienced when poor in making acquisitions of much smaller amount.	というのも、学問でだんだん真理を発見していくのは、人がお金持ちになるにつれて、貧乏だった頃にはごく少額の買い物でも苦労したのが、高価な買い物でも大した苦労をしなくなるのと同じようなものだからだ。
Or they may be compared to the commanders of armies,	あるいは、軍の指揮官と比べてもいい。
whose forces usually increase in proportion to their victories,	その軍勢は、その勝利の数に比例して増大するのがふつうだ。
and who need greater prudence to keep together the residue of their troops after a defeat than after a victory to take towns and provinces.	そして町や地域を制圧するのに勝利した後よりは、敗北した後に部隊の残党をまとめておく時のほうが、大きな辛抱を強いられる。
For he truly engages in battle who endeavors to surmount all the difficulties and errors which prevent him from reaching the knowledge of truth,	というのも、その人は真理の知識に到達するのを阻害しているあらゆる困難やまちがいを乗り越えようと、まさに戦いを挑むことになるわけだ。
and he is overcome in fight who admits a false opinion touching a matter of any generality and importance,	そして一般性のある重要な事柄について、まちがった意見を認めてしまったら、戦いで敗北したのと同じだ。
and he requires thereafter much more skill to recover his former position than to make great advances when once in possession of thoroughly ascertained principles.	そこからかつての立場を回復するためには、完全に確実となった原理をいったんつかんで、そこから大きな進歩をとげるのに比べれば、ずっと多くの技能を必要とするようになるからだ。
As for myself, if I have succeeded in discovering any truths in the sciences (and I trust that what is contained in this volume 1 will show that I have found some), I can declare that they are but the consequences and results of five or six principal difficulties which I have surmounted,	わたしはといえば、わたしが学問において何らかの真理を発見しおおせたとするなら（そしてこの文に含まれている内容で、多少の真理が発見できたことは示せていると信じるが）、それはわたしが原理的な困難5つか6つを克服しおおせたことの帰結にして結果にすぎないと断言できる。
and my encounters with which I reckoned as battles in which victory declared for me.	そしてそういう困難との対決を戦闘と考えればわたしは勝利をおさめたわけだ。
I will not hesitate even to avow my belief that nothing further is wanting to enable me fully to realize my designs than to gain two or three similar victories;	さらには、わたしの計画を完全に実現するためには、同じような勝利をあと2、3個おさめれば十分だという信念を、ここでためらうことなく表明しよう。
and that I am not so far advanced in years but that, according to the ordinary course of nature, I may still have sufficient leisure for this end.	そしてわたしは、通常の寿命にしたがうならば、その目的を達成するのに十分なくらい余生がある年齢にしかなっていない。
But I conceive myself the more bound to husband the time that remains the greater my expectation of being able to employ it aright,	しかしわたしは、自分できちんと律することができるという期待が大きい時間を養うのに専心したいのだ。
and I should doubtless have much to rob me of it, were I to publish the principles of my physics:	そしてもしわたしが物理学の原理を刊行したら、そうした時間はまちがいなく大幅に奪われてしまうだろう。
for although they are almost all so evident that to assent to them no more is needed than simply to understand them, and although there is not one of them of which I do not expect to be able to give demonstration, yet, as it is impossible that they can be in accordance with all the diverse opinions of others, I foresee that I should frequently be turned aside from my grand design, on occasion of the opposition which they would be sure to awaken.	その原理はすべて実に自明なので、それを理解しさえすれば、それに同意できるはずだし、そのどれ一つとして、わたしに証明できないようなものはないはずだけれど、それが他人の多様な意見すべてと折り合うなどということは不可能なので、確実に起きるはずの反論が出てくるたびに、しょっちゅうわたしは自分の大計画から注意をそらされることになってしまうと予想されるからだ。
It may be said, that these oppositions would be useful both in making me aware of my errors,	こうした反論は、わたしに自分のまちがいを認識させてくれるという点で役にたつとはいえるかもしれない。
and, if my speculations contain anything of value, in bringing others to a fuller understanding of it;	そしてわたしの思索に多少なりとも価値があるなら、他人がそれをもっと十分に理解できるようにしてくれる点でも役にたつかもしれない。
and still farther, as many can see better than one, in leading others who are now beginning to avail themselves of my principles, to assist me in turn with their discoveries.	そしてもっと言えば、目玉は多い方がよく見えるので、わたしの原理にしたがおうとしている他の人々を導くことで、かわりにかれらが独自の発見をして、わたしを助けてくれるようになる、という意義もあるかもしれない。
But though I recognize my extreme liability to error, and scarce ever trust to the first thoughts which occur to me, yet-the experience I have had of possible objections to my views prevents me from anticipating any profit from them.	しかしながら、自分がきわめてまちがいを犯しやすいことは認識しているし、思いついたことをそのまま信じるなどということはほとんどないにしても、わたしの観点に対するあり得る反論についてのこれまでの経験から言うと、そこから何かの利益が得られるとはとても期待できない。
For I have already had frequent proof of the judgments, as well of those I esteemed friends, as of some others to whom I thought I was an object of indifference, and even of some whose malignancy and envy would, I knew, determine them to endeavor to discover what partiality concealed from the eyes of my friends.	というのも、自分の判断に対しては十分な証明を加えてきたし、友人として尊重している人々の判断も仰いだし、わたしに対して特に関心のない人々の判断も仰いだし、さらにはわたしに対して悪意と羨望を持っていて、友人たちの目からは部分的に隠されていたものを一生懸命探すであろう人々の判断すら仰いでいるのだから。
But it has rarely happened that anything has been objected to me which I had myself altogether overlooked,	それでも、わたしがまったく見落としていた点について何か反論がきたことはほとんどない。
unless it were something far removed from the subject:	あっても、まったく的はずれなものばかりだ。
so that I have never met with a single critic of my opinions who did not appear to me either less rigorous or less equitable than myself.	だからわたしの批判者で、わたしより厳密でないか、わたしほど公正でないような人物には、一人としてお目にかかったことがないのだ。
And further, I have never observed that any truth before unknown has been brought to light by the disputations that are practised in the schools;	さらに、スコラ学派の実践しているような論争によって、これまで知られていない真理が明らかになった例を、わたしは寡聞にして知らない。
for while each strives for the victory, each is much more occupied in making the best of mere verisimilitude, than in weighing the reasons on both sides of the question;	それぞれの参加者は議論での勝利をもとめてがんばるけれど、いすれの人も、単なるもっともらしい議論を上手につくることにばかりかまけていて、議論の双方の理由づけをきちんと計ろうとはしないのだ。
and those who have been long good advocates are not afterwards on that account the better judges.	そしてある論をずっと支持してきた人たちも、将来的にその点について、よりよい判断ができるわけではない。
As for the advantage that others would derive from the communication of my thoughts, it could not be very great;	他の人々がわたしの思考を学んで得るメリットについていえば、それはあまり大きなものではないはずだ。
because I have not yet so far prosecuted them as that much does not remain to be added before they can be applied to practice.	というのも、わたしはまだ自分の思考を十分に展開しておらず、それを現実に適用できるようになるためには、まだまだ多くのことを追加する必要が残っているからだ。
And I think I may say without vanity, that if there is any one who can carry them out that length, it must be myself rather than another:	そしてそれを十分に押し進めることができる人物がいるとすれば、それはほかのだれよりも、このわたしだろうと虚栄心ぬきで言える。
not that there may not be in the world many minds incomparably superior to mine, but because one cannot so well seize a thing and make it one's own, when it has been learned from another, as when one has himself discovered it.	この世に、わたしなど比較にならないほど優れた頭脳がたくさんある可能性を否定するわけではないが、何かをつかんで自分のものとする場合には、他人からそれを学んだ人よりも、それを自分で発見した人のほうがずっと優れているからだ。
And so true is this of the present subject that,	そして目下のテーマについてはこれが実によく当てはまるのだ。
though I have often explained some of my opinions to persons of much acuteness, who, whilst I was speaking, appeared to understand them very distinctly, yet, when they repeated them, I have observed that they almost always changed them to such an extent that I could no longer acknowledge them as mine.	自分の見解を、とても頭の鋭敏な人々に何度か説明してみたが、わたしが説明しているときにははっきりと理解してくれたようだったのに、それを復唱してもらうと、必ず大きくそれを変えてしまっていて、もはや自分の考えとして認めがたいものとなっているのだ。
I am glad, by the way, to take this opportunity of requesting posterity never to believe on hearsay that anything has proceeded from me which has not been published by myself;	ちなみにわたしはこの場を借りて、わたしが自分で刊行したもの以外に、わたしが何かを発表しているというような噂を信じないだけの慎みをお願いしたい。
and I am not at all astonished at the extravagances attributed to those ancient philosophers whose own writings we do not possess;	著作がまったく伝わっていないような古代哲学者に帰せられる、各種のとんでもない議論にはまったく感心しない。
whose thoughts, however, I do not on that account suppose to have been really absurd,	でも、かれらの思想がだからといって、本当にばかげたものだったわけではないと思う。
seeing they were among the ablest men of their times,	かれらはその時代でいちばん有能な人々だったわけだから。
but only that these have been falsely represented to us.	ただその思想がまちがった形でわれわれに伝えられているだけだろう。
It is observable, accordingly, that scarcely in a single instance has any one of their disciples surpassed them;	さらには、その弟子たちが師匠を超えた例というのも、ほんの一例たりともないということもわかるだろう。
and I am quite sure that the most devoted of the present followers of Aristotle would think themselves happy if they had as much knowledge of nature as he possessed,	そしいて、今日アリストテレスをいちばん熱心に支持する人たちは、自然についてアリストテレスと同じだけの知識を得られれば満足してしまうのはまちがいないだろう。
were it even under the condition that they should never afterwards attain to higher.	それ以上の知識はその後一切得られないという条件がついたとしても、である。
In this respect they are like the ivy which never strives to rise above the tree that sustains it,	この意味でかれらは、自分を支える木より高いところには決して登ろうと努力しない、つる草のようなものだ。
and which frequently even returns downwards when it has reached the top;	そういうつる草は、いったんてっぺんにたどり着くと、下のほうに下がってきてしまうこともよくある。
for it seems to me that they also sink,	そういう追随者たちも、いわば沈んでしまうのだ。
in other words, render themselves less wise than they would be if they gave up study, who, not contented with knowing all that is intelligibly explained in their author, desire in addition to find in him the solution of many difficulties of which he says not a word, and never perhaps so much as thought.	つまり、その著者によってはっきりわかるように説明されたことをすべて知るだけでは気がすまずに、その人物が一言も発言していないどころか、おそらくは考えてもいないような問題について、その人物の中に答えを見つけようとするのだ。
Their fashion of philosophizing, however, is well suited to persons whose abilities fall below mediocrity;	だが、そういう連中の哲学的ポーズは、能力が凡庸以下の人々にはとても都合がいい。
for the obscurity of the distinctions and principles of which they make use enables them to speak of all things with as much confidence as if they really knew them, and to defend all that they say on any subject against the most subtle and skillful, without its being possible for any one to convict them of error.	かれらが使う原理やものごとの区分があいまいさなために、かれらはあらゆることについて自信をもって知ったかぶりができるようになり、自分の発言すべてについて、どんなに細かく達者な反論であっても弁護ができるようになり、だれもかれらがまちがっているといって糾弾できなくなってしまうのだ。
In this they seem to me to be like a blind man, who, in order to fight on equal terms with a person that sees, should have made him descend to the bottom of an intensely dark cave:	この点でかれらは、めくらが目あきと対等にやりあおうとして、とても暗い洞窟の底にその目あきをつれてきたようなものだと思う。
and I may say that such persons have an interest in my refraining from publishing the principles of the philosophy of which I make use;	そしてそういう連中は、わたしが使用している哲学原理を刊行しないほうが都合がいいのだ、とも言っておこう。
for, since these are of a kind the simplest and most evident, I should, by publishing them, do much the same as if I were to throw open the windows, and allow the light of day to enter the cave into which the combatants had descended.	というのも、わたしの哲学原理はなかでもいちばん簡単で自明だから、それを刊行することで、いわばわたしは窓をサッと開けて、対戦者たちが降りていった洞窟の中に、日中の光を入れてしまうことになるからだ。
But even superior men have no reason for any great anxiety to know these principles,	でも、優れた人々でさえ、こうした原理を知らなければという不安を抱くべき理由はまったくない。
for if what they desire is to be able to speak of all things, and to acquire a reputation for learning, they will gain their end more easily by remaining satisfied with the appearance of truth,	というのも、かれらが望んでいるのが万物について語れるようになり、学識が高いという評判を得たいだけなら、真実らしく見えることで満足していたほうが、その目的を簡単に達成できる。
which can be found without much difficulty in all sorts of matters, than by seeking the truth itself which unfolds itself but slowly and that only in some departments, while it obliges us, when we have to speak of others, freely to confess our ignorance.	真実らしいことならば、いろんなことを見ているだけで何の苦労もなく見つかるものだが、真理そのものを探そうとすれば、それはゆっくりとしか解明されず、しかもごく一部の分野だけで、しかも一方では他人に話さなくてはならない場合には、自分の無知をはっきりと告白しなくてはならないことになるからだ。
If, however, they prefer the knowledge of some few truths to the vanity of appearing ignorant of none, as such knowledge is undoubtedly much to be preferred, and, if they choose to follow a course similar to mine, they do not require for this that I should say anything more than I have already said in this discourse.	しかしもしかれらが、だれにも無知に見えたくないという虚栄よりも、少数の真理を知ることを望むのであれば、そういう知識はまちがいなく多いに好ましいものであり、そしてかれらがわたしと似た道をたどろうとするのであれば、この文ですでに述べた以上のことをわたしが述べる必要もないだろう。
For if they are capable of making greater advancement than I have made, they will much more be able of themselves to discover all that I believe myself to have found;	なぜなら、もしその人たちがわたしよりも大きな進歩をとげるだけの力があるならば、かれらはわたしが発見したと思うものすべてを、自力で見つける能力がそれ以上にあるはずなのだ。
since as I have never examined aught except in order, it is certain that what yet remains to be discovered is in itself more difficult and recondite, than that which I have already been enabled to find, and the gratification would be much less in learning it from me than in discovering it for themselves.	わたしはすべてを順序をおって検討しているので、これから発見されるべきことというのは、わたしがいままで発見できたことに比べて、もっと難しくて深遠であるはずだし、わたしからそれを教わったら、それを自分で発見するのに比べて、満足がずっと少ないだろう。
Besides this, the habit which they will acquire, by seeking first what is easy, and then passing onward slowly and step by step to the more difficult, will benefit them more than all my instructions.	それにかれらが身につける習慣、つまりまず簡単なものから求めて、そこからゆっくりと一歩ずつ、もっと難しいものを求めていくというやり方は、わたしが教えることすべてよりもかれらの役にたつはずだ。
Thus, in my own case, I am persuaded that if I had been taught from my youth all the truths of which I have since sought out demonstrations, and had thus learned them without labour, I should never, perhaps, have known any beyond these;	自分についていえば、もしわたしがこれまで証明を自力で探し出してきたような真理すべてについて、若い頃にすべて教わっていたとしたら、それを越えるものはいっさい学ばなかっただろうと確信する。
at least, I should never have acquired the habit and the facility which I think I possess in always discovering new truths in proportion as I give myself to the search.	少なくとも、自分が力を注いだぶんだけ新しい真理を発見するという習慣と能力は、絶対にミニつかなかっただろう。
And, in a single word, if there is any work in the world which cannot be so well finished by another as by him who has commenced it, it is that at which I labour.	つまり一言で言えば、この世でその創始者以外にはきちんと終えられないような仕事があるとすれば、それはわたしが取り組んでいるこの仕事なのだ。
It is true, indeed, as regards the experiments which may conduce to this end, that one man is not equal to the task of making them all;	確かに、この目的に貢献するような実験においては、たった一人の人間がそのすべてを行うことはできないだろう。
but yet he can advantageously avail himself, in this work, of no hands besides his own, unless those of artisans, or parties of the same kind, whom he could pay, and whom the hope of gain (a means of great efficacy) might stimulate to accuracy in the performance of what was prescribed to them.	工匠などの集団に支払いをして、かれらが利益を得ようとして（とても有効な手段だ）頼まれたことの実行を厳密にやってくれるような場合をのぞけば、その人物は自分以外のだれの手も頼りにできない。
For as to those who, through curiosity or a desire of learning, of their own accord, perhaps, offer him their services, besides that in general their promises exceed their performance, and that they sketch out fine designs of which not one is ever realized, they will, without doubt, expect to be compensated for their trouble by the explication of some difficulties, or, at least, by compliments and useless speeches,	好奇心や学習意欲にかられて、自らの意志でサービスを提供してくれるような人は、だいたいにおいて、実際の成果よりも誇大な約束をしがちだし、壮大な意図だけは説明してくれても、どれ一つとして実現されず、さらにそういう人々はまちがいなく、手伝ったかわりになにか問題を説明してくれとか、最低でもお世辞とか無駄なおしゃべりを代償に求める。
in which he cannot spend any portion of his time without loss to himself.	その人は、そんなことに時間を費やすことで、結局は損をして終わってしまうのだ。
And as for the experiments that others have already made, even although these parties should be willing of themselves to communicate them to him (which is what those who esteem them secrets will never do), the experiments are, for the most part, accompanied with so many circumstances and superfluous elements, as to make it exceedingly difficult to disentangle the truth from its adjuncts- besides, he will find almost all of them so ill described, or even so false (because those who made them have wished to see in them only such facts as they deemed conformable to their principles),  that, if in the entire number there should be some of a nature suited to his purpose, still their value could not compensate for the time what would be necessary to make the selection.	そして他の人がすでにそうした実験を行っている場合、その人々はそれについて、喜んでその人物に伝えるべきではあるのだが（それを秘密にするのに価値があると思っている人々は絶対にそうしないだろう）、実験はほとんどの場合、無数の条件やよけいな要素がくっついてくるものであり、真実と付随的なものとを峻別するのは、とてもむずかしい――さらにその実験のほとんどすべては記述があまりに不十分で、時にはウソが書いてあったりするので（というのもそれを記述した人たちは自分の原理原則にあてはまるような事実だけをそこに見ようとしたりするから）、全体の数字の中にはなにかその人の目的に会うような性質のものが含まれているかもしれないけれど、その価値は、それを選り分けるのに必要となる時間に見合うものではない。
So that if there existed any one whom we assuredly knew to be capable of making discoveries of the highest kind, and of the greatest possible utility to the public;	だからもし、最高級の発見ができて、世間に対して考え得る最高の公用をもたらせるのが確実な人がいたとしよう。
and if all other men were therefore eager by all means to assist him in successfully prosecuting his designs,	そしてそのため、ほかの人みんな、手を尽くしてかれの思い通りの探求をさせてやろうと思っていたとしよう。
I do not see that they could do aught else for him beyond contributing to defray the expenses of the experiments that might be necessary;	もしそうなら、必要となる実験の費用を分担してやるよりほかにないだろう。
and for the rest, prevent his being deprived of his leisure by the unseasonable interruptions of any one.	そしてあとは、他人からタイミングの悪いじゃまが入って、かれが時間を自由に使えなくなるのを防ぐくらいだろう。
But besides that I neither have so high an opinion of myself as to be willing to make promise of anything extraordinary, nor feed on imaginations so vain as to fancy that the public must be much interested in my designs;	でも、わたしはなにか非凡な発見ができるなどと約束するほどの自負はないし、世間一般がわたしの意図なんかに大した興味を抱くと夢想するほどの虚栄心もない。
I do not, on the other hand, own a soul so mean as to be capable of accepting from any one a favor of which it could be supposed that I was unworthy.	でも一方では、わたしが無価値だと思えるような恩恵をほかのだれからであれ受けられると思うほどの邪悪な魂も持ってはいないのだ。
These considerations taken together were the reason why, for the last three years, I have been unwilling to publish the treatise I had on hand,	こういうことをいろいろ考えていたために、過去3年にわたってわたしは手元の論文の出版をためらってきた。
and why I even resolved to give publicity during my life to no other that was so general, or by which the principles of my physics might be understood.	そして、存命中の評判についても、ごく一般的なものや、わたしの物理学の原理を理解してもらうための原理に限ろうと決意したのも、それが理由だ。
But since then, two other reasons have come into operation that have determined me here to subjoin some particular specimens, and give the public some account of my doings and designs.	でもそれ以来、別の理由が2つ生じてきて、そのためにわたしはここにいくつかの材料を追加して、自分のやってきたことや計画について世間に知らせようと考えた。
Of these considerations, the first is, that if I failed to do so, many who were cognizant of my previous intention to publish some writings, might have imagined that the reasons which induced me to refrain from so doing, were less to my credit than they really are;	その考察事項のうち最初のものは、もしわたしがそれを発表しなかったら、著作を刊行しようというわたしの昔の意図を知っている人たちは、わたしが著作を発表しないでいるのはわたしにとって実際よりも都合の悪いことがいろいろあるからだと想像するかもしれないからだ。
for although I am not immoderately desirous of glory, or even, if I may venture so to say, although I am averse from it	わたしは極端に栄光を求めたりはしないし、敢えて言っていいなら、それを避けたいと思っている。
in so far as I deem it hostile to repose which I hold in greater account than aught else,	栄光というのは、ほかのなによりもわたしが打時にしている休息をじゃまするものだと思えるからだ。
yet, at the same time, I have never sought to conceal my actions as if they were crimes, nor made use of many precautions that I might remain unknown;	でも同時に、自分の行動についてそれが犯罪であるかのように隠そうとしたこともないし、敢えて無名でいようとしていろいろな手だてを講じたりしたこともない。
and this partly because I should have thought such a course of conduct a wrong against myself, and partly because it would have occasioned me some sort of uneasiness which would again have been contrary to the perfect mental tranquillity which I court.	そしてこれは一部は、そういう行いが自分自身に対してまちがっていると思ったこともあるし、一部はそれがある種のとまどいを自分に引き起こして、それがわたしの宿している完全な精神的平静をじゃまするものだったからでもある。
And forasmuch as, while thus indifferent to the thought alike of fame or of forgetfulness, I have yet been unable to prevent myself from acquiring some sort of reputation, I have thought it incumbent on me to do my best to save myself at least from being ill-spoken of.	そして、名声と無名とのどちらについてもわたしは無関心だったのだけれど、でも自分が何かしらの評判を獲得してしまうのは防ぎようがなく、だからわたしとしては、少なくとも悪く言われるようなことだけは、なるべく避けるに越したことはないと考えるようになったのだ。
The other reason that has determined me to commit to writing these specimens of philosophy is, that I am becoming daily more and more alive to the delay which my design of self-instruction suffers,	こうした哲学的な材料について著述をしようと思ったもう一つの理由は、日ごとに、自己指導というわが方針の遅れに気がつかざるを得ないということだ。
for want of the infinity of experiments I require, and which it is impossible for me to make without the assistance of others:	必要とされる実験は無数にあるし、そういう実験も他人の助けを借りなくては、一人でやるのは不可能だ。
and, without flattering myself so much as to expect the public to take a large share in my interests, I am yet unwilling to be found so far wanting in the duty I owe to myself,	そして世間がわたしの関心事を大きく共有してくれると思うほどうぬぼれてはいないけれど、でも自分自身に課した義務の天でこんなに遅れをとっている状態なのもいやなのだ。
as to give occasion to those who shall survive me to make it matter of reproach against me some day,	そうなればいつの日かわたしより長生きしたものたちが、わたしを批判する材料としてその遅れを使うかもしれない。
that I might have left them many things in a much more perfect state than I have done, had I not too much neglected to make them aware of the ways in which they could have promoted the accomplishment of my designs.	いろんなことを、自分の設計にしたがって達成するためにとれたかもしれない手段について、世間に知らせるのをこんなに怠らなければ、いろんなことを実際よりもずっと完成された状態にしてい後世に残せたのだ、などと言われたくないのだ。
And I thought that it was easy for me to select some matters which should neither be obnoxious to much controversy, nor should compel me to expound more of my principles than I desired, and which should yet be sufficient clearly to exhibit what I can or cannot accomplish in the sciences.	そして、毀誉褒貶の種にならず、さらにわたしが望むよりも自分の原理を先にまで進めてしまうようなこともないけれど、一方で自分が学問の領域でなにを達成できて、なにを達成できないかをじゅうぶんにはっきりと示すような材料を選ぶのは、簡単だろうと思えた。
Whether or not I have succeeded in this it is not for me to say;	これが成功したかは、わたしの言うべきことではない。
and I do not wish to forestall the judgments of others by speaking myself of my writings;	そして自分の書いたものについて自ら語ることで、ほかの人たちの判断をゆがめたくもない。
