The Bolted Door	『閉ざされたドア』
and put in the pantry ice-box.	食料貯蔵庫の冷蔵庫のなかで。
If there were only one melon in the ice-box I could be fairly sure it was the one I wanted.	冷蔵庫のなかにひとつしかないんだったら、目指すメロンはすぐにわかる。
Melons didn't lie around loose in that house	屋敷では、メロンがどこにでも転がっているわけではなかった。
-every one was known, numbered, catalogued.	ひとつずつ識別されて、番号がふってあり、分類されていたのだ。
The old man was beset by the dread that the servants would eat them, and he took a hundred mean precautions to prevent it.	じいさんは使用人がメロンを食べてしまうのではないか、という恐怖に取り憑かれていて、それを防ぐために、あらかじめ百もの方策を取っていたからな。
Yes, I felt pretty sure of my melon	そう、だから目指すメロンはまちがいなくわかると思った
. . . and poisoning was much safer than shooting.	……それに、毒殺の方が射殺より安全だと思ったのだ。
It would have been the devil and all to get into the old man's bedroom without his rousing the house;	じいさんの寝室に入り込み、やつが騒ぎ立てて家の者を起こさないようにするのは、悪魔でもなきゃできることじゃない。
but I ought to be able to break into the pantry without much trouble.	だが、ただ食料貯蔵庫に侵入するだけなら、たいした苦労はいらない。
"It was a cloudy night, too	「しかも、その夜は曇っていた。
-- everything served me.	なにもかもが都合が良かった。
I dined quietly, and sat down at my desk.	落ち着いて食事を終えると、机に向かう。
Kate had one of her usual headaches, and went to bed early.	ケイトはいつもの頭痛が出て、早くに休んでしまった。
As soon as she was gone I slipped out.	ケイトが寝室に下がるや、私は家を抜け出したんだ。
I had got together a sort of disguise	変装道具を持ってね。
-- red beard and queer-looking ulster.	赤毛のつけひげと、丈の長い妙な外套だ。
I shoved them into a bag, and went round to the garage.	それをカバンに押し込んで、駐車場に向かった。
There was no one there but a half-drunken machinist whom I'd never seen before.	駐車場には、会ったこともない、ほろ酔い加減の修理工がひとりいるだけだった。
That served me, too.	それもまたありがたかった。
They were always changing machinists, and this new fellow didn't even bother to ask if the car belonged to me.	修理工はしょっちゅう入れ替わっていたし、その新参者は、その車がおまえのものか、とかなんとかうるさく聞いてくることもなかったからね。
It was a very easygoing place. . .	とにかくそこは呑気な場所だったんだ。
"Well, I jumped in, ran up Broadway, and let the car go as soon as I was out of Harlem.	「ともかく、私は車に飛び乗って、ブロードウェイを北へ向かい、できるだけ急いでハーレムを出られるように車を走らせた。
Dark as it was, I could trust myself to strike a sharp pace.	暗かったけれど、自分を信頼して速度をぐんぐんあげた。
In the shadow of a wood I stopped a second and got into the beard and ulster.	森影に入るとほんの短い間だけ車を停めて、ひげと外套を身につけた。
Then away again	それからすぐにまた走り出す。
-- it was just eleven-thirty when I got to Wrenfield.	レンフィールドに着いたのは、十一時半だった。
< 18 > "I left the car in a dark lane behind the Lenman place, and slipped through the kitchen-garden.	「レンマン家の地所の裏手の暗い小道に車を置いて、家庭菜園をこっそり抜けていった。
The melon-houses winked at me through the dark	闇の中でメロンの温室がきらっと光った。
-- I remember thinking that they knew what I wanted to know. . . .	メロンも私が何を知りたがっているかわかってるんだ、と思ったのをよく覚えているよ……。
By the stable a dog came out growling	厩舎の脇で犬が唸りながらやってきた。
-- but he nosed me out, jumped on me, and went back. . .	でもにおいで私がわかると、飛びついてきたが、すぐに戻っていった。
The house was as dark as the grave.	家は真っ暗だった。
I knew everybody went to bed by ten.	屋敷ではだれもが十時には寝てしまうんだ。
But there might be a prowling servant	だがうろついている使用人がいるかもしれない。
-- the kitchen-maid might have come down to let in her Italian.	台所の下働き女中がイタリア人を引き込むために、降りてきていないとも限らない。
I had to risk that, of course.	もちろんその危険は冒さなければならなかった。
I crept around by the back door and hid in the shrubbery.	足音を忍ばせて裏口にまわり、植え込みに身を潜めて
Then I listened.	耳を澄ました。
It was all as silent as death.	屋敷の中は静まりかえっている。
I crossed over to the house, pried open the pantry window and climbed in.	私は反対側へ渡って、食料貯蔵庫の窓をこじ開けて、よじ登った。
I had a little electric lamp in my pocket, and shielding it with my cap I groped my way to the ice-box,	ポケットの小型懐中電灯を出すと、帽子で覆いをして、冷蔵庫までそろそろと進んだ。
opened it	ふたを開けると
-- and there was the little French melon	……そこには小さなフレンチメロンがあった。
. . . only one.	……たったひとつだけ。
"I stopped to listen	「じっと耳を澄ました。
-- I was quite cool.	きわめて冷静だったよ。
Then I pulled out my bottle of stuff and my syringe, and gave each section of the melon a hypodermic.	それから薬の瓶と注射器を取り出して、何箇所かに注射した。
It was all done inside of three minutes	なかでの仕事を全部終えるまでに、三分もかからなかっただろう。
-- at ten minutes to twelve I was back in the car.	十二時十分前には車に戻っていた。
I got out of the lane as quietly as I could, struck a back road that skirted the village, and let the car out as soon as I was beyond the last houses.	なんとか音をさせないように車を小道から出して、村沿いの裏道に入り、できるだけ急いで村から出ようと走った。
I only stopped once on the way in, to drop the beard and ulster into a pond.	途中、一度だけ停車して、池につけひげと外套を沈めた。
I had a big stone ready to weight them with	重石のために大きな石を用意しておいたんだ。
and they went down plump, like a dead body	そいつは死体みたいに膨らんで沈んでいったよ。
-- and at two o'clock I was back at my desk."	それから二時には戻った私は机に向かっていた」
Granice stopped speaking and looked across the smoke-fumes at his listener;	グラニスはことばを切って、煙で霞むデンヴァーの方を見やった。
but Denver's face remained inscrutable.	だが、相変わらずデンヴァーはとらえどころのない表情のままだ。
At length he said:	ついにデンヴァーが口を切った。
"Why did you want to tell me this?"	「なんでそのことを話す気になった？」
The question startled Granice.	グラニスは驚いた。
He was about to explain, as he had explained to Ascham;	アスカムにしたのと同じような説明を繰り返そうとしたが、不意に思った。
but suddenly it occurred to him that if his motive had not seemed convincing to the lawyer it would carry much less weight with Denver.	もし自分の動機が、弁護士さえも納得しかねるものだったとすれば、ましてデンヴァーを納得させることはできないだろう。
Both were successful men, and success does not understand the subtle agony of failure.	ふたりとも成功した人間だし、成功した人間には敗者の屈折した苦悩など理解できまい。
Granice cast about for another reason.	グラニスは新たな理由を急いで探した。
< 19 > "Why, I -- the thing haunts me . . . remorse, I suppose you'd call it. . ."	「まあ、その……自分が苦しんでいるのは……後悔、たぶんそういうものじゃないかと思うんだが……」
Denver struck the ashes from his empty pipe.	デンヴァーは空のパイプを打ちつけて灰を落とした。
"Remorse?	「後悔だって？
Bosh!"	笑わせるなよ」
he said energetically.	力強い声が返ってくる。
Granice's heart sank.	グラニスの気持ちは沈んだ。
"You don't believe in -- remorse?"	「後悔……と言ったところで、信じてはくれないんだろうな」
"Not an atom:	「これっぽっちもな。
in the man of action.	君は行動の人だろう。
The mere fact of your talking of remorse proves to me that you're not the man to have planned and put through such a job."	後悔ということばがそのまま信じられるような人間なら、とてもそんなことを計画して、しかもやり遂げられるとは思えない」
Granice groaned.	グラニスは唸った。
"Well --	「そうだ……。
I lied to you about remorse.	後悔だなんて嘘だ。
I've never felt any."	ちっとも思ってやしない」
Denver's lips tightened sceptically about his freshly-filled pipe.	詰め直したパイプを加えるデンヴァーの口元は、疑わしげに引き結ばれていた。
"What was your motive, then?	「なら、動機はなんだ。
You must have had one."	動機がないはずはない」
"I'll tell you --"	「これから話すよ……」
And Granice began again to rehearse the story of his failure, of his loathing for life.	グラニスは、練習したとおりに戯曲の失敗と生きていくことが嫌になったことを話し始めた。
"Don't say you don't believe me this time . . . that this isn't a real reason!"	「こんどは信じない、なんて言ってくれるなよ」
he stammered out piteously as he ended.	哀れっぽくどもってみせながら、話を終えた。
Denver meditated.	デンヴァーは考え込んでいる様子だった。
"No, I won't say that.	「そんなことを言うつもりはない。
I've seen too many queer things.	奇妙なことはこれまでずいぶん見てきた。
There's always a reason for wanting to get out of life --	いつだって人生から降りたいという理由はあるものだ。
the wonder is that we find so many for staying in!"	驚くのは降りずにいることに、そりゃたくさんの理由があることのほうだよ」
"Believe that you're sick of the job?	「書くことにうんざりした、ということを信じろと？
Yes.	ああ、信じるよ。
And that you haven't the nerve to pull the trigger?	それから君に引き金を引く度胸がない、だって？
Oh, yes	とんでもない。
-- that's easy enough, too.	そんなこと簡単さ。
But all that doesn't make you a murderer	だが、それだけをもってして、君が殺人者だと断定することはできない
-- though I don't say it proves you could never have been one."	――君は絶対にやってない、ということも証明できないが」
"I have been one, Denver	「やったんだよ、デンヴァー。
-- I swear to you."	正真正銘」
"Perhaps."	「かもしれん」
He meditated.	なおも考えていた。
"Just tell me one or two things."	「少し聞きたいことがあるんだが」
"Oh, go ahead.	「なんでも聞いてくれ。
You won't stump me!"	遠慮なしに」
Granice heard himself say with a laugh.	グラニスは無意識のうちに笑い声をあげていた。
"Well	「よし。
-- how did you make all those trial trips without exciting your sister's curiosity?	君の妹さんに、いったいどうしたんだろう、と思わせずに、どうやって試運転を何度も繰り返すことができたんだ？
I knew your night habits pretty well at that time, remember.	あのころの君の夜の習慣はよく知ってる。
You were very seldom out late.	夜遅く出かけることなんてまずなかった。
Didn't the change in your ways surprise her?"	習慣を変えることで、妹さんは驚いたりしなかったのかね？」
"No;	「驚いてない。
because she was away at the time.	というのも、そのときは出かけてたんだよ。
She went to pay several visits in the country soon after we came back from Wrenfield,	レンフィールドから戻ってすぐのころ、ケイトは田舎のほうの知人のところへよく会いに行っていたんだ。
and was only in town for a night or two before	その前にこっちにいたのは一晩か二晩だった
-- before I did the job."	――前というのは、私が例のことをやる前ということだが」
"And that night she went to bed early with a headache?"	「それで、その晩は頭痛がして、早くに休んだんだな？」
"Yes	「そうだ。
-- blinding.	ひどく痛んだらしい。
She didn't know anything when she had that kind.	だからそうしたことには全然気がつかなかったんだ。
And her room was at the back of the flat."	それに妹の部屋は、アパートの裏手にあったし」
< 20 > Denver again meditated.	デンヴァーはふたたび考え込んでいるようだった。
"And when you got back	「それで、君が戻ったとき
-- she didn't hear you?	……妹さんは何の物音も聞いてないんだな？
You got in without her knowing it?"	君は気づかれずに家に戻った？」
"Yes.	「そうだ。
I went straight to my work	すぐに仕事に戻ったよ。
-- took it up at the word where I'd left off	出かけたときに中断したところからまた始めたんだ。
-- Why, Denver, don't you remember?"	そうだよ、デンヴァー、君は覚えてないか」
Granice suddenly, passionately interjected.	グラニスの語調は、急に熱っぽいものに変わった。
"Remember -- ?"	「覚えてる？」
"Yes;	「そうだよ、
how you found me	私はどうしてた？
-- when you looked in that morning,	君が来たとき
between two and three . . . your usual hour . . .?"	――あの夜、二時か三時の君のいつもの時間だったな？」
"Yes,"	「そうだ」
the editor nodded.	デンヴァーはうなずいた。
Granice gave a short laugh.	グラニスはちょっと笑ってことばを続けた。
"In my old coat -- with my pipe:	「着古した部屋着、それにパイプだ。
looked as if I'd been working all night, didn't I?	一晩中書き物をしていたみたいだったな、そうじゃなかったか？
Well, I hadn't been in my chair ten minutes!"	ところが実際は、十分かそこらしかそこにいなかったんだ」
Denver uncrossed his legs and then crossed them again.	デンヴァーは組んでいた足をほどくと、もういちど組み直した。
"I didn't know whether you remembered that."	「君が何を覚えていると言っているのかわからないんだが」
"What?"	「なんでわからない？」
"My coming in that particular night -- or morning."	「おれが行ったのが、その晩――というか、つぎの日の夜明け前だったんだな」
Granice swung round in his chair.	グラニスは椅子に座ったまま、ぐるりと向きを変えた。
"Why, man alive!	「そうだよ！
That's why I'm here now.	だからこそ私はここにいるんじゃないか。
Because it was you who spoke for me at the inquest, when they looked round to see what all the old man's heirs had been doing that night	君が審問で証言してくれたからだよ、じいさんの相続人全員があの晩何をしていたか調べられていたときに
-- you who testified to having dropped in and found me at my desk as usual. . . .	――その晩、家に寄ったら私がいつもどおり机に向かっていた、と証言してくれたのは、君じゃないか。
I thought that would appeal to your journalistic sense if nothing else would!"	もしほかの事件がなかったら、あのことはさぞかし君のブンヤ魂に訴えたことだろうと思うんだがな」
Denver smiled.	デンヴァーは笑顔になった。
"Oh, my journalistic sense is still susceptible enough	「もちろんおれのブンヤ魂は、さびついちゃいないさ。
-- and the idea's picturesque, I grant you:	なるほど、そのアイデアは独創的だな。
asking the man who proved your alibi to establish your guilt."	アリバイを立証した人間に、こんどは罪があることを認めさせようっていうのは」
"That's it -- that's it!"	「それ、それなんだよ」
Granice's laugh had a ring of triumph.	グラニスの笑い声には、勝ち誇ったような響きがあった。
"Well, but how about the other chap's testimony	「なら、もうひとりのやつの証言はどうなるんだ
-- I mean that young doctor:	――あの若い医者だよ。
what was his name?	なんという名前だった？
Ned Ranney.	ネッド・ラネイだ。
Don't you remember my testifying	おれが証言したのを覚えてるか。
that I'd met him at the elevated station,	高架駅でそいつに会ったんだ。
and told him I was on my way to smoke a pipe with you, and his saying:	おれがこれから君のところでパイプを吹かしに行く、と言ったら、そいつは
'All right;	『いいですね、
you'll find him in.	あの人はいましたよ。
I passed the house two hours ago, and saw his shadow against the blind, as usual.'	二時間ほど前に家の前を通りかかったら、いつものように、ブラインドに影が映ってましたから』
And the lady with the toothache in the flat across the way:	それに、道の反対側のアパートに住んでいた、歯の痛い女性のこともある。
she corroborated his statement, you remember."	その人も医者の証言を裏付けたんだったな」
"Yes;	「ああ、
I remember."	その証言も覚えているよ」
Well, then?"	「で、それについては」
"Simple enough.	「簡単なことさ。
Before starting I rigged up a kind of mannikin with old coats and a cushion -- something to cast a shadow on the blind.	出かける前に部屋着とクッションで、急造の人型を作ったのさ、ブラインドに影が映るようにね。
All you fellows were used to seeing my shadow there in the small hours	夜更けに自分の影を見ている連中がいたのは知っていた
-- I counted on that,	――そういう人を頼りにしたのさ。
and knew you'd take any vague outline as mine."	どんなあやふやな影でも、何か映ってさえいれば自分だと思ってくれるだろう、とね」
< 21 > "Simple enough, as you say.	「簡単なことだと言ったな。
But the woman with the toothache saw the shadow move	だが、その歯が痛い女性は、その影は動いたと言っていたぞ
-- you remember she said she saw you sink forward, as if you'd fallen asleep."	――前へかがんだ、ちょうど、居眠りでもするみたいに、と」
"Yes;	「そうだ。
and she was right.	彼女はまちがっていないよ。
It did move.	人形は動いたんだ。
I suppose some extra-heavy dray must have jolted by the flimsy building	たぶん、とくべつ重たい荷馬車か何かが、もろい建物にぶつかるかどうかしたんだよ、
-- at any rate, something gave my mannikin a jar,	とにかく人形に衝撃が加わった。
and when I came back he had sunk forward,	だから私が帰ってみたら、人形は前のめりになっていた。
half over the table."	半身を机に突っ伏すようにして」
There was a long silence between the two men.	ふたりの間に長い沈黙が訪れた。
Granice, with a throbbing heart, watched Denver refill his pipe.	デンヴァーがパイプを詰め替えるのを、グラニスは胸をとどろかせながら見ていた。
The editor, at any rate, did not sneer and flout him.	なんにせよ、こいつはあざけったりバカにしたりすることはなかった。
After all, journalism gave a deeper insight than the law into the fantastic possibilities of life,	結局、人生に起こりうる摩訶不思議なできごとに関しては、法律より、ジャーナリズムのほうが深い洞察ができる、ということなのだろう。
prepared one better to allow for the incalculableness of human impulses.	人間を突き動かす衝動は数限りなく存在する、ということを、あらかじめわきまえているせいだろうか。
"Well?"	「で、どうだろうか」
Granice faltered out.	グラニスは口ごもりながら言った。
Denver stood up with a shrug.	デンヴァーは立ち上がり、肩をすくめる。
"Look here, man-- what's wrong with you?	「あのなあ、いったいどうしたんだ。
Make a clean breast of it!	全部白状しちまえよ。
Nerves gone to smash?	神経がイカレちまったか。
I'd like to take you to see a chap I know	おれが知ってるやつに、会いに連れて行ってやろうか。
-- an ex-prize-fighter	元プロボクサーだがな。
-- who's a wonder at pulling fellows in your state out of their hole --"	不思議なことに、そいつはおまえみたいに自分の穴の中に入り込んじまってるやつを、引っ張り出してしま……」
"Oh, oh --"	「なにを言うんだ……」
Granice broke in. He stood up also,	グラニスは最後まで言わせず立ち上がった。
and the two men eyed each other.	そのままふたりはにらみ合う。
"You don't believe me, then?"	「信じてくれないんだな」
"You don't believe me, then?"	「そんな大ボラをどうやったら信じられる？
There wasn't a flaw in your alibi."	アリバイに穴なんかないんだぞ」
"But haven't I filled it full of them now?"	「だからいま、どれもこれも十分説明したじゃないか」
Denver shook his head.	デンヴァーは頭を横に振った。
"I might think so if I hadn't happened to know that you wanted to.	「君がどうにかして信じさせようとしていることに気づかなかったなら、もしかしたら信じたかもしれん。
There's the hitch, don't you see?"	それがネックになったな」
Granice groaned.	グラニスはうめき声をあげた。
"No, I didn't.	「そんなつもりはない。
You mean my wanting to be found guilty -- ?"	私が有罪になりたがっているとでも言うのか？」
"Of course!	「あたりまえじゃないか。
If somebody else had accused you, the story might have been worth looking into.	もしだれかが君を告発したのだったら、その話だって捜査する必要があったかもしれないがな。
As it is, a child could have invented it.	実際、子どもでも思いつきそうな話じゃないか。
It doesn't do much credit to your ingenuity."	君の作り話の才はたいしたものではないな」
Granice turned sullenly toward the door.	グラニスは不機嫌な顔でドアを出ようとした。
What was the use of arguing?	議論してどうなるというのか。
But on the threshold a sudden impulse drew him back.	だが戸口まで来ると、急に気が変わった。
"Look here, Denver -- I daresay you're right.	「デンヴァー、たぶん君が正しいんだろう。
But will you do just one thing to prove it?	だが、たったひとつでもその証拠があるか？
Put my statement in the Investigator,	私の陳述を調査員に見せてやってくれ。
just as I've made it.	言ったとおりの陳述を。
Ridicule it as much as you like.	バカにしたければしたらいい。
Only give the other fellows a chance at it -- men who don't know anything about me.	ほかの人間にも、私のことを知らない人間にも、機会を与えてやってくれ。
Set them talking and looking about.	そうした人間が議論したり検討したりできるようにしてほしいんだ。
I don't care a damn whether you believe me	君が信じようが信じまいが、そんなことはちっとも気にかけちゃいない。
-- what I want is to convince the Grand Jury!	大陪審が納得してくれればそれでいいんだ。
I oughtn't to have come to a man who knows me	私のことを知っている人間を来させないでくれ。
-your cursed incredulity is infectious.	君が疑っていると、まわりにも伝わってしまうからな。
I don't put my case well,	うまい話だとは思ってないさ。
because I know in advance it's discredited,	最初から信用してもらえないんじゃないかと思っていたからな。
and I almost end by not believing it myself.	結局その話では、自分自身さえ納得させられなかったってことさ。
That's why I can't convince YOU.	君が納得できないのもそのせいだ。
It's a vicious circle."	悪循環ってやつだな」
He laid a hand on Denver's arm.	グラニスはデンヴァーの腕に手をかけた。
"Send a stenographer,	「速記者をよこしてくれ。
and put my statement in the paper.	私の陳述を記録させてくれ」
< 22 > But Denver did not warm to the idea.	デンヴァーはいい顔をしなかった。
"My dear fellow, you seem to forget that all the evidence was pretty thoroughly sifted at the time,	「あのとき、あらゆる証拠が徹底的に調査されたのを忘れてしまったようだな。
every possible clue followed up.	考えられるかぎりの手がかりが追求されたじゃないか。
The public would have been ready enough then to believe that you murdered old Lenman	君がレンマンを殺したと世間が考える条件は、十分揃っていた。
-you or anybody else.	君か、ほかの誰かがな。
All they wanted was a murderer	世間は殺人者を知りたがっていた。
-- the most improbable would have served.	一番ありそうもない人間だってかまわなかったんだ。
But your alibi was too confoundedly complete.	だが、君のアリバイは完璧だった。
And nothing you've told me has shaken it."	いま話してくれた内容で揺るがすことなんか、できっこないさ」
Denver laid his cool hand over the other's burning fingers.	デンヴァーは自分の冷たい手を、相手の燃えるように熱い指に重ねた。
"Look here, old fellow, go home and work up a better case	「さあ、家に帰ってもうちょっとましなものにするんだな
-- then come in	――そうしたら、また来るといい。
and submit it to the Investigator."	そのときは調査課に出してやるよ」
The perspiration was rolling off Granice's forehead.	玉のような汗がグラニスの額からしたたり落ちる。
Every few minutes he had to draw out his handkerchief and wipe the moisture from his haggard face.	数分ごとにハンカチを出して拭かなければならなかった。
For an hour and a half he had been talking steadily, putting his case to the District Attorney.	地方検事にこの事件を訴え出てからすでに一時間半、落ち着いて話を進めてきていた。
Luckily he had a speaking acquaintance with Allonby, and had obtained, without much difficulty, a private audience on the very day after his talk with Robert Denver.	幸いアーロンビー検事とは、会えば挨拶を交わすぐらいの面識はあったので、ロバート・デンヴァーと話をしたその日のうちに、さしたる苦労もなく個人的に会うことができたのだった。
In the interval between he had hurried home, got out of his evening clothes, and gone forth again at once into the dreary dawn.	家へ帰って服を着替えると、朝まだき、早々に家を後にした。
His fear of Ascham and the alienist made it impossible for him to remain in his rooms.	アスカムが精神科医を連れて来たらどうしよう、と、いても立ってもいられなかったのだ。
And it seemed to him that the only way of averting that hideous peril was by establishing, in some sane impartial mind, the proof of his guilt.	差し迫る危険をかわす唯一の方法は、良識があり公平な人物に、自分の有罪を立証してもらうことだけだ。
Even if he had not been so incurably sick of life, the electric chair seemed now the only alternative to the straitjacket.	たとえこれほど人生に絶望していなかったとしても、いまや電気椅子だけが拘束衣を逃れる唯一の道であるような気がした。
As he paused to wipe his forehead he saw the District Attorney glance at his watch.	額の汗をぬぐうためにことばを切ったグラニスは、アーロンビー検事が腕時計に目を走らせたのを見逃さなかった。
The gesture was significant, and Granice lifted an appealing hand.	仕草の意味を悟ったグラニスは、訴えるように片手をあげた。
"I don't expect you to believe me now	「なにもいま、信じていただけるとは思っていません。
-but can't you put me under arrest, and have the thing looked into?"	けれど私を逮捕して、事件を調査してもらえないでしょうか」
Allonby smiled faintly under his heavy grayish moustache.	アーロンビーは白髪まじりの濃い口ひげの下で、微かに笑った。
He had a ruddy face, full and jovial, in which his keen professional eyes seemed to keep watch over impulses not strictly professional.	血色が良い顔は、活気にあふれてはいたが、専門家の鋭い目も、ひとの気持ちを察することにかけては、厳正なプロとは言いがたいようだ。
"Well, I don't know that we need lock you up just yet.	「ともかく、あなたをいますぐに収監する必要があるとは思いません。
But of course I'm bound to look into your statement --"	もちろんあなたの陳述を検討することはお約束しますが……」
Granice rose with an exquisite sense of relief.	助かった、という思いが、急激に胸にこみあげてきた。
Surely Allonby wouldn't have said that if he hadn't believed him!	自分を信じていなかったら、そんなことは絶対に言うまい。
< 23 > "That's all right.	「わかりました。
Then I needn't detain you.	もうお引き留めはしません。
I can be found at any time at my apartment."	いつでも私は自分のアパートメントにおりますから」
He gave the address.	そう言うと住所を渡した。
The District Attorney smiled again, more openly.	地方検事はこんどはさっきより親しげな顔になって微笑んだ。
"What do you say to leaving it for an hour or two this evening?	「今夜、一時間か二時間、お出かけになる気はありませんか？
I'm giving a little supper at Rector's	レクターでちょっとした夕食会を開くんです。
-- quiet, little affair, you understand:	ほんのささやかな集まりですよ。
just Miss Melrose	ミス・メルローズもお出でだ。
-- I think you know her	ミス・メルローズはご存じですよね、
-- and a friend or two;	あとは友人がひとりかふたり。
and if you'll join us. . ."	もしいらっしゃるのでしたら……」
Granice stumbled out of the office without knowing what reply he had made.	自分がどんな回答をしたかもはっきりとは意識しないまま、グラニスはよろめくように部屋をあとにした。
He waited for four days	四日間待った。
-- four days of concentrated horror.	恐怖に満ちた四日間だった。
During the first twenty-four hours the fear of Ascham's alienist dogged him;	最初の二十四時間、アスカムの精神科医が来たらどうしよう、という懸念が片時も離れることがなかった。
and as that subsided, it was replaced by the exasperating sense that his avowal had made no impression on the District Attorney.	それが過ぎると、こんどは自分の告白を聞いても何も感じなかった地方検事のことが、腹立たしくてたまらなくなってきた。
Evidently, if he had been going to look into the case, Allonby would have been heard from before now. . . .	もし捜査するつもりなら、どう見積もっても、もっと前に聞きに来ているはずだ……。
And that mocking invitation to supper showed clearly enough how little the story had impressed him!	おまけに夕食会に誘うなど、自分の話をいかに何とも思ってないか、はっきりと示しているではないか。
Granice was overcome by the futility of any farther attempt to inculpate himself.	有罪になろうとこれ以上続けても意味がないのではないか、と、無力感が襲う。
He was chained to life	自分は生きることに鎖でつながれてしまった
-- a "prisoner of consciousness."	――「意識の囚人」。
Where was it he had read the phrase?	この文句をどこで読んだのだったか。
Well, he was learning what it meant.	ともあれ、彼はその意味するところを学んだのだった。
In the glaring night-hours, when his brain seemed ablaze, he was visited by a sense of his fixed identity, of his irreducible, inexpugnable selfness , keener,	まんじりともできない夜、燃えるような頭に、これが自分だという強烈な意識、これ以上削りようのない、確固とした「自我」が、いままで感じたことがないほどはっきりと感じられる。
more insidious, more unescapable, than any sensation he had ever known.	しかもその意識は、いつの間にか現れて、逃れることもできないのだ。
He had not guessed that the mind was capable of such intricacies of self-realization, of penetrating so deep into its own dark windings.	心というものがこれほどまでに、自己を認識したり、暗く曲がりくねった自身の奥底を見通したり、という込み入ったことをやってのけるとは、いままで考えたこともなかった。
Often he woke from his brief snatches of sleep with the feeling that something material was clinging to him, was on his hands and face, and in his throat	しばしば、なにものかにまとわりつかれている、手や顔や喉の奥に何かがしがみついている、という感覚に、短い眠りを破られた
-- and as his brain cleared he understood that it was the sense of his own loathed personality that stuck to him like some thick viscous substance.	――頭がはっきりしてくるにしたがって、それは自分自身の大嫌いな部分、分厚い粘着性の物質のように、自分に張りついている性格の一部だったことがわかるのだった。
Then, in the first morning hours, he would rise and look out of his window at the awakening activities of the street	朝のまだ早い時間、窓際に立ったグラニスは、通りが目覚めるのを見ていた
-- at the street-cleaners, the ash-cart drivers, and the other dingy workers flitting hurriedly by through the sallow winter light.	――道路を掃除する者、ゴミ集めの荷車を引いていく者、黄ばんだ冬の朝の陽のなかを、せかせかと脚を運んでいくみすぼらしい労働者たち。
Oh, to be one of them -- any of them -- to take his chance in any of their skins!	あのなかのひとりだったら――だれでもいい、あのなかのだれかになって、自分のチャンスに賭けてみることができるなら。
They were the toilers	みんな労働者、
-- the men whose lot was pitied	哀れな運命を抱えている人々だ。
-- the victims wept over and ranted about by altruists and economists;	利他主義者や経済学者が言う、嘆き悲しみ、不満をくすぶらせる犠牲者だ。
and how gladly he would have taken up the load of any one of them, if only he might have shaken off his own!	だが、もし自分自身の重荷を振り落として、その代わりにあのなかのだれかの重荷を背負うことができたら、どんなにうれしいことだろう。
But, no	だが、そんなことはできないのだ
-the iron circle of consciousness held them too:	……彼らもまた強固な自意識を抱えている。
each one was hand-cuffed to his own hideous ego.	だれもが自分の醜いエゴと手錠でつながれているのだ。
Why wish to be any one man rather than another?	だれかほかの者になりたいなどと願ってなんになろう。
The only absolute good was not to be . . .	ただひとつ、絶対的に正しいのは、存在をやめることだ……。
And Flint, coming in to draw his bath, would ask	そこにフリントが風呂に湯を満たすために入ってきてたずねた。
if he preferred his eggs scrambled or poached that morning?	朝食はスクランブル・エッグになさいますか、それともポーチド・エッグになさいますか？
< 24 > On the fifth day he wrote a long urgent letter to Allonby; 	五日目にグラニスはアーロンビーに宛てて、緊急の用件であることを告げる長い手紙を書いた。
and for the succeeding two days he had the occupation of waiting for an answer.	つづく二日間は、もっぱらその返事を待って過ごした。
He hardly stirred from his rooms, in his fear of missing the letter by a moment;	手紙が届いたそのときを逸するのが怖くて、自宅からほとんど出ることもないほどだった。
but would the District Attorney write,	地方検事は手紙を寄越すだろうか。
or send a representative: a policeman, a "secret agent," or some other mysterious emissary of the law?	それとも、その代理の者、警官や「秘密捜査員」、あるいは想像もつかないような法の密使を送ってくるのだろうか。
On the third morning Flint, stepping softly -- as if, confound it! his master were ill -- entered the library where Granice sat behind an unread newspaper,	三日目の朝、フリントがそっと――まるで主人が病気ででもあるかのように――読みもしない新聞を広げていたグラニスのいる書斎に入ってきた。
and proferred a card on a tray.	フリントは名刺が載ったトレイを差しす。
Granice read the name-- J. B. Hewson -- and underneath, in pencil, "From the District Attorney's office."	名前を見ると、Ｊ．Ｂ．ヒュースンとあり、その下に鉛筆書きで「地方検事局より」と走り書きがある。
He started up with a thumping heart, and signed an assent to the servant.	胸を高鳴らせて立ち上がり、通すよう、身ぶりで命じた。
Mr. Hewson was a slight sallow nondescript man of about fifty	ヒュースン氏は華奢で顔色の悪い、目立たない感じの五十がらみの男だった。
-the kind of man of whom one is sure to see a specimen in any crowd.	人ごみのなかで、かならずひとりはいる見本のような人物である。
"Just the type of the successful detective,"	「刑事として成功するタイプだな」
Granice reflected as he shook hands with his visitor.	グラニスは握手しながらそう思った。
And it was in that character that Mr. Hewson briefly introduced himself.	ヒュースン氏はその外見にふさわしい簡単な自己紹介をした。
He had been sent by the District Attorney to have "a quiet talk" with Mr. Granice -- to ask him to repeat the statement he had made about the Lenman murder.	地方検事に言われて「内密の話」をグラニスさんとしに来たんです、レンマン殺害の件で出した陳述を、もういちどお話していただけませんか。
His manner was so quiet, so reasonable and receptive, that Granice's self-confidence returned.	ヒュースンの態度が非常に落ち着いており、合理的かつ柔軟なものだったので、グラニスの自信はふたたびよみがえってきた。
